LGA_CODE_2016,C06_SH_FH_CF_no_ch,C06_SH_FH_CF_w_ch,C06_SH_FH_One_PFam,C06_SH_FH_oth_fa,C06_SH_FH_Tot,C06_SH_LP_H,C06_SH_GH,C06_SH_OH,C06_SH_Tot,C06_SDRTHT1S_FH_CF_no_ch,C06_SDRTHT1S_FH_CF_w_ch,C06_SDRTHT1S_FH_One_PFam,C06_SDRTHT1S_FH_oth_fa,C06_SDRTHT1S_FH_Tot,C06_SDRTHT1S_LP_H,C06_SDRTHT1S_GH,C06_SDRTHT1S_OH,C06_SDRTHT1S_Tot,C06_SDRTHT2S_FH_CF_no_ch,C06_SDRTHT2S_FH_CF_w_ch,C06_SDRTHT2S_FH_One_PFam,C06_SDRTHT2S_FH_oth_fa,C06_SDRTHT2S_FH_Tot,C06_SDRTHT2S_LP_H,C06_SDRTHT2S_GH,C06_SDRTHT2S_OH,C06_SDRTHT2S_Tot,C06_SDRTHT_FH_CF_no_ch,C06_SDRTHT_FH_CF_w_ch,C06_SDRTHT_FH_One_PFam,C06_SDRTHT_FH_oth_fa,C06_SDRTHT_FH_Tot,C06_SDRTHT_LP_H,C06_SDRTHT_GH,C06_SDRTHT_OH,C06_SDRTHT_Tot,C06_F_u_a_1_2_FH_CF_no_ch,C06_F_u_a_1_2_FH_CF_w_ch,C06_F_u_a_1_2_FH_One_PFam,C06_F_u_a_1_2_FH_oth_fa,C06_F_u_a_1_2_FH_Tot,C06_F_u_a_1_2_LP_H,C06_F_u_a_1_2_GH,C06_F_u_a_1_2_OH,C06_F_u_a_1_2_Tot,C06_F_u_a_3_FH_CF_no_ch,C06_F_u_a_3_FH_CF_w_ch,C06_F_u_a_3_FH_One_PFam,C06_F_u_a_3_FH_oth_fa,C06_F_u_a_3_FH_Tot,C06_F_u_a_3_LP_H,C06_F_u_a_3_GH,C06_F_u_a_3_OH,C06_F_u_a_3_Tot,C06_F_u_a_4m_FH_CF_no_ch,C06_F_u_a_4m_FH_CF_w_ch,C06_F_u_a_4m_FH_One_PFam,C06_F_u_a_4m_FH_oth_fa,C06_F_u_a_4m_FH_Tot,C06_F_u_a_4m_LP_H,C06_F_u_a_4m_GH,C06_F_u_a_4m_OH,C06_F_u_a_4m_Tot,C06_F_u_a_a_h_FH_CF_no_ch,C06_F_u_a_a_h_FH_CF_w_ch,C06_F_u_a_a_h_FH_One_PFam,C06_F_u_a_a_h_FH_oth_fa,C06_F_u_a_a_h_FH_Tot,C06_F_u_a_a_h_LP_H,C06_F_u_a_a_h_GH,C06_F_u_a_a_h_OH,C06_F_u_a_a_h_Tot,C06_F_u_a_T_FH_CF_no_ch,C06_F_u_a_T_FH_CF_w_ch,C06_F_u_a_T_FH_One_PFam,C06_F_u_a_T_FH_oth_fa,C06_F_u_a_T_FH_Tot,C06_F_u_a_T_LP_H,C06_F_u_a_T_GH,C06_F_u_a_T_OH,C06_F_u_a_T_Tot,C06_OD_C_c_hb_FH_CF_no_ch,C06_OD_C_c_hb_FH_CF_w_ch,C06_OD_C_c_hb_FH_One_PFam,C06_OD_C_c_hb_FH_oth_fa,C06_OD_C_c_hb_FH_Tot,C06_OD_C_c_hb_LP_H,C06_OD_C_c_hb_GH,C06_OD_C_c_hb_OH,C06_OD_C_c_hb_Tot,C06_OD_Ih_t_s_FH_CF_no_ch,C06_OD_Ih_t_s_FH_CF_w_ch,C06_OD_Ih_t_s_FH_One_PFam,C06_OD_Ih_t_s_FH_oth_fa,C06_OD_Ih_t_s_FH_Tot,C06_OD_Ih_t_s_LP_H,C06_OD_Ih_t_s_GH,C06_OD_Ih_t_s_OH,C06_OD_Ih_t_s_Tot,C06_OD_H_f_so_FH_CF_no_ch,C06_OD_H_f_so_FH_CF_w_ch,C06_OD_H_f_so_FH_One_PFam,C06_OD_H_f_so_FH_oth_fa,C06_OD_H_f_so_FH_Tot,C06_OD_H_f_so_LP_H,C06_OD_H_f_so_GH,C06_OD_H_f_so_OH,C06_OD_H_f_so_Tot,C06_OD_T_FH_CF_no_ch,C06_OD_T_FH_CF_w_ch,C06_OD_T_FH_One_PFam,C06_OD_T_FH_oth_fa,C06_OD_T_FH_Tot,C06_OD_Tot_LP_H,C06_OD_Tot_GH,C06_OD_Tot_OH,C06_OD_T_T,C06_DS_ns_FH_CF_no_ch,C06_DS_ns_FH_CF_w_ch,C06_DS_ns_FH_One_PFam,C06_DS_ns_FH_oth_fa,C06_DS_ns_FH_Tot,C06_DS_ns_LP_H,C06_DS_ns_GH,C06_DS_ns_OH,C06_DS_NS_T,C06_T_FH_CF_no_ch,C06_T_FH_CF_w_ch,C06_T_FH_One_PFam,C06_T_FH_oth_fa,C06_T_FH_Tot,C06_Tot_LP_H,C06_Tot_GH,C06_Tot_OH,C06_T_T,C11_SH_FH_CF_no_ch,C11_SH_FH_CF_w_ch,C11_SH_FH_One_PFam,C11_SH_FH_oth_fa,C11_SH_FH_Tot,C11_SH_LP_H,C11_SH_GH,C11_SH_OH,C11_SH_Tot,C11_Sd_r_t_1_FH_CF_no_ch,C11_Sd_r_t_1_FH_CF_w_ch,C11_Sd_r_t_1_FH_One_PFam,C11_Sd_r_t_1_FH_oth_fa,C11_Sd_r_t_1_FH_Tot,C11_Sd_r_t_1_LP_H,C11_Sd_r_t_1_GH,C11_Sd_r_t_1_OH,C11_Sd_r_t_1_Tot,C11_Sd_r_t_2m_FH_CF_no_ch,C11_Sd_r_t_2m_FH_CF_w_ch,C11_Sd_r_t_2m_FH_One_PFam,C11_Sd_r_t_2m_FH_oth_fa,C11_Sd_r_t_2m_FH_Tot,C11_Sd_r_t_2m_LP_H,C11_Sd_r_t_2m_GH,C11_Sd_r_t_2m_OH,C11_Sd_r_t_2m_Tot,C11_Sd_r_t_T_FH_CF_no_ch,C11_Sd_r_t_T_FH_CF_w_ch,C11_Sd_r_t_T_FH_One_PFam,C11_Sd_r_t_T_FH_oth_fa,C11_Sd_r_t_T_FH_Tot,C11_Sd_r_t_T_LP_H,C11_Sd_r_t_T_GH,C11_Sd_r_t_T_OH,C11_Sd_r_t_T_Tot,C11_F_u_a_1_2_FH_CF_no_ch,C11_F_u_a_1_2_FH_CF_w_ch,C11_F_u_a_1_2_FH_One_PFam,C11_F_u_a_1_2_FH_oth_fa,C11_F_u_a_1_2_FH_Tot,C11_F_u_a_1_2_LP_H,C11_F_u_a_1_2_GH,C11_F_u_a_1_2_OH,C11_F_u_a_1_2_Tot,C11_F_u_a_3_FH_CF_no_ch,C11_F_u_a_3_FH_CF_w_ch,C11_F_u_a_3_FH_One_PFam,C11_F_u_a_3_FH_oth_fa,C11_F_u_a_3_FH_Tot,C11_F_u_a_3_LP_H,C11_F_u_a_3_GH,C11_F_u_a_3_OH,C11_F_u_a_3_Tot,C11_F_u_a_4m_FH_CF_no_ch,C11_F_u_a_4m_FH_CF_w_ch,C11_F_u_a_4m_FH_One_PFam,C11_F_u_a_4m_FH_oth_fa,C11_F_u_a_4m_FH_Tot,C11_F_u_a_4m_LP_H,C11_F_u_a_4m_GH,C11_F_u_a_4m_OH,C11_F_u_a_4m_Tot,C11_F_u_a_a_h_FH_CF_no_ch,C11_F_u_a_a_h_FH_CF_w_ch
LGA35010,29110,40237,12116,849,82308,14317,2508,3081,102223,1227,489,588,40,2340,2421,139,194,5095,342,178,347,21,884,620,88,83,1679,1566,664,932,59,3223,3044,222,281,6769,963,222,556,53,1794,3166,186,243,5385,170,33,57,6,265,351,30,105,745,181,40,32,10,261,178,31,58,531,19,13,17,0,42,64,7,8,122,1325,310,657,70,2358,3756,257,412,6780,352,67,70,6,498,777,23,326,1626,9,8,5,0,16,35,3,28,86,19,20,0,0,45,21,3,3,70,376,99,74,6,553,838,28,358,1779,4,6,3,0,13,12,0,4,27,32393,41308,13776,984,88459,21961,3026,4139,117587,33387,45091,14267,1066,93808,16936,3104,3490,117339,1522,578,758,55,2916,3291,204,220,6627,746,501,672,60,1977,1222,208,212,3623,2277,1077,1429,113,4893,4510,416,432,10252,908,330,646,62,1951,2987,209,269,5410,283,64,102,11,459,560,48,92,1161,403,92,83,12,588,605,43,133,1377,26,18
LGA35250,45,92,42,10,182,30,7,9,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,0,0,7,0,0,0,0,0,3,0,3,8,48,92,45,10,187,31,7,15,246,37,87,47,10,181,34,7,12,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,12,8,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA35300,1132,1846,559,43,3580,735,178,579,5075,103,129,35,0,265,100,13,53,436,19,23,10,0,49,27,6,13,98,125,147,48,0,320,130,22,68,536,179,93,86,11,366,425,49,176,1020,0,0,0,0,3,12,3,65,84,9,5,0,0,10,4,4,9,25,0,0,0,0,3,0,0,0,7,184,98,86,12,380,449,62,249,1135,49,15,7,0,71,66,5,326,467,3,4,0,0,10,36,0,20,66,12,6,4,0,21,7,0,4,31,68,22,9,0,101,119,4,344,563,0,0,0,0,0,3,0,0,3,1506,2116,696,64,4379,1431,260,1244,7311,1241,1963,566,65,3826,760,216,673,5471,67,61,28,5,159,112,11,67,351,7,6,0,0,16,25,7,15,59,75,70,30,5,176,139,20,77,406,201,118,83,15,422,391,57,196,1055,18,7,3,0,26,18,0,42,96,7,3,0,0,12,17,7,8,40,0,0
LGA35600,423,501,139,30,1093,408,33,71,1609,8,4,0,0,9,16,5,5,33,0,0,0,0,0,0,0,0,0,8,4,0,0,9,16,5,5,33,9,7,4,0,20,47,0,4,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,11,10,3,0,22,47,0,4,71,5,4,0,0,11,8,0,83,95,0,0,0,0,0,0,0,0,4,3,3,0,0,8,3,0,0,16,13,11,0,0,19,13,0,80,111,0,0,0,0,0,0,0,0,0,449,520,144,32,1145,481,39,161,1828,447,497,147,10,1102,430,31,104,1672,3,0,0,0,7,12,0,3,26,0,3,0,0,3,0,0,0,6,4,4,0,0,12,12,0,4,26,4,7,3,0,14,22,0,8,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA35670,26,57,63,5,162,21,0,4,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,11,5,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,15,5,0,3,19,0,0,0,0,0,0,0,0,0,32,61,70,13,173,29,0,6,209,10,62,42,11,124,14,0,3,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,5,3,30,6,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA35740,4845,4350,1695,95,10981,2458,508,955,14913,311,43,53,3,416,448,21,68,948,321,104,114,5,544,281,89,259,1178,639,148,170,8,959,732,107,327,2128,330,87,145,15,578,766,81,1049,2473,85,23,12,0,117,98,8,765,990,9,3,0,0,18,12,0,270,296,3,3,3,0,8,8,0,0,15,432,113,157,19,720,884,92,2078,3776,38,11,14,0,66,108,7,316,496,6,9,4,0,19,11,0,21,56,5,6,0,0,16,3,0,4,16,51,29,20,3,104,125,5,336,567,0,0,0,0,0,0,0,0,8,5966,4635,2045,126,12773,4200,714,3702,21391,5408,4557,1802,83,11864,2765,582,700,15910,286,24,52,3,366,517,18,38,931,306,98,133,5,541,349,64,97,1057,593,119,186,7,909,861,86,135,1989,286,101,128,15,531,713,69,255,1569,99,41,37,6,177,124,36,137,471,38,10,7,3,64,47,10,53,171,0,3
LGA35760,1243,1023,342,41,2641,899,109,144,3791,0,0,3,0,3,5,0,3,13,0,0,0,0,5,9,0,0,13,3,0,3,0,9,14,0,4,23,21,3,9,0,37,78,5,8,130,0,0,0,0,0,7,0,3,6,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,21,3,9,0,37,85,5,17,144,26,3,3,0,37,88,6,215,343,5,0,0,0,9,7,0,32,49,7,9,3,0,20,7,0,3,31,42,17,8,0,68,102,9,254,428,0,0,0,0,0,0,0,0,4,1312,1046,357,44,2754,1099,125,407,4387,1300,956,331,45,2633,939,96,180,3849,12,6,0,0,16,16,0,3,33,6,3,0,0,9,0,0,0,11,14,13,0,0,25,16,0,3,46,4,7,9,0,22,72,16,23,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA35780,45,174,128,14,363,78,9,17,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,8,10,0,15,37,0,0,0,0,0,3,0,11,18,0,0,0,0,0,0,0,0,0,9,3,0,0,8,8,0,28,53,0,0,0,0,0,0,0,0,0,52,177,128,14,375,94,4,40,511,35,176,103,11,329,45,3,9,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,39,23,0,84,34,6,4,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA35790,25,145,113,22,307,17,11,4,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,6,4,0,0,12,3,0,0,0,3,4,0,0,9,0,0,0,0,0,0,0,0,0,5,4,3,0,7,5,0,0,20,0,0,0,0,0,0,0,0,0,33,147,115,22,322,28,11,4,359,27,125,103,18,279,12,3,3,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,10,5,43,24,4,8,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA35800,180,173,73,8,430,196,27,62,717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,9,19,0,4,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,9,21,0,4,34,8,0,0,0,12,16,0,54,82,0,0,0,0,0,3,0,7,10,3,0,0,0,3,3,0,0,11,16,3,0,0,14,21,0,61,96,0,0,0,0,0,0,0,0,0,197,177,76,10,455,238,27,128,849,184,156,72,8,425,219,16,79,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,16,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA36070,22,52,28,15,120,17,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,52,28,15,120,21,0,0,142,33,40,21,16,112,13,3,3,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,3,0,24,7,0,3,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA36150,101,105,25,0,232,93,11,24,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,4,3,0,16,29,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,5,0,3,3,0,3,6,3,21,38,0,0,0,0,0,0,0,0,0,99,106,28,0,240,104,12,53,407,93,103,37,0,233,93,9,18,356,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,3,0,3,15,0,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA36250,11305,16243,4241,329,32122,5370,907,1206,39605,714,182,169,17,1083,1254,52,59,2441,402,206,339,31,972,754,106,73,1911,1116,391,507,43,2059,2007,155,135,4355,292,61,140,5,495,862,24,52,1440,64,20,20,0,100,58,6,18,187,14,3,0,3,24,29,3,16,65,12,3,8,0,20,18,4,3,38,377,87,161,14,638,971,38,91,1736,83,18,19,0,123,250,14,65,445,0,0,0,0,0,0,0,15,16,11,6,3,0,24,10,3,3,39,98,30,19,0,142,255,12,80,495,3,0,3,0,9,0,0,0,5,12895,16743,4932,387,34966,8609,1114,1513,46195,12749,17366,4761,361,35239,6253,1078,1061,43630,631,122,175,11,947,1622,63,36,2667,475,267,417,29,1179,830,113,79,2201,1103,390,591,39,2126,2447,172,121,4867,204,83,156,20,456,713,48,45,1261,67,24,20,4,113,64,8,12,194,52,5,10,3,69,47,3,16,134,17,3
LGA36300,74,100,17,3,196,92,4,31,325,0,0,0,0,0,4,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,20,23,0,0,0,0,0,0,0,6,6,3,0,0,0,6,0,0,0,6,5,0,0,0,8,3,0,23,29,0,0,0,0,0,0,0,0,0,84,100,19,3,206,98,4,62,369,90,93,26,3,208,63,10,29,311,0,0,0,0,0,12,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,14,0,0,0,0,0,3,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA36370,6177,7491,3056,299,17024,4658,740,1094,23522,104,34,49,10,201,321,26,43,593,15,9,12,3,41,53,7,5,106,125,44,63,12,236,373,39,50,699,282,86,200,34,604,1070,167,164,2004,12,0,5,0,20,34,4,6,58,12,0,0,0,14,23,5,11,47,7,0,0,0,7,8,0,3,20,308,87,209,40,636,1134,172,180,2133,58,17,28,4,113,140,10,405,666,3,9,0,0,13,34,0,14,65,20,14,3,0,36,19,3,7,56,82,38,31,4,157,195,14,426,783,9,16,5,0,35,15,3,12,59,6701,7671,3366,349,18089,6381,970,1751,27189,6630,7871,3202,300,18004,5047,832,1224,25109,143,60,50,10,262,396,25,43,722,28,13,17,4,57,93,3,17,169,168,75,67,10,319,487,31,60,897,293,201,214,22,725,1152,128,186,2196,11,12,5,0,24,39,5,12,87,33,7,10,0,53,35,5,20,106,0,0
LGA36510,3867,3750,1132,97,8838,2136,236,364,11578,27,14,13,0,53,66,3,9,133,10,0,3,0,12,13,0,5,32,37,16,19,0,68,80,3,15,162,47,13,21,6,86,217,17,7,329,3,0,6,0,5,22,3,3,30,3,0,0,0,6,3,0,0,8,4,3,0,0,9,9,0,0,14,54,16,26,6,104,250,18,17,390,18,6,8,0,32,82,0,45,162,7,4,4,0,11,6,0,6,28,13,4,0,0,24,12,3,3,36,37,21,12,0,70,100,0,61,227,0,0,0,0,0,0,0,0,0,4000,3798,1180,104,9083,2570,260,457,12359,4277,4065,1311,93,9746,2382,310,428,12861,45,11,16,4,76,140,5,4,228,17,5,8,0,33,33,4,4,74,61,13,32,3,107,172,9,8,302,29,13,39,6,82,179,11,10,276,3,3,4,0,14,25,0,0,45,0,0,0,0,3,4,0,0,11,7,0
LGA36580,2178,2040,702,48,4968,1261,171,243,6649,26,12,10,0,48,32,9,3,89,0,0,0,0,0,0,0,0,0,26,12,10,0,48,32,10,3,91,4,0,5,0,14,33,4,3,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,12,33,4,3,53,31,13,6,0,56,68,5,60,188,13,10,3,0,26,21,0,12,63,7,7,3,0,18,9,0,0,23,51,33,14,0,104,100,7,69,277,0,3,0,0,3,0,0,0,8,2260,2100,730,49,5135,1425,187,324,7072,2490,2364,849,68,5770,1509,205,252,7737,8,6,6,0,23,17,4,0,39,0,0,0,0,4,0,0,0,3,8,4,12,0,25,17,4,0,44,17,8,7,0,36,62,9,6,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA36630,3432,3029,1010,77,7547,2103,225,470,10345,23,18,8,3,51,98,7,20,172,3,0,0,0,3,3,3,0,12,26,18,8,3,51,102,8,17,187,63,20,55,11,144,271,31,36,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,9,63,20,52,9,144,280,32,43,492,22,19,10,0,46,61,0,134,236,12,15,7,0,35,27,4,8,68,6,4,0,0,9,7,0,0,17,42,31,18,0,87,91,4,146,329,0,0,0,0,0,0,0,0,7,3557,3103,1093,88,7837,2574,271,676,11361,3749,3011,1201,104,8072,2541,321,407,11338,12,5,12,3,23,29,6,4,65,3,0,0,0,5,0,4,0,5,15,5,8,3,30,29,9,4,73,83,39,77,16,213,415,39,46,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA36660,3609,3370,1119,80,8185,2412,218,344,11163,37,28,12,0,77,90,12,5,180,4,0,4,0,9,25,0,0,34,41,28,14,0,85,111,12,5,212,79,29,42,15,164,370,27,25,579,0,0,0,0,0,3,0,0,3,5,8,5,0,20,22,3,3,53,0,0,0,0,4,0,0,0,4,85,41,50,11,190,396,28,34,642,19,6,8,0,35,64,4,39,143,3,5,0,0,10,14,0,8,32,3,6,0,0,12,3,0,0,17,28,16,12,0,53,79,4,52,187,3,0,0,0,14,3,0,0,17,3771,3457,1199,98,8528,2998,261,438,12225,3943,3427,1282,102,8756,2734,298,371,12165,55,17,25,4,106,145,13,11,266,3,0,0,0,5,9,0,0,14,59,16,29,3,108,149,13,9,280,101,21,48,7,181,448,12,32,676,0,0,0,0,0,4,0,0,6,0,0,0,0,0,4,0,0,4,0,0
LGA36720,21443,23106,7619,462,52623,10110,2192,2641,67574,2283,419,551,42,3290,2979,160,169,6602,658,323,456,31,1470,803,224,182,2676,2941,740,1003,69,4758,3781,382,350,9275,1228,414,703,65,2409,2831,368,591,6191,549,129,200,22,909,794,215,702,2615,1056,281,194,26,1563,916,170,2847,5501,31,9,12,0,61,70,0,8,141,2871,838,1110,113,4940,4611,756,4150,14445,405,89,92,18,604,925,43,1502,3071,16,14,5,0,40,50,3,29,126,44,42,16,4,101,29,3,10,136,465,141,114,22,742,1001,50,1540,3338,13,0,4,0,18,20,0,11,46,27732,24832,9856,661,63084,19522,3376,8696,94677,24513,26243,8226,593,59571,12102,2445,2334,76445,1989,331,550,37,2915,3158,201,176,6448,952,490,620,55,2104,1220,284,202,3816,2941,819,1166,93,5017,4380,486,380,10262,1163,366,744,52,2325,2811,351,322,5805,671,172,242,44,1131,923,223,393,2661,1467,371,291,32,2158,1286,256,677,4366,31,14
LGA36820,2655,2174,834,69,5726,1597,173,425,7920,64,39,21,0,128,114,3,43,286,15,0,3,0,22,15,5,0,36,75,39,26,3,148,125,12,49,327,43,9,42,5,100,239,10,17,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,8,0,3,13,46,17,42,5,107,243,15,23,385,35,10,17,0,66,114,5,231,416,17,3,3,0,22,22,0,22,70,20,24,4,0,44,21,3,8,84,74,38,23,0,135,161,9,263,571,5,0,0,0,5,0,0,0,5,2848,2268,929,73,6117,2123,207,757,9201,2836,2155,943,63,5991,1903,214,339,8452,27,9,10,0,50,72,0,5,128,3,0,5,0,5,9,0,0,12,32,9,17,0,53,81,0,3,139,94,26,77,11,201,349,13,21,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA36910,13235,15675,4815,515,34234,8194,1314,1265,45019,532,357,158,38,1082,995,117,65,2257,63,31,39,10,139,137,39,30,342,599,386,197,46,1222,1131,156,96,2599,717,164,393,75,1349,2533,322,242,4444,7,3,3,0,13,28,5,3,52,30,0,0,0,33,54,0,3,87,6,3,8,0,13,21,0,7,35,756,165,408,75,1405,2634,332,255,4625,55,14,10,0,84,162,6,132,387,9,9,4,0,21,19,0,6,42,21,21,3,4,51,29,3,11,93,85,41,23,4,150,211,14,153,520,0,0,0,0,0,3,0,0,10,14674,16269,5437,636,37022,12173,1813,1765,52777,14631,15964,5261,472,36330,9523,1366,1464,48681,368,168,172,22,731,953,84,95,1871,101,63,69,11,236,202,45,52,531,470,227,234,27,962,1155,130,147,2398,841,363,480,78,1771,3044,244,304,5367,10,9,8,3,25,63,8,15,107,46,14,9,3,71,118,11,32,237,3,5
LGA36950,58,215,100,13,381,99,24,44,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,3,0,0,5,10,0,6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,5,10,0,6,22,68,89,40,0,197,89,11,7,308,125,302,140,19,589,199,28,58,881,73,221,97,9,395,83,14,60,553,7,13,15,0,35,22,5,9,68,17,32,16,0,61,25,6,17,105,27,46,27,0,101,38,13,21,179,36,42,8,0,83,36,5,31,157,3,3,0,0,6,3,0,0,6,0,0,0,0,4,3,0,3,15,4,7
LGA36960,101,455,224,30,802,156,6,24,990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,3,0,22,18,0,11,57,0,3,0,0,4,0,0,3,7,0,0,0,0,0,0,0,0,0,3,20,3,0,26,18,0,12,59,0,0,0,0,0,6,0,0,3,103,467,233,30,833,181,6,38,1055,92,384,210,34,712,167,12,25,914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,13,0,30,15,0,9,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
