LGA_CODE_2016,C06_C_Tot_0_14,C06_C_Tot_15_24,C06_C_Tot_25_34,C06_C_Tot_35_44,C06_C_Tot_45_54,C06_C_Tot_55_64,C06_C_Tot_65_74,C06_C_Tot_75_84,C06_C_Tot_85ov,C06_C_T_T,C06_Hinduism_0_14,C06_Hinduism_15_24,C06_Hinduism_25_34,C06_Hinduism_35_44,C06_Hinduism_45_54,C06_Hinduism_55_64,C06_Hinduism_65_74,C06_Hinduism_75_84,C06_Hinduism_85ov,C06_Hinduism_Tot,C06_Islam_0_14,C06_Islam_15_24,C06_Islam_25_34,C06_Islam_35_44,C06_Islam_45_54,C06_Islam_55_64,C06_Islam_65_74,C06_Islam_75_84,C06_Islam_85ov,C06_Islam_Tot,C06_Judaism_0_14,C06_Judaism_15_24,C06_Judaism_25_34,C06_Judaism_35_44,C06_Judaism_45_54,C06_Judaism_55_64,C06_Judaism_65_74,C06_Judaism_75_84,C06_Judaism_85ov,C06_Judaism_Tot,C06_OR_Au_Ab_Tr_R_0_14,C06_OR_Au_Ab_Tr_R_15_24,C06_OR_Au_Ab_Tr_R_25_34,C06_OR_Au_Ab_Tr_R_35_44,C06_OR_Au_Ab_Tr_R_45_54,C06_OR_Au_Ab_Tr_R_55_64,C06_OR_Au_Ab_Tr_R_65_74,C06_OR_Au_Ab_Tr_R_75_84,C06_OR_A_Ab_Tr_Re_85oe,C06_OR_Au_Ab_Tr_Re_Tot,C06_OR_Sikhism_0_14,C06_OR_Sikhism_15_24,C06_OR_Sikhism_25_34,C06_OR_Sikhism_35_44,C06_OR_Sikhism_45_54,C06_OR_Sikhism_55_64,C06_OR_Sikhism_65_74,C06_OR_Sikhism_75_84,C06_OR_Sikhism_85oe,C06_OR_Sikhism_Tot,C06_OR_OR_0_14,C06_OR_OR_15_24,C06_OR_OR_25_34,C06_OR_OR_35_44,C06_OR_OR_45_54,C06_OR_OR_55_64,C06_OR_OR_65_74,C06_OR_OR_75_84,C06_OR_OR_85oe,C06_OR_OR_Tot,C06_OR_Tot_0_14,C06_OR_Tot_15_24,C06_OR_Tot_25_34,C06_OR_Tot_35_44,C06_OR_Tot_45_54,C06_OR_Tot_55_64,C06_OR_Tot_65_74,C06_OR_Tot_75_84,C06_OR_Tot_85ov,C06_OR_T_T,C06_SBOSB_No_RA_0_14,C06_SBOSB_No_RA_15_24,C06_SBOSB_No_RA_25_34,C06_SBOSB_No_RA_35_44,C06_SBOSB_No_RA_45_54,C06_SBOSB_No_RA_55_64,C06_SBOSB_No_RA_65_74,C06_SBOSB_No_RA_75_84,C06_SBOSB_No_RA_85ov,C06_SBOSB_No_RA_Tot,C06_Rel_aff_ns_0_14,C06_Rel_aff_ns_15_24,C06_Rel_aff_ns_25_34,C06_Rel_aff_ns_35_44,C06_Rel_aff_ns_45_54,C06_Rel_aff_ns_55_64,C06_Rel_aff_ns_65_74,C06_Rel_aff_ns_75_84,C06_Rel_aff_ns_85ov,C06_Rel_aff_NS_T,C06_Tot_0_14_yrs,C06_Tot_15_24_yrs,C06_Tot_25_34_yrs,C06_Tot_35_44_yrs,C06_Tot_45_54_yrs,C06_Tot_55_64_yrs,C06_Tot_65_74_yrs,C06_Tot_75_84_yrs,C06_Tot_85o,C06_T_T,C11_Buddhism_0_14_yrs,C11_Buddhism_15_24,C11_Buddhism_25_34,C11_Buddhism_35_44,C11_Buddhism_45_54,C11_Buddhism_55_64,C11_Buddhism_65_74,C11_Buddhism_75_84,C11_Buddhism_85ov,C11_Buddhism_Tot,C11_Christ_Angl_0_14,C11_Christ_Angl_15_24,C11_Christ_Angl_25_34,C11_Christ_Angl_35_44,C11_Christ_Angl_45_54,C11_Christ_Angl_55_64,C11_Christ_Angl_65_74,C11_Christ_Angl_75_84,C11_Christ_Angl_85ov,C11_Christ_Angl_Tot,C11_C_Assyr_Apo_0_14,C11_C_Assyr_Apo_15_24,C11_C_Assyr_Apo_25_34,C11_C_Assyr_Apo_35_44,C11_C_Assyr_Apo_45_54,C11_C_Assyr_Apo_55_64,C11_C_Assyr_Apo_65_74,C11_C_Assyr_Apo_75_84,C11_C_Assyr_Apo_85ov,C11_C_Assyr_Apo_Tot,C11_C_Baptist_0_14,C11_C_Baptist_15_24,C11_C_Baptist_25_34,C11_C_Baptist_35_44,C11_C_Baptist_45_54,C11_C_Baptist_55_64,C11_C_Baptist_65_74,C11_C_Baptist_75_84,C11_C_Baptist_85ov,C11_C_Baptist_Tot,C11_Christ_Breth_0_14,C11_Christ_Breth_15_24,C11_Christ_Breth_25_34,C11_Christ_Breth_35_44,C11_Christ_Breth_45_54,C11_Christ_Breth_55_64,C11_Christ_Breth_65_74,C11_Christ_Breth_75_84,C11_Christ_Breth_85ov,C11_Christ_Breth_To,C11_Ch_Catholic_0_14,C11_Ch_Catholic_15_24,C11_Ch_Catholic_25_34,C11_Ch_Catholic_35_44,C11_Ch_Catholic_45_54,C11_Ch_Catholic_55_64,C11_Ch_Catholic_65_74,C11_Ch_Catholic_75_84,C11_Ch_Catholic_85ov,C11_C_Catholic_Tot,C11_C_Chur_Christ_0_14,C11_C_Chur_Christ_15_24,C11_C_Chur_Christ_25_34,C11_C_Chur_Christ_35_44,C11_C_Chur_Christ_45_54,C11_C_Chur_Christ_55_64,C11_C_Chur_Christ_65_74,C11_C_Chur_Christ_75_84,C11_C_Chur_Christ_85ov,C11_C_Chur_Christ_Tot,C11_C_East_Ortho_0_14,C11_C_East_Ortho_15_24,C11_C_East_Ortho_25_34,C11_C_East_Ortho_35_44,C11_C_East_Ortho_45_54,C11_C_East_Ortho_55_64,C11_C_East_Ortho_65_74,C11_C_East_Ortho_75_84,C11_C_East_Ortho_85ov,C11_C_East_Ortho_To,C11_C_Jeh_Wit_0_14,C11_C_Jeh_Wit_15_24,C11_C_Jeh_Wit_25_34,C11_C_Jeh_Wit_35_44,C11_C_Jeh_Wit_45_54,C11_C_Jeh_Wit_55_64,C11_C_Jeh_Wit_65_74,C11_C_Jeh_Wit_75_84,C11_C_Jeh_Wit_85ov,C11_C_Jeh_Wit_Tot
LGA18230,8310,4651,4058,5067,5117,4169,3011,1967,585,36934,20,11,13,25,18,0,0,0,0,97,58,11,19,26,16,10,4,0,0,135,0,0,0,0,0,0,3,0,3,10,6,3,3,9,0,0,0,0,0,28,3,0,0,3,0,0,0,0,0,8,6,13,16,12,10,5,5,3,0,75,18,15,17,18,13,9,5,3,0,103,1319,640,625,506,444,283,120,89,23,4041,1152,689,565,599,575,428,290,198,65,4558,10877,6036,5306,6266,6200,4912,3438,2251,681,45966,34,26,29,39,33,13,8,0,0,185,2618,1485,1398,1790,1986,1822,1399,877,336,13712,0,0,0,0,0,0,0,0,0,0,152,79,105,102,120,146,94,53,19,875,3,9,3,0,0,0,5,0,0,26,3746,2186,1603,1892,1927,1502,1138,658,203,14849,16,9,4,10,14,11,0,0,0,59,31,15,21,18,26,30,26,10,4,173,16,15,6,3,13,21,13,4,3,96
LGA18250,7069,4059,5212,6037,4886,3860,2495,2174,959,36757,149,81,294,151,53,32,11,5,0,781,152,133,145,124,92,62,18,7,0,736,140,83,95,111,149,144,83,98,51,958,0,0,0,0,0,0,0,0,0,0,6,12,28,15,11,0,0,0,0,68,25,37,51,50,55,30,18,6,3,276,33,50,78,68,63,33,19,6,3,353,2429,2279,2729,2428,2001,1265,534,296,105,14064,1199,1044,1431,1157,893,684,327,285,141,7157,11501,8120,10584,10633,8606,6327,3602,2946,1281,63604,297,353,723,636,457,342,148,79,32,3067,2122,873,1071,1794,1574,1257,814,593,429,10532,0,0,0,0,0,0,0,0,0,3,93,90,150,130,115,77,42,36,16,758,4,0,5,5,3,3,4,3,0,27,4023,1826,2142,2690,2240,1642,1087,843,372,16861,8,6,9,7,13,9,6,0,9,71,254,97,149,225,175,112,124,103,29,1263,5,11,16,4,9,16,9,3,5,76
LGA18350,6041,3086,2493,4197,4198,4365,3315,2050,653,30396,10,3,7,16,16,9,0,0,0,61,13,9,7,11,6,3,0,0,0,50,9,3,0,11,14,18,14,17,0,83,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,7,33,23,35,42,30,29,7,3,3,200,37,28,35,43,30,29,7,3,3,209,1711,954,711,867,972,805,465,198,71,6753,919,519,390,572,633,610,409,261,122,4431,8774,4630,3670,5782,5928,5892,4218,2527,845,42272,30,39,39,74,73,74,30,8,0,373,2305,1139,855,1617,1860,2007,1997,1149,467,13407,0,0,0,0,0,0,0,0,0,0,104,50,48,86,80,92,98,39,12,610,29,52,12,10,19,5,9,6,6,145,2449,1248,797,1348,1640,1346,1145,622,188,10782,7,20,7,6,21,15,10,3,3,91,67,37,20,57,56,57,46,24,3,375,35,21,40,26,26,38,22,8,0,217
LGA18400,7074,4024,3651,4893,4615,3492,1750,967,305,30762,6,3,8,3,3,6,0,0,0,31,31,28,27,20,13,13,3,0,0,131,0,0,0,4,4,5,0,0,0,21,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,6,16,11,18,15,22,11,6,0,0,102,20,13,21,21,26,16,3,3,0,114,1729,895,738,830,750,386,143,73,18,5562,908,558,440,463,584,336,170,97,33,3592,9793,5526,4901,6260,6023,4252,2089,1141,356,40344,38,23,34,44,37,14,0,8,0,202,2960,1688,1394,2244,2095,1896,1094,530,162,14060,0,0,0,0,0,0,0,0,0,7,90,62,58,58,73,85,53,34,8,524,26,42,11,13,19,0,11,7,0,132,3354,1871,1456,2055,2022,1397,794,329,87,13363,6,4,0,3,13,3,3,0,0,37,123,68,61,96,70,68,41,19,5,559,25,20,19,19,22,21,19,11,3,157
LGA18450,23702,16605,15509,18482,18439,15592,12531,9275,2659,132793,89,100,117,91,85,53,31,10,0,565,696,577,510,414,259,237,78,29,4,2799,13,14,12,9,15,12,9,7,0,85,11,5,3,6,5,3,0,0,0,30,10,14,7,5,3,0,0,0,0,28,85,101,116,121,93,30,19,14,4,583,104,122,123,132,97,35,19,14,4,642,6834,5189,4624,3947,3378,2056,920,561,168,27667,3779,2928,2315,2440,2303,1597,1190,847,298,17695,35459,25863,23616,25871,24917,19734,14853,10752,3138,184210,333,444,523,454,407,320,110,46,4,2636,6317,4166,4112,5496,5805,5512,4303,3145,1432,40288,0,0,3,0,0,0,0,0,0,3,310,275,249,238,270,191,169,117,42,1853,85,42,36,36,21,12,20,8,5,271,10341,7382,6139,7038,7790,6125,4656,3652,1153,54279,79,40,23,56,56,58,62,23,4,403,1946,1185,1314,1744,1419,1471,1206,762,180,11220,125,57,104,106,107,103,74,56,24,742
LGA18500,3457,2516,4399,3787,2952,3138,1908,1611,748,24508,25,24,46,37,29,18,11,10,0,203,33,24,42,39,25,13,9,3,5,182,1157,879,745,694,987,1094,602,624,305,7089,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,3,0,0,14,15,26,32,34,23,17,7,9,4,165,14,30,35,38,23,17,14,9,4,176,1203,1014,1980,1458,1050,972,408,269,97,8457,1318,1020,1628,1357,1120,1110,554,497,225,8821,7261,5612,9029,7558,6300,6456,3535,3028,1389,50162,51,73,116,138,139,111,46,19,3,705,1420,955,1381,1279,1205,1153,977,586,392,9350,0,0,0,0,0,0,0,0,0,4,5,15,37,27,25,21,6,3,0,141,0,0,0,0,0,0,0,0,3,4,1778,1066,2154,1683,1284,1012,773,502,267,10515,0,3,0,0,4,3,3,0,0,22,323,171,193,286,257,172,146,113,37,1694,3,0,21,8,3,10,3,5,0,57
LGA18710,2048,1031,926,1486,1516,1298,764,479,142,9701,5,0,0,3,7,0,0,0,0,12,13,9,0,7,0,0,0,0,0,34,4,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,9,13,6,0,0,0,0,39,8,0,7,13,6,0,0,0,0,42,571,231,242,356,363,294,92,33,8,2190,285,113,101,173,171,151,66,36,12,1103,2935,1390,1291,2059,2081,1742,923,543,160,13133,7,7,10,19,19,16,6,0,0,78,599,333,321,535,601,586,364,210,84,3637,0,0,0,0,0,0,0,0,0,0,43,14,20,32,22,12,9,3,4,157,0,0,0,0,0,0,0,0,0,0,1050,556,387,661,620,492,299,167,49,4287,0,0,0,0,0,0,0,0,0,3,5,4,6,19,6,9,4,3,0,59,8,0,4,3,3,7,0,0,0,27
LGA19399,117,50,82,114,141,132,58,37,4,728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,22,32,44,36,17,11,4,0,217,14,16,8,13,19,26,10,0,0,99,179,86,126,172,192,170,80,43,8,1055,0,0,3,0,0,0,0,0,0,3,42,13,31,48,43,61,35,12,5,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,45,17,33,30,41,31,14,6,3,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19499,495,821,1132,896,783,746,376,144,53,5439,11,31,46,18,13,0,4,0,0,124,38,49,54,43,21,13,4,0,0,215,4,8,11,9,3,3,4,0,0,45,3,0,3,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,6,7,9,14,23,14,4,3,0,0,81,11,10,21,23,16,7,3,0,0,92,226,433,604,349,239,227,72,23,5,2182,147,306,411,357,244,196,96,37,4,1791,957,1713,2353,1744,1365,1211,562,205,66,10175,13,38,70,46,38,33,7,3,3,243,169,215,320,279,289,353,257,61,39,1983,0,0,3,0,0,0,0,0,0,3,15,27,31,17,30,23,13,0,0,161,0,0,0,0,0,0,0,0,0,0,191,351,432,355,301,294,146,45,23,2138,0,0,0,0,0,3,0,0,0,5,15,10,20,24,22,14,14,3,3,129,3,4,9,10,12,8,5,0,0,45
LGA19799,3,8,10,4,5,4,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,0,0,0,0,0,15,0,4,3,7,0,7,0,0,0,18,3,11,23,10,6,13,3,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,8,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,10,3,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20110,1185,648,505,1011,1239,1234,954,662,222,7656,0,0,0,0,0,0,0,0,0,7,12,10,3,4,0,4,3,3,0,39,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,12,7,7,3,0,0,0,38,6,5,12,7,7,3,0,0,0,38,655,334,354,397,464,304,134,84,28,2752,304,144,160,184,235,199,112,82,16,1437,2174,1154,1043,1621,1965,1751,1209,828,266,11997,11,13,13,20,23,19,10,0,0,105,216,141,92,202,349,378,297,198,83,1961,0,0,0,0,0,0,0,0,0,0,8,8,14,5,11,13,13,4,11,83,0,0,0,0,0,0,0,0,0,0,598,307,188,429,546,482,395,251,90,3289,4,3,3,5,6,8,18,5,0,54,10,4,3,11,8,20,7,4,0,71,7,3,9,3,10,12,5,3,0,52
LGA20260,1061,653,507,859,1133,1158,860,601,167,6997,0,0,0,0,0,0,0,0,0,3,10,0,6,0,0,3,0,0,0,20,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,3,0,0,0,0,17,0,4,5,4,3,0,0,0,0,17,699,335,346,370,323,221,95,55,17,2466,324,168,208,252,250,225,135,109,42,1715,2099,1169,1075,1492,1715,1612,1089,772,226,11256,14,3,10,12,10,10,3,0,0,68,200,111,94,190,259,292,222,178,74,1608,0,0,0,0,0,0,0,0,0,0,9,5,11,7,11,15,5,3,3,66,0,0,0,0,0,0,0,0,0,0,517,314,244,301,342,313,260,137,30,2463,3,0,0,0,12,15,19,7,0,62,0,3,3,8,0,3,0,0,0,22,19,8,10,15,15,10,9,12,3,96
LGA20570,9509,7648,5616,7455,7896,6736,4989,3958,1332,55136,25,77,78,22,21,3,4,0,0,223,26,26,38,21,4,3,3,0,0,133,0,4,5,0,8,7,3,3,0,35,3,0,0,0,0,0,0,0,0,3,8,39,29,3,3,3,0,0,0,92,34,61,57,47,42,26,0,0,0,256,42,96,88,52,44,26,0,0,0,352,4897,3692,3239,2527,2065,1186,502,278,97,18491,2333,1723,1341,1363,1268,941,669,561,189,10384,16885,13370,10462,11516,11400,8945,6188,4807,1622,85196,67,103,117,107,95,71,23,5,4,592,1743,1439,1085,1686,2084,2060,1495,1107,503,13194,0,0,0,0,0,0,0,0,0,0,135,125,110,111,138,158,110,65,32,978,55,36,23,29,14,16,14,15,11,202,5505,4199,3023,3261,3409,2675,1923,1201,416,25611,258,113,99,120,153,169,103,72,29,1117,79,49,40,83,52,47,40,22,7,418,34,27,33,24,29,35,31,23,13,241
LGA20660,11869,8763,8229,10540,10485,9715,6616,5401,1923,73532,125,141,189,92,112,63,27,11,4,768,607,310,291,257,180,93,41,21,5,1807,12,3,18,15,18,21,8,5,3,103,4,0,0,3,3,0,0,0,0,7,7,27,34,9,5,7,6,0,0,104,28,67,90,70,76,47,12,3,0,397,38,97,123,77,83,51,22,3,3,509,5171,4160,4286,3668,3408,2148,890,551,179,24466,2384,1792,1679,1700,1689,1276,712,630,266,12124,20440,15500,15095,16652,16240,13511,8377,6656,2394,114869,332,271,413,435,341,228,87,32,15,2156,1590,1194,1157,1912,2175,2418,1920,1341,722,14437,0,0,0,0,0,0,0,0,0,4,255,193,251,201,226,233,151,129,83,1730,23,28,13,14,24,10,17,11,0,135,6998,4706,4172,5143,5247,4334,2941,2092,755,36386,20,26,21,22,27,49,48,26,12,240,1169,630,627,1033,871,619,501,311,72,5839,13,21,33,24,35,33,24,16,14,200
LGA20740,2017,1103,1060,1804,2154,2685,2495,1697,473,15481,3,0,0,5,4,3,0,0,0,16,4,0,10,8,3,4,3,3,0,24,3,0,3,7,3,4,4,0,0,31,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,3,10,10,10,15,9,3,3,0,71,8,10,14,10,21,9,3,3,0,79,1658,910,837,939,898,808,367,240,49,6700,900,432,364,509,586,506,362,300,95,4060,4605,2474,2308,3309,3702,4043,3248,2239,618,26545,37,30,45,57,60,46,18,8,0,295,606,308,302,552,698,1075,1070,736,271,5610,0,0,0,0,0,0,0,0,0,0,84,35,43,63,71,84,116,38,29,568,0,0,0,0,0,0,0,4,0,3,1117,607,647,851,940,961,801,463,108,6504,6,3,0,5,5,8,12,3,3,35,34,9,20,36,25,24,38,20,3,204,15,4,7,12,19,24,16,11,3,116
LGA20830,4186,2643,1737,3226,3593,3253,2316,1604,574,23130,12,3,6,9,5,0,3,0,0,38,6,0,8,3,8,3,0,0,0,35,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,14,6,25,19,11,7,4,0,0,93,16,6,25,24,15,7,4,0,0,98,2553,1372,1356,1278,1238,796,326,141,30,9086,1156,603,516,613,653,539,288,218,84,4671,7947,4644,3653,5175,5546,4620,2945,1965,689,37178,41,32,35,48,42,40,9,0,0,251,1142,760,599,956,1246,1408,1008,654,256,8024,0,0,0,0,0,0,0,0,0,0,142,79,86,65,116,102,63,38,9,706,87,50,26,49,40,26,32,8,0,329,1986,1318,972,1204,1419,1102,813,419,140,9379,16,11,13,16,15,29,35,18,11,158,32,30,21,33,23,20,24,6,0,201,40,16,40,25,27,29,15,9,3,197
LGA20910,10402,5613,4210,8490,8401,6879,4503,4593,2147,55243,41,55,42,45,50,18,8,3,3,271,110,55,49,64,49,49,10,5,0,386,457,311,238,316,462,441,223,202,77,2727,0,0,0,0,0,0,0,0,0,0,4,23,10,3,3,4,0,0,0,53,26,40,41,48,55,17,13,5,0,254,30,61,51,50,64,25,18,6,0,307,3930,2537,2227,3029,2881,1975,776,635,193,18181,1931,1257,957,1415,1560,1193,548,645,384,9895,17043,9980,7903,13628,13656,10660,6153,6105,2814,87937,157,112,151,263,244,168,81,21,3,1200,2727,1509,870,2377,2688,2544,1972,1486,1067,17240,0,0,0,0,0,0,0,0,0,0,105,79,66,84,121,97,78,35,17,676,0,0,0,0,0,0,0,0,0,0,5351,2820,1639,3471,3688,2529,1721,1163,641,23020,7,3,7,12,28,21,18,23,10,136,800,434,268,653,632,297,327,237,64,3709,17,9,7,20,23,19,6,17,0,113
LGA21010,1485,834,610,1094,1454,1395,1024,862,272,9024,9,3,15,7,0,3,0,0,0,37,10,4,3,7,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,10,0,4,0,0,0,25,0,4,7,10,0,4,0,0,0,25,864,475,317,418,418,290,112,54,22,2968,283,179,119,179,219,141,122,106,45,1398,2661,1498,1077,1718,2098,1835,1261,1024,336,13524,9,11,12,17,17,12,0,3,0,86,292,187,162,243,402,457,342,247,114,2441,0,0,0,0,0,0,0,0,0,0,29,22,16,16,34,27,18,18,10,191,0,0,0,0,0,0,0,0,0,0,571,404,281,369,522,499,353,214,90,3292,0,0,0,0,0,7,3,0,0,11,18,0,4,4,4,9,3,3,0,38,15,3,7,10,11,13,3,0,0,64
LGA21110,16984,11759,9187,13631,13080,10735,7117,6440,3154,92090,296,737,732,279,212,92,39,24,0,2409,203,260,281,138,99,56,12,8,0,1073,339,278,156,217,339,309,153,150,79,2019,0,0,0,0,0,0,0,0,0,3,32,87,78,24,26,32,8,8,0,295,32,105,137,67,94,56,34,15,3,546,68,199,208,92,127,89,37,26,3,848,6444,6679,5417,5028,5313,3363,1241,846,291,34627,2972,2968,2225,2132,2421,1739,823,901,668,16860,27873,23808,19073,22217,22377,16815,9591,8480,4212,154454,542,941,1064,773,860,697,260,137,28,5305,3306,2220,1533,2642,3222,2990,2154,1570,1160,20793,0,0,0,0,0,0,0,0,0,0,461,461,273,387,460,307,190,112,90,2741,0,0,4,0,3,3,0,7,6,28,8349,5632,4092,5420,5889,4221,2705,2149,1221,39686,22,34,34,17,44,76,27,33,23,302,1605,909,547,1384,1346,594,749,632,147,7917,29,15,37,41,23,18,17,9,3,197
LGA21180,19519,15171,14026,15402,15951,13780,8411,4765,1152,108179,286,359,478,245,177,90,35,10,5,1681,2156,1546,1481,1201,986,685,233,96,17,8407,4,3,9,3,12,5,4,3,0,43,0,0,0,0,0,0,0,0,0,3,188,288,248,111,77,36,10,7,3,970,48,73,82,68,56,30,13,3,0,381,238,359,335,183,131,71,24,11,3,1356,4105,2737,2927,2379,1893,975,359,248,46,15679,3479,2319,2157,2065,1914,1330,693,560,173,14684,34496,25131,24304,24940,23728,17929,10245,5959,1479,168221,4570,3388,3297,3957,3458,1825,651,351,77,21565,1086,924,873,1113,1312,1441,822,473,212,8252,20,19,3,19,20,5,5,8,0,100,487,329,338,309,274,202,133,75,37,2187,3,4,3,0,3,3,0,0,0,20,11798,9042,8273,8913,9248,8714,5744,3177,1006,65921,32,26,17,24,29,28,11,18,0,189,2500,1966,2017,2511,2274,2504,1801,961,215,16754,101,104,91,100,102,116,65,40,15,738
LGA21270,916,441,328,648,794,776,668,546,195,5307,0,0,0,0,0,0,0,0,0,3,3,0,3,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,4,0,0,0,0,17,7,0,0,3,4,0,0,0,0,17,319,117,121,138,109,97,34,22,4,956,126,39,40,81,62,74,74,36,8,541,1366,598,503,869,974,947,778,611,207,6850,3,0,0,7,0,0,4,0,0,15,72,72,48,93,158,200,141,83,43,906,0,0,0,0,0,0,0,0,0,0,27,13,9,10,23,12,6,3,5,109,0,0,0,0,0,0,0,0,0,0,402,220,141,208,286,254,203,164,70,1940,0,0,0,0,0,0,3,0,0,5,3,0,5,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3
LGA21370,4476,2428,2088,3435,3670,3578,2683,1841,689,24880,3,0,3,0,0,0,0,0,0,8,20,12,12,16,16,4,3,0,0,82,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,4,5,13,19,10,6,8,3,0,63,8,9,15,18,9,6,8,7,0,76,2249,1079,1012,1022,870,506,235,130,46,7140,1011,509,383,557,525,430,297,184,43,3942,7773,4051,3520,5061,5107,4540,3218,2155,783,36209,8,11,28,14,33,14,3,0,0,121,980,581,401,931,1154,1253,1062,629,241,7235,0,0,0,0,0,0,0,0,0,0,55,37,23,36,62,50,58,23,7,354,0,0,0,0,0,0,0,0,0,0,2024,1158,871,1116,1345,1048,905,481,156,9103,5,0,3,8,12,18,14,4,3,72,15,12,4,24,14,9,6,5,0,89,13,9,9,3,13,16,0,6,3,62
LGA21450,6766,3800,3215,5307,4805,3980,2384,1508,502,32254,9,14,23,16,11,3,0,0,0,77,36,27,18,26,19,3,3,0,0,126,7,0,10,4,11,8,3,3,0,44,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,0,0,16,33,19,42,33,38,25,4,3,0,203,34,20,51,39,38,25,4,3,0,213,4990,2460,2572,2663,1880,1047,328,170,50,16165,2206,1177,980,1288,965,732,328,221,64,7979,14081,7526,6920,9394,7788,5818,3054,1907,628,57116,135,90,155,171,101,54,17,3,3,725,2171,1303,1148,1961,2046,1796,1249,670,298,12647,0,0,0,0,0,0,0,0,0,0,322,128,178,174,161,124,85,44,27,1244,12,10,9,3,6,3,3,0,0,52,4175,2563,2326,2708,2526,1682,1040,550,160,17738,35,19,16,26,23,25,35,17,3,188,158,81,94,135,95,56,39,22,7,686,29,21,30,28,29,23,10,8,3,191
LGA21610,27355,17108,16301,21410,19267,13488,7701,4454,1241,128327,773,382,712,618,345,135,50,11,3,3022,2341,1358,1270,1186,763,367,145,40,12,7475,21,3,15,25,14,16,6,7,0,107,5,3,0,4,0,0,0,0,0,16,239,118,174,132,96,35,21,9,0,828,131,124,166,146,125,43,18,6,0,769,372,244,345,279,224,82,41,15,3,1612,13324,7014,8040,6982,4676,2153,711,461,128,43491,6773,3717,3561,3851,3102,1807,871,618,222,24514,52664,30633,31349,35705,29347,18340,9646,5658,1621,214962,2451,1200,1792,1914,1469,721,201,92,31,9862,4491,3051,2680,4651,4906,4218,2701,1628,644,28973,4,0,0,0,3,0,0,0,0,8,961,574,532,609,580,442,313,152,48,4197,35,42,17,19,27,9,15,6,4,184,15725,10203,9355,11070,10586,7149,4029,2132,607,70855,135,89,58,89,122,94,66,46,11,702,1847,1158,1297,1531,1222,830,523,249,39,8689,162,109,102,137,133,108,52,27,10,845
