LGA_CODE_2016,C16_75_99_CF_CU15_NDS,C16_75_99_CF_NCU15_DS,C16_75_99_CF_NDCO,C16_75_99_CF_T,C16_100_149_CF_NC,C16_100_149_CF_Cu15DS_,C16_100_149_CF_CU15_NDS,C16_100_149_CF_NCU15_DS,C16_100_149_CF_NDCO,C16_100_149_CF_T,C16_150_199_CF_NC,C16_150_199_CF_Cu15DS_,C16_150_199_CF_CU15_NDS,C16_150_199_CF_NCU15_DS,C16_150_199_CF_NDCO,C16_150_199_CF_T,C16_200_224_CF_NC,C16_200_224_CF_Cu15DS_,C16_200_224_CF_CU15_NDS,C16_200_224_CF_NCU15_DS,C16_200_224_CF_NDCO,C16_200_224_CF_T,C16_225_274_CF_NC,C16_225_274_CF_Cu15DS_,C16_225_274_CF_CU15_NDS,C16_225_274_CF_NCU15_DS,C16_225_274_CF_NDCO,C16_225_274_CF_T,C16_275_349_CF_NC,C16_275_349_CF_Cu15DS_,C16_275_349_CF_CU15_NDS,C16_275_349_CF_NCU15_DS,C16_275_349_CF_NDCO,C16_275_349_CF_T,C16_350_449_CF_NC,C16_350_449_CF_Cu15DS_,C16_350_449_CF_CU15_NDS,C16_350_449_CF_NCU15_DS,C16_350_449_CF_NDCO,C16_350_449_CF_T,C16_450_549_CF_NC,C16_450_549_CF_Cu15DS_,C16_450_549_CF_CU15_NDS,C16_450_549_CF_NCU15_DS,C16_450_549_CF_NDCO,C16_450_549_CF_T,C16_550_649_CF_NC,C16_550_649_CF_Cu15DS_,C16_550_649_CF_CU15_NDS,C16_550_649_CF_NCU15_DS,C16_550_649_CF_NDCO,C16_550_649_CF_T,C16_650_749_CF_NC,C16_650_749_CF_Cu15DS_,C16_650_749_CF_CU15_NDS,C16_650_749_CF_NCU15_DS,C16_650_749_CF_NDCO,C16_650_749_CF_T,C16_750_849_CF_NC,C16_750_849_CF_Cu15DS_,C16_750_849_CF_CU15_NDS,C16_750_849_CF_NCU15_DS,C16_750_849_CF_NDCO,C16_750_849_CF_T,C16_850_949_CF_NC,C16_850_949_CF_Cu15DS_,C16_850_949_CF_CU15_NDS,C16_850_949_CF_NCU15_DS,C16_850_949_CF_NDCO,C16_850_949_CF_T,C16_950over_CF_NC,C16_950ov_CF_Cu15DS_,C16_950ov_CF_CU15_NDS,C16_950ov_CF_NCU15_DS,C16_950ov_CF_NDCO,C16_950ov_CF_T,C16_Rns_CF_NC,C16_Rns_CF_Cu15DS_,C16_Rns_CF_CU15_NDS,C16_Rns_CF_NCU15_DS,C16_Rns_CF_NDCO,C16_Rns_CF_T,C16_Tot_CF_NC,C16_Tot_CF_Cu15DS_,C16_Tot_CF_CU15_NDS,C16_Tot_CF_NCU15_DS,C16_Tot_CF_NDCO,C16_Tot_CF_Tot
LGA10850,0,0,0,0,0,0,0,0,0,9,14,0,3,3,0,24,15,0,12,0,4,36,29,5,17,0,6,68,14,0,32,3,3,58,9,0,22,0,0,26,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,102,9,106,13,21,252
LGA10900,0,0,0,7,9,0,3,0,0,18,13,0,9,0,0,21,22,3,13,0,6,46,61,4,31,0,10,100,155,17,125,10,15,314,345,51,370,31,40,832,124,36,209,17,28,424,33,15,70,10,8,140,5,4,12,3,4,26,0,0,9,0,0,10,0,0,0,0,3,4,3,0,3,0,0,6,27,0,15,4,5,53,848,139,900,81,117,2082
LGA10950,0,0,3,0,8,3,4,0,0,14,12,0,9,0,0,27,3,0,0,4,3,10,8,0,4,0,0,22,6,0,3,0,0,14,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,13,55,10,45,6,11,130
LGA11100,0,0,0,6,19,3,8,0,3,31,83,3,12,7,3,110,28,3,7,3,7,44,36,4,19,3,3,65,51,0,53,8,6,122,293,29,370,36,32,767,317,20,231,15,35,619,352,24,212,13,25,628,337,16,221,39,26,639,64,8,105,10,8,199,42,5,38,4,6,100,40,4,29,10,7,92,41,3,26,4,3,84,1738,133,1358,161,171,3560
LGA11150,3,0,0,0,4,0,7,3,0,13,9,0,10,0,0,20,10,0,12,0,0,20,3,0,3,0,3,10,9,0,7,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,13,64,4,66,3,7,142
LGA11200,16,0,0,32,11,0,12,0,0,24,8,0,9,0,0,13,0,0,0,0,0,4,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,54,9,48,0,12,124
LGA11250,13,0,0,24,20,3,14,0,4,41,38,0,29,5,5,83,22,5,33,0,4,67,57,5,34,4,3,102,33,0,38,0,3,78,15,0,24,0,0,36,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,6,0,0,19,239,18,212,9,25,514
LGA11300,0,0,0,3,12,0,0,0,3,14,30,0,7,3,0,36,9,0,7,0,0,17,24,3,14,0,0,48,61,0,18,3,0,83,219,3,150,8,10,388,444,23,267,36,31,801,260,31,168,34,17,505,139,9,101,23,12,280,48,5,40,6,4,104,20,4,20,4,3,42,17,6,10,3,3,35,40,3,14,10,3,68,1358,95,836,138,89,2509
LGA11350,0,0,0,5,5,0,7,0,0,9,13,0,4,0,0,19,20,0,12,3,0,40,25,0,15,0,4,49,61,0,31,0,5,99,139,15,142,10,14,315,109,16,134,15,15,284,78,11,99,6,6,202,29,5,45,5,3,80,9,4,23,0,0,36,13,3,6,0,0,26,17,0,19,0,0,32,8,0,11,3,0,29,573,58,574,49,53,1311
LGA11400,5,0,0,5,15,3,7,0,4,27,16,3,22,0,4,43,22,5,10,0,4,46,25,3,38,3,3,71,7,6,36,6,3,56,8,3,6,0,0,21,3,0,3,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,13,0,0,29,148,34,195,15,19,406
LGA11450,0,0,0,4,10,0,4,0,0,19,32,0,6,3,3,49,14,0,4,4,4,28,39,5,34,3,3,83,59,0,38,3,9,114,235,21,255,21,56,586,355,101,522,65,119,1153,128,74,265,49,58,576,16,5,40,7,11,84,8,3,9,4,3,27,0,0,4,0,0,7,3,0,3,0,0,10,32,0,26,3,9,77,962,222,1240,167,281,2868
LGA11500,3,0,0,24,58,7,31,3,9,116,266,24,97,15,34,433,92,10,71,15,38,225,106,40,103,19,58,328,422,81,510,46,123,1182,1087,262,1654,149,279,3423,326,138,577,78,126,1246,72,35,144,15,31,294,11,8,16,3,8,45,8,3,3,0,3,17,3,0,3,0,0,6,0,0,3,0,0,6,71,12,70,13,27,186,2604,618,3318,366,739,7649
LGA11520,0,0,0,3,21,0,7,0,0,27,36,0,10,0,0,48,34,0,4,3,0,45,65,0,24,0,10,100,83,3,24,10,9,127,222,4,101,9,13,356,982,21,398,30,32,1456,913,26,561,43,51,1592,664,31,500,52,52,1293,231,25,256,27,29,559,82,10,136,24,20,271,113,30,169,25,25,357,69,7,48,14,5,141,3581,180,2278,239,259,6531
LGA11570,4,0,6,63,158,10,52,11,18,244,554,22,142,47,58,827,253,34,90,35,60,472,257,68,191,52,85,646,901,140,1202,104,135,2479,2414,383,3673,325,325,7113,1355,465,2228,272,443,4753,544,306,1083,179,212,2322,228,144,450,90,84,998,52,19,113,29,28,243,27,4,46,8,8,101,20,9,34,6,3,80,221,42,209,48,75,601,7265,1663,9713,1227,1579,21452
LGA11600,0,0,0,3,12,0,6,0,3,16,9,0,15,0,0,24,4,0,12,0,0,16,9,0,6,0,0,17,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,3,18,64,7,84,5,11,177
LGA11650,0,0,0,19,92,0,18,3,9,129,292,13,38,13,24,382,170,9,73,7,22,285,383,27,161,20,47,635,1190,83,792,83,180,2339,2058,257,2197,201,391,5102,740,255,1150,161,179,2484,197,73,320,76,70,740,65,31,101,20,24,248,19,8,40,15,7,90,13,3,23,0,5,48,10,6,24,5,3,51,114,21,100,15,30,271,5545,802,5138,632,1021,13137
LGA11700,11,0,3,13,6,0,15,0,4,28,3,0,3,0,0,10,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,26,8,58,0,11,103
LGA11720,0,0,0,9,19,0,0,3,6,31,70,4,14,3,12,99,56,4,39,0,12,104,158,10,99,7,14,293,309,37,316,12,49,727,174,59,294,28,36,593,21,6,20,0,5,49,11,3,3,0,5,20,3,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,25,4,8,0,6,41,886,133,819,67,149,2052
LGA11730,0,0,0,12,26,3,10,0,0,42,69,9,29,5,6,112,74,3,34,3,6,123,154,17,97,3,26,301,239,41,238,28,37,575,117,28,154,12,22,333,19,10,26,3,0,59,3,0,7,0,0,11,3,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,22,3,13,0,8,52,784,119,662,64,122,1753
LGA11750,8,0,0,18,12,0,8,0,0,21,28,9,49,0,4,91,10,0,13,0,0,24,15,0,7,0,0,24,18,3,19,0,0,43,3,0,6,0,0,8,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,12,123,21,129,5,12,287
LGA11800,0,0,0,0,23,4,15,0,3,41,99,7,22,0,4,131,60,8,29,4,13,108,176,8,108,7,14,312,338,27,278,27,48,722,433,107,525,58,81,1206,137,42,230,19,40,463,26,6,45,7,6,92,3,0,14,3,0,16,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,9,39,3,23,3,4,75,1389,218,1305,133,210,3260
LGA12000,0,0,0,4,4,0,3,0,0,7,12,0,12,5,0,25,8,0,4,0,0,14,15,0,6,0,0,22,6,3,11,0,0,16,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,6,64,9,48,5,3,136
LGA12150,4,0,0,4,8,0,3,0,0,18,11,3,7,0,0,26,6,3,9,0,3,18,10,3,5,0,0,18,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,8,65,11,56,5,11,142
LGA12350,0,0,0,3,20,0,4,0,5,29,57,0,31,5,8,93,28,3,32,6,8,71,51,10,45,0,7,110,11,3,17,0,3,45,5,0,8,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,3,3,0,16,211,23,175,18,29,452
LGA12380,6,3,0,43,100,3,42,6,3,155,301,21,98,29,29,480,149,14,77,16,21,274,161,35,154,38,38,422,452,75,484,50,64,1117,1972,283,3136,216,243,5846,1095,394,1997,238,289,4017,377,151,593,104,107,1333,116,60,190,36,50,454,40,19,51,11,16,144,3,11,21,3,0,35,17,5,18,3,3,52,150,27,150,36,41,405,5102,1114,7140,816,932,15104
LGA12700,0,0,0,0,10,0,0,3,3,19,8,0,5,0,4,18,10,3,5,0,0,15,14,0,17,0,5,29,13,3,34,4,3,48,12,3,11,3,6,32,0,0,4,0,0,9,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,9,87,16,90,13,15,217
LGA12730,0,0,0,3,10,3,9,0,0,23,39,3,17,3,0,69,13,0,18,0,0,36,36,0,22,3,0,59,18,7,21,0,0,53,11,0,12,0,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,12,0,0,22,158,22,128,14,12,323
LGA12750,0,0,0,5,17,0,7,0,3,28,57,6,27,4,14,114,52,3,28,0,3,86,119,6,56,6,9,194,193,14,166,14,36,427,131,37,161,12,20,356,17,4,18,0,6,40,6,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,0,15,0,4,45,680,83,494,46,103,1394
LGA12850,10,0,5,38,93,7,21,10,13,144,307,15,90,35,35,483,161,18,68,22,52,333,205,48,158,52,66,535,693,106,737,109,149,1799,836,366,1509,280,430,3417,480,394,1026,276,378,2556,87,105,204,67,80,537,31,14,54,15,27,144,12,6,13,4,3,47,5,3,3,3,3,21,3,5,6,3,3,22,100,26,102,29,38,312,3182,1134,4135,921,1327,10701
LGA12870,3,0,0,4,14,0,8,0,0,23,39,0,11,0,0,52,26,0,14,0,0,40,41,3,41,7,7,91,33,9,45,0,3,88,3,0,4,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,10,185,17,153,14,15,383
LGA12900,3,0,0,7,19,0,9,0,0,29,39,3,22,0,6,68,18,3,15,3,3,41,23,4,28,0,4,58,6,0,13,0,0,23,3,0,3,0,0,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,0,3,21,163,16,128,10,15,336
LGA12930,0,0,0,11,41,0,5,0,0,48,101,3,17,7,8,138,69,3,25,0,12,106,105,9,44,7,15,183,192,16,125,19,17,374,1192,48,913,78,105,2339,1369,140,1103,133,159,2906,631,108,623,97,109,1561,157,49,221,34,58,514,57,17,99,16,21,205,21,6,23,6,8,72,36,13,31,8,6,97,133,8,53,9,19,223,4218,428,3365,443,554,9005
LGA12950,0,0,0,0,9,0,9,0,0,14,21,0,16,0,0,41,9,0,9,0,0,20,3,0,13,3,0,19,3,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,7,70,4,69,3,3,150
LGA13010,0,0,0,4,15,0,4,0,0,21,32,0,14,0,0,44,20,3,9,0,0,38,28,4,43,4,3,79,15,6,15,3,0,45,0,0,7,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,0,3,15,146,18,115,12,15,300
LGA13310,0,0,0,4,20,0,3,0,4,32,53,3,17,3,4,87,37,5,24,0,3,70,73,16,64,3,14,169,154,22,158,11,25,368,79,28,164,11,14,297,8,7,21,6,3,40,3,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,13,0,3,41,496,76,492,44,85,1186
LGA13340,0,0,0,0,6,3,5,0,0,20,21,0,25,3,3,54,22,8,24,0,0,47,14,0,23,0,3,40,8,3,21,0,0,34,3,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,3,0,11,106,15,142,11,9,288
LGA13450,0,0,3,10,40,5,12,4,0,63,107,11,82,12,14,224,62,8,58,6,8,137,102,11,144,9,3,269,77,16,142,9,15,265,38,28,86,12,17,177,0,3,3,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,24,0,20,0,0,46,482,89,592,50,67,1285
LGA13510,0,0,0,3,14,0,11,0,0,33,42,0,20,0,9,65,32,4,22,0,3,55,48,6,33,0,3,98,11,7,30,0,0,45,3,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,25,205,17,164,10,23,413
LGA13550,0,0,0,3,11,0,3,0,0,17,19,0,4,0,0,24,25,8,14,3,0,48,35,3,33,3,8,78,51,7,57,0,12,128,63,6,77,4,7,153,8,0,27,0,0,36,3,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,13,3,13,0,3,25,274,29,258,22,34,610
LGA13660,0,0,0,5,15,3,15,0,0,35,11,7,6,3,0,25,9,0,11,0,0,23,9,3,9,3,0,19,4,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,0,3,14,101,19,101,12,12,242
LGA13800,0,0,0,4,3,0,0,3,4,11,33,0,11,3,0,48,45,3,11,0,8,63,81,12,78,6,14,197,129,16,88,6,16,247,319,50,384,27,65,848,148,31,215,25,50,468,43,17,48,8,9,132,20,4,16,3,12,55,3,3,16,0,3,26,8,0,5,0,3,13,4,0,9,3,3,17,21,7,27,0,11,63,899,164,955,94,204,2323
LGA13850,3,0,0,4,11,0,10,0,0,24,12,0,15,0,3,29,10,0,10,0,0,13,4,0,8,0,0,12,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,54,6,52,0,9,128
LGA13910,0,0,0,3,25,0,11,0,0,29,44,0,27,0,5,82,46,3,40,0,5,91,72,10,74,3,3,164,32,10,66,3,5,112,10,0,19,3,4,34,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,0,18,0,3,37,309,25,309,17,39,699
LGA14000,0,0,0,7,25,0,3,0,0,38,42,0,9,3,4,57,27,0,10,3,4,48,46,3,25,8,3,85,113,9,51,10,15,193,421,21,298,43,27,801,668,82,881,68,62,1757,321,106,638,97,83,1240,127,88,358,97,44,721,52,55,186,63,24,378,26,31,107,30,16,205,20,25,72,20,11,145,70,14,54,10,17,165,2034,445,2761,472,314,6020
LGA14100,0,0,0,0,9,0,0,0,0,9,17,0,0,3,0,22,6,0,0,0,0,9,9,0,0,0,0,11,0,0,7,0,0,9,27,0,13,0,0,41,39,0,21,3,7,73,39,0,28,4,3,75,26,3,29,0,3,66,12,3,18,3,3,44,10,7,21,3,3,41,19,13,49,14,3,101,10,0,6,0,0,18,244,30,208,28,26,541
LGA14170,0,0,0,13,39,0,15,0,0,58,82,3,18,9,11,118,67,0,27,4,10,108,160,3,41,6,8,220,397,8,119,10,21,551,1734,42,634,57,67,2536,2030,36,825,56,66,3019,1396,29,596,41,65,2128,948,30,567,37,37,1617,533,17,390,28,14,983,246,17,296,25,11,604,331,34,441,52,29,891,138,4,67,21,7,244,8220,255,4140,359,361,13333
LGA14200,4,0,0,8,24,3,7,3,3,45,40,4,23,0,0,68,40,3,38,4,0,90,54,4,59,0,14,134,63,9,97,9,14,192,17,8,28,0,3,55,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,7,3,0,24,296,52,302,23,43,711
LGA14300,0,0,0,0,6,0,7,0,0,13,9,0,16,0,5,28,8,3,4,0,0,16,12,3,16,0,0,40,7,0,22,0,3,35,5,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,9,75,6,87,4,8,181
LGA14350,0,0,0,0,24,0,13,0,0,39,46,11,15,4,6,84,44,4,23,0,9,85,79,11,69,6,13,180,89,13,119,4,20,250,37,10,74,5,10,137,0,0,8,0,0,15,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,19,0,9,0,3,32,370,53,348,28,70,866
LGA14400,0,0,0,6,5,0,0,0,0,4,4,0,4,0,0,14,7,0,0,0,0,13,20,0,5,0,3,26,34,0,28,3,3,76,106,15,71,13,15,216,68,14,98,3,19,195,20,6,39,4,4,66,8,3,20,0,0,36,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,10,0,5,0,0,22,313,46,290,25,51,728
