LGA_CODE_2016,C16_OTT_DS_FUA,C16_OTT_DS_OD,C16_OTT_DS_NS_,C16_OTT_Tot,C16_TT_NS_DS_Sep_house,C16_TT_NS_DS_SemiDRTHT,C16_TT_NS_DS_FUA,C16_TT_NS_DS_OD,C16_TT_NS_DS_NS_,C16_TT_NS_T,C16_Tot_DS_Sep_house,C16_Tot_DS_SemiDRTHT,C16_Tot_DS_FUA,C16_Tot_DS_OD,C16_Tot_DS_NS_,C16_T_T
LGA23670,139,0,0,778,1959,514,179,66,18,2735,46739,6822,1434,339,105,55442
LGA23810,6,0,0,176,2179,244,268,30,59,2791,26438,1891,1672,135,146,30280
LGA23940,0,3,0,37,384,5,15,17,4,426,3097,11,63,93,55,3319
LGA24130,0,0,0,89,1113,83,19,24,21,1252,15659,761,170,98,75,16764
LGA24210,68,0,0,456,1398,465,253,17,90,2220,31764,6692,2866,59,166,41541
LGA24250,0,0,0,58,287,0,25,22,8,350,3354,47,45,65,30,3537
LGA24330,38,7,11,183,1122,628,955,71,29,2807,16360,7894,8043,299,135,32735
LGA24410,13,0,3,258,1566,367,135,19,27,2118,36506,3644,1060,47,110,41362
LGA24600,414,9,14,507,202,617,6773,363,83,8042,1856,7797,55214,480,454,65795
LGA24650,14,0,0,292,2720,461,81,40,12,3315,38356,4946,418,171,91,43981
LGA24780,7,8,19,229,1505,253,249,176,36,2221,17741,1891,1323,535,164,21649
LGA24850,12,3,0,95,1197,74,64,58,7,1395,13721,507,414,165,66,14864
LGA24900,8,0,0,94,905,49,60,51,14,1071,10523,369,536,173,132,11733
LGA24970,141,4,4,566,2336,731,542,19,35,3667,46211,10146,8270,57,224,64913
LGA25060,78,3,0,274,1416,654,1317,27,32,3441,25887,9539,10226,211,159,46010
LGA25150,0,3,0,89,764,94,20,16,16,911,10750,806,146,88,54,11849
LGA25250,43,0,8,374,2264,1346,1114,51,30,4816,35894,17098,11123,325,239,64688
LGA25340,54,0,12,879,3324,527,252,135,20,4251,51346,6147,2846,587,175,61110
LGA25430,5,0,0,62,605,40,6,18,8,672,7451,290,65,67,67,7933
LGA25490,0,0,0,67,496,10,4,33,3,541,6106,96,31,97,49,6372
LGA25620,0,0,0,37,503,33,5,81,8,631,5291,142,57,200,63,5753
LGA25710,32,0,3,142,820,63,48,3,7,937,19102,720,540,17,59,20438
LGA25810,0,8,0,43,365,12,23,58,4,470,4618,95,182,152,56,5105
LGA25900,161,0,3,255,339,789,4585,167,47,5929,4269,11444,34025,651,209,50601
LGA25990,0,0,0,30,250,0,5,18,6,274,2853,0,22,43,20,2943
LGA26080,0,0,0,10,91,12,0,8,0,112,1140,95,32,27,11,1296
LGA26170,19,0,4,111,972,24,27,28,6,1067,11003,260,277,109,70,11718
LGA26260,0,0,7,65,398,24,8,24,6,463,6215,199,116,64,73,6667
LGA26350,158,3,7,337,703,660,2727,32,20,4142,12466,9623,24875,289,168,47417
LGA26430,0,0,0,51,360,20,10,21,7,422,4160,132,102,108,30,4530
LGA26490,5,0,5,117,611,52,20,17,3,706,9951,642,159,68,62,10881
LGA26610,0,5,7,60,866,46,87,129,17,1144,7012,326,486,292,124,8234
LGA26670,0,0,0,29,191,6,4,13,0,217,2402,25,15,45,15,2502
LGA26700,0,0,0,106,719,137,44,55,8,963,10205,1159,120,138,39,11664
LGA26730,29,8,3,119,700,200,201,67,9,1181,10821,1707,785,173,60,13548
LGA26810,3,3,0,128,1281,87,54,50,6,1480,15961,627,446,227,83,17339
LGA26890,0,0,0,25,88,3,0,4,0,96,1583,23,22,24,12,1658
LGA26980,121,0,0,803,1694,779,444,12,30,2965,40727,14467,5011,66,160,60430
LGA27070,110,0,0,477,3334,602,260,8,16,4219,55525,8573,2294,31,116,66528
LGA27170,0,0,0,97,811,194,41,51,4,1100,12926,1640,366,122,78,15130
LGA27260,32,0,5,430,3692,627,194,51,18,4583,58648,9741,1643,189,84,70297
LGA27350,104,3,3,256,444,1157,2433,108,49,4191,5451,15052,18830,316,219,39867
LGA27450,32,3,5,518,2704,281,31,64,32,3108,50469,2825,267,329,215,54097
LGA27630,0,0,0,18,228,6,6,29,4,270,2704,14,54,55,41,2868
LGA29399,25,0,4,40,3,36,167,4,17,228,91,69,540,9,36,746
LGA29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA30250,0,0,0,0,7,3,3,0,0,13,234,18,30,3,0,284
LGA30300,0,0,0,32,151,8,8,41,8,213,1562,12,39,133,29,1778
LGA30370,0,4,3,66,452,18,38,88,8,601,4997,89,242,324,74,5730
LGA30410,0,3,0,30,90,0,0,33,7,138,1116,0,24,232,31,1402
LGA30450,0,0,0,7,5,0,0,7,18,26,109,0,11,32,22,172
LGA30760,0,0,0,7,49,3,0,12,7,71,741,32,7,74,11,862
LGA30900,0,0,0,11,34,0,0,17,5,51,140,5,5,61,9,218
LGA31000,1097,40,36,3351,13276,4191,9988,888,748,29094,281745,45018,95037,2760,2092,426648
LGA31750,0,0,0,8,20,0,0,3,4,23,131,0,3,18,17,165
LGA31820,36,11,7,473,2313,292,248,377,48,3284,32099,2526,2051,1866,199,38742
LGA31900,7,3,0,60,425,5,69,76,83,658,6115,52,577,386,119,7252
LGA31950,0,0,0,3,22,0,0,4,25,56,88,0,0,68,70,231
LGA32080,40,26,9,455,3298,759,1899,523,275,6751,42595,5973,11325,1785,592,62267
LGA32250,0,6,3,27,65,0,4,73,16,154,586,6,32,462,115,1197
LGA32260,0,13,11,100,930,38,180,206,72,1429,10043,270,925,1148,236,12623
LGA32270,0,40,9,196,1084,45,151,158,63,1502,8671,368,690,831,493,11051
LGA32310,4,8,0,70,473,5,39,91,14,629,4268,63,186,457,57,5027
LGA32330,0,0,0,0,9,0,0,0,0,9,270,6,8,0,0,286
LGA32450,0,12,0,25,137,4,37,119,3,295,865,22,114,356,41,1389
LGA32500,0,27,0,59,241,0,18,361,20,647,1374,14,110,783,48,2326
LGA32600,0,0,0,5,31,0,0,9,3,42,106,0,3,30,3,144
LGA32750,0,5,0,10,23,0,0,11,4,42,104,0,0,58,5,171
LGA32770,0,0,0,7,15,20,3,0,0,35,212,32,39,6,0,282
LGA32810,3,6,0,43,419,78,140,105,16,761,3489,629,669,659,97,5539
LGA33100,0,4,3,13,27,0,0,152,14,187,274,0,6,246,85,603
LGA33200,0,0,0,13,62,14,0,3,23,99,431,179,9,15,90,725
LGA33220,76,44,13,547,2647,415,215,444,169,3892,35542,3488,1413,2317,463,43228
LGA33360,22,14,0,123,1360,164,298,212,11,2041,19856,1164,1654,1138,96,23905
LGA33430,486,30,6,1573,7776,4072,6319,835,471,19471,121735,44154,45469,3126,1166,215645
LGA33610,0,3,0,54,426,12,38,36,6,520,3736,86,277,183,61,4348
LGA33620,22,14,0,157,1439,119,93,258,31,1943,18078,895,503,1054,122,20647
LGA33800,3,6,0,42,353,11,36,45,8,449,4158,55,237,357,36,4843
LGA33830,0,0,0,0,23,0,0,0,0,23,252,5,0,0,0,259
LGA33960,7,3,6,263,4128,846,182,118,36,5309,60097,5922,1107,418,179,67725
LGA33980,0,10,8,84,691,76,86,84,31,970,6077,479,444,517,87,7611
LGA34420,0,0,0,4,11,3,0,0,4,14,186,75,3,0,4,261
LGA34530,56,11,3,170,832,81,114,191,97,1317,11631,566,835,961,168,14163
LGA34570,0,5,0,8,22,0,0,7,0,31,176,5,3,31,0,214
LGA34580,6,0,0,98,1196,45,31,211,24,1512,12765,351,250,478,115,13963
LGA34590,120,0,9,647,6101,1181,365,136,63,7846,87941,11033,2926,719,321,102934
LGA34710,5,15,0,34,131,10,14,65,0,219,1338,57,78,423,24,1920
LGA34770,67,18,11,449,2514,395,387,476,99,3866,36539,3728,2199,1322,342,44125
LGA34800,0,0,0,3,21,0,0,8,5,40,268,11,3,48,41,372
LGA34830,0,0,0,0,4,0,0,3,0,9,82,0,7,9,0,96
LGA34860,0,4,3,65,462,23,9,41,13,549,4590,159,69,263,62,5149
LGA34880,0,11,0,70,853,25,58,212,50,1195,7475,131,308,601,96,8610
LGA35010,331,21,8,1547,6813,1530,914,363,84,9702,127589,17320,8089,1798,419,155216
LGA35250,0,0,0,3,10,0,0,0,0,10,241,23,4,9,0,281
LGA35300,3,3,4,51,626,135,86,235,82,1167,5218,1046,432,446,168,7303
LGA35600,0,3,0,27,135,7,12,31,16,197,1591,48,43,173,41,1894
LGA35670,0,3,0,3,0,0,0,3,0,6,190,40,0,14,0,250
LGA35740,20,12,3,363,977,239,248,117,56,1637,16887,2671,1796,572,194,22110
LGA35760,3,3,0,44,468,14,31,182,7,699,3985,44,122,545,33,4726
LGA35780,0,13,3,13,31,3,3,59,53,151,584,50,27,187,59,908
LGA35790,0,4,0,4,8,4,0,4,0,16,406,32,37,23,0,496
LGA35800,0,0,3,12,69,0,0,8,8,84,681,18,4,45,55,799
LGA36070,0,0,0,4,8,0,3,3,0,17,182,0,45,23,0,250
LGA36150,0,0,0,12,17,0,10,16,0,46,309,0,26,37,9,383
LGA36250,280,10,6,864,2032,412,179,101,77,2802,45997,5207,2480,506,256,54440
LGA36300,0,0,0,12,28,0,0,12,4,43,306,10,0,26,43,388
LGA36370,11,17,9,224,1878,248,211,253,54,2649,26281,2155,1371,763,151,30719
LGA36510,14,7,3,117,1209,81,19,85,9,1404,14096,573,215,312,61,15252
LGA36580,0,3,7,72,833,7,6,22,31,902,8962,89,47,145,123,9360
LGA36630,0,8,0,107,928,40,47,121,9,1141,11973,361,449,440,64,13284
LGA36660,5,11,5,129,886,72,46,86,18,1113,12727,752,370,337,102,14293
LGA36720,153,39,13,2043,4350,1297,1707,530,206,8095,83411,14465,14579,3219,743,116419
LGA36820,3,13,0,104,811,29,55,124,45,1059,9147,290,453,638,106,10625
LGA36910,93,7,18,641,3328,741,381,149,171,4769,50996,7015,2945,543,454,61957
LGA36950,0,4,0,12,177,22,8,14,19,235,810,78,101,73,19,1082
LGA36960,0,0,0,15,91,3,4,4,0,103,1018,59,7,6,0,1090
LGA37010,34,23,8,606,3742,848,905,285,133,5912,56203,7448,5789,1496,336,71282
LGA37300,0,0,0,5,78,50,3,67,12,207,800,413,42,132,16,1406
LGA37310,0,8,3,119,1289,102,102,142,19,1658,11503,557,465,326,100,12954
LGA37340,9,16,5,90,1055,191,223,318,224,2015,9873,1077,1174,1313,417,13860
LGA37400,0,4,0,11,51,0,3,51,0,105,441,8,26,242,10,725
LGA37550,0,0,0,0,17,0,0,0,0,19,224,32,0,0,0,258
LGA37570,0,0,0,0,3,0,0,0,0,0,70,0,16,0,0,82
LGA37600,0,6,0,8,10,0,3,12,0,24,333,54,34,68,0,490
LGA39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA40070,56,3,4,100,93,333,646,130,46,1247,1152,3380,5168,197,104,10004
LGA40120,18,0,17,175,606,30,7,18,7,668,13692,328,115,58,106,14293
LGA40220,0,0,3,220,623,23,24,25,3,694,10186,289,188,157,40,10859
LGA40250,0,0,0,14,59,13,0,7,6,85,536,57,0,12,6,610
LGA40310,16,5,3,203,431,41,26,21,3,515,8536,526,146,124,52,9382
LGA40430,0,0,0,44,71,0,0,9,0,88,1038,34,16,43,12,1141
LGA40520,12,0,0,50,296,52,33,49,8,439,3838,336,240,113,34,4558
LGA40700,83,0,0,339,362,242,146,4,6,759,11594,3905,1850,15,34,17390
LGA40910,30,0,0,392,528,217,109,0,4,856,14625,3549,1620,13,53,19852
LGA41010,4,37,0,48,141,0,9,134,3,286,1245,16,58,428,11,1760
LGA41060,24,3,4,624,1407,814,440,27,14,2687,28963,12510,4511,156,164,46300
LGA41140,0,6,0,38,240,14,7,28,3,294,3497,136,38,96,39,3805
LGA41190,0,3,0,16,53,0,0,42,0,92,733,0,0,114,11,858
LGA41330,0,0,3,15,165,0,0,6,17,189,796,5,0,44,66,922
LGA41560,23,3,0,94,379,33,25,35,4,476,5608,316,146,114,26,6210
LGA41750,0,0,0,7,19,0,0,8,0,31,400,3,3,76,11,497
LGA41830,0,0,0,3,42,0,3,23,0,71,678,29,15,55,8,778
LGA41960,0,3,0,11,43,5,0,41,0,90,496,31,3,80,3,613
LGA42030,24,0,0,191,420,124,16,26,3,592,7796,1426,134,106,32,9498
LGA42110,0,0,0,18,134,3,0,10,5,161,1673,51,0,53,25,1797
LGA42250,0,0,0,28,161,3,0,4,0,171,2802,16,8,34,17,2874
LGA42600,207,0,10,398,332,321,347,19,12,1042,8114,4422,3077,76,76,15762
LGA42750,0,0,0,21,182,4,0,12,12,214,1923,42,24,30,37,2054
LGA43080,0,0,0,11,34,0,0,3,0,34,429,0,0,16,0,446
LGA43220,0,0,0,10,23,0,0,0,3,32,406,9,0,7,6,429
LGA43360,0,0,0,11,62,4,0,0,0,66,952,38,14,11,3,1019
LGA43650,0,4,0,36,248,9,3,3,0,270,5104,69,14,38,19,5243
LGA43710,0,3,0,18,116,0,0,25,3,148,1975,17,3,102,15,2115
LGA43790,0,0,0,87,260,35,15,37,3,353,4225,285,142,114,23,4796
LGA43920,0,0,0,18,232,3,0,13,4,254,3150,21,3,33,26,3242
LGA44000,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15
LGA44060,39,3,4,426,1066,593,247,11,9,1932,25116,8742,2592,58,119,36635
LGA44210,0,3,0,41,297,8,4,20,3,325,3622,40,13,134,38,3848
