LGA_CODE_2016,C16_1500_1999_R100_149,C16_1500_1999_R150_199,C16_1500_1999_R200_224,C16_1500_1999_R225_274,C16_1500_1999_R275_349,C16_1500_1999_R350_449,C16_1500_1999_R450_549,C16_1500_1999_R550_649,C16_1500_1999_R650m,C16_1500_1999_R_NS,C16_1500_1999_R_Tot,C16_2000_2499_R0_74,C16_2000_2499_R75_99,C16_2000_2499_R100_149,C16_2000_2499_R150_199,C16_2000_2499_R200_224,C16_2000_2499_R225_274,C16_2000_2499_R275_349,C16_2000_2499_R350_449,C16_2000_2499_R450_549,C16_2000_2499_R550_649,C16_2000_2499_R650m,C16_2000_2499_R_NS,C16_2000_2499_R_Tot,C16_2500_2999_R0_74,C16_2500_2999_R75_99,C16_2500_2999_R100_149,C16_2500_2999_R150_199,C16_2500_2999_R200_224,C16_2500_2999_R225_274,C16_2500_2999_R275_349,C16_2500_2999_R350_449,C16_2500_2999_R450_549,C16_2500_2999_R550_649,C16_2500_2999_R650m,C16_2500_2999_R_NS,C16_2500_2999_R_Tot,C16_3000_3999_R0_74,C16_3000_3999_R75_99,C16_3000_3999_R100_149,C16_3000_3999_R150_199,C16_3000_3999_R200_224,C16_3000_3999_R225_274,C16_3000_3999_R275_349,C16_3000_3999_R350_449,C16_3000_3999_R450_549,C16_3000_3999_R550_649,C16_3000_3999_R650m,C16_3000_3999_R_NS,C16_3000_3999_R_Tot,C16_4000m_R0_74,C16_4000m_R75_99,C16_4000m_R100_149,C16_4000m_R150_199,C16_4000m_R200_224,C16_4000m_R225_274,C16_4000m_R275_349,C16_4000m_R350_449,C16_4000m_R450_549,C16_4000m_R550_649,C16_4000m_R650m,C16_4000m_R_NS,C16_4000m_R_Tot,C16_PI_S_R0_74,C16_PI_S_R75_99,C16_PI_S_R100_149,C16_PI_S_R150_199,C16_PI_S_R200_224,C16_PI_S_R225_274,C16_PI_S_R275_349,C16_PI_S_R350_449,C16_PI_S_R450_549,C16_PI_S_R550_649,C16_PI_S_R650m,C16_PI_S_R_NS,C16_PI_S_R_Tot,C16_AI_NS_R0_74,C16_AI_NS_R75_99,C16_AI_NS_R100_149,C16_AI_NS_R150_199,C16_AI_NS_R200_224,C16_AI_NS_R225_274,C16_AI_NS_R275_349,C16_AI_NS_R350_449,C16_AI_NS_R450_549,C16_AI_NS_R550_649,C16_AI_NS_R650m,C16_AI_NS_R_NS,C16_AI_NS_R_Tot,C16_Tot_R0_74,C16_Tot_R75_99,C16_Tot_R100_149,C16_Tot_R150_199,C16_Tot_R200_224,C16_Tot_R225_274,C16_Tot_R275_349,C16_Tot_R350_449,C16_Tot_R450_549,C16_Tot_R550_649,C16_Tot_R650m,C16_Tot_R_NS,C16_Tot_R_Tot
LGA10850,0,4,7,25,14,3,0,0,0,3,67,3,0,0,0,4,8,16,6,0,0,0,0,46,3,0,0,3,0,3,10,4,0,0,0,0,24,4,0,0,0,0,0,7,0,0,0,0,0,18,0,0,0,0,0,3,0,0,0,0,0,0,8,4,0,0,3,3,9,11,3,0,0,0,3,33,3,0,0,0,4,0,0,0,0,0,0,3,17,75,9,57,78,91,131,102,39,4,3,4,28,618
LGA10900,5,8,13,30,114,321,123,25,11,11,681,13,0,4,9,11,14,60,206,119,24,7,12,474,3,0,0,0,3,0,23,66,78,17,3,6,203,8,0,0,3,0,4,19,57,55,34,13,3,202,3,0,0,0,0,3,4,23,29,30,14,3,102,8,0,3,12,8,25,43,130,47,15,8,10,318,9,6,5,25,9,9,19,21,9,0,0,35,150,217,34,130,356,216,486,980,1773,693,199,76,169,5344
LGA10950,0,4,6,6,3,0,0,0,0,3,34,3,0,6,3,0,4,5,0,0,0,0,0,26,7,0,0,3,0,0,0,0,0,0,0,0,9,4,0,8,3,0,3,0,0,0,0,0,0,20,0,0,3,0,0,0,0,0,0,0,0,3,12,7,0,0,0,3,3,3,0,0,0,0,4,26,0,0,0,0,4,0,0,0,0,0,0,0,11,55,13,49,61,48,41,20,0,0,0,0,27,317
LGA11100,5,3,14,13,34,232,193,143,179,21,856,9,0,6,3,12,12,16,115,166,183,223,20,779,3,0,3,0,0,8,9,63,85,123,200,0,494,7,0,7,0,3,6,17,43,93,155,303,5,629,3,0,0,0,0,3,8,12,32,61,242,12,375,13,0,13,12,9,20,22,89,65,75,179,28,523,15,3,60,7,3,3,3,13,7,9,10,43,170,228,75,665,264,147,153,314,1354,1071,1011,1685,280,7240
LGA11150,3,3,3,0,0,0,0,0,0,4,35,15,0,3,0,5,9,3,0,0,0,0,0,34,9,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,0,4,0,0,0,0,0,33,0,0,0,3,0,0,0,0,0,0,0,0,3,6,0,4,9,0,0,0,0,0,0,0,3,28,0,3,3,0,0,3,0,0,0,0,0,0,18,115,10,48,79,33,25,20,0,3,0,4,26,366
LGA11200,9,7,0,3,0,0,0,0,3,0,44,9,0,0,3,0,0,0,0,0,0,0,0,18,4,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,11,8,0,0,0,0,0,0,0,0,27,3,9,3,3,4,0,0,0,0,0,0,0,22,83,114,64,44,12,3,3,0,0,0,4,13,338
LGA11250,13,29,23,32,23,13,0,0,0,8,172,15,4,7,20,10,30,19,9,0,0,0,7,129,5,3,8,3,3,14,17,3,0,0,0,3,59,12,6,3,5,4,12,15,10,0,0,0,4,79,13,0,3,0,0,7,8,5,0,0,0,0,39,14,3,11,14,12,17,16,13,0,0,0,3,109,9,0,20,25,8,0,3,0,0,0,0,11,71,182,72,202,449,264,256,178,63,5,4,16,70,1761
LGA11300,9,3,7,13,29,123,200,108,99,16,626,17,0,0,4,3,13,25,81,226,123,95,13,589,0,0,0,3,0,3,8,49,108,83,73,7,350,11,0,0,4,4,3,9,43,124,86,90,5,380,11,0,0,0,3,3,0,21,50,47,103,3,240,12,0,8,3,4,9,9,37,80,70,66,29,322,3,0,7,3,5,0,3,11,13,6,15,20,81,171,20,206,132,90,140,236,682,1348,861,950,218,5050
LGA11350,3,5,7,3,19,79,85,51,44,5,324,11,0,0,7,3,0,19,49,57,57,50,6,254,7,0,3,0,5,0,7,14,23,26,42,4,133,0,0,0,3,3,0,7,9,16,28,46,3,125,3,0,0,0,3,0,0,5,4,15,53,0,88,14,0,6,9,13,9,32,71,95,69,81,10,399,7,0,3,10,3,3,3,11,6,3,12,15,69,199,16,79,231,160,222,392,745,602,419,446,124,3636
LGA11400,7,9,8,19,17,12,0,0,0,4,102,18,0,6,8,11,14,7,3,0,0,0,10,71,10,0,0,0,3,6,6,0,0,0,0,0,26,7,0,0,3,0,6,7,5,0,0,0,0,28,3,0,0,3,4,0,4,0,3,0,0,3,22,12,0,9,12,8,9,8,0,0,0,0,7,57,0,0,3,3,0,3,0,0,0,0,0,11,30,175,20,90,160,106,124,97,36,9,4,6,62,889
LGA11450,7,3,3,19,42,213,315,86,16,16,736,11,0,0,3,3,16,16,151,320,134,21,13,694,6,0,0,0,3,12,14,82,209,97,19,3,453,3,0,0,0,0,3,5,43,199,108,21,8,400,0,0,4,0,0,3,0,17,91,98,33,4,248,3,0,0,7,7,9,26,80,140,75,24,22,391,3,0,11,0,0,3,5,14,15,0,0,37,89,128,18,164,94,76,163,293,1181,1815,782,163,164,5047
LGA11500,16,42,42,67,327,1157,303,64,14,26,2076,29,5,12,24,19,51,230,763,314,65,19,23,1543,13,0,3,8,11,20,87,377,180,40,7,10,771,9,0,13,5,9,17,42,245,169,53,8,16,579,4,0,7,9,3,6,18,72,84,41,10,6,260,25,8,51,78,49,60,168,420,163,43,15,55,1138,14,14,80,37,12,19,44,53,15,0,3,103,399,444,190,1507,1159,688,879,2695,6105,1809,397,122,539,16536
LGA11520,3,3,14,21,33,141,427,312,342,31,1365,32,0,9,3,0,26,29,117,472,438,479,23,1620,19,0,6,3,0,11,15,38,254,255,316,6,932,23,0,8,3,7,11,19,52,321,417,707,23,1592,19,0,0,3,3,13,15,24,140,282,798,13,1303,26,0,9,17,17,18,24,57,153,201,340,46,908,12,3,24,14,3,3,4,6,37,19,32,25,179,338,51,414,229,132,188,327,828,2677,2683,3828,364,12067
LGA11570,43,48,61,96,473,1522,1054,419,205,96,4125,65,0,17,35,27,56,228,1054,932,457,248,53,3163,48,3,11,23,18,28,87,463,502,298,165,28,1665,31,0,21,23,15,14,75,304,414,316,291,31,1523,17,4,10,4,6,13,26,92,162,164,245,15,762,74,11,81,134,86,95,274,752,631,324,197,183,2821,42,15,164,68,24,28,49,110,62,29,19,192,797,1471,460,3259,2177,1291,1442,4417,11288,7036,3248,1874,1499,39444
LGA11600,0,7,7,3,0,0,0,0,0,0,48,15,0,3,6,3,3,0,0,0,0,0,6,38,10,0,5,0,0,4,0,0,0,0,0,0,13,7,0,0,4,3,4,0,0,0,0,0,3,17,8,0,0,0,0,0,0,0,0,0,0,0,10,10,0,3,8,3,0,0,0,0,0,0,3,29,4,0,0,0,0,0,4,0,0,0,0,4,12,127,5,51,55,33,29,5,0,4,0,3,37,357
LGA11650,22,47,64,151,773,1754,671,151,84,58,3859,52,3,21,30,31,80,412,1138,650,189,83,39,2734,27,0,0,12,19,41,150,479,379,126,47,23,1299,19,6,9,16,14,33,100,362,345,155,108,24,1191,18,0,7,3,5,14,36,106,141,88,123,15,558,51,7,48,83,48,123,380,775,388,108,73,81,2160,47,14,151,87,59,66,144,94,29,13,9,164,881,1019,234,1798,1857,1420,2440,6734,10442,4063,1101,655,918,32679
LGA11700,3,0,0,0,0,0,0,0,0,0,26,7,0,0,0,0,0,0,0,0,0,0,0,18,5,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,4,9,3,7,0,6,3,0,0,0,0,0,3,28,7,0,3,0,0,0,0,0,0,0,0,3,11,95,19,82,31,9,8,3,0,0,0,0,23,269
LGA11720,3,11,27,67,242,171,14,6,0,5,569,11,0,3,3,11,40,132,154,11,0,5,7,388,10,0,0,5,3,11,48,66,11,3,0,3,152,8,0,3,7,3,3,27,46,10,3,0,6,115,0,0,0,0,0,4,11,23,6,3,4,4,59,14,0,13,16,8,30,101,64,3,3,3,17,271,11,0,20,21,4,13,34,10,0,0,0,33,161,224,46,346,435,338,935,1793,1028,79,33,27,173,5463
LGA11730,11,18,20,68,133,107,20,10,3,14,418,14,0,4,16,11,25,77,71,14,7,6,11,247,12,0,0,0,9,9,25,26,6,0,3,3,92,5,0,4,4,3,12,20,35,14,3,5,3,119,3,0,0,0,4,4,11,17,7,3,9,5,57,21,0,15,24,17,59,111,53,10,4,3,6,331,13,6,34,22,13,21,17,10,4,0,0,26,169,323,75,386,586,498,981,1361,613,125,38,66,178,5225
LGA11750,13,13,7,12,10,4,0,0,0,9,86,15,8,14,39,4,6,10,0,0,0,0,5,100,8,0,3,11,3,0,12,3,0,0,0,3,43,7,4,7,23,3,5,6,0,0,0,0,0,57,3,3,0,14,3,3,0,4,0,0,0,3,32,3,0,0,16,4,3,4,0,0,0,0,4,38,0,0,3,3,0,3,0,0,0,0,0,3,15,102,38,92,173,63,68,62,20,3,0,5,34,663
LGA11800,14,21,21,83,227,367,94,20,10,17,894,12,0,4,5,4,23,94,230,114,18,13,22,538,5,0,3,3,0,7,28,94,75,17,5,5,240,11,0,5,5,3,9,15,85,73,24,11,4,249,3,0,0,3,0,3,14,38,39,17,10,0,120,11,0,15,14,8,45,113,187,85,14,4,26,515,6,4,34,30,22,19,35,22,11,0,7,49,240,276,50,629,570,513,1076,1898,2312,696,129,88,287,8513
LGA12000,0,0,3,6,8,0,0,0,0,0,26,4,0,3,4,0,9,0,3,0,0,0,0,26,0,0,0,0,0,3,7,0,0,0,0,4,16,3,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,6,7,0,4,0,3,0,0,0,0,0,0,3,16,0,3,3,0,0,0,0,0,0,0,0,0,13,63,17,37,49,32,46,28,8,0,0,0,6,285
LGA12150,4,3,4,5,3,0,0,0,0,3,38,10,3,0,4,9,4,0,0,0,0,0,0,23,3,0,0,0,0,4,0,0,0,0,0,0,8,3,0,0,0,0,3,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,0,3,5,5,0,9,7,0,3,0,0,0,0,0,3,26,5,0,0,3,0,3,3,0,0,0,0,4,20,111,11,63,114,49,50,8,6,0,0,0,28,443
LGA12350,7,9,20,38,11,5,0,0,0,3,109,6,0,7,7,9,10,12,3,4,0,0,0,64,4,0,0,3,5,10,0,0,0,0,0,0,17,7,0,0,3,4,3,3,0,0,0,0,3,21,0,0,0,0,5,0,0,0,0,0,0,0,4,3,0,7,15,8,15,6,5,0,0,0,3,58,3,0,9,9,3,5,0,0,0,0,0,10,36,116,24,197,345,194,230,84,20,4,3,14,53,1288
LGA12380,23,45,41,81,237,1393,861,254,108,58,3157,37,3,18,34,16,40,149,1049,740,216,100,54,2457,32,4,14,9,13,10,68,480,457,166,87,24,1355,34,7,19,15,8,11,47,358,459,167,103,33,1247,17,0,9,7,4,5,31,157,212,135,89,13,694,50,16,78,75,37,51,147,636,489,182,86,119,1966,15,13,88,35,11,10,31,71,60,23,8,126,497,847,296,1710,1255,714,920,2148,8796,5683,1863,878,972,26072
LGA12700,0,0,8,10,14,6,0,0,0,0,45,9,0,0,7,3,3,10,14,4,0,0,3,49,0,0,0,0,0,0,4,3,0,0,0,0,12,4,0,0,0,0,0,5,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,4,6,15,4,0,0,0,3,45,3,0,0,0,0,0,4,0,0,0,0,4,16,77,8,43,64,48,108,123,56,5,3,4,27,575
LGA12730,3,14,15,10,7,3,0,0,3,3,72,10,4,4,7,4,13,8,8,0,0,3,4,58,0,0,0,3,3,9,8,3,0,0,0,3,26,0,0,3,3,3,3,9,0,0,0,0,3,24,0,0,0,0,0,0,0,3,0,0,0,0,8,6,0,13,5,4,8,11,4,0,0,0,3,68,3,0,14,16,4,6,0,0,0,0,0,9,52,86,18,182,225,127,134,106,36,3,0,10,60,995
LGA12750,4,19,17,42,101,90,6,0,4,9,303,12,0,4,13,7,15,43,58,7,0,0,5,173,0,0,0,3,0,6,19,30,5,3,0,0,66,4,0,0,7,0,7,14,13,7,0,3,6,62,0,0,0,0,0,0,9,17,3,0,5,0,33,14,0,12,28,18,31,60,46,3,0,3,13,225,10,0,16,20,15,18,19,4,0,0,0,26,121,207,43,269,472,367,694,913,583,68,7,38,144,3798
LGA12850,25,38,28,94,304,771,469,106,45,52,1986,40,0,7,15,14,47,181,444,378,82,24,35,1273,26,0,3,5,6,18,82,215,210,57,35,14,676,20,3,9,3,6,26,53,148,181,72,20,18,564,12,0,6,7,0,5,20,59,77,30,18,10,240,40,12,46,69,54,72,217,439,297,68,24,76,1414,25,8,60,37,18,33,62,71,61,10,0,82,469,725,187,1397,1290,862,1324,3634,5585,3414,683,273,711,20082
LGA12870,9,15,10,27,31,3,0,0,0,0,107,9,0,0,5,4,18,23,3,0,0,0,0,67,3,3,0,3,4,10,3,0,0,0,0,0,23,3,0,0,4,4,4,3,3,0,0,5,0,27,6,0,0,0,0,0,3,0,0,0,3,3,10,9,0,4,8,10,17,10,3,0,0,0,0,68,4,0,10,13,8,3,3,0,0,0,0,11,50,132,31,121,231,145,228,153,25,3,3,9,36,1119
LGA12900,4,12,16,22,14,0,0,0,0,3,79,9,0,4,7,9,18,12,3,0,0,0,6,63,3,0,0,3,3,0,3,0,0,0,0,0,19,6,0,4,0,5,6,3,0,0,0,0,0,23,3,0,0,0,0,0,4,4,0,0,0,0,11,3,0,6,8,12,4,3,0,0,0,0,3,46,5,6,9,4,10,7,0,0,0,0,0,6,44,119,34,165,222,156,149,64,21,4,0,3,53,993
LGA12930,8,21,14,42,103,710,736,334,129,42,2205,36,3,10,17,3,32,58,522,704,350,159,25,1909,25,0,0,7,13,8,25,225,376,235,127,22,1059,19,0,10,7,8,9,30,164,345,259,213,31,1096,18,0,0,3,5,3,12,56,153,162,185,11,595,27,0,17,19,16,35,46,203,309,214,140,57,1082,13,3,36,11,7,10,14,32,32,18,15,54,240,534,90,596,387,300,394,846,3993,4316,2326,1291,509,15582
LGA12950,3,10,14,6,0,0,0,0,0,0,37,5,0,0,5,7,3,0,0,0,0,0,0,23,3,0,3,5,0,0,0,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,10,4,3,3,0,0,0,0,3,28,6,0,4,5,0,0,0,0,0,0,0,0,25,68,7,81,136,68,48,6,0,0,0,3,23,444
LGA13010,5,16,4,22,10,0,0,0,0,0,67,7,0,3,3,7,8,5,0,0,0,0,0,29,3,0,0,0,0,10,5,0,0,0,0,0,16,0,0,0,0,0,0,9,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,3,4,8,16,9,4,0,0,0,3,55,9,0,6,4,4,3,0,0,0,0,0,4,33,80,12,144,194,135,201,79,14,4,3,6,43,917
LGA13310,5,17,23,44,125,78,7,3,0,9,327,10,0,4,11,11,27,85,70,5,0,0,3,231,8,0,0,4,0,14,33,49,7,0,0,0,113,8,0,3,0,4,15,24,34,9,0,0,4,104,5,0,0,0,3,3,11,13,11,0,0,3,46,5,6,9,24,12,30,41,34,3,0,3,6,172,7,0,15,13,8,8,8,0,0,0,0,18,77,171,52,319,418,264,492,802,457,64,11,7,121,3171
LGA13340,11,7,11,8,11,3,0,0,0,3,74,5,0,4,12,6,6,3,0,0,0,0,0,38,10,0,7,3,0,5,0,0,0,0,0,0,29,5,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,3,4,0,0,0,0,0,0,6,0,0,6,3,4,8,5,3,0,0,0,3,35,3,0,0,8,0,3,0,0,0,0,0,4,18,114,14,97,146,98,84,58,16,3,0,0,35,668
LGA13450,16,53,36,80,94,40,5,0,3,9,361,15,0,10,28,19,51,59,45,3,0,0,3,228,7,3,6,10,6,28,20,32,3,0,0,4,115,0,0,3,6,3,10,24,30,6,0,0,0,91,3,0,0,10,3,6,8,11,0,0,3,3,49,14,4,10,36,23,34,32,25,0,0,0,10,183,8,4,14,24,18,9,9,5,0,0,0,22,108,170,46,237,600,318,557,476,256,23,9,9,101,2799
LGA13510,4,8,25,31,13,4,0,0,0,4,100,11,0,3,7,4,13,8,0,0,0,0,3,53,3,0,0,0,4,3,5,0,0,0,0,0,18,4,0,8,4,0,3,0,0,0,0,0,0,16,0,0,0,0,0,0,3,0,0,0,0,0,10,3,0,6,15,10,15,9,0,0,0,0,4,58,8,0,10,3,3,3,0,0,0,0,0,8,33,163,24,180,203,143,191,87,17,0,0,5,45,1063
LGA13550,3,3,17,21,46,38,7,0,3,7,160,11,3,4,6,9,12,36,19,9,0,0,3,121,8,0,0,0,3,3,9,22,10,0,0,0,54,5,0,3,4,3,8,17,30,11,0,0,3,103,4,0,0,4,0,0,10,15,4,0,0,5,51,13,0,7,8,7,9,14,21,4,0,0,0,83,4,0,3,7,7,3,7,4,0,0,0,18,54,136,22,102,188,171,223,282,215,52,7,12,71,1477
LGA13660,11,5,4,7,3,0,0,0,0,7,62,16,0,3,3,7,3,0,0,0,0,0,7,37,3,0,0,0,0,3,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,3,4,0,3,4,0,0,0,0,0,26,5,0,5,4,0,3,0,0,0,0,0,0,18,180,10,90,84,60,44,17,0,0,0,0,36,526
LGA13800,4,8,15,54,96,342,141,28,17,19,757,26,0,3,10,6,34,58,196,141,32,11,9,520,10,0,0,3,3,19,22,95,68,19,15,9,265,14,0,3,4,0,18,18,68,75,30,24,4,259,8,0,0,0,0,5,12,14,29,18,31,3,121,17,0,3,6,7,36,37,105,61,26,16,18,322,3,0,6,27,13,7,12,24,10,0,3,24,123,251,28,130,342,222,428,766,1722,776,194,157,168,5203
LGA13850,6,6,3,3,0,0,0,0,0,0,28,3,3,4,4,4,0,0,0,0,0,0,3,20,6,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,7,0,0,0,0,0,0,0,0,12,0,0,3,0,0,3,0,0,0,0,0,0,5,9,0,4,7,0,0,0,0,0,0,0,0,17,0,0,5,4,4,0,0,0,0,0,0,0,16,62,9,90,95,33,22,9,0,0,0,3,17,348
