LGA_CODE_2016,C16_P_35_39_Tot_LF,C16_P_35_39_Notin_LF,C16_P_35_39_LF_NS,C16_P_35_39_Tot,C16_P_40_44_Em_FT,C16_P_40_44_Em_PT,C16_P_40_44_Em_AFW,C16_P_40_44_Em_Hrs_NS,C16_P_40_44_Em_Tot,C16_P_40_44_Unem_Look_FT,C16_P_40_44_Unem_Look_PT,C16_P_40_44_Unem_Tot,C16_P_40_44_Tot_LF,C16_P_40_44_Notin_LF,C16_P_40_44_LF_NS,C16_P_40_44_Tot,C16_P_45_49_Em_FT,C16_P_45_49_Em_PT,C16_P_45_49_Em_AFW,C16_P_45_49_Em_Hrs_NS,C16_P_45_49_Em_Tot,C16_P_45_49_Unem_Look_FT,C16_P_45_49_Unem_Look_PT,C16_P_45_49_Unem_Tot,C16_P_45_49_Tot_LF,C16_P_45_49_Notin_LF,C16_P_45_49_LF_NS,C16_P_45_49_Tot,C16_P_50_54_Em_FT,C16_P_50_54_Em_PT,C16_P_50_54_Em_AFW,C16_P_50_54_Em_Hrs_NS,C16_P_50_54_Em_Tot,C16_P_50_54_Unem_Look_FT,C16_P_50_54_Unem_Look_PT,C16_P_50_54_Unem_Tot,C16_P_50_54_Tot_LF,C16_P_50_54_Notin_LF,C16_P_50_54_LF_NS,C16_P_50_54_Tot,C16_P_55_59_Em_FT,C16_P_55_59_Em_PT,C16_P_55_59_Em_AFW,C16_P_55_59_Em_Hrs_NS,C16_P_55_59_Em_Tot,C16_P_55_59_Unem_Look_FT,C16_P_55_59_Unem_Look_PT,C16_P_55_59_Unem_Tot,C16_P_55_59_Tot_LF,C16_P_55_59_Notin_LF,C16_P_55_59_LF_NS,C16_P_55_59_Tot,C16_P_60_64_Em_FT,C16_P_60_64_Em_PT,C16_P_60_64_Em_AFW,C16_P_60_64_Em_Hrs_NS,C16_P_60_64_Em_Tot,C16_P_60_64_Unem_Look_FT,C16_P_60_64_Unem_Look_PT,C16_P_60_64_Unem_Tot,C16_P_60_64_Tot_LF,C16_P_60_64_Notin_LF,C16_P_60_64_LF_NS,C16_P_60_64_Tot,C16_P_65_69_Em_FT,C16_P_65_69_Em_PT,C16_P_65_69_Em_AFW,C16_P_65_69_Em_Hrs_NS,C16_P_65_69_Em_Tot,C16_P_65_69_Unem_Look_FT,C16_P_65_69_Unem_Look_PT,C16_P_65_69_Unem_Tot,C16_P_65_69_Tot_LF,C16_P_65_69_Notin_LF,C16_P_65_69_LF_NS,C16_P_65_69_Tot,C16_P_70_74_Em_FT,C16_P_70_74_Em_PT,C16_P_70_74_Em_AFW,C16_P_70_74_Em_Hrs_NS,C16_P_70_74_Em_Tot,C16_P_70_74_Unem_Look_FT,C16_P_70_74_Unem_Look_PT,C16_P_70_74_Unem_Tot,C16_P_70_74_Tot_LF,C16_P_70_74_Notin_LF,C16_P_70_74_LF_NS,C16_P_70_74_Tot,C16_P_75over_Emp_Wor_ft,C16_P_75ov_Em_Work_pt,C16_P_75ov_Em_Aw_fr_w,C16_P_75ov_Emp_Hou_w_ns,C16_P_75andOver_Em_Tot,C16_P_75over_Unem_Lo_ft_w,C16_P_75over_Unem_Lo_pt_w,C16_P_75over_Unemp_Tot,C16_P_75over_Tot_lab_for,C16_P_75over_N_lab_forc,C16_P_75over_LF_NS,C16_P_75over_Tot,C16_P_Tot_Em_FT,C16_P_Tot_Em_PT,C16_P_Tot_Em_AFW,C16_P_Tot_Em_Hrs_NS,C16_P_Tot_Em_Tot,C16_P_Tot_Unem_Look_FT,C16_P_Tot_Unem_Look_PT,C16_P_Tot_Unem_Tot,C16_P_T_T_labo_for,C16_P_Tot_Notin_LF,C16_P_Tot_LF_NS,C16_P_T_T
LGA17550,3676,772,317,4763,2439,1468,99,74,4085,149,81,227,4312,847,340,5502,2533,1474,98,80,4186,153,85,239,4419,970,379,5771,2602,1548,114,65,4336,173,89,256,4596,1150,400,6145,2379,1647,155,78,4256,166,100,265,4526,1929,494,6942,1374,1291,147,54,2871,129,102,225,3100,3048,495,6639,469,681,71,23,1252,6,23,32,1279,4862,491,6637,103,239,17,8,372,0,23,22,394,4552,445,5392,70,138,10,26,246,4,4,8,256,9357,1501,11113,18991,14694,1263,781,35731,1521,1195,2720,38450,31653,5946,76052
LGA17620,646,104,66,817,482,188,18,17,699,22,3,29,729,114,99,938,469,193,26,3,686,19,9,29,714,116,83,910,480,190,17,14,693,18,4,24,719,149,74,938,435,192,28,16,665,12,6,21,687,214,60,956,267,162,24,9,464,15,8,24,486,319,87,895,110,109,8,4,234,0,4,4,234,502,72,810,51,56,3,3,112,0,0,0,112,463,51,621,44,45,0,8,103,0,3,3,107,922,161,1182,3968,1968,216,139,6298,207,110,320,6611,3573,1020,11207
LGA17640,256,42,30,336,240,105,8,3,355,9,0,9,365,57,23,442,268,127,12,4,414,13,6,12,426,69,33,526,316,128,18,4,466,12,8,20,487,97,77,657,275,121,16,3,410,6,6,14,425,146,54,626,189,115,11,10,321,9,6,15,334,208,44,587,121,83,11,10,222,7,5,6,230,328,42,602,70,43,0,5,114,0,0,0,114,304,49,467,56,41,4,14,107,0,0,0,110,562,69,738,2174,1141,137,83,3528,82,58,142,3668,2143,536,6346
LGA17650,245,46,17,307,184,110,6,3,301,4,3,10,314,42,27,374,212,91,5,8,318,12,3,16,335,60,29,426,223,97,10,0,329,10,4,12,342,91,32,469,208,93,16,8,326,12,6,17,342,125,30,496,131,82,11,11,235,6,6,10,245,211,40,493,56,47,3,4,112,0,3,3,116,301,22,448,31,31,0,0,65,0,0,0,61,246,30,341,26,16,3,3,52,0,0,0,52,367,41,458,1550,934,91,50,2633,89,62,145,2780,1775,331,4888
LGA17750,3036,484,202,3728,2125,788,68,36,3025,79,44,123,3147,467,200,3809,2145,749,53,47,2992,83,32,111,3108,481,224,3810,2071,713,91,29,2901,68,29,95,2999,530,212,3741,1868,760,97,35,2754,61,33,98,2858,724,208,3792,1088,638,91,30,1851,39,42,77,1935,1259,226,3422,365,403,47,20,828,4,9,14,846,1881,189,2916,115,145,21,8,290,0,7,7,295,1740,170,2209,68,104,12,20,202,0,4,5,200,3737,416,4352,19163,9114,1043,517,29834,1003,733,1732,31566,15074,3046,49690
LGA17850,108,15,12,133,80,50,0,0,127,3,3,4,135,25,24,181,109,37,0,3,145,7,0,5,151,19,17,190,131,39,0,0,177,0,0,3,178,29,15,228,96,42,3,4,152,3,4,6,160,52,20,225,91,43,8,6,144,0,3,0,150,70,25,234,63,35,3,4,108,0,0,0,108,112,27,245,37,17,3,0,62,0,0,0,62,130,28,225,17,18,3,0,41,0,0,0,40,205,74,326,882,450,47,28,1414,27,23,47,1457,797,297,2556
LGA17900,217,75,40,334,126,50,8,4,190,16,8,16,204,84,48,336,138,76,3,7,220,17,12,27,252,89,35,374,137,72,12,7,223,15,12,31,249,142,51,441,146,67,5,6,229,21,3,25,256,161,74,495,124,54,12,7,192,8,15,17,209,182,42,429,65,41,5,6,108,0,0,3,110,242,48,397,35,30,5,5,70,0,0,0,70,211,60,339,19,13,0,0,39,0,0,0,38,324,61,427,1300,614,76,73,2060,154,91,245,2306,1959,616,4885
LGA17950,109,19,16,144,80,25,0,3,114,5,3,11,118,15,8,148,95,22,0,0,122,5,0,5,127,25,22,170,114,24,0,3,134,4,3,9,148,29,19,197,116,29,6,6,154,6,0,6,159,31,24,220,61,26,6,0,90,5,0,3,89,52,15,157,37,21,5,4,61,0,0,0,62,95,19,176,15,12,0,0,28,0,3,3,31,110,10,150,16,15,3,0,38,0,0,0,39,163,33,241,805,273,44,29,1149,59,33,91,1241,696,214,2153
LGA18020,316,61,36,416,209,94,6,6,311,16,8,25,336,99,53,488,247,122,9,3,383,16,3,23,406,94,60,565,283,128,7,12,428,23,13,35,467,158,72,693,271,112,14,13,410,26,11,37,449,193,77,721,180,126,15,6,334,9,11,21,353,307,79,739,114,66,9,4,192,0,0,0,197,462,89,744,61,39,4,3,105,0,0,0,105,431,78,612,51,38,6,11,109,0,0,0,109,828,157,1093,2017,1106,124,83,3335,207,79,285,3618,3216,868,7699
LGA18050,5332,510,697,6543,2968,1059,99,68,4198,101,57,153,4349,500,492,5348,2517,911,56,46,3530,81,53,133,3664,444,439,4557,1936,709,50,23,2715,76,48,119,2837,455,343,3634,1445,657,57,24,2174,50,40,90,2267,559,289,3111,803,575,48,28,1445,47,46,94,1538,780,235,2554,465,498,21,13,997,7,21,25,1025,1259,270,2553,151,233,12,13,399,3,7,8,412,1214,189,1820,68,160,6,10,244,0,3,3,248,3206,671,4125,24966,9917,974,570,36426,730,724,1458,37888,12044,6182,56111
LGA18100,154,27,14,199,81,54,0,4,139,3,4,5,146,33,7,183,93,45,3,3,145,9,4,7,157,45,13,212,104,54,6,3,168,3,3,10,173,60,20,260,110,50,4,3,170,6,4,10,184,78,28,285,101,42,5,0,153,8,0,7,159,110,31,290,56,31,8,3,101,0,0,0,99,203,24,332,21,21,9,5,55,0,0,0,55,173,29,261,19,13,3,0,35,0,0,0,35,357,63,457,889,462,47,38,1437,50,30,79,1514,1248,282,3051
LGA18200,249,43,34,321,196,90,6,15,303,9,3,9,316,68,43,425,210,80,5,17,308,17,8,22,333,75,51,457,260,72,11,0,344,14,3,19,362,82,48,496,208,105,8,14,330,6,12,22,350,118,68,539,144,92,26,3,257,9,3,10,273,185,46,502,62,58,3,5,133,0,3,3,132,313,65,513,20,24,0,0,49,0,0,0,50,255,38,339,14,10,6,12,44,0,0,0,40,432,55,529,1692,886,109,97,2786,123,56,180,2965,1934,617,5519
LGA18230,2240,425,197,2867,1603,517,49,36,2202,74,29,108,2315,476,240,3024,1732,548,35,38,2356,80,28,112,2465,441,232,3145,1704,535,61,46,2346,62,26,84,2429,533,243,3206,1571,579,77,25,2251,56,37,96,2346,728,252,3317,920,481,81,25,1499,33,35,64,1565,1056,249,2870,393,300,36,17,746,3,6,10,754,1594,219,2573,128,154,12,11,302,3,3,5,311,1504,189,2004,82,115,5,25,224,0,3,3,232,3089,432,3743,14561,6380,758,442,22142,880,504,1381,23528,12995,3182,39702
LGA18250,5235,851,279,6364,3448,1075,86,58,4669,121,73,195,4860,857,287,6005,3003,995,56,50,4104,136,55,191,4296,809,245,5355,2578,890,74,32,3574,87,37,125,3696,803,191,4694,1922,749,48,31,2749,73,59,138,2883,911,194,3987,1107,712,45,35,1905,59,47,107,2012,1357,160,3527,490,564,30,11,1090,18,31,48,1144,1931,167,3236,127,260,26,9,414,0,6,12,424,1643,125,2190,62,144,8,9,226,0,3,3,229,4197,327,4752,24333,10471,971,533,36309,993,949,1939,38251,18627,3019,59899
LGA18350,1722,323,133,2179,1459,688,48,30,2228,39,23,61,2289,407,190,2887,1647,739,62,35,2483,37,45,79,2565,422,197,3177,1674,756,66,40,2528,46,24,65,2601,474,227,3296,1447,777,80,32,2337,40,27,68,2405,737,179,3320,917,743,63,23,1745,30,36,64,1807,1291,220,3325,416,566,50,14,1048,5,23,32,1076,2504,225,3807,143,329,13,12,498,3,12,18,511,2536,243,3293,82,176,11,18,292,4,8,6,298,4432,565,5292,12027,7630,639,345,20644,421,386,810,21449,15354,2666,39473
LGA18400,2505,373,138,3011,1982,793,72,49,2894,59,40,98,2988,406,168,3555,2092,686,62,51,2890,58,30,89,2980,356,165,3502,1789,719,63,41,2615,43,28,76,2691,413,160,3265,1580,660,107,33,2378,43,16,53,2434,607,166,3212,907,490,73,30,1500,24,28,50,1552,1074,182,2803,308,291,27,13,637,8,0,11,648,1596,144,2387,82,95,4,11,188,0,7,3,199,1306,110,1615,37,48,4,15,108,3,0,6,111,2031,316,2455,15610,7116,826,503,24054,564,439,997,25056,10649,2125,37840
LGA18450,9851,2081,519,12455,6741,3171,283,123,10319,301,186,484,10804,2026,553,13387,6676,2784,238,139,9826,309,163,475,10301,2141,585,13027,6430,2853,284,123,9691,303,139,439,10136,2691,609,13431,5202,2534,312,103,8151,246,136,388,8534,3804,634,12971,2498,1951,250,74,4770,141,129,263,5030,5683,588,11306,719,927,95,33,1773,19,38,57,1834,7920,592,10348,156,339,26,30,551,3,10,15,560,7202,571,8341,77,153,20,40,289,3,10,12,307,15327,1618,17252,52444,31062,3284,1467,88251,3344,3409,6753,95007,63180,8891,167073
LGA18500,3318,413,360,4087,2150,622,69,35,2867,56,29,87,2958,470,318,3746,1955,640,37,45,2671,72,40,112,2782,538,332,3648,1811,609,43,19,2485,61,31,91,2578,532,259,3370,1425,616,42,29,2112,52,31,77,2190,613,247,3047,1011,620,38,20,1693,29,26,49,1742,785,252,2778,630,697,45,17,1396,8,24,27,1427,1373,271,3071,282,433,31,22,762,0,13,16,774,1431,257,2464,166,338,14,17,528,3,3,5,532,3412,632,4580,19238,7624,743,403,28005,498,469,965,28974,12525,4273,45764
LGA18710,779,87,48,913,763,265,37,22,1086,13,7,24,1106,102,88,1294,790,250,41,16,1101,18,14,29,1133,113,76,1322,684,220,44,15,965,7,10,19,978,131,67,1178,541,240,31,16,826,6,10,15,840,249,78,1158,322,193,29,6,560,6,10,15,576,373,85,1036,145,144,23,3,321,0,3,3,322,553,67,943,69,61,15,5,152,0,0,0,148,448,53,654,41,44,12,15,108,0,0,0,115,705,214,1025,5119,2405,370,183,8076,106,140,242,8325,3463,958,12744
LGA19399,65,11,10,78,47,13,3,0,65,0,0,0,65,6,14,85,27,11,4,0,40,0,0,0,41,6,4,50,51,12,9,0,75,0,0,0,75,9,8,91,46,20,0,0,63,0,0,0,61,10,7,83,38,13,5,7,54,0,0,0,54,21,6,82,28,13,3,0,44,0,0,0,44,14,9,66,7,6,0,0,16,0,0,0,16,23,0,43,10,3,0,5,14,0,0,0,14,41,6,65,400,140,36,23,599,6,0,10,608,173,99,869
LGA19499,433,231,300,955,188,87,15,18,302,56,10,67,366,212,362,940,154,80,6,11,250,64,14,85,333,254,295,881,138,93,16,10,253,52,8,64,316,287,312,919,124,77,19,8,228,47,17,66,290,326,232,850,69,61,13,3,151,34,14,51,196,457,212,866,29,32,8,0,70,7,5,9,80,536,165,779,8,10,0,0,18,3,0,4,17,322,77,413,7,3,0,3,8,0,3,3,13,255,95,361,1977,1047,148,158,3331,699,245,941,4272,4062,3220,11545
LGA19799,9,0,0,9,3,4,11,0,16,0,0,0,16,3,0,21,3,3,9,0,10,0,0,0,10,4,0,16,11,3,11,0,24,0,0,0,24,7,8,35,3,0,3,3,14,0,0,0,14,13,5,35,3,9,0,0,10,0,0,0,15,21,7,42,0,3,4,0,6,0,0,0,6,40,11,63,0,0,0,0,3,0,0,0,3,32,6,46,0,0,0,0,0,0,0,0,3,36,13,55,48,25,43,4,130,3,3,4,130,185,63,374
LGA20110,456,77,33,565,359,221,22,12,604,11,5,19,625,115,69,810,409,225,23,8,654,7,9,19,675,90,82,844,450,237,30,15,732,14,7,24,760,126,79,968,420,272,47,12,755,10,13,26,782,226,77,1083,277,201,40,12,530,12,18,33,560,409,96,1059,101,124,16,10,256,0,10,10,267,634,76,975,28,58,6,3,97,0,0,0,94,586,65,745,30,25,5,6,67,0,0,0,68,1081,145,1302,3005,2088,268,130,5488,126,94,216,5705,3807,866,10384
LGA20260,423,193,49,665,275,131,10,10,427,15,6,28,453,190,46,689,355,177,15,8,556,17,3,19,580,190,48,813,363,155,18,8,546,23,5,32,577,185,36,794,310,201,36,4,555,19,8,24,580,252,58,893,245,157,23,7,433,7,4,10,443,402,46,893,99,94,24,3,222,3,5,3,227,532,65,824,27,36,7,3,81,0,3,3,81,520,47,653,31,35,10,10,78,0,0,3,80,982,135,1191,2726,1676,224,88,4708,176,82,257,4972,4158,669,9798
LGA20570,4784,961,331,6082,2974,1592,145,61,4772,143,110,249,5023,971,343,6335,3097,1495,105,66,4769,167,102,266,5035,1015,334,6384,3100,1444,158,69,4775,153,77,230,5002,1119,372,6501,2582,1383,161,48,4179,109,73,182,4364,1508,354,6222,1462,1176,150,58,2847,83,64,148,2993,2509,355,5852,429,645,88,25,1191,12,23,30,1224,3958,370,5552,110,216,26,8,363,3,8,6,371,3465,338,4170,52,112,11,18,198,0,0,0,199,6912,748,7859,25472,16673,1778,796,44716,1878,1534,3415,48127,28977,5118,82219
LGA20660,7069,1168,358,8593,4545,2230,178,90,7042,170,110,283,7326,1102,346,8776,4456,1994,126,91,6667,172,90,266,6927,1083,363,8370,4098,1811,127,85,6125,152,94,250,6376,1142,336,7851,3567,1764,174,68,5583,138,89,222,5802,1545,312,7653,2116,1555,158,45,3872,83,57,139,4009,2587,293,6887,805,930,80,38,1858,20,31,57,1910,4291,329,6534,188,359,20,13,586,4,9,16,596,4098,277,4976,64,192,12,27,296,6,5,6,302,8463,951,9720,35554,20514,1954,888,58915,1689,1744,3429,62344,32622,4889,99850
LGA20740,1163,287,88,1536,758,486,45,20,1311,46,35,84,1393,295,111,1800,883,545,57,17,1508,54,17,76,1580,320,150,2052,830,566,74,24,1494,45,28,78,1568,455,157,2180,784,636,93,26,1536,74,34,111,1649,664,163,2473,484,593,99,17,1199,47,42,94,1288,1267,165,2713,200,311,42,21,571,3,6,9,579,2150,226,2962,69,135,24,8,231,0,3,3,234,1933,171,2343,38,85,14,16,152,0,3,0,159,3149,500,3806,6292,5259,727,260,12537,518,337,857,13400,11979,2082,27459
LGA20830,1980,443,182,2608,1381,655,64,25,2130,62,29,91,2220,442,159,2823,1569,799,70,42,2476,62,39,103,2580,437,213,3224,1497,775,108,49,2425,63,25,93,2521,530,212,3259,1390,767,129,41,2323,84,39,125,2450,779,235,3464,860,696,96,27,1685,47,41,84,1770,1249,238,3256,337,381,44,25,780,5,10,19,798,2190,219,3206,126,156,20,18,323,0,3,3,326,1981,211,2524,82,120,12,10,229,0,3,3,232,3329,479,4035,12364,7548,904,442,21255,694,549,1235,22495,13956,2733,39188
LGA20910,4266,748,247,5261,3831,1639,126,66,5662,101,121,220,5884,895,371,7153,4593,1914,95,86,6686,120,92,213,6902,1004,406,8315,4148,1639,118,77,5995,145,65,214,6207,964,371,7543,3265,1622,135,53,5067,123,68,187,5261,1283,341,6884,1807,1353,116,43,3319,67,54,127,3443,2010,306,5756,812,1101,74,32,2025,19,36,57,2076,3046,276,5399,242,562,35,13,855,3,22,26,878,3163,275,4312,100,265,13,20,402,7,9,10,412,7795,757,8971,27559,16443,1332,652,45993,992,1217,2215,48202,26182,4285,78669
LGA21010,440,108,46,598,315,164,24,16,511,15,16,25,540,132,45,717,389,197,23,3,609,16,6,23,632,147,59,844,460,230,36,11,730,14,9,20,753,186,80,1019,437,261,49,11,762,14,14,29,794,257,85,1135,274,228,32,17,558,22,14,33,590,450,87,1124,138,119,27,6,296,3,3,3,296,763,99,1156,51,52,6,3,103,0,0,0,107,660,62,834,35,35,8,3,77,0,0,0,81,1396,151,1628,3240,2012,287,121,5659,191,128,319,5974,4784,925,11686
LGA21110,7943,1375,461,9779,5835,2477,183,91,8582,182,156,337,8917,1526,513,10960,6639,2770,162,118,9695,255,155,407,10108,1687,530,12324,6350,2564,175,116,9216,225,116,345,9554,1684,535,11777,4952,2192,193,77,7413,185,113,300,7715,2072,444,10233,2934,1961,165,54,5124,120,98,223,5338,2999,409,8753,1240,1580,106,44,2968,30,44,77,3049,4492,380,7922,419,809,51,27,1306,8,20,30,1333,4353,336,6027,163,417,34,40,653,3,17,18,674,11219,968,12862,49766,28984,2331,1180,82260,2120,2725,4837,87099,44498,6828,138430
LGA21180,9844,2818,807,13470,5771,2479,200,238,8699,525,303,827,9523,2609,713,12845,5699,2389,157,253,8492,529,275,803,9297,2700,721,12724,5256,2250,187,218,7910,480,224,704,8616,2856,690,12158,4232,2035,168,178,6614,365,241,605,7221,3771,710,11696,2513,1434,170,102,4225,247,187,433,4654,5206,610,10476,716,675,68,41,1491,28,34,64,1559,6962,660,9178,137,198,13,16,365,8,5,9,373,5525,500,6402,47,73,6,21,148,5,3,10,159,9466,1165,10791,48442,26894,2220,2475,80034,5280,3980,9257,89293,59015,10147,158457
LGA21270,173,52,14,245,120,98,5,3,230,10,3,13,245,42,19,307,185,102,4,0,295,8,0,10,307,68,32,402,207,102,8,4,323,6,4,8,331,83,48,454,220,109,12,5,347,12,0,12,363,95,58,516,159,90,19,4,273,10,0,12,285,178,53,519,69,59,13,6,147,0,0,0,147,293,43,486,30,19,3,0,55,0,0,0,55,241,49,340,29,25,4,8,64,0,0,0,65,705,146,923,1453,871,103,51,2486,81,34,113,2597,2077,533,5206
LGA21370,1327,285,134,1756,1074,514,47,28,1672,41,29,70,1745,289,147,2180,1206,529,61,33,1832,58,26,79,1913,319,170,2401,1273,626,77,38,2011,51,18,73,2080,401,168,2654,1163,611,118,22,1914,35,20,59,1967,568,185,2723,713,551,87,35,1379,31,31,59,1443,1004,192,2636,263,279,53,8,597,3,9,9,609,1668,192,2465,85,126,11,17,235,0,0,0,238,1654,204,2087,67,105,10,26,203,0,0,4,204,3178,531,3915,9309,5530,737,372,15950,475,349,824,16769,11261,2395,30424
LGA21450,5248,972,330,6557,3441,1551,116,89,5197,121,88,213,5407,866,374,6642,3597,1457,132,91,5268,105,64,176,5446,779,374,6595,3103,1246,134,74,4557,118,57,171,4723,817,344,5886,2349,1080,139,67,3633,108,44,155,3793,1130,349,5271,1293,942,87,45,2358,62,59,127,2486,1613,270,4369,443,496,52,11,1009,6,13,20,1025,2691,260,3975,154,177,13,12,360,3,8,10,369,2342,214,2923,73,106,14,26,214,0,0,0,216,3648,445,4307,28036,14521,1493,908,44955,1377,1222,2601,47551,20541,4316,72402
LGA21610,17990,3840,1056,22887,11337,4643,354,297,16634,574,325,906,17532,3433,1012,21978,11037,4315,288,264,15897,473,260,730,16632,3280,958,20872,9891,3466,341,253,13963,457,216,674,14638,3305,938,18878,7431,3090,320,180,11020,360,218,581,11600,4266,824,16686,4203,2295,277,134,6915,223,148,374,7283,5438,685,13406,1178,1073,127,56,2434,42,50,93,2523,7604,664,10793,233,385,41,30,690,5,21,21,709,6300,485,7495,91,193,7,28,324,9,7,14,341,10908,1151,12395,87660,43279,4026,2959,137913,5752,4917,10663,148579,70923,11951,231449
LGA21670,375,129,38,539,246,159,12,10,439,28,10,45,475,181,36,691,312,180,11,8,514,26,11,39,554,207,60,816,345,185,22,12,556,27,19,40,596,249,57,909,274,200,24,9,510,21,8,33,544,373,70,980,211,185,12,6,423,18,18,29,458,554,52,1058,59,94,14,0,175,3,0,3,177,864,84,1120,22,34,4,0,58,0,0,0,58,778,87,922,19,22,4,8,52,0,0,0,53,1398,179,1626,2319,1757,177,103,4352,282,143,423,4776,5434,770,10982
LGA21750,834,168,54,1055,567,331,18,22,939,25,12,35,975,174,72,1215,617,373,37,16,1039,27,9,34,1074,210,98,1386,660,358,45,25,1089,32,3,40,1125,218,93,1437,600,378,65,16,1061,19,14,35,1098,354,104,1556,403,373,67,15,861,20,17,35,893,578,119,1593,186,209,35,10,432,0,3,9,439,911,110,1464,63,91,10,9,169,0,0,0,172,830,104,1105,53,58,7,17,135,0,0,0,136,1636,213,1987,5263,3629,440,213,9545,247,146,398,9946,6054,1276,17277
LGA21830,609,116,52,779,410,229,24,14,681,16,11,30,709,109,54,876,588,214,26,11,843,16,4,22,866,145,74,1083,598,249,42,15,911,10,11,26,933,189,98,1218,530,283,38,18,870,25,6,30,900,262,92,1253,381,230,26,16,652,10,3,14,662,389,95,1142,164,143,23,10,344,4,4,4,347,664,108,1115,99,79,25,3,203,0,0,0,203,592,78,871,52,50,11,15,126,0,0,3,130,1325,202,1656,4267,2381,331,180,7164,198,97,296,7457,4605,1062,13125
LGA21890,9502,1639,788,11928,5420,2602,202,125,8351,272,169,437,8790,1537,681,11002,5120,2427,177,111,7841,250,171,419,8262,1572,671,10501,4031,1869,154,101,6153,221,94,322,6471,1623,515,8612,3086,1513,123,91,4816,170,104,277,5090,2026,473,7592,1552,1113,102,50,2824,121,74,192,3013,2581,406,6001,504,490,51,31,1080,10,24,30,1107,3711,353,5175,107,183,9,15,320,4,6,9,335,3550,361,4236,61,88,13,21,189,3,3,6,192,9971,1323,11482,42425,24427,2113,1346,70311,2760,2676,5435,75743,38725,8815,123281
LGA22110,1466,368,144,1972,943,605,64,41,1653,59,28,87,1746,374,193,2306,1140,695,62,33,1933,83,29,109,2039,439,221,2699,1176,758,121,43,2102,80,30,113,2214,597,265,3072,1165,815,135,38,2150,88,44,138,2286,902,266,3451,777,709,119,35,1645,75,49,124,1774,1697,289,3754,305,424,72,26,830,7,9,18,839,2974,381,4194,114,178,27,10,335,0,3,4,343,2672,304,3314,82,107,16,22,227,0,0,0,233,4211,751,5194,8910,6756,941,397,17003,735,424,1153,18156,16297,3432,37892
LGA22170,7133,1413,529,9075,4805,2096,172,114,7189,250,146,395,7583,1351,557,9496,4994,2071,160,126,7341,220,117,336,7685,1441,579,9702,4556,1912,185,92,6749,234,110,347,7095,1516,524,9133,3853,1804,217,83,5955,218,108,324,6282,1892,524,8698,2226,1453,189,53,3921,148,106,250,4165,2791,449,7401,673,862,83,35,1653,12,43,54,1704,4521,450,6682,154,290,33,14,494,6,13,18,513,4147,363,5026,59,115,11,18,194,0,4,7,204,7721,970,8902,39165,20908,2187,1150,63406,2475,1888,4365,67772,34260,7080,109114
LGA22250,354,78,29,465,261,122,11,3,395,12,3,17,417,91,33,539,343,159,9,4,522,20,4,29,552,93,34,679,319,185,25,13,544,23,3,26,569,130,48,746,330,163,30,13,544,11,9,19,563,165,47,783,226,183,33,15,455,7,3,14,468,302,66,836,104,116,15,5,235,0,0,3,242,542,71,854,38,54,9,8,110,0,0,0,110,524,57,695,24,41,4,8,79,0,0,0,79,1128,152,1362,2536,1574,186,111,4404,144,75,220,4617,3581,669,8870
LGA22310,8252,1195,485,9933,5696,2340,147,98,8285,204,149,357,8638,1135,457,10226,5536,2473,142,104,8261,206,120,329,8588,1147,435,10178,4787,1958,126,88,6960,207,110,317,7282,1120,390,8785,3824,1828,154,71,5881,162,71,239,6113,1603,359,8074,2273,1614,136,60,4076,95,95,186,4266,2439,329,7026,938,1161,72,29,2198,24,34,62,2259,3736,301,6295,217,509,34,17,775,4,20,25,800,3183,241,4225,101,254,18,30,407,3,3,10,418,9467,817,10701,42863,23767,1953,1056,69634,2061,2220,4278,73909,35472,5718,115105
LGA22410,711,165,58,937,516,319,27,24,882,35,8,43,930,180,96,1208,631,309,37,23,999,23,13,35,1035,216,102,1355,729,361,50,17,1148,34,19,51,1201,296,108,1612,627,330,53,13,1030,40,10,53,1078,429,106,1611,388,277,60,23,748,18,18,36,783,655,126,1563,169,157,32,10,363,3,3,4,370,959,126,1444,61,65,3,10,139,0,0,0,139,765,107,1010,51,51,11,13,120,0,0,0,122,1497,260,1877,4649,3027,409,230,8311,352,181,526,8837,6158,1380,16377
LGA22490,1123,206,73,1404,881,394,41,29,1346,17,20,40,1379,215,83,1679,865,439,42,30,1376,20,12,35,1412,225,80,1716,751,392,33,22,1197,34,11,45,1244,245,67,1557,647,366,43,27,1074,33,11,43,1121,324,73,1515,372,271,31,12,687,26,17,41,730,573,94,1397,143,128,26,7,305,0,3,3,306,821,90,1218,43,57,9,9,120,0,0,0,120,611,50,779,26,31,7,7,67,0,3,3,68,779,59,915,5981,3557,429,228,10196,286,217,501,10699,5176,894,16769
LGA22620,4973,1047,370,6384,3193,1649,165,71,5083,156,103,258,5338,998,377,6718,3348,1651,156,67,5220,146,74,219,5440,1051,416,6913,3378,1620,206,70,5277,137,72,213,5490,1245,441,7179,2863,1730,221,86,4899,133,67,201,5097,1722,471,7291,1653,1408,195,50,3313,100,76,176,3492,2804,453,6745,477,720,104,34,1337,4,19,27,1360,4468,454,6286,117,243,23,18,409,3,16,18,422,3744,403,4575,73,149,11,27,264,8,3,7,268,7395,1137,8803,27652,18021,2142,858,48675,1817,1507,3328,52001,31074,6204,89283
