LGA_CODE_2016,C16_85o_SOL_SE_To,C16_85o_LPE_NS,C16_85o_Tot,C16_Tot_SEO,C16_To_SOL_SE_Vw_w,C16_To_SOL_SE_Nw_Na,C16_To_SOL_SE_P_E_n,C16_Tot_SOL_SE_Tot,C16_Tot_LPE_NS,C16_T_T
LGA18710,12,20,296,14550,536,46,17,597,997,16142
LGA19399,0,4,22,905,25,4,0,29,121,1056
LGA19499,15,22,78,7212,1529,320,19,1863,3211,12288
LGA19799,3,0,10,279,54,46,0,95,41,412
LGA20110,62,52,383,10386,855,119,6,982,967,12337
LGA20260,13,31,359,9696,371,78,10,457,1445,11600
LGA20570,129,199,2409,89998,5018,710,76,5802,5882,101686
LGA20660,726,328,3253,89897,22839,3689,279,26802,5165,121865
LGA20740,78,155,1143,28849,1416,210,39,1661,2301,32804
LGA20830,58,94,1112,43359,1770,241,29,2043,3083,48479
LGA20910,427,306,3624,77872,12626,1710,114,14443,4772,97087
LGA21010,22,46,528,12352,362,50,9,415,1096,13861
LGA21110,899,341,4829,113886,38827,6791,337,45952,7395,167231
LGA21180,1799,244,2926,69300,87053,25990,1331,114368,10651,194319
LGA21270,3,63,336,5469,153,17,11,176,555,6201
LGA21370,45,159,1164,33183,1064,128,20,1211,2662,37061
LGA21450,118,112,1185,78326,9453,1195,146,10794,5008,94128
LGA21610,841,290,3450,177273,90663,16303,1283,108251,13779,299301
LGA21670,12,36,448,11755,323,40,11,374,870,12995
LGA21750,28,56,585,18643,782,143,20,948,1385,20972
LGA21830,22,47,468,14519,290,23,7,318,1216,16051
LGA21890,1731,468,3736,82621,43389,10768,615,54773,9326,146719
LGA22110,62,245,1391,39559,1494,198,45,1734,3746,45040
LGA22170,322,236,2713,110620,13602,1822,225,15648,7877,134143
LGA22250,4,30,378,9589,213,26,4,246,718,10549
LGA22310,1301,293,4240,89939,38576,5815,367,44755,6179,140875
LGA22410,20,48,555,17547,451,42,6,502,1500,19557
LGA22490,24,11,225,19931,623,61,12,696,1063,21688
LGA22620,67,423,2743,97865,4251,1071,89,5411,7207,110477
LGA22670,1494,237,3008,45355,72265,25547,969,98778,7924,152050
LGA22750,883,678,6460,194156,21256,3898,343,25491,13775,233429
LGA22830,191,194,1484,49039,7401,2081,151,9626,5173,63837
LGA22910,41,85,469,13232,676,65,8,751,1348,15330
LGA22980,4,34,290,5035,211,103,5,316,372,5721
LGA23110,698,163,1952,58235,21378,4332,305,26009,4539,88778
LGA23190,35,53,613,17827,701,97,10,806,1011,19642
LGA23270,699,153,1889,97600,72349,15974,1013,89330,10451,197376
LGA23350,16,27,353,14477,356,27,10,397,1086,15952
LGA23430,762,520,4139,104407,32939,6488,376,39803,7180,151389
LGA23670,785,207,3105,109490,32916,5941,379,39234,5389,154110
LGA23810,249,236,1761,62594,4310,681,68,5053,5611,73257
LGA23940,8,34,256,6482,215,21,0,247,783,7516
LGA24130,48,136,811,41018,1883,236,38,2155,2927,46100
LGA24210,1286,340,3668,62330,40526,8785,386,49695,4228,116255
LGA24250,10,9,207,7592,314,37,8,360,637,8584
LGA24330,586,162,1379,42041,26791,7570,306,34668,5578,82288
LGA24410,276,301,2647,87020,14755,4073,166,19003,4353,110376
LGA24600,324,348,1255,55010,55978,9320,467,65767,15187,135959
LGA24650,231,56,887,82985,38294,5339,471,44109,8346,135443
LGA24780,151,183,1419,44285,4062,1143,59,5269,4318,53878
LGA24850,43,104,581,34690,2637,377,25,3038,3189,40918
LGA24900,29,100,935,25558,1205,193,20,1415,2143,29112
LGA24970,1521,417,5088,82943,76093,15252,675,92022,7652,182618
LGA25060,1275,250,2967,75216,29198,5464,424,35083,6367,116671
LGA25150,39,60,491,28161,1582,156,18,1755,1908,31818
LGA25250,2230,278,4311,91028,51458,10334,725,62521,9009,162558
LGA25340,379,490,5059,137793,7801,863,114,8777,8426,154999
LGA25430,14,107,563,15944,574,93,11,678,2140,18761
LGA25490,18,33,373,14891,370,41,3,417,1189,16495
LGA25620,5,29,314,12155,418,47,10,466,1111,13732
LGA25710,92,63,705,53160,5248,460,56,5763,2348,61273
LGA25810,0,42,400,10263,326,65,3,394,782,11439
LGA25900,589,141,1433,69959,18218,2563,207,20989,9917,100863
LGA25990,4,28,178,6125,166,21,0,189,925,7238
LGA26080,3,21,149,2535,75,11,0,86,230,2853
LGA26170,52,67,808,25510,918,121,12,1050,2141,28703
LGA26260,13,56,582,14603,419,56,4,476,868,15944
LGA26350,622,225,2472,72214,20799,3292,210,24304,7308,103832
LGA26430,12,54,376,9106,319,42,8,373,796,10274
LGA26490,38,56,566,26567,1104,101,19,1221,1612,29397
LGA26610,43,72,563,15707,1798,623,43,2465,2412,20584
LGA26670,9,23,197,5395,152,10,5,168,421,5985
LGA26700,72,240,1008,24915,1175,186,18,1381,2014,28310
LGA26730,27,125,969,29816,1155,383,27,1562,2274,33655
LGA26810,58,95,1033,37354,1468,226,22,1717,3913,42983
LGA26890,0,22,132,3605,78,10,0,85,210,3903
LGA26980,1028,384,4959,96242,47352,12220,413,59980,5857,162078
LGA27070,1212,155,2354,100992,71802,14781,1088,87670,8827,197491
LGA27170,90,62,745,34578,2094,315,39,2448,2324,39351
LGA27260,417,175,1451,115337,76549,12437,992,89979,11802,217122
LGA27350,539,96,1075,59569,14858,4450,227,19534,7551,86657
LGA27450,358,249,2533,131551,9409,1545,142,11101,6890,149537
LGA27630,6,63,332,5944,166,23,0,190,538,6674
LGA29399,0,0,0,540,87,19,0,113,230,876
LGA29499,7,4,38,4201,1069,343,22,1431,1929,7565
LGA29799,0,0,0,18,5,0,0,10,3,29
LGA30250,0,0,0,135,1000,98,15,1111,24,1269
LGA30300,0,3,64,3900,133,18,3,151,326,4377
LGA30370,9,12,211,12468,509,213,11,730,1112,14319
LGA30410,0,5,51,2602,61,3,0,63,196,2865
LGA30450,0,0,3,250,4,0,0,3,13,267
LGA30760,0,0,42,1773,34,3,0,38,90,1903
LGA30900,0,0,0,345,9,3,0,12,68,426
LGA31000,2612,2596,20904,812201,212885,40870,2268,256023,62933,1131155
LGA31750,0,0,7,313,10,0,0,9,30,353
LGA31820,101,279,2348,82305,3534,717,61,4313,6276,92897
LGA31900,88,73,463,14745,896,209,21,1122,1201,17074
LGA31950,0,0,0,253,12,3,3,21,60,328
LGA32080,204,268,1981,121832,17896,3210,327,21423,13639,156901
LGA32250,0,0,10,1714,69,3,3,82,161,1958
LGA32260,138,45,647,23271,2365,462,72,2899,2561,28726
LGA32270,0,20,133,23277,1223,127,12,1365,3357,27999
LGA32310,0,27,211,10420,287,15,7,307,1156,11876
LGA32330,0,0,5,1171,50,3,0,53,40,1269
LGA32450,0,8,20,2471,124,10,0,137,428,3032
LGA32500,0,5,31,3148,340,54,5,402,676,4226
LGA32600,0,0,4,213,4,0,0,4,77,294
LGA32750,0,0,0,239,11,3,0,12,40,291
LGA32770,0,0,0,1295,60,4,19,78,23,1405
LGA32810,9,58,159,9280,800,81,27,905,1537,11714
LGA33100,0,0,3,702,12,0,0,14,80,799
LGA33200,0,0,28,1397,16,4,0,17,125,1536
LGA33220,119,292,2553,90068,3290,312,48,3655,7783,101504
LGA33360,24,30,509,53274,3543,393,61,3994,4368,61640
LGA33430,1112,1552,11643,446894,59745,9277,662,69680,39144,555721
LGA33610,3,24,216,9236,297,55,8,360,1037,10630
LGA33620,28,214,1037,44326,1217,137,32,1385,3850,49559
LGA33800,129,34,414,9289,703,115,17,829,765,10885
LGA33830,3,0,7,141,663,20,14,701,85,918
LGA33960,146,185,2246,158562,19531,3259,335,23127,12044,193733
LGA33980,0,3,72,17007,887,83,10,981,2959,20940
LGA34420,0,0,7,865,41,0,17,54,26,944
LGA34530,20,103,694,31929,906,89,24,1016,3328,36272
LGA34570,0,0,0,354,262,0,14,272,86,712
LGA34580,35,69,587,32920,1844,623,27,2496,3187,38609
LGA34590,460,272,3357,236052,39818,8912,679,49409,17923,303386
LGA34710,0,4,76,3244,87,14,0,103,317,3660
LGA34770,98,134,1645,99620,5939,620,95,6650,8697,114969
LGA34800,0,0,9,717,17,0,0,17,61,796
LGA34830,0,0,0,270,28,3,0,30,12,310
LGA34860,8,23,225,10959,455,53,12,514,1189,12666
LGA34880,117,33,379,16333,1890,352,41,2280,2939,21557
LGA35010,356,1504,7364,371380,26502,3505,407,30421,23508,425302
LGA35250,0,0,0,915,97,6,44,151,72,1143
LGA35300,9,9,80,14855,1506,132,32,1666,2149,18671
LGA35600,0,16,102,3831,127,64,8,193,284,4307
LGA35670,0,0,0,608,308,17,0,321,24,957
LGA35740,73,229,1373,46145,2565,197,38,2798,3201,52149
LGA35760,8,42,292,8803,416,109,8,534,1146,10478
LGA35780,6,0,6,400,1827,435,24,2284,116,2796
LGA35790,0,0,0,2238,102,17,24,147,58,2446
LGA35800,0,3,29,1503,28,0,0,28,117,1640
LGA36070,0,0,0,268,445,5,9,459,20,749
LGA36150,0,0,9,764,12,0,0,12,38,813
LGA36250,257,538,3279,130749,9070,968,115,10148,6110,147010
LGA36300,0,0,8,710,20,0,0,20,63,791
LGA36370,29,128,1609,69520,3916,851,62,4826,5381,79726
LGA36510,47,63,804,35640,1222,148,12,1385,3049,40072
LGA36580,16,18,346,21618,908,164,12,1087,1895,24597
LGA36630,32,57,715,28966,841,87,7,935,2284,32186
LGA36660,62,82,902,31421,1383,277,29,1680,2004,35110
LGA36720,408,786,7706,262574,13992,1408,201,15599,16203,294367
LGA36820,42,83,622,21661,993,114,35,1135,2028,24827
LGA36910,104,642,3802,139538,9188,1560,119,10868,10373,160779
LGA36950,7,0,14,1335,1439,213,77,1728,543,3610
LGA36960,9,0,6,243,3182,572,179,3932,341,4514
LGA37010,151,192,2305,159081,12080,1608,186,13878,13799,186757
LGA37300,0,0,3,3173,311,35,10,356,371,3905
LGA37310,4,69,599,28657,1136,97,24,1259,3522,33444
LGA37340,21,72,440,27373,1814,406,20,2242,4162,33778
LGA37400,3,9,32,1004,16,3,0,20,108,1134
LGA37550,0,0,0,817,85,0,10,92,46,962
LGA37570,0,0,0,88,176,3,4,187,5,282
LGA37600,0,0,5,2165,260,20,40,317,81,2559
LGA39499,8,10,44,8697,1060,255,22,1328,2483,12510
LGA39799,0,0,4,110,20,0,0,20,22,150
LGA40070,48,35,379,11637,6875,1126,59,8059,2367,22063
LGA40120,54,36,674,34930,2036,195,19,2252,1680,38863
LGA40220,38,56,824,23629,672,44,25,738,1502,25873
LGA40250,9,3,18,292,1418,292,40,1752,229,2276
LGA40310,32,64,625,21788,529,36,16,579,1192,23558
LGA40430,0,18,105,2337,24,0,0,26,179,2544
LGA40520,46,49,332,8858,837,129,28,993,700,10545
LGA40700,239,122,1666,31629,9314,1333,57,10706,1573,43911
LGA40910,651,72,1673,31131,14765,2582,172,17528,1504,50164
LGA41010,3,22,67,2723,234,17,3,253,434,3408
LGA41060,1232,198,3637,75979,25172,5352,347,30866,4915,111759
LGA41140,12,10,276,8273,196,15,3,217,533,9023
LGA41190,0,13,61,1634,18,0,0,18,109,1771
LGA41330,7,3,15,1059,376,54,13,439,262,1762
LGA41560,16,112,445,12742,309,22,10,346,1052,14139
LGA41750,0,0,21,986,10,0,0,7,57,1045
LGA41830,0,6,42,1458,64,0,0,63,118,1643
LGA41960,0,13,46,1152,17,0,0,17,129,1298
LGA42030,37,68,668,20809,933,125,3,1061,1159,23034
LGA42110,3,5,91,3775,84,10,0,96,265,4136
LGA42250,4,17,111,7118,172,13,7,190,891,8203
LGA42600,162,135,1686,29888,3126,443,32,3606,1864,35360
LGA42750,4,17,123,4113,148,19,4,167,427,4702
LGA43080,0,3,50,1003,17,3,0,20,59,1090
LGA43220,0,3,32,979,23,3,0,25,57,1061
LGA43360,0,10,70,2159,25,0,0,33,151,2349
LGA43650,11,9,166,13715,356,28,3,387,634,14736
LGA43710,3,9,76,4868,77,7,0,79,560,5510
LGA43790,20,62,380,10272,433,88,12,528,683,11487
LGA43920,5,15,90,7826,334,72,10,423,563,8801
LGA44000,0,0,0,12,7,3,0,7,37,59
LGA44060,407,203,2760,68154,14017,2761,163,16945,3514,88618
LGA44210,8,19,188,7618,197,25,3,228,800,8642
LGA44340,242,148,2225,52904,8414,1188,75,9675,2228,64805
LGA44550,29,46,620,30357,1310,101,19,1432,1605,33397
LGA44620,68,59,696,23266,1351,317,13,1686,1323,26276
LGA44830,0,6,88,2614,60,9,0,68,177,2864
LGA45040,30,39,503,17158,1538,618,20,2181,1520,20858
LGA45090,15,22,226,7103,556,269,6,825,360,8291
LGA45120,3,8,144,4210,51,6,0,58,256,4524
LGA45290,430,75,1314,24346,7916,1445,97,9466,1554,35362
LGA45340,312,385,3464,147295,10149,1244,159,11555,7915,166766
LGA45400,0,8,47,809,15,0,0,15,72,895
LGA45540,0,12,53,1528,25,3,3,31,119,1678
LGA45680,140,129,1322,72276,8364,2924,202,11491,5604,89372
LGA45890,871,271,3161,74953,30660,8536,435,39628,6647,121230
LGA46090,13,24,241,11479,587,74,7,672,1661,13808
LGA46300,18,41,390,12475,492,50,8,551,1038,14064
LGA46450,35,33,496,15561,698,100,3,803,1000,17364
LGA46510,153,29,477,14245,4541,813,66,5418,857,20527
LGA46670,49,15,276,7509,1009,299,25,1329,644,9475
LGA46860,0,9,40,1233,32,0,0,33,108,1378
LGA46970,0,0,3,3252,281,22,3,311,323,3884
LGA47140,483,181,2190,92667,29673,9147,433,39245,6064,137979
LGA47290,0,5,59,1764,74,24,0,100,156,2027
LGA47490,0,11,56,1900,29,3,0,34,146,2074
LGA47630,3,56,198,5679,273,132,3,409,537,6620
LGA47700,351,180,2080,81943,10869,1597,121,12581,3210,97734
LGA47800,8,12,112,4826,209,9,3,223,334,5380
LGA47910,3,13,93,2450,21,9,0,35,121,2610
LGA47980,308,94,1637,28689,6308,1053,66,7426,1605,37721
LGA48050,23,81,789,13386,464,33,7,512,763,14665
LGA48130,3,23,200,6139,223,37,4,266,393,6801
LGA48260,47,19,309,5547,1413,211,23,1647,361,7550
LGA48340,15,72,322,10621,283,38,0,326,731,11677
LGA48410,534,259,2148,37240,14956,2868,211,18037,2631,57901
LGA48540,51,46,429,18963,1277,128,24,1428,1439,21828
LGA48640,0,3,37,1146,17,0,0,17,84,1250
LGA48750,8,8,138,4691,135,7,4,151,320,5159
LGA48830,9,57,459,10276,187,11,8,203,580,11056
LGA49399,4,7,25,2537,365,47,3,414,573,3524
LGA49499,3,3,22,1933,291,76,14,379,547,2863
LGA49799,0,0,0,0,4,0,0,4,0,3
LGA50080,76,118,1046,31789,2054,235,27,2308,2487,36583
LGA50210,97,195,917,59756,13073,1936,172,15186,4661,79602
LGA50250,3,0,7,9395,1428,77,19,1522,2109,13026
LGA50280,4,17,225,12146,885,99,12,995,1119,14258
LGA50350,65,29,334,11956,1978,335,29,2340,795,15092
LGA50420,364,217,1484,42335,15217,3174,179,18577,3763,64677
LGA50490,145,103,817,23908,9944,1801,125,11872,3908,39682
LGA50560,0,8,42,1468,71,3,3,80,197,1745
LGA50630,0,0,14,1596,98,8,0,107,143,1844
LGA50770,0,6,36,1532,42,6,0,46,127,1701
LGA50840,5,4,90,4151,147,7,3,159,343,4660
LGA50910,0,22,38,829,28,4,0,37,113,975
LGA50980,3,14,56,12309,1726,180,41,1953,1956,16222
LGA51080,0,5,11,969,31,3,0,38,136,1144
LGA51120,0,3,20,815,31,8,0,40,71,930
LGA51190,87,80,875,26310,2651,356,49,3057,2549,31919
LGA51260,32,103,851,32394,1590,203,21,1815,2475,36686
LGA51310,93,61,831,21708,3411,324,32,3767,1306,26783
LGA51330,312,163,1549,50086,30470,5363,264,36104,4001,90184
LGA51400,4,10,104,14774,1304,85,22,1408,948,17123
LGA51470,0,0,5,482,21,0,0,24,43,548
LGA51540,3,15,69,3961,583,159,9,752,812,5528
LGA51610,0,0,13,1196,40,0,0,40,180,1422
LGA51680,5,3,36,4822,187,15,3,204,442,5472
LGA51750,21,33,461,8041,1118,126,5,1250,756,10054
LGA51820,326,266,1430,75591,19421,3139,238,22788,6088,104473
LGA51890,10,40,152,7789,258,38,7,299,708,8798
LGA51960,0,0,6,2915,230,17,7,248,449,3610
LGA52030,0,3,12,949,18,0,0,18,67,1036
LGA52100,0,5,30,996,27,0,0,32,117,1146
LGA52170,16,19,226,6563,511,28,3,544,490,7597
LGA52240,0,3,12,944,40,0,0,41,99,1089
LGA52310,0,5,15,730,13,0,0,13,116,863
LGA52380,0,0,0,135,5,0,0,5,50,194
LGA52450,0,3,23,1211,120,7,0,127,113,1457
LGA52520,0,3,30,1145,144,4,0,144,140,1429
LGA52590,0,11,45,2801,106,20,0,124,284,3213
LGA52660,19,34,269,12428,659,97,15,763,840,14033
LGA52730,8,13,117,5069,219,21,6,251,531,5845
LGA52800,21,3,36,3743,2759,278,67,3102,885,7730
LGA52870,10,12,108,5090,202,61,5,268,514,5870
LGA52940,0,0,11,622,11,0,3,14,53,690
LGA53010,0,0,7,578,15,3,0,13,75,671
LGA53080,0,0,6,587,43,3,0,50,131,772
LGA53150,30,62,170,6283,569,43,3,621,472,7376
LGA53220,0,0,3,6610,1827,155,29,2014,1968,10591
LGA53290,5,32,253,12156,463,44,21,527,1551,14236
LGA53360,0,3,11,2353,129,4,0,133,240,2728
LGA53430,252,143,731,22160,3625,665,46,4336,2399,28893
LGA53570,0,11,70,4316,323,111,4,438,459,5217
LGA53640,0,3,9,1028,63,3,0,73,118,1215
LGA53710,0,8,27,911,22,0,0,26,95,1033
LGA53780,230,191,1431,73408,31017,6800,348,38168,6497,118073
LGA53800,41,55,638,32378,2597,327,44,2968,3292,38634
LGA53920,3,0,7,1445,987,123,60,1174,643,3269
LGA53990,35,29,294,22813,1637,221,18,1871,1868,26553
LGA54060,3,8,85,3256,70,6,3,81,230,3569
LGA54130,0,0,9,937,24,0,0,24,146,1109
LGA54170,232,174,2401,131653,15542,1574,135,17258,5532,154445
LGA54200,121,142,922,47468,6121,749,75,6948,3037,57449
LGA54280,18,22,153,23611,3241,253,54,3542,2902,30059
LGA54310,8,0,22,15981,2536,211,42,2800,2696,21473
LGA54340,14,16,95,2804,469,338,10,817,530,4151
LGA54410,3,11,45,1061,31,0,4,37,129,1224
LGA54480,0,0,3,476,8,0,0,9,77,559
LGA54550,3,16,62,1719,61,5,5,71,191,1985
LGA54620,0,0,12,756,42,3,0,46,73,873
LGA54690,0,0,7,395,0,0,0,0,24,414
LGA54760,0,4,20,689,26,3,0,25,56,765
LGA54830,33,42,324,27816,6582,839,111,7539,3563,38918
LGA54900,0,0,11,1088,55,5,0,65,113,1268
LGA54970,0,0,3,727,186,16,13,210,210,1153
LGA55040,0,0,5,975,107,5,7,118,318,1411
LGA55110,92,226,2124,70172,5161,483,99,5743,4904,80813
LGA55180,22,40,200,7946,456,56,15,531,772,9250
LGA55250,0,5,10,748,83,0,0,87,233,1067
LGA55320,353,482,3221,73903,17381,2173,164,19715,4466,98083
LGA55390,0,0,0,235,163,31,9,202,52,490
LGA55460,3,7,67,2861,207,43,3,248,240,3350
LGA55530,0,0,7,413,4,0,0,4,37,455
LGA55600,0,3,49,2120,85,3,0,84,222,2428
LGA55670,3,0,18,664,25,3,3,28,58,750
LGA55740,12,51,182,6874,1085,107,12,1204,676,8757
LGA55810,0,0,3,340,20,0,0,22,119,482
LGA55880,0,0,6,478,4,0,0,4,40,527
LGA55950,0,0,13,507,5,0,0,7,41,555
LGA56090,61,60,604,32038,2141,225,45,2411,3710,38157
LGA56160,0,0,0,94,15,0,0,16,43,153
LGA56230,15,24,298,14894,481,36,6,526,1277,16698
LGA56300,0,4,18,1178,35,0,0,39,115,1328
LGA56370,0,3,25,707,30,5,0,38,63,809
LGA56460,14,20,132,4288,300,22,3,333,540,5162
LGA56580,57,55,574,16987,2959,255,21,3235,896,21121
