LGA_CODE_2016,C16_85o_Seprtd_M,C16_85o_Seprtd_F,C16_85o_Divorce_M,C16_85o_Divorce_F,C16_85o_Wid_M,C16_85o_Wid_F,C16_85o_Nvr_mard_M,C16_85o_Nvr_mard_F,C16_85o_T_M,C16_85o_T_F,C16_85o_T_P,C16_T_Married_M,C16_T_Married_F,C16_Tot_Sep_M,C16_Tot_Sep_F,C16_Tot_Div_M,C16_Tot_Div_F,C16_Tot_Wid_M,C16_Tot_Wid_F,C16_Tot_nver_marrie_M,C16_Tot_nver_marrie_F,C16_Tot_T_M,C16_Tot_T_F,C16_Tot_T_P
LGA20910,15,14,42,122,416,1723,47,134,1228,2393,3624,21345,21644,765,1027,2271,3971,941,3868,11604,11238,36928,41741,78669
LGA21010,3,3,9,16,70,238,6,9,207,323,528,2872,2909,209,228,546,685,234,721,1720,1557,5579,6113,11686
LGA21110,23,13,58,149,487,2239,97,315,1627,3208,4829,34402,35570,1048,1393,2687,5043,1241,5379,26006,25662,65383,73046,138430
LGA21180,21,11,25,55,366,1471,20,33,1053,1866,2926,39527,38877,2616,3271,4998,7142,1547,6464,30232,23783,78919,79538,158457
LGA21270,0,0,3,3,41,157,12,13,136,201,336,1381,1367,83,68,221,201,119,372,816,571,2619,2588,5206
LGA21370,4,4,13,22,158,548,21,18,437,727,1164,7669,7712,538,595,1351,1493,543,1705,4814,4010,14913,15512,30424
LGA21450,9,6,17,30,140,543,24,27,453,730,1185,18282,18313,1169,1441,2525,3610,642,2162,12576,11685,35199,37205,72402
LGA21610,19,16,55,102,493,1648,32,57,1270,2179,3450,62521,62086,3158,4047,6602,9863,1940,7236,39974,34021,114195,117254,231449
LGA21670,0,3,3,19,58,218,7,11,157,288,448,2405,2421,222,250,614,722,254,764,1882,1456,5369,5614,10982
LGA21750,4,0,11,8,74,291,13,19,208,371,585,4114,4063,297,306,689,875,265,981,3174,2511,8536,8743,17277
LGA21830,0,4,4,4,87,224,12,14,175,289,468,3369,3382,199,211,526,531,245,771,2202,1679,6548,6579,13125
LGA21890,13,25,43,102,502,1772,89,78,1397,2343,3736,25106,25012,1477,1708,3518,5026,1393,5461,27430,27142,58933,64348,123281
LGA22110,9,3,27,22,201,643,14,20,558,835,1391,9670,9633,692,744,1921,2120,717,2198,5506,4688,18504,19391,37892
LGA22170,29,7,60,101,392,1292,23,41,1019,1696,2713,23621,23650,1906,2309,4882,7229,1331,4482,20739,18963,52474,56637,109114
LGA22250,5,0,4,3,48,168,11,11,153,223,378,2319,2308,154,155,372,387,174,575,1364,1061,4385,4481,8870
LGA22310,29,20,66,131,525,2019,65,121,1545,2695,4240,28381,28520,1129,1431,3018,5036,1181,4895,21210,20306,54926,60185,115105
LGA22410,0,0,9,11,86,277,6,4,210,346,555,3997,4006,302,264,764,904,296,876,2775,2188,8134,8240,16377
LGA22490,3,3,0,6,24,101,8,3,83,136,225,4730,4778,259,217,615,640,179,450,2705,2198,8491,8274,16769
LGA22620,17,15,40,86,352,1281,50,69,988,1755,2743,20582,20681,1468,1743,3449,4939,1210,4099,15945,15160,42651,46628,89283
LGA22670,23,5,59,88,351,1465,41,50,1106,1907,3008,32466,30821,1830,2147,4276,5865,1304,5769,23554,16559,63433,61166,124599
LGA22750,35,20,90,166,824,3071,74,136,2351,4112,6460,45391,45132,2824,3624,6865,10210,2606,9472,33806,31219,91500,99671,191166
LGA22830,10,9,18,29,174,697,20,23,543,941,1484,12647,12488,912,1101,1925,2472,704,2373,8918,7589,25114,26014,51131
LGA22910,3,0,10,14,62,246,10,12,151,313,469,3015,3000,211,215,651,811,221,708,2111,1986,6211,6723,12934
LGA22980,0,0,0,4,38,126,5,11,103,190,290,1292,1293,76,88,213,182,97,340,727,545,2406,2453,4859
LGA23110,15,10,28,48,245,904,45,42,733,1216,1952,17302,17291,1077,1287,2546,3482,809,3234,13572,11838,35295,37135,72429
LGA23190,4,0,12,6,63,300,12,23,215,402,613,3990,4017,235,271,588,779,228,926,2576,2317,7606,8308,15913
LGA23270,5,5,33,51,252,904,30,25,727,1168,1889,39443,39449,2384,3286,4457,6487,1241,5032,28136,23538,75669,77799,153462
LGA23350,0,0,9,10,41,173,10,11,131,224,353,3511,3439,211,234,603,745,179,583,1925,1671,6436,6674,13104
LGA23430,28,4,84,123,498,1930,56,97,1542,2600,4139,31073,31142,1666,1999,4239,6608,1448,5860,21501,19069,59923,64673,124594
LGA23670,20,18,41,94,379,1518,36,50,1102,2008,3105,33097,33341,1539,1986,3746,6222,1296,5007,21658,19152,61338,65713,127047
LGA23810,4,8,35,41,232,858,23,17,654,1106,1761,13382,13471,1107,1359,2682,3277,855,3197,10956,9719,28975,31021,59998
LGA23940,4,0,6,0,39,111,13,3,110,145,256,1607,1614,153,104,375,290,142,374,969,692,3252,3074,6322
LGA24130,6,4,11,18,114,384,16,17,296,513,811,10016,10056,504,592,1303,1796,443,1293,5604,5072,17861,18796,36659
LGA24210,17,8,42,93,418,1625,23,58,1423,2249,3668,27818,28538,834,1098,2056,3444,1163,4894,14724,12966,46588,50939,97529
LGA24250,0,0,6,4,30,97,0,4,81,123,207,1806,1784,133,111,359,391,116,342,1093,908,3508,3538,7049
LGA24330,8,13,20,45,174,627,31,37,522,854,1379,13936,13651,980,1083,2173,2975,556,2159,17016,14564,34661,34435,69093
LGA24410,14,10,41,79,312,1335,28,50,900,1747,2647,22633,22784,1104,1531,2923,5031,1017,3875,15038,13826,42715,47052,89771
LGA24600,4,3,31,41,139,538,89,131,459,795,1255,16413,16231,1073,1045,2799,3574,437,1740,41020,42905,61741,65494,127232
LGA24650,5,7,17,23,127,457,13,5,310,578,887,26378,26410,1633,2220,3042,4615,743,2620,18210,16241,50001,52096,102097
LGA24780,3,0,20,34,180,678,26,21,531,889,1419,10289,10241,748,878,1803,2157,630,2358,7777,6771,21243,22402,43642
LGA24850,5,4,8,21,72,257,17,9,237,342,581,7718,7715,646,694,1289,1558,343,1126,6192,5165,16185,16260,32439
LGA24900,4,0,17,11,126,404,19,13,387,547,935,6149,6180,463,474,1081,1139,467,1372,3691,2955,11854,12121,23981
LGA24970,19,12,45,102,601,2295,49,89,1977,3113,5088,39355,40144,1270,1652,3122,5161,1603,6672,29480,25257,74831,78884,153720
LGA25060,26,9,39,61,348,1335,55,66,1140,1826,2967,23100,23212,1197,1489,2730,4199,993,4310,18341,17538,46365,50750,97118
