LGA_CODE_2016,C06_CF_BPT_1000_1499,C06_CF_BPT_1500_1999,C06_CF_BPT_2000_2499,C06_CF_BPT_2500_2999,C06_CF_BPT_3000_3999,C06_CF_BPT_4000m,C06_CF_BPT_Ns,C06_CF_BPT_T,C06_CF_1F1P_N,C06_CF_1F1P_1_149,C06_CF_1F1P_150_299,C06_CF_1F1P_300_399,C06_CF_1F1P_400_499,C06_CF_1F1P_500_649,C06_CF_1F1P_650_799,C06_CF_1F1P_800_999,C06_CF_1F1P_1000_1499,C06_CF_1F1P_1500_1999,C06_CF_1F1P_2000_2499,C06_CF_1F1P_2500_2999,C06_CF_1F1P_3000_3999,C06_CF_1F1P_4000m,C06_CF_1F1P_Ns,C06_CF_1F1P_T,C06_CF_1E1A_N,C06_CF_1E1A_1_149,C06_CF_1E1A_150_299,C06_CF_1E1A_300_399,C06_CF_1E1A_400_499,C06_CF_1E1A_500_649,C06_CF_1E1A_650_799,C06_CF_1E1A_800_999,C06_CF_1E1A_1000_1499,C06_CF_1E1A_1500_1999,C06_CF_1E1A_2000_2499,C06_CF_1E1A_2500_2999,C06_CF_1E1A_3000_3999,C06_CF_1E1A_4000_mr,C06_CF_1E1A_Ns,C06_CF_1E1A_T,C06_CF_1F1NW_N,C06_CF_1F1NW_1_149,C06_CF_1F1NW_150_299,C06_CF_1F1NW_300_399,C06_CF_1F1NW_400_499,C06_CF_1F1NW_500_649,C06_CF_1F1NW_650_799,C06_CF_1F1NW_800_999,C06_CF_1F1NW_1000_1499,C06_CF_1F1NW_1500_1999,C06_CF_1F1NW_2000_2499,C06_CF_1F1NW_2500_2999,C06_CF_1F1NW_3000_3999,C06_CF_1F1NW_4000mo,C06_CF_1F1NW_Ns,C06_CF_1F1NW_Tot,C06_CF_1P1NW_N,C06_CF_1P1NW_1_149,C06_CF_1P1NW_150_299,C06_CF_1P1NW_300_399,C06_CF_1P1NW_400_499,C06_CF_1P1NW_500_649,C06_CF_1P1NW_650_799,C06_CF_1P1NW_800_999,C06_CF_1P1NW_1000_1499,C06_CF_1P1NW_1500_1999,C06_CF_1P1NW_2000_2499,C06_CF_1P1NW_2500_2999,C06_CF_1P1NW_3000_3999,C06_CF_1P1NW_4000_mr,C06_CF_1P1NW_Ns,C06_CF_1P1NW_T,C06_CF_1A1NW_N,C06_CF_1A1NW_1_149,C06_CF_1A1NW_150_299,C06_CF_1A1NW_300_399,C06_CF_1A1NW_400_499,C06_CF_1A1NW_500_649,C06_CF_1A1NW_650_799,C06_CF_1A1NW_800_999,C06_CF_1A1NW_1000_1499,C06_CF_1A1NW_1500_1999,C06_CF_1A1NW_2000_2499,C06_CF_1A1NW_2500_2999,C06_CF_1A1NW_3000_3999,C06_CF_1A1NW_4000m,C06_CF_1A1NW_Ns,C06_CF_1A1NW_T,C06_CF_BA_N,C06_CF_BA_1_149,C06_CF_BA_150_299,C06_CF_BA_300_399,C06_CF_BA_400_499,C06_CF_BA_500_649,C06_CF_BA_650_799,C06_CF_BA_800_999,C06_CF_BA_1000_1499,C06_CF_BA_1500_1999,C06_CF_BA_2000_2499,C06_CF_BA_2500_2999,C06_CF_BA_3000_3999,C06_CF_BA_4000_more,C06_CF_BA_Ns,C06_fc_BA_Tot,C06_CF_BNW_N,C06_CF_BNW_1_149,C06_CF_BNW_150_299,C06_CF_BNW_300_399,C06_CF_BNW_400_499,C06_CF_BNW_500_649,C06_CF_BNW_650_799,C06_CF_BNW_800_999,C06_CF_BNW_1000_1499,C06_CF_BNW_1500_1999,C06_CF_BNW_2000_2499,C06_CF_BNW_2500_2999,C06_CF_BNW_3000_3999,C06_CF_BNW_4000_more,C06_CF_BNW_Ns,C06_CF_BNW_Tot,C06_CF_LFns_N,C06_CF_LFns_1_149,C06_CF_LFns_150_299,C06_CF_LFns_300_399,C06_CF_LFns_400_499,C06_CF_LFns_500_649,C06_CF_LFns_650_799,C06_CF_LFns_800_999,C06_CF_LFns_1000_1499,C06_CF_LFns_1500_1999,C06_CF_LFns_2000_2499,C06_CF_LFns_2500_2999,C06_CF_LFns_3000_3999,C06_CF_LFns_4000_more,C06_CF_LFns_Ns,C06_CF_LFns_Tot,C06_CF_Tot_N,C06_CF_Tot_1_149,C06_CF_Tot_150_299,C06_CF_Tot_300_399,C06_CF_Tot_400_499,C06_CF_Tot_500_649,C06_CF_Tot_650_799,C06_CF_Tot_800_999,C06_CF_Tot_1000_1499,C06_CF_Tot_1500_1999,C06_CF_Tot_2000_2499,C06_CF_Tot_2500_2999,C06_CF_Tot_3000_3999,C06_CF_Tot_4000_more,C06_CF_TFI_Ns,C06_CF_T_T,C06_1PF_F_N,C06_1PF_F_1_149,C06_1PF_F_150_299,C06_1PF_F_300_399,C06_1PF_F_400_499,C06_1PF_F_500_649,C06_1PF_F_650_799,C06_1PF_F_800_999,C06_1PF_F_1000_1499,C06_1PF_F_1500_1999,C06_1PF_F_2000_2499,C06_1PF_F_2500_2999,C06_1PF_F_3000_3999,C06_1PF_F_4000_more,C06_1PF_F_Ns,C06_1PF_F_T,C06_1PF_P_N,C06_1PF_P_1_149,C06_1PF_P_150_299,C06_1PF_P_300_399,C06_1PF_P_400_499,C06_1PF_P_500_649,C06_1PF_P_650_799,C06_1PF_P_800_999,C06_1PF_P_1000_1499,C06_1PF_P_1500_1999,C06_1PF_P_2000_2499,C06_1PF_P_2500_2999,C06_1PF_P_3000_3999,C06_1PF_P_4000_more,C06_1PF_P_Ns,C06_1PF_P_T,C06_1PF_A_N,C06_1PF_A_1_149,C06_1PF_A_150_299,C06_1PF_A_300_399,C06_1PF_A_400_499,C06_1PF_A_500_649,C06_1PF_A_650_799,C06_1PF_A_800_999,C06_1PF_A_1000_1499,C06_1PF_A_1500_1999,C06_1PF_A_2000_2499,C06_1PF_A_2500_2999,C06_1PF_A_3000_3999,C06_1PF_A_4000_more,C06_1PF_A_Ns,C06_1PF_A_T
LGA21370,48,20,9,8,0,0,10,130,5,3,4,3,3,48,60,100,509,282,128,64,33,10,120,1351,0,0,0,0,0,7,6,18,70,42,19,13,0,0,25,192,3,3,3,3,7,66,86,119,267,69,28,33,5,4,74,761,3,0,5,9,17,32,25,23,32,11,4,3,0,0,14,171,0,0,0,0,0,9,15,11,30,5,3,0,0,0,15,88,0,0,0,0,3,3,4,3,16,14,5,4,5,0,11,73,0,8,14,4,24,53,28,27,44,11,7,0,0,0,39,274,0,0,0,0,0,5,0,3,5,4,0,0,0,0,198,226,18,17,25,29,70,262,249,347,1230,641,312,191,77,34,642,4152,0,0,0,8,7,31,56,35,78,7,6,5,0,0,35,276,0,3,14,49,0,105,52,27,34,6,4,0,0,0,36,333,0,0,0,3,0,5,7,4,5,4,0,0,0,0,8,34
LGA21450,82,43,26,12,9,3,20,261,7,11,0,7,8,60,55,138,933,661,265,163,131,24,250,2714,0,0,0,3,0,3,5,20,100,71,38,25,15,3,43,322,3,6,5,11,5,67,177,289,696,262,64,135,22,9,176,1923,0,0,8,14,11,47,28,43,68,35,9,11,3,0,36,299,3,0,0,0,0,8,15,19,56,11,3,3,0,0,22,156,0,3,0,0,3,3,3,3,28,14,13,4,0,3,25,105,4,8,7,11,40,52,33,48,63,23,14,5,0,0,46,369,0,0,0,0,0,4,3,0,14,0,3,0,0,0,322,354,26,29,26,45,77,286,338,618,2311,1454,726,509,301,87,1124,7950,3,3,0,9,3,74,84,90,175,49,22,17,9,0,86,622,0,3,16,77,3,175,82,47,69,22,6,0,0,0,50,547,0,0,3,3,0,7,3,9,22,6,0,0,0,0,14,65
LGA21610,285,125,75,19,16,7,91,827,12,19,3,7,12,126,150,484,2933,2054,1013,529,395,78,678,8502,6,0,0,4,0,30,34,79,392,287,187,86,59,12,167,1341,14,26,34,57,21,410,891,1253,2879,991,261,453,106,20,670,8093,7,17,33,53,67,221,163,174,299,103,40,25,5,3,140,1334,3,7,6,9,11,51,73,96,182,68,20,26,8,0,123,672,5,0,0,3,0,12,4,16,102,52,52,21,22,9,94,388,53,56,73,79,288,324,160,284,440,210,64,21,11,10,336,2414,7,0,0,8,3,17,26,22,61,31,7,5,3,5,1357,1561,117,153,155,229,428,1282,1589,2583,9064,5603,2952,1823,1095,302,4375,31746,5,5,13,36,4,279,401,362,797,324,107,74,24,3,303,2731,3,13,65,268,21,622,332,183,236,79,16,9,4,0,183,2027,0,3,5,20,0,45,34,31,51,18,5,4,0,0,36,268
LGA21670,18,4,0,0,0,0,3,44,0,0,0,0,0,4,14,37,118,49,10,7,3,0,34,284,0,0,0,0,0,0,9,0,17,10,0,0,0,0,8,47,0,0,0,0,3,34,38,47,69,13,5,3,3,0,18,234,0,0,3,3,10,16,11,16,11,0,0,0,0,0,3,78,0,0,0,0,4,3,3,5,3,0,0,0,0,0,3,23,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,12,0,3,3,6,23,46,22,38,29,4,0,0,0,0,21,192,0,0,0,0,0,0,0,0,4,0,0,0,0,0,59,70,7,5,10,16,47,122,95,158,327,141,50,23,15,0,170,1175,0,0,3,6,0,14,13,14,15,5,0,0,0,0,7,86,0,0,3,23,4,38,18,14,9,0,0,0,0,0,6,113,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,11
LGA21750,33,13,5,0,0,3,12,96,0,0,0,4,3,13,29,64,275,160,55,24,16,8,98,753,0,0,0,0,0,7,3,12,40,27,7,4,3,0,13,111,0,0,0,0,0,36,58,77,160,45,7,9,3,0,32,429,0,0,6,3,3,6,6,24,30,0,0,3,0,0,10,99,0,0,0,0,0,6,3,7,14,0,0,0,0,0,7,46,0,0,0,0,0,0,3,0,10,3,4,0,0,0,11,33,3,0,4,3,20,30,11,10,29,8,3,0,0,0,28,157,0,0,0,0,0,4,3,0,0,0,0,0,0,0,96,104,8,6,15,13,31,127,133,213,698,354,147,75,53,21,363,2267,0,0,0,5,0,31,29,33,47,14,5,0,0,0,28,203,0,0,6,44,0,66,31,18,16,0,0,0,0,0,22,214,0,0,0,3,0,4,3,0,3,0,0,0,0,0,6,26
LGA21830,21,8,3,0,0,3,13,58,4,0,0,4,11,28,26,54,221,116,42,28,23,9,68,628,0,0,0,0,0,4,0,12,28,14,5,3,0,0,13,88,0,0,0,3,0,24,47,40,118,26,3,25,7,0,26,324,0,0,0,0,3,10,5,9,17,3,8,0,0,0,9,82,0,0,0,0,0,0,0,4,11,0,0,0,0,0,9,26,0,0,0,0,0,0,0,0,8,6,3,0,0,0,3,30,3,3,3,0,9,36,10,7,13,5,0,4,0,0,15,116,0,0,0,0,0,3,0,0,0,0,0,0,0,0,71,75,19,11,7,7,35,132,106,149,582,278,121,94,61,48,311,1964,0,0,0,3,3,9,12,26,38,10,5,0,3,0,22,134,0,0,3,27,0,45,19,12,10,3,0,0,0,0,14,139,0,0,0,3,0,12,3,0,3,0,0,0,0,0,4,25
LGA21890,164,84,43,27,17,7,42,516,3,4,9,5,6,61,79,153,920,764,502,287,311,58,233,3384,0,0,0,3,0,13,11,31,99,114,93,78,63,15,59,583,9,10,8,39,23,175,263,376,895,405,126,307,83,21,226,2957,0,14,23,45,48,142,75,92,146,52,21,22,8,5,77,777,3,0,3,7,7,25,26,32,74,29,15,8,8,0,47,284,0,0,0,0,3,0,4,12,35,21,27,12,19,0,26,175,43,39,59,51,207,303,152,280,481,276,100,56,26,10,364,2440,0,3,3,3,6,13,9,14,26,22,3,3,0,0,656,783,69,82,113,158,310,801,672,1075,3217,2174,1343,1079,763,197,1971,14021,4,8,7,26,3,89,153,148,389,130,43,42,11,0,135,1187,3,19,34,126,7,265,135,91,126,29,11,6,3,3,98,953,0,0,6,5,0,18,10,8,19,11,5,0,0,0,24,129
LGA22110,59,28,11,4,3,3,18,204,0,5,4,3,13,40,52,105,436,207,93,36,34,7,118,1160,0,0,0,0,0,7,5,17,50,34,15,6,8,3,18,155,3,0,5,0,4,52,102,133,223,62,8,25,7,3,52,679,0,3,4,10,9,38,46,37,48,16,0,3,0,4,14,234,0,0,0,0,0,12,10,12,27,9,0,3,0,0,7,79,0,0,0,0,0,8,0,5,11,13,3,3,0,3,18,64,3,6,19,9,52,91,38,39,55,7,3,3,3,0,54,381,0,0,0,3,0,0,3,0,13,0,0,0,0,0,248,268,17,26,38,40,94,298,283,403,1082,507,233,121,80,27,631,3871,0,0,10,13,0,32,44,29,59,19,6,5,0,0,48,262,3,3,22,75,9,114,56,31,27,7,0,0,0,0,50,394,0,0,3,10,3,12,7,4,5,0,0,0,0,0,5,51
LGA22170,157,72,38,17,5,3,56,452,4,13,4,4,6,49,89,224,1420,1005,540,231,213,44,391,4230,0,0,0,3,3,10,16,25,181,143,82,30,29,13,85,623,13,8,4,11,9,152,258,483,1159,420,108,215,38,8,305,3194,0,3,8,21,22,101,66,87,162,61,13,19,7,3,47,615,0,3,0,4,6,22,33,32,96,26,7,6,4,0,56,298,0,0,0,0,0,3,0,12,53,35,25,4,10,4,36,174,18,25,28,14,110,148,76,106,212,84,35,18,3,5,117,1001,3,0,3,3,0,4,11,12,19,14,6,7,3,0,625,708,46,59,60,66,164,538,594,1054,3924,2434,1406,805,492,135,2026,13801,7,5,4,13,4,131,234,214,503,172,62,41,22,4,247,1667,0,11,57,182,10,480,251,151,192,54,6,3,0,0,176,1585,0,7,8,25,3,45,22,17,32,9,0,0,0,0,38,199
LGA22250,13,6,0,0,0,0,0,34,0,3,4,0,7,24,19,34,147,67,15,6,5,5,34,372,0,0,0,0,0,3,0,4,24,13,3,3,0,0,9,61,0,3,0,4,4,21,41,57,57,14,7,5,3,0,18,225,0,0,0,0,4,9,6,10,5,0,0,0,0,0,5,47,0,0,0,0,0,0,0,4,9,0,0,0,0,0,3,24,0,0,0,0,0,3,0,3,9,3,3,3,3,0,4,37,3,0,4,0,14,21,14,19,12,8,0,0,0,0,12,99,0,0,0,0,0,3,0,0,3,0,0,0,0,0,54,60,6,8,17,12,37,104,83,139,374,161,55,23,16,15,188,1240,0,0,0,6,0,8,7,9,16,6,3,3,0,0,8,76,0,0,5,9,0,22,8,5,11,4,0,0,0,0,11,76,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,9
LGA22310,142,112,61,28,43,14,50,558,6,12,3,9,12,67,64,124,851,990,768,597,855,195,443,5011,0,0,0,3,4,10,11,17,112,118,95,93,110,47,80,700,12,8,9,19,11,94,161,218,699,452,133,683,165,54,262,2957,4,4,12,22,13,83,49,63,113,77,27,33,25,8,73,615,0,4,4,0,8,10,13,9,38,21,3,33,8,0,44,199,3,0,0,0,3,0,4,3,18,21,15,12,26,8,40,166,22,24,28,28,54,98,66,96,221,117,63,32,21,14,114,1002,0,0,0,0,0,3,7,5,25,7,8,8,7,0,771,848,63,56,65,90,116,448,407,598,2553,2326,1698,1965,1815,662,2253,15125,3,3,7,18,0,65,115,133,403,195,55,88,27,4,173,1287,0,11,33,90,9,213,134,99,162,55,22,18,3,0,130,975,6,0,6,6,0,11,6,3,21,11,8,8,0,0,26,111
LGA22410,29,12,3,6,4,0,6,84,0,0,0,3,0,16,23,40,250,172,84,40,20,12,66,718,0,0,0,0,0,3,7,9,27,38,16,9,6,0,17,134,3,0,0,5,5,9,52,49,174,56,16,20,5,3,36,437,0,0,4,3,4,21,7,24,29,8,5,0,0,0,10,110,0,0,0,0,0,4,0,7,15,6,0,3,0,0,3,49,0,0,0,0,0,0,0,3,6,5,5,3,3,0,11,35,0,3,4,3,10,44,20,19,20,6,0,0,4,0,28,166,0,3,0,0,0,0,0,0,0,0,0,0,0,0,114,122,11,7,10,22,26,118,120,169,651,371,206,120,71,26,357,2291,0,0,0,5,0,20,21,17,37,25,0,0,0,0,22,159,0,0,5,32,3,64,24,9,16,3,0,0,0,0,19,176,0,3,0,0,0,9,8,3,6,0,0,0,0,0,9,38
LGA22490,16,13,3,0,3,0,3,70,3,0,0,3,3,20,22,46,280,176,80,34,31,6,67,765,0,0,0,0,0,0,4,9,33,18,21,3,3,0,9,103,0,3,0,0,0,29,63,101,224,68,22,24,7,0,47,595,0,0,3,0,0,17,17,16,33,8,3,0,0,0,11,116,0,0,0,0,3,6,5,3,13,8,0,0,0,0,4,42,0,0,0,0,0,0,3,3,9,3,4,0,3,0,11,31,0,3,4,3,26,37,15,20,30,18,0,0,0,0,26,189,0,0,0,0,3,0,0,3,3,0,0,3,0,0,101,114,4,13,10,9,42,127,138,204,708,419,202,97,71,17,329,2398,0,0,0,0,0,11,13,14,25,7,7,3,0,0,12,91,0,4,5,18,0,26,21,7,8,0,0,0,0,0,12,110,0,0,0,3,0,3,7,3,3,0,0,0,0,0,0,17
LGA22620,143,67,16,7,4,3,26,393,5,5,0,3,8,63,82,189,1239,799,360,147,126,22,257,3306,3,0,0,0,0,13,16,32,148,97,59,18,20,3,46,452,0,3,12,12,8,107,238,395,750,258,57,95,24,3,171,2126,0,0,4,13,24,80,67,82,106,36,9,5,0,0,37,471,0,0,3,5,3,20,20,23,69,22,3,5,0,0,29,203,3,0,0,3,3,8,3,3,30,33,18,4,3,3,30,143,14,17,29,18,97,186,119,94,145,43,15,5,0,3,97,868,0,0,0,0,0,6,9,7,10,6,7,0,0,0,553,600,30,34,52,62,148,569,608,889,3077,1779,907,457,306,70,1424,10409,0,3,3,19,3,94,158,153,297,70,18,17,0,0,140,977,0,13,33,148,8,353,183,100,107,27,0,3,0,0,96,1074,3,4,9,4,0,30,16,12,28,0,3,3,0,0,27,141
LGA22670,112,62,21,7,4,3,48,400,12,8,6,11,9,66,58,153,740,477,249,101,82,17,205,2185,0,0,4,0,3,14,18,30,133,92,62,17,18,3,70,461,15,15,22,46,23,366,546,596,1024,374,148,100,43,12,385,3724,10,18,44,68,79,233,127,114,173,48,29,4,5,3,122,1079,3,4,10,9,9,51,44,38,100,30,11,9,0,0,83,403,4,0,0,3,4,9,5,4,49,31,21,7,4,0,51,192,99,122,123,89,512,414,205,328,561,227,97,35,29,11,420,3275,5,3,9,4,11,25,16,26,46,20,3,5,0,0,779,963,172,186,225,238,680,1270,1072,1396,3794,2093,1115,510,319,98,2455,15628,14,7,12,32,7,197,201,166,392,146,60,28,9,3,156,1428,0,23,52,131,18,256,136,79,137,32,5,3,0,0,96,981,3,6,10,20,0,28,25,5,46,10,0,0,0,0,34,187
LGA22750,234,110,47,26,18,9,67,717,8,15,5,11,18,99,169,357,2293,1800,910,478,444,83,739,7430,3,0,0,3,4,21,27,53,248,251,139,73,48,15,149,1027,14,14,17,22,12,182,428,700,1854,728,202,398,108,24,447,5145,8,8,14,23,52,156,138,132,248,93,34,29,13,0,116,1052,4,0,5,0,18,30,37,46,151,42,23,24,7,0,72,457,0,0,0,0,3,3,4,11,67,42,33,16,16,7,59,263,21,34,41,45,185,344,167,257,378,159,54,32,9,9,274,2030,3,0,0,3,3,11,8,13,37,24,11,4,5,0,1065,1186,65,87,92,120,310,951,1051,1688,6092,4009,2104,1505,1022,256,3459,22797,5,8,13,51,5,191,250,266,585,190,60,53,15,0,298,1985,6,14,74,330,30,693,323,186,230,53,14,11,0,0,220,2179,3,0,12,28,9,43,31,14,36,12,3,3,0,0,43,245
LGA22830,56,34,15,5,8,6,20,202,3,3,5,3,6,56,64,142,787,500,215,98,68,23,190,2160,0,0,0,0,3,7,11,23,89,60,44,21,13,0,44,321,3,6,3,7,7,86,143,197,393,127,32,51,13,9,93,1171,0,3,8,5,9,41,27,34,58,25,8,3,0,0,27,252,0,0,3,3,3,8,16,15,53,9,3,0,0,0,30,137,0,0,0,0,0,10,0,3,22,18,10,3,3,3,30,95,7,22,27,14,131,118,59,69,90,33,6,3,3,6,88,680,0,0,3,0,0,3,3,8,7,6,0,0,0,0,320,355,28,47,56,50,170,385,359,559,1896,1101,568,286,185,83,1033,6796,0,3,8,15,3,68,99,71,144,38,9,7,0,0,78,540,0,4,16,87,3,177,78,56,63,10,7,4,0,0,49,552,0,0,0,12,0,15,17,9,8,3,0,0,0,0,17,84
LGA22910,26,8,3,0,0,0,8,79,0,0,0,0,3,12,12,29,141,83,31,11,13,3,48,379,0,0,0,0,5,0,3,9,17,10,6,4,4,0,5,55,0,0,0,4,0,23,40,50,115,23,5,8,4,0,29,302,0,3,0,0,12,25,22,17,22,7,0,3,0,0,10,121,0,0,0,0,0,11,3,3,4,0,0,3,0,0,4,33,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,12,0,0,3,3,16,31,11,17,15,3,0,0,0,0,15,127,0,0,0,0,0,5,6,3,3,4,0,0,0,0,66,83,4,13,7,8,42,132,111,139,405,196,82,40,34,3,209,1420,0,0,0,3,0,18,9,19,22,11,0,0,0,0,14,95,0,0,3,23,0,42,31,12,9,0,0,0,0,0,19,149,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,14
LGA22980,4,3,0,0,0,0,0,5,3,0,0,0,3,14,14,25,94,39,12,5,0,4,19,233,0,0,0,0,0,3,4,3,3,6,3,0,0,0,4,25,3,0,0,0,0,9,20,10,39,12,3,0,0,0,9,116,0,0,0,0,3,3,3,0,3,0,0,0,0,0,0,16,0,0,0,0,0,0,0,4,3,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,9,6,5,9,0,0,0,0,0,8,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,39,9,5,3,3,15,55,58,54,193,96,36,16,4,4,87,646,0,0,0,0,0,16,3,4,10,3,0,0,0,0,7,43,0,0,6,6,0,11,3,0,0,0,0,0,0,0,3,33,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
LGA23110,75,52,24,22,12,10,33,287,6,3,3,3,7,27,42,104,689,630,377,235,252,47,220,2637,0,0,0,0,3,14,9,26,76,85,73,56,53,6,55,442,4,9,10,21,10,104,174,268,705,314,107,278,64,26,230,2324,0,8,7,12,28,100,46,58,101,31,17,14,11,0,60,498,0,0,0,0,6,18,28,36,44,26,10,9,3,0,33,225,0,0,0,0,0,5,3,5,21,25,18,11,6,0,26,121,36,31,47,38,125,156,87,151,233,126,46,16,18,10,206,1312,3,3,0,0,3,7,6,8,21,7,4,7,0,0,511,575,54,63,69,74,188,447,412,698,2249,1653,1063,869,628,191,1555,10226,3,6,0,20,4,53,92,128,299,106,46,50,13,3,124,944,0,7,15,76,8,186,105,82,117,29,13,5,3,0,53,692,0,0,3,10,3,18,9,8,21,11,3,4,0,0,16,110
LGA23190,15,11,5,3,3,0,8,76,0,0,0,0,7,19,24,69,324,167,64,24,23,3,75,811,0,0,0,0,0,3,8,4,33,19,8,4,4,0,15,98,0,3,0,3,4,21,41,75,124,34,15,10,3,0,22,353,0,0,0,0,6,15,9,12,18,3,0,0,0,0,3,68,0,0,0,0,0,5,6,11,6,0,0,0,0,0,7,29,0,0,0,0,0,0,0,6,4,4,3,4,3,0,6,31,0,0,0,3,16,22,5,13,23,3,0,4,3,0,13,110,0,0,0,0,0,4,0,0,0,0,0,0,0,0,87,90,0,8,5,10,37,110,102,203,657,340,159,79,52,17,296,2071,0,0,3,9,0,26,23,21,42,6,0,0,0,0,17,143,0,4,10,24,0,57,22,13,20,3,3,0,0,0,13,172,0,0,0,0,0,6,5,0,7,0,0,0,0,0,4,17
LGA23270,148,75,38,16,16,0,58,480,11,10,4,12,3,60,91,245,1666,1105,612,326,208,53,430,4836,0,0,0,0,0,18,19,28,250,193,130,59,32,12,116,863,17,20,29,38,35,339,558,732,1565,578,207,286,71,15,502,4973,0,21,37,55,85,304,153,130,219,101,35,32,14,3,149,1339,0,4,10,9,18,51,61,65,121,47,19,10,5,0,117,539,3,3,3,0,0,0,3,11,56,47,33,9,12,0,56,247,60,133,120,94,566,485,246,322,577,262,94,34,17,4,499,3507,5,5,3,9,9,19,8,23,36,22,8,10,0,0,1038,1205,115,206,209,225,738,1364,1174,1640,5357,3329,1902,1168,662,199,3373,21649,6,3,6,28,4,148,231,217,492,210,81,43,16,3,193,1683,3,10,64,142,18,321,188,112,148,39,12,3,4,0,128,1207,0,3,10,23,0,41,13,18,44,15,9,4,0,0,38,214
LGA23350,23,11,0,3,0,0,16,69,0,5,0,0,0,12,17,42,215,151,74,33,16,5,61,626,0,0,0,0,0,4,0,3,34,15,15,7,0,0,13,92,0,0,0,3,0,16,23,43,134,40,7,10,0,0,31,312,0,0,0,3,0,11,8,14,20,5,0,0,0,0,8,73,0,0,0,0,0,3,4,0,13,3,0,0,0,0,3,25,0,0,0,0,0,0,3,0,3,3,0,0,3,0,9,27,5,3,4,0,17,19,13,17,19,3,3,0,0,0,11,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,95,6,10,13,11,22,81,76,140,530,339,183,88,55,13,295,1858,0,0,0,3,0,18,22,15,31,10,0,0,0,0,18,124,0,3,5,21,3,42,8,16,14,0,0,0,0,0,19,131,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,13
LGA23430,151,91,56,20,15,5,45,509,10,7,9,10,13,59,69,192,1465,1280,668,442,384,74,430,5102,0,0,3,0,3,16,13,38,199,188,121,75,54,13,103,815,19,20,11,13,11,158,289,380,1219,557,161,437,83,21,328,3710,0,3,20,22,13,111,67,67,144,95,25,28,15,0,81,708,0,0,0,9,3,18,25,34,72,42,6,23,7,3,50,290,0,0,0,0,3,3,4,3,42,52,38,13,10,4,36,205,29,22,37,27,122,154,100,165,322,178,69,26,27,4,220,1511,4,3,3,0,0,7,7,12,31,12,6,4,3,0,802,898,75,70,94,85,179,594,628,985,4165,3173,1849,1518,1035,299,2498,17242,0,9,8,24,4,123,181,208,480,202,72,70,31,3,213,1630,3,14,51,145,15,336,177,99,197,51,22,10,9,0,137,1258,0,0,9,11,4,21,23,14,29,19,0,0,0,0,34,157
LGA23670,180,104,42,30,19,11,60,581,8,11,7,4,5,65,107,266,1868,1712,942,620,539,112,631,6911,0,0,0,0,0,14,13,42,226,184,150,92,57,23,127,928,4,11,14,23,10,182,396,525,1629,771,206,503,125,32,421,4853,0,5,18,32,23,111,83,85,216,72,26,31,9,0,75,781,0,0,0,3,7,21,23,46,95,47,13,16,7,0,60,348,3,0,0,0,0,8,4,9,62,57,37,20,18,4,57,270,17,25,25,28,108,141,83,132,273,132,60,27,6,5,179,1250,0,0,0,0,0,3,8,13,16,13,8,0,4,0,897,965,62,62,66,107,179,611,757,1219,5223,4006,2400,1954,1291,398,3075,21402,9,8,13,19,3,138,223,252,604,267,97,59,30,3,258,1970,6,12,53,147,14,450,224,161,223,54,18,8,3,0,165,1536,0,6,0,11,0,37,20,16,27,16,8,0,0,0,37,174
LGA23810,62,25,15,13,5,0,29,209,0,9,3,3,0,34,41,108,700,581,313,158,129,14,189,2275,3,0,0,3,0,6,19,19,88,88,47,30,20,3,41,367,3,7,3,9,3,70,170,249,621,240,88,127,36,13,158,1787,0,4,7,14,13,94,49,56,83,18,8,4,3,0,45,394,0,0,0,0,3,15,16,13,42,27,5,8,3,0,25,168,0,0,0,0,0,0,0,3,14,19,5,9,3,0,11,76,3,9,16,16,109,179,70,91,126,46,23,8,3,0,96,805,0,0,0,0,5,7,6,8,11,0,3,0,3,0,462,501,13,37,37,50,156,441,384,589,1931,1283,727,517,310,68,1190,7733,0,0,8,14,5,72,101,102,182,62,18,18,4,0,94,684,0,3,27,121,18,273,98,63,79,14,4,0,0,0,63,760,0,0,3,11,3,22,19,12,12,3,0,0,0,0,19,114
