LGA_CODE_2016,C11_F_NatPhy_sci_15_19,C11_F_NatPhy_sci_20_24,C11_F_NatPhy_sci_25_34,C11_F_NatPhy_sci_35_44,C11_F_NatPhy_sci_45_54,C11_F_NatPhy_sci_55_64,C11_F_NatPhy_sci_65_74,C11_F_NatPhy_sci_75_84,C11_F_NatPhy_sci_85o,C11_F_NatPhy_sci_T,C11_F_InfTec_15_19,C11_F_InfTec_20_24,C11_F_InfTec_25_34,C11_F_InfTec_35_44,C11_F_InfTec_45_54,C11_F_InfTec_55_64,C11_F_InfTec_65_74,C11_F_InfTec_75_84,C11_F_InfTec_85_ov,C11_F_InfTec_Tot,C11_F_EngRT_15_19,C11_F_EngRT_20_24,C11_F_EngRT_25_34,C11_F_EngRT_35_44,C11_F_EngRT_45_54,C11_F_EngRT_55_64,C11_F_EngRT_65_74,C11_F_EngRT_75_84,C11_F_EngRT_85_ov,C11_F_EngRT_Tot,C11_F_ArchBuild_15_19,C11_F_ArchBuild_20_24,C11_F_ArchBuild_25_34,C11_F_ArchBuild_35_44,C11_F_ArchBuild_45_54,C11_F_ArchBuild_55_64,C11_F_ArchBuild_65_74,C11_F_ArchBuild_75_84,C11_F_ArchBuild_85o,C11_F_Arch_building_Tot,C11_F_AgEnv_RS_15_19,C11_F_AgEnv_RS_20_24,C11_F_AgEnv_RS_25_34,C11_F_AgEnv_RS_35_44,C11_F_AgEnv_RS_45_54,C11_F_AgEnv_RS_55_64,C11_F_AgEnv_RS_65_74,C11_F_AgEnv_RS_75_84,C11_F_Agr_env_re_st_85o,C11_F_AgEnv_RS_Tot,C11_F_Health_15_19,C11_F_Health_20_24,C11_F_Health_25_34,C11_F_Health_35_44,C11_F_Health_45_54,C11_F_Health_55_64,C11_F_Health_65_74,C11_F_Health_75_84,C11_F_Health_85o,C11_F_Healt_To,C11_F_Educ_15_19,C11_F_Educ_20_24,C11_F_Educ_25_34,C11_F_Educ_35_44,C11_F_Educ_45_54,C11_F_Educ_55_64,C11_F_Educ_65_74,C11_F_Educ_75_84,C11_F_Educ_85o,C11_F_Educ_Tot,C11_F_MngtCom_15_19,C11_F_MngtCom_20_24,C11_F_MngtCom_25_34,C11_F_MngtCom_35_44,C11_F_MngtCom_45_54,C11_F_MngtCom_55_64,C11_F_MngtCom_65_74,C11_F_MngtCom_75_84,C11_F_MngtCom_85o,C11_F_MngtCom_Tot,C11_F_Soc_cult_15_19,C11_F_Soc_cult_20_24,C11_F_Soc_cult_25_34,C11_F_Soc_cult_35_44,C11_F_Soc_cult_45_54,C11_F_Soc_cult_55_64,C11_F_Soc_cult_65_74,C11_F_Soc_cult_75_84,C11_F_Soc_cult_85o,C11_F_Society_cultur_Tot,C11_F_Creative_art_15_19,C11_F_Creative_art_20_24,C11_F_Creative_art_25_34,C11_F_Creative_art_35_44,C11_F_Creative_art_45_54,C11_F_Creative_art_55_64,C11_F_Creative_art_65_74,C11_F_Creative_art_75_84,C11_F_Create_arts_85ov,C11_F_Creative_arts_Tot,C11_F_FoodHos_PS_15_19,C11_F_FoodHos_PS_20_24,C11_F_FoodHos_PS_25_34,C11_F_FoodHos_PS_35_44,C11_F_FoodHos_PS_45_54,C11_F_FoodHos_PS_55_64,C11_F_FoodHos_PS_65_74,C11_F_FoodHos_PS_75_84,C11_F_FoodHos_PS_85o,C11_F_Foo_hos_pers_S_Tot,C11_F_MixFld_pr_15_19,C11_F_MixFld_pr_20_24,C11_F_MixFld_pr_25_34,C11_F_MixFld_pr_35_44,C11_F_MixFld_pr_45_54,C11_F_MixFld_pr_55_64,C11_F_MixFld_pr_65_74,C11_F_MixFld_pr_75_84,C11_F_MixFld_pr_85_ov,C11_F_MixFld_pr_Tot,C11_F_FldStu_ID_15_19,C11_F_FldStu_ID_20_24,C11_F_FldStu_ID_25_34,C11_F_FldStu_ID_35_44,C11_F_FldStu_ID_45_54,C11_F_FldStu_ID_55_64,C11_F_FldStu_ID_65_74,C11_F_FldStu_ID_75_84,C11_F_FldStu_ID_85o,C11_F_FldStu_ID_Tot,C11_F_FldStu_NS_15_19,C11_F_FldStu_NS_20_24,C11_F_FldStu_NS_25_34,C11_F_FldStu_NS_35_44,C11_F_FldStu_NS_45_54,C11_F_FldStu_NS_55_64,C11_F_FldStu_NS_65_74,C11_F_FldStu_NS_75_84,C11_F_FldStu_NS_85o,C11_F_FldStu_NS_T,C11_F_Tot_15_19,C11_F_Tot_20_24,C11_F_Tot_25_34,C11_F_Tot_35_44,C11_F_Tot_45_54,C11_F_Tot_55_64,C11_F_Tot_65_74,C11_F_Tot_75_84,C11_F_Tot_85o,C11_F_T_T,C16_F_NatPhy_sci_15_19,C16_F_NatPhy_sci_20_24,C16_F_NatPhy_sci_25_34,C16_F_NatPhy_sci_35_44,C16_F_NatPhy_sci_45_54,C16_F_NatPhy_sci_55_64,C16_F_NatPhy_sci_65_74,C16_F_NatPhy_sci_75_84,C16_F_NatPhy_sci_85_ov,C16_F_NatPhy_sci_Tot,C16_F_InfTec_15_19,C16_F_InfTec_20_24,C16_F_InfTec_25_34,C16_F_InfTec_35_44,C16_F_InfTec_45_54,C16_F_InfTec_55_64,C16_F_InfTec_65_74,C16_F_InfTec_75_84,C16_F_InfTec_85_o,C16_F_InfTec_T,C16_F_EngRT_15_19,C16_F_EngRT_20_24,C16_F_EngRT_25_34,C16_F_EngRT_35_44,C16_F_EngRT_45_54,C16_F_EngRT_55_64,C16_F_EngRT_65_74,C16_F_EngRT_75_84,C16_F_EngRT_85_o,C16_F_EngRT_T,C16_F_ArchBuild_15_19,C16_F_ArchBuild_20_24,C16_F_ArchBuild_25_34,C16_F_ArchBuild_35_44,C16_F_ArchBuild_45_54,C16_F_ArchBuild_55_64,C16_F_ArchBuild_65_74,C16_F_ArchBuild_75_84,C16_F_ArchBuild_85o,C16_F_ArchBuild_T,C16_F_AgEnv_RS_15_19,C16_F_AgEnv_RS_20_24,C16_F_AgEnv_RS_25_34,C16_F_AgEnv_RS_35_44,C16_F_AgEnv_RS_45_54,C16_F_AgEnv_RS_55_64,C16_F_AgEnv_RS_65_74,C16_F_AgEnv_RS_75_84,C16_F_AgEnv_RE_85o,C16_F_AgEnv_RS_T
LGA16610,0,3,5,8,3,11,3,0,0,29,0,0,3,7,7,3,3,0,0,26,0,0,11,12,8,8,3,5,3,53,0,0,0,0,4,0,0,0,0,8,5,7,15,24,23,4,3,0,0,78,9,15,83,100,178,177,63,28,9,664,0,10,67,89,105,98,40,20,5,432,11,73,145,162,196,108,41,29,7,781,9,36,111,126,120,77,19,13,0,515,0,9,15,16,15,10,7,5,3,74,8,30,53,60,41,30,9,4,3,242,0,0,0,0,0,0,0,0,0,8,0,3,3,6,3,3,0,0,0,23,77,35,77,91,101,121,166,161,119,949,122,220,597,698,811,650,367,269,146,3880,0,4,4,14,22,6,3,0,0,56,0,0,3,4,7,10,5,0,0,25,3,7,11,14,11,8,9,5,3,69,0,0,3,5,0,0,5,0,0,16,0,6,11,21,23,14,3,0,0,85
LGA16650,3,44,231,159,137,53,27,4,0,659,3,29,284,179,68,18,0,0,0,579,3,29,158,130,141,88,62,42,16,673,0,18,102,56,35,12,3,4,0,232,0,15,43,23,19,12,5,0,0,107,11,148,539,528,414,280,142,84,30,2177,4,93,425,433,332,278,143,75,25,1813,65,597,2290,1680,1068,543,215,111,61,6634,40,210,896,596,470,270,81,28,6,2598,14,108,360,259,109,52,28,10,3,943,46,156,430,330,189,128,54,33,10,1376,6,4,8,3,12,8,9,0,3,57,0,26,85,80,64,24,3,13,0,300,265,258,692,600,508,487,468,450,339,4062,452,1728,6546,5053,3570,2262,1249,859,496,22206,7,72,270,197,168,89,27,18,0,846,0,39,283,219,114,37,14,0,0,705,0,56,242,167,134,125,83,58,23,884,0,36,114,78,49,16,8,4,0,307,0,16,50,28,20,23,5,3,0,139
LGA16700,0,83,309,300,255,118,64,20,8,1145,0,40,376,259,163,37,5,3,0,888,0,26,245,195,166,88,52,52,29,859,0,19,92,70,38,21,4,5,0,246,3,9,58,61,41,27,4,7,0,209,11,160,674,695,661,503,246,140,67,3152,4,87,533,580,543,502,338,152,50,2791,66,971,2536,2112,1470,829,344,176,101,8612,17,313,1102,940,655,455,164,82,24,3745,17,193,475,352,203,92,36,25,13,1399,26,140,313,293,195,107,64,27,10,1170,6,15,0,3,12,11,0,3,3,56,5,36,105,100,62,48,19,9,3,385,207,360,467,380,377,380,357,469,492,3487,363,2441,7282,6336,4840,3221,1698,1172,788,28146,0,112,417,347,275,199,93,41,7,1484,4,47,450,417,209,89,17,7,0,1234,3,63,369,236,211,137,70,55,27,1171,0,30,115,86,49,31,12,3,0,337,5,19,65,51,48,22,5,4,3,222
LGA16900,0,6,44,32,33,22,5,0,0,145,3,4,27,34,32,9,6,0,0,111,3,12,43,60,54,39,31,20,8,261,0,4,14,16,20,3,0,0,0,54,3,9,23,26,21,3,3,3,0,89,17,110,300,392,466,279,103,39,10,1714,0,43,237,270,272,229,63,16,5,1138,75,279,751,795,636,356,148,49,15,3100,47,218,445,448,391,196,46,9,0,1816,7,40,71,69,52,29,17,3,3,298,45,143,259,240,124,65,36,15,0,925,3,0,0,3,5,3,0,0,0,16,3,3,17,27,15,5,6,3,0,79,215,111,176,235,272,294,343,301,124,2060,418,978,2395,2641,2394,1538,809,458,167,11804,0,20,44,54,44,22,16,3,0,208,3,8,15,38,31,15,11,3,0,128,0,13,37,59,54,49,32,17,10,279,0,10,13,16,25,11,7,0,0,83,0,6,26,28,20,8,5,0,0,97
LGA16950,0,11,49,50,54,62,31,10,3,284,0,3,22,35,51,39,22,6,0,170,3,16,38,68,52,48,64,76,18,395,0,4,10,12,19,17,11,0,0,79,5,14,59,81,61,44,15,8,0,286,19,111,386,542,759,666,350,167,42,3040,3,62,252,354,505,635,335,129,22,2303,55,259,609,799,900,722,508,177,54,4092,39,183,450,556,680,483,167,58,11,2628,9,40,97,130,120,104,62,25,5,598,46,162,309,303,239,147,99,56,9,1363,7,4,5,3,7,4,5,8,3,45,0,9,14,35,29,32,19,6,3,147,334,161,278,404,512,528,711,801,456,4181,533,1038,2577,3378,3998,3526,2388,1530,630,19600,3,23,61,74,75,87,54,18,8,401,0,7,11,29,37,41,22,8,0,157,3,10,65,58,59,64,77,52,33,430,3,6,36,19,35,33,15,3,0,152,10,24,55,73,69,65,21,9,0,326
LGA17000,0,4,23,23,15,8,3,0,0,71,0,0,6,14,19,6,5,0,0,47,3,13,39,41,22,9,9,3,3,138,0,4,7,8,3,0,0,0,0,22,5,5,31,22,20,11,0,0,0,95,9,33,91,124,144,114,44,20,9,584,0,13,78,105,112,86,29,14,3,442,26,126,293,292,223,115,30,14,3,1121,7,44,116,106,94,52,10,3,0,433,0,15,26,16,14,6,7,8,0,95,19,66,94,99,51,29,0,3,0,357,0,0,0,0,0,0,0,0,0,3,0,0,9,13,4,9,0,0,0,30,71,44,81,106,90,93,75,61,20,644,143,362,893,968,798,530,224,126,44,4092,0,3,12,23,22,7,3,0,0,72,0,0,4,3,12,10,3,0,0,38,3,19,52,33,39,16,5,8,5,182,0,3,4,5,6,4,0,0,0,19,6,8,31,39,19,4,0,0,0,110
LGA17040,0,3,15,26,21,14,13,0,0,90,0,3,3,17,15,14,4,3,0,61,0,0,11,9,13,18,12,7,0,73,0,0,3,6,5,7,3,0,0,34,0,14,26,34,28,17,0,0,0,120,3,13,58,122,169,136,82,33,14,621,3,14,63,79,128,120,42,20,0,470,13,70,166,240,203,146,58,18,13,934,5,35,104,125,134,72,21,4,0,512,0,14,27,35,30,27,10,4,3,153,11,34,64,67,50,37,26,3,3,293,0,0,3,0,0,0,0,0,0,4,0,0,4,9,8,3,3,0,0,36,76,40,98,132,117,100,105,104,63,831,114,238,636,915,932,720,375,204,95,4227,0,6,13,26,22,25,5,6,0,103,0,0,0,5,17,15,8,0,3,54,0,6,6,8,16,13,14,10,0,81,0,3,9,14,4,9,3,0,0,49,3,12,26,28,34,22,11,8,0,140
LGA17080,0,4,8,9,5,11,4,3,0,43,0,0,3,3,3,3,0,0,0,20,0,3,13,7,4,6,10,0,0,38,0,0,4,0,3,0,0,3,0,8,0,4,25,21,21,6,3,0,0,81,0,12,52,71,98,85,50,30,3,412,0,14,35,78,81,80,38,13,4,343,10,36,115,113,123,74,37,13,6,528,12,25,77,70,64,41,5,5,0,295,0,0,6,22,10,11,3,0,0,47,6,14,58,32,26,19,14,5,3,178,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,3,0,0,0,13,45,25,52,65,56,75,99,76,36,526,72,145,432,501,503,408,264,151,56,2530,0,6,4,6,7,9,3,0,0,41,0,3,3,3,3,3,5,0,0,19,0,0,12,8,11,12,8,3,0,46,0,0,5,4,0,3,0,0,0,10,0,5,17,31,15,10,3,7,0,90
LGA17100,0,20,108,67,86,35,16,8,0,339,0,20,184,96,45,22,0,0,0,371,3,13,83,52,54,24,23,18,6,272,0,12,29,13,11,7,0,0,0,66,0,3,8,5,7,3,0,0,0,31,4,105,276,211,257,175,72,44,9,1157,0,33,156,134,159,143,84,43,22,774,17,261,912,523,431,201,76,32,19,2471,5,90,332,239,199,111,48,11,3,1046,6,43,133,82,57,19,5,6,3,356,14,56,152,92,41,38,10,6,3,406,0,0,0,0,3,3,0,0,0,8,0,9,36,30,27,12,8,3,0,123,115,146,342,206,205,185,139,150,86,1576,164,818,2744,1757,1589,982,480,321,158,9015,3,50,136,86,91,58,31,15,0,469,3,26,282,143,54,16,5,0,0,530,5,36,192,72,56,20,28,29,9,446,0,14,30,18,8,8,0,3,0,91,0,6,11,9,6,5,0,0,0,42
LGA17150,3,95,271,355,280,186,62,26,3,1282,3,14,131,226,151,85,24,0,0,637,4,35,158,243,269,163,150,129,55,1205,4,49,129,91,64,44,12,0,7,403,13,28,88,99,57,24,18,0,0,317,27,409,1214,1498,1533,958,467,242,68,6414,10,282,1271,1438,1705,1556,566,223,62,7113,158,1022,3146,3668,3071,2122,972,494,184,14828,80,670,1653,1549,1108,758,265,82,16,6184,31,367,692,477,272,150,103,60,17,2167,103,387,793,763,460,353,180,102,16,3164,3,10,7,6,15,7,7,0,0,50,0,37,98,135,89,68,24,7,6,464,449,315,655,686,780,758,759,1037,704,6153,888,3721,10309,11227,9856,7222,3602,2413,1142,50389,0,113,268,375,308,261,125,32,10,1494,0,17,107,237,182,123,40,3,0,707,4,37,154,212,249,198,143,137,84,1220,4,45,146,121,91,57,21,7,5,491,11,30,70,82,60,37,20,13,0,321
LGA17200,3,226,755,331,161,108,50,16,4,1644,3,75,588,268,101,40,8,0,0,1093,4,127,501,196,123,85,55,38,11,1137,9,112,481,244,99,50,19,3,0,1009,3,27,151,54,29,21,0,6,0,286,9,318,1628,785,560,475,248,105,35,4172,4,106,813,553,412,599,267,106,30,2880,71,1704,6750,2804,1218,692,239,78,25,13582,35,817,3813,1896,1089,873,381,92,17,9012,38,891,2805,1037,556,283,99,39,6,5747,40,382,841,399,197,119,49,13,4,2033,27,27,15,6,7,8,4,3,0,95,7,96,337,215,132,91,46,13,3,941,485,1670,3416,1562,1131,959,664,513,377,10770,719,6578,22884,10351,5814,4390,2133,1026,511,54412,19,386,1027,403,250,139,84,35,4,2347,4,137,599,382,167,72,19,3,0,1377,5,282,786,262,180,106,82,73,7,1777,9,184,701,303,138,81,35,12,0,1463,0,56,145,75,28,30,7,0,0,342
LGA17310,0,8,33,40,32,7,3,3,6,134,0,12,7,18,15,18,12,0,0,84,0,13,33,34,49,23,22,13,8,188,0,0,18,12,4,3,3,0,0,46,4,23,64,62,49,17,10,3,0,229,11,122,364,419,502,430,215,97,27,2191,6,42,246,285,326,318,146,73,13,1449,43,194,486,555,547,449,195,61,19,2555,29,141,320,315,295,182,61,12,0,1365,3,33,63,58,48,22,26,10,0,260,38,120,219,169,116,75,36,4,5,783,3,0,3,4,3,4,0,0,0,18,0,0,16,29,10,9,3,0,0,70,225,101,198,257,271,273,342,376,221,2267,362,817,2073,2258,2265,1837,1067,656,306,11637,0,14,41,42,49,30,13,3,3,186,0,6,14,22,18,18,12,3,0,89,3,10,34,40,40,38,22,11,4,212,0,8,5,16,18,11,3,3,0,59,8,30,76,59,54,26,17,8,0,271
LGA17350,0,0,4,0,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,8,5,3,0,3,0,0,17,0,3,22,23,49,43,21,14,4,183,0,7,22,38,30,29,11,4,4,144,7,3,34,54,61,40,9,0,6,217,3,5,24,26,28,4,0,6,0,103,0,0,0,5,0,8,6,0,0,20,0,22,18,13,13,14,4,0,0,84,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,3,0,0,0,4,13,4,13,11,20,17,44,46,21,185,20,50,139,198,219,164,100,71,36,989,0,0,4,3,0,4,0,0,0,10,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,3,3,0,0,7,0,0,3,0,0,0,0,0,0,7,0,0,14,13,5,0,0,3,0,38
LGA17400,0,0,3,3,4,0,0,0,0,18,0,0,0,0,0,3,0,0,0,4,0,0,3,4,4,5,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,3,5,6,8,4,0,0,0,36,3,3,15,35,56,61,29,13,3,218,0,3,18,36,35,46,24,5,4,177,4,12,37,55,58,36,19,7,3,230,0,7,27,30,26,38,11,0,0,147,0,3,0,11,7,14,0,0,0,38,4,10,18,26,13,13,4,0,0,87,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,3,0,0,0,4,22,4,24,29,46,45,48,53,22,295,33,47,151,236,265,275,150,77,30,1267,0,0,3,4,3,4,0,0,0,21,0,0,0,4,0,0,0,0,0,4,0,0,3,0,9,3,3,0,0,23,0,0,0,0,0,0,0,0,0,5,0,6,8,7,10,9,3,0,0,42
LGA17420,0,90,214,381,355,186,55,13,3,1299,5,24,231,318,187,71,8,0,0,835,3,28,147,261,232,125,83,47,22,945,4,31,84,83,56,26,13,7,0,303,4,22,61,76,51,29,12,0,0,254,17,244,684,1114,1092,903,367,110,39,4567,0,177,696,1117,1102,1050,418,124,23,4705,88,686,2056,2961,2263,1557,611,163,47,10442,46,417,880,1054,881,611,167,45,13,4119,18,255,402,373,213,124,58,13,4,1469,74,217,392,511,329,223,94,32,5,1880,0,0,4,4,4,8,3,0,3,31,0,22,91,113,93,58,29,6,3,414,309,180,309,463,439,452,375,269,193,2990,578,2408,6263,8830,7303,5416,2289,829,355,34268,0,98,229,405,433,273,121,25,11,1592,3,19,231,529,276,108,31,3,0,1201,4,27,190,325,267,153,101,65,27,1161,6,36,108,111,78,55,21,0,0,418,9,30,57,69,62,35,22,0,0,283
LGA17550,0,12,39,61,47,45,20,10,0,232,5,0,21,46,64,41,6,0,0,194,0,3,24,57,61,40,42,49,21,301,0,10,29,36,30,21,8,0,0,134,9,11,63,76,32,25,7,3,0,218,13,90,407,570,759,604,337,178,42,2996,3,36,275,441,508,503,238,108,30,2132,49,223,629,742,804,586,335,171,50,3582,44,152,446,540,548,368,140,52,3,2291,11,50,144,181,123,72,30,18,12,636,66,131,314,320,252,181,89,60,11,1419,0,0,3,11,3,0,5,0,0,26,0,10,25,27,35,26,17,7,0,142,223,123,271,323,410,481,577,816,510,3722,421,852,2688,3420,3673,2986,1847,1468,682,18030,0,5,47,79,58,59,32,9,6,292,3,0,15,27,46,41,16,5,0,152,9,12,28,47,59,57,41,56,29,336,0,9,39,48,48,16,10,3,0,181,4,16,40,66,53,39,18,4,0,232
LGA17620,0,0,9,10,3,4,7,0,0,32,0,0,4,3,4,4,0,0,0,22,0,3,11,8,12,9,4,0,0,44,0,0,0,0,6,4,0,0,0,8,10,26,69,36,31,9,4,3,0,179,0,22,86,80,106,98,51,23,3,471,0,17,65,63,67,62,26,12,3,312,13,56,123,147,129,71,29,11,3,573,5,34,55,59,58,30,13,6,0,250,0,6,12,7,7,6,3,8,0,46,8,20,54,53,23,19,3,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,4,9,7,3,0,0,0,23,49,17,58,57,50,76,95,99,58,561,87,196,543,531,487,386,238,159,68,2695,0,0,9,6,7,7,3,0,0,32,0,0,0,0,3,3,0,0,0,7,0,0,8,15,9,9,5,0,3,57,0,0,0,3,0,4,0,0,0,13,6,17,46,36,45,12,10,0,0,168
LGA17640,0,0,0,4,4,6,5,0,0,16,0,0,4,3,4,0,0,0,0,11,0,0,3,3,8,5,4,0,0,24,0,0,0,5,0,0,0,0,0,7,3,3,8,13,8,5,5,0,0,48,0,8,40,43,67,64,38,13,4,273,0,4,17,39,37,48,26,9,6,184,3,16,42,67,56,57,28,13,4,281,3,16,29,61,57,40,12,3,0,222,0,0,6,15,9,3,10,0,0,43,3,4,19,24,13,12,5,5,0,82,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,3,0,0,0,17,26,4,22,20,30,27,43,47,7,233,36,63,196,294,305,277,182,87,23,1450,0,0,0,6,11,8,3,0,0,32,0,0,0,3,5,4,0,0,0,16,0,3,3,3,8,4,10,0,0,29,0,0,3,10,0,0,0,0,0,17,3,10,15,18,20,16,9,0,0,81
LGA17650,0,0,7,11,15,10,3,0,0,52,0,0,0,0,3,0,0,0,0,9,0,0,0,3,4,0,0,0,0,14,0,0,4,3,0,0,0,0,0,6,3,5,10,14,14,10,6,0,0,54,3,6,21,47,52,49,25,9,0,206,0,0,24,38,53,64,20,7,0,201,3,7,39,51,67,47,13,3,0,234,9,10,42,58,54,32,14,0,0,214,0,3,6,11,7,11,3,3,0,45,3,4,12,18,15,9,0,0,0,72,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,11,14,0,12,26,17,34,32,23,15,171,37,43,181,284,306,271,114,48,20,1299,0,5,14,7,9,12,3,3,0,53,0,0,0,0,0,0,0,0,0,4,0,0,3,7,6,4,3,0,3,24,0,0,0,3,3,0,0,0,0,8,9,3,11,14,16,9,7,0,0,70
LGA17750,0,39,72,67,42,29,13,5,0,267,0,8,30,21,25,16,9,0,0,102,10,13,44,48,46,24,7,13,3,214,0,3,20,14,8,5,0,0,0,54,16,43,60,52,27,16,3,4,0,220,21,185,475,463,452,340,151,88,48,2227,0,53,316,383,346,329,131,65,12,1642,48,297,703,663,590,421,157,70,29,2976,35,180,428,349,309,183,63,21,4,1559,8,55,126,71,55,28,19,11,0,372,50,156,224,177,120,69,29,14,4,841,0,3,3,0,7,0,0,0,0,15,3,10,21,23,30,18,5,4,0,114,194,134,164,182,223,219,235,278,163,1797,386,1176,2683,2516,2281,1697,834,569,266,12416,0,35,97,74,55,44,22,5,0,336,4,6,25,17,26,9,13,0,0,95,0,13,47,43,34,40,9,15,7,216,0,4,17,17,7,9,4,0,0,60,10,64,98,56,51,24,7,0,0,309
LGA17850,0,0,3,3,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,8,13,10,9,3,0,0,0,36,3,9,9,11,23,27,20,0,3,109,0,3,5,12,21,28,10,4,0,77,7,5,27,28,28,22,8,3,3,126,4,8,8,22,8,11,7,0,0,66,0,0,0,0,3,0,0,0,0,4,0,10,7,4,3,3,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,4,3,11,15,17,22,19,5,99,26,37,76,102,106,111,71,29,12,576,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6,0,0,0,0,3,0,0,0,0,3,3,0,7,11,9,4,0,0,0,41
LGA17900,0,3,0,4,0,9,3,0,0,21,0,0,0,0,4,3,0,0,0,7,0,0,3,4,3,3,3,3,0,25,0,0,0,0,0,0,0,0,0,4,0,0,11,9,6,0,3,0,0,30,0,0,29,32,38,40,11,6,3,163,0,9,39,34,39,31,13,0,0,158,0,10,39,40,39,19,6,0,0,151,5,10,30,30,9,19,7,0,0,106,0,0,7,3,4,7,0,0,0,26,0,11,12,10,9,13,3,3,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,28,22,36,55,48,53,37,29,9,326,39,69,207,215,199,195,104,40,15,1077,0,0,6,0,6,0,4,3,0,21,0,0,0,0,3,3,3,0,0,8,0,0,0,0,0,3,3,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,5,11,9,3,3,0,0,35
LGA17950,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,7,6,9,0,3,0,0,27,3,8,12,14,29,9,16,3,0,84,0,8,11,11,18,13,3,0,0,64,3,4,19,24,12,9,6,3,0,81,0,7,10,13,8,6,0,0,0,49,0,0,0,3,0,0,0,0,0,6,0,3,4,4,4,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,6,3,6,13,11,11,13,10,18,3,98,11,32,81,87,102,62,38,31,3,449,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,3,4,3,0,0,25
LGA18020,0,0,0,9,3,3,3,3,0,25,0,0,0,3,7,3,0,0,0,21,0,3,3,12,4,10,0,5,0,37,0,0,3,0,0,0,0,0,0,3,5,8,6,13,10,10,6,0,0,59,3,9,55,46,69,87,34,18,7,328,0,11,41,51,61,57,25,14,3,265,3,15,52,63,82,62,30,12,3,327,5,13,28,40,37,24,4,0,0,155,0,0,3,7,4,3,3,0,0,28,15,9,23,21,12,16,7,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,39,23,24,48,59,62,73,72,40,429,63,96,241,318,355,345,194,122,53,1787,0,0,4,3,3,4,6,0,0,18,0,0,0,0,3,4,3,0,0,19,0,0,0,0,8,3,3,3,3,24,0,0,0,0,0,3,0,0,0,7,0,6,18,15,19,4,10,4,3,68
LGA18050,0,31,183,131,65,67,31,12,4,533,0,9,75,91,55,7,4,0,0,239,0,13,98,65,39,43,55,29,26,367,0,23,133,82,56,23,7,4,0,329,0,10,43,31,11,9,3,0,0,98,3,81,578,408,339,237,124,68,29,1869,0,38,360,307,345,341,179,72,25,1669,15,244,1826,1251,580,348,168,104,68,4599,7,175,1217,906,554,401,155,59,18,3493,10,206,1021,621,261,121,45,33,13,2326,12,84,260,180,114,65,49,15,6,772,0,0,3,0,0,3,3,6,5,19,0,28,100,128,64,33,23,10,3,388,135,293,980,605,405,346,326,300,246,3640,185,1239,6861,4793,2894,2055,1162,710,439,20348,0,40,225,149,74,66,43,13,9,618,0,5,55,76,58,20,9,0,0,226,0,13,97,85,51,53,60,34,22,418,0,24,176,127,67,43,18,0,0,455,0,9,36,33,21,16,0,0,0,111
LGA18100,0,0,0,0,0,3,0,0,0,8,0,0,0,0,3,3,0,0,0,5,0,0,0,0,0,0,0,3,0,9,0,0,4,0,0,0,0,0,0,3,0,3,11,5,0,3,5,0,0,27,0,0,14,20,30,29,12,3,3,114,0,3,23,29,32,18,8,9,0,117,0,7,27,29,27,28,6,0,0,131,0,6,15,14,15,5,4,0,0,52,0,0,0,6,0,0,0,0,0,16,0,5,6,8,5,3,3,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,4,0,7,11,22,32,31,20,10,138,10,31,101,117,137,123,73,40,17,651,0,0,3,0,0,3,0,0,0,11,0,0,3,0,0,0,3,3,0,10,0,0,0,0,0,7,3,4,0,11,0,0,3,0,3,0,0,0,0,6,0,0,6,7,5,0,3,5,0,32
