LGA_NAME16	Year	Sex	labourForceParticipation
Carrathool (A)	2006	F	55.9
Carrathool (A)	2006	M	70.6
Carrathool (A)	2011	F	58.6
Carrathool (A)	2011	M	74.2
Carrathool (A)	2016	F	59.2
Carrathool (A)	2016	M	71.4
Central Coast (C) (NSW)	2006	F	48.9
Central Coast (C) (NSW)	2006	M	61.3
Central Coast (C) (NSW)	2011	F	50.7
Central Coast (C) (NSW)	2011	M	61.7
Central Coast (C) (NSW)	2016	F	51.8
Central Coast (C) (NSW)	2016	M	60.6
Central Darling (A)	2006	F	49.3
Central Darling (A)	2006	M	57.7
Central Darling (A)	2011	F	51.3
Central Darling (A)	2011	M	58.7
Central Darling (A)	2016	F	40
Central Darling (A)	2016	M	45
Cessnock (C)	2006	F	47.5
Cessnock (C)	2006	M	61.5
Cessnock (C)	2011	F	50
Cessnock (C)	2011	M	61.9
Cessnock (C)	2016	F	49.9
Cessnock (C)	2016	M	57.4
Clarence Valley (A)	2006	F	43.9
Clarence Valley (A)	2006	M	53.6
Clarence Valley (A)	2011	F	44.6
Clarence Valley (A)	2011	M	52
Clarence Valley (A)	2016	F	43
Clarence Valley (A)	2016	M	48.2
Cobar (A)	2006	F	53.5
Cobar (A)	2006	M	70.4
Cobar (A)	2011	F	55.1
Cobar (A)	2011	M	71.1
Cobar (A)	2016	F	52.6
Cobar (A)	2016	M	65.1
Coffs Harbour (C)	2006	F	50.1
Coffs Harbour (C)	2006	M	59.1
Coffs Harbour (C)	2011	F	51.5
Coffs Harbour (C)	2011	M	59.2
Coffs Harbour (C)	2016	F	50.9
Coffs Harbour (C)	2016	M	56.6
Coolamon (A)	2006	F	50.4
Coolamon (A)	2006	M	66
Coolamon (A)	2011	F	48.8
Coolamon (A)	2011	M	62.2
Coolamon (A)	2016	F	49.5
Coolamon (A)	2016	M	57.3
Coonamble (A)	2006	F	51.2
Coonamble (A)	2006	M	66.2
Coonamble (A)	2011	F	48.8
Coonamble (A)	2011	M	61.8
Coonamble (A)	2016	F	47
Coonamble (A)	2016	M	53.2
Cowra (A)	2006	F	47.2
Cowra (A)	2006	M	61.8
Cowra (A)	2011	F	46.3
Cowra (A)	2011	M	57.1
Cowra (A)	2016	F	46
Cowra (A)	2016	M	54
Cumberland (A)	2006	F	44.9
Cumberland (A)	2006	M	61.8
Cumberland (A)	2011	F	46.2
Cumberland (A)	2011	M	62.4
Cumberland (A)	2016	F	47.9
Cumberland (A)	2016	M	63.4
Dungog (A)	2006	F	50.6
Dungog (A)	2006	M	63.8
Dungog (A)	2011	F	52.1
Dungog (A)	2011	M	63.2
Dungog (A)	2016	F	52.1
Dungog (A)	2016	M	60.6
Edward River (A)	2006	F	53.7
Edward River (A)	2006	M	66.6
Edward River (A)	2011	F	53
Edward River (A)	2011	M	62.7
Edward River (A)	2016	F	51.3
Edward River (A)	2016	M	59.1
Eurobodalla (A)	2006	F	42.8
Eurobodalla (A)	2006	M	50.5
Eurobodalla (A)	2011	F	42.6
Eurobodalla (A)	2011	M	48.3
Eurobodalla (A)	2016	F	42.1
Eurobodalla (A)	2016	M	45.5
Fairfield (C)	2006	F	42.9
Fairfield (C)	2006	M	61.3
Fairfield (C)	2011	F	43
Fairfield (C)	2011	M	59
Fairfield (C)	2016	F	43.2
Fairfield (C)	2016	M	57
Federation (A)	2006	F	48.6
Federation (A)	2006	M	62.5
Federation (A)	2011	F	48.5
Federation (A)	2011	M	60
Federation (A)	2016	F	47.4
Federation (A)	2016	M	55.3
Forbes (A)	2006	F	48.9
Forbes (A)	2006	M	63.7
Forbes (A)	2011	F	51.2
Forbes (A)	2011	M	62.5
Forbes (A)	2016	F	50.2
Forbes (A)	2016	M	59
Georges River (A)	2006	F	53.1
Georges River (A)	2006	M	66.8
Georges River (A)	2011	F	55
Georges River (A)	2011	M	67.2
Georges River (A)	2016	F	55.6
Georges River (A)	2016	M	66.5
Gilgandra (A)	2006	F	50.9
Gilgandra (A)	2006	M	65.2
Gilgandra (A)	2011	F	50.3
Gilgandra (A)	2011	M	61.9
Gilgandra (A)	2016	F	49.5
Gilgandra (A)	2016	M	60.8
Glen Innes Severn (A)	2006	F	45.3
Glen Innes Severn (A)	2006	M	57.4
Glen Innes Severn (A)	2011	F	47.5
Glen Innes Severn (A)	2011	M	55.8
Glen Innes Severn (A)	2016	F	45
Glen Innes Severn (A)	2016	M	50.7
Goulburn Mulwaree (A)	2006	F	52.5
Goulburn Mulwaree (A)	2006	M	60.4
Goulburn Mulwaree (A)	2011	F	53.9
Goulburn Mulwaree (A)	2011	M	61.6
Goulburn Mulwaree (A)	2016	F	53
Goulburn Mulwaree (A)	2016	M	58.9
Greater Hume Shire (A)	2006	F	55.1
Greater Hume Shire (A)	2006	M	70.3
Greater Hume Shire (A)	2011	F	55.3
Greater Hume Shire (A)	2011	M	67.4
Greater Hume Shire (A)	2016	F	55.7
Greater Hume Shire (A)	2016	M	63.5
Griffith (C)	2006	F	55.8
Griffith (C)	2006	M	70.6
Griffith (C)	2011	F	56.6
Griffith (C)	2011	M	68.4
Griffith (C)	2016	F	55.5
Griffith (C)	2016	M	65.8
Gundagai (A)	2006	F	47.8
Gundagai (A)	2006	M	63.8
Gundagai (A)	2011	F	47.5
Gundagai (A)	2011	M	59.5
Gundagai (A)	2016	F	46.5
Gundagai (A)	2016	M	55.3
Gunnedah (A)	2006	F	50
Gunnedah (A)	2006	M	64.7
Gunnedah (A)	2011	F	51.9
Gunnedah (A)	2011	M	65.2
Gunnedah (A)	2016	F	52.8
Gunnedah (A)	2016	M	64.9
Gwydir (A)	2006	F	48.6
Gwydir (A)	2006	M	61.8
Gwydir (A)	2011	F	47.8
Gwydir (A)	2011	M	58.4
Gwydir (A)	2016	F	47.1
Gwydir (A)	2016	M	55
Hawkesbury (C)	2006	F	60.1
Hawkesbury (C)	2006	M	73.4
Hawkesbury (C)	2011	F	61
Hawkesbury (C)	2011	M	72.6
Hawkesbury (C)	2016	F	60.3
Hawkesbury (C)	2016	M	70.5
Hay (A)	2006	F	53.5
Hay (A)	2006	M	68.1
Hay (A)	2011	F	52.2
Hay (A)	2011	M	62.4
Hay (A)	2016	F	50.2
Hay (A)	2016	M	61.7
Hilltops (A)	2006	F	49.6
Hilltops (A)	2006	M	64.7
Hilltops (A)	2011	F	48.8
Hilltops (A)	2011	M	62.5
Hilltops (A)	2016	F	48.8
Hilltops (A)	2016	M	59.1
Hornsby (A)	2006	F	59.4
Hornsby (A)	2006	M	72.4
Hornsby (A)	2011	F	59.9
Hornsby (A)	2011	M	71.9
Hornsby (A)	2016	F	59.8
Hornsby (A)	2016	M	70.1
Hunters Hill (A)	2006	F	50.4
Hunters Hill (A)	2006	M	58.7
Hunters Hill (A)	2011	F	52.1
Hunters Hill (A)	2011	M	62.4
Hunters Hill (A)	2016	F	53.5
Hunters Hill (A)	2016	M	60.6
Inner West (A)	2006	F	62
Inner West (A)	2006	M	68.6
Inner West (A)	2011	F	65.1
Inner West (A)	2011	M	70.7
Inner West (A)	2016	F	65.5
Inner West (A)	2016	M	70.4
Inverell (A)	2006	F	47.4
Inverell (A)	2006	M	62.7
Inverell (A)	2011	F	49
Inverell (A)	2011	M	59.2
Inverell (A)	2016	F	48.3
Inverell (A)	2016	M	56.8
Junee (A)	2006	F	48.3
Junee (A)	2006	M	47
Junee (A)	2011	F	50.1
Junee (A)	2011	M	46.2
Junee (A)	2016	F	52.1
Junee (A)	2016	M	43.3
Kempsey (A)	2006	F	43.3
Kempsey (A)	2006	M	50.9
Kempsey (A)	2011	F	43.1
Kempsey (A)	2011	M	47.5
Kempsey (A)	2016	F	42
Kempsey (A)	2016	M	44.6
Kiama (A)	2006	F	52.3
Kiama (A)	2006	M	63.8
Kiama (A)	2011	F	53.3
Kiama (A)	2011	M	63.6
Kiama (A)	2016	F	51.4
Kiama (A)	2016	M	60
Ku-ring-gai (A)	2006	F	53.1
Ku-ring-gai (A)	2006	M	69.2
Ku-ring-gai (A)	2011	F	54.1
Ku-ring-gai (A)	2011	M	68.1
Ku-ring-gai (A)	2016	F	55.7
Ku-ring-gai (A)	2016	M	67.4
Kyogle (A)	2006	F	46.6
Kyogle (A)	2006	M	57.6
Kyogle (A)	2011	F	46.9
Kyogle (A)	2011	M	54.3
Kyogle (A)	2016	F	44
Kyogle (A)	2016	M	50.8
Lachlan (A)	2006	F	51.1
Lachlan (A)	2006	M	65.6
Lachlan (A)	2011	F	53.4
Lachlan (A)	2011	M	64.2
Lachlan (A)	2016	F	49.3
Lachlan (A)	2016	M	60.4
Lake Macquarie (C)	2006	F	49.8
Lake Macquarie (C)	2006	M	62.3
Lake Macquarie (C)	2011	F	52.3
Lake Macquarie (C)	2011	M	62.7
Lake Macquarie (C)	2016	F	52.9
Lake Macquarie (C)	2016	M	61
Lane Cove (A)	2006	F	60.7
Lane Cove (A)	2006	M	71.4
Lane Cove (A)	2011	F	63.4
Lane Cove (A)	2011	M	73.9
Lane Cove (A)	2016	F	65.2
Lane Cove (A)	2016	M	72.4
Leeton (A)	2006	F	52.3
Leeton (A)	2006	M	66.4
Leeton (A)	2011	F	51
Leeton (A)	2011	M	64.8
Leeton (A)	2016	F	50.4
Leeton (A)	2016	M	61.6
Lismore (C)	2006	F	53.8
Lismore (C)	2006	M	63.5
Lismore (C)	2011	F	55.2
Lismore (C)	2011	M	62.4
Lismore (C)	2016	F	53.1
Lismore (C)	2016	M	58.3
Lithgow (C)	2006	F	47.4
Lithgow (C)	2006	M	58.6
Lithgow (C)	2011	F	48.5
Lithgow (C)	2011	M	57.4
Lithgow (C)	2016	F	45.8
Lithgow (C)	2016	M	50.8
Liverpool (C)	2006	F	50.8
Liverpool (C)	2006	M	67.4
Liverpool (C)	2011	F	50.9
Liverpool (C)	2011	M	65.7
Liverpool (C)	2016	F	51
Liverpool (C)	2016	M	64
Liverpool Plains (A)	2006	F	45.6
Liverpool Plains (A)	2006	M	61.1
Liverpool Plains (A)	2011	F	47.6
Liverpool Plains (A)	2011	M	61.5
Liverpool Plains (A)	2016	F	47.5
Liverpool Plains (A)	2016	M	56.8
Lockhart (A)	2006	F	54.6
Lockhart (A)	2006	M	68.4
Lockhart (A)	2011	F	52.5
Lockhart (A)	2011	M	64.8
Lockhart (A)	2016	F	50.2
Lockhart (A)	2016	M	58.3
Maitland (C)	2006	F	53.7
Maitland (C)	2006	M	69.2
Maitland (C)	2011	F	55.3
Maitland (C)	2011	M	69.9
Maitland (C)	2016	F	57.2
Maitland (C)	2016	M	67.1
Mid-Coast (A)	2006	F	41.9
Mid-Coast (A)	2006	M	51.9
Mid-Coast (A)	2011	F	41.5
Mid-Coast (A)	2011	M	49.3
Mid-Coast (A)	2016	F	40.7
Mid-Coast (A)	2016	M	45.9
Mid-Western Regional (A)	2006	F	48.7
Mid-Western Regional (A)	2006	M	62.2
Mid-Western Regional (A)	2011	F	49.8
Mid-Western Regional (A)	2011	M	61.7
Mid-Western Regional (A)	2016	F	49.3
Mid-Western Regional (A)	2016	M	59
Moree Plains (A)	2006	F	54.3
Moree Plains (A)	2006	M	68.9
Moree Plains (A)	2011	F	53.4
Moree Plains (A)	2011	M	66.7
Moree Plains (A)	2016	F	52.9
Moree Plains (A)	2016	M	61.8
Mosman (A)	2006	F	54.7
Mosman (A)	2006	M	71.9
Mosman (A)	2011	F	55.1
Mosman (A)	2011	M	71.1
Mosman (A)	2016	F	55.8
Mosman (A)	2016	M	69.7
Murray River (A)	2006	F	52
Murray River (A)	2006	M	64.3
Murray River (A)	2011	F	50.8
Murray River (A)	2011	M	60.4
Murray River (A)	2016	F	49.6
Murray River (A)	2016	M	57.7
Murrumbidgee (A)	2006	F	57.5
Murrumbidgee (A)	2006	M	70.7
Murrumbidgee (A)	2011	F	55.1
Murrumbidgee (A)	2011	M	68
Murrumbidgee (A)	2016	F	54
Murrumbidgee (A)	2016	M	63.6
Muswellbrook (A)	2006	F	53
Muswellbrook (A)	2006	M	69.6
Muswellbrook (A)	2011	F	56.7
Muswellbrook (A)	2011	M	70.4
Muswellbrook (A)	2016	F	53.4
Muswellbrook (A)	2016	M	64.1
Nambucca (A)	2006	F	39.9
Nambucca (A)	2006	M	48.7
Nambucca (A)	2011	F	40.9
Nambucca (A)	2011	M	47.4
Nambucca (A)	2016	F	40.4
Nambucca (A)	2016	M	45.5
Narrabri (A)	2006	F	53.8
Narrabri (A)	2006	M	68.8
Narrabri (A)	2011	F	54.9
Narrabri (A)	2011	M	68
Narrabri (A)	2016	F	53.2
Narrabri (A)	2016	M	63.6
Narrandera (A)	2006	F	50
Narrandera (A)	2006	M	61.7
Narrandera (A)	2011	F	50.3
Narrandera (A)	2011	M	60.5
Narrandera (A)	2016	F	48.4
Narrandera (A)	2016	M	57.2
Narromine (A)	2006	F	52.2
Narromine (A)	2006	M	67.7
Narromine (A)	2011	F	52.6
Narromine (A)	2011	M	67.1
Narromine (A)	2016	F	49.9
Narromine (A)	2016	M	60.3
Newcastle (C)	2006	F	52.2
Newcastle (C)	2006	M	62.9
Newcastle (C)	2011	F	56.1
Newcastle (C)	2011	M	65.2
Newcastle (C)	2016	F	58.1
Newcastle (C)	2016	M	64.1
North Sydney (A)	2006	F	64.8
North Sydney (A)	2006	M	73.7
North Sydney (A)	2011	F	66.9
North Sydney (A)	2011	M	75.3
North Sydney (A)	2016	F	67.6
North Sydney (A)	2016	M	75
Northern Beaches (A)	2006	F	59.4
Northern Beaches (A)	2006	M	71.1
Northern Beaches (A)	2011	F	60.9
Northern Beaches (A)	2011	M	71.9
Northern Beaches (A)	2016	F	61.9
Northern Beaches (A)	2016	M	70.7
Oberon (A)	2006	F	53.6
Oberon (A)	2006	M	68.4
Oberon (A)	2011	F	55.1
Oberon (A)	2011	M	65.5
Oberon (A)	2016	F	51.3
Oberon (A)	2016	M	57.2
Orange (C)	2006	F	53.8
Orange (C)	2006	M	66.4
Orange (C)	2011	F	55.4
Orange (C)	2011	M	66.9
Orange (C)	2016	F	56
Orange (C)	2016	M	63.9
Parkes (A)	2006	F	50.4
Parkes (A)	2006	M	65.4
Parkes (A)	2011	F	50.2
Parkes (A)	2011	M	62.2
Parkes (A)	2016	F	48.9
Parkes (A)	2016	M	59.6
Parramatta (C)	2006	F	54.6
Parramatta (C)	2006	M	65.6
Parramatta (C)	2011	F	56
Parramatta (C)	2011	M	67.3
Parramatta (C)	2016	F	56.4
Parramatta (C)	2016	M	67.8
Penrith (C)	2006	F	59.3
Penrith (C)	2006	M	73.9
Penrith (C)	2011	F	60
Penrith (C)	2011	M	72.3
Penrith (C)	2016	F	59.9
Penrith (C)	2016	M	70.3
Port Macquarie-Hastings (A)	2006	F	44.6
Port Macquarie-Hastings (A)	2006	M	54
Port Macquarie-Hastings (A)	2011	F	46.2
Port Macquarie-Hastings (A)	2011	M	53.5
Port Macquarie-Hastings (A)	2016	F	45.9
Port Macquarie-Hastings (A)	2016	M	51.6
Port Stephens (A)	2006	F	47.6
Port Stephens (A)	2006	M	60
Port Stephens (A)	2011	F	49.1
Port Stephens (A)	2011	M	59.9
Port Stephens (A)	2016	F	48.3
Port Stephens (A)	2016	M	56.2
Queanbeyan-Palerang Regional (A)	2006	F	64.3
Queanbeyan-Palerang Regional (A)	2006	M	73.6
Queanbeyan-Palerang Regional (A)	2011	F	67.5
Queanbeyan-Palerang Regional (A)	2011	M	74.7
Queanbeyan-Palerang Regional (A)	2016	F	65.1
Queanbeyan-Palerang Regional (A)	2016	M	70.8
Randwick (C)	2006	F	57.5
Randwick (C)	2006	M	63.6
Randwick (C)	2011	F	58.3
Randwick (C)	2011	M	63.5
Randwick (C)	2016	F	58.8
Randwick (C)	2016	M	62.1
Richmond Valley (A)	2006	F	44.9
Richmond Valley (A)	2006	M	57.6
Richmond Valley (A)	2011	F	45.1
Richmond Valley (A)	2011	M	56
Richmond Valley (A)	2016	F	45.1
Richmond Valley (A)	2016	M	52.1
Rockdale (C)	2006	F	50.8
Rockdale (C)	2006	M	64.2
Rockdale (C)	2011	F	53.3
Rockdale (C)	2011	M	65.8
Rockdale (C)	2016	F	56
Rockdale (C)	2016	M	66.7
Ryde (C)	2006	F	55.4
Ryde (C)	2006	M	66.8
Ryde (C)	2011	F	56.9
Ryde (C)	2011	M	67.8
Ryde (C)	2016	F	58.1
Ryde (C)	2016	M	67.9
Shellharbour (C)	2006	F	50.8
Shellharbour (C)	2006	M	66.2
Shellharbour (C)	2011	F	52.4
Shellharbour (C)	2011	M	65.5
Shellharbour (C)	2016	F	53.6
Shellharbour (C)	2016	M	62.7
Shoalhaven (C)	2006	F	43.5
Shoalhaven (C)	2006	M	53.4
Shoalhaven (C)	2011	F	44.4
Shoalhaven (C)	2011	M	51.7
Shoalhaven (C)	2016	F	44
Shoalhaven (C)	2016	M	49.5
Singleton (A)	2006	F	54.6
Singleton (A)	2006	M	74.8
Singleton (A)	2011	F	57.4
Singleton (A)	2011	M	75.5
Singleton (A)	2016	F	56.5
Singleton (A)	2016	M	70.4
Snowy Monaro Regional (A)	2006	F	56.5
Snowy Monaro Regional (A)	2006	M	64.8
Snowy Monaro Regional (A)	2011	F	58
Snowy Monaro Regional (A)	2011	M	65.2
Snowy Monaro Regional (A)	2016	F	59
Snowy Monaro Regional (A)	2016	M	62.7
Snowy Valleys (A)	2006	F	50.3
Snowy Valleys (A)	2006	M	65
Snowy Valleys (A)	2011	F	51.6
Snowy Valleys (A)	2011	M	64.6
Snowy Valleys (A)	2016	F	49
Snowy Valleys (A)	2016	M	58.3
Strathfield (A)	2006	F	50.9
Strathfield (A)	2006	M	63.1
Strathfield (A)	2011	F	53.1
Strathfield (A)	2011	M	66.6
Strathfield (A)	2016	F	55.5
Strathfield (A)	2016	M	68.1
Sutherland Shire (A)	2006	F	61.1
Sutherland Shire (A)	2006	M	73
Sutherland Shire (A)	2011	F	62.2
Sutherland Shire (A)	2011	M	72.5
Sutherland Shire (A)	2016	F	62
Sutherland Shire (A)	2016	M	70.5
Sydney (C)	2006	F	54.4
Sydney (C)	2006	M	57.9
Sydney (C)	2011	F	62.7
Sydney (C)	2011	M	67.5
Sydney (C)	2016	F	61.7
Sydney (C)	2016	M	66.5
Tamworth Regional (A)	2006	F	53.2
Tamworth Regional (A)	2006	M	66.2
Tamworth Regional (A)	2011	F	54.5
Tamworth Regional (A)	2011	M	64.6
Tamworth Regional (A)	2016	F	54.1
Tamworth Regional (A)	2016	M	62.3
Temora (A)	2006	F	49.4
Temora (A)	2006	M	63
Temora (A)	2011	F	48.1
Temora (A)	2011	M	60.4
Temora (A)	2016	F	48.7
Temora (A)	2016	M	58.7
Tenterfield (A)	2006	F	46.8
Tenterfield (A)	2006	M	58.8
Tenterfield (A)	2011	F	45.4
Tenterfield (A)	2011	M	55.4
Tenterfield (A)	2016	F	43.6
Tenterfield (A)	2016	M	48
The Hills Shire (A)	2006	F	64.5
The Hills Shire (A)	2006	M	77.2
The Hills Shire (A)	2011	F	63.9
The Hills Shire (A)	2011	M	75.4
The Hills Shire (A)	2016	F	62.9
The Hills Shire (A)	2016	M	73.3
Tweed (A)	2006	F	43.7
Tweed (A)	2006	M	54
Tweed (A)	2011	F	47
Tweed (A)	2011	M	55.2
Tweed (A)	2016	F	47.7
Tweed (A)	2016	M	53.7
Upper Hunter Shire (A)	2006	F	54.8
Upper Hunter Shire (A)	2006	M	70.5
Upper Hunter Shire (A)	2011	F	55.3
Upper Hunter Shire (A)	2011	M	69.6
Upper Hunter Shire (A)	2016	F	53.5
Upper Hunter Shire (A)	2016	M	64.7
Upper Lachlan Shire (A)	2006	F	51.7
Upper Lachlan Shire (A)	2006	M	66.7
Upper Lachlan Shire (A)	2011	F	55
Upper Lachlan Shire (A)	2011	M	66.7
Upper Lachlan Shire (A)	2016	F	52.9
Upper Lachlan Shire (A)	2016	M	62.6
Uralla (A)	2006	F	54
Uralla (A)	2006	M	67.5
Uralla (A)	2011	F	56.9
Uralla (A)	2011	M	64.3
Uralla (A)	2016	F	53.2
Uralla (A)	2016	M	60.8
Wagga Wagga (C)	2006	F	59
Wagga Wagga (C)	2006	M	72.2
Wagga Wagga (C)	2011	F	59.5
Wagga Wagga (C)	2011	M	71.4
Wagga Wagga (C)	2016	F	59.6
Wagga Wagga (C)	2016	M	67.8
Walcha (A)	2006	F	53.9
Walcha (A)	2006	M	71.1
Walcha (A)	2011	F	53.9
Walcha (A)	2011	M	68.7
Walcha (A)	2016	F	50.6
Walcha (A)	2016	M	63.3
Walgett (A)	2006	F	50.5
Walgett (A)	2006	M	53.3
Walgett (A)	2011	F	48.9
Walgett (A)	2011	M	50.1
Walgett (A)	2016	F	46.9
Walgett (A)	2016	M	47.4
Warren (A)	2006	F	54.3
Warren (A)	2006	M	72.9
Warren (A)	2011	F	57.5
Warren (A)	2011	M	69
Warren (A)	2016	F	53.1
Warren (A)	2016	M	62
Warrumbungle Shire (A)	2006	F	46.7
Warrumbungle Shire (A)	2006	M	59.7
Warrumbungle Shire (A)	2011	F	46.2
Warrumbungle Shire (A)	2011	M	55.6
Warrumbungle Shire (A)	2016	F	44.1
Warrumbungle Shire (A)	2016	M	49.8
Waverley (A)	2006	F	56.9
Waverley (A)	2006	M	63.2
Waverley (A)	2011	F	62.2
Waverley (A)	2011	M	70.2
Waverley (A)	2016	F	64
Waverley (A)	2016	M	71.3
Weddin (A)	2006	F	46
Weddin (A)	2006	M	60.2
Weddin (A)	2011	F	46.4
Weddin (A)	2011	M	56.1
Weddin (A)	2016	F	45.9
Weddin (A)	2016	M	53.5
Wentworth (A)	2006	F	53.7
Wentworth (A)	2006	M	66.2
Wentworth (A)	2011	F	52.9
Wentworth (A)	2011	M	63.8
Wentworth (A)	2016	F	51.1
Wentworth (A)	2016	M	56.3
Western Plains Regional (A)	2006	F	54.9
Western Plains Regional (A)	2006	M	66.8
Western Plains Regional (A)	2011	F	57.6
Western Plains Regional (A)	2011	M	65.6
Western Plains Regional (A)	2016	F	56.3
Western Plains Regional (A)	2016	M	62.4
Willoughby (C)	2006	F	57.2
Willoughby (C)	2006	M	70.4
Willoughby (C)	2011	F	58.7
Willoughby (C)	2011	M	71.5
Willoughby (C)	2016	F	58.3
Willoughby (C)	2016	M	70
Wingecarribee (A)	2006	F	50
Wingecarribee (A)	2006	M	64.2
Wingecarribee (A)	2011	F	50.4
Wingecarribee (A)	2011	M	62.6
Wingecarribee (A)	2016	F	49.7
Wingecarribee (A)	2016	M	59.6
Wollondilly (A)	2006	F	59.6
Wollondilly (A)	2006	M	73.3
Wollondilly (A)	2011	F	61.1
