LGA_NAME16	Year	adults
Brighton (M)	2011	11488
Brighton (M)	2016	12623
Brimbank (C)	2006	133716
Brimbank (C)	2011	147940
Brimbank (C)	2016	158458
Brisbane (C)	2006	783154
Brisbane (C)	2011	856068
Brisbane (C)	2016	931882
Broken Hill (C)	2006	15561
Broken Hill (C)	2011	15184
Broken Hill (C)	2016	14766
Brookton (S)	2006	756
Brookton (S)	2011	744
Brookton (S)	2016	806
Broome (S)	2006	9920
Broome (S)	2011	11382
Broome (S)	2016	12334
Broomehill-Tambellup (S)	2006	815
Broomehill-Tambellup (S)	2011	835
Broomehill-Tambellup (S)	2016	868
Bruce Rock (S)	2006	737
Bruce Rock (S)	2011	740
Bruce Rock (S)	2016	743
Bulloo (S)	2006	295
Bulloo (S)	2011	326
Bulloo (S)	2016	297
Buloke (S)	2006	5485
Buloke (S)	2011	5209
Buloke (S)	2016	5194
Bunbury (C)	2006	24238
Bunbury (C)	2011	25839
Bunbury (C)	2016	26380
Bundaberg (R)	2006	65841
Bundaberg (R)	2011	72384
Bundaberg (R)	2016	76491
Burdekin (S)	2006	13338
Burdekin (S)	2011	13757
Burdekin (S)	2016	14046
Burke (S)	2006	418
Burke (S)	2011	422
Burke (S)	2016	274
Burnie (C)	2006	15019
Burnie (C)	2011	15479
Burnie (C)	2016	15453
Burnside (C)	2006	35267
Burnside (C)	2011	35498
Burnside (C)	2016	36425
Burwood (A)	2006	26138
Burwood (A)	2011	27648
Burwood (A)	2016	32014
Busselton (C)	2006	19807
Busselton (C)	2011	23789
Busselton (C)	2016	29206
Byron (A)	2006	23172
Byron (A)	2011	23825
Byron (A)	2016	26261
Cabonne (A)	2006	9680
Cabonne (A)	2011	10017
Cabonne (A)	2016	10494
Cairns (R)	2006	99365
Cairns (R)	2011	113507
Cairns (R)	2016	124786
Cambridge (T)	2006	18942
Cambridge (T)	2011	19805
Cambridge (T)	2016	21134
Camden (A)	2006	36954
Camden (A)	2011	42952
Camden (A)	2016	59525
Campaspe (S)	2006	28430
Campaspe (S)	2011	29111
Campaspe (S)	2016	30420
Campbelltown (C) (NSW)	2006	109051
Campbelltown (C) (NSW)	2011	113955
Campbelltown (C) (NSW)	2016	123155
Campbelltown (C) (SA)	2006	38413
Campbelltown (C) (SA)	2011	40128
Campbelltown (C) (SA)	2016	41962
Canada Bay (A)	2006	54919
Canada Bay (A)	2011	63015
Canada Bay (A)	2016	73728
Canning (C)	2006	63606
Canning (C)	2011	70785
Canning (C)	2016	74341
Canterbury-Bankstown (A)	2006	236658
Canterbury-Bankstown (A)	2011	252808
Canterbury-Bankstown (A)	2016	275267
Capel (S)	2006	7449
Capel (S)	2011	10616
Capel (S)	2016	12966
Cardinia (S)	2006	43027
Cardinia (S)	2011	56849
Cardinia (S)	2016	72395
Carnamah (S)	2006	561
Carnamah (S)	2011	434
Carnamah (S)	2016	452
Carnarvon (S)	2006	4310
Carnarvon (S)	2011	4468
Carnarvon (S)	2016	4401
Carpentaria (S)	2006	1482
Carpentaria (S)	2011	1604
Carpentaria (S)	2016	1553
Carrathool (A)	2006	2202
Carrathool (A)	2011	2037
Carrathool (A)	2016	2179
Casey (C)	2006	162297
Casey (C)	2011	193784
Casey (C)	2016	231452
Cassowary Coast (R)	2006	21848
Cassowary Coast (R)	2011	22255
Cassowary Coast (R)	2016	23467
Ceduna (DC)	2006	2712
Ceduna (DC)	2011	2730
Ceduna (DC)	2016	2697
Central Coast (C) (NSW)	2006	237069
Central Coast (C) (NSW)	2011	251486
Central Coast (C) (NSW)	2016	267312
Central Coast (M) (Tas.)	2006	16643
Central Coast (M) (Tas.)	2011	17324
Central Coast (M) (Tas.)	2016	17751
Central Darling (A)	2006	1537
Central Darling (A)	2011	1580
Central Darling (A)	2016	1491
Central Desert (R)	2006	2768
Central Desert (R)	2011	2644
Central Desert (R)	2016	2599
Central Goldfields (S)	2006	10066
Central Goldfields (S)	2011	10423
Central Goldfields (S)	2016	10972
Central Highlands (M) (Tas.)	2006	1816
Central Highlands (M) (Tas.)	2011	1831
Central Highlands (M) (Tas.)	2016	1805
Central Highlands (R) (Qld)	2006	19787
Central Highlands (R) (Qld)	2011	21645
Central Highlands (R) (Qld)	2016	21078
Cessnock (C)	2006	36169
Cessnock (C)	2011	39977
Cessnock (C)	2016	44187
Chapman Valley (S)	2006	710
Chapman Valley (S)	2011	915
Chapman Valley (S)	2016	1091
Charles Sturt (C)	2006	84247
Charles Sturt (C)	2011	88339
Charles Sturt (C)	2016	94427
Charters Towers (R)	2006	8768
Charters Towers (R)	2011	9393
Charters Towers (R)	2016	9328
Cherbourg (S)	2006	660
Cherbourg (S)	2011	786
Cherbourg (S)	2016	805
Chittering (S)	2006	2665
Chittering (S)	2011	3444
Chittering (S)	2016	4420
Circular Head (M)	2006	6111
Circular Head (M)	2011	6166
Circular Head (M)	2016	6312
Clare and Gilbert Valleys (DC)	2006	6558
Clare and Gilbert Valleys (DC)	2011	7038
Clare and Gilbert Valleys (DC)	2016	7393
Claremont (T)	2006	7608
Claremont (T)	2011	7831
Claremont (T)	2016	8463
Clarence (C)	2006	40180
Clarence (C)	2011	42121
Clarence (C)	2016	44975
Clarence Valley (A)	2006	38594
Clarence Valley (A)	2011	40442
Clarence Valley (A)	2016	42362
Cleve (DC)	2006	1579
Cleve (DC)	2011	1406
Cleve (DC)	2016	1401
Cloncurry (S)	2006	2346
Cloncurry (S)	2011	2577
Cloncurry (S)	2016	2411
Cobar (A)	2006	3793
Cobar (A)	2011	3655
Cobar (A)	2016	3622
Cockburn (C)	2006	58506
Cockburn (C)	2011	70931
Cockburn (C)	2016	83571
Coffs Harbour (C)	2006	51749
Coffs Harbour (C)	2011	55301
Coffs Harbour (C)	2016	59584
Colac-Otway (S)	2006	16206
Colac-Otway (S)	2011	16501
Colac-Otway (S)	2016	17267
Collie (S)	2006	6588
Collie (S)	2011	7355
Collie (S)	2016	7131
Coober Pedy (DC)	2006	1577
Coober Pedy (DC)	2011	1407
Coober Pedy (DC)	2016	1488
Cook (S)	2006	2759
Cook (S)	2011	3394
Cook (S)	2016	3442
Coolamon (A)	2006	3058
Coolamon (A)	2011	3182
Coolamon (A)	2016	3432
Coolgardie (S)	2006	2743
Coolgardie (S)	2011	2989
Coolgardie (S)	2016	2782
Coomalie (S)	2006	842
Coomalie (S)	2011	919
Coomalie (S)	2016	1073
Coonamble (A)	2006	3207
Coonamble (A)	2011	3174
Coonamble (A)	2016	3131
Coorow (S)	2006	953
Coorow (S)	2011	871
Coorow (S)	2016	879
Copper Coast (DC)	2006	9432
Copper Coast (DC)	2011	10758
Copper Coast (DC)	2016	11956
Corangamite (S)	2006	12999
Corangamite (S)	2011	12986
Corangamite (S)	2016	13130
Corrigin (S)	2006	888
Corrigin (S)	2011	874
Corrigin (S)	2016	919
Cottesloe (T)	2006	6039
Cottesloe (T)	2011	6282
Cottesloe (T)	2016	6253
Cowra (A)	2006	9797
Cowra (A)	2011	9838
Cowra (A)	2016	10303
Cranbrook (S)	2006	845
Cranbrook (S)	2011	848
Cranbrook (S)	2016	882
Croydon (S)	2006	194
Croydon (S)	2011	231
Croydon (S)	2016	236
Cuballing (S)	2006	601
Cuballing (S)	2011	687
Cuballing (S)	2016	714
Cue (S)	2006	263
Cue (S)	2011	224
Cue (S)	2016	161
Cumberland (A)	2006	136444
Cumberland (A)	2011	152437
Cumberland (A)	2016	171714
Cunderdin (S)	2006	995
Cunderdin (S)	2011	1055
Cunderdin (S)	2016	1175
Dalwallinu (S)	2006	1031
Dalwallinu (S)	2011	1015
Dalwallinu (S)	2016	1137
Dandaragan (S)	2006	2265
Dandaragan (S)	2011	2577
Dandaragan (S)	2016	2716
Dardanup (S)	2006	7818
Dardanup (S)	2011	9542
Dardanup (S)	2016	11002
Darebin (C)	2006	107158
Darebin (C)	2011	114232
Darebin (C)	2016	123277
Darwin (C)	2006	52958
Darwin (C)	2011	59020
Darwin (C)	2016	64257
Denmark (S)	2006	3661
Denmark (S)	2011	4199
Denmark (S)	2016	4826
Derby-West Kimberley (S)	2006	4657
Derby-West Kimberley (S)	2011	6488
Derby-West Kimberley (S)	2016	5742
Derwent Valley (M)	2006	7471
Derwent Valley (M)	2011	7745
Derwent Valley (M)	2016	8144
Devonport (C)	2006	19265
Devonport (C)	2011	19820
Devonport (C)	2016	20203
Diamantina (S)	2006	234
Diamantina (S)	2011	238
Diamantina (S)	2016	241
Donnybrook-Balingup (S)	2006	3744
Donnybrook-Balingup (S)	2011	4284
Donnybrook-Balingup (S)	2016	4812
Doomadgee (S)	2006	664
Doomadgee (S)	2011	796
Doomadgee (S)	2016	862
Dorset (M)	2006	5573
Dorset (M)	2011	5478
Dorset (M)	2016	5490
Douglas (S)	2006	8238
Douglas (S)	2011	8817
Douglas (S)	2016	9789
Dowerin (S)	2006	542
Dowerin (S)	2011	521
Dowerin (S)	2016	536
Dumbleyung (S)	2006	498
Dumbleyung (S)	2011	484
Dumbleyung (S)	2016	552
Dundas (S)	2006	833
Dundas (S)	2011	914
Dundas (S)	2016	669
Dungog (A)	2006	6355
Dungog (A)	2011	6759
Dungog (A)	2016	7308
East Arnhem (R)	2006	5584
East Arnhem (R)	2011	6242
East Arnhem (R)	2016	6444
East Fremantle (T)	2006	5366
East Fremantle (T)	2011	5627
East Fremantle (T)	2016	6036
East Gippsland (S)	2006	32667
East Gippsland (S)	2011	34928
East Gippsland (S)	2016	37884
East Pilbara (S)	2006	4955
East Pilbara (S)	2011	10113
East Pilbara (S)	2016	8988
Edward River (A)	2006	7165
Edward River (A)	2011	6938
Edward River (A)	2016	7283
Elliston (DC)	2006	866
Elliston (DC)	2011	837
Elliston (DC)	2016	849
Esperance (S)	2006	9832
Esperance (S)	2011	10496
Esperance (S)	2016	11300
Etheridge (S)	2006	687
Etheridge (S)	2011	732
Etheridge (S)	2016	650
Eurobodalla (A)	2006	28909
Eurobodalla (A)	2011	29856
Eurobodalla (A)	2016	31921
Exmouth (S)	2006	1650
Exmouth (S)	2011	1932
Exmouth (S)	2016	2151
Fairfield (C)	2006	141103
Fairfield (C)	2011	149537
Fairfield (C)	2016	160880
Federation (A)	2006	9837
Federation (A)	2011	9906
Federation (A)	2016	10177
Flinders (M) (Tas.)	2006	719
Flinders (M) (Tas.)	2011	672
Flinders (M) (Tas.)	2016	776
Flinders (S) (Qld)	2006	1366
Flinders (S) (Qld)	2011	1422
Flinders (S) (Qld)	2016	1258
Flinders Ranges (DC)	2006	1382
Flinders Ranges (DC)	2011	1388
Flinders Ranges (DC)	2016	1392
Forbes (A)	2006	7280
Forbes (A)	2011	7242
Forbes (A)	2016	7640
Franklin Harbour (DC)	2006	935
Franklin Harbour (DC)	2011	996
Franklin Harbour (DC)	2016	1081
Frankston (C)	2006	93727
Frankston (C)	2011	102138
Frankston (C)	2016	109122
Fraser Coast (R)	2006	67954
Fraser Coast (R)	2011	77073
Fraser Coast (R)	2016	84442
Fremantle (C)	2006	21313
Fremantle (C)	2011	22630
Fremantle (C)	2016	24780
Gannawarra (S)	2006	9080
Gannawarra (S)	2011	8489
Gannawarra (S)	2016	8864
Gawler (T)	2006	15235
Gawler (T)	2011	16792
Gawler (T)	2016	18948
George Town (M)	2006	5070
George Town (M)	2011	5244
George Town (M)	2016	5517
Georges River (A)	2006	103404
Georges River (A)	2011	110823
Georges River (A)	2016	122223
Gilgandra (A)	2006	3534
Gilgandra (A)	2011	3485
Gilgandra (A)	2016	3445
Gingin (S)	2006	3496
Gingin (S)	2011	3759
Gingin (S)	2016	4335
Gladstone (R)	2006	38604
Gladstone (R)	2011	44668
Gladstone (R)	2016	47701
Glamorgan/Spring Bay (M)	2006	3510
Glamorgan/Spring Bay (M)	2011	3593
Glamorgan/Spring Bay (M)	2016	3865
Glen Eira (C)	2006	102374
Glen Eira (C)	2011	107374
Glen Eira (C)	2016	115123
Glen Innes Severn (A)	2006	6982
Glen Innes Severn (A)	2011	7088
Glen Innes Severn (A)	2016	7318
Glenelg (S)	2006	15723
Glenelg (S)	2011	15928
Glenelg (S)	2016	16387
Glenorchy (C)	2006	35127
Glenorchy (C)	2011	36215
Glenorchy (C)	2016	37828
Gnowangerup (S)	2006	1018
Gnowangerup (S)	2011	930
Gnowangerup (S)	2016	965
Gold Coast (C)	2006	354350
Gold Coast (C)	2011	402773
Gold Coast (C)	2016	454857
Golden Plains (S)	2006	12498
Golden Plains (S)	2011	14420
Golden Plains (S)	2016	16769
Goomalling (S)	2006	738
Goomalling (S)	2011	767
Goomalling (S)	2016	822
Goondiwindi (R)	2006	7763
Goondiwindi (R)	2011	8088
Goondiwindi (R)	2016	8365
Gosnells (C)	2006	71379
Gosnells (C)	2011	83993
Gosnells (C)	2016	93419
Goulburn Mulwaree (A)	2006	20947
Goulburn Mulwaree (A)	2011	22268
Goulburn Mulwaree (A)	2016	24237
Goyder (DC)	2006	3364
Goyder (DC)	2011	3391
Goyder (DC)	2016	3427
Grant (DC)	2006	5685
Grant (DC)	2011	6196
Grant (DC)	2016	6676
Greater Bendigo (C)	2006	74169
Greater Bendigo (C)	2011	80914
Greater Bendigo (C)	2016	89280
Greater Dandenong (C)	2006	101731
Greater Dandenong (C)	2011	110990
Greater Dandenong (C)	2016	124601
Greater Geelong (C)	2006	159310
Greater Geelong (C)	2011	171917
Greater Geelong (C)	2016	191167
Greater Geraldton (C)	2006	25834
Greater Geraldton (C)	2011	28860
Greater Geraldton (C)	2016	30603
Greater Hume Shire (A)	2006	7601
Greater Hume Shire (A)	2011	7734
Greater Hume Shire (A)	2016	8107
Greater Shepparton (C)	2006	44417
Greater Shepparton (C)	2011	47502
Greater Shepparton (C)	2016	51135
Griffith (C)	2006	18263
Griffith (C)	2011	18868
Griffith (C)	2016	20271
Gundagai (A)	2006	8684
Gundagai (A)	2011	8816
Gundagai (A)	2016	9122
Gunnedah (A)	2006	8941
Gunnedah (A)	2011	9513
Gunnedah (A)	2016	9678
Gwydir (A)	2006	4248
Gwydir (A)	2011	4021
Gwydir (A)	2016	4282
Gympie (R)	2006	32884
Gympie (R)	2011	36374
Gympie (R)	2016	40504
Halls Creek (S)	2006	2134
Halls Creek (S)	2011	2479
Halls Creek (S)	2016	2406
Harvey (S)	2006	14999
Harvey (S)	2011	17897
Harvey (S)	2016	20665
Hawkesbury (C)	2006	46549
Hawkesbury (C)	2011	48988
Hawkesbury (C)	2016	51720
Hay (A)	2006	2539
Hay (A)	2011	2359
Hay (A)	2016	2433
Hepburn (S)	2006	11208
Hepburn (S)	2011	11917
Hepburn (S)	2016	12945
Hilltops (A)	2006	13897
Hilltops (A)	2011	14342
Hilltops (A)	2016	14888
Hinchinbrook (S)	2006	9209
Hinchinbrook (S)	2011	9530
Hinchinbrook (S)	2016	9166
Hindmarsh (S)	2006	4889
Hindmarsh (S)	2011	4761
Hindmarsh (S)	2016	4856
Hobart (C)	2006	40633
Hobart (C)	2011	41537
Hobart (C)	2016	43218
Hobsons Bay (C)	2006	65667
Hobsons Bay (C)	2011	68661
Hobsons Bay (C)	2016	72427
Holdfast Bay (C)	2006	29145
Holdfast Bay (C)	2011	30238
Holdfast Bay (C)	2016	30597
Hope Vale (S)	2006	561
Hope Vale (S)	2011	685
Hope Vale (S)	2016	661
Hornsby (A)	2006	105788
Hornsby (A)	2011	110179
Hornsby (A)	2016	114795
Horsham (RC)	2006	14713
Horsham (RC)	2011	15517
Horsham (RC)	2016	15917
Hume (C)	2006	111820
Hume (C)	2011	129480
Hume (C)	2016	153453
Hunters Hill (A)	2006	10795
Hunters Hill (A)	2011	10695
Hunters Hill (A)	2016	11352
Huon Valley (M)	2006	10933
Huon Valley (M)	2011	12076
Huon Valley (M)	2016	13293
Indigo (S)	2006	11694
Indigo (S)	2011	12296
Indigo (S)	2016	13095
Inner West (A)	2006	137155
Inner West (A)	2011	143670
Inner West (A)	2016	154128
Inverell (A)	2006	12091
Inverell (A)	2011	12651
Inverell (A)	2016	13154
Ipswich (C)	2006	105758
Ipswich (C)	2011	127076
Ipswich (C)	2016	147809
Irwin (S)	2006	2418
Irwin (S)	2011	2804
Irwin (S)	2016	2966
Isaac (R)	2006	14726
Isaac (R)	2011	16881
Isaac (R)	2016	15632
Jerramungup (S)	2006	857
Jerramungup (S)	2011	814
Jerramungup (S)	2016	870
Joondalup (C)	2006	119198
Joondalup (C)	2011	122960
Joondalup (C)	2016	124918
Junee (A)	2006	4607
Junee (A)	2011	4745
Junee (A)	2016	5173
Kalamunda (S)	2006	39563
Kalamunda (S)	2011	42972
Kalamunda (S)	2016	46281
Kalgoorlie/Boulder (C)	2006	21349
Kalgoorlie/Boulder (C)	2011	23804
Kalgoorlie/Boulder (C)	2016	23167
Kangaroo Island (DC)	2006	3433
Kangaroo Island (DC)	2011	3634
Kangaroo Island (DC)	2016	3923
Karoonda East Murray (DC)	2006	946
Karoonda East Murray (DC)	2011	842
Karoonda East Murray (DC)	2016	900
Karratha (C)	2006	12185
Karratha (C)	2011	18193
Karratha (C)	2016	16169
Katanning (S)	2006	3163
Katanning (S)	2011	3170
Katanning (S)	2016	3309
Katherine (T)	2006	6343
Katherine (T)	2011	6881
Katherine (T)	2016	7522
Kellerberrin (S)	2006	925
Kellerberrin (S)	2011	917
Kellerberrin (S)	2016	1014
Kempsey (A)	2006	21686
Kempsey (A)	2011	22653
Kempsey (A)	2016	23904
Kent (S)	2006	450
Kent (S)	2011	399
Kent (S)	2016	429
Kentish (M)	2006	4513
Kentish (M)	2011	4900
Kentish (M)	2016	5103
Kiama (A)	2006	15398
Kiama (A)	2011	16472
Kiama (A)	2016	17857
Kimba (DC)	2006	901
Kimba (DC)	2011	876
Kimba (DC)	2016	818
King Island (M)	2006	1350
King Island (M)	2011	1326
King Island (M)	2016	1333
Kingborough (M)	2006	24408
Kingborough (M)	2011	26866
Kingborough (M)	2016	28731
Kingston (C) (Vic.)	2006	110710
Kingston (C) (Vic.)	2011	117324
Kingston (C) (Vic.)	2016	124603
Kingston (DC) (SA)	2006	1877
Kingston (DC) (SA)	2011	1924
Kingston (DC) (SA)	2016	1974
Knox (C)	2006	116838
Knox (C)	2011	121652
Knox (C)	2016	127046
Kojonup (S)	2006	1668
Kojonup (S)	2011	1560
Kojonup (S)	2016	1560
Kondinin (S)	2006	731
Kondinin (S)	2011	841
Kondinin (S)	2016	704
Koorda (S)	2006	347
Koorda (S)	2011	339
Koorda (S)	2016	332
Kowanyama (S)	2006	726
Kowanyama (S)	2011	743
Kowanyama (S)	2016	699
Ku-ring-gai (A)	2006	80185
Ku-ring-gai (A)	2011	86773
Ku-ring-gai (A)	2016	94197
Kulin (S)	2006	661
Kulin (S)	2011	611
Kulin (S)	2016	612
Kwinana (C)	2006	17816
Kwinana (C)	2011	22534
Kwinana (C)	2016	30240
Kyogle (A)	2006	7236
Kyogle (A)	2011	7475
Kyogle (A)	2016	7474
Lachlan (A)	2006	5189
Lachlan (A)	2011	5095
Lachlan (A)	2016	4852
Lake Grace (S)	2006	1133
Lake Grace (S)	2011	1061
Lake Grace (S)	2016	986
Lake Macquarie (C)	2006	147265
Lake Macquarie (C)	2011	153830
Lake Macquarie (C)	2016	161260
Lane Cove (A)	2006	24886
Lane Cove (A)	2011	25535
Lane Cove (A)	2016	29387
Latrobe (C) (Vic.)	2006	54923
Latrobe (C) (Vic.)	2011	58293
Latrobe (C) (Vic.)	2016	60009
Latrobe (M) (Tas.)	2006	6967
Latrobe (M) (Tas.)	2011	8016
Latrobe (M) (Tas.)	2016	8901
Launceston (C)	2006	50308
Launceston (C)	2011	52331
Launceston (C)	2016	53715
Laverton (S)	2006	609
Laverton (S)	2011	1079
Laverton (S)	2016	1001
Leeton (A)	2006	8425
Leeton (A)	2011	8426
Leeton (A)	2016	8869
Leonora (S)	2006	1070
Leonora (S)	2011	2098
Leonora (S)	2016	1174
Light (RegC)	2006	9464
Light (RegC)	2011	10677
Light (RegC)	2016	11542
Lismore (C)	2006	33593
Lismore (C)	2011	34348
Lismore (C)	2016	35410
Litchfield (M)	2006	12017
Litchfield (M)	2011	14973
Litchfield (M)	2016	19635
Lithgow (C)	2006	15903
Lithgow (C)	2011	16386
Lithgow (C)	2016	17499
Liverpool (C)	2006	123686
Liverpool (C)	2011	137899
Liverpool (C)	2016	158028
Liverpool Plains (A)	2006	6023
Liverpool Plains (A)	2011	6028
Liverpool Plains (A)	2016	6255
Livingstone (S)	2006	22745
Livingstone (S)	2011	26074
Livingstone (S)	2016	29418
Lockhart (A)	2006	2463
Lockhart (A)	2011	2370
Lockhart (A)	2016	2478
Lockhart River (S)	2006	387
Lockhart River (S)	2011	350
Lockhart River (S)	2016	496
Lockyer Valley (R)	2006	23248
Lockyer Valley (R)	2011	27233
Lockyer Valley (R)	2016	31058
Loddon (S)	2006	6351
Loddon (S)	2011	6165
Loddon (S)	2016	6328
Logan (C)	2006	190458
Logan (C)	2011	213421
Logan (C)	2016	234846
Longreach (R)	2006	3118
Longreach (R)	2011	3158
Longreach (R)	2016	2957
Lower Eyre Peninsula (DC)	2006	3433
Lower Eyre Peninsula (DC)	2011	3839
Lower Eyre Peninsula (DC)	2016	4415
Loxton Waikerie (DC)	2006	9221
Loxton Waikerie (DC)	2011	9138
Loxton Waikerie (DC)	2016	9456
MacDonnell (R)	2006	4184
MacDonnell (R)	2011	4345
MacDonnell (R)	2016	4794
Macedon Ranges (S)	2006	29456
Macedon Ranges (S)	2011	32965
Macedon Ranges (S)	2016	36661
Mackay (R)	2006	78672
Mackay (R)	2011	88834
Mackay (R)	2016	91203
Maitland (C)	2006	47684
Maitland (C)	2011	52644
Maitland (C)	2016	60415
Mallala (DC)	2006	6126
Mallala (DC)	2011	6648
Mallala (DC)	2016	7104
Mandurah (C)	2006	45323
Mandurah (C)	2011	56747
Mandurah (C)	2016	66262
Manjimup (S)	2006	7109
Manjimup (S)	2011	7196
Manjimup (S)	2016	7517
Manningham (C)	2006	91118
Manningham (C)	2011	93029
Manningham (C)	2016	97522
Mansfield (S)	2006	5826
Mansfield (S)	2011	6427
Mansfield (S)	2016	7050
Mapoon (S)	2006	180
Mapoon (S)	2011	208
Mapoon (S)	2016	220
Maralinga Tjarutja (AC)	2006	81
Maralinga Tjarutja (AC)	2011	58
Maralinga Tjarutja (AC)	2016	48
Maranoa (R)	2006	9401
Maranoa (R)	2011	10110
Maranoa (R)	2016	9910
Mareeba (S)	2006	14408
Mareeba (S)	2011	15993
Mareeba (S)	2016	17682
Maribyrnong (C)	2006	52832
Maribyrnong (C)	2011	59772
Maribyrnong (C)	2016	69096
Marion (C)	2006	65710
Marion (C)	2011	69528
Marion (C)	2016	74227
Maroondah (C)	2006	79810
Maroondah (C)	2011	84352
Maroondah (C)	2016	89777
McKinlay (S)	2006	713
McKinlay (S)	2011	881
