LGA_NAME16	Year	IndigenousStatus	persons
Cabonne (A)	2011	Both Aboriginal & Torres Strait Islander	16
Cabonne (A)	2011	Non-indigenous	12423
Cabonne (A)	2011	Torres Strait Islander	8
Cabonne (A)	2016	Aboriginal	469
Cabonne (A)	2016	Both Aboriginal & Torres Strait Islander	18
Cabonne (A)	2016	Non-indigenous	12883
Cabonne (A)	2016	Torres Strait Islander	16
Camden (A)	2006	Aboriginal	624
Camden (A)	2006	Both Aboriginal & Torres Strait Islander	3
Camden (A)	2006	Non-indigenous	48995
Camden (A)	2006	Torres Strait Islander	23
Camden (A)	2011	Aboriginal	1088
Camden (A)	2011	Both Aboriginal & Torres Strait Islander	11
Camden (A)	2011	Non-indigenous	55605
Camden (A)	2011	Torres Strait Islander	15
Camden (A)	2016	Aboriginal	1894
Camden (A)	2016	Both Aboriginal & Torres Strait Islander	18
Camden (A)	2016	Non-indigenous	76286
Camden (A)	2016	Torres Strait Islander	20
Campbelltown (C) (NSW)	2006	Aboriginal	3579
Campbelltown (C) (NSW)	2006	Both Aboriginal & Torres Strait Islander	73
Campbelltown (C) (NSW)	2006	Non-indigenous	139242
Campbelltown (C) (NSW)	2006	Torres Strait Islander	181
Campbelltown (C) (NSW)	2011	Aboriginal	4517
Campbelltown (C) (NSW)	2011	Both Aboriginal & Torres Strait Islander	65
Campbelltown (C) (NSW)	2011	Non-indigenous	141241
Campbelltown (C) (NSW)	2011	Torres Strait Islander	146
Campbelltown (C) (NSW)	2016	Aboriginal	5739
Campbelltown (C) (NSW)	2016	Both Aboriginal & Torres Strait Islander	101
Campbelltown (C) (NSW)	2016	Non-indigenous	151030
Campbelltown (C) (NSW)	2016	Torres Strait Islander	136
Canada Bay (A)	2006	Aboriginal	199
Canada Bay (A)	2006	Both Aboriginal & Torres Strait Islander	5
Canada Bay (A)	2006	Non-indigenous	65527
Canada Bay (A)	2006	Torres Strait Islander	15
Canada Bay (A)	2011	Aboriginal	270
Canada Bay (A)	2011	Both Aboriginal & Torres Strait Islander	0
Canada Bay (A)	2011	Non-indigenous	75475
Canada Bay (A)	2011	Torres Strait Islander	17
Canada Bay (A)	2016	Aboriginal	387
Canada Bay (A)	2016	Both Aboriginal & Torres Strait Islander	5
Canada Bay (A)	2016	Non-indigenous	87600
Canada Bay (A)	2016	Torres Strait Islander	23
Canterbury-Bankstown (A)	2006	Aboriginal	1678
Canterbury-Bankstown (A)	2006	Both Aboriginal & Torres Strait Islander	30
Canterbury-Bankstown (A)	2006	Non-indigenous	298584
Canterbury-Bankstown (A)	2006	Torres Strait Islander	157
Canterbury-Bankstown (A)	2011	Aboriginal	1996
Canterbury-Bankstown (A)	2011	Both Aboriginal & Torres Strait Islander	42
Canterbury-Bankstown (A)	2011	Non-indigenous	317626
Canterbury-Bankstown (A)	2011	Torres Strait Islander	143
Canterbury-Bankstown (A)	2016	Aboriginal	2383
Canterbury-Bankstown (A)	2016	Both Aboriginal & Torres Strait Islander	51
Canterbury-Bankstown (A)	2016	Non-indigenous	343757
Canterbury-Bankstown (A)	2016	Torres Strait Islander	111
Carrathool (A)	2006	Aboriginal	162
Carrathool (A)	2006	Both Aboriginal & Torres Strait Islander	0
Carrathool (A)	2006	Non-indigenous	2652
Carrathool (A)	2006	Torres Strait Islander	3
Carrathool (A)	2011	Aboriginal	171
Carrathool (A)	2011	Both Aboriginal & Torres Strait Islander	0
Carrathool (A)	2011	Non-indigenous	2414
Carrathool (A)	2011	Torres Strait Islander	0
Carrathool (A)	2016	Aboriginal	204
Carrathool (A)	2016	Both Aboriginal & Torres Strait Islander	3
Carrathool (A)	2016	Non-indigenous	2502
Carrathool (A)	2016	Torres Strait Islander	10
Central Coast (C) (NSW)	2006	Aboriginal	6066
Central Coast (C) (NSW)	2006	Both Aboriginal & Torres Strait Islander	115
Central Coast (C) (NSW)	2006	Non-indigenous	291502
Central Coast (C) (NSW)	2006	Torres Strait Islander	274
Central Coast (C) (NSW)	2011	Aboriginal	8592
Central Coast (C) (NSW)	2011	Both Aboriginal & Torres Strait Islander	168
Central Coast (C) (NSW)	2011	Non-indigenous	303161
Central Coast (C) (NSW)	2011	Torres Strait Islander	261
Central Coast (C) (NSW)	2016	Aboriginal	11987
Central Coast (C) (NSW)	2016	Both Aboriginal & Torres Strait Islander	200
Central Coast (C) (NSW)	2016	Non-indigenous	315249
Central Coast (C) (NSW)	2016	Torres Strait Islander	300
Central Darling (A)	2006	Aboriginal	700
Central Darling (A)	2006	Both Aboriginal & Torres Strait Islander	4
Central Darling (A)	2006	Non-indigenous	1235
Central Darling (A)	2006	Torres Strait Islander	0
Central Darling (A)	2011	Aboriginal	755
Central Darling (A)	2011	Both Aboriginal & Torres Strait Islander	0
Central Darling (A)	2011	Non-indigenous	1234
Central Darling (A)	2011	Torres Strait Islander	3
Central Darling (A)	2016	Aboriginal	714
Central Darling (A)	2016	Both Aboriginal & Torres Strait Islander	8
Central Darling (A)	2016	Non-indigenous	1108
Central Darling (A)	2016	Torres Strait Islander	3
Cessnock (C)	2006	Aboriginal	1492
Cessnock (C)	2006	Both Aboriginal & Torres Strait Islander	40
Cessnock (C)	2006	Non-indigenous	44605
Cessnock (C)	2006	Torres Strait Islander	72
Cessnock (C)	2011	Aboriginal	2308
Cessnock (C)	2011	Both Aboriginal & Torres Strait Islander	73
Cessnock (C)	2011	Non-indigenous	48387
Cessnock (C)	2011	Torres Strait Islander	72
Cessnock (C)	2016	Aboriginal	3824
Cessnock (C)	2016	Both Aboriginal & Torres Strait Islander	89
Cessnock (C)	2016	Non-indigenous	51556
Cessnock (C)	2016	Torres Strait Islander	91
Clarence Valley (A)	2006	Aboriginal	2202
Clarence Valley (A)	2006	Both Aboriginal & Torres Strait Islander	55
Clarence Valley (A)	2006	Non-indigenous	45839
Clarence Valley (A)	2006	Torres Strait Islander	52
Clarence Valley (A)	2011	Aboriginal	2718
Clarence Valley (A)	2011	Both Aboriginal & Torres Strait Islander	45
Clarence Valley (A)	2011	Non-indigenous	46825
Clarence Valley (A)	2011	Torres Strait Islander	78
Clarence Valley (A)	2016	Aboriginal	3083
Clarence Valley (A)	2016	Both Aboriginal & Torres Strait Islander	63
Clarence Valley (A)	2016	Non-indigenous	47455
Clarence Valley (A)	2016	Torres Strait Islander	70
Cobar (A)	2006	Aboriginal	504
Cobar (A)	2006	Both Aboriginal & Torres Strait Islander	5
Cobar (A)	2006	Non-indigenous	4402
Cobar (A)	2006	Torres Strait Islander	4
Cobar (A)	2011	Aboriginal	589
Cobar (A)	2011	Both Aboriginal & Torres Strait Islander	8
Cobar (A)	2011	Non-indigenous	4106
Cobar (A)	2011	Torres Strait Islander	10
Cobar (A)	2016	Aboriginal	628
Cobar (A)	2016	Both Aboriginal & Torres Strait Islander	0
Cobar (A)	2016	Non-indigenous	4015
Cobar (A)	2016	Torres Strait Islander	4
Coffs Harbour (C)	2006	Aboriginal	2207
Coffs Harbour (C)	2006	Both Aboriginal & Torres Strait Islander	47
Coffs Harbour (C)	2006	Non-indigenous	62599
Coffs Harbour (C)	2006	Torres Strait Islander	60
Coffs Harbour (C)	2011	Aboriginal	2676
Coffs Harbour (C)	2011	Both Aboriginal & Torres Strait Islander	65
Coffs Harbour (C)	2011	Non-indigenous	65598
Coffs Harbour (C)	2011	Torres Strait Islander	75
Coffs Harbour (C)	2016	Aboriginal	3500
Coffs Harbour (C)	2016	Both Aboriginal & Torres Strait Islander	78
Coffs Harbour (C)	2016	Non-indigenous	69299
Coffs Harbour (C)	2016	Torres Strait Islander	67
Coolamon (A)	2006	Aboriginal	49
Coolamon (A)	2006	Both Aboriginal & Torres Strait Islander	0
Coolamon (A)	2006	Non-indigenous	3979
Coolamon (A)	2006	Torres Strait Islander	4
Coolamon (A)	2011	Aboriginal	105
Coolamon (A)	2011	Both Aboriginal & Torres Strait Islander	0
Coolamon (A)	2011	Non-indigenous	3992
Coolamon (A)	2011	Torres Strait Islander	3
Coolamon (A)	2016	Aboriginal	137
Coolamon (A)	2016	Both Aboriginal & Torres Strait Islander	0
Coolamon (A)	2016	Non-indigenous	4178
Coolamon (A)	2016	Torres Strait Islander	0
Coonamble (A)	2006	Aboriginal	1055
Coonamble (A)	2006	Both Aboriginal & Torres Strait Islander	14
Coonamble (A)	2006	Non-indigenous	3139
Coonamble (A)	2006	Torres Strait Islander	4
Coonamble (A)	2011	Aboriginal	1175
Coonamble (A)	2011	Both Aboriginal & Torres Strait Islander	0
Coonamble (A)	2011	Non-indigenous	2853
Coonamble (A)	2011	Torres Strait Islander	3
Coonamble (A)	2016	Aboriginal	1162
Coonamble (A)	2016	Both Aboriginal & Torres Strait Islander	18
Coonamble (A)	2016	Non-indigenous	2734
Coonamble (A)	2016	Torres Strait Islander	4
Cowra (A)	2006	Aboriginal	724
Cowra (A)	2006	Both Aboriginal & Torres Strait Islander	14
Cowra (A)	2006	Non-indigenous	11723
Cowra (A)	2006	Torres Strait Islander	17
Cowra (A)	2011	Aboriginal	760
Cowra (A)	2011	Both Aboriginal & Torres Strait Islander	11
Cowra (A)	2011	Non-indigenous	11353
Cowra (A)	2011	Torres Strait Islander	22
Cowra (A)	2016	Aboriginal	945
Cowra (A)	2016	Both Aboriginal & Torres Strait Islander	23
Cowra (A)	2016	Non-indigenous	11476
Cowra (A)	2016	Torres Strait Islander	16
Cumberland (A)	2006	Aboriginal	1059
Cumberland (A)	2006	Both Aboriginal & Torres Strait Islander	31
Cumberland (A)	2006	Non-indigenous	172920
Cumberland (A)	2006	Torres Strait Islander	114
Cumberland (A)	2011	Aboriginal	1159
Cumberland (A)	2011	Both Aboriginal & Torres Strait Islander	27
Cumberland (A)	2011	Non-indigenous	191956
Cumberland (A)	2011	Torres Strait Islander	82
Cumberland (A)	2016	Aboriginal	1311
Cumberland (A)	2016	Both Aboriginal & Torres Strait Islander	26
Cumberland (A)	2016	Non-indigenous	214689
Cumberland (A)	2016	Torres Strait Islander	53
Dungog (A)	2006	Aboriginal	162
Dungog (A)	2006	Both Aboriginal & Torres Strait Islander	3
Dungog (A)	2006	Non-indigenous	7886
Dungog (A)	2006	Torres Strait Islander	9
Dungog (A)	2011	Aboriginal	252
Dungog (A)	2011	Both Aboriginal & Torres Strait Islander	8
Dungog (A)	2011	Non-indigenous	8046
Dungog (A)	2011	Torres Strait Islander	11
Dungog (A)	2016	Aboriginal	423
Dungog (A)	2016	Both Aboriginal & Torres Strait Islander	14
Dungog (A)	2016	Non-indigenous	8523
Dungog (A)	2016	Torres Strait Islander	15
Edward River (A)	2006	Aboriginal	235
Edward River (A)	2006	Both Aboriginal & Torres Strait Islander	0
Edward River (A)	2006	Non-indigenous	8870
Edward River (A)	2006	Torres Strait Islander	5
Edward River (A)	2011	Aboriginal	273
Edward River (A)	2011	Both Aboriginal & Torres Strait Islander	3
Edward River (A)	2011	Non-indigenous	8368
Edward River (A)	2011	Torres Strait Islander	15
Edward River (A)	2016	Aboriginal	339
Edward River (A)	2016	Both Aboriginal & Torres Strait Islander	6
Edward River (A)	2016	Non-indigenous	8495
Edward River (A)	2016	Torres Strait Islander	11
Eurobodalla (A)	2006	Aboriginal	1506
Eurobodalla (A)	2006	Both Aboriginal & Torres Strait Islander	23
Eurobodalla (A)	2006	Non-indigenous	33457
Eurobodalla (A)	2006	Torres Strait Islander	27
Eurobodalla (A)	2011	Aboriginal	1759
Eurobodalla (A)	2011	Both Aboriginal & Torres Strait Islander	18
Eurobodalla (A)	2011	Non-indigenous	33924
Eurobodalla (A)	2011	Torres Strait Islander	38
Eurobodalla (A)	2016	Aboriginal	2014
Eurobodalla (A)	2016	Both Aboriginal & Torres Strait Islander	37
Eurobodalla (A)	2016	Non-indigenous	35153
Eurobodalla (A)	2016	Torres Strait Islander	28
Fairfield (C)	2006	Aboriginal	976
Fairfield (C)	2006	Both Aboriginal & Torres Strait Islander	9
Fairfield (C)	2006	Non-indigenous	178787
Fairfield (C)	2006	Torres Strait Islander	120
Fairfield (C)	2011	Aboriginal	1199
Fairfield (C)	2011	Both Aboriginal & Torres Strait Islander	22
Fairfield (C)	2011	Non-indigenous	186449
Fairfield (C)	2011	Torres Strait Islander	96
Fairfield (C)	2016	Aboriginal	1384
Fairfield (C)	2016	Both Aboriginal & Torres Strait Islander	15
Fairfield (C)	2016	Non-indigenous	197339
Fairfield (C)	2016	Torres Strait Islander	79
Federation (A)	2006	Aboriginal	142
Federation (A)	2006	Both Aboriginal & Torres Strait Islander	4
Federation (A)	2006	Non-indigenous	12075
Federation (A)	2006	Torres Strait Islander	15
Federation (A)	2011	Aboriginal	171
Federation (A)	2011	Both Aboriginal & Torres Strait Islander	6
Federation (A)	2011	Non-indigenous	11976
Federation (A)	2011	Torres Strait Islander	3
Federation (A)	2016	Aboriginal	198
Federation (A)	2016	Both Aboriginal & Torres Strait Islander	6
Federation (A)	2016	Non-indigenous	12063
Federation (A)	2016	Torres Strait Islander	10
Forbes (A)	2006	Aboriginal	598
Forbes (A)	2006	Both Aboriginal & Torres Strait Islander	18
Forbes (A)	2006	Non-indigenous	8726
Forbes (A)	2006	Torres Strait Islander	19
Forbes (A)	2011	Aboriginal	847
Forbes (A)	2011	Both Aboriginal & Torres Strait Islander	14
Forbes (A)	2011	Non-indigenous	8286
Forbes (A)	2011	Torres Strait Islander	22
Forbes (A)	2016	Aboriginal	1021
Forbes (A)	2016	Both Aboriginal & Torres Strait Islander	26
Forbes (A)	2016	Non-indigenous	8522
Forbes (A)	2016	Torres Strait Islander	18
Georges River (A)	2006	Aboriginal	492
Georges River (A)	2006	Both Aboriginal & Torres Strait Islander	21
Georges River (A)	2006	Non-indigenous	125714
Georges River (A)	2006	Torres Strait Islander	36
Georges River (A)	2011	Aboriginal	655
Georges River (A)	2011	Both Aboriginal & Torres Strait Islander	24
Georges River (A)	2011	Non-indigenous	133938
Georges River (A)	2011	Torres Strait Islander	38
Georges River (A)	2016	Aboriginal	747
Georges River (A)	2016	Both Aboriginal & Torres Strait Islander	21
Georges River (A)	2016	Non-indigenous	146038
Georges River (A)	2016	Torres Strait Islander	35
Gilgandra (A)	2006	Aboriginal	559
Gilgandra (A)	2006	Both Aboriginal & Torres Strait Islander	0
Gilgandra (A)	2006	Non-indigenous	3955
Gilgandra (A)	2006	Torres Strait Islander	5
Gilgandra (A)	2011	Aboriginal	524
Gilgandra (A)	2011	Both Aboriginal & Torres Strait Islander	6
Gilgandra (A)	2011	Non-indigenous	3835
Gilgandra (A)	2011	Torres Strait Islander	3
Gilgandra (A)	2016	Aboriginal	582
Gilgandra (A)	2016	Both Aboriginal & Torres Strait Islander	9
Gilgandra (A)	2016	Non-indigenous	3641
Gilgandra (A)	2016	Torres Strait Islander	4
Glen Innes Severn (A)	2006	Aboriginal	435
Glen Innes Severn (A)	2006	Both Aboriginal & Torres Strait Islander	12
Glen Innes Severn (A)	2006	Non-indigenous	8317
Glen Innes Severn (A)	2006	Torres Strait Islander	18
Glen Innes Severn (A)	2011	Aboriginal	462
Glen Innes Severn (A)	2011	Both Aboriginal & Torres Strait Islander	20
Glen Innes Severn (A)	2011	Non-indigenous	8160
Glen Innes Severn (A)	2011	Torres Strait Islander	13
Glen Innes Severn (A)	2016	Aboriginal	502
Glen Innes Severn (A)	2016	Both Aboriginal & Torres Strait Islander	21
Glen Innes Severn (A)	2016	Non-indigenous	8306
Glen Innes Severn (A)	2016	Torres Strait Islander	7
Goulburn Mulwaree (A)	2006	Aboriginal	540
Goulburn Mulwaree (A)	2006	Both Aboriginal & Torres Strait Islander	7
Goulburn Mulwaree (A)	2006	Non-indigenous	25514
Goulburn Mulwaree (A)	2006	Torres Strait Islander	23
Goulburn Mulwaree (A)	2011	Aboriginal	736
Goulburn Mulwaree (A)	2011	Both Aboriginal & Torres Strait Islander	7
Goulburn Mulwaree (A)	2011	Non-indigenous	26701
Goulburn Mulwaree (A)	2011	Torres Strait Islander	36
Goulburn Mulwaree (A)	2016	Aboriginal	1132
Goulburn Mulwaree (A)	2016	Both Aboriginal & Torres Strait Islander	26
