LGA_NAME16	Year	persons
Hilltops (A)	2006	17861
Hilltops (A)	2011	18213
Hilltops (A)	2016	18498
Hornsby (A)	2006	132256
Hornsby (A)	2011	137237
Hornsby (A)	2016	142667
Hunters Hill (A)	2006	13242
Hunters Hill (A)	2011	13216
Hunters Hill (A)	2016	13999
Inner West (A)	2006	160262
Inner West (A)	2011	169917
Inner West (A)	2016	182043
Inverell (A)	2006	15505
Inverell (A)	2011	16077
Inverell (A)	2016	16483
Junee (A)	2006	5777
Junee (A)	2011	5879
Junee (A)	2016	6295
Kempsey (A)	2006	27385
Kempsey (A)	2011	28134
Kempsey (A)	2016	28885
Kiama (A)	2006	18983
Kiama (A)	2011	19985
Kiama (A)	2016	21464
Ku-ring-gai (A)	2006	101082
Ku-ring-gai (A)	2011	109299
Ku-ring-gai (A)	2016	118053
Kyogle (A)	2006	9257
Kyogle (A)	2011	9227
Kyogle (A)	2016	8940
Lachlan (A)	2006	6672
Lachlan (A)	2011	6477
Lachlan (A)	2016	6194
Lake Macquarie (C)	2006	183142
Lake Macquarie (C)	2011	189005
Lake Macquarie (C)	2016	197371
Lane Cove (A)	2006	30427
Lane Cove (A)	2011	31510
Lane Cove (A)	2016	36051
Leeton (A)	2006	11109
Leeton (A)	2011	11039
Leeton (A)	2016	11168
Lismore (C)	2006	42209
Lismore (C)	2011	42764
Lismore (C)	2016	43135
Lithgow (C)	2006	19760
Lithgow (C)	2011	20162
Lithgow (C)	2016	21090
Liverpool (C)	2006	164601
Liverpool (C)	2011	180141
Liverpool (C)	2016	204326
Liverpool Plains (A)	2006	7537
Liverpool Plains (A)	2011	7479
Liverpool Plains (A)	2016	7687
Lockhart (A)	2006	3182
Lockhart (A)	2011	2996
Lockhart (A)	2016	3119
Maitland (C)	2006	61883
Maitland (C)	2011	67479
Maitland (C)	2016	77305
Mid-Coast (A)	2006	82707
Mid-Coast (A)	2011	85848
Mid-Coast (A)	2016	90303
Mid-Western Regional (A)	2006	21088
Mid-Western Regional (A)	2011	22320
Mid-Western Regional (A)	2016	24076
Moree Plains (A)	2006	13973
Moree Plains (A)	2011	13428
Moree Plains (A)	2016	13159
Mosman (A)	2006	26237
Mosman (A)	2011	27452
Mosman (A)	2016	28475
Murray River (A)	2006	10782
Murray River (A)	2011	10918
Murray River (A)	2016	11680
Murrumbidgee (A)	2006	4145
Murrumbidgee (A)	2011	3753
Murrumbidgee (A)	2016	3836
Muswellbrook (A)	2006	15236
Muswellbrook (A)	2011	15793
Muswellbrook (A)	2016	16086
Nambucca (A)	2006	17894
Nambucca (A)	2011	18643
Nambucca (A)	2016	19212
Narrabri (A)	2006	13113
Narrabri (A)	2011	12926
Narrabri (A)	2016	13084
Narrandera (A)	2006	6011
Narrandera (A)	2011	5900
Narrandera (A)	2016	5853
Narromine (A)	2006	6511
Narromine (A)	2011	6584
Narromine (A)	2016	6444
Newcastle (C)	2006	141754
Newcastle (C)	2011	148534
Newcastle (C)	2016	155411
North Sydney (A)	2006	58260
North Sydney (A)	2011	62290
North Sydney (A)	2016	67658
Northern Beaches (A)	2006	225102
Northern Beaches (A)	2011	237640
Northern Beaches (A)	2016	252878
Oberon (A)	2006	5029
Oberon (A)	2011	5041
Oberon (A)	2016	5301
Orange (C)	2006	35338
Orange (C)	2011	38056
Orange (C)	2016	40344
Parkes (A)	2006	14284
Parkes (A)	2011	14592
Parkes (A)	2016	14608
Parramatta (C)	2006	174730
Parramatta (C)	2011	194019
Parramatta (C)	2016	226149
Penrith (C)	2006	172141
Penrith (C)	2011	178465
Penrith (C)	2016	196066
Port Macquarie-Hastings (A)	2006	68434
Port Macquarie-Hastings (A)	2011	72698
Port Macquarie-Hastings (A)	2016	78539
Port Stephens (A)	2006	60485
Port Stephens (A)	2011	64808
Port Stephens (A)	2016	69556
Queanbeyan-Palerang Regional (A)	2006	48289
Queanbeyan-Palerang Regional (A)	2011	52340
Queanbeyan-Palerang Regional (A)	2016	56027
Randwick (C)	2006	119882
Randwick (C)	2011	128987
Randwick (C)	2016	140660
Richmond Valley (A)	2006	21314
Richmond Valley (A)	2011	22038
Richmond Valley (A)	2016	22807
Rockdale (C)	2006	92122
Rockdale (C)	2011	97339
Rockdale (C)	2016	109404
Ryde (C)	2006	96951
Ryde (C)	2011	103040
Ryde (C)	2016	116302
Shellharbour (C)	2006	60335
Shellharbour (C)	2011	63604
Shellharbour (C)	2016	68460
Shoalhaven (C)	2006	88406
Shoalhaven (C)	2011	92812
Shoalhaven (C)	2016	99650
Singleton (A)	2006	21937
Singleton (A)	2011	22695
Singleton (A)	2016	22987
Snowy Monaro Regional (A)	2006	19450
Snowy Monaro Regional (A)	2011	19691
Snowy Monaro Regional (A)	2016	20218
Snowy Valleys (A)	2006	14329
Snowy Valleys (A)	2011	14293
Snowy Valleys (A)	2016	14395
Strathfield (A)	2006	31980
Strathfield (A)	2011	35187
Strathfield (A)	2016	40312
Sutherland Shire (A)	2006	205449
Sutherland Shire (A)	2011	210862
Sutherland Shire (A)	2016	218464
Sydney (C)	2006	156572
Sydney (C)	2011	169506
Sydney (C)	2016	208374
Tamworth Regional (A)	2006	53592
Tamworth Regional (A)	2011	56291
Tamworth Regional (A)	2016	59663
Temora (A)	2006	5857
Temora (A)	2011	5776
Temora (A)	2016	6110
Tenterfield (A)	2006	6536
Tenterfield (A)	2011	6809
Tenterfield (A)	2016	6628
The Hills Shire (A)	2006	132656
The Hills Shire (A)	2011	141995
The Hills Shire (A)	2016	157243
Tweed (A)	2006	79320
Tweed (A)	2011	85107
Tweed (A)	2016	91371
Upper Hunter Shire (A)	2006	12974
Upper Hunter Shire (A)	2011	13751
Upper Hunter Shire (A)	2016	14112
Upper Lachlan Shire (A)	2006	7053
Upper Lachlan Shire (A)	2011	7192
Upper Lachlan Shire (A)	2016	7695
Uralla (A)	2006	5737
Uralla (A)	2011	6032
Uralla (A)	2016	6048
Wagga Wagga (C)	2006	57012
Wagga Wagga (C)	2011	59459
Wagga Wagga (C)	2016	62385
Walcha (A)	2006	3188
Walcha (A)	2011	3021
Walcha (A)	2016	3092
Walgett (A)	2006	6942
Walgett (A)	2011	6453
Walgett (A)	2016	6107
Warren (A)	2006	2748
Warren (A)	2011	2759
Warren (A)	2016	2732
Warrumbungle Shire (A)	2006	9808
Warrumbungle Shire (A)	2011	9589
Warrumbungle Shire (A)	2016	9384
Waverley (A)	2006	60713
Waverley (A)	2011	63485
Waverley (A)	2016	66812
Weddin (A)	2006	3636
Weddin (A)	2011	3665
Weddin (A)	2016	3664
Wentworth (A)	2006	6778
Wentworth (A)	2011	6610
Wentworth (A)	2016	6794
Western Plains Regional (A)	2006	45966
Western Plains Regional (A)	2011	47297
Western Plains Regional (A)	2016	50077
Willoughby (C)	2006	63604
Willoughby (C)	2011	67355
Willoughby (C)	2016	74302
Wingecarribee (A)	2006	42272
Wingecarribee (A)	2011	44396
Wingecarribee (A)	2016	47882
Wollondilly (A)	2006	40344
Wollondilly (A)	2011	43261
Wollondilly (A)	2016	48519
Wollongong (C)	2006	184210
Wollongong (C)	2011	192419
Wollongong (C)	2016	203630
Woollahra (A)	2006	50162
Woollahra (A)	2011	52159
Woollahra (A)	2016	54240
Yass Valley (A)	2006	13133
Yass Valley (A)	2011	15020
Yass Valley (A)	2016	16142
Unincorporated NSW	2006	1055
Unincorporated NSW	2011	1057
Unincorporated NSW	2016	1056
No usual address (NSW)	2006	10175
No usual address (NSW)	2011	12917
No usual address (NSW)	2016	12288
Migratory - Offshore - Shipping (NSW)	2006	70
Migratory - Offshore - Shipping (NSW)	2011	112
Migratory - Offshore - Shipping (NSW)	2016	412
Alpine (S)	2006	11997
Alpine (S)	2011	11880
Alpine (S)	2016	12337
Ararat (RC)	2006	11256
Ararat (RC)	2011	11184
Ararat (RC)	2016	11600
Ballarat (C)	2006	85196
Ballarat (C)	2011	93501
Ballarat (C)	2016	101686
Banyule (C)	2006	114869
Banyule (C)	2011	118308
Banyule (C)	2016	121865
Bass Coast (S)	2006	26545
Bass Coast (S)	2011	29616
Bass Coast (S)	2016	32804
Baw Baw (S)	2006	37178
Baw Baw (S)	2011	42863
Baw Baw (S)	2016	48479
Bayside (C)	2006	87937
Bayside (C)	2011	91813
Bayside (C)	2016	97087
Benalla (RC)	2006	13524
Benalla (RC)	2011	13648
Benalla (RC)	2016	13861
Boroondara (C)	2006	154454
Boroondara (C)	2011	159184
Boroondara (C)	2016	167231
Brimbank (C)	2006	168221
Brimbank (C)	2011	182736
Brimbank (C)	2016	194319
Buloke (S)	2006	6850
Buloke (S)	2011	6383
Buloke (S)	2016	6201
Campaspe (S)	2006	36209
Campaspe (S)	2011	36364
Campaspe (S)	2016	37061
Cardinia (S)	2006	57116
Cardinia (S)	2011	74175
Cardinia (S)	2016	94128
Casey (C)	2006	214962
Casey (C)	2011	252380
Casey (C)	2016	299301
Central Goldfields (S)	2006	12324
Central Goldfields (S)	2011	12496
Central Goldfields (S)	2016	12995
Colac-Otway (S)	2006	20296
Colac-Otway (S)	2011	20347
Colac-Otway (S)	2016	20972
Corangamite (S)	2006	16619
Corangamite (S)	2011	16377
Corangamite (S)	2016	16051
Darebin (C)	2006	128063
Darebin (C)	2011	136474
Darebin (C)	2016	146719
East Gippsland (S)	2006	40038
East Gippsland (S)	2011	42193
East Gippsland (S)	2016	45040
Frankston (C)	2006	117803
Frankston (C)	2011	126456
Frankston (C)	2016	134143
Gannawarra (S)	2006	11295
Gannawarra (S)	2011	10366
Gannawarra (S)	2016	10549
Glen Eira (C)	2006	124083
Glen Eira (C)	2011	131013
Glen Eira (C)	2016	140875
Glenelg (S)	2006	19760
Glenelg (S)	2011	19575
Glenelg (S)	2016	19557
Golden Plains (S)	2006	16453
Golden Plains (S)	2011	18772
Golden Plains (S)	2016	21688
Greater Bendigo (C)	2006	93254
Greater Bendigo (C)	2011	100617
Greater Bendigo (C)	2016	110477
Greater Dandenong (C)	2006	125518
Greater Dandenong (C)	2011	135605
Greater Dandenong (C)	2016	152050
Greater Geelong (C)	2006	197477
Greater Geelong (C)	2011	210873
Greater Geelong (C)	2016	233429
Greater Shepparton (C)	2006	57090
Greater Shepparton (C)	2011	60448
Greater Shepparton (C)	2016	63837
Hepburn (S)	2006	13732
Hepburn (S)	2011	14368
Hepburn (S)	2016	15330
Hindmarsh (S)	2006	6040
Hindmarsh (S)	2011	5797
Hindmarsh (S)	2016	5721
Hobsons Bay (C)	2006	81462
Hobsons Bay (C)	2011	83864
Hobsons Bay (C)	2016	88778
Horsham (RC)	2006	18497
Horsham (RC)	2011	19279
Horsham (RC)	2016	19642
Hume (C)	2006	147783
Hume (C)	2011	167563
Hume (C)	2016	197376
Indigo (S)	2006	14801
Indigo (S)	2011	15179
Indigo (S)	2016	15952
Kingston (C) (Vic.)	2006	134623
Kingston (C) (Vic.)	2011	142426
Kingston (C) (Vic.)	2016	151389
Knox (C)	2006	146739
Knox (C)	2011	149301
Knox (C)	2016	154110
Latrobe (C) (Vic.)	2006	69326
Latrobe (C) (Vic.)	2011	72395
Latrobe (C) (Vic.)	2016	73257
Loddon (S)	2006	7835
Loddon (S)	2011	7460
Loddon (S)	2016	7516
Macedon Ranges (S)	2006	38362
Macedon Ranges (S)	2011	41860
Macedon Ranges (S)	2016	46100
Manningham (C)	2006	109916
Manningham (C)	2011	111301
Manningham (C)	2016	116255
Mansfield (S)	2006	7192
Mansfield (S)	2011	7891
Mansfield (S)	2016	8584
Maribyrnong (C)	2006	63143
Maribyrnong (C)	2011	71633
Maribyrnong (C)	2016	82288
Maroondah (C)	2006	99199
Maroondah (C)	2011	103840
Maroondah (C)	2016	110376
Melbourne (C)	2006	76147
Melbourne (C)	2011	93625
Melbourne (C)	2016	135959
Melton (C)	2006	78909
Melton (C)	2011	109258
Melton (C)	2016	135443
Mildura (RC)	2006	49814
Mildura (RC)	2011	50979
Mildura (RC)	2016	53878
Mitchell (S)	2006	30929
Mitchell (S)	2011	34637
Mitchell (S)	2016	40918
Moira (S)	2006	27083
Moira (S)	2011	28124
Moira (S)	2016	29112
Monash (C)	2006	161241
Monash (C)	2011	169284
Monash (C)	2016	182618
Moonee Valley (C)	2006	102325
Moonee Valley (C)	2011	107443
Moonee Valley (C)	2016	116671
Moorabool (S)	2006	25477
Moorabool (S)	2011	28125
Moorabool (S)	2016	31818
Moreland (C)	2006	135766
Moreland (C)	2011	147243
Moreland (C)	2016	162558
Mornington Peninsula (S)	2006	136483
Mornington Peninsula (S)	2011	144608
Mornington Peninsula (S)	2016	154999
Mount Alexander (S)	2006	17068
Mount Alexander (S)	2011	17592
Mount Alexander (S)	2016	18761
Moyne (S)	2006	15453
Moyne (S)	2011	15956
Moyne (S)	2016	16495
Murrindindi (S)	2006	13672
Murrindindi (S)	2011	13057
Murrindindi (S)	2016	13732
Nillumbik (S)	2006	59790
Nillumbik (S)	2011	60344
Nillumbik (S)	2016	61273
Northern Grampians (S)	2006	11911
Northern Grampians (S)	2011	11844
Northern Grampians (S)	2016	11439
Port Phillip (C)	2006	85096
Port Phillip (C)	2011	91370
Port Phillip (C)	2016	100863
Pyrenees (S)	2006	6555
Pyrenees (S)	2011	6668
Pyrenees (S)	2016	7238
Queenscliffe (B)	2006	3018
Queenscliffe (B)	2011	2998
Queenscliffe (B)	2016	2853
South Gippsland (S)	2006	25739
South Gippsland (S)	2011	27210
South Gippsland (S)	2016	28703
Southern Grampians (S)	2006	16634
Southern Grampians (S)	2011	16361
Southern Grampians (S)	2016	15944
Stonnington (C)	2006	89885
Stonnington (C)	2011	93143
Stonnington (C)	2016	103832
Strathbogie (S)	2006	9296
Strathbogie (S)	2011	9485
Strathbogie (S)	2016	10274
Surf Coast (S)	2006	21766
Surf Coast (S)	2011	25868
Surf Coast (S)	2016	29397
Swan Hill (RC)	2006	20631
Swan Hill (RC)	2011	20449
Swan Hill (RC)	2016	20584
Towong (S)	2006	6018
Towong (S)	2011	5889
Towong (S)	2016	5985
Wangaratta (RC)	2006	26390
Wangaratta (RC)	2011	26814
Wangaratta (RC)	2016	28310
Warrnambool (C)	2006	30394
Warrnambool (C)	2011	32026
Warrnambool (C)	2016	33655
Wellington (S)	2006	40080
Wellington (S)	2011	41441
Wellington (S)	2016	42983
West Wimmera (S)	2006	4472
West Wimmera (S)	2011	4251
West Wimmera (S)	2016	3903
Whitehorse (C)	2006	144767
Whitehorse (C)	2011	151334
Whitehorse (C)	2016	162078
Whittlesea (C)	2006	124651
Whittlesea (C)	2011	154880
Whittlesea (C)	2016	197491
Wodonga (C)	2006	33006
Wodonga (C)	2011	35519
Wodonga (C)	2016	39351
Wyndham (C)	2006	112698
Wyndham (C)	2011	161577
Wyndham (C)	2016	217122
Yarra (C)	2006	69329
Yarra (C)	2011	74091
Yarra (C)	2016	86657
Yarra Ranges (S)	2006	140216
Yarra Ranges (S)	2011	144541
Yarra Ranges (S)	2016	149537
Yarriambiack (S)	2006	7516
Yarriambiack (S)	2011	7090
Yarriambiack (S)	2016	6674
Unincorporated Vic	2006	728
Unincorporated Vic	2011	764
Unincorporated Vic	2016	876
No usual address (Vic.)	2006	6394
No usual address (Vic.)	2011	8307
No usual address (Vic.)	2016	7565
Migratory - Offshore - Shipping (Vic.)	2006	49
Migratory - Offshore - Shipping (Vic.)	2011	36
Migratory - Offshore - Shipping (Vic.)	2016	29
Aurukun (S)	2006	1046
Aurukun (S)	2011	1295
Aurukun (S)	2016	1269
Balonne (S)	2006	4629
Balonne (S)	2011	4719
Balonne (S)	2016	4377
Banana (S)	2006	14651
Banana (S)	2011	14455
Banana (S)	2016	14319
Barcaldine (R)	2006	3260
Barcaldine (R)	2011	3215
Barcaldine (R)	2016	2865
Barcoo (S)	2006	360
Barcoo (S)	2011	352
Barcoo (S)	2016	267
Blackall-Tambo (R)	2006	2017
Blackall-Tambo (R)	2011	2199
Blackall-Tambo (R)	2016	1903
Boulia (S)	2006	419
Boulia (S)	2011	481
Boulia (S)	2016	426
Brisbane (C)	2006	956130
Brisbane (C)	2011	1041842
Brisbane (C)	2016	1131155
Bulloo (S)	2006	374
Bulloo (S)	2011	405
Bulloo (S)	2016	353
Bundaberg (R)	2006	82957
Bundaberg (R)	2011	89813
Bundaberg (R)	2016	92897
Burdekin (S)	2006	17016
Burdekin (S)	2011	17362
Burdekin (S)	2016	17074
Burke (S)	2006	497
Burke (S)	2011	513
Burke (S)	2016	328
Cairns (R)	2006	127434
Cairns (R)	2011	145338
Cairns (R)	2016	156901
Carpentaria (S)	2006	1937
Carpentaria (S)	2011	2054
Carpentaria (S)	2016	1958
Cassowary Coast (R)	2006	27782
Cassowary Coast (R)	2011	27667
Cassowary Coast (R)	2016	28726
Central Highlands (R) (Qld)	2006	26477
Central Highlands (R) (Qld)	2011	28715
Central Highlands (R) (Qld)	2016	27999
Charters Towers (R)	2006	11479
Charters Towers (R)	2011	12169
Charters Towers (R)	2016	11876
Cherbourg (S)	2006	1131
Cherbourg (S)	2011	1223
Cherbourg (S)	2016	1269
Cloncurry (S)	2006	3135
Cloncurry (S)	2011	3228
Cloncurry (S)	2016	3032
Cook (S)	2006	3463
Cook (S)	2011	4153
Cook (S)	2016	4226
Croydon (S)	2006	254
Croydon (S)	2011	314
Croydon (S)	2016	294
Diamantina (S)	2006	284
Diamantina (S)	2011	283
Diamantina (S)	2016	291
Doomadgee (S)	2006	1083
Doomadgee (S)	2011	1289
Doomadgee (S)	2016	1405
Douglas (S)	2006	10191
Douglas (S)	2011	10827
Douglas (S)	2016	11714
Etheridge (S)	2006	849
Etheridge (S)	2011	895
Etheridge (S)	2016	799
Flinders (S) (Qld)	2006	1788
Flinders (S) (Qld)	2011	1792
Flinders (S) (Qld)	2016	1536
Fraser Coast (R)	2006	84339
Fraser Coast (R)	2011	95310
Fraser Coast (R)	2016	101504
Gladstone (R)	2006	50759
Gladstone (R)	2011	57892
Gladstone (R)	2016	61640
Gold Coast (C)	2006	433960
Gold Coast (C)	2011	494499
Gold Coast (C)	2016	555721
Goondiwindi (R)	2006	10117
Goondiwindi (R)	2011	10628
Goondiwindi (R)	2016	10630
Gympie (R)	2006	41869
Gympie (R)	2011	45748
Gympie (R)	2016	49559
Hinchinbrook (S)	2006	11558
Hinchinbrook (S)	2011	11568
Hinchinbrook (S)	2016	10885
Hope Vale (S)	2006	782
Hope Vale (S)	2011	983
Hope Vale (S)	2016	918
Ipswich (C)	2006	139109
Ipswich (C)	2011	166903
Ipswich (C)	2016	193733
Isaac (R)	2006	19823
Isaac (R)	2011	22587
Isaac (R)	2016	20940
Kowanyama (S)	2006	1023
Kowanyama (S)	2011	1030
Kowanyama (S)	2016	944
Livingstone (S)	2006	28868
Livingstone (S)	2011	32563
Livingstone (S)	2016	36272
Lockhart River (S)	2006	550
Lockhart River (S)	2011	482
Lockhart River (S)	2016	712
Lockyer Valley (R)	2006	30121
Lockyer Valley (R)	2011	34956
Lockyer Valley (R)	2016	38609
Logan (C)	2006	250871
Logan (C)	2011	278051
Logan (C)	2016	303386
Longreach (R)	2006	4052
Longreach (R)	2011	4188
Longreach (R)	2016	3660
Mackay (R)	2006	101016
Mackay (R)	2011	112797
Mackay (R)	2016	114969
McKinlay (S)	2006	893
McKinlay (S)	2011	1048
McKinlay (S)	2016	796
Mapoon (S)	2006	242
Mapoon (S)	2011	264
Mapoon (S)	2016	310
Maranoa (R)	2006	12290
Maranoa (R)	2011	13074
Maranoa (R)	2016	12666
Mareeba (S)	2006	18211
Mareeba (S)	2011	20019
Mareeba (S)	2016	21557
Moreton Bay (R)	2006	324791
Moreton Bay (R)	2011	378047
Moreton Bay (R)	2016	425302
Mornington (S)	2006	1036
Mornington (S)	2011	1143
Mornington (S)	2016	1143
Mount Isa (C)	2006	19660
Mount Isa (C)	2011	21238
Mount Isa (C)	2016	18671
Murweh (S)	2006	4579
Murweh (S)	2011	4617
Murweh (S)	2016	4307
Napranum (S)	2006	838
Napranum (S)	2011	856
Napranum (S)	2016	957
Noosa (S)	2006	46401
Noosa (S)	2011	48962
Noosa (S)	2016	52149
North Burnett (R)	2006	10146
North Burnett (R)	2011	10142
North Burnett (R)	2016	10478
Northern Peninsula Area (R)	2006	1940
Northern Peninsula Area (R)	2011	2299
Northern Peninsula Area (R)	2016	2796
Palm Island (S)	2006	1981
Palm Island (S)	2011	2339
Palm Island (S)	2016	2446
Paroo (S)	2006	1927
Paroo (S)	2011	1858
Paroo (S)	2016	1640
Pormpuraaw (S)	2006	597
Pormpuraaw (S)	2011	663
Pormpuraaw (S)	2016	749
Quilpie (S)	2006	982
Quilpie (S)	2011	974
Quilpie (S)	2016	813
Redland (C)	2006	127627
Redland (C)	2011	138667
Redland (C)	2016	147010
Richmond (S)	2006	900
Richmond (S)	2011	827
Richmond (S)	2016	791
Rockhampton (R)	2006	72305
Rockhampton (R)	2011	76777
Rockhampton (R)	2016	79726
Scenic Rim (R)	2006	32873
Scenic Rim (R)	2011	36460
Scenic Rim (R)	2016	40072
Somerset (R)	2006	18596
Somerset (R)	2011	21641
Somerset (R)	2016	24597
South Burnett (R)	2006	29090
South Burnett (R)	2011	31029
South Burnett (R)	2016	32186
Southern Downs (R)	2006	31662
Southern Downs (R)	2011	33883
Southern Downs (R)	2016	35110
Sunshine Coast (R)	2006	229869
Sunshine Coast (R)	2011	257953
Sunshine Coast (R)	2016	294367
Tablelands (R)	2006	22693
Tablelands (R)	2011	23711
Tablelands (R)	2016	24827
Toowoomba (R)	2006	142283
Toowoomba (R)	2011	151189
Toowoomba (R)	2016	160779
Torres (S)	2006	3233
Torres (S)	2011	3259
Torres (S)	2016	3610
Torres Strait Island (R)	2006	4396
Torres Strait Island (R)	2011	4250
Torres Strait Island (R)	2016	4514
Townsville (C)	2006	154628
Townsville (C)	2011	174461
Townsville (C)	2016	186757
Weipa (T)	2006	2832
Weipa (T)	2011	3332
Weipa (T)	2016	3905
Western Downs (R)	2006	28406
Western Downs (R)	2011	31591
Western Downs (R)	2016	33444
Whitsunday (R)	2006	29337
Whitsunday (R)	2011	31427
Whitsunday (R)	2016	33778
Winton (S)	2006	1382
Winton (S)	2011	1337
Winton (S)	2016	1134
Woorabinda (S)	2006	848
Woorabinda (S)	2011	944
Woorabinda (S)	2016	962
Wujal Wujal (S)	2006	326
Wujal Wujal (S)	2011	269
Wujal Wujal (S)	2016	282
Yarrabah (S)	2006	2375
Yarrabah (S)	2011	2408
Yarrabah (S)	2016	2559
No usual address (Qld)	2006	12806
No usual address (Qld)	2011	12543
No usual address (Qld)	2016	12510
Migratory - Offshore - Shipping (Qld)	2006	99
Migratory - Offshore - Shipping (Qld)	2011	473
Migratory - Offshore - Shipping (Qld)	2016	150
Adelaide (C)	2006	16658
Adelaide (C)	2011	19638
Adelaide (C)	2016	22063
Adelaide Hills (DC)	2006	37860
Adelaide Hills (DC)	2011	38628
Adelaide Hills (DC)	2016	38863
Alexandrina (DC)	2006	20713
Alexandrina (DC)	2011	23699
Alexandrina (DC)	2016	25873
