LGA_NAME16	Year	SameAddress5YearsAgo	persons
Cessnock (C)	2011		6859
Cessnock (C)	2011	0	15931
Cessnock (C)	2011	1	28050
Cessnock (C)	2016		8862
Cessnock (C)	2016	0	18207
Cessnock (C)	2016	1	28491
Clarence Valley (A)	2006		5222
Clarence Valley (A)	2006	0	17932
Clarence Valley (A)	2006	1	24994
Clarence Valley (A)	2011		5420
Clarence Valley (A)	2011	0	17040
Clarence Valley (A)	2011	1	27206
Clarence Valley (A)	2016		6826
Clarence Valley (A)	2016	0	16254
Clarence Valley (A)	2016	1	27591
Cobar (A)	2006		779
Cobar (A)	2006	0	2039
Cobar (A)	2006	1	2097
Cobar (A)	2011		758
Cobar (A)	2011	0	1803
Cobar (A)	2011	1	2152
Cobar (A)	2016		922
Cobar (A)	2016	0	1506
Cobar (A)	2016	1	2219
Coffs Harbour (C)	2006		6955
Coffs Harbour (C)	2006	0	27196
Coffs Harbour (C)	2006	1	30762
Coffs Harbour (C)	2011		7645
Coffs Harbour (C)	2011	0	26733
Coffs Harbour (C)	2011	1	34036
Coffs Harbour (C)	2016		9640
Coffs Harbour (C)	2016	0	27995
Coffs Harbour (C)	2016	1	35309
Coolamon (A)	2006		426
Coolamon (A)	2006	0	1197
Coolamon (A)	2006	1	2409
Coolamon (A)	2011		471
Coolamon (A)	2011	0	1080
Coolamon (A)	2011	1	2549
Coolamon (A)	2016		735
Coolamon (A)	2016	0	1197
Coolamon (A)	2016	1	2383
Coonamble (A)	2006		495
Coonamble (A)	2006	0	1228
Coonamble (A)	2006	1	2489
Coonamble (A)	2011		499
Coonamble (A)	2011	0	1066
Coonamble (A)	2011	1	2466
Coonamble (A)	2016		885
Coonamble (A)	2016	0	990
Coonamble (A)	2016	1	2043
Cowra (A)	2006		1339
Cowra (A)	2006	0	4383
Cowra (A)	2006	1	6756
Cowra (A)	2011		1480
Cowra (A)	2011	0	3499
Cowra (A)	2011	1	7167
Cowra (A)	2016		1817
Cowra (A)	2016	0	3732
Cowra (A)	2016	1	6911
Cumberland (A)	2006		27104
Cumberland (A)	2006	0	58061
Cumberland (A)	2006	1	88959
Cumberland (A)	2011		28664
Cumberland (A)	2011	0	65586
Cumberland (A)	2011	1	98974
Cumberland (A)	2016		29215
Cumberland (A)	2016	0	80776
Cumberland (A)	2016	1	106088
Dungog (A)	2006		967
Dungog (A)	2006	0	2338
Dungog (A)	2006	1	4755
Dungog (A)	2011		869
Dungog (A)	2011	0	2343
Dungog (A)	2011	1	5105
Dungog (A)	2016		1179
Dungog (A)	2016	0	2532
Dungog (A)	2016	1	5264
Edward River (A)	2006		1066
Edward River (A)	2006	0	3100
Edward River (A)	2006	1	4944
Edward River (A)	2011		1068
Edward River (A)	2011	0	2514
Edward River (A)	2011	1	5077
Edward River (A)	2016		1482
Edward River (A)	2016	0	2542
Edward River (A)	2016	1	4827
Eurobodalla (A)	2006		3377
Eurobodalla (A)	2006	0	14028
Eurobodalla (A)	2006	1	17608
Eurobodalla (A)	2011		3866
Eurobodalla (A)	2011	0	12349
Eurobodalla (A)	2011	1	19524
Eurobodalla (A)	2016		4705
Eurobodalla (A)	2016	0	13016
Eurobodalla (A)	2016	1	19511
Fairfield (C)	2006		23318
Fairfield (C)	2006	0	48738
Fairfield (C)	2006	1	107836
Fairfield (C)	2011		21386
Fairfield (C)	2011	0	49703
Fairfield (C)	2011	1	116677
Fairfield (C)	2016		22094
Fairfield (C)	2016	0	57197
Fairfield (C)	2016	1	119526
Federation (A)	2006		1301
Federation (A)	2006	0	4373
Federation (A)	2006	1	6562
Federation (A)	2011		1256
Federation (A)	2011	0	3512
Federation (A)	2011	1	7388
Federation (A)	2016		1784
Federation (A)	2016	0	3445
Federation (A)	2016	1	7048
Forbes (A)	2006		1173
Forbes (A)	2006	0	3220
Forbes (A)	2006	1	4968
Forbes (A)	2011		1051
Forbes (A)	2011	0	2911
Forbes (A)	2011	1	5207
Forbes (A)	2016		1547
Forbes (A)	2016	0	2865
Forbes (A)	2016	1	5175
Georges River (A)	2006		14810
Georges River (A)	2006	0	42336
Georges River (A)	2006	1	69117
Georges River (A)	2011		13908
Georges River (A)	2011	0	45838
Georges River (A)	2011	1	74909
Georges River (A)	2016		15170
Georges River (A)	2016	0	54139
Georges River (A)	2016	1	77532
Gilgandra (A)	2006		536
Gilgandra (A)	2006	0	1435
Gilgandra (A)	2006	1	2548
Gilgandra (A)	2011		559
Gilgandra (A)	2011	0	1184
Gilgandra (A)	2011	1	2625
Gilgandra (A)	2016		627
Gilgandra (A)	2016	0	1198
Gilgandra (A)	2016	1	2411
Glen Innes Severn (A)	2006		1102
Glen Innes Severn (A)	2006	0	3162
Glen Innes Severn (A)	2006	1	4518
Glen Innes Severn (A)	2011		1040
Glen Innes Severn (A)	2011	0	2766
Glen Innes Severn (A)	2011	1	4849
Glen Innes Severn (A)	2016		1538
Glen Innes Severn (A)	2016	0	2557
Glen Innes Severn (A)	2016	1	4741
Goulburn Mulwaree (A)	2006		3413
Goulburn Mulwaree (A)	2006	0	9396
Goulburn Mulwaree (A)	2006	1	13275
Goulburn Mulwaree (A)	2011		3526
Goulburn Mulwaree (A)	2011	0	9283
Goulburn Mulwaree (A)	2011	1	14671
Goulburn Mulwaree (A)	2016		4661
Goulburn Mulwaree (A)	2016	0	10250
Goulburn Mulwaree (A)	2016	1	14698
Greater Hume Shire (A)	2006		972
Greater Hume Shire (A)	2006	0	3066
Greater Hume Shire (A)	2006	1	5689
Greater Hume Shire (A)	2011		1102
Greater Hume Shire (A)	2011	0	2751
Greater Hume Shire (A)	2011	1	5964
Greater Hume Shire (A)	2016		1390
Greater Hume Shire (A)	2016	0	2951
Greater Hume Shire (A)	2016	1	6010
Griffith (C)	2006		3440
Griffith (C)	2006	0	8007
Griffith (C)	2006	1	12351
Griffith (C)	2011		3405
Griffith (C)	2011	0	7623
Griffith (C)	2011	1	13335
Griffith (C)	2016		4349
Griffith (C)	2016	0	7773
Griffith (C)	2016	1	13519
Gundagai (A)	2006		1064
Gundagai (A)	2006	0	3383
Gundagai (A)	2006	1	6559
Gundagai (A)	2011		1220
Gundagai (A)	2011	0	3102
Gundagai (A)	2011	1	6677
Gundagai (A)	2016		1482
Gundagai (A)	2016	0	3179
Gundagai (A)	2016	1	6480
Gunnedah (A)	2006		1311
Gunnedah (A)	2006	0	3929
Gunnedah (A)	2006	1	6284
Gunnedah (A)	2011		1685
Gunnedah (A)	2011	0	3914
Gunnedah (A)	2011	1	6466
Gunnedah (A)	2016		1971
Gunnedah (A)	2016	0	4088
Gunnedah (A)	2016	1	6156
Gwydir (A)	2006		540
Gwydir (A)	2006	0	1689
Gwydir (A)	2006	1	3081
Gwydir (A)	2011		468
Gwydir (A)	2011	0	1368
Gwydir (A)	2011	1	3129
Gwydir (A)	2016		902
Gwydir (A)	2016	0	1389
Gwydir (A)	2016	1	2967
Hawkesbury (C)	2006		7751
Hawkesbury (C)	2006	0	19448
Hawkesbury (C)	2006	1	33358
Hawkesbury (C)	2011		7380
Hawkesbury (C)	2011	0	19013
Hawkesbury (C)	2011	1	35960
Hawkesbury (C)	2016		8022
Hawkesbury (C)	2016	0	21061
Hawkesbury (C)	2016	1	35509
Hay (A)	2006		378
Hay (A)	2006	0	1078
Hay (A)	2006	1	1923
Hay (A)	2011		318
Hay (A)	2011	0	802
Hay (A)	2011	1	1838
Hay (A)	2016		511
Hay (A)	2016	0	800
Hay (A)	2016	1	1635
Hilltops (A)	2006		1882
Hilltops (A)	2006	0	6293
Hilltops (A)	2006	1	9686
Hilltops (A)	2011		2246
Hilltops (A)	2011	0	5514
Hilltops (A)	2011	1	10453
Hilltops (A)	2016		2459
Hilltops (A)	2016	0	5659
Hilltops (A)	2016	1	10380
Hornsby (A)	2006		13001
Hornsby (A)	2006	0	44310
Hornsby (A)	2006	1	74945
Hornsby (A)	2011		13032
Hornsby (A)	2011	0	43420
Hornsby (A)	2011	1	80785
Hornsby (A)	2016		13409
Hornsby (A)	2016	0	47400
Hornsby (A)	2016	1	81858
Hunters Hill (A)	2006		1603
Hunters Hill (A)	2006	0	4978
Hunters Hill (A)	2006	1	6661
Hunters Hill (A)	2011		1327
Hunters Hill (A)	2011	0	4723
Hunters Hill (A)	2011	1	7166
Hunters Hill (A)	2016		1682
Hunters Hill (A)	2016	0	5098
Hunters Hill (A)	2016	1	7219
Inner West (A)	2006		24239
Inner West (A)	2006	0	65014
Inner West (A)	2006	1	71009
Inner West (A)	2011		23263
Inner West (A)	2011	0	69982
Inner West (A)	2011	1	76672
Inner West (A)	2016		24375
Inner West (A)	2016	0	76547
Inner West (A)	2016	1	81121
Inverell (A)	2006		1757
Inverell (A)	2006	0	5973
Inverell (A)	2006	1	7775
Inverell (A)	2011		1850
Inverell (A)	2011	0	5596
Inverell (A)	2011	1	8631
Inverell (A)	2016		2571
Inverell (A)	2016	0	5190
Inverell (A)	2016	1	8722
Junee (A)	2006		1352
Junee (A)	2006	0	1493
Junee (A)	2006	1	2932
Junee (A)	2011		1418
Junee (A)	2011	0	1430
Junee (A)	2011	1	3031
Junee (A)	2016		1749
Junee (A)	2016	0	1527
Junee (A)	2016	1	3019
Kempsey (A)	2006		3668
Kempsey (A)	2006	0	9231
Kempsey (A)	2006	1	14486
Kempsey (A)	2011		3821
Kempsey (A)	2011	0	8389
Kempsey (A)	2011	1	15924
Kempsey (A)	2016		4939
Kempsey (A)	2016	0	8320
Kempsey (A)	2016	1	15626
Kiama (A)	2006		1759
Kiama (A)	2006	0	5797
Kiama (A)	2006	1	11427
Kiama (A)	2011		1639
Kiama (A)	2011	0	6630
Kiama (A)	2011	1	11716
Kiama (A)	2016		2484
Kiama (A)	2016	0	7283
Kiama (A)	2016	1	11697
Ku-ring-gai (A)	2006		8617
Ku-ring-gai (A)	2006	0	32576
Ku-ring-gai (A)	2006	1	59889
Ku-ring-gai (A)	2011		9771
Ku-ring-gai (A)	2011	0	37770
Ku-ring-gai (A)	2011	1	61758
Ku-ring-gai (A)	2016		10393
Ku-ring-gai (A)	2016	0	44659
Ku-ring-gai (A)	2016	1	63001
Kyogle (A)	2006		939
Kyogle (A)	2006	0	3065
Kyogle (A)	2006	1	5253
Kyogle (A)	2011		1026
Kyogle (A)	2011	0	2714
Kyogle (A)	2011	1	5487
Kyogle (A)	2016		1317
Kyogle (A)	2016	0	2366
Kyogle (A)	2016	1	5257
Lachlan (A)	2006		810
Lachlan (A)	2006	0	1878
Lachlan (A)	2006	1	3984
Lachlan (A)	2011		813
Lachlan (A)	2011	0	1675
Lachlan (A)	2011	1	3989
Lachlan (A)	2016		1243
Lachlan (A)	2016	0	1592
Lachlan (A)	2016	1	3359
Lake Macquarie (C)	2006		18697
Lake Macquarie (C)	2006	0	57570
Lake Macquarie (C)	2006	1	106875
Lake Macquarie (C)	2011		18797
Lake Macquarie (C)	2011	0	58045
Lake Macquarie (C)	2011	1	112163
Lake Macquarie (C)	2016		21374
Lake Macquarie (C)	2016	0	64907
Lake Macquarie (C)	2016	1	111090
Lane Cove (A)	2006		3895
Lane Cove (A)	2006	0	11665
Lane Cove (A)	2006	1	14867
Lane Cove (A)	2011		3384
Lane Cove (A)	2011	0	12312
Lane Cove (A)	2011	1	15814
Lane Cove (A)	2016		4155
Lane Cove (A)	2016	0	15867
Lane Cove (A)	2016	1	16029
Leeton (A)	2006		1450
Leeton (A)	2006	0	3709
Leeton (A)	2006	1	5950
Leeton (A)	2011		1425
Leeton (A)	2011	0	3601
Leeton (A)	2011	1	6013
Leeton (A)	2016		1832
Leeton (A)	2016	0	3419
Leeton (A)	2016	1	5917
Lismore (C)	2006		4591
Lismore (C)	2006	0	16709
Lismore (C)	2006	1	20909
Lismore (C)	2011		4574
Lismore (C)	2011	0	15262
Lismore (C)	2011	1	22928
Lismore (C)	2016		5934
Lismore (C)	2016	0	14161
Lismore (C)	2016	1	23040
Lithgow (C)	2006		2494
Lithgow (C)	2006	0	6119
Lithgow (C)	2006	1	11147
Lithgow (C)	2011		2706
Lithgow (C)	2011	0	5701
Lithgow (C)	2011	1	11755
Lithgow (C)	2016		3761
Lithgow (C)	2016	0	5837
Lithgow (C)	2016	1	11492
Liverpool (C)	2006		26081
Liverpool (C)	2006	0	52736
Liverpool (C)	2006	1	85784
Liverpool (C)	2011		24809
Liverpool (C)	2011	0	54003
Liverpool (C)	2011	1	101329
Liverpool (C)	2016		29599
Liverpool (C)	2016	0	67379
Liverpool (C)	2016	1	107348
Liverpool Plains (A)	2006		1011
Liverpool Plains (A)	2006	0	2327
Liverpool Plains (A)	2006	1	4199
Liverpool Plains (A)	2011		822
Liverpool Plains (A)	2011	0	2305
Liverpool Plains (A)	2011	1	4352
Liverpool Plains (A)	2016		1233
Liverpool Plains (A)	2016	0	2175
Liverpool Plains (A)	2016	1	4279
Lockhart (A)	2006		322
Lockhart (A)	2006	0	832
Lockhart (A)	2006	1	2028
Lockhart (A)	2011		311
Lockhart (A)	2011	0	751
Lockhart (A)	2011	1	1934
Lockhart (A)	2016		492
Lockhart (A)	2016	0	757
Lockhart (A)	2016	1	1870
Maitland (C)	2006		7596
Maitland (C)	2006	0	23337
Maitland (C)	2006	1	30950
Maitland (C)	2011		7993
Maitland (C)	2011	0	23160
Maitland (C)	2011	1	36326
Maitland (C)	2016		9848
Maitland (C)	2016	0	29668
Maitland (C)	2016	1	37789
Mid-Coast (A)	2006		8250
Mid-Coast (A)	2006	0	31593
Mid-Coast (A)	2006	1	42864
Mid-Coast (A)	2011		9395
Mid-Coast (A)	2011	0	28645
Mid-Coast (A)	2011	1	47808
Mid-Coast (A)	2016		11440
Mid-Coast (A)	2016	0	31865
Mid-Coast (A)	2016	1	46998
Mid-Western Regional (A)	2006		2481
Mid-Western Regional (A)	2006	0	7379
Mid-Western Regional (A)	2006	1	11228
Mid-Western Regional (A)	2011		2800
Mid-Western Regional (A)	2011	0	7684
Mid-Western Regional (A)	2011	1	11836
Mid-Western Regional (A)	2016		4306
Mid-Western Regional (A)	2016	0	8338
Mid-Western Regional (A)	2016	1	11432
Moree Plains (A)	2006		2527
Moree Plains (A)	2006	0	4747
Moree Plains (A)	2006	1	6699
Moree Plains (A)	2011		2352
Moree Plains (A)	2011	0	4085
Moree Plains (A)	2011	1	6991
Moree Plains (A)	2016		2729
Moree Plains (A)	2016	0	3599
Moree Plains (A)	2016	1	6831
Mosman (A)	2006		3580
Mosman (A)	2006	0	10989
Mosman (A)	2006	1	11668
Mosman (A)	2011		3538
Mosman (A)	2011	0	11675
Mosman (A)	2011	1	12239
Mosman (A)	2016		3432
Mosman (A)	2016	0	12272
Mosman (A)	2016	1	12771
Murray River (A)	2006		1237
Murray River (A)	2006	0	4002
Murray River (A)	2006	1	5543
Murray River (A)	2011		1135
Murray River (A)	2011	0	3578
Murray River (A)	2011	1	6205
Murray River (A)	2016		1633
Murray River (A)	2016	0	3878
Murray River (A)	2016	1	6169
Murrumbidgee (A)	2006		476
Murrumbidgee (A)	2006	0	1352
Murrumbidgee (A)	2006	1	2317
Murrumbidgee (A)	2011		490
Murrumbidgee (A)	2011	0	950
Murrumbidgee (A)	2011	1	2313
Murrumbidgee (A)	2016		669
Murrumbidgee (A)	2016	0	1053
Murrumbidgee (A)	2016	1	2114
Muswellbrook (A)	2006		2447
Muswellbrook (A)	2006	0	5693
Muswellbrook (A)	2006	1	7096
Muswellbrook (A)	2011		2506
Muswellbrook (A)	2011	0	5845
Muswellbrook (A)	2011	1	7442
Muswellbrook (A)	2016		2654
Muswellbrook (A)	2016	0	6098
Muswellbrook (A)	2016	1	7334
Nambucca (A)	2006		2039
Nambucca (A)	2006	0	6743
Nambucca (A)	2006	1	9112
Nambucca (A)	2011		1916
Nambucca (A)	2011	0	6147
Nambucca (A)	2011	1	10580
Nambucca (A)	2016		2657
Nambucca (A)	2016	0	6061
Nambucca (A)	2016	1	10494
Narrabri (A)	2006		1700
Narrabri (A)	2006	0	4245
Narrabri (A)	2006	1	7168
Narrabri (A)	2011		1788
Narrabri (A)	2011	0	4003
Narrabri (A)	2011	1	7135
Narrabri (A)	2016		2457
Narrabri (A)	2016	0	3531
Narrabri (A)	2016	1	7096
Narrandera (A)	2006		662
Narrandera (A)	2006	0	1800
Narrandera (A)	2006	1	3549
Narrandera (A)	2011		826
Narrandera (A)	2011	0	1631
Narrandera (A)	2011	1	3443
Narrandera (A)	2016		1071
Narrandera (A)	2016	0	1543
Narrandera (A)	2016	1	3239
Narromine (A)	2006		826
Narromine (A)	2006	0	2103
Narromine (A)	2006	1	3582
Narromine (A)	2011		882
Narromine (A)	2011	0	1957
Narromine (A)	2011	1	3745
Narromine (A)	2016		1124
Narromine (A)	2016	0	1683
Narromine (A)	2016	1	3637
Newcastle (C)	2006		16993
Newcastle (C)	2006	0	52549
Newcastle (C)	2006	1	72212
Newcastle (C)	2011		16537
Newcastle (C)	2011	0	55946
Newcastle (C)	2011	1	76051
Newcastle (C)	2016		17035
Newcastle (C)	2016	0	61822
Newcastle (C)	2016	1	76554
North Sydney (A)	2006		8970
North Sydney (A)	2006	0	30971
North Sydney (A)	2006	1	18319
North Sydney (A)	2011		8731
North Sydney (A)	2011	0	32174
North Sydney (A)	2011	1	21385
North Sydney (A)	2016		9030
North Sydney (A)	2016	0	34989
North Sydney (A)	2016	1	23639
Northern Beaches (A)	2006		28783
Northern Beaches (A)	2006	0	80387
Northern Beaches (A)	2006	1	115932
Northern Beaches (A)	2011		27467
Northern Beaches (A)	2011	0	86058
Northern Beaches (A)	2011	1	124115
Northern Beaches (A)	2016		29209
Northern Beaches (A)	2016	0	92725
Northern Beaches (A)	2016	1	130944
Oberon (A)	2006		655
Oberon (A)	2006	0	1652
Oberon (A)	2006	1	2722
Oberon (A)	2011		652
Oberon (A)	2011	0	1407
Oberon (A)	2011	1	2982
Oberon (A)	2016		1011
Oberon (A)	2016	0	1551
Oberon (A)	2016	1	2739
Orange (C)	2006		4556
Orange (C)	2006	0	13688
Orange (C)	2006	1	17094
Orange (C)	2011		5217
Orange (C)	2011	0	14124
Orange (C)	2011	1	18715
Orange (C)	2016		5782
Orange (C)	2016	0	15786
Orange (C)	2016	1	18776
Parkes (A)	2006		1612
Parkes (A)	2006	0	5079
Parkes (A)	2006	1	7593
Parkes (A)	2011		2039
Parkes (A)	2011	0	4541
Parkes (A)	2011	1	8012
Parkes (A)	2016		2374
Parkes (A)	2016	0	4363
Parkes (A)	2016	1	7871
Parramatta (C)	2006		24730
Parramatta (C)	2006	0	65415
Parramatta (C)	2006	1	84585
Parramatta (C)	2011		24984
Parramatta (C)	2011	0	74060
Parramatta (C)	2011	1	94975
Parramatta (C)	2016		30845
Parramatta (C)	2016	0	95698
Parramatta (C)	2016	1	99606
Penrith (C)	2006		22374
Penrith (C)	2006	0	54092
Penrith (C)	2006	1	95675
Penrith (C)	2011		22443
Penrith (C)	2011	0	52803
Penrith (C)	2011	1	103219
Penrith (C)	2016		26899
Penrith (C)	2016	0	65880
Penrith (C)	2016	1	103287
Port Macquarie-Hastings (A)	2006		7001
Port Macquarie-Hastings (A)	2006	0	28719
Port Macquarie-Hastings (A)	2006	1	32714
Port Macquarie-Hastings (A)	2011		7523
Port Macquarie-Hastings (A)	2011	0	28284
Port Macquarie-Hastings (A)	2011	1	36891
Port Macquarie-Hastings (A)	2016		9588
Port Macquarie-Hastings (A)	2016	0	30722
Port Macquarie-Hastings (A)	2016	1	38229
Port Stephens (A)	2006		7032
Port Stephens (A)	2006	0	23670
Port Stephens (A)	2006	1	29783
Port Stephens (A)	2011		7796
