LGA_NAME16	Year	Sex	employmentToPopulation
Cumberland (A)	2016	M	57.5
Dungog (A)	2006	F	48.2
Dungog (A)	2006	M	60.6
Dungog (A)	2011	F	50.2
Dungog (A)	2011	M	59.8
Dungog (A)	2016	F	49.1
Dungog (A)	2016	M	57.3
Edward River (A)	2006	F	51
Edward River (A)	2006	M	64
Edward River (A)	2011	F	50.8
Edward River (A)	2011	M	60.4
Edward River (A)	2016	F	48.7
Edward River (A)	2016	M	56.1
Eurobodalla (A)	2006	F	39.6
Eurobodalla (A)	2006	M	45.2
Eurobodalla (A)	2011	F	39.9
Eurobodalla (A)	2011	M	44.2
Eurobodalla (A)	2016	F	39.6
Eurobodalla (A)	2016	M	41.8
Fairfield (C)	2006	F	38.1
Fairfield (C)	2006	M	55.2
Fairfield (C)	2011	F	38.7
Fairfield (C)	2011	M	53.4
Fairfield (C)	2016	F	38.4
Fairfield (C)	2016	M	51.3
Federation (A)	2006	F	46
Federation (A)	2006	M	59.5
Federation (A)	2011	F	46
Federation (A)	2011	M	57.4
Federation (A)	2016	F	45
Federation (A)	2016	M	52.8
Forbes (A)	2006	F	46
Forbes (A)	2006	M	59.7
Forbes (A)	2011	F	49
Forbes (A)	2011	M	58.7
Forbes (A)	2016	F	47.3
Forbes (A)	2016	M	55.9
Georges River (A)	2006	F	50.2
Georges River (A)	2006	M	63.2
Georges River (A)	2011	F	51.6
Georges River (A)	2011	M	63.5
Georges River (A)	2016	F	51.8
Georges River (A)	2016	M	62.4
Gilgandra (A)	2006	F	48
Gilgandra (A)	2006	M	61.3
Gilgandra (A)	2011	F	47
Gilgandra (A)	2011	M	58.6
Gilgandra (A)	2016	F	47.2
Gilgandra (A)	2016	M	56.8
Glen Innes Severn (A)	2006	F	42.5
Glen Innes Severn (A)	2006	M	52.3
Glen Innes Severn (A)	2011	F	44.5
Glen Innes Severn (A)	2011	M	51.8
Glen Innes Severn (A)	2016	F	42
Glen Innes Severn (A)	2016	M	45.9
Goulburn Mulwaree (A)	2006	F	49.3
Goulburn Mulwaree (A)	2006	M	56.6
Goulburn Mulwaree (A)	2011	F	51
Goulburn Mulwaree (A)	2011	M	58
Goulburn Mulwaree (A)	2016	F	49.8
Goulburn Mulwaree (A)	2016	M	55.1
Greater Hume Shire (A)	2006	F	53
Greater Hume Shire (A)	2006	M	67.6
Greater Hume Shire (A)	2011	F	52.9
Greater Hume Shire (A)	2011	M	64.7
Greater Hume Shire (A)	2016	F	53.1
Greater Hume Shire (A)	2016	M	60.5
Griffith (C)	2006	F	53.6
Griffith (C)	2006	M	67.9
Griffith (C)	2011	F	53.7
Griffith (C)	2011	M	65.2
Griffith (C)	2016	F	53.1
Griffith (C)	2016	M	62.5
Gundagai (A)	2006	F	44.4
Gundagai (A)	2006	M	59.9
Gundagai (A)	2011	F	45.1
Gundagai (A)	2011	M	56.6
Gundagai (A)	2016	F	44
Gundagai (A)	2016	M	52.3
Gunnedah (A)	2006	F	45.5
Gunnedah (A)	2006	M	59.7
Gunnedah (A)	2011	F	48.3
Gunnedah (A)	2011	M	61.8
Gunnedah (A)	2016	F	49.8
Gunnedah (A)	2016	M	61.5
Gwydir (A)	2006	F	45.7
Gwydir (A)	2006	M	58.6
Gwydir (A)	2011	F	44.8
Gwydir (A)	2011	M	55.9
Gwydir (A)	2016	F	44.3
Gwydir (A)	2016	M	52.8
Hawkesbury (C)	2006	F	57.4
Hawkesbury (C)	2006	M	70.7
Hawkesbury (C)	2011	F	57.8
Hawkesbury (C)	2011	M	69.6
Hawkesbury (C)	2016	F	57.4
Hawkesbury (C)	2016	M	67.8
Hay (A)	2006	F	51.6
Hay (A)	2006	M	65
Hay (A)	2011	F	50.3
Hay (A)	2011	M	59.7
Hay (A)	2016	F	48.3
Hay (A)	2016	M	58.7
Hilltops (A)	2006	F	46.6
Hilltops (A)	2006	M	61.2
Hilltops (A)	2011	F	46
Hilltops (A)	2011	M	58.9
Hilltops (A)	2016	F	46.1
Hilltops (A)	2016	M	55.7
Hornsby (A)	2006	F	57.3
Hornsby (A)	2006	M	69.8
Hornsby (A)	2011	F	57.2
Hornsby (A)	2011	M	68.6
Hornsby (A)	2016	F	56.9
Hornsby (A)	2016	M	66.9
Hunters Hill (A)	2006	F	49.2
Hunters Hill (A)	2006	M	57
Hunters Hill (A)	2011	F	50.2
Hunters Hill (A)	2011	M	60.1
Hunters Hill (A)	2016	F	51.6
Hunters Hill (A)	2016	M	58.4
Inner West (A)	2006	F	59.5
Inner West (A)	2006	M	65.1
Inner West (A)	2011	F	62.1
Inner West (A)	2011	M	66.8
Inner West (A)	2016	F	62.4
Inner West (A)	2016	M	66.9
Inverell (A)	2006	F	43.4
Inverell (A)	2006	M	57.6
Inverell (A)	2011	F	45.6
Inverell (A)	2011	M	54.8
Inverell (A)	2016	F	45
Inverell (A)	2016	M	52.5
Junee (A)	2006	F	45
Junee (A)	2006	M	44.1
Junee (A)	2011	F	47.5
Junee (A)	2011	M	44
Junee (A)	2016	F	49.5
Junee (A)	2016	M	41.6
Kempsey (A)	2006	F	38.9
Kempsey (A)	2006	M	44.2
Kempsey (A)	2011	F	40.1
Kempsey (A)	2011	M	42.5
Kempsey (A)	2016	F	38.9
Kempsey (A)	2016	M	40.2
Kiama (A)	2006	F	49.7
Kiama (A)	2006	M	61
Kiama (A)	2011	F	50.9
Kiama (A)	2011	M	60.9
Kiama (A)	2016	F	49.3
Kiama (A)	2016	M	57.3
Ku-ring-gai (A)	2006	F	51.5
Ku-ring-gai (A)	2006	M	66.9
Ku-ring-gai (A)	2011	F	51.8
Ku-ring-gai (A)	2011	M	65
Ku-ring-gai (A)	2016	F	53.2
Ku-ring-gai (A)	2016	M	64.1
Kyogle (A)	2006	F	42.4
Kyogle (A)	2006	M	51.4
Kyogle (A)	2011	F	42.9
Kyogle (A)	2011	M	48.7
Kyogle (A)	2016	F	40.5
Kyogle (A)	2016	M	46
Lachlan (A)	2006	F	47.9
Lachlan (A)	2006	M	61.4
Lachlan (A)	2011	F	51.4
Lachlan (A)	2011	M	60.8
Lachlan (A)	2016	F	45.9
Lachlan (A)	2016	M	56.3
Lake Macquarie (C)	2006	F	46.7
Lake Macquarie (C)	2006	M	57.9
Lake Macquarie (C)	2011	F	49.7
Lake Macquarie (C)	2011	M	59.3
Lake Macquarie (C)	2016	F	49.7
Lake Macquarie (C)	2016	M	56.3
Lane Cove (A)	2006	F	58.9
Lane Cove (A)	2006	M	69.3
Lane Cove (A)	2011	F	61.2
Lane Cove (A)	2011	M	71.2
Lane Cove (A)	2016	F	62.2
Lane Cove (A)	2016	M	69.3
Leeton (A)	2006	F	49.5
Leeton (A)	2006	M	62.7
Leeton (A)	2011	F	48.7
Leeton (A)	2011	M	62.2
Leeton (A)	2016	F	47.4
Leeton (A)	2016	M	58.6
Lismore (C)	2006	F	49
Lismore (C)	2006	M	57.5
Lismore (C)	2011	F	51.1
Lismore (C)	2011	M	56.8
Lismore (C)	2016	F	49.6
Lismore (C)	2016	M	53.1
Lithgow (C)	2006	F	43.7
Lithgow (C)	2006	M	53.3
Lithgow (C)	2011	F	45.3
Lithgow (C)	2011	M	53
Lithgow (C)	2016	F	42.7
Lithgow (C)	2016	M	46.4
Liverpool (C)	2006	F	46.9
Liverpool (C)	2006	M	62.9
Liverpool (C)	2011	F	47.1
Liverpool (C)	2011	M	61.3
Liverpool (C)	2016	F	47
Liverpool (C)	2016	M	59.4
Liverpool Plains (A)	2006	F	43.4
Liverpool Plains (A)	2006	M	57.2
Liverpool Plains (A)	2011	F	44.8
Liverpool Plains (A)	2011	M	57.9
Liverpool Plains (A)	2016	F	43.7
Liverpool Plains (A)	2016	M	52.9
Lockhart (A)	2006	F	52.3
Lockhart (A)	2006	M	64.9
Lockhart (A)	2011	F	50.3
Lockhart (A)	2011	M	61.7
Lockhart (A)	2016	F	48
Lockhart (A)	2016	M	55.9
Maitland (C)	2006	F	49.9
Maitland (C)	2006	M	65
Maitland (C)	2011	F	52.3
Maitland (C)	2011	M	66.7
Maitland (C)	2016	F	52.9
Maitland (C)	2016	M	62.3
Mid-Coast (A)	2006	F	38
Mid-Coast (A)	2006	M	46.7
Mid-Coast (A)	2011	F	38.3
Mid-Coast (A)	2011	M	44.7
Mid-Coast (A)	2016	F	37.4
Mid-Coast (A)	2016	M	41.3
Mid-Western Regional (A)	2006	F	45.1
Mid-Western Regional (A)	2006	M	57.6
Mid-Western Regional (A)	2011	F	46.9
Mid-Western Regional (A)	2011	M	58.3
Mid-Western Regional (A)	2016	F	46.1
Mid-Western Regional (A)	2016	M	55
Moree Plains (A)	2006	F	51.1
Moree Plains (A)	2006	M	64.3
Moree Plains (A)	2011	F	50.6
Moree Plains (A)	2011	M	62.3
Moree Plains (A)	2016	F	49.7
Moree Plains (A)	2016	M	57.6
Mosman (A)	2006	F	53.4
Mosman (A)	2006	M	69.9
Mosman (A)	2011	F	52.8
Mosman (A)	2011	M	68.8
Mosman (A)	2016	F	53.5
Mosman (A)	2016	M	67.2
Murray River (A)	2006	F	49.7
Murray River (A)	2006	M	61.5
Murray River (A)	2011	F	48.5
Murray River (A)	2011	M	57.8
Murray River (A)	2016	F	47.9
Murray River (A)	2016	M	55.4
Murrumbidgee (A)	2006	F	55.3
Murrumbidgee (A)	2006	M	68.7
Murrumbidgee (A)	2011	F	53.4
Murrumbidgee (A)	2011	M	65.7
Murrumbidgee (A)	2016	F	51.6
Murrumbidgee (A)	2016	M	60.5
Muswellbrook (A)	2006	F	49.4
Muswellbrook (A)	2006	M	66.6
Muswellbrook (A)	2011	F	53.4
Muswellbrook (A)	2011	M	67.5
Muswellbrook (A)	2016	F	49
Muswellbrook (A)	2016	M	58.9
Nambucca (A)	2006	F	35
Nambucca (A)	2006	M	40.1
Nambucca (A)	2011	F	37
Nambucca (A)	2011	M	41.7
Nambucca (A)	2016	F	37.1
Nambucca (A)	2016	M	40.7
Narrabri (A)	2006	F	49.7
Narrabri (A)	2006	M	64.3
Narrabri (A)	2011	F	51.6
Narrabri (A)	2011	M	64.5
Narrabri (A)	2016	F	50.1
Narrabri (A)	2016	M	59.8
Narrandera (A)	2006	F	47.5
Narrandera (A)	2006	M	58.7
Narrandera (A)	2011	F	47.2
Narrandera (A)	2011	M	57.8
Narrandera (A)	2016	F	46.5
Narrandera (A)	2016	M	53
Narromine (A)	2006	F	49
Narromine (A)	2006	M	64.1
Narromine (A)	2011	F	49.4
Narromine (A)	2011	M	63.5
Narromine (A)	2016	F	46.7
Narromine (A)	2016	M	55.5
Newcastle (C)	2006	F	48.7
Newcastle (C)	2006	M	57.9
Newcastle (C)	2011	F	53
Newcastle (C)	2011	M	61.2
Newcastle (C)	2016	F	54.4
Newcastle (C)	2016	M	58.8
North Sydney (A)	2006	F	62.9
North Sydney (A)	2006	M	71.5
North Sydney (A)	2011	F	64.5
North Sydney (A)	2011	M	72.5
North Sydney (A)	2016	F	65
North Sydney (A)	2016	M	72.2
Northern Beaches (A)	2006	F	57.8
Northern Beaches (A)	2006	M	69.2
Northern Beaches (A)	2011	F	58.8
Northern Beaches (A)	2011	M	69.4
Northern Beaches (A)	2016	F	59.8
Northern Beaches (A)	2016	M	68.3
Oberon (A)	2006	F	50.4
Oberon (A)	2006	M	65.8
Oberon (A)	2011	F	51.9
Oberon (A)	2011	M	62.8
Oberon (A)	2016	F	48.3
Oberon (A)	2016	M	53.9
Orange (C)	2006	F	50.8
Orange (C)	2006	M	62.3
Orange (C)	2011	F	52.9
Orange (C)	2011	M	64
Orange (C)	2016	F	52.6
Orange (C)	2016	M	59.7
Parkes (A)	2006	F	46.5
Parkes (A)	2006	M	59.7
Parkes (A)	2011	F	47.6
Parkes (A)	2011	M	58.9
Parkes (A)	2016	F	45.4
Parkes (A)	2016	M	55.1
Parramatta (C)	2006	F	51.7
Parramatta (C)	2006	M	62.1
Parramatta (C)	2011	F	52.4
Parramatta (C)	2011	M	63.7
Parramatta (C)	2016	F	52.1
Parramatta (C)	2016	M	63.5
Penrith (C)	2006	F	56
Penrith (C)	2006	M	70.1
Penrith (C)	2011	F	56.6
Penrith (C)	2011	M	68.5
Penrith (C)	2016	F	56.3
Penrith (C)	2016	M	66.5
Port Macquarie-Hastings (A)	2006	F	41.2
Port Macquarie-Hastings (A)	2006	M	49
Port Macquarie-Hastings (A)	2011	F	43.4
Port Macquarie-Hastings (A)	2011	M	49.4
Port Macquarie-Hastings (A)	2016	F	43
Port Macquarie-Hastings (A)	2016	M	47.9
Port Stephens (A)	2006	F	44.1
Port Stephens (A)	2006	M	55.9
Port Stephens (A)	2011	F	45.9
Port Stephens (A)	2011	M	56.4
Port Stephens (A)	2016	F	44.9
Port Stephens (A)	2016	M	52
Queanbeyan-Palerang Regional (A)	2006	F	62.5
Queanbeyan-Palerang Regional (A)	2006	M	71.4
Queanbeyan-Palerang Regional (A)	2011	F	65.7
Queanbeyan-Palerang Regional (A)	2011	M	72.5
Queanbeyan-Palerang Regional (A)	2016	F	62.6
Queanbeyan-Palerang Regional (A)	2016	M	67.9
Randwick (C)	2006	F	55.1
Randwick (C)	2006	M	60.6
Randwick (C)	2011	F	55.4
Randwick (C)	2011	M	59.9
Randwick (C)	2016	F	55.6
Randwick (C)	2016	M	58.6
Richmond Valley (A)	2006	F	41
Richmond Valley (A)	2006	M	52.7
Richmond Valley (A)	2011	F	41.6
Richmond Valley (A)	2011	M	51.3
Richmond Valley (A)	2016	F	42
Richmond Valley (A)	2016	M	47.8
Rockdale (C)	2006	F	48
Rockdale (C)	2006	M	60.8
Rockdale (C)	2011	F	50
Rockdale (C)	2011	M	62
Rockdale (C)	2016	F	52.5
Rockdale (C)	2016	M	62.5
Ryde (C)	2006	F	52.9
Ryde (C)	2006	M	63.6
Ryde (C)	2011	F	53.5
Ryde (C)	2011	M	64.1
Ryde (C)	2016	F	54.4
Ryde (C)	2016	M	63.6
Shellharbour (C)	2006	F	46.9
Shellharbour (C)	2006	M	61.5
Shellharbour (C)	2011	F	48.7
Shellharbour (C)	2011	M	61.3
Shellharbour (C)	2016	F	49.9
Shellharbour (C)	2016	M	58.4
Shoalhaven (C)	2006	F	39.7
Shoalhaven (C)	2006	M	48.2
Shoalhaven (C)	2011	F	41.3
Shoalhaven (C)	2011	M	47.4
Shoalhaven (C)	2016	F	41.3
Shoalhaven (C)	2016	M	46
Singleton (A)	2006	F	51.5
Singleton (A)	2006	M	72.4
Singleton (A)	2011	F	54.9
Singleton (A)	2011	M	73.7
Singleton (A)	2016	F	52.4
Singleton (A)	2016	M	66.7
Snowy Monaro Regional (A)	2006	F	54.5
Snowy Monaro Regional (A)	2006	M	62.2
Snowy Monaro Regional (A)	2011	F	56.2
Snowy Monaro Regional (A)	2011	M	62.6
Snowy Monaro Regional (A)	2016	F	57.2
Snowy Monaro Regional (A)	2016	M	60.6
Snowy Valleys (A)	2006	F	46.9
Snowy Valleys (A)	2006	M	61.2
Snowy Valleys (A)	2011	F	48.3
Snowy Valleys (A)	2011	M	61.2
Snowy Valleys (A)	2016	F	46.4
Snowy Valleys (A)	2016	M	55.1
Strathfield (A)	2006	F	47.8
Strathfield (A)	2006	M	59.4
Strathfield (A)	2011	F	49.3
Strathfield (A)	2011	M	62.8
Strathfield (A)	2016	F	51.3
Strathfield (A)	2016	M	63.6
Sutherland Shire (A)	2006	F	59.4
Sutherland Shire (A)	2006	M	70.9
Sutherland Shire (A)	2011	F	60
Sutherland Shire (A)	2011	M	69.9
Sutherland Shire (A)	2016	F	59.8
Sutherland Shire (A)	2016	M	68.1
Sydney (C)	2006	F	51.6
Sydney (C)	2006	M	54.8
Sydney (C)	2011	F	59
Sydney (C)	2011	M	63.7
Sydney (C)	2016	F	57.9
Sydney (C)	2016	M	62.6
Tamworth Regional (A)	2006	F	49.7
Tamworth Regional (A)	2006	M	61.6
Tamworth Regional (A)	2011	F	51.5
Tamworth Regional (A)	2011	M	60.7
Tamworth Regional (A)	2016	F	50.9
Tamworth Regional (A)	2016	M	58.8
Temora (A)	2006	F	46
Temora (A)	2006	M	58.9
Temora (A)	2011	F	46.1
Temora (A)	2011	M	57.1
Temora (A)	2016	F	46.7
Temora (A)	2016	M	55.4
Tenterfield (A)	2006	F	43.5
Tenterfield (A)	2006	M	53.8
Tenterfield (A)	2011	F	42.7
Tenterfield (A)	2011	M	51.1
Tenterfield (A)	2016	F	40
Tenterfield (A)	2016	M	44.7
The Hills Shire (A)	2006	F	62.5
The Hills Shire (A)	2006	M	74.8
The Hills Shire (A)	2011	F	61.3
The Hills Shire (A)	2011	M	72.3
The Hills Shire (A)	2016	F	60
The Hills Shire (A)	2016	M	70
Tweed (A)	2006	F	40.6
Tweed (A)	2006	M	50.1
Tweed (A)	2011	F	43.5
Tweed (A)	2011	M	50.2
Tweed (A)	2016	F	44.4
Tweed (A)	2016	M	49.8
Upper Hunter Shire (A)	2006	F	52.3
Upper Hunter Shire (A)	2006	M	67.5
Upper Hunter Shire (A)	2011	F	53.2
Upper Hunter Shire (A)	2011	M	67.3
Upper Hunter Shire (A)	2016	F	50.8
Upper Hunter Shire (A)	2016	M	61.8
Upper Lachlan Shire (A)	2006	F	49.9
Upper Lachlan Shire (A)	2006	M	64.6
Upper Lachlan Shire (A)	2011	F	53.4
Upper Lachlan Shire (A)	2011	M	64.8
Upper Lachlan Shire (A)	2016	F	50.9
Upper Lachlan Shire (A)	2016	M	60.2
Uralla (A)	2006	F	50.5
Uralla (A)	2006	M	63
Uralla (A)	2011	F	53.8
Uralla (A)	2011	M	61.3
Uralla (A)	2016	F	50.4
Uralla (A)	2016	M	57.3
Wagga Wagga (C)	2006	F	55.5
Wagga Wagga (C)	2006	M	68.4
Wagga Wagga (C)	2011	F	56.3
Wagga Wagga (C)	2011	M	68.1
Wagga Wagga (C)	2016	F	56.3
Wagga Wagga (C)	2016	M	64.1
Walcha (A)	2006	F	50.6
Walcha (A)	2006	M	68.8
Walcha (A)	2011	F	52.2
Walcha (A)	2011	M	66
Walcha (A)	2016	F	48.9
Walcha (A)	2016	M	61.4
Walgett (A)	2006	F	46.9
Walgett (A)	2006	M	46.7
Walgett (A)	2011	F	45.9
Walgett (A)	2011	M	45.3
Walgett (A)	2016	F	42.7
Walgett (A)	2016	M	41.5
Warren (A)	2006	F	51.7
Warren (A)	2006	M	68
Warren (A)	2011	F	53.8
Warren (A)	2011	M	65.9
Warren (A)	2016	F	49
Warren (A)	2016	M	57.1
Warrumbungle Shire (A)	2006	F	43.2
Warrumbungle Shire (A)	2006	M	54.1
Warrumbungle Shire (A)	2011	F	43.5
Warrumbungle Shire (A)	2011	M	51.1
Warrumbungle Shire (A)	2016	F	41.2
Warrumbungle Shire (A)	2016	M	45.5
Waverley (A)	2006	F	55.1
Waverley (A)	2006	M	60.9
Waverley (A)	2011	F	59.6
Waverley (A)	2011	M	67.4
Waverley (A)	2016	F	61.5
Waverley (A)	2016	M	68.6
Weddin (A)	2006	F	43.4
Weddin (A)	2006	M	56.4
Weddin (A)	2011	F	43.8
Weddin (A)	2011	M	53.1
Weddin (A)	2016	F	43.7
Weddin (A)	2016	M	50.8
Wentworth (A)	2006	F	50.3
Wentworth (A)	2006	M	63.1
Wentworth (A)	2011	F	49.6
Wentworth (A)	2011	M	60
Wentworth (A)	2016	F	48.5
Wentworth (A)	2016	M	52.5
Western Plains Regional (A)	2006	F	52
Western Plains Regional (A)	2006	M	62.6
Western Plains Regional (A)	2011	F	54.7
Western Plains Regional (A)	2011	M	61.9
Western Plains Regional (A)	2016	F	53.1
Western Plains Regional (A)	2016	M	58.6
Willoughby (C)	2006	F	55.1
Willoughby (C)	2006	M	68
Willoughby (C)	2011	F	55.8
Willoughby (C)	2011	M	68.3
Willoughby (C)	2016	F	55.3
Willoughby (C)	2016	M	66.6
Wingecarribee (A)	2006	F	47.9
Wingecarribee (A)	2006	M	61.4
Wingecarribee (A)	2011	F	48.2
Wingecarribee (A)	2011	M	60
Wingecarribee (A)	2016	F	47.7
Wingecarribee (A)	2016	M	57.4
Wollondilly (A)	2006	F	56.8
Wollondilly (A)	2006	M	70.4
