LGA_NAME16	Year	AustCitizen	persons
Central Coast (C) (NSW)	2011	0	32018
Central Coast (C) (NSW)	2011	1	280164
Central Coast (C) (NSW)	2016	0	35733
Central Coast (C) (NSW)	2016	1	292003
Central Darling (A)	2006	0	205
Central Darling (A)	2006	1	1734
Central Darling (A)	2011	0	226
Central Darling (A)	2011	1	1766
Central Darling (A)	2016	0	314
Central Darling (A)	2016	1	1519
Cessnock (C)	2006	0	3918
Cessnock (C)	2006	1	42291
Cessnock (C)	2011	0	4539
Cessnock (C)	2011	1	46301
Cessnock (C)	2016	0	6042
Cessnock (C)	2016	1	49518
Clarence Valley (A)	2006	0	3542
Clarence Valley (A)	2006	1	44606
Clarence Valley (A)	2011	0	3788
Clarence Valley (A)	2011	1	45878
Clarence Valley (A)	2016	0	5097
Clarence Valley (A)	2016	1	45574
Cobar (A)	2006	0	584
Cobar (A)	2006	1	4331
Cobar (A)	2011	0	625
Cobar (A)	2011	1	4088
Cobar (A)	2016	0	736
Cobar (A)	2016	1	3911
Coffs Harbour (C)	2006	0	5817
Coffs Harbour (C)	2006	1	59096
Coffs Harbour (C)	2011	0	6799
Coffs Harbour (C)	2011	1	61615
Coffs Harbour (C)	2016	0	9508
Coffs Harbour (C)	2016	1	63436
Coolamon (A)	2006	0	225
Coolamon (A)	2006	1	3807
Coolamon (A)	2011	0	299
Coolamon (A)	2011	1	3801
Coolamon (A)	2016	0	486
Coolamon (A)	2016	1	3829
Coonamble (A)	2006	0	242
Coonamble (A)	2006	1	3970
Coonamble (A)	2011	0	316
Coonamble (A)	2011	1	3715
Coonamble (A)	2016	0	631
Coonamble (A)	2016	1	3287
Cowra (A)	2006	0	830
Cowra (A)	2006	1	11648
Cowra (A)	2011	0	1038
Cowra (A)	2011	1	11108
Cowra (A)	2016	0	1214
Cowra (A)	2016	1	11246
Cumberland (A)	2006	0	37369
Cumberland (A)	2006	1	136755
Cumberland (A)	2011	0	43802
Cumberland (A)	2011	1	149422
Cumberland (A)	2016	0	59725
Cumberland (A)	2016	1	156354
Dungog (A)	2006	0	609
Dungog (A)	2006	1	7451
Dungog (A)	2011	0	573
Dungog (A)	2011	1	7744
Dungog (A)	2016	0	756
Dungog (A)	2016	1	8219
Edward River (A)	2006	0	722
Edward River (A)	2006	1	8388
Edward River (A)	2011	0	731
Edward River (A)	2011	1	7928
Edward River (A)	2016	0	1147
Edward River (A)	2016	1	7704
Eurobodalla (A)	2006	0	2950
Eurobodalla (A)	2006	1	32063
Eurobodalla (A)	2011	0	3445
Eurobodalla (A)	2011	1	32294
Eurobodalla (A)	2016	0	4044
Eurobodalla (A)	2016	1	33188
Fairfield (C)	2006	0	25968
Fairfield (C)	2006	1	153924
Fairfield (C)	2011	0	28032
Fairfield (C)	2011	1	159734
Fairfield (C)	2016	0	37608
Fairfield (C)	2016	1	161209
Federation (A)	2006	0	828
Federation (A)	2006	1	11408
Federation (A)	2011	0	872
Federation (A)	2011	1	11284
Federation (A)	2016	0	1310
Federation (A)	2016	1	10967
Forbes (A)	2006	0	639
Forbes (A)	2006	1	8722
Forbes (A)	2011	0	566
Forbes (A)	2011	1	8603
Forbes (A)	2016	0	969
Forbes (A)	2016	1	8618
Georges River (A)	2006	0	21198
Georges River (A)	2006	1	105065
Georges River (A)	2011	0	24708
Georges River (A)	2011	1	109947
Georges River (A)	2016	0	35658
Georges River (A)	2016	1	111183
Gilgandra (A)	2006	0	324
Gilgandra (A)	2006	1	4195
Gilgandra (A)	2011	0	338
Gilgandra (A)	2011	1	4030
Gilgandra (A)	2016	0	386
Gilgandra (A)	2016	1	3850
Glen Innes Severn (A)	2006	0	747
Glen Innes Severn (A)	2006	1	8035
Glen Innes Severn (A)	2011	0	728
Glen Innes Severn (A)	2011	1	7927
Glen Innes Severn (A)	2016	0	1199
Glen Innes Severn (A)	2016	1	7637
Goulburn Mulwaree (A)	2006	0	2556
Goulburn Mulwaree (A)	2006	1	23528
Goulburn Mulwaree (A)	2011	0	2581
Goulburn Mulwaree (A)	2011	1	24899
Goulburn Mulwaree (A)	2016	0	3642
Goulburn Mulwaree (A)	2016	1	25967
Greater Hume Shire (A)	2006	0	589
Greater Hume Shire (A)	2006	1	9138
Greater Hume Shire (A)	2011	0	716
Greater Hume Shire (A)	2011	1	9101
Greater Hume Shire (A)	2016	0	888
Greater Hume Shire (A)	2016	1	9463
Griffith (C)	2006	0	2784
Griffith (C)	2006	1	21014
Griffith (C)	2011	0	3489
Griffith (C)	2011	1	20874
Griffith (C)	2016	0	4802
Griffith (C)	2016	1	20839
Gundagai (A)	2006	0	563
Gundagai (A)	2006	1	10443
Gundagai (A)	2011	0	774
Gundagai (A)	2011	1	10225
Gundagai (A)	2016	0	963
Gundagai (A)	2016	1	10178
Gunnedah (A)	2006	0	731
Gunnedah (A)	2006	1	10793
Gunnedah (A)	2011	0	1086
Gunnedah (A)	2011	1	10979
Gunnedah (A)	2016	0	1242
Gunnedah (A)	2016	1	10973
Gwydir (A)	2006	0	286
Gwydir (A)	2006	1	5024
Gwydir (A)	2011	0	245
Gwydir (A)	2011	1	4720
Gwydir (A)	2016	0	597
Gwydir (A)	2016	1	4661
Hawkesbury (C)	2006	0	6246
Hawkesbury (C)	2006	1	54311
Hawkesbury (C)	2011	0	5981
Hawkesbury (C)	2011	1	56372
Hawkesbury (C)	2016	0	6642
Hawkesbury (C)	2016	1	57950
Hay (A)	2006	0	224
Hay (A)	2006	1	3155
Hay (A)	2011	0	235
Hay (A)	2011	1	2723
Hay (A)	2016	0	438
Hay (A)	2016	1	2508
Hilltops (A)	2006	0	1057
Hilltops (A)	2006	1	16804
Hilltops (A)	2011	0	1392
Hilltops (A)	2011	1	16821
Hilltops (A)	2016	0	1683
Hilltops (A)	2016	1	16815
Hornsby (A)	2006	0	17081
Hornsby (A)	2006	1	115175
Hornsby (A)	2011	0	18575
Hornsby (A)	2011	1	118662
Hornsby (A)	2016	0	22954
Hornsby (A)	2016	1	119713
Hunters Hill (A)	2006	0	1888
Hunters Hill (A)	2006	1	11354
Hunters Hill (A)	2011	0	1388
Hunters Hill (A)	2011	1	11828
Hunters Hill (A)	2016	0	1679
Hunters Hill (A)	2016	1	12320
Inner West (A)	2006	0	33858
Inner West (A)	2006	1	126404
Inner West (A)	2011	0	33999
Inner West (A)	2011	1	135918
Inner West (A)	2016	0	39279
Inner West (A)	2016	1	142764
Inverell (A)	2006	0	1063
Inverell (A)	2006	1	14442
Inverell (A)	2011	0	1210
Inverell (A)	2011	1	14867
Inverell (A)	2016	0	1786
Inverell (A)	2016	1	14697
Junee (A)	2006	0	1146
Junee (A)	2006	1	4631
Junee (A)	2011	0	1150
Junee (A)	2011	1	4729
Junee (A)	2016	0	1556
Junee (A)	2016	1	4739
Kempsey (A)	2006	0	2777
Kempsey (A)	2006	1	24608
Kempsey (A)	2011	0	2645
Kempsey (A)	2011	1	25489
Kempsey (A)	2016	0	3658
Kempsey (A)	2016	1	25227
Kiama (A)	2006	0	1507
Kiama (A)	2006	1	17476
Kiama (A)	2011	0	1576
Kiama (A)	2011	1	18409
Kiama (A)	2016	0	2281
Kiama (A)	2016	1	19183
Ku-ring-gai (A)	2006	0	12849
Ku-ring-gai (A)	2006	1	88233
Ku-ring-gai (A)	2011	0	15521
Ku-ring-gai (A)	2011	1	93778
Ku-ring-gai (A)	2016	0	19646
Ku-ring-gai (A)	2016	1	98407
Kyogle (A)	2006	0	679
Kyogle (A)	2006	1	8578
Kyogle (A)	2011	0	841
Kyogle (A)	2011	1	8386
Kyogle (A)	2016	0	1087
Kyogle (A)	2016	1	7853
Lachlan (A)	2006	0	411
Lachlan (A)	2006	1	6261
Lachlan (A)	2011	0	459
Lachlan (A)	2011	1	6018
Lachlan (A)	2016	0	826
Lachlan (A)	2016	1	5368
Lake Macquarie (C)	2006	0	13609
Lake Macquarie (C)	2006	1	169533
Lake Macquarie (C)	2011	0	13425
Lake Macquarie (C)	2011	1	175580
Lake Macquarie (C)	2016	0	15350
Lake Macquarie (C)	2016	1	182021
Lane Cove (A)	2006	0	5174
Lane Cove (A)	2006	1	25253
Lane Cove (A)	2011	0	4987
Lane Cove (A)	2011	1	26523
Lane Cove (A)	2016	0	7142
Lane Cove (A)	2016	1	28909
Leeton (A)	2006	0	980
Leeton (A)	2006	1	10129
Leeton (A)	2011	0	1036
Leeton (A)	2011	1	10003
Leeton (A)	2016	0	1480
Leeton (A)	2016	1	9688
Lismore (C)	2006	0	3274
Lismore (C)	2006	1	38935
Lismore (C)	2011	0	3352
Lismore (C)	2011	1	39412
Lismore (C)	2016	0	4800
Lismore (C)	2016	1	38335
Lithgow (C)	2006	0	2015
Lithgow (C)	2006	1	17745
Lithgow (C)	2011	0	2122
Lithgow (C)	2011	1	18040
Lithgow (C)	2016	0	3072
Lithgow (C)	2016	1	18018
Liverpool (C)	2006	0	26656
Liverpool (C)	2006	1	137945
Liverpool (C)	2011	0	27892
Liverpool (C)	2011	1	152249
Liverpool (C)	2016	0	35957
Liverpool (C)	2016	1	168369
Liverpool Plains (A)	2006	0	710
Liverpool Plains (A)	2006	1	6827
Liverpool Plains (A)	2011	0	566
Liverpool Plains (A)	2011	1	6913
Liverpool Plains (A)	2016	0	834
Liverpool Plains (A)	2016	1	6853
Lockhart (A)	2006	0	147
Lockhart (A)	2006	1	3035
Lockhart (A)	2011	0	187
Lockhart (A)	2011	1	2809
Lockhart (A)	2016	0	314
Lockhart (A)	2016	1	2805
Maitland (C)	2006	0	4663
Maitland (C)	2006	1	57220
Maitland (C)	2011	0	5021
Maitland (C)	2011	1	62458
Maitland (C)	2016	0	6492
Maitland (C)	2016	1	70813
Mid-Coast (A)	2006	0	6408
Mid-Coast (A)	2006	1	76299
Mid-Coast (A)	2011	0	7226
Mid-Coast (A)	2011	1	78622
Mid-Coast (A)	2016	0	8742
Mid-Coast (A)	2016	1	81561
Mid-Western Regional (A)	2006	0	1778
Mid-Western Regional (A)	2006	1	19310
Mid-Western Regional (A)	2011	0	2028
Mid-Western Regional (A)	2011	1	20292
Mid-Western Regional (A)	2016	0	3060
Mid-Western Regional (A)	2016	1	21016
Moree Plains (A)	2006	0	1648
Moree Plains (A)	2006	1	12325
Moree Plains (A)	2011	0	1598
Moree Plains (A)	2011	1	11830
Moree Plains (A)	2016	0	1925
Moree Plains (A)	2016	1	11234
Mosman (A)	2006	0	5294
Mosman (A)	2006	1	20943
Mosman (A)	2011	0	5573
Mosman (A)	2011	1	21879
Mosman (A)	2016	0	5815
Mosman (A)	2016	1	22660
Murray River (A)	2006	0	910
Murray River (A)	2006	1	9872
Murray River (A)	2011	0	863
Murray River (A)	2011	1	10055
Murray River (A)	2016	0	1211
Murray River (A)	2016	1	10469
Murrumbidgee (A)	2006	0	309
Murrumbidgee (A)	2006	1	3836
Murrumbidgee (A)	2011	0	360
Murrumbidgee (A)	2011	1	3393
Murrumbidgee (A)	2016	0	552
Murrumbidgee (A)	2016	1	3284
Muswellbrook (A)	2006	0	1649
Muswellbrook (A)	2006	1	13587
Muswellbrook (A)	2011	0	2007
Muswellbrook (A)	2011	1	13786
Muswellbrook (A)	2016	0	2023
Muswellbrook (A)	2016	1	14063
Nambucca (A)	2006	0	1507
Nambucca (A)	2006	1	16387
Nambucca (A)	2011	0	1442
Nambucca (A)	2011	1	17201
Nambucca (A)	2016	0	1970
Nambucca (A)	2016	1	17242
Narrabri (A)	2006	0	937
Narrabri (A)	2006	1	12176
Narrabri (A)	2011	0	1012
Narrabri (A)	2011	1	11914
Narrabri (A)	2016	0	1678
Narrabri (A)	2016	1	11406
Narrandera (A)	2006	0	375
Narrandera (A)	2006	1	5636
Narrandera (A)	2011	0	531
Narrandera (A)	2011	1	5369
Narrandera (A)	2016	0	745
Narrandera (A)	2016	1	5108
Narromine (A)	2006	0	438
Narromine (A)	2006	1	6073
Narromine (A)	2011	0	479
Narromine (A)	2011	1	6105
Narromine (A)	2016	0	724
Narromine (A)	2016	1	5720
Newcastle (C)	2006	0	14186
Newcastle (C)	2006	1	127568
Newcastle (C)	2011	0	15290
Newcastle (C)	2011	1	133244
Newcastle (C)	2016	0	17368
Newcastle (C)	2016	1	138043
North Sydney (A)	2006	0	15549
North Sydney (A)	2006	1	42711
North Sydney (A)	2011	0	16207
North Sydney (A)	2011	1	46083
North Sydney (A)	2016	0	17396
North Sydney (A)	2016	1	50262
Northern Beaches (A)	2006	0	35444
Northern Beaches (A)	2006	1	189658
Northern Beaches (A)	2011	0	36273
Northern Beaches (A)	2011	1	201367
Northern Beaches (A)	2016	0	41352
Northern Beaches (A)	2016	1	211526
Oberon (A)	2006	0	576
Oberon (A)	2006	1	4453
Oberon (A)	2011	0	519
Oberon (A)	2011	1	4522
Oberon (A)	2016	0	871
Oberon (A)	2016	1	4430
Orange (C)	2006	0	3029
Orange (C)	2006	1	32309
Orange (C)	2011	0	3748
Orange (C)	2011	1	34308
Orange (C)	2016	0	4286
Orange (C)	2016	1	36058
Parkes (A)	2006	0	933
Parkes (A)	2006	1	13351
Parkes (A)	2011	0	1378
Parkes (A)	2011	1	13214
Parkes (A)	2016	0	1642
Parkes (A)	2016	1	12966
Parramatta (C)	2006	0	38353
Parramatta (C)	2006	1	136377
Parramatta (C)	2011	0	45952
Parramatta (C)	2011	1	148067
Parramatta (C)	2016	0	67114
Parramatta (C)	2016	1	159035
Penrith (C)	2006	0	20876
Penrith (C)	2006	1	151265
Penrith (C)	2011	0	21243
Penrith (C)	2011	1	157222
Penrith (C)	2016	0	27057
Penrith (C)	2016	1	169009
Port Macquarie-Hastings (A)	2006	0	5831
Port Macquarie-Hastings (A)	2006	1	62603
Port Macquarie-Hastings (A)	2011	0	6109
Port Macquarie-Hastings (A)	2011	1	66589
Port Macquarie-Hastings (A)	2016	0	7815
Port Macquarie-Hastings (A)	2016	1	70724
Port Stephens (A)	2006	0	5381
Port Stephens (A)	2006	1	55104
Port Stephens (A)	2011	0	6112
Port Stephens (A)	2011	1	58696
Port Stephens (A)	2016	0	7356
Port Stephens (A)	2016	1	62200
Queanbeyan-Palerang Regional (A)	2006	0	5128
Queanbeyan-Palerang Regional (A)	2006	1	43161
Queanbeyan-Palerang Regional (A)	2011	0	5525
Queanbeyan-Palerang Regional (A)	2011	1	46815
Queanbeyan-Palerang Regional (A)	2016	0	7322
Queanbeyan-Palerang Regional (A)	2016	1	48705
Randwick (C)	2006	0	29536
Randwick (C)	2006	1	90346
Randwick (C)	2011	0	33427
Randwick (C)	2011	1	95560
Randwick (C)	2016	0	41097
Randwick (C)	2016	1	99563
Richmond Valley (A)	2006	0	1344
Richmond Valley (A)	2006	1	19970
Richmond Valley (A)	2011	0	1551
Richmond Valley (A)	2011	1	20487
Richmond Valley (A)	2016	0	2185
Richmond Valley (A)	2016	1	20622
Rockdale (C)	2006	0	18562
Rockdale (C)	2006	1	73560
Rockdale (C)	2011	0	20141
Rockdale (C)	2011	1	77198
Rockdale (C)	2016	0	28892
Rockdale (C)	2016	1	80512
Ryde (C)	2006	0	18986
Ryde (C)	2006	1	77965
Ryde (C)	2011	0	21982
Ryde (C)	2011	1	81058
Ryde (C)	2016	0	30331
Ryde (C)	2016	1	85971
Shellharbour (C)	2006	0	6331
Shellharbour (C)	2006	1	54004
Shellharbour (C)	2011	0	5704
Shellharbour (C)	2011	1	57900
Shellharbour (C)	2016	0	6860
Shellharbour (C)	2016	1	61600
Shoalhaven (C)	2006	0	8217
Shoalhaven (C)	2006	1	80189
Shoalhaven (C)	2011	0	9061
Shoalhaven (C)	2011	1	83751
Shoalhaven (C)	2016	0	11068
Shoalhaven (C)	2016	1	88582
Singleton (A)	2006	0	1877
Singleton (A)	2006	1	20060
Singleton (A)	2011	0	1985
Singleton (A)	2011	1	20710
Singleton (A)	2016	0	2544
Singleton (A)	2016	1	20443
Snowy Monaro Regional (A)	2006	0	2853
Snowy Monaro Regional (A)	2006	1	16597
Snowy Monaro Regional (A)	2011	0	2491
Snowy Monaro Regional (A)	2011	1	17200
Snowy Monaro Regional (A)	2016	0	2701
Snowy Monaro Regional (A)	2016	1	17517
Snowy Valleys (A)	2006	0	1315
Snowy Valleys (A)	2006	1	13014
Snowy Valleys (A)	2011	0	1373
Snowy Valleys (A)	2011	1	12920
Snowy Valleys (A)	2016	0	1930
Snowy Valleys (A)	2016	1	12465
Strathfield (A)	2006	0	8490
Strathfield (A)	2006	1	23490
Strathfield (A)	2011	0	9864
Strathfield (A)	2011	1	25323
Strathfield (A)	2016	0	13680
Strathfield (A)	2016	1	26632
Sutherland Shire (A)	2006	0	19258
Sutherland Shire (A)	2006	1	186191
Sutherland Shire (A)	2011	0	19008
Sutherland Shire (A)	2011	1	191854
Sutherland Shire (A)	2016	0	21536
Sutherland Shire (A)	2016	1	196928
Sydney (C)	2006	0	67576
Sydney (C)	2006	1	88996
Sydney (C)	2011	0	64279
Sydney (C)	2011	1	105227
Sydney (C)	2016	0	91840
Sydney (C)	2016	1	116534
Tamworth Regional (A)	2006	0	3636
Tamworth Regional (A)	2006	1	49956
Tamworth Regional (A)	2011	0	4530
Tamworth Regional (A)	2011	1	51761
Tamworth Regional (A)	2016	0	6678
Tamworth Regional (A)	2016	1	52985
Temora (A)	2006	0	346
Temora (A)	2006	1	5511
Temora (A)	2011	0	322
Temora (A)	2011	1	5454
Temora (A)	2016	0	428
Temora (A)	2016	1	5682
Tenterfield (A)	2006	0	430
Tenterfield (A)	2006	1	6106
Tenterfield (A)	2011	0	571
Tenterfield (A)	2011	1	6238
Tenterfield (A)	2016	0	843
Tenterfield (A)	2016	1	5785
The Hills Shire (A)	2006	0	14759
The Hills Shire (A)	2006	1	117897
The Hills Shire (A)	2011	0	15861
The Hills Shire (A)	2011	1	126134
The Hills Shire (A)	2016	0	22112
The Hills Shire (A)	2016	1	135131
Tweed (A)	2006	0	8810
Tweed (A)	2006	1	70510
Tweed (A)	2011	0	9470
Tweed (A)	2011	1	75637
Tweed (A)	2016	0	11240
Tweed (A)	2016	1	80131
Upper Hunter Shire (A)	2006	0	978
Upper Hunter Shire (A)	2006	1	11996
Upper Hunter Shire (A)	2011	0	1163
Upper Hunter Shire (A)	2011	1	12588
Upper Hunter Shire (A)	2016	0	1850
Upper Hunter Shire (A)	2016	1	12262
Upper Lachlan Shire (A)	2006	0	582
Upper Lachlan Shire (A)	2006	1	6471
Upper Lachlan Shire (A)	2011	0	512
Upper Lachlan Shire (A)	2011	1	6680
Upper Lachlan Shire (A)	2016	0	768
Upper Lachlan Shire (A)	2016	1	6927
Uralla (A)	2006	0	353
Uralla (A)	2006	1	5384
Uralla (A)	2011	0	380
Uralla (A)	2011	1	5652
Uralla (A)	2016	0	500
Uralla (A)	2016	1	5548
Wagga Wagga (C)	2006	0	3941
Wagga Wagga (C)	2006	1	53071
Wagga Wagga (C)	2011	0	4687
Wagga Wagga (C)	2011	1	54772
Wagga Wagga (C)	2016	0	6707
Wagga Wagga (C)	2016	1	55678
Walcha (A)	2006	0	152
Walcha (A)	2006	1	3036
Walcha (A)	2011	0	157
Walcha (A)	2011	1	2864
Walcha (A)	2016	0	398
Walcha (A)	2016	1	2694
Walgett (A)	2006	0	788
Walgett (A)	2006	1	6154
Walgett (A)	2011	0	918
Walgett (A)	2011	1	5535
Walgett (A)	2016	0	926
Walgett (A)	2016	1	5181
Warren (A)	2006	0	178
Warren (A)	2006	1	2570
Warren (A)	2011	0	197
Warren (A)	2011	1	2562
Warren (A)	2016	0	336
Warren (A)	2016	1	2396
Warrumbungle Shire (A)	2006	0	708
Warrumbungle Shire (A)	2006	1	9100
Warrumbungle Shire (A)	2011	0	813
Warrumbungle Shire (A)	2011	1	8776
Warrumbungle Shire (A)	2016	0	1185
Warrumbungle Shire (A)	2016	1	8199
Waverley (A)	2006	0	17860
Waverley (A)	2006	1	42853
Waverley (A)	2011	0	17260
Waverley (A)	2011	1	46225
Waverley (A)	2016	0	19041
Waverley (A)	2016	1	47771
Weddin (A)	2006	0	187
Weddin (A)	2006	1	3449
Weddin (A)	2011	0	239
Weddin (A)	2011	1	3426
Weddin (A)	2016	0	402
Weddin (A)	2016	1	3262
Wentworth (A)	2006	0	514
Wentworth (A)	2006	1	6264
Wentworth (A)	2011	0	504
Wentworth (A)	2011	1	6106
Wentworth (A)	2016	0	821
Wentworth (A)	2016	1	5973
Western Plains Regional (A)	2006	0	4216
Western Plains Regional (A)	2006	1	41750
Western Plains Regional (A)	2011	0	4105
Western Plains Regional (A)	2011	1	43192
Western Plains Regional (A)	2016	0	6542
Western Plains Regional (A)	2016	1	43535
Willoughby (C)	2006	0	13971
Willoughby (C)	2006	1	49633
Willoughby (C)	2011	0	15154
Willoughby (C)	2011	1	52201
Willoughby (C)	2016	0	19324
Willoughby (C)	2016	1	54978
Wingecarribee (A)	2006	0	4416
Wingecarribee (A)	2006	1	37856
Wingecarribee (A)	2011	0	4157
Wingecarribee (A)	2011	1	40239
Wingecarribee (A)	2016	0	5539
Wingecarribee (A)	2016	1	42343
Wollondilly (A)	2006	0	3872
Wollondilly (A)	2006	1	36472
Wollondilly (A)	2011	0	3809
Wollondilly (A)	2011	1	39452
Wollondilly (A)	2016	0	4326
Wollondilly (A)	2016	1	44193
Wollongong (C)	2006	0	21849
Wollongong (C)	2006	1	162361
Wollongong (C)	2011	0	23213
Wollongong (C)	2011	1	169206
Wollongong (C)	2016	0	27061
Wollongong (C)	2016	1	176569
Woollahra (A)	2006	0	11714
Woollahra (A)	2006	1	38448
Woollahra (A)	2011	0	11454
Woollahra (A)	2011	1	40705
Woollahra (A)	2016	0	11484
Woollahra (A)	2016	1	42756
Yass Valley (A)	2006	0	908
Yass Valley (A)	2006	1	12225
Yass Valley (A)	2011	0	1156
Yass Valley (A)	2011	1	13864
Yass Valley (A)	2016	0	1437
Yass Valley (A)	2016	1	14705
Unincorporated NSW	2006	0	57
Unincorporated NSW	2006	1	998
Unincorporated NSW	2011	0	80
Unincorporated NSW	2011	1	977
Unincorporated NSW	2016	0	154
Unincorporated NSW	2016	1	902
No usual address (NSW)	2006	1	7612
No usual address (NSW)	2011	1	8624
No usual address (NSW)	2016	1	7203
Migratory - Offshore - Shipping (NSW)	2006	1	48
Migratory - Offshore - Shipping (NSW)	2011	1	102
Migratory - Offshore - Shipping (NSW)	2016	1	325
Alpine (S)	2006	0	1091
Alpine (S)	2006	1	10906
Alpine (S)	2011	0	1035
Alpine (S)	2011	1	10845
Alpine (S)	2016	0	1542
Alpine (S)	2016	1	10795
Ararat (RC)	2006	0	1034
