LGA_NAME16	Year	SameAddress1YearAgo	persons
Clarence Valley (A)	2016	0	6566
Clarence Valley (A)	2016	1	39028
Cobar (A)	2006		455
Cobar (A)	2006	0	927
Cobar (A)	2006	1	3533
Cobar (A)	2011		410
Cobar (A)	2011	0	853
Cobar (A)	2011	1	3450
Cobar (A)	2016		670
Cobar (A)	2016	0	606
Cobar (A)	2016	1	3371
Coffs Harbour (C)	2006		3336
Coffs Harbour (C)	2006	0	11034
Coffs Harbour (C)	2006	1	50543
Coffs Harbour (C)	2011		3628
Coffs Harbour (C)	2011	0	11344
Coffs Harbour (C)	2011	1	53442
Coffs Harbour (C)	2016		7354
Coffs Harbour (C)	2016	0	11139
Coffs Harbour (C)	2016	1	54451
Coolamon (A)	2006		170
Coolamon (A)	2006	0	452
Coolamon (A)	2006	1	3410
Coolamon (A)	2011		242
Coolamon (A)	2011	0	445
Coolamon (A)	2011	1	3413
Coolamon (A)	2016		574
Coolamon (A)	2016	0	463
Coolamon (A)	2016	1	3278
Coonamble (A)	2006		209
Coonamble (A)	2006	0	610
Coonamble (A)	2006	1	3393
Coonamble (A)	2011		270
Coonamble (A)	2011	0	519
Coonamble (A)	2011	1	3242
Coonamble (A)	2016		714
Coonamble (A)	2016	0	430
Coonamble (A)	2016	1	2774
Cowra (A)	2006		598
Cowra (A)	2006	0	1732
Cowra (A)	2006	1	10148
Cowra (A)	2011		818
Cowra (A)	2011	0	1447
Cowra (A)	2011	1	9881
Cowra (A)	2016		1302
Cowra (A)	2016	0	1406
Cowra (A)	2016	1	9752
Cumberland (A)	2006		15269
Cumberland (A)	2006	0	23663
Cumberland (A)	2006	1	135192
Cumberland (A)	2011		14938
Cumberland (A)	2011	0	24790
Cumberland (A)	2011	1	153496
Cumberland (A)	2016		18155
Cumberland (A)	2016	0	31812
Cumberland (A)	2016	1	166112
Dungog (A)	2006		476
Dungog (A)	2006	0	829
Dungog (A)	2006	1	6755
Dungog (A)	2011		407
Dungog (A)	2011	0	876
Dungog (A)	2011	1	7034
Dungog (A)	2016		777
Dungog (A)	2016	0	941
Dungog (A)	2016	1	7257
Edward River (A)	2006		537
Edward River (A)	2006	0	1362
Edward River (A)	2006	1	7211
Edward River (A)	2011		537
Edward River (A)	2011	0	1134
Edward River (A)	2011	1	6988
Edward River (A)	2016		1078
Edward River (A)	2016	0	1034
Edward River (A)	2016	1	6739
Eurobodalla (A)	2006		1747
Eurobodalla (A)	2006	0	5195
Eurobodalla (A)	2006	1	28071
Eurobodalla (A)	2011		2165
Eurobodalla (A)	2011	0	4973
Eurobodalla (A)	2011	1	28601
Eurobodalla (A)	2016		3781
Eurobodalla (A)	2016	0	4859
Eurobodalla (A)	2016	1	28592
Fairfield (C)	2006		12104
Fairfield (C)	2006	0	17152
Fairfield (C)	2006	1	150636
Fairfield (C)	2011		9841
Fairfield (C)	2011	0	18214
Fairfield (C)	2011	1	159711
Fairfield (C)	2016		13816
Fairfield (C)	2016	0	21142
Fairfield (C)	2016	1	163859
Federation (A)	2006		641
Federation (A)	2006	0	1641
Federation (A)	2006	1	9954
Federation (A)	2011		612
Federation (A)	2011	0	1401
Federation (A)	2011	1	10143
Federation (A)	2016		1315
Federation (A)	2016	0	1511
Federation (A)	2016	1	9451
Forbes (A)	2006		498
Forbes (A)	2006	0	1325
Forbes (A)	2006	1	7538
Forbes (A)	2011		426
Forbes (A)	2011	0	1228
Forbes (A)	2011	1	7515
Forbes (A)	2016		1077
Forbes (A)	2016	0	1146
Forbes (A)	2016	1	7364
Georges River (A)	2006		8106
Georges River (A)	2006	0	16025
Georges River (A)	2006	1	102132
Georges River (A)	2011		6777
Georges River (A)	2011	0	16491
Georges River (A)	2011	1	111387
Georges River (A)	2016		10272
Georges River (A)	2016	0	21304
Georges River (A)	2016	1	115265
Gilgandra (A)	2006		251
Gilgandra (A)	2006	0	585
Gilgandra (A)	2006	1	3683
Gilgandra (A)	2011		308
Gilgandra (A)	2011	0	447
Gilgandra (A)	2011	1	3613
Gilgandra (A)	2016		424
Gilgandra (A)	2016	0	438
Gilgandra (A)	2016	1	3374
Glen Innes Severn (A)	2006		608
Glen Innes Severn (A)	2006	0	1238
Glen Innes Severn (A)	2006	1	6936
Glen Innes Severn (A)	2011		582
Glen Innes Severn (A)	2011	0	1209
Glen Innes Severn (A)	2011	1	6864
Glen Innes Severn (A)	2016		1196
Glen Innes Severn (A)	2016	0	1070
Glen Innes Severn (A)	2016	1	6570
Goulburn Mulwaree (A)	2006		2001
Goulburn Mulwaree (A)	2006	0	3743
Goulburn Mulwaree (A)	2006	1	20340
Goulburn Mulwaree (A)	2011		1918
Goulburn Mulwaree (A)	2011	0	3765
Goulburn Mulwaree (A)	2011	1	21797
Goulburn Mulwaree (A)	2016		3402
Goulburn Mulwaree (A)	2016	0	4083
Goulburn Mulwaree (A)	2016	1	22124
Greater Hume Shire (A)	2006		452
Greater Hume Shire (A)	2006	0	1123
Greater Hume Shire (A)	2006	1	8152
Greater Hume Shire (A)	2011		564
Greater Hume Shire (A)	2011	0	1018
Greater Hume Shire (A)	2011	1	8235
Greater Hume Shire (A)	2016		896
Greater Hume Shire (A)	2016	0	1040
Greater Hume Shire (A)	2016	1	8415
Griffith (C)	2006		1712
Griffith (C)	2006	0	3529
Griffith (C)	2006	1	18557
Griffith (C)	2011		1818
Griffith (C)	2011	0	2976
Griffith (C)	2011	1	19569
Griffith (C)	2016		3182
Griffith (C)	2016	0	3270
Griffith (C)	2016	1	19189
Gundagai (A)	2006		438
Gundagai (A)	2006	0	1266
Gundagai (A)	2006	1	9302
Gundagai (A)	2011		605
Gundagai (A)	2011	0	1275
Gundagai (A)	2011	1	9119
Gundagai (A)	2016		1043
Gundagai (A)	2016	0	1295
Gundagai (A)	2016	1	8803
Gunnedah (A)	2006		582
Gunnedah (A)	2006	0	1567
Gunnedah (A)	2006	1	9375
Gunnedah (A)	2011		864
Gunnedah (A)	2011	0	1665
Gunnedah (A)	2011	1	9536
Gunnedah (A)	2016		1231
Gunnedah (A)	2016	0	1684
Gunnedah (A)	2016	1	9300
Gwydir (A)	2006		229
Gwydir (A)	2006	0	692
Gwydir (A)	2006	1	4389
Gwydir (A)	2011		170
Gwydir (A)	2011	0	571
Gwydir (A)	2011	1	4224
Gwydir (A)	2016		648
Gwydir (A)	2016	0	604
Gwydir (A)	2016	1	4006
Hawkesbury (C)	2006		4052
Hawkesbury (C)	2006	0	7127
Hawkesbury (C)	2006	1	49378
Hawkesbury (C)	2011		3723
Hawkesbury (C)	2011	0	7152
Hawkesbury (C)	2011	1	51478
Hawkesbury (C)	2016		5744
Hawkesbury (C)	2016	0	7575
Hawkesbury (C)	2016	1	51273
Hay (A)	2006		158
Hay (A)	2006	0	477
Hay (A)	2006	1	2744
Hay (A)	2011		147
Hay (A)	2011	0	369
Hay (A)	2011	1	2442
Hay (A)	2016		399
Hay (A)	2016	0	323
Hay (A)	2016	1	2224
Hilltops (A)	2006		768
Hilltops (A)	2006	0	2521
Hilltops (A)	2006	1	14572
Hilltops (A)	2011		1104
Hilltops (A)	2011	0	2377
Hilltops (A)	2011	1	14732
Hilltops (A)	2016		1642
Hilltops (A)	2016	0	2326
Hilltops (A)	2016	1	14530
Hornsby (A)	2006		5782
Hornsby (A)	2006	0	16389
Hornsby (A)	2006	1	110085
Hornsby (A)	2011		5195
Hornsby (A)	2011	0	15228
Hornsby (A)	2011	1	116814
Hornsby (A)	2016		8550
Hornsby (A)	2016	0	17095
Hornsby (A)	2016	1	117022
Hunters Hill (A)	2006		999
Hunters Hill (A)	2006	0	1653
Hunters Hill (A)	2006	1	10590
Hunters Hill (A)	2011		603
Hunters Hill (A)	2011	0	1722
Hunters Hill (A)	2011	1	10891
Hunters Hill (A)	2016		1160
Hunters Hill (A)	2016	0	1709
Hunters Hill (A)	2016	1	11130
Inner West (A)	2006		15940
Inner West (A)	2006	0	28567
Inner West (A)	2006	1	115755
Inner West (A)	2011		13147
Inner West (A)	2011	0	28658
Inner West (A)	2011	1	128112
Inner West (A)	2016		19001
Inner West (A)	2016	0	31816
Inner West (A)	2016	1	131226
Inverell (A)	2006		793
Inverell (A)	2006	0	2472
Inverell (A)	2006	1	12240
Inverell (A)	2011		767
Inverell (A)	2011	0	2464
Inverell (A)	2011	1	12846
Inverell (A)	2016		1714
Inverell (A)	2016	0	2356
Inverell (A)	2016	1	12413
Junee (A)	2006		1043
Junee (A)	2006	0	579
Junee (A)	2006	1	4155
Junee (A)	2011		1065
Junee (A)	2011	0	688
Junee (A)	2011	1	4126
Junee (A)	2016		1496
Junee (A)	2016	0	633
Junee (A)	2016	1	4166
Kempsey (A)	2006		2053
Kempsey (A)	2006	0	3605
Kempsey (A)	2006	1	21727
Kempsey (A)	2011		2145
Kempsey (A)	2011	0	3419
Kempsey (A)	2011	1	22570
Kempsey (A)	2016		3737
Kempsey (A)	2016	0	3508
Kempsey (A)	2016	1	21640
Kiama (A)	2006		842
Kiama (A)	2006	0	2332
Kiama (A)	2006	1	15809
Kiama (A)	2011		768
Kiama (A)	2011	0	2675
Kiama (A)	2011	1	16542
Kiama (A)	2016		1898
Kiama (A)	2016	0	2557
Kiama (A)	2016	1	17009
Ku-ring-gai (A)	2006		3918
Ku-ring-gai (A)	2006	0	11762
Ku-ring-gai (A)	2006	1	85402
Ku-ring-gai (A)	2011		4570
Ku-ring-gai (A)	2011	0	14191
Ku-ring-gai (A)	2011	1	90538
Ku-ring-gai (A)	2016		7215
Ku-ring-gai (A)	2016	0	15620
Ku-ring-gai (A)	2016	1	95218
Kyogle (A)	2006		440
Kyogle (A)	2006	0	1144
Kyogle (A)	2006	1	7673
Kyogle (A)	2011		501
Kyogle (A)	2011	0	1132
Kyogle (A)	2011	1	7594
Kyogle (A)	2016		989
Kyogle (A)	2016	0	976
Kyogle (A)	2016	1	6975
Lachlan (A)	2006		346
Lachlan (A)	2006	0	823
Lachlan (A)	2006	1	5503
Lachlan (A)	2011		368
Lachlan (A)	2011	0	728
Lachlan (A)	2011	1	5381
Lachlan (A)	2016		876
Lachlan (A)	2016	0	647
Lachlan (A)	2016	1	4671
Lake Macquarie (C)	2006		8918
Lake Macquarie (C)	2006	0	21824
Lake Macquarie (C)	2006	1	152400
Lake Macquarie (C)	2011		8380
Lake Macquarie (C)	2011	0	22433
Lake Macquarie (C)	2011	1	158192
Lake Macquarie (C)	2016		14583
Lake Macquarie (C)	2016	0	24250
Lake Macquarie (C)	2016	1	158538
Lane Cove (A)	2006		2224
Lane Cove (A)	2006	0	4640
Lane Cove (A)	2006	1	23563
Lane Cove (A)	2011		1480
Lane Cove (A)	2011	0	4896
Lane Cove (A)	2011	1	25134
Lane Cove (A)	2016		2846
Lane Cove (A)	2016	0	6727
Lane Cove (A)	2016	1	26478
Leeton (A)	2006		769
Leeton (A)	2006	0	1429
Leeton (A)	2006	1	8911
Leeton (A)	2011		781
Leeton (A)	2011	0	1505
Leeton (A)	2011	1	8753
Leeton (A)	2016		1293
Leeton (A)	2016	0	1377
Leeton (A)	2016	1	8498
Lismore (C)	2006		2214
Lismore (C)	2006	0	7139
Lismore (C)	2006	1	32856
Lismore (C)	2011		2218
Lismore (C)	2011	0	6205
Lismore (C)	2011	1	34341
Lismore (C)	2016		4633
Lismore (C)	2016	0	5552
Lismore (C)	2016	1	32950
Lithgow (C)	2006		1476
Lithgow (C)	2006	0	2319
Lithgow (C)	2006	1	15965
Lithgow (C)	2011		1578
Lithgow (C)	2011	0	2090
Lithgow (C)	2011	1	16494
Lithgow (C)	2016		3003
Lithgow (C)	2016	0	2205
Lithgow (C)	2016	1	15882
Liverpool (C)	2006		14120
Liverpool (C)	2006	0	19295
Liverpool (C)	2006	1	131186
Liverpool (C)	2011		12548
Liverpool (C)	2011	0	20339
Liverpool (C)	2011	1	147254
Liverpool (C)	2016		19609
Liverpool (C)	2016	0	23543
Liverpool (C)	2016	1	161174
Liverpool Plains (A)	2006		537
Liverpool Plains (A)	2006	0	942
Liverpool Plains (A)	2006	1	6058
Liverpool Plains (A)	2011		446
Liverpool Plains (A)	2011	0	926
Liverpool Plains (A)	2011	1	6107
Liverpool Plains (A)	2016		855
Liverpool Plains (A)	2016	0	904
Liverpool Plains (A)	2016	1	5928
Lockhart (A)	2006		115
Lockhart (A)	2006	0	273
Lockhart (A)	2006	1	2794
Lockhart (A)	2011		126
Lockhart (A)	2011	0	253
Lockhart (A)	2011	1	2617
Lockhart (A)	2016		334
Lockhart (A)	2016	0	251
Lockhart (A)	2016	1	2534
Maitland (C)	2006		3518
Maitland (C)	2006	0	8896
Maitland (C)	2006	1	49469
Maitland (C)	2011		3512
Maitland (C)	2011	0	9365
Maitland (C)	2011	1	54602
Maitland (C)	2016		6428
Maitland (C)	2016	0	11179
Maitland (C)	2016	1	59698
Mid-Coast (A)	2006		4057
Mid-Coast (A)	2006	0	11520
Mid-Coast (A)	2006	1	67130
Mid-Coast (A)	2011		4894
Mid-Coast (A)	2011	0	11981
Mid-Coast (A)	2011	1	68973
Mid-Coast (A)	2016		8346
Mid-Coast (A)	2016	0	12398
Mid-Coast (A)	2016	1	69559
Mid-Western Regional (A)	2006		1260
Mid-Western Regional (A)	2006	0	2859
Mid-Western Regional (A)	2006	1	16969
Mid-Western Regional (A)	2011		1444
Mid-Western Regional (A)	2011	0	3518
Mid-Western Regional (A)	2011	1	17358
Mid-Western Regional (A)	2016		3033
Mid-Western Regional (A)	2016	0	3286
Mid-Western Regional (A)	2016	1	17757
Moree Plains (A)	2006		1501
Moree Plains (A)	2006	0	2280
Moree Plains (A)	2006	1	10192
Moree Plains (A)	2011		1349
Moree Plains (A)	2011	0	1852
Moree Plains (A)	2011	1	10227
Moree Plains (A)	2016		1947
Moree Plains (A)	2016	0	1548
Moree Plains (A)	2016	1	9664
Mosman (A)	2006		2193
Mosman (A)	2006	0	4577
Mosman (A)	2006	1	19467
Mosman (A)	2011		2145
Mosman (A)	2011	0	4738
Mosman (A)	2011	1	20569
Mosman (A)	2016		2825
Mosman (A)	2016	0	4525
Mosman (A)	2016	1	21125
Murray River (A)	2006		691
Murray River (A)	2006	0	1629
Murray River (A)	2006	1	8462
Murray River (A)	2011		644
Murray River (A)	2011	0	1380
Murray River (A)	2011	1	8894
Murray River (A)	2016		1158
Murray River (A)	2016	0	1584
Murray River (A)	2016	1	8938
Murrumbidgee (A)	2006		231
Murrumbidgee (A)	2006	0	599
Murrumbidgee (A)	2006	1	3315
Murrumbidgee (A)	2011		246
Murrumbidgee (A)	2011	0	477
Murrumbidgee (A)	2011	1	3030
Murrumbidgee (A)	2016		525
Murrumbidgee (A)	2016	0	359
Murrumbidgee (A)	2016	1	2952
Muswellbrook (A)	2006		1355
Muswellbrook (A)	2006	0	2494
Muswellbrook (A)	2006	1	11387
Muswellbrook (A)	2011		1434
Muswellbrook (A)	2011	0	2741
Muswellbrook (A)	2011	1	11618
Muswellbrook (A)	2016		1818
Muswellbrook (A)	2016	0	2372
Muswellbrook (A)	2016	1	11896
Nambucca (A)	2006		1058
Nambucca (A)	2006	0	2620
Nambucca (A)	2006	1	14216
Nambucca (A)	2011		926
Nambucca (A)	2011	0	2424
Nambucca (A)	2011	1	15293
Nambucca (A)	2016		1951
Nambucca (A)	2016	0	2407
Nambucca (A)	2016	1	14854
Narrabri (A)	2006		832
Narrabri (A)	2006	0	1838
Narrabri (A)	2006	1	10443
Narrabri (A)	2011		901
Narrabri (A)	2011	0	1715
Narrabri (A)	2011	1	10310
Narrabri (A)	2016		1793
Narrabri (A)	2016	0	1395
Narrabri (A)	2016	1	9896
Narrandera (A)	2006		308
Narrandera (A)	2006	0	731
Narrandera (A)	2006	1	4972
Narrandera (A)	2011		445
Narrandera (A)	2011	0	633
Narrandera (A)	2011	1	4822
Narrandera (A)	2016		800
Narrandera (A)	2016	0	711
Narrandera (A)	2016	1	4342
Narromine (A)	2006		363
Narromine (A)	2006	0	974
Narromine (A)	2006	1	5174
Narromine (A)	2011		388
Narromine (A)	2011	0	879
Narromine (A)	2011	1	5317
Narromine (A)	2016		778
Narromine (A)	2016	0	705
Narromine (A)	2016	1	4961
Newcastle (C)	2006		9353
Newcastle (C)	2006	0	23363
Newcastle (C)	2006	1	109038
Newcastle (C)	2011		8626
Newcastle (C)	2011	0	23742
Newcastle (C)	2011	1	116166
Newcastle (C)	2016		12219
Newcastle (C)	2016	0	26287
Newcastle (C)	2016	1	116905
North Sydney (A)	2006		6929
North Sydney (A)	2006	0	13617
North Sydney (A)	2006	1	37714
North Sydney (A)	2011		6148
North Sydney (A)	2011	0	13474
North Sydney (A)	2011	1	42668
North Sydney (A)	2016		7619
North Sydney (A)	2016	0	13828
North Sydney (A)	2016	1	46211
Northern Beaches (A)	2006		15577
Northern Beaches (A)	2006	0	32790
Northern Beaches (A)	2006	1	176735
Northern Beaches (A)	2011		12890
Northern Beaches (A)	2011	0	34488
Northern Beaches (A)	2011	1	190262
Northern Beaches (A)	2016		21045
Northern Beaches (A)	2016	0	33034
Northern Beaches (A)	2016	1	198799
Oberon (A)	2006		378
Oberon (A)	2006	0	607
Oberon (A)	2006	1	4044
Oberon (A)	2011		354
Oberon (A)	2011	0	606
Oberon (A)	2011	1	4081
Oberon (A)	2016		780
Oberon (A)	2016	0	638
Oberon (A)	2016	1	3883
Orange (C)	2006		2260
Orange (C)	2006	0	5976
Orange (C)	2006	1	27102
Orange (C)	2011		2612
Orange (C)	2011	0	6288
Orange (C)	2011	1	29156
Orange (C)	2016		3884
Orange (C)	2016	0	6607
Orange (C)	2016	1	29853
Parkes (A)	2006		686
Parkes (A)	2006	0	2061
Parkes (A)	2006	1	11537
Parkes (A)	2011		1093
Parkes (A)	2011	0	1846
Parkes (A)	2011	1	11653
Parkes (A)	2016		1730
Parkes (A)	2016	0	1751
Parkes (A)	2016	1	11127
Parramatta (C)	2006		15124
Parramatta (C)	2006	0	26297
Parramatta (C)	2006	1	133309
Parramatta (C)	2011		13791
Parramatta (C)	2011	0	28405
Parramatta (C)	2011	1	151823
Parramatta (C)	2016		20839
Parramatta (C)	2016	0	39223
Parramatta (C)	2016	1	166087
Penrith (C)	2006		10832
Penrith (C)	2006	0	20988
Penrith (C)	2006	1	140321
Penrith (C)	2011		10552
Penrith (C)	2011	0	20039
Penrith (C)	2011	1	147874
Penrith (C)	2016		18383
Penrith (C)	2016	0	25066
Penrith (C)	2016	1	152617
Port Macquarie-Hastings (A)	2006		3680
Port Macquarie-Hastings (A)	2006	0	10982
Port Macquarie-Hastings (A)	2006	1	53772
Port Macquarie-Hastings (A)	2011		3760
Port Macquarie-Hastings (A)	2011	0	11243
Port Macquarie-Hastings (A)	2011	1	57695
Port Macquarie-Hastings (A)	2016		7259
Port Macquarie-Hastings (A)	2016	0	11357
Port Macquarie-Hastings (A)	2016	1	59923
Port Stephens (A)	2006		3642
Port Stephens (A)	2006	0	9254
Port Stephens (A)	2006	1	47589
Port Stephens (A)	2011		4051
Port Stephens (A)	2011	0	9207
Port Stephens (A)	2011	1	51550
Port Stephens (A)	2016		6887
Port Stephens (A)	2016	0	9791
Port Stephens (A)	2016	1	52878
