LGA_NAME16	Year	Sex	overseas_visitors
Forbes (A)	2006	F	8
Forbes (A)	2006	M	8
Forbes (A)	2011	F	3
Forbes (A)	2011	M	11
Forbes (A)	2016	F	11
Forbes (A)	2016	M	7
Georges River (A)	2006	F	619
Georges River (A)	2006	M	419
Georges River (A)	2011	F	860
Georges River (A)	2011	M	579
Georges River (A)	2016	F	1571
Georges River (A)	2016	M	1066
Gilgandra (A)	2006	F	0
Gilgandra (A)	2006	M	0
Gilgandra (A)	2011	F	0
Gilgandra (A)	2011	M	3
Gilgandra (A)	2016	F	0
Gilgandra (A)	2016	M	3
Glen Innes Severn (A)	2006	F	10
Glen Innes Severn (A)	2006	M	4
Glen Innes Severn (A)	2011	F	16
Glen Innes Severn (A)	2011	M	10
Glen Innes Severn (A)	2016	F	6
Glen Innes Severn (A)	2016	M	3
Goulburn Mulwaree (A)	2006	F	42
Goulburn Mulwaree (A)	2006	M	58
Goulburn Mulwaree (A)	2011	F	48
Goulburn Mulwaree (A)	2011	M	41
Goulburn Mulwaree (A)	2016	F	79
Goulburn Mulwaree (A)	2016	M	55
Greater Hume Shire (A)	2006	F	17
Greater Hume Shire (A)	2006	M	8
Greater Hume Shire (A)	2011	F	12
Greater Hume Shire (A)	2011	M	7
Greater Hume Shire (A)	2016	F	11
Greater Hume Shire (A)	2016	M	9
Griffith (C)	2006	F	82
Griffith (C)	2006	M	79
Griffith (C)	2011	F	62
Griffith (C)	2011	M	116
Griffith (C)	2016	F	196
Griffith (C)	2016	M	176
Gundagai (A)	2006	F	10
Gundagai (A)	2006	M	10
Gundagai (A)	2011	F	11
Gundagai (A)	2011	M	12
Gundagai (A)	2016	F	28
Gundagai (A)	2016	M	21
Gunnedah (A)	2006	F	10
Gunnedah (A)	2006	M	6
Gunnedah (A)	2011	F	11
Gunnedah (A)	2011	M	20
Gunnedah (A)	2016	F	12
Gunnedah (A)	2016	M	24
Gwydir (A)	2006	F	13
Gwydir (A)	2006	M	9
Gwydir (A)	2011	F	6
Gwydir (A)	2011	M	9
Gwydir (A)	2016	F	27
Gwydir (A)	2016	M	12
Hawkesbury (C)	2006	F	109
Hawkesbury (C)	2006	M	86
Hawkesbury (C)	2011	F	105
Hawkesbury (C)	2011	M	95
Hawkesbury (C)	2016	F	120
Hawkesbury (C)	2016	M	92
Hay (A)	2006	F	6
Hay (A)	2006	M	7
Hay (A)	2011	F	9
Hay (A)	2011	M	6
Hay (A)	2016	F	13
Hay (A)	2016	M	4
Hilltops (A)	2006	F	10
Hilltops (A)	2006	M	17
Hilltops (A)	2011	F	19
Hilltops (A)	2011	M	5
Hilltops (A)	2016	F	28
Hilltops (A)	2016	M	25
Hornsby (A)	2006	F	587
Hornsby (A)	2006	M	433
Hornsby (A)	2011	F	729
Hornsby (A)	2011	M	514
Hornsby (A)	2016	F	1097
Hornsby (A)	2016	M	754
Hunters Hill (A)	2006	F	72
Hunters Hill (A)	2006	M	50
Hunters Hill (A)	2011	F	60
Hunters Hill (A)	2011	M	45
Hunters Hill (A)	2016	F	67
Hunters Hill (A)	2016	M	50
Inner West (A)	2006	F	984
Inner West (A)	2006	M	803
Inner West (A)	2011	F	929
Inner West (A)	2011	M	749
Inner West (A)	2016	F	1232
Inner West (A)	2016	M	998
Inverell (A)	2006	F	28
Inverell (A)	2006	M	9
Inverell (A)	2011	F	13
Inverell (A)	2011	M	15
Inverell (A)	2016	F	53
Inverell (A)	2016	M	29
Junee (A)	2006	F	3
Junee (A)	2006	M	0
Junee (A)	2011	F	4
Junee (A)	2011	M	4
Junee (A)	2016	F	13
Junee (A)	2016	M	9
Kempsey (A)	2006	F	24
Kempsey (A)	2006	M	26
Kempsey (A)	2011	F	39
Kempsey (A)	2011	M	39
Kempsey (A)	2016	F	68
Kempsey (A)	2016	M	54
Kiama (A)	2006	F	37
Kiama (A)	2006	M	20
Kiama (A)	2011	F	44
Kiama (A)	2011	M	39
Kiama (A)	2016	F	72
Kiama (A)	2016	M	31
Ku-ring-gai (A)	2006	F	616
Ku-ring-gai (A)	2006	M	460
Ku-ring-gai (A)	2011	F	663
Ku-ring-gai (A)	2011	M	565
Ku-ring-gai (A)	2016	F	1180
Ku-ring-gai (A)	2016	M	856
Kyogle (A)	2006	F	8
Kyogle (A)	2006	M	16
Kyogle (A)	2011	F	13
Kyogle (A)	2011	M	7
Kyogle (A)	2016	F	18
Kyogle (A)	2016	M	19
Lachlan (A)	2006	F	10
Lachlan (A)	2006	M	7
Lachlan (A)	2011	F	11
Lachlan (A)	2011	M	12
Lachlan (A)	2016	F	8
Lachlan (A)	2016	M	9
Lake Macquarie (C)	2006	F	276
Lake Macquarie (C)	2006	M	211
Lake Macquarie (C)	2011	F	241
Lake Macquarie (C)	2011	M	198
Lake Macquarie (C)	2016	F	318
Lake Macquarie (C)	2016	M	222
Lane Cove (A)	2006	F	244
Lane Cove (A)	2006	M	192
Lane Cove (A)	2011	F	204
Lane Cove (A)	2011	M	187
Lane Cove (A)	2016	F	384
Lane Cove (A)	2016	M	229
Leeton (A)	2006	F	21
Leeton (A)	2006	M	15
Leeton (A)	2011	F	22
Leeton (A)	2011	M	18
Leeton (A)	2016	F	19
Leeton (A)	2016	M	19
Lismore (C)	2006	F	151
Lismore (C)	2006	M	117
Lismore (C)	2011	F	124
Lismore (C)	2011	M	98
Lismore (C)	2016	F	142
Lismore (C)	2016	M	104
Lithgow (C)	2006	F	24
Lithgow (C)	2006	M	11
Lithgow (C)	2011	F	37
Lithgow (C)	2011	M	20
Lithgow (C)	2016	F	21
Lithgow (C)	2016	M	26
Liverpool (C)	2006	F	319
Liverpool (C)	2006	M	202
Liverpool (C)	2011	F	512
Liverpool (C)	2011	M	312
Liverpool (C)	2016	F	849
Liverpool (C)	2016	M	614
Liverpool Plains (A)	2006	F	12
Liverpool Plains (A)	2006	M	3
Liverpool Plains (A)	2011	F	10
Liverpool Plains (A)	2011	M	0
Liverpool Plains (A)	2016	F	8
Liverpool Plains (A)	2016	M	9
Lockhart (A)	2006	F	0
Lockhart (A)	2006	M	3
Lockhart (A)	2011	F	9
Lockhart (A)	2011	M	4
Lockhart (A)	2016	F	4
Lockhart (A)	2016	M	6
Maitland (C)	2006	F	55
Maitland (C)	2006	M	49
Maitland (C)	2011	F	53
Maitland (C)	2011	M	55
Maitland (C)	2016	F	106
Maitland (C)	2016	M	80
Mid-Coast (A)	2006	F	124
Mid-Coast (A)	2006	M	83
Mid-Coast (A)	2011	F	114
Mid-Coast (A)	2011	M	94
Mid-Coast (A)	2016	F	155
Mid-Coast (A)	2016	M	124
Mid-Western Regional (A)	2006	F	33
Mid-Western Regional (A)	2006	M	22
Mid-Western Regional (A)	2011	F	35
Mid-Western Regional (A)	2011	M	23
Mid-Western Regional (A)	2016	F	44
Mid-Western Regional (A)	2016	M	22
Moree Plains (A)	2006	F	9
Moree Plains (A)	2006	M	5
Moree Plains (A)	2011	F	25
Moree Plains (A)	2011	M	44
Moree Plains (A)	2016	F	58
Moree Plains (A)	2016	M	25
Mosman (A)	2006	F	192
Mosman (A)	2006	M	138
Mosman (A)	2011	F	197
Mosman (A)	2011	M	147
Mosman (A)	2016	F	240
Mosman (A)	2016	M	158
Murray River (A)	2006	F	20
Murray River (A)	2006	M	17
Murray River (A)	2011	F	17
Murray River (A)	2011	M	20
Murray River (A)	2016	F	23
Murray River (A)	2016	M	7
Murrumbidgee (A)	2006	F	3
Murrumbidgee (A)	2006	M	3
Murrumbidgee (A)	2011	F	5
Murrumbidgee (A)	2011	M	9
Murrumbidgee (A)	2016	F	19
Murrumbidgee (A)	2016	M	17
Muswellbrook (A)	2006	F	18
Muswellbrook (A)	2006	M	27
Muswellbrook (A)	2011	F	22
Muswellbrook (A)	2011	M	12
Muswellbrook (A)	2016	F	42
Muswellbrook (A)	2016	M	29
Nambucca (A)	2006	F	62
Nambucca (A)	2006	M	43
Nambucca (A)	2011	F	25
Nambucca (A)	2011	M	12
Nambucca (A)	2016	F	24
Nambucca (A)	2016	M	25
Narrabri (A)	2006	F	14
Narrabri (A)	2006	M	18
Narrabri (A)	2011	F	10
Narrabri (A)	2011	M	24
Narrabri (A)	2016	F	14
Narrabri (A)	2016	M	11
Narrandera (A)	2006	F	10
Narrandera (A)	2006	M	4
Narrandera (A)	2011	F	6
Narrandera (A)	2011	M	8
Narrandera (A)	2016	F	19
Narrandera (A)	2016	M	18
Narromine (A)	2006	F	5
Narromine (A)	2006	M	8
Narromine (A)	2011	F	8
Narromine (A)	2011	M	9
Narromine (A)	2016	F	4
Narromine (A)	2016	M	3
Newcastle (C)	2006	F	493
Newcastle (C)	2006	M	463
Newcastle (C)	2011	F	521
Newcastle (C)	2011	M	543
Newcastle (C)	2016	F	726
Newcastle (C)	2016	M	526
North Sydney (A)	2006	F	633
North Sydney (A)	2006	M	672
North Sydney (A)	2011	F	623
North Sydney (A)	2011	M	565
North Sydney (A)	2016	F	687
North Sydney (A)	2016	M	586
Northern Beaches (A)	2006	F	1407
Northern Beaches (A)	2006	M	1210
Northern Beaches (A)	2011	F	1215
Northern Beaches (A)	2011	M	1027
Northern Beaches (A)	2016	F	1519
Northern Beaches (A)	2016	M	1234
Oberon (A)	2006	F	9
Oberon (A)	2006	M	4
Oberon (A)	2011	F	10
Oberon (A)	2011	M	9
Oberon (A)	2016	F	0
Oberon (A)	2016	M	11
Orange (C)	2006	F	18
Orange (C)	2006	M	36
Orange (C)	2011	F	47
Orange (C)	2011	M	64
Orange (C)	2016	F	65
Orange (C)	2016	M	56
Parkes (A)	2006	F	5
Parkes (A)	2006	M	9
Parkes (A)	2011	F	15
Parkes (A)	2011	M	16
Parkes (A)	2016	F	24
Parkes (A)	2016	M	14
Parramatta (C)	2006	F	1231
Parramatta (C)	2006	M	1048
Parramatta (C)	2011	F	1654
Parramatta (C)	2011	M	1334
Parramatta (C)	2016	F	2928
Parramatta (C)	2016	M	2263
Penrith (C)	2006	F	309
Penrith (C)	2006	M	229
Penrith (C)	2011	F	286
Penrith (C)	2011	M	209
Penrith (C)	2016	F	594
Penrith (C)	2016	M	390
Port Macquarie-Hastings (A)	2006	F	172
Port Macquarie-Hastings (A)	2006	M	143
Port Macquarie-Hastings (A)	2011	F	129
Port Macquarie-Hastings (A)	2011	M	115
Port Macquarie-Hastings (A)	2016	F	195
Port Macquarie-Hastings (A)	2016	M	143
Port Stephens (A)	2006	F	121
Port Stephens (A)	2006	M	112
Port Stephens (A)	2011	F	120
Port Stephens (A)	2011	M	84
Port Stephens (A)	2016	F	151
Port Stephens (A)	2016	M	106
Queanbeyan-Palerang Regional (A)	2006	F	86
Queanbeyan-Palerang Regional (A)	2006	M	86
Queanbeyan-Palerang Regional (A)	2011	F	119
Queanbeyan-Palerang Regional (A)	2011	M	97
Queanbeyan-Palerang Regional (A)	2016	F	148
Queanbeyan-Palerang Regional (A)	2016	M	122
Randwick (C)	2006	F	1302
Randwick (C)	2006	M	1186
Randwick (C)	2011	F	1348
Randwick (C)	2011	M	1244
Randwick (C)	2016	F	2014
Randwick (C)	2016	M	1492
Richmond Valley (A)	2006	F	18
Richmond Valley (A)	2006	M	22
Richmond Valley (A)	2011	F	40
Richmond Valley (A)	2011	M	26
Richmond Valley (A)	2016	F	28
Richmond Valley (A)	2016	M	17
Rockdale (C)	2006	F	427
Rockdale (C)	2006	M	382
Rockdale (C)	2011	F	523
Rockdale (C)	2011	M	425
Rockdale (C)	2016	F	1201
Rockdale (C)	2016	M	902
Ryde (C)	2006	F	992
Ryde (C)	2006	M	764
Ryde (C)	2011	F	1115
Ryde (C)	2011	M	840
Ryde (C)	2016	F	1682
Ryde (C)	2016	M	1267
Shellharbour (C)	2006	F	52
Shellharbour (C)	2006	M	46
Shellharbour (C)	2011	F	47
Shellharbour (C)	2011	M	29
Shellharbour (C)	2016	F	93
Shellharbour (C)	2016	M	64
Shoalhaven (C)	2006	F	128
Shoalhaven (C)	2006	M	108
Shoalhaven (C)	2011	F	150
Shoalhaven (C)	2011	M	109
Shoalhaven (C)	2016	F	210
Shoalhaven (C)	2016	M	158
Singleton (A)	2006	F	26
Singleton (A)	2006	M	39
Singleton (A)	2011	F	40
Singleton (A)	2011	M	32
Singleton (A)	2016	F	45
Singleton (A)	2016	M	28
Snowy Monaro Regional (A)	2006	F	270
Snowy Monaro Regional (A)	2006	M	269
Snowy Monaro Regional (A)	2011	F	229
Snowy Monaro Regional (A)	2011	M	275
Snowy Monaro Regional (A)	2016	F	347
Snowy Monaro Regional (A)	2016	M	422
Snowy Valleys (A)	2006	F	10
Snowy Valleys (A)	2006	M	15
Snowy Valleys (A)	2011	F	24
Snowy Valleys (A)	2011	M	35
Snowy Valleys (A)	2016	F	22
Snowy Valleys (A)	2016	M	25
Strathfield (A)	2006	F	261
Strathfield (A)	2006	M	207
Strathfield (A)	2011	F	269
Strathfield (A)	2011	M	233
Strathfield (A)	2016	F	435
Strathfield (A)	2016	M	362
Sutherland Shire (A)	2006	F	436
Sutherland Shire (A)	2006	M	394
Sutherland Shire (A)	2011	F	458
Sutherland Shire (A)	2011	M	388
Sutherland Shire (A)	2016	F	635
Sutherland Shire (A)	2016	M	489
Sydney (C)	2006	F	6462
Sydney (C)	2006	M	7006
Sydney (C)	2011	F	7251
Sydney (C)	2011	M	7770
Sydney (C)	2016	F	12259
Sydney (C)	2016	M	11530
Tamworth Regional (A)	2006	F	83
Tamworth Regional (A)	2006	M	80
Tamworth Regional (A)	2011	F	46
Tamworth Regional (A)	2011	M	76
Tamworth Regional (A)	2016	F	111
Tamworth Regional (A)	2016	M	145
Temora (A)	2006	F	5
Temora (A)	2006	M	4
Temora (A)	2011	F	4
Temora (A)	2011	M	3
Temora (A)	2016	F	3
Temora (A)	2016	M	3
Tenterfield (A)	2006	F	18
Tenterfield (A)	2006	M	13
Tenterfield (A)	2011	F	10
Tenterfield (A)	2011	M	16
Tenterfield (A)	2016	F	33
Tenterfield (A)	2016	M	27
The Hills Shire (A)	2006	F	509
The Hills Shire (A)	2006	M	348
The Hills Shire (A)	2011	F	638
The Hills Shire (A)	2011	M	428
The Hills Shire (A)	2016	F	1242
The Hills Shire (A)	2016	M	884
Tweed (A)	2006	F	310
Tweed (A)	2006	M	260
Tweed (A)	2011	F	341
Tweed (A)	2011	M	265
Tweed (A)	2016	F	335
Tweed (A)	2016	M	272
Upper Hunter Shire (A)	2006	F	20
Upper Hunter Shire (A)	2006	M	25
Upper Hunter Shire (A)	2011	F	32
Upper Hunter Shire (A)	2011	M	38
Upper Hunter Shire (A)	2016	F	56
Upper Hunter Shire (A)	2016	M	30
Upper Lachlan Shire (A)	2006	F	3
Upper Lachlan Shire (A)	2006	M	11
Upper Lachlan Shire (A)	2011	F	4
Upper Lachlan Shire (A)	2011	M	8
Upper Lachlan Shire (A)	2016	F	3
Upper Lachlan Shire (A)	2016	M	9
Uralla (A)	2006	F	10
Uralla (A)	2006	M	10
Uralla (A)	2011	F	3
Uralla (A)	2011	M	4
Uralla (A)	2016	F	10
Uralla (A)	2016	M	3
Wagga Wagga (C)	2006	F	84
Wagga Wagga (C)	2006	M	80
Wagga Wagga (C)	2011	F	87
Wagga Wagga (C)	2011	M	83
Wagga Wagga (C)	2016	F	139
Wagga Wagga (C)	2016	M	98
Walcha (A)	2006	F	8
Walcha (A)	2006	M	4
Walcha (A)	2011	F	11
Walcha (A)	2011	M	12
Walcha (A)	2016	F	3
Walcha (A)	2016	M	0
Walgett (A)	2006	F	17
Walgett (A)	2006	M	15
Walgett (A)	2011	F	17
Walgett (A)	2011	M	29
Walgett (A)	2016	F	6
Walgett (A)	2016	M	4
Warren (A)	2006	F	3
Warren (A)	2006	M	3
Warren (A)	2011	F	5
Warren (A)	2011	M	6
Warren (A)	2016	F	11
Warren (A)	2016	M	7
Warrumbungle Shire (A)	2006	F	9
Warrumbungle Shire (A)	2006	M	10
Warrumbungle Shire (A)	2011	F	19
Warrumbungle Shire (A)	2011	M	13
Warrumbungle Shire (A)	2016	F	39
Warrumbungle Shire (A)	2016	M	24
Waverley (A)	2006	F	951
Waverley (A)	2006	M	905
Waverley (A)	2011	F	821
Waverley (A)	2011	M	682
Waverley (A)	2016	F	955
Waverley (A)	2016	M	937
Weddin (A)	2006	F	3
Weddin (A)	2006	M	5
Weddin (A)	2011	F	5
Weddin (A)	2011	M	3
Weddin (A)	2016	F	0
Weddin (A)	2016	M	0
Wentworth (A)	2006	F	11
Wentworth (A)	2006	M	17
Wentworth (A)	2011	F	15
Wentworth (A)	2011	M	27
Wentworth (A)	2016	F	54
Wentworth (A)	2016	M	38
Western Plains Regional (A)	2006	F	54
Western Plains Regional (A)	2006	M	44
Western Plains Regional (A)	2011	F	55
Western Plains Regional (A)	2011	M	47
Western Plains Regional (A)	2016	F	119
Western Plains Regional (A)	2016	M	71
Willoughby (C)	2006	F	658
Willoughby (C)	2006	M	471
Willoughby (C)	2011	F	657
Willoughby (C)	2011	M	569
Willoughby (C)	2016	F	1314
Willoughby (C)	2016	M	1025
Wingecarribee (A)	2006	F	115
Wingecarribee (A)	2006	M	86
Wingecarribee (A)	2011	F	129
Wingecarribee (A)	2011	M	137
Wingecarribee (A)	2016	F	116
Wingecarribee (A)	2016	M	92
Wollondilly (A)	2006	F	82
Wollondilly (A)	2006	M	62
Wollondilly (A)	2011	F	49
Wollondilly (A)	2011	M	22
Wollondilly (A)	2016	F	62
Wollondilly (A)	2016	M	47
Wollongong (C)	2006	F	638
Wollongong (C)	2006	M	548
Wollongong (C)	2011	F	674
Wollongong (C)	2011	M	679
Wollongong (C)	2016	F	918
Wollongong (C)	2016	M	775
Woollahra (A)	2006	F	462
Woollahra (A)	2006	M	413
Woollahra (A)	2011	F	420
Woollahra (A)	2011	M	328
Woollahra (A)	2016	F	476
Woollahra (A)	2016	M	389
Yass Valley (A)	2006	F	25
Yass Valley (A)	2006	M	14
Yass Valley (A)	2011	F	15
Yass Valley (A)	2011	M	21
Yass Valley (A)	2016	F	23
Yass Valley (A)	2016	M	21
Unincorporated NSW	2006	F	25
Unincorporated NSW	2006	M	14
Unincorporated NSW	2011	F	13
Unincorporated NSW	2011	M	12
Unincorporated NSW	2016	F	16
Unincorporated NSW	2016	M	15
No usual address (NSW)	2006	F	0
No usual address (NSW)	2006	M	0
No usual address (NSW)	2011	F	0
No usual address (NSW)	2011	M	0
No usual address (NSW)	2016	F	0
No usual address (NSW)	2016	M	0
Migratory - Offshore - Shipping (NSW)	2006	F	37
Migratory - Offshore - Shipping (NSW)	2006	M	33
Migratory - Offshore - Shipping (NSW)	2011	F	97
Migratory - Offshore - Shipping (NSW)	2011	M	71
Migratory - Offshore - Shipping (NSW)	2016	F	184
Migratory - Offshore - Shipping (NSW)	2016	M	151
Alpine (S)	2006	F	50
Alpine (S)	2006	M	57
Alpine (S)	2011	F	45
Alpine (S)	2011	M	26
Alpine (S)	2016	F	60
Alpine (S)	2016	M	48
Ararat (RC)	2006	F	10
Ararat (RC)	2006	M	6
Ararat (RC)	2011	F	19
Ararat (RC)	2011	M	6
Ararat (RC)	2016	F	13
Ararat (RC)	2016	M	18
Ballarat (C)	2006	F	157
Ballarat (C)	2006	M	115
Ballarat (C)	2011	F	175
Ballarat (C)	2011	M	134
Ballarat (C)	2016	F	230
Ballarat (C)	2016	M	179
Banyule (C)	2006	F	323
Banyule (C)	2006	M	221
Banyule (C)	2011	F	392
Banyule (C)	2011	M	240
Banyule (C)	2016	F	647
Banyule (C)	2016	M	451
Bass Coast (S)	2006	F	81
Bass Coast (S)	2006	M	49
Bass Coast (S)	2011	F	102
Bass Coast (S)	2011	M	77
Bass Coast (S)	2016	F	81
Bass Coast (S)	2016	M	59
Baw Baw (S)	2006	F	47
Baw Baw (S)	2006	M	46
Baw Baw (S)	2011	F	57
Baw Baw (S)	2011	M	33
Baw Baw (S)	2016	F	118
Baw Baw (S)	2016	M	77
Bayside (C)	2006	F	347
