LGA_NAME16	Year	medianTotalHouseholdIncomeWeekly
Flinders (S) (Qld)	2006	795
Fraser Coast (R)	2006	659
Gladstone (R)	2006	1161
Gold Coast (C)	2006	1028
Goondiwindi (R)	2006	895
Gympie (R)	2006	675
Hinchinbrook (S)	2006	738
Hope Vale (S)	2006	655
Ipswich (C)	2006	1026
Isaac (R)	2006	1850
Kowanyama (S)	2006	1055
Livingstone (S)	2006	932
Lockhart River (S)	2006	924
Lockyer Valley (R)	2006	827
Logan (C)	2006	1062
Longreach (R)	2006	922
Mackay (R)	2006	1134
McKinlay (S)	2006	891
Mapoon (S)	2006	743
Maranoa (R)	2006	943
Mareeba (S)	2006	741
Moreton Bay (R)	2006	1048
Mornington (S)	2006	736
Mount Isa (C)	2006	1422
Murweh (S)	2006	815
Napranum (S)	2006	627
Noosa (S)	2006	884
North Burnett (R)	2006	674
Northern Peninsula Area (R)	2006	709
Palm Island (S)	2006	870
Paroo (S)	2006	595
Pormpuraaw (S)	2006	864
Quilpie (S)	2006	780
Redland (C)	2006	1117
Richmond (S)	2006	881
Rockhampton (R)	2006	895
Scenic Rim (R)	2006	890
Somerset (R)	2006	760
South Burnett (R)	2006	680
Southern Downs (R)	2006	695
Sunshine Coast (R)	2006	897
Tablelands (R)	2006	692
Toowoomba (R)	2006	928
Torres (S)	2006	1111
Torres Strait Island (R)	2006	756
Townsville (C)	2006	1109
Weipa (T)	2006	1815
Western Downs (R)	2006	822
Whitsunday (R)	2006	1009
Winton (S)	2006	797
Woorabinda (S)	2006	531
Wujal Wujal (S)	2006	811
Yarrabah (S)	2006	982
No usual address (Qld)	2006	0
Migratory - Offshore - Shipping (Qld)	2006	0
Adelaide (C)	2006	1028
Adelaide Hills (DC)	2006	1204
Alexandrina (DC)	2006	703
Anangu Pitjantjatjara (AC)	2006	916
Barossa (DC)	2006	1008
Barunga West (DC)	2006	588
Berri and Barmera (DC)	2006	754
Burnside (C)	2006	1224
Campbelltown (C) (SA)	2006	903
Ceduna (DC)	2006	888
Charles Sturt (C)	2006	815
Clare and Gilbert Valleys (DC)	2006	821
Cleve (DC)	2006	822
Coober Pedy (DC)	2006	553
Copper Coast (DC)	2006	615
Elliston (DC)	2006	687
Flinders Ranges (DC)	2006	680
Franklin Harbour (DC)	2006	772
Gawler (T)	2006	834
Goyder (DC)	2006	614
Grant (DC)	2006	1062
Holdfast Bay (C)	2006	956
Kangaroo Island (DC)	2006	758
Karoonda East Murray (DC)	2006	638
Kimba (DC)	2006	753
Kingston (DC) (SA)	2006	706
Light (RegC)	2006	1075
Lower Eyre Peninsula (DC)	2006	842
Loxton Waikerie (DC)	2006	752
Mallala (DC)	2006	972
Maralinga Tjarutja (AC)	2006	1281
Marion (C)	2006	869
Mid Murray (DC)	2006	617
Mitcham (C)	2006	1127
Mount Barker (DC)	2006	1027
Mount Gambier (C)	2006	825
Mount Remarkable (DC)	2006	658
Murray Bridge (RC)	2006	674
Naracoorte and Lucindale (DC)	2006	925
Northern Areas (DC)	2006	653
Norwood Payneham St Peters (C)	2006	936
Onkaparinga (C)	2006	919
Orroroo/Carrieton (DC)	2006	604
Peterborough (DC)	2006	510
Playford (C)	2006	717
Port Adelaide Enfield (C)	2006	726
Port Augusta (C)	2006	798
Port Lincoln (C)	2006	831
Port Pirie City and Dists (M)	2006	634
Prospect (C)	2006	1070
Renmark Paringa (DC)	2006	757
Robe (DC)	2006	796
Roxby Downs (M)	2006	2017
Salisbury (C)	2006	873
Southern Mallee (DC)	2006	751
Streaky Bay (DC)	2006	717
Tatiara (DC)	2006	939
Tea Tree Gully (C)	2006	1082
The Coorong (DC)	2006	645
Tumby Bay (DC)	2006	643
Unley (C)	2006	1138
Victor Harbor (C)	2006	617
Wakefield (DC)	2006	695
Walkerville (M)	2006	1216
Wattle Range (DC)	2006	823
West Torrens (C)	2006	805
Whyalla (C)	2006	762
Wudinna (DC)	2006	740
Yankalilla (DC)	2006	641
Yorke Peninsula (DC)	2006	599
Unincorporated SA	2006	945
No usual address (SA)	2006	0
Migratory - Offshore - Shipping (SA)	2006	0
Albany (C)	2006	847
Armadale (C)	2006	988
Ashburton (S)	2006	1912
Augusta-Margaret River (S)	2006	925
Bassendean (T)	2006	950
Bayswater (C)	2006	965
Belmont (C)	2006	877
Beverley (S)	2006	641
Boddington (S)	2006	1098
Boyup Brook (S)	2006	756
Bridgetown-Greenbushes (S)	2006	782
Brookton (S)	2006	743
Broome (S)	2006	1087
Broomehill-Tambellup (S)	2006	878
Bruce Rock (S)	2006	725
Bunbury (C)	2006	961
Busselton (C)	2006	960
Cambridge (T)	2006	1494
Canning (C)	2006	1069
Capel (S)	2006	1233
Carnamah (S)	2006	908
Carnarvon (S)	2006	787
Chapman Valley (S)	2006	907
Chittering (S)	2006	1068
Claremont (T)	2006	1225
Cockburn (C)	2006	1112
Collie (S)	2006	966
Coolgardie (S)	2006	1421
Coorow (S)	2006	879
Corrigin (S)	2006	826
Cottesloe (T)	2006	1811
Cranbrook (S)	2006	817
Cuballing (S)	2006	812
Cue (S)	2006	606
Cunderdin (S)	2006	768
Dalwallinu (S)	2006	967
Dandaragan (S)	2006	880
Dardanup (S)	2006	1143
Denmark (S)	2006	642
Derby-West Kimberley (S)	2006	900
Donnybrook-Balingup (S)	2006	880
Dowerin (S)	2006	788
Dumbleyung (S)	2006	720
Dundas (S)	2006	891
East Fremantle (T)	2006	1271
East Pilbara (S)	2006	1848
Esperance (S)	2006	918
Exmouth (S)	2006	949
Fremantle (C)	2006	961
Gingin (S)	2006	825
Gnowangerup (S)	2006	872
Goomalling (S)	2006	809
Gosnells (C)	2006	1056
Greater Geraldton (C)	2006	958
Halls Creek (S)	2006	700
Harvey (S)	2006	1148
Irwin (S)	2006	868
Jerramungup (S)	2006	865
Joondalup (C)	2006	1313
Kalamunda (S)	2006	1161
Kalgoorlie/Boulder (C)	2006	1437
Karratha (C)	2006	1920
Katanning (S)	2006	867
Kellerberrin (S)	2006	648
Kent (S)	2006	940
Kojonup (S)	2006	919
Kondinin (S)	2006	893
Koorda (S)	2006	777
Kulin (S)	2006	973
Kwinana (C)	2006	889
Lake Grace (S)	2006	933
Laverton (S)	2006	791
Leonora (S)	2006	1327
Mandurah (C)	2006	812
Manjimup (S)	2006	799
Meekatharra (S)	2006	937
Melville (C)	2006	1188
Menzies (S)	2006	521
Merredin (S)	2006	945
Mingenew (S)	2006	771
Moora (S)	2006	1032
Morawa (S)	2006	778
Mosman Park (T)	2006	1089
Mount Magnet (S)	2006	1021
Mount Marshall (S)	2006	852
Mukinbudin (S)	2006	831
Mundaring (S)	2006	1150
Murchison (S)	2006	979
Murray (S)	2006	872
Nannup (S)	2006	747
Narembeen (S)	2006	895
Narrogin (S)	2006	920
Nedlands (C)	2006	1700
Ngaanyatjarraku (S)	2006	871
Northam (S)	2006	770
Northampton (S)	2006	686
Nungarin (S)	2006	703
Peppermint Grove (S)	2006	2522
Perenjori (S)	2006	751
Perth (C)	2006	1151
Pingelly (S)	2006	614
Plantagenet (S)	2006	758
Port Hedland (T)	2006	1810
Quairading (S)	2006	736
Ravensthorpe (S)	2006	1138
Rockingham (C)	2006	1040
Sandstone (S)	2006	949
Serpentine-Jarrahdale (S)	2006	1241
Shark Bay (S)	2006	841
South Perth (C)	2006	1140
Stirling (C)	2006	998
Subiaco (C)	2006	1184
Swan (C)	2006	1090
Tammin (S)	2006	725
Three Springs (S)	2006	933
Toodyay (S)	2006	823
Trayning (S)	2006	861
Upper Gascoyne (S)	2006	866
Victoria Park (T)	2006	925
Victoria Plains (S)	2006	865
Vincent (C)	2006	1154
Wagin (S)	2006	787
Wandering (S)	2006	828
Wanneroo (C)	2006	1105
Waroona (S)	2006	957
West Arthur (S)	2006	788
Westonia (S)	2006	1088
Wickepin (S)	2006	686
Williams (S)	2006	1023
Wiluna (S)	2006	1066
Wongan-Ballidu (S)	2006	977
Woodanilling (S)	2006	933
Wyalkatchem (S)	2006	675
Wyndham-East Kimberley (S)	2006	1112
Yalgoo (S)	2006	682
Yilgarn (S)	2006	1044
York (S)	2006	778
No usual address (WA)	2006	0
Migratory - Offshore - Shipping (WA)	2006	0
Break O'Day (M)	2006	558
Brighton (M)	2006	804
Burnie (C)	2006	731
Central Coast (M) (Tas.)	2006	731
Central Highlands (M) (Tas.)	2006	614
Circular Head (M)	2006	822
Clarence (C)	2006	946
Derwent Valley (M)	2006	728
Devonport (C)	2006	692
Dorset (M)	2006	652
Flinders (M) (Tas.)	2006	753
George Town (M)	2006	662
Glamorgan/Spring Bay (M)	2006	632
Glenorchy (C)	2006	726
Hobart (C)	2006	1041
Huon Valley (M)	2006	707
Kentish (M)	2006	717
King Island (M)	2006	905
Kingborough (M)	2006	1038
Latrobe (M) (Tas.)	2006	799
Launceston (C)	2006	757
Meander Valley (M)	2006	809
Northern Midlands (M)	2006	786
Sorell (M)	2006	778
Southern Midlands (M)	2006	757
Tasman (M)	2006	581
Waratah/Wynyard (M)	2006	717
West Coast (M)	2006	777
West Tamar (M)	2006	909
No usual address (Tas.)	2006	0
Migratory - Offshore - Shipping (Tas.)	2006	0
Alice Springs (T)	2006	1234
Barkly (R)	2006	883
Belyuen (S)	2006	706
Central Desert (R)	2006	902
Coomalie (S)	2006	810
Darwin (C)	2006	1267
East Arnhem (R)	2006	1005
Katherine (T)	2006	1097
Litchfield (M)	2006	1237
MacDonnell (R)	2006	859
Palmerston (C)	2006	1263
Roper Gulf (R)	2006	862
Tiwi Islands (R)	2006	620
Victoria Daly (R)	2006	853
Wagait (S)	2006	1044
West Arnhem (R)	2006	1202
West Daly (R)	2006	922
Unincorporated NT	2006	1457
No usual address (NT)	2006	0
Migratory - Offshore - Shipping (NT)	2006	0
Unincorporated ACT	2006	1450
No usual address (ACT)	2006	0
Migratory - Offshore - Shipping (ACT)	2006	0
Unincorp. Other Territories	2006	1184
No usual address (OT)	2006	0
Migratory - Offshore - Shipping (OT)	2006	0
Albury (C)	2011	1022
Armidale Regional (A)	2011	958
Ballina (A)	2011	927
Balranald (A)	2011	887
Bathurst Regional (A)	2011	1138
Bega Valley (A)	2011	847
Bellingen (A)	2011	786
Berrigan (A)	2011	779
Blacktown (C)	2011	1386
Bland (A)	2011	889
Blayney (A)	2011	1095
Blue Mountains (C)	2011	1264
Bogan (A)	2011	918
Botany Bay (C)	2011	1242
Bourke (A)	2011	1032
Brewarrina (A)	2011	814
Broken Hill (C)	2011	794
Burwood (A)	2011	1308
Byron (A)	2011	882
Cabonne (A)	2011	1037
Camden (A)	2011	1712
Campbelltown (C) (NSW)	2011	1248
Canada Bay (A)	2011	1753
Canterbury-Bankstown (A)	2011	1062
Carrathool (A)	2011	937
Central Coast (C) (NSW)	2011	1000
Central Darling (A)	2011	823
Cessnock (C)	2011	1043
Clarence Valley (A)	2011	774
Cobar (A)	2011	1233
Coffs Harbour (C)	2011	900
Coolamon (A)	2011	849
Coonamble (A)	2011	807
Cowra (A)	2011	790
Cumberland (A)	2011	1111
Dungog (A)	2011	1012
Edward River (A)	2011	868
Eurobodalla (A)	2011	789
Fairfield (C)	2011	1019
Federation (A)	2011	864
Forbes (A)	2011	833
Georges River (A)	2011	1354
Gilgandra (A)	2011	780
Glen Innes Severn (A)	2011	744
Goulburn Mulwaree (A)	2011	983
Greater Hume Shire (A)	2011	949
Griffith (C)	2011	1064
Gundagai (A)	2011	813
Gunnedah (A)	2011	939
Gwydir (A)	2011	737
Hawkesbury (C)	2011	1380
Hay (A)	2011	804
Hilltops (A)	2011	798
Hornsby (A)	2011	1820
Hunters Hill (A)	2011	2178
Inner West (A)	2011	1648
Inverell (A)	2011	792
Junee (A)	2011	898
Kempsey (A)	2011	758
Kiama (A)	2011	1228
Ku-ring-gai (A)	2011	2505
Kyogle (A)	2011	726
Lachlan (A)	2011	845
Lake Macquarie (C)	2011	1114
Lane Cove (A)	2011	2174
Leeton (A)	2011	965
Lismore (C)	2011	905
Lithgow (C)	2011	895
Liverpool (C)	2011	1296
Liverpool Plains (A)	2011	804
Lockhart (A)	2011	864
Maitland (C)	2011	1292
Mid-Coast (A)	2011	761
Mid-Western Regional (A)	2011	937
Moree Plains (A)	2011	1030
Mosman (A)	2011	2460
Murray River (A)	2011	831
Murrumbidgee (A)	2011	878
Muswellbrook (A)	2011	1413
Nambucca (A)	2011	713
Narrabri (A)	2011	982
Narrandera (A)	2011	799
Narromine (A)	2011	849
Newcastle (C)	2011	1164
North Sydney (A)	2011	2208
Northern Beaches (A)	2011	1770
Oberon (A)	2011	993
Orange (C)	2011	1178
Parkes (A)	2011	889
Parramatta (C)	2011	1451
Penrith (C)	2011	1395
Port Macquarie-Hastings (A)	2011	838
Port Stephens (A)	2011	998
Queanbeyan-Palerang Regional (A)	2011	1648
Randwick (C)	2011	1558
Richmond Valley (A)	2011	788
Rockdale (C)	2011	1273
Ryde (C)	2011	1462
Shellharbour (C)	2011	1125
Shoalhaven (C)	2011	823
Singleton (A)	2011	1663
Snowy Monaro Regional (A)	2011	1050
Snowy Valleys (A)	2011	929
Strathfield (A)	2011	1418
Sutherland Shire (A)	2011	1650
Sydney (C)	2011	1587
Tamworth Regional (A)	2011	958
Temora (A)	2011	785
Tenterfield (A)	2011	701
The Hills Shire (A)	2011	2120
Tweed (A)	2011	842
Upper Hunter Shire (A)	2011	1069
Upper Lachlan Shire (A)	2011	949
Uralla (A)	2011	931
Wagga Wagga (C)	2011	1148
Walcha (A)	2011	829
Walgett (A)	2011	720
Warren (A)	2011	892
Warrumbungle Shire (A)	2011	709
Waverley (A)	2011	1854
Weddin (A)	2011	724
Wentworth (A)	2011	875
Western Plains Regional (A)	2011	1018
Willoughby (C)	2011	1986
Wingecarribee (A)	2011	1093
Wollondilly (A)	2011	1476
Wollongong (C)	2011	1098
Woollahra (A)	2011	2387
Yass Valley (A)	2011	1598
Unincorporated NSW	2011	940
No usual address (NSW)	2011	0
Migratory - Offshore - Shipping (NSW)	2011	0
Alpine (S)	2011	858
Ararat (RC)	2011	845
Ballarat (C)	2011	986
Banyule (C)	2011	1392
Bass Coast (S)	2011	889
Baw Baw (S)	2011	1022
Bayside (C)	2011	1778
Benalla (RC)	2011	832
Boroondara (C)	2011	1851
Brimbank (C)	2011	1104
Buloke (S)	2011	747
Campaspe (S)	2011	885
Cardinia (S)	2011	1301
Casey (C)	2011	1340
Central Goldfields (S)	2011	697
Colac-Otway (S)	2011	914
Corangamite (S)	2011	914
Darebin (C)	2011	1176
East Gippsland (S)	2011	798
Frankston (C)	2011	1138
Gannawarra (S)	2011	767
Glen Eira (C)	2011	1442
Glenelg (S)	2011	899
Golden Plains (S)	2011	1213
Greater Bendigo (C)	2011	991
Greater Dandenong (C)	2011	952
Greater Geelong (C)	2011	1048
Greater Shepparton (C)	2011	977
Hepburn (S)	2011	845
Hindmarsh (S)	2011	790
Hobsons Bay (C)	2011	1283
Horsham (RC)	2011	946
Hume (C)	2011	1213
Indigo (S)	2011	1059
Kingston (C) (Vic.)	2011	1289
Knox (C)	2011	1397
Latrobe (C) (Vic.)	2011	941
Loddon (S)	2011	702
Macedon Ranges (S)	2011	1390
Manningham (C)	2011	1464
Mansfield (S)	2011	892
Maribyrnong (C)	2011	1251
Maroondah (C)	2011	1305
Melbourne (C)	2011	1355
Melton (C)	2011	1361
Mildura (RC)	2011	879
Mitchell (S)	2011	1167
Moira (S)	2011	825
Monash (C)	2011	1319
Moonee Valley (C)	2011	1374
Moorabool (S)	2011	1182
Moreland (C)	2011	1213
Mornington Peninsula (S)	2011	1053
Mount Alexander (S)	2011	838
Moyne (S)	2011	1045
Murrindindi (S)	2011	921
Nillumbik (S)	2011	1867
Northern Grampians (S)	2011	823
Port Phillip (C)	2011	1615
Pyrenees (S)	2011	740
Queenscliffe (B)	2011	1022
South Gippsland (S)	2011	919
Southern Grampians (S)	2011	911
Stonnington (C)	2011	1660
Strathbogie (S)	2011	841
Surf Coast (S)	2011	1273
Swan Hill (RC)	2011	881
Towong (S)	2011	852
Wangaratta (RC)	2011	912
Warrnambool (C)	2011	1027
Wellington (S)	2011	906
West Wimmera (S)	2011	821
Whitehorse (C)	2011	1314
Whittlesea (C)	2011	1273
Wodonga (C)	2011	1072
Wyndham (C)	2011	1422
Yarra (C)	2011	1626
Yarra Ranges (S)	2011	1279
Yarriambiack (S)	2011	773
Unincorporated Vic	2011	2339
No usual address (Vic.)	2011	0
Migratory - Offshore - Shipping (Vic.)	2011	0
Aurukun (S)	2011	1142
Balonne (S)	2011	990
Banana (S)	2011	1370
Barcaldine (R)	2011	969
Barcoo (S)	2011	966
Blackall-Tambo (R)	2011	869
Boulia (S)	2011	1130
Brisbane (C)	2011	1537
Bulloo (S)	2011	922
Bundaberg (R)	2011	829
Burdekin (S)	2011	988
Burke (S)	2011	1165
Cairns (R)	2011	1151
Carpentaria (S)	2011	907
Cassowary Coast (R)	2011	923
Central Highlands (R) (Qld)	2011	1832
Charters Towers (R)	2011	959
Cherbourg (S)	2011	787
Cloncurry (S)	2011	1415
Cook (S)	2011	916
Croydon (S)	2011	911
Diamantina (S)	2011	1131
Doomadgee (S)	2011	1152
Douglas (S)	2011	985
Etheridge (S)	2011	791
Flinders (S) (Qld)	2011	921
Fraser Coast (R)	2011	785
Gladstone (R)	2011	1660
Gold Coast (C)	2011	1167
Goondiwindi (R)	2011	1017
Gympie (R)	2011	806
Hinchinbrook (S)	2011	908
Hope Vale (S)	2011	900
Ipswich (C)	2011	1231
Isaac (R)	2011	2552
Kowanyama (S)	2011	1101
Livingstone (S)	2011	1142
Lockhart River (S)	2011	1125
Lockyer Valley (R)	2011	998
Logan (C)	2011	1261
Longreach (R)	2011	1064
Mackay (R)	2011	1547
McKinlay (S)	2011	1089
Mapoon (S)	2011	963
Maranoa (R)	2011	1183
Mareeba (S)	2011	889
Moreton Bay (R)	2011	1254
Mornington (S)	2011	1023
Mount Isa (C)	2011	1908
Murweh (S)	2011	974
Napranum (S)	2011	812
Noosa (S)	2011	953
North Burnett (R)	2011	791
Northern Peninsula Area (R)	2011	1030
Palm Island (S)	2011	1187
Paroo (S)	2011	833
Pormpuraaw (S)	2011	1067
Quilpie (S)	2011	904
Redland (C)	2011	1362
Richmond (S)	2011	967
Rockhampton (R)	2011	1153
Scenic Rim (R)	2011	1009
Somerset (R)	2011	925
South Burnett (R)	2011	792
Southern Downs (R)	2011	838
Sunshine Coast (R)	2011	1018
Tablelands (R)	2011	823
Toowoomba (R)	2011	1059
Torres (S)	2011	1543
Torres Strait Island (R)	2011	861
Townsville (C)	2011	1368
Weipa (T)	2011	2407
Western Downs (R)	2011	1075
Whitsunday (R)	2011	1143
Winton (S)	2011	865
Woorabinda (S)	2011	742
Wujal Wujal (S)	2011	949
Yarrabah (S)	2011	995
No usual address (Qld)	2011	0
Migratory - Offshore - Shipping (Qld)	2011	0
Adelaide (C)	2011	1139
Adelaide Hills (DC)	2011	1503
Alexandrina (DC)	2011	863
Anangu Pitjantjatjara (AC)	2011	1144
Barossa (DC)	2011	1123
Barunga West (DC)	2011	740
Berri and Barmera (DC)	2011	803
Burnside (C)	2011	1468
Campbelltown (C) (SA)	2011	1069
Ceduna (DC)	2011	1036
Charles Sturt (C)	2011	1019
Clare and Gilbert Valleys (DC)	2011	949
Cleve (DC)	2011	939
Coober Pedy (DC)	2011	735
Copper Coast (DC)	2011	760
Elliston (DC)	2011	802
Flinders Ranges (DC)	2011	914
Franklin Harbour (DC)	2011	852
Gawler (T)	2011	960
Goyder (DC)	2011	768
Grant (DC)	2011	1170
Holdfast Bay (C)	2011	1158
Kangaroo Island (DC)	2011	847
Karoonda East Murray (DC)	2011	753
Kimba (DC)	2011	1034
Kingston (DC) (SA)	2011	825
Light (RegC)	2011	1276
Lower Eyre Peninsula (DC)	2011	1047
Loxton Waikerie (DC)	2011	824
Mallala (DC)	2011	1156
Maralinga Tjarutja (AC)	2011	1125
Marion (C)	2011	1063
Mid Murray (DC)	2011	755
Mitcham (C)	2011	1382
Mount Barker (DC)	2011	1252
Mount Gambier (C)	2011	902
Mount Remarkable (DC)	2011	797
Murray Bridge (RC)	2011	838
Naracoorte and Lucindale (DC)	2011	1016
Northern Areas (DC)	2011	855
Norwood Payneham St Peters (C)	2011	1131
Onkaparinga (C)	2011	1078
Orroroo/Carrieton (DC)	2011	866
Peterborough (DC)	2011	596
Playford (C)	2011	896
Port Adelaide Enfield (C)	2011	950
Port Augusta (C)	2011	992
Port Lincoln (C)	2011	924
Port Pirie City and Dists (M)	2011	777
Prospect (C)	2011	1338
Renmark Paringa (DC)	2011	845
