LGA_NAME16	Year	employmentToPopulation
Richmond Valley (A)	2006	46.6
Richmond Valley (A)	2011	46.4
Richmond Valley (A)	2016	44.8
Rockdale (C)	2006	54.2
Rockdale (C)	2011	55.9
Rockdale (C)	2016	57.4
Ryde (C)	2006	58
Ryde (C)	2011	58.5
Ryde (C)	2016	58.8
Shellharbour (C)	2006	54
Shellharbour (C)	2011	54.8
Shellharbour (C)	2016	54
Shoalhaven (C)	2006	43.9
Shoalhaven (C)	2011	44.3
Shoalhaven (C)	2016	43.6
Singleton (A)	2006	62.2
Singleton (A)	2011	64.5
Singleton (A)	2016	59.7
Snowy Monaro Regional (A)	2006	58.5
Snowy Monaro Regional (A)	2011	59.5
Snowy Monaro Regional (A)	2016	58.9
Snowy Valleys (A)	2006	54.2
Snowy Valleys (A)	2011	55
Snowy Valleys (A)	2016	50.8
Strathfield (A)	2006	53.5
Strathfield (A)	2011	56
Strathfield (A)	2016	57.5
Sutherland Shire (A)	2006	65
Sutherland Shire (A)	2011	64.8
Sutherland Shire (A)	2016	63.8
Sydney (C)	2006	53.3
Sydney (C)	2011	61.5
Sydney (C)	2016	60.3
Tamworth Regional (A)	2006	55.4
Tamworth Regional (A)	2011	55.9
Tamworth Regional (A)	2016	54.7
Temora (A)	2006	52.2
Temora (A)	2011	51.6
Temora (A)	2016	50.9
Tenterfield (A)	2006	48.6
Tenterfield (A)	2011	46.9
Tenterfield (A)	2016	42.2
The Hills Shire (A)	2006	68.5
The Hills Shire (A)	2011	66.7
The Hills Shire (A)	2016	64.9
Tweed (A)	2006	45.2
Tweed (A)	2011	46.7
Tweed (A)	2016	47
Upper Hunter Shire (A)	2006	59.8
Upper Hunter Shire (A)	2011	60.2
Upper Hunter Shire (A)	2016	56.2
Upper Lachlan Shire (A)	2006	57.1
Upper Lachlan Shire (A)	2011	59.1
Upper Lachlan Shire (A)	2016	55.7
Uralla (A)	2006	56.9
Uralla (A)	2011	57.4
Uralla (A)	2016	53.8
Wagga Wagga (C)	2006	61.7
Wagga Wagga (C)	2011	62
Wagga Wagga (C)	2016	60
Walcha (A)	2006	59.9
Walcha (A)	2011	58.8
Walcha (A)	2016	55.2
Walgett (A)	2006	46.5
Walgett (A)	2011	45.6
Walgett (A)	2016	42.2
Warren (A)	2006	60.8
Warren (A)	2011	59.7
Warren (A)	2016	53.3
Warrumbungle Shire (A)	2006	48.8
Warrumbungle Shire (A)	2011	47.3
Warrumbungle Shire (A)	2016	43.3
Waverley (A)	2006	57.9
Waverley (A)	2011	63.4
Waverley (A)	2016	64.9
Weddin (A)	2006	50.1
Weddin (A)	2011	48.9
Weddin (A)	2016	47.3
Wentworth (A)	2006	57
Wentworth (A)	2011	54.9
Wentworth (A)	2016	50.6
Western Plains Regional (A)	2006	57.1
Western Plains Regional (A)	2011	58.2
Western Plains Regional (A)	2016	55.8
Willoughby (C)	2006	61.2
Willoughby (C)	2011	61.8
Willoughby (C)	2016	60.6
Wingecarribee (A)	2006	54.3
Wingecarribee (A)	2011	53.8
Wingecarribee (A)	2016	52.3
Wollondilly (A)	2006	63.5
Wollondilly (A)	2011	64
Wollondilly (A)	2016	63.6
Wollongong (C)	2006	52
Wollongong (C)	2011	52.9
Wollongong (C)	2016	52.8
Woollahra (A)	2006	58.7
Woollahra (A)	2011	60.2
Woollahra (A)	2016	61.2
Yass Valley (A)	2006	66.2
Yass Valley (A)	2011	66.3
Yass Valley (A)	2016	63.4
Unincorporated NSW	2006	76.5
Unincorporated NSW	2011	74.8
Unincorporated NSW	2016	68.6
No usual address (NSW)	2006	37.9
No usual address (NSW)	2011	31.1
No usual address (NSW)	2016	28.8
Migratory - Offshore - Shipping (NSW)	2006	61.8
Migratory - Offshore - Shipping (NSW)	2011	26.4
Migratory - Offshore - Shipping (NSW)	2016	32.6
Alpine (S)	2006	54.2
Alpine (S)	2011	54.2
Alpine (S)	2016	52.9
Ararat (RC)	2006	51.3
Ararat (RC)	2011	52
Ararat (RC)	2016	48.2
Ballarat (C)	2006	55
Ballarat (C)	2011	56.1
Ballarat (C)	2016	54.4
Banyule (C)	2006	59.4
Banyule (C)	2011	60.3
Banyule (C)	2016	59
Bass Coast (S)	2006	45.5
Bass Coast (S)	2011	49.4
Bass Coast (S)	2016	45.7
Baw Baw (S)	2006	57.6
Baw Baw (S)	2011	57.8
Baw Baw (S)	2016	54.2
Bayside (C)	2006	58.9
Bayside (C)	2011	59.2
Bayside (C)	2016	58.5
Benalla (RC)	2006	54.6
Benalla (RC)	2011	53.5
Benalla (RC)	2016	48.4
Boroondara (C)	2006	60.8
Boroondara (C)	2011	61.1
Boroondara (C)	2016	59.4
Brimbank (C)	2006	50.9
Brimbank (C)	2011	51.6
Brimbank (C)	2016	50.5
Buloke (S)	2006	52.5
Buloke (S)	2011	52.1
Buloke (S)	2016	47.7
Campaspe (S)	2006	56.1
Campaspe (S)	2011	54.7
Campaspe (S)	2016	52.4
Cardinia (S)	2006	63.2
Cardinia (S)	2011	63.8
Cardinia (S)	2016	62.1
Casey (C)	2006	62
Casey (C)	2011	61.7
Casey (C)	2016	59.6
Central Goldfields (S)	2006	41.1
Central Goldfields (S)	2011	42.4
Central Goldfields (S)	2016	39.7
Colac-Otway (S)	2006	57.8
Colac-Otway (S)	2011	57.5
Colac-Otway (S)	2016	55.2
Corangamite (S)	2006	58
Corangamite (S)	2011	58.3
Corangamite (S)	2016	54.6
Darebin (C)	2006	52.2
Darebin (C)	2011	55.9
Darebin (C)	2016	57
East Gippsland (S)	2006	48.6
East Gippsland (S)	2011	48.8
East Gippsland (S)	2016	44.9
Frankston (C)	2006	57.8
Frankston (C)	2011	59.3
Frankston (C)	2016	58.1
Gannawarra (S)	2006	54
Gannawarra (S)	2011	51.6
Gannawarra (S)	2016	49.7
Glen Eira (C)	2006	59
Glen Eira (C)	2011	61.5
Glen Eira (C)	2016	60.5
Glenelg (S)	2006	56.6
Glenelg (S)	2011	55.2
Glenelg (S)	2016	50.7
Golden Plains (S)	2006	60.8
Golden Plains (S)	2011	62.2
Golden Plains (S)	2016	60.8
Greater Bendigo (C)	2006	55.2
Greater Bendigo (C)	2011	56.5
Greater Bendigo (C)	2016	54.5
Greater Dandenong (C)	2006	47.1
Greater Dandenong (C)	2011	48.7
Greater Dandenong (C)	2016	48.4
Greater Geelong (C)	2006	54.1
Greater Geelong (C)	2011	55.5
Greater Geelong (C)	2016	54.2
Greater Shepparton (C)	2006	57.4
Greater Shepparton (C)	2011	56.1
Greater Shepparton (C)	2016	52.8
Hepburn (S)	2006	51.1
Hepburn (S)	2011	52
Hepburn (S)	2016	49.1
Hindmarsh (S)	2006	52
Hindmarsh (S)	2011	51.2
Hindmarsh (S)	2016	47.3
Hobsons Bay (C)	2006	55.6
Hobsons Bay (C)	2011	57.4
Hobsons Bay (C)	2016	58
Horsham (RC)	2006	59.7
Horsham (RC)	2011	59.1
Horsham (RC)	2016	57.3
Hume (C)	2006	54.9
Hume (C)	2011	54.8
Hume (C)	2016	52.8
Indigo (S)	2006	60.1
Indigo (S)	2011	59.8
Indigo (S)	2016	57.1
Kingston (C) (Vic.)	2006	58.6
Kingston (C) (Vic.)	2011	60
Kingston (C) (Vic.)	2016	59.5
Knox (C)	2006	64.6
Knox (C)	2011	63.8
Knox (C)	2016	60.9
Latrobe (C) (Vic.)	2006	51.6
Latrobe (C) (Vic.)	2011	51.9
Latrobe (C) (Vic.)	2016	49.2
Loddon (S)	2006	50.1
Loddon (S)	2011	47.7
Loddon (S)	2016	45
Macedon Ranges (S)	2006	61.9
Macedon Ranges (S)	2011	62.7
Macedon Ranges (S)	2016	59.3
Manningham (C)	2006	57.9
Manningham (C)	2011	57.2
Manningham (C)	2016	54.2
Mansfield (S)	2006	56.5
Mansfield (S)	2011	57.8
Mansfield (S)	2016	53.6
Maribyrnong (C)	2006	53.5
Maribyrnong (C)	2011	58
Maribyrnong (C)	2016	60.3
Maroondah (C)	2006	61.8
Maroondah (C)	2011	62.8
Maroondah (C)	2016	61.2
Melbourne (C)	2006	53.2
Melbourne (C)	2011	56.1
Melbourne (C)	2016	51.2
Melton (C)	2006	62.3
Melton (C)	2011	61.9
Melton (C)	2016	58.8
Mildura (RC)	2006	55.7
Mildura (RC)	2011	53.3
Mildura (RC)	2016	51.6
Mitchell (S)	2006	59.1
Mitchell (S)	2011	59.1
Mitchell (S)	2016	56.7
Moira (S)	2006	53.6
Moira (S)	2011	51.4
Moira (S)	2016	49.2
Monash (C)	2006	54.8
Monash (C)	2011	54.8
Monash (C)	2016	52.3
Moonee Valley (C)	2006	57
Moonee Valley (C)	2011	59.6
Moonee Valley (C)	2016	59.5
Moorabool (S)	2006	59.9
Moorabool (S)	2011	60
Moorabool (S)	2016	57.6
Moreland (C)	2006	52.7
Moreland (C)	2011	56.6
Moreland (C)	2016	58.9
Mornington Peninsula (S)	2006	52.2
Mornington Peninsula (S)	2011	53.9
Mornington Peninsula (S)	2016	52.7
Mount Alexander (S)	2006	48.9
Mount Alexander (S)	2011	50.4
Mount Alexander (S)	2016	47.4
Moyne (S)	2006	61.3
Moyne (S)	2011	62.4
Moyne (S)	2016	58.9
Murrindindi (S)	2006	56.4
Murrindindi (S)	2011	54.9
Murrindindi (S)	2016	51.5
Nillumbik (S)	2006	69.9
Nillumbik (S)	2011	69.3
Nillumbik (S)	2016	66.2
Northern Grampians (S)	2006	53.5
Northern Grampians (S)	2011	53
Northern Grampians (S)	2016	49.9
Port Phillip (C)	2006	62.3
Port Phillip (C)	2011	67.6
Port Phillip (C)	2016	64.8
Pyrenees (S)	2006	47.3
Pyrenees (S)	2011	47.1
Pyrenees (S)	2016	43.8
Queenscliffe (B)	2006	42.2
Queenscliffe (B)	2011	44.8
Queenscliffe (B)	2016	41.4
South Gippsland (S)	2006	55.5
South Gippsland (S)	2011	56.6
South Gippsland (S)	2016	51.7
Southern Grampians (S)	2006	58.5
Southern Grampians (S)	2011	58
Southern Grampians (S)	2016	54.9
Stonnington (C)	2006	60.5
Stonnington (C)	2011	62.9
Stonnington (C)	2016	62.2
Strathbogie (S)	2006	52.6
Strathbogie (S)	2011	51.9
Strathbogie (S)	2016	49.9
Surf Coast (S)	2006	59.9
Surf Coast (S)	2011	61.4
Surf Coast (S)	2016	60.3
Swan Hill (RC)	2006	56.7
Swan Hill (RC)	2011	55.2
Swan Hill (RC)	2016	51.5
Towong (S)	2006	56.1
Towong (S)	2011	57
Towong (S)	2016	53.1
Wangaratta (RC)	2006	58.8
Wangaratta (RC)	2011	57.9
Wangaratta (RC)	2016	54.4
Warrnambool (C)	2006	58
Warrnambool (C)	2011	58.9
Warrnambool (C)	2016	56.6
Wellington (S)	2006	53.1
Wellington (S)	2011	53.3
Wellington (S)	2016	50.7
West Wimmera (S)	2006	59.8
West Wimmera (S)	2011	59.1
West Wimmera (S)	2016	57.5
Whitehorse (C)	2006	57.5
Whitehorse (C)	2011	57
Whitehorse (C)	2016	55.4
Whittlesea (C)	2006	56.6
Whittlesea (C)	2011	58.3
Whittlesea (C)	2016	57
Wodonga (C)	2006	62.4
Wodonga (C)	2011	60.8
Wodonga (C)	2016	58.3
Wyndham (C)	2006	62.6
Wyndham (C)	2011	62.7
Wyndham (C)	2016	60.3
Yarra (C)	2006	62.4
Yarra (C)	2011	65.9
Yarra (C)	2016	66
Yarra Ranges (S)	2006	63.2
Yarra Ranges (S)	2011	63.6
Yarra Ranges (S)	2016	61.5
Yarriambiack (S)	2006	51.1
Yarriambiack (S)	2011	48.6
Yarriambiack (S)	2016	46.8
Unincorporated Vic	2006	77.5
Unincorporated Vic	2011	75
Unincorporated Vic	2016	58.3
No usual address (Vic.)	2006	44
No usual address (Vic.)	2011	34.2
No usual address (Vic.)	2016	29.7
Migratory - Offshore - Shipping (Vic.)	2006	65.3
Migratory - Offshore - Shipping (Vic.)	2011	91.7
Migratory - Offshore - Shipping (Vic.)	2016	76
Aurukun (S)	2006	43.6
Aurukun (S)	2011	25.5
Aurukun (S)	2016	26.2
Balonne (S)	2006	68
Balonne (S)	2011	65.5
Balonne (S)	2016	62.6
Banana (S)	2006	68.4
Banana (S)	2011	68.1
Banana (S)	2016	64.5
Barcaldine (R)	2006	64.2
Barcaldine (R)	2011	65.2
Barcaldine (R)	2016	63.5
Barcoo (S)	2006	78.5
Barcoo (S)	2011	78.3
Barcoo (S)	2016	72.4
Blackall-Tambo (R)	2006	64.6
Blackall-Tambo (R)	2011	63.2
Blackall-Tambo (R)	2016	59.8
Boulia (S)	2006	72.6
Boulia (S)	2011	63.9
Boulia (S)	2016	63.2
Brisbane (C)	2006	62.4
Brisbane (C)	2011	63.1
Brisbane (C)	2016	61.2
Bulloo (S)	2006	75.9
Bulloo (S)	2011	74.3
Bulloo (S)	2016	74.7
Bundaberg (R)	2006	47.6
Bundaberg (R)	2011	47
Bundaberg (R)	2016	44.4
Burdekin (S)	2006	58.3
Burdekin (S)	2011	58.2
Burdekin (S)	2016	55.8
Burke (S)	2006	70.2
Burke (S)	2011	68.7
Burke (S)	2016	54
Cairns (R)	2006	63.1
Cairns (R)	2011	61
Cairns (R)	2016	58
Carpentaria (S)	2006	55.9
Carpentaria (S)	2011	52.5
Carpentaria (S)	2016	52.2
Cassowary Coast (R)	2006	55.8
Cassowary Coast (R)	2011	56.1
Cassowary Coast (R)	2016	51.5
Central Highlands (R) (Qld)	2006	71.3
Central Highlands (R) (Qld)	2011	70.5
Central Highlands (R) (Qld)	2016	63.9
Charters Towers (R)	2006	55.1
Charters Towers (R)	2011	54.7
Charters Towers (R)	2016	49.1
Cherbourg (S)	2006	42.2
Cherbourg (S)	2011	25.9
Cherbourg (S)	2016	16.2
Cloncurry (S)	2006	69.1
Cloncurry (S)	2011	65.2
Cloncurry (S)	2016	63
Cook (S)	2006	52.9
Cook (S)	2011	46.6
Cook (S)	2016	49.6
Croydon (S)	2006	64
Croydon (S)	2011	60.3
Croydon (S)	2016	50.2
Diamantina (S)	2006	75.3
Diamantina (S)	2011	78.5
Diamantina (S)	2016	68.6
Doomadgee (S)	2006	43.8
Doomadgee (S)	2011	36
Doomadgee (S)	2016	32.3
Douglas (S)	2006	64.9
Douglas (S)	2011	60.1
Douglas (S)	2016	56.3
Etheridge (S)	2006	64.4
Etheridge (S)	2011	61.6
Etheridge (S)	2016	56.7
Flinders (S) (Qld)	2006	68.3
Flinders (S) (Qld)	2011	63.7
Flinders (S) (Qld)	2016	62.2
Fraser Coast (R)	2006	43.5
Fraser Coast (R)	2011	41.8
Fraser Coast (R)	2016	38.2
Gladstone (R)	2006	61.8
Gladstone (R)	2011	63.3
Gladstone (R)	2016	56.8
Gold Coast (C)	2006	57
Gold Coast (C)	2011	57.5
Gold Coast (C)	2016	57.3
Goondiwindi (R)	2006	62.5
Goondiwindi (R)	2011	62.6
Goondiwindi (R)	2016	58.1
Gympie (R)	2006	49.1
Gympie (R)	2011	47.7
Gympie (R)	2016	43.2
Hinchinbrook (S)	2006	53.8
Hinchinbrook (S)	2011	54.8
Hinchinbrook (S)	2016	49.7
Hope Vale (S)	2006	67.1
Hope Vale (S)	2011	40.6
Hope Vale (S)	2016	33.9
Ipswich (C)	2006	58.9
Ipswich (C)	2011	58.9
Ipswich (C)	2016	57
Isaac (R)	2006	69.2
Isaac (R)	2011	71.5
Isaac (R)	2016	63.7
Kowanyama (S)	2006	60.5
Kowanyama (S)	2011	39.9
Kowanyama (S)	2016	32.4
Livingstone (S)	2006	54.1
Livingstone (S)	2011	56.5
Livingstone (S)	2016	52.5
Lockhart River (S)	2006	48.8
Lockhart River (S)	2011	45.2
Lockhart River (S)	2016	37.3
Lockyer Valley (R)	2006	53.7
Lockyer Valley (R)	2011	53.8
Lockyer Valley (R)	2016	50.7
Logan (C)	2006	60.9
Logan (C)	2011	59.7
Logan (C)	2016	56.2
Longreach (R)	2006	69.3
Longreach (R)	2011	70.4
Longreach (R)	2016	65.5
Mackay (R)	2006	61.1
Mackay (R)	2011	64.6
Mackay (R)	2016	57.8
McKinlay (S)	2006	78.3
McKinlay (S)	2011	76.6
McKinlay (S)	2016	73.8
Mapoon (S)	2006	64.8
Mapoon (S)	2011	47
Mapoon (S)	2016	35.7
Maranoa (R)	2006	69.3
Maranoa (R)	2011	66.5
Maranoa (R)	2016	64.1
Mareeba (S)	2006	51.9
Mareeba (S)	2011	51.1
Mareeba (S)	2016	46.8
Moreton Bay (R)	2006	59.1
Moreton Bay (R)	2011	59.1
Moreton Bay (R)	2016	56.4
Mornington (S)	2006	51.8
Mornington (S)	2011	38.5
Mornington (S)	2016	39.1
Mount Isa (C)	2006	63.7
Mount Isa (C)	2011	64.1
Mount Isa (C)	2016	64.1
Murweh (S)	2006	65.2
Murweh (S)	2011	63.1
Murweh (S)	2016	60
Napranum (S)	2006	45.1
Napranum (S)	2011	32.8
Napranum (S)	2016	22.4
Noosa (S)	2006	51.2
Noosa (S)	2011	51.5
Noosa (S)	2016	50.4
North Burnett (R)	2006	58.5
North Burnett (R)	2011	54.5
North Burnett (R)	2016	50.3
Northern Peninsula Area (R)	2006	62.6
Northern Peninsula Area (R)	2011	51.2
Northern Peninsula Area (R)	2016	45.3
Palm Island (S)	2006	37.6
Palm Island (S)	2011	38.4
Palm Island (S)	2016	29.2
Paroo (S)	2006	56
Paroo (S)	2011	58.4
Paroo (S)	2016	54.8
Pormpuraaw (S)	2006	63.3
Pormpuraaw (S)	2011	47.6
Pormpuraaw (S)	2016	38.3
Quilpie (S)	2006	67
Quilpie (S)	2011	70
Quilpie (S)	2016	70.2
Redland (C)	2006	61.2
Redland (C)	2011	61.3
Redland (C)	2016	58.8
Richmond (S)	2006	67
Richmond (S)	2011	70.8
Richmond (S)	2016	67.6
Rockhampton (R)	2006	55.9
Rockhampton (R)	2011	58.1
Rockhampton (R)	2016	54.3
Scenic Rim (R)	2006	56.7
Scenic Rim (R)	2011	55.9
Scenic Rim (R)	2016	52.1
Somerset (R)	2006	51.4
Somerset (R)	2011	51.3
Somerset (R)	2016	47.4
South Burnett (R)	2006	49.9
South Burnett (R)	2011	48.8
South Burnett (R)	2016	44.7
Southern Downs (R)	2006	54
Southern Downs (R)	2011	53.3
Southern Downs (R)	2016	49.5
Sunshine Coast (R)	2006	54.3
Sunshine Coast (R)	2011	54.8
Sunshine Coast (R)	2016	53.8
Tablelands (R)	2006	51.2
Tablelands (R)	2011	50.9
Tablelands (R)	2016	47.5
Toowoomba (R)	2006	58.3
