LGA_NAME16	Year	unemployment
Gunnedah (A)	2011	6
Gunnedah (A)	2016	5.5
Gwydir (A)	2006	5.2
Gwydir (A)	2011	5
Gwydir (A)	2016	4.8
Hawkesbury (C)	2006	4.1
Hawkesbury (C)	2011	4.6
Hawkesbury (C)	2016	4.3
Hay (A)	2006	4.3
Hay (A)	2011	3.6
Hay (A)	2016	4.6
Hilltops (A)	2006	5.7
Hilltops (A)	2011	5.8
Hilltops (A)	2016	5.5
Hornsby (A)	2006	3.6
Hornsby (A)	2011	4.6
Hornsby (A)	2016	4.8
Hunters Hill (A)	2006	2.7
Hunters Hill (A)	2011	3.6
Hunters Hill (A)	2016	3.4
Inner West (A)	2006	4.6
Inner West (A)	2011	5.1
Inner West (A)	2016	4.8
Inverell (A)	2006	8.4
Inverell (A)	2011	7.3
Inverell (A)	2016	7.4
Junee (A)	2006	6.5
Junee (A)	2011	5
Junee (A)	2016	4.8
Kempsey (A)	2006	11.8
Kempsey (A)	2011	8.9
Kempsey (A)	2016	8.5
Kiama (A)	2006	4.7
Kiama (A)	2011	4.3
Kiama (A)	2016	4.4
Ku-ring-gai (A)	2006	3.2
Ku-ring-gai (A)	2011	4.4
Ku-ring-gai (A)	2016	4.7
Kyogle (A)	2006	10.2
Kyogle (A)	2011	9.2
Kyogle (A)	2016	8.7
Lachlan (A)	2006	6.6
Lachlan (A)	2011	4.7
Lachlan (A)	2016	6.8
Lake Macquarie (C)	2006	6.7
Lake Macquarie (C)	2011	5.3
Lake Macquarie (C)	2016	6.9
Lane Cove (A)	2006	2.9
Lane Cove (A)	2011	3.7
Lane Cove (A)	2016	4.4
Leeton (A)	2006	5.5
Leeton (A)	2011	4.3
Leeton (A)	2016	5.2
Lismore (C)	2006	9.2
Lismore (C)	2011	8.2
Lismore (C)	2016	7.8
Lithgow (C)	2006	8.5
Lithgow (C)	2011	7.2
Lithgow (C)	2016	7.7
Liverpool (C)	2006	7.2
Liverpool (C)	2011	7
Liverpool (C)	2016	7.5
Liverpool Plains (A)	2006	5.8
Liverpool Plains (A)	2011	6
Liverpool Plains (A)	2016	7.4
Lockhart (A)	2006	4.5
Lockhart (A)	2011	4.5
Lockhart (A)	2016	4
Maitland (C)	2006	6.6
Maitland (C)	2011	5
Maitland (C)	2016	7.3
Mid-Coast (A)	2006	9.8
Mid-Coast (A)	2011	8.6
Mid-Coast (A)	2016	9
Mid-Western Regional (A)	2006	7.3
Mid-Western Regional (A)	2011	5.7
Mid-Western Regional (A)	2016	6.5
Moree Plains (A)	2006	6.3
Moree Plains (A)	2011	6
Moree Plains (A)	2016	6.4
Mosman (A)	2006	2.6
Mosman (A)	2011	3.7
Mosman (A)	2016	3.9
Murray River (A)	2006	4.3
Murray River (A)	2011	4.3
Murray River (A)	2016	3.7
Murrumbidgee (A)	2006	3.2
Murrumbidgee (A)	2011	3.4
Murrumbidgee (A)	2016	4.5
Muswellbrook (A)	2006	5.3
Muswellbrook (A)	2011	4.8
Muswellbrook (A)	2016	8.2
Nambucca (A)	2006	15.1
Nambucca (A)	2011	10.7
Nambucca (A)	2016	9.4
Narrabri (A)	2006	7.1
Narrabri (A)	2011	5.4
Narrabri (A)	2016	6
Narrandera (A)	2006	5.2
Narrandera (A)	2011	5.3
Narrandera (A)	2016	6.1
Narromine (A)	2006	5.6
Narromine (A)	2011	5.9
Narromine (A)	2016	7.4
Newcastle (C)	2006	7.3
Newcastle (C)	2011	5.7
Newcastle (C)	2016	7.4
North Sydney (A)	2006	2.9
North Sydney (A)	2011	3.7
North Sydney (A)	2016	3.7
Northern Beaches (A)	2006	2.7
Northern Beaches (A)	2011	3.5
Northern Beaches (A)	2016	3.5
Oberon (A)	2006	4.5
Oberon (A)	2011	4.8
Oberon (A)	2016	5.8
Orange (C)	2006	5.8
Orange (C)	2011	4.4
Orange (C)	2016	6.3
Parkes (A)	2006	8.3
Parkes (A)	2011	4.9
Parkes (A)	2016	7.5
Parramatta (C)	2006	5.4
Parramatta (C)	2011	5.9
Parramatta (C)	2016	7
Penrith (C)	2006	5.3
Penrith (C)	2011	5.5
Penrith (C)	2016	5.7
Port Macquarie-Hastings (A)	2006	8.5
Port Macquarie-Hastings (A)	2011	6.9
Port Macquarie-Hastings (A)	2016	6.8
Port Stephens (A)	2006	7.1
Port Stephens (A)	2011	6.2
Port Stephens (A)	2016	7.2
Queanbeyan-Palerang Regional (A)	2006	2.8
Queanbeyan-Palerang Regional (A)	2011	2.8
Queanbeyan-Palerang Regional (A)	2016	4
Randwick (C)	2006	4.5
Randwick (C)	2011	5.5
Randwick (C)	2016	5.6
Richmond Valley (A)	2006	8.8
Richmond Valley (A)	2011	8
Richmond Valley (A)	2016	7.7
Rockdale (C)	2006	5.4
Rockdale (C)	2011	5.9
Rockdale (C)	2016	6.2
Ryde (C)	2006	4.7
Ryde (C)	2011	5.7
Ryde (C)	2016	6.3
Shellharbour (C)	2006	7.3
Shellharbour (C)	2011	6.7
Shellharbour (C)	2016	6.9
Shoalhaven (C)	2006	9.2
Shoalhaven (C)	2011	7.6
Shoalhaven (C)	2016	6.7
Singleton (A)	2006	4.2
Singleton (A)	2011	3.3
Singleton (A)	2016	6.1
Snowy Monaro Regional (A)	2006	3.9
Snowy Monaro Regional (A)	2011	3.5
Snowy Monaro Regional (A)	2016	3.3
Snowy Valleys (A)	2006	6.2
Snowy Valleys (A)	2011	5.5
Snowy Valleys (A)	2016	5.4
Strathfield (A)	2006	5.9
Strathfield (A)	2011	6.4
Strathfield (A)	2016	7
Sutherland Shire (A)	2006	2.9
Sutherland Shire (A)	2011	3.5
Sutherland Shire (A)	2016	3.5
Sydney (C)	2006	5.3
Sydney (C)	2011	5.8
Sydney (C)	2016	6
Tamworth Regional (A)	2006	6.8
Tamworth Regional (A)	2011	5.8
Tamworth Regional (A)	2016	5.8
Temora (A)	2006	6.6
Temora (A)	2011	4.7
Temora (A)	2016	4.9
Tenterfield (A)	2006	7.7
Tenterfield (A)	2011	6.9
Tenterfield (A)	2016	7.8
The Hills Shire (A)	2006	3.1
The Hills Shire (A)	2011	4.1
The Hills Shire (A)	2016	4.6
Tweed (A)	2006	7.1
Tweed (A)	2011	8.3
Tweed (A)	2016	7.1
Upper Hunter Shire (A)	2006	4.4
Upper Hunter Shire (A)	2011	3.6
Upper Hunter Shire (A)	2016	4.8
Upper Lachlan Shire (A)	2006	3.8
Upper Lachlan Shire (A)	2011	3
Upper Lachlan Shire (A)	2016	3.9
Uralla (A)	2006	6.6
Uralla (A)	2011	5
Uralla (A)	2016	5.2
Wagga Wagga (C)	2006	5.6
Wagga Wagga (C)	2011	5
Wagga Wagga (C)	2016	5.5
Walcha (A)	2006	3.7
Walcha (A)	2011	3.8
Walcha (A)	2016	3.2
Walgett (A)	2006	10.4
Walgett (A)	2011	8
Walgett (A)	2016	10.6
Warren (A)	2006	5.6
Warren (A)	2011	5.6
Warren (A)	2016	7.3
Warrumbungle Shire (A)	2006	8.3
Warrumbungle Shire (A)	2011	7.1
Warrumbungle Shire (A)	2016	7.9
Waverley (A)	2006	3.5
Waverley (A)	2011	4.1
Waverley (A)	2016	3.8
Weddin (A)	2006	5.5
Weddin (A)	2011	4.8
Weddin (A)	2016	5.2
Wentworth (A)	2006	5.3
Wentworth (A)	2011	5.9
Wentworth (A)	2016	6.1
Western Plains Regional (A)	2006	5.8
Western Plains Regional (A)	2011	5.4
Western Plains Regional (A)	2016	5.9
Willoughby (C)	2006	3.5
Willoughby (C)	2011	4.6
Willoughby (C)	2016	5.1
Wingecarribee (A)	2006	4.3
Wingecarribee (A)	2011	4.2
Wingecarribee (A)	2016	3.8
Wollondilly (A)	2006	4.3
Wollondilly (A)	2011	4.2
Wollondilly (A)	2016	4
Wollongong (C)	2006	7.5
Wollongong (C)	2011	7
Wollongong (C)	2016	7.1
Woollahra (A)	2006	2.7
Woollahra (A)	2011	3.7
Woollahra (A)	2016	3.3
Yass Valley (A)	2006	2.6
Yass Valley (A)	2011	2.4
Yass Valley (A)	2016	2.9
Unincorporated NSW	2006	1.3
Unincorporated NSW	2011	2
Unincorporated NSW	2016	1.6
No usual address (NSW)	2006	20.9
No usual address (NSW)	2011	22.6
No usual address (NSW)	2016	22
Migratory - Offshore - Shipping (NSW)	2006	0
Migratory - Offshore - Shipping (NSW)	2011	0
Migratory - Offshore - Shipping (NSW)	2016	3.1
Alpine (S)	2006	4.7
Alpine (S)	2011	4.6
Alpine (S)	2016	3.8
Ararat (RC)	2006	6
Ararat (RC)	2011	3.7
Ararat (RC)	2016	5.2
Ballarat (C)	2006	6.4
Ballarat (C)	2011	5.8
Ballarat (C)	2016	7.1
Banyule (C)	2006	4.2
Banyule (C)	2011	4.4
Banyule (C)	2016	5.5
Bass Coast (S)	2006	6.1
Bass Coast (S)	2011	4.7
Bass Coast (S)	2016	6.4
Baw Baw (S)	2006	4.8
Baw Baw (S)	2011	4.9
Baw Baw (S)	2016	5.5
Bayside (C)	2006	3.3
Bayside (C)	2011	3.8
Bayside (C)	2016	4.6
Benalla (RC)	2006	5.7
Benalla (RC)	2011	4.8
Benalla (RC)	2016	5.3
Boroondara (C)	2006	3.9
Boroondara (C)	2011	4.5
Boroondara (C)	2016	5.6
Brimbank (C)	2006	8.9
Brimbank (C)	2011	8.3
Brimbank (C)	2016	10.4
Buloke (S)	2006	3.2
Buloke (S)	2011	3.7
Buloke (S)	2016	4.4
Campaspe (S)	2006	4.7
Campaspe (S)	2011	4.5
Campaspe (S)	2016	4.9
Cardinia (S)	2006	4.2
Cardinia (S)	2011	4.6
Cardinia (S)	2016	5.5
Casey (C)	2006	5.3
Casey (C)	2011	5.9
Casey (C)	2016	7.2
Central Goldfields (S)	2006	9.9
Central Goldfields (S)	2011	6.7
Central Goldfields (S)	2016	8.9
Colac-Otway (S)	2006	4.6
Colac-Otway (S)	2011	3.6
Colac-Otway (S)	2016	4
Corangamite (S)	2006	3.7
Corangamite (S)	2011	3
Corangamite (S)	2016	4
Darebin (C)	2006	6.5
Darebin (C)	2011	6.2
Darebin (C)	2016	7.2
East Gippsland (S)	2006	6.2
East Gippsland (S)	2011	5.5
East Gippsland (S)	2016	6.4
Frankston (C)	2006	6
Frankston (C)	2011	5.7
Frankston (C)	2016	6.4
Gannawarra (S)	2006	4.2
Gannawarra (S)	2011	4
Gannawarra (S)	2016	4.8
Glen Eira (C)	2006	4.1
Glen Eira (C)	2011	4.6
Glen Eira (C)	2016	5.8
Glenelg (S)	2006	6.3
Glenelg (S)	2011	4.9
Glenelg (S)	2016	6
Golden Plains (S)	2006	5.1
Golden Plains (S)	2011	4.4
Golden Plains (S)	2016	4.7
Greater Bendigo (C)	2006	6.5
Greater Bendigo (C)	2011	5.2
Greater Bendigo (C)	2016	6.4
Greater Dandenong (C)	2006	9.4
Greater Dandenong (C)	2011	8.9
Greater Dandenong (C)	2016	10.3
Greater Geelong (C)	2006	6.3
Greater Geelong (C)	2011	5.6
Greater Geelong (C)	2016	6.4
Greater Shepparton (C)	2006	6.1
Greater Shepparton (C)	2011	5.5
Greater Shepparton (C)	2016	6.4
Hepburn (S)	2006	6.5
Hepburn (S)	2011	5.6
Hepburn (S)	2016	5.2
Hindmarsh (S)	2006	4.9
Hindmarsh (S)	2011	3.1
Hindmarsh (S)	2016	5.1
Hobsons Bay (C)	2006	5.9
Hobsons Bay (C)	2011	5.6
Hobsons Bay (C)	2016	6.5
Horsham (RC)	2006	5.1
Horsham (RC)	2011	3.6
Horsham (RC)	2016	4.9
Hume (C)	2006	7
Hume (C)	2011	6.8
Hume (C)	2016	8.7
Indigo (S)	2006	3.6
Indigo (S)	2011	3.9
Indigo (S)	2016	4.3
Kingston (C) (Vic.)	2006	4.5
Kingston (C) (Vic.)	2011	4.5
Kingston (C) (Vic.)	2016	5.4
Knox (C)	2006	4.2
Knox (C)	2011	4.6
Knox (C)	2016	5.6
Latrobe (C) (Vic.)	2006	8.4
Latrobe (C) (Vic.)	2011	7.9
Latrobe (C) (Vic.)	2016	9.7
Loddon (S)	2006	5.7
Loddon (S)	2011	5.7
Loddon (S)	2016	5.3
Macedon Ranges (S)	2006	3.8
Macedon Ranges (S)	2011	3.6
Macedon Ranges (S)	2016	4.4
Manningham (C)	2006	4.2
Manningham (C)	2011	4.7
Manningham (C)	2016	6.1
Mansfield (S)	2006	4.3
Mansfield (S)	2011	2.7
Mansfield (S)	2016	3.4
Maribyrnong (C)	2006	8.5
Maribyrnong (C)	2011	7
Maribyrnong (C)	2016	8.3
Maroondah (C)	2006	3.9
Maroondah (C)	2011	4.3
Maroondah (C)	2016	5.2
Melbourne (C)	2006	7.6
Melbourne (C)	2011	8.2
Melbourne (C)	2016	10.9
Melton (C)	2006	5.9
Melton (C)	2011	6
Melton (C)	2016	7.6
Mildura (RC)	2006	5.7
Mildura (RC)	2011	6.6
Mildura (RC)	2016	7.3
Mitchell (S)	2006	4.8
Mitchell (S)	2011	5.1
Mitchell (S)	2016	5.7
Moira (S)	2006	4.7
Moira (S)	2011	4.8
Moira (S)	2016	5.1
Monash (C)	2006	5.6
Monash (C)	2011	6.2
Monash (C)	2016	8
Moonee Valley (C)	2006	4.9
Moonee Valley (C)	2011	4.7
Moonee Valley (C)	2016	5.7
Moorabool (S)	2006	5.2
Moorabool (S)	2011	4.7
Moorabool (S)	2016	5.8
Moreland (C)	2006	6
Moreland (C)	2011	5.8
Moreland (C)	2016	6.9
Mornington Peninsula (S)	2006	4.7
Mornington Peninsula (S)	2011	4.5
Mornington Peninsula (S)	2016	4.9
Mount Alexander (S)	2006	6.6
Mount Alexander (S)	2011	4.9
Mount Alexander (S)	2016	5.4
Moyne (S)	2006	3.3
Moyne (S)	2011	3.6
Moyne (S)	2016	3.7
Murrindindi (S)	2006	4.3
Murrindindi (S)	2011	4.6
Murrindindi (S)	2016	5.1
Nillumbik (S)	2006	3
Nillumbik (S)	2011	3.5
Nillumbik (S)	2016	4.3
Northern Grampians (S)	2006	5.2
Northern Grampians (S)	2011	4.7
Northern Grampians (S)	2016	5.2
Port Phillip (C)	2006	4.4
Port Phillip (C)	2011	4.3
Port Phillip (C)	2016	5.1
Pyrenees (S)	2006	7.6
Pyrenees (S)	2011	6.8
Pyrenees (S)	2016	6.2
Queenscliffe (B)	2006	2.9
Queenscliffe (B)	2011	4.5
Queenscliffe (B)	2016	3.1
South Gippsland (S)	2006	4
South Gippsland (S)	2011	3.7
South Gippsland (S)	2016	4.9
Southern Grampians (S)	2006	4
Southern Grampians (S)	2011	3.8
Southern Grampians (S)	2016	4.4
Stonnington (C)	2006	4.1
Stonnington (C)	2011	4.4
Stonnington (C)	2016	5.2
Strathbogie (S)	2006	4.4
Strathbogie (S)	2011	4.1
Strathbogie (S)	2016	4.6
Surf Coast (S)	2006	3.9
Surf Coast (S)	2011	3.8
Surf Coast (S)	2016	3.8
Swan Hill (RC)	2006	4.6
Swan Hill (RC)	2011	4.9
Swan Hill (RC)	2016	5.1
Towong (S)	2006	3.8
Towong (S)	2011	4
Towong (S)	2016	4.6
Wangaratta (RC)	2006	4.6
Wangaratta (RC)	2011	4.7
Wangaratta (RC)	2016	4.6
Warrnambool (C)	2006	5.2
Warrnambool (C)	2011	4.9
Warrnambool (C)	2016	5.2
Wellington (S)	2006	5.9
Wellington (S)	2011	5.2
Wellington (S)	2016	6.2
West Wimmera (S)	2006	2.8
West Wimmera (S)	2011	2.8
West Wimmera (S)	2016	3.7
Whitehorse (C)	2006	4.6
Whitehorse (C)	2011	5.3
Whitehorse (C)	2016	7
Whittlesea (C)	2006	5.9
Whittlesea (C)	2011	5.6
Whittlesea (C)	2016	7.2
Wodonga (C)	2006	5.3
Wodonga (C)	2011	5.6
Wodonga (C)	2016	6
Wyndham (C)	2006	5.4
Wyndham (C)	2011	6.3
Wyndham (C)	2016	8.2
Yarra (C)	2006	5.1
Yarra (C)	2011	4.8
Yarra (C)	2016	5.3
Yarra Ranges (S)	2006	4.1
Yarra Ranges (S)	2011	4
Yarra Ranges (S)	2016	4.6
Yarriambiack (S)	2006	4.2
Yarriambiack (S)	2011	3.8
Yarriambiack (S)	2016	4.9
Unincorporated Vic	2006	1.2
Unincorporated Vic	2011	1.4
Unincorporated Vic	2016	2.9
No usual address (Vic.)	2006	18.1
No usual address (Vic.)	2011	21.9
No usual address (Vic.)	2016	23.2
Migratory - Offshore - Shipping (Vic.)	2006	0
Migratory - Offshore - Shipping (Vic.)	2011	0
Migratory - Offshore - Shipping (Vic.)	2016	0
Aurukun (S)	2006	8.1
Aurukun (S)	2011	22.2
Aurukun (S)	2016	37.7
Balonne (S)	2006	3.2
Balonne (S)	2011	4.3
Balonne (S)	2016	4.4
Banana (S)	2006	2.3
Banana (S)	2011	2.6
Banana (S)	2016	4
Barcaldine (R)	2006	2.7
Barcaldine (R)	2011	2.2
Barcaldine (R)	2016	2.8
Barcoo (S)	2006	0
Barcoo (S)	2011	1.3
Barcoo (S)	2016	2.3
Blackall-Tambo (R)	2006	3.4
Blackall-Tambo (R)	2011	2.4
Blackall-Tambo (R)	2016	3.5
Boulia (S)	2006	6
Boulia (S)	2011	5.6
Boulia (S)	2016	7.9
Brisbane (C)	2006	4
Brisbane (C)	2011	5.3
Brisbane (C)	2016	6.8
Bulloo (S)	2006	2.1
Bulloo (S)	2011	0
Bulloo (S)	2016	2.7
Bundaberg (R)	2006	7.8
Bundaberg (R)	2011	8.9
Bundaberg (R)	2016	10.6
Burdekin (S)	2006	3.8
Burdekin (S)	2011	4
Burdekin (S)	2016	5.8
Burke (S)	2006	1
Burke (S)	2011	2.4
Burke (S)	2016	8.8
Cairns (R)	2006	4.3
Cairns (R)	2011	6.7
Cairns (R)	2016	7.7
Carpentaria (S)	2006	4.6
Carpentaria (S)	2011	5.5
Carpentaria (S)	2016	8.7
Cassowary Coast (R)	2006	4.5
Cassowary Coast (R)	2011	6
Cassowary Coast (R)	2016	7.8
Central Highlands (R) (Qld)	2006	2.3
Central Highlands (R) (Qld)	2011	2.5
Central Highlands (R) (Qld)	2016	5.5
Charters Towers (R)	2006	5.7
Charters Towers (R)	2011	5.4
Charters Towers (R)	2016	8.8
Cherbourg (S)	2006	5.2
Cherbourg (S)	2011	35.5
Cherbourg (S)	2016	50
Cloncurry (S)	2006	3.3
Cloncurry (S)	2011	4.7
Cloncurry (S)	2016	4.7
Cook (S)	2006	6.2
Cook (S)	2011	6.8
Cook (S)	2016	7.2
Croydon (S)	2006	12.8
Croydon (S)	2011	6
Croydon (S)	2016	9.1
Diamantina (S)	2006	3.8
Diamantina (S)	2011	3.2
Diamantina (S)	2016	3.5
Doomadgee (S)	2006	6.3
Doomadgee (S)	2011	19.8
Doomadgee (S)	2016	19.8
Douglas (S)	2006	2.4
Douglas (S)	2011	5.2
Douglas (S)	2016	5.1
Etheridge (S)	2006	2
Etheridge (S)	2011	3.2
Etheridge (S)	2016	5.2
Flinders (S) (Qld)	2006	2.4
Flinders (S) (Qld)	2011	2.9
Flinders (S) (Qld)	2016	3.4
Fraser Coast (R)	2006	8.4
Fraser Coast (R)	2011	10.5
Fraser Coast (R)	2016	12
Gladstone (R)	2006	5.3
Gladstone (R)	2011	4.5
Gladstone (R)	2016	11.1
Gold Coast (C)	2006	5.2
Gold Coast (C)	2011	7.4
Gold Coast (C)	2016	7
Goondiwindi (R)	2006	3.9
Goondiwindi (R)	2011	3
Goondiwindi (R)	2016	3.7
Gympie (R)	2006	7.7
Gympie (R)	2011	7.7
Gympie (R)	2016	9.7
Hinchinbrook (S)	2006	3.4
Hinchinbrook (S)	2011	3.6
Hinchinbrook (S)	2016	6
Hope Vale (S)	2006	4.1
Hope Vale (S)	2011	30.5
Hope Vale (S)	2016	40.8
Ipswich (C)	2006	5.1
Ipswich (C)	2011	7.2
Ipswich (C)	2016	9
Isaac (R)	2006	2.1
Isaac (R)	2011	2
Isaac (R)	2016	4.9
Kowanyama (S)	2006	1.3
Kowanyama (S)	2011	11.5
Kowanyama (S)	2016	36.6
Livingstone (S)	2006	4.4
Livingstone (S)	2011	4.6
Livingstone (S)	2016	7.9
Lockhart River (S)	2006	5.6
Lockhart River (S)	2011	12.9
Lockhart River (S)	2016	14.7
Lockyer Valley (R)	2006	5.2
Lockyer Valley (R)	2011	6.5
Lockyer Valley (R)	2016	8.1
Logan (C)	2006	5.5
Logan (C)	2011	7.2
Logan (C)	2016	8.9
Longreach (R)	2006	2.8
Longreach (R)	2011	2.4
Longreach (R)	2016	3.5
Mackay (R)	2006	3.8
Mackay (R)	2011	3.6
Mackay (R)	2016	8.6
McKinlay (S)	2006	1.9
McKinlay (S)	2011	1.2
McKinlay (S)	2016	3.4
Mapoon (S)	2006	2.6
Mapoon (S)	2011	7.6
Mapoon (S)	2016	28.1
Maranoa (R)	2006	2.5
Maranoa (R)	2011	2.5
Maranoa (R)	2016	3.7
Mareeba (S)	2006	5.1
Mareeba (S)	2011	7.2
Mareeba (S)	2016	8.3
Moreton Bay (R)	2006	4.7
Moreton Bay (R)	2011	6.2
Moreton Bay (R)	2016	7.7
Mornington (S)	2006	3.9
Mornington (S)	2011	15.9
Mornington (S)	2016	24.3
Mount Isa (C)	2006	3.9
Mount Isa (C)	2011	4.3
Mount Isa (C)	2016	6
Murweh (S)	2006	2.6
Murweh (S)	2011	4.7
Murweh (S)	2016	5.2
Napranum (S)	2006	7.5
Napranum (S)	2011	19.5
Napranum (S)	2016	32.3
Noosa (S)	2006	6.3
Noosa (S)	2011	7.4
Noosa (S)	2016	6.7
North Burnett (R)	2006	3.9
North Burnett (R)	2011	4.8
North Burnett (R)	2016	5.3
Northern Peninsula Area (R)	2006	5.9
Northern Peninsula Area (R)	2011	8.5
Northern Peninsula Area (R)	2016	20
Palm Island (S)	2006	15.2
Palm Island (S)	2011	26.4
Palm Island (S)	2016	29.4
Paroo (S)	2006	6.9
Paroo (S)	2011	6.1
Paroo (S)	2016	5.5
Pormpuraaw (S)	2006	3.8
Pormpuraaw (S)	2011	18.9
Pormpuraaw (S)	2016	18.3
Quilpie (S)	2006	3.4
Quilpie (S)	2011	3.7
Quilpie (S)	2016	3
Redland (C)	2006	4.1
Redland (C)	2011	5.4
Redland (C)	2016	6.1
Richmond (S)	2006	1.1
Richmond (S)	2011	2.3
Richmond (S)	2016	2.9
Rockhampton (R)	2006	5.6
Rockhampton (R)	2011	5.3
Rockhampton (R)	2016	9.2
Scenic Rim (R)	2006	4
Scenic Rim (R)	2011	5.6
Scenic Rim (R)	2016	6
Somerset (R)	2006	5.4
Somerset (R)	2011	6.6
Somerset (R)	2016	8.1
South Burnett (R)	2006	5.7
South Burnett (R)	2011	6.4
South Burnett (R)	2016	7.4
Southern Downs (R)	2006	5.3
Southern Downs (R)	2011	5.1
Southern Downs (R)	2016	6.3
Sunshine Coast (R)	2006	5.7
Sunshine Coast (R)	2011	7
Sunshine Coast (R)	2016	7.2
Tablelands (R)	2006	5.5
Tablelands (R)	2011	6.3
Tablelands (R)	2016	7.7
Toowoomba (R)	2006	4.4
Toowoomba (R)	2011	4.7
