LGA_NAME16	Year	AustCitizen	Sex	persons
Forbes (A)	2006	1	M	4309
Forbes (A)	2011	0		571
Forbes (A)	2011	1	F	4342
Forbes (A)	2011	1	M	4256
Forbes (A)	2016	0		970
Forbes (A)	2016	1	F	4299
Forbes (A)	2016	1	M	4318
Georges River (A)	2006	0		21200
Georges River (A)	2006	1	F	54112
Georges River (A)	2006	1	M	50951
Georges River (A)	2011	0		24708
Georges River (A)	2011	1	F	56517
Georges River (A)	2011	1	M	53430
Georges River (A)	2016	0		35660
Georges River (A)	2016	1	F	56720
Georges River (A)	2016	1	M	54461
Gilgandra (A)	2006	0		323
Gilgandra (A)	2006	1	F	2144
Gilgandra (A)	2006	1	M	2052
Gilgandra (A)	2011	0		339
Gilgandra (A)	2011	1	F	2081
Gilgandra (A)	2011	1	M	1948
Gilgandra (A)	2016	0		384
Gilgandra (A)	2016	1	F	1956
Gilgandra (A)	2016	1	M	1896
Glen Innes Severn (A)	2006	0		749
Glen Innes Severn (A)	2006	1	F	4116
Glen Innes Severn (A)	2006	1	M	3917
Glen Innes Severn (A)	2011	0		733
Glen Innes Severn (A)	2011	1	F	4079
Glen Innes Severn (A)	2011	1	M	3843
Glen Innes Severn (A)	2016	0		1205
Glen Innes Severn (A)	2016	1	F	3901
Glen Innes Severn (A)	2016	1	M	3730
Goulburn Mulwaree (A)	2006	0		2555
Goulburn Mulwaree (A)	2006	1	F	11892
Goulburn Mulwaree (A)	2006	1	M	11637
Goulburn Mulwaree (A)	2011	0		2579
Goulburn Mulwaree (A)	2011	1	F	12613
Goulburn Mulwaree (A)	2011	1	M	12288
Goulburn Mulwaree (A)	2016	0		3646
Goulburn Mulwaree (A)	2016	1	F	13115
Goulburn Mulwaree (A)	2016	1	M	12848
Greater Hume Shire (A)	2006	0		585
Greater Hume Shire (A)	2006	1	F	4509
Greater Hume Shire (A)	2006	1	M	4633
Greater Hume Shire (A)	2011	0		711
Greater Hume Shire (A)	2011	1	F	4519
Greater Hume Shire (A)	2011	1	M	4587
Greater Hume Shire (A)	2016	0		892
Greater Hume Shire (A)	2016	1	F	4706
Greater Hume Shire (A)	2016	1	M	4753
Griffith (C)	2006	0		2786
Griffith (C)	2006	1	F	10562
Griffith (C)	2006	1	M	10450
Griffith (C)	2011	0		3488
Griffith (C)	2011	1	F	10476
Griffith (C)	2011	1	M	10399
Griffith (C)	2016	0		4799
Griffith (C)	2016	1	F	10497
Griffith (C)	2016	1	M	10345
Gundagai (A)	2006	0		564
Gundagai (A)	2006	1	F	5355
Gundagai (A)	2006	1	M	5087
Gundagai (A)	2011	0		777
Gundagai (A)	2011	1	F	5216
Gundagai (A)	2011	1	M	5006
Gundagai (A)	2016	0		961
Gundagai (A)	2016	1	F	5158
Gundagai (A)	2016	1	M	5022
Gunnedah (A)	2006	0		736
Gunnedah (A)	2006	1	F	5431
Gunnedah (A)	2006	1	M	5357
Gunnedah (A)	2011	0		1085
Gunnedah (A)	2011	1	F	5497
Gunnedah (A)	2011	1	M	5483
Gunnedah (A)	2016	0		1238
Gunnedah (A)	2016	1	F	5494
Gunnedah (A)	2016	1	M	5483
Gwydir (A)	2006	0		282
Gwydir (A)	2006	1	F	2487
Gwydir (A)	2006	1	M	2541
Gwydir (A)	2011	0		241
Gwydir (A)	2011	1	F	2340
Gwydir (A)	2011	1	M	2384
Gwydir (A)	2016	0		598
Gwydir (A)	2016	1	F	2303
Gwydir (A)	2016	1	M	2357
Hawkesbury (C)	2006	0		6241
Hawkesbury (C)	2006	1	F	27378
Hawkesbury (C)	2006	1	M	26938
Hawkesbury (C)	2011	0		5975
Hawkesbury (C)	2011	1	F	28300
Hawkesbury (C)	2011	1	M	28078
Hawkesbury (C)	2016	0		6646
Hawkesbury (C)	2016	1	F	29263
Hawkesbury (C)	2016	1	M	28683
Hay (A)	2006	0		226
Hay (A)	2006	1	F	1559
Hay (A)	2006	1	M	1594
Hay (A)	2011	0		238
Hay (A)	2011	1	F	1361
Hay (A)	2011	1	M	1359
Hay (A)	2016	0		440
Hay (A)	2016	1	F	1243
Hay (A)	2016	1	M	1263
Hilltops (A)	2006	0		1062
Hilltops (A)	2006	1	F	8502
Hilltops (A)	2006	1	M	8297
Hilltops (A)	2011	0		1394
