LGA_NAME16	Year	SameAddress5YearsAgo	Sex	persons
Byron (A)	2016		M	2776
Byron (A)	2016	0	F	6167
Byron (A)	2016	0	M	5271
Byron (A)	2016	1	F	7322
Byron (A)	2016	1	M	7150
Cabonne (A)	2006		F	595
Cabonne (A)	2006		M	685
Cabonne (A)	2006	0	F	2013
Cabonne (A)	2006	0	M	1945
Cabonne (A)	2006	1	F	3550
Cabonne (A)	2006	1	M	3609
Cabonne (A)	2011		F	619
Cabonne (A)	2011		M	661
Cabonne (A)	2011	0	F	1835
Cabonne (A)	2011	0	M	1750
Cabonne (A)	2011	1	F	3960
Cabonne (A)	2011	1	M	3993
Cabonne (A)	2016		F	899
Cabonne (A)	2016		M	935
Cabonne (A)	2016	0	F	1962
Cabonne (A)	2016	0	M	1805
Cabonne (A)	2016	1	F	3838
Cabonne (A)	2016	1	M	3952
Camden (A)	2006		F	3109
Camden (A)	2006		M	3212
Camden (A)	2006	0	F	9549
Camden (A)	2006	0	M	8839
Camden (A)	2006	1	F	12654
Camden (A)	2006	1	M	12280
Camden (A)	2011		F	3205
Camden (A)	2011		M	3430
Camden (A)	2011	0	F	10324
Camden (A)	2011	0	M	9679
Camden (A)	2011	1	F	15312
Camden (A)	2011	1	M	14771
Camden (A)	2016		F	5125
Camden (A)	2016		M	5114
Camden (A)	2016	0	F	17577
Camden (A)	2016	0	M	16647
Camden (A)	2016	1	F	17182
Camden (A)	2016	1	M	16575
Campbelltown (C) (NSW)	2006		F	9680
Campbelltown (C) (NSW)	2006		M	10018
Campbelltown (C) (NSW)	2006	0	F	22616
Campbelltown (C) (NSW)	2006	0	M	21001
Campbelltown (C) (NSW)	2006	1	F	40446
Campbelltown (C) (NSW)	2006	1	M	39310
Campbelltown (C) (NSW)	2011		F	9416
Campbelltown (C) (NSW)	2011		M	9389
Campbelltown (C) (NSW)	2011	0	F	22186
Campbelltown (C) (NSW)	2011	0	M	20494
Campbelltown (C) (NSW)	2011	1	F	43025
Campbelltown (C) (NSW)	2011	1	M	41455
Campbelltown (C) (NSW)	2016		F	10625
Campbelltown (C) (NSW)	2016		M	10532
Campbelltown (C) (NSW)	2016	0	F	26547
Campbelltown (C) (NSW)	2016	0	M	25115
Campbelltown (C) (NSW)	2016	1	F	42827
Campbelltown (C) (NSW)	2016	1	M	41355
Canada Bay (A)	2006		F	4424
Canada Bay (A)	2006		M	4547
Canada Bay (A)	2006	0	F	12544
Canada Bay (A)	2006	0	M	11548
Canada Bay (A)	2006	1	F	17146
Canada Bay (A)	2006	1	M	15542
Canada Bay (A)	2011		F	4727
Canada Bay (A)	2011		M	5158
Canada Bay (A)	2011	0	F	14996
Canada Bay (A)	2011	0	M	14100
Canada Bay (A)	2011	1	F	19237
Canada Bay (A)	2011	1	M	17546
Canada Bay (A)	2016		F	5369
Canada Bay (A)	2016		M	5267
Canada Bay (A)	2016	0	F	19280
Canada Bay (A)	2016	0	M	18128
Canada Bay (A)	2016	1	F	21017
Canada Bay (A)	2016	1	M	18953
Canterbury-Bankstown (A)	2006		F	21208
Canterbury-Bankstown (A)	2006		M	22826
Canterbury-Bankstown (A)	2006	0	F	44087
Canterbury-Bankstown (A)	2006	0	M	42892
Canterbury-Bankstown (A)	2006	1	F	86500
Canterbury-Bankstown (A)	2006	1	M	82938
Canterbury-Bankstown (A)	2011		F	21298
Canterbury-Bankstown (A)	2011		M	22959
Canterbury-Bankstown (A)	2011	0	F	46532
Canterbury-Bankstown (A)	2011	0	M	45982
Canterbury-Bankstown (A)	2011	1	F	93338
Canterbury-Bankstown (A)	2011	1	M	89694
Canterbury-Bankstown (A)	2016		F	22496
Canterbury-Bankstown (A)	2016		M	23394
Canterbury-Bankstown (A)	2016	0	F	56033
Canterbury-Bankstown (A)	2016	0	M	56593
Canterbury-Bankstown (A)	2016	1	F	95448
Canterbury-Bankstown (A)	2016	1	M	92340
Carrathool (A)	2006		F	160
Carrathool (A)	2006		M	239
Carrathool (A)	2006	0	F	439
Carrathool (A)	2006	0	M	449
Carrathool (A)	2006	1	F	711
Carrathool (A)	2006	1	M	817
Carrathool (A)	2011		F	113
Carrathool (A)	2011		M	139
Carrathool (A)	2011	0	F	399
Carrathool (A)	2011	0	M	403
Carrathool (A)	2011	1	F	711
Carrathool (A)	2011	1	M	824
Carrathool (A)	2016		F	224
Carrathool (A)	2016		M	226
Carrathool (A)	2016	0	F	383
Carrathool (A)	2016	0	M	402
Carrathool (A)	2016	1	F	696
Carrathool (A)	2016	1	M	793
Central Coast (C) (NSW)	2006		F	18817
Central Coast (C) (NSW)	2006		M	19022
Central Coast (C) (NSW)	2006	0	F	56276
Central Coast (C) (NSW)	2006	0	M	51261
Central Coast (C) (NSW)	2006	1	F	78920
Central Coast (C) (NSW)	2006	1	M	73660
Central Coast (C) (NSW)	2011		F	17500
Central Coast (C) (NSW)	2011		M	18138
Central Coast (C) (NSW)	2011	0	F	56792
Central Coast (C) (NSW)	2011	0	M	51342
Central Coast (C) (NSW)	2011	1	F	87192
Central Coast (C) (NSW)	2011	1	M	81224
Central Coast (C) (NSW)	2016		F	20203
Central Coast (C) (NSW)	2016		M	19939
Central Coast (C) (NSW)	2016	0	F	61990
Central Coast (C) (NSW)	2016	0	M	56759
Central Coast (C) (NSW)	2016	1	F	86779
Central Coast (C) (NSW)	2016	1	M	82070
Central Darling (A)	2006		F	131
Central Darling (A)	2006		M	194
Central Darling (A)	2006	0	F	274
Central Darling (A)	2006	0	M	285
Central Darling (A)	2006	1	F	478
Central Darling (A)	2006	1	M	580
Central Darling (A)	2011		F	116
Central Darling (A)	2011		M	153
Central Darling (A)	2011	0	F	268
Central Darling (A)	2011	0	M	266
Central Darling (A)	2011	1	F	561
Central Darling (A)	2011	1	M	626
Central Darling (A)	2016		F	158
Central Darling (A)	2016		M	217
Central Darling (A)	2016	0	F	198
Central Darling (A)	2016	0	M	220
Central Darling (A)	2016	1	F	503
Central Darling (A)	2016	1	M	536
Cessnock (C)	2006		F	2605
Cessnock (C)	2006		M	3192
Cessnock (C)	2006	0	F	7709
Cessnock (C)	2006	0	M	7078
Cessnock (C)	2006	1	F	13033
Cessnock (C)	2006	1	M	12592
Cessnock (C)	2011		F	3131
Cessnock (C)	2011		M	3733
Cessnock (C)	2011	0	F	8324
Cessnock (C)	2011	0	M	7609
Cessnock (C)	2011	1	F	14128
Cessnock (C)	2011	1	M	13915
Cessnock (C)	2016		F	4110
Cessnock (C)	2016		M	4751
Cessnock (C)	2016	0	F	9543
Cessnock (C)	2016	0	M	8662
Cessnock (C)	2016	1	F	14275
Cessnock (C)	2016	1	M	14220
Clarence Valley (A)	2006		F	2394
Clarence Valley (A)	2006		M	2832
Clarence Valley (A)	2006	0	F	9223
Clarence Valley (A)	2006	0	M	8710
Clarence Valley (A)	2006	1	F	12656
Clarence Valley (A)	2006	1	M	12333
Clarence Valley (A)	2011		F	2512
Clarence Valley (A)	2011		M	2897
Clarence Valley (A)	2011	0	F	8854
Clarence Valley (A)	2011	0	M	8193
Clarence Valley (A)	2011	1	F	13784
Clarence Valley (A)	2011	1	M	13424
Clarence Valley (A)	2016		F	3191
Clarence Valley (A)	2016		M	3632
Clarence Valley (A)	2016	0	F	8440
Clarence Valley (A)	2016	0	M	7815
Clarence Valley (A)	2016	1	F	13899
Clarence Valley (A)	2016	1	M	13693
Cobar (A)	2006		F	346
Cobar (A)	2006		M	437
Cobar (A)	2006	0	F	970
Cobar (A)	2006	0	M	1070
Cobar (A)	2006	1	F	1032
Cobar (A)	2006	1	M	1063
Cobar (A)	2011		F	355
Cobar (A)	2011		M	401
Cobar (A)	2011	0	F	870
Cobar (A)	2011	0	M	926
Cobar (A)	2011	1	F	1022
Cobar (A)	2011	1	M	1132
Cobar (A)	2016		F	448
Cobar (A)	2016		M	475
Cobar (A)	2016	0	F	748
Cobar (A)	2016	0	M	758
Cobar (A)	2016	1	F	1059
Cobar (A)	2016	1	M	1161
Coffs Harbour (C)	2006		F	3348
Coffs Harbour (C)	2006		M	3599
Coffs Harbour (C)	2006	0	F	14241
Coffs Harbour (C)	2006	0	M	12954
Coffs Harbour (C)	2006	1	F	15747
Coffs Harbour (C)	2006	1	M	15020
Coffs Harbour (C)	2011		F	3812
Coffs Harbour (C)	2011		M	3837
Coffs Harbour (C)	2011	0	F	13985
Coffs Harbour (C)	2011	0	M	12746
Coffs Harbour (C)	2011	1	F	17415
Coffs Harbour (C)	2011	1	M	16618
Coffs Harbour (C)	2016		F	4876
Coffs Harbour (C)	2016		M	4767
Coffs Harbour (C)	2016	0	F	14725
Coffs Harbour (C)	2016	0	M	13272
Coffs Harbour (C)	2016	1	F	18028
Coffs Harbour (C)	2016	1	M	17280
Coolamon (A)	2006		F	209
Coolamon (A)	2006		M	208
Coolamon (A)	2006	0	F	637
Coolamon (A)	2006	0	M	561
Coolamon (A)	2006	1	F	1189
Coolamon (A)	2006	1	M	1221
Coolamon (A)	2011		F	228
Coolamon (A)	2011		M	239
Coolamon (A)	2011	0	F	579
Coolamon (A)	2011	0	M	504
Coolamon (A)	2011	1	F	1285
Coolamon (A)	2011	1	M	1261
Coolamon (A)	2016		F	362
Coolamon (A)	2016		M	366
Coolamon (A)	2016	0	F	585
Coolamon (A)	2016	0	M	617
Coolamon (A)	2016	1	F	1209
Coolamon (A)	2016	1	M	1177
Coonamble (A)	2006		F	222
Coonamble (A)	2006		M	266
Coonamble (A)	2006	0	F	646
Coonamble (A)	2006	0	M	585
Coonamble (A)	2006	1	F	1237
Coonamble (A)	2006	1	M	1255
Coonamble (A)	2011		F	231
Coonamble (A)	2011		M	267
Coonamble (A)	2011	0	F	550
Coonamble (A)	2011	0	M	516
Coonamble (A)	2011	1	F	1219
Coonamble (A)	2011	1	M	1246
Coonamble (A)	2016		F	443
Coonamble (A)	2016		M	441
Coonamble (A)	2016	0	F	516
Coonamble (A)	2016	0	M	472
Coonamble (A)	2016	1	F	1011
Coonamble (A)	2016	1	M	1034
Cowra (A)	2006		F	651
Cowra (A)	2006		M	694
Cowra (A)	2006	0	F	2232
Cowra (A)	2006	0	M	2154
Cowra (A)	2006	1	F	3394
Cowra (A)	2006	1	M	3358
Cowra (A)	2011		F	733
Cowra (A)	2011		M	751
Cowra (A)	2011	0	F	1745
Cowra (A)	2011	0	M	1754
Cowra (A)	2011	1	F	3614
Cowra (A)	2011	1	M	3550
Cowra (A)	2016		F	926
Cowra (A)	2016		M	907
Cowra (A)	2016	0	F	1954
Cowra (A)	2016	0	M	1773
Cowra (A)	2016	1	F	3428
Cowra (A)	2016	1	M	3477
Cumberland (A)	2006		F	12940
Cumberland (A)	2006		M	14154
Cumberland (A)	2006	0	F	29015
Cumberland (A)	2006	0	M	29048
Cumberland (A)	2006	1	F	45006
Cumberland (A)	2006	1	M	43957
Cumberland (A)	2011		F	13646
Cumberland (A)	2011		M	15016
Cumberland (A)	2011	0	F	32482
Cumberland (A)	2011	0	M	33103
Cumberland (A)	2011	1	F	50040
Cumberland (A)	2011	1	M	48942
Cumberland (A)	2016		F	14112
Cumberland (A)	2016		M	15102
Cumberland (A)	2016	0	F	37423
Cumberland (A)	2016	0	M	43351
Cumberland (A)	2016	1	F	53465
Cumberland (A)	2016	1	M	52627
Dungog (A)	2006		F	476
Dungog (A)	2006		M	485
Dungog (A)	2006	0	F	1211
Dungog (A)	2006	0	M	1134
Dungog (A)	2006	1	F	2337
Dungog (A)	2006	1	M	2417
Dungog (A)	2011		F	412
Dungog (A)	2011		M	459
Dungog (A)	2011	0	F	1213
Dungog (A)	2011	0	M	1131
Dungog (A)	2011	1	F	2506
Dungog (A)	2011	1	M	2599
Dungog (A)	2016		F	573
Dungog (A)	2016		M	608
Dungog (A)	2016	0	F	1321
Dungog (A)	2016	0	M	1208
Dungog (A)	2016	1	F	2585
Dungog (A)	2016	1	M	2681
Edward River (A)	2006		F	522
Edward River (A)	2006		M	536
Edward River (A)	2006	0	F	1601
Edward River (A)	2006	0	M	1504
Edward River (A)	2006	1	F	2462
Edward River (A)	2006	1	M	2484
Edward River (A)	2011		F	510
Edward River (A)	2011		M	553
Edward River (A)	2011	0	F	1339
Edward River (A)	2011	0	M	1180
Edward River (A)	2011	1	F	2546
Edward River (A)	2011	1	M	2533
Edward River (A)	2016		F	743
Edward River (A)	2016		M	731
Edward River (A)	2016	0	F	1326
Edward River (A)	2016	0	M	1220
Edward River (A)	2016	1	F	2423
Edward River (A)	2016	1	M	2402
Eurobodalla (A)	2006		F	1654
Eurobodalla (A)	2006		M	1731
Eurobodalla (A)	2006	0	F	7271
Eurobodalla (A)	2006	0	M	6753
Eurobodalla (A)	2006	1	F	8924
Eurobodalla (A)	2006	1	M	8683
Eurobodalla (A)	2011		F	1840
Eurobodalla (A)	2011		M	2029
Eurobodalla (A)	2011	0	F	6470
Eurobodalla (A)	2011	0	M	5879
Eurobodalla (A)	2011	1	F	9855
Eurobodalla (A)	2011	1	M	9672
Eurobodalla (A)	2016		F	2360
Eurobodalla (A)	2016		M	2351
Eurobodalla (A)	2016	0	F	6737
Eurobodalla (A)	2016	0	M	6272
Eurobodalla (A)	2016	1	F	9858
Eurobodalla (A)	2016	1	M	9647
Fairfield (C)	2006		F	11308
Fairfield (C)	2006		M	12006
Fairfield (C)	2006	0	F	25014
Fairfield (C)	2006	0	M	23728
Fairfield (C)	2006	1	F	54612
Fairfield (C)	2006	1	M	53227
Fairfield (C)	2011		F	10389
Fairfield (C)	2011		M	10994
Fairfield (C)	2011	0	F	25659
Fairfield (C)	2011	0	M	24045
Fairfield (C)	2011	1	F	59197
Fairfield (C)	2011	1	M	57482
Fairfield (C)	2016		F	10902
Fairfield (C)	2016		M	11185
Fairfield (C)	2016	0	F	29148
Fairfield (C)	2016	0	M	28053
Fairfield (C)	2016	1	F	60805
Fairfield (C)	2016	1	M	58721
Federation (A)	2006		F	645
Federation (A)	2006		M	646
Federation (A)	2006	0	F	2233
Federation (A)	2006	0	M	2144
Federation (A)	2006	1	F	3203
Federation (A)	2006	1	M	3364
Federation (A)	2011		F	631
Federation (A)	2011		M	628
Federation (A)	2011	0	F	1793
Federation (A)	2011	0	M	1716
Federation (A)	2011	1	F	3643
Federation (A)	2011	1	M	3743
Federation (A)	2016		F	899
Federation (A)	2016		M	898
Federation (A)	2016	0	F	1763
Federation (A)	2016	0	M	1676
Federation (A)	2016	1	F	3512
Federation (A)	2016	1	M	3528
Forbes (A)	2006		F	578
Forbes (A)	2006		M	592
Forbes (A)	2006	0	F	1690
Forbes (A)	2006	0	M	1538
Forbes (A)	2006	1	F	2452
Forbes (A)	2006	1	M	2514
Forbes (A)	2011		F	515
Forbes (A)	2011		M	541
Forbes (A)	2011	0	F	1533
Forbes (A)	2011	0	M	1376
Forbes (A)	2011	1	F	2575
Forbes (A)	2011	1	M	2632
Forbes (A)	2016		F	778
Forbes (A)	2016		M	775
Forbes (A)	2016	0	F	1450
Forbes (A)	2016	0	M	1409
Forbes (A)	2016	1	F	2556
Forbes (A)	2016	1	M	2622
Georges River (A)	2006		F	7185
Georges River (A)	2006		M	7624
Georges River (A)	2006	0	F	21954
Georges River (A)	2006	0	M	20384
Georges River (A)	2006	1	F	35817
Georges River (A)	2006	1	M	33297
Georges River (A)	2011		F	6824
Georges River (A)	2011		M	7087
Georges River (A)	2011	0	F	23688
Georges River (A)	2011	0	M	22151
Georges River (A)	2011	1	F	38673
Georges River (A)	2011	1	M	36238
Georges River (A)	2016		F	7540
Georges River (A)	2016		M	7636
Georges River (A)	2016	0	F	27623
Georges River (A)	2016	0	M	26513
Georges River (A)	2016	1	F	39923
Georges River (A)	2016	1	M	37606
Gilgandra (A)	2006		F	265
