LGA_NAME16	Year	Sex	adults
Bayside (C)	2011	F	39195
Bayside (C)	2011	M	34638
Bayside (C)	2016	F	41745
Bayside (C)	2016	M	36913
Bayswater (C)	2006	F	23684
Bayswater (C)	2006	M	23304
Bayswater (C)	2011	F	25833
Bayswater (C)	2011	M	25712
Bayswater (C)	2016	F	27555
Bayswater (C)	2016	M	26925
Bega Valley (A)	2006	F	12782
Bega Valley (A)	2006	M	12221
Bega Valley (A)	2011	F	13528
Bega Valley (A)	2011	M	12830
Bega Valley (A)	2016	F	14442
Bega Valley (A)	2016	M	13556
Bellingen (A)	2006	F	5116
Bellingen (A)	2006	M	4789
Bellingen (A)	2011	F	5262
Bellingen (A)	2011	M	4815
Bellingen (A)	2016	F	5437
Bellingen (A)	2016	M	5028
Belmont (C)	2006	F	12802
Belmont (C)	2006	M	12476
Belmont (C)	2011	F	14528
Belmont (C)	2011	M	14851
Belmont (C)	2016	F	16381
Belmont (C)	2016	M	16915
Belyuen (S)	2006	F	45
Belyuen (S)	2006	M	50
Belyuen (S)	2011	F	60
Belyuen (S)	2011	M	70
Belyuen (S)	2016	F	54
Belyuen (S)	2016	M	76
Benalla (RC)	2006	F	5700
Benalla (RC)	2006	M	5161
Benalla (RC)	2011	F	5854
Benalla (RC)	2011	M	5422
Benalla (RC)	2016	F	6117
Benalla (RC)	2016	M	5575
Berri and Barmera (DC)	2006	F	4428
Berri and Barmera (DC)	2006	M	4234
Berri and Barmera (DC)	2011	F	4333
Berri and Barmera (DC)	2011	M	4142
Berri and Barmera (DC)	2016	F	4398
Berri and Barmera (DC)	2016	M	4249
Berrigan (A)	2006	F	3254
Berrigan (A)	2006	M	3195
Berrigan (A)	2011	F	3374
Berrigan (A)	2011	M	3297
Berrigan (A)	2016	F	3535
Berrigan (A)	2016	M	3499
Beverley (S)	2006	F	615
Beverley (S)	2006	M	654
Beverley (S)	2011	F	627
Beverley (S)	2011	M	674
Beverley (S)	2016	F	718
Beverley (S)	2016	M	751
Blackall-Tambo (R)	2006	F	827
Blackall-Tambo (R)	2006	M	813
Blackall-Tambo (R)	2011	F	910
Blackall-Tambo (R)	2011	M	868
Blackall-Tambo (R)	2016	F	781
Blackall-Tambo (R)	2016	M	786
Blacktown (C)	2006	F	104508
Blacktown (C)	2006	M	100382
Blacktown (C)	2011	F	117137
Blacktown (C)	2011	M	112515
Blacktown (C)	2016	F	132144
Blacktown (C)	2016	M	128168
Bland (A)	2006	F	2346
Bland (A)	2006	M	2400
Bland (A)	2011	F	2290
Bland (A)	2011	M	2286
Bland (A)	2016	F	2359
Bland (A)	2016	M	2369
Blayney (A)	2006	F	2573
Blayney (A)	2006	M	2539
Blayney (A)	2011	F	2729
Blayney (A)	2011	M	2704
Blayney (A)	2016	F	2916
Blayney (A)	2016	M	2831
Blue Mountains (C)	2006	F	30828
Blue Mountains (C)	2006	M	28126
Blue Mountains (C)	2011	F	32009
Blue Mountains (C)	2011	M	29137
Blue Mountains (C)	2016	F	32925
Blue Mountains (C)	2016	M	29897
Boddington (S)	2006	F	501
Boddington (S)	2006	M	558
Boddington (S)	2011	F	666
Boddington (S)	2011	M	1192
Boddington (S)	2016	F	680
Boddington (S)	2016	M	760
Bogan (A)	2006	F	1061
Bogan (A)	2006	M	1128
Bogan (A)	2011	F	1098
Bogan (A)	2011	M	1113
Bogan (A)	2016	F	1058
Bogan (A)	2016	M	1080
Boroondara (C)	2006	F	67037
Boroondara (C)	2006	M	59536
Boroondara (C)	2011	F	69084
Boroondara (C)	2011	M	62338
Boroondara (C)	2016	F	73040
Boroondara (C)	2016	M	65388
Botany Bay (C)	2006	F	15043
Botany Bay (C)	2006	M	14374
Botany Bay (C)	2011	F	16445
Botany Bay (C)	2011	M	15768
Botany Bay (C)	2016	F	19585
Botany Bay (C)	2016	M	19153
Boulia (S)	2006	F	152
Boulia (S)	2006	M	185
Boulia (S)	2011	F	164
Boulia (S)	2011	M	207
Boulia (S)	2016	F	146
Boulia (S)	2016	M	189
Bourke (A)	2006	F	1108
Bourke (A)	2006	M	1163
Bourke (A)	2011	F	1068
Bourke (A)	2011	M	1079
Bourke (A)	2016	F	1014
Bourke (A)	2016	M	996
Boyup Brook (S)	2006	F	576
Boyup Brook (S)	2006	M	608
Boyup Brook (S)	2011	F	625
Boyup Brook (S)	2011	M	634
Boyup Brook (S)	2016	F	686
Boyup Brook (S)	2016	M	706
Break O'Day (M)	2006	F	2455
Break O'Day (M)	2006	M	2478
Break O'Day (M)	2011	F	2544
Break O'Day (M)	2011	M	2620
Break O'Day (M)	2016	F	2578
Break O'Day (M)	2016	M	2666
Brewarrina (A)	2006	F	666
Brewarrina (A)	2006	M	748
Brewarrina (A)	2011	F	669
Brewarrina (A)	2011	M	652
Brewarrina (A)	2016	F	624
Brewarrina (A)	2016	M	652
Bridgetown-Greenbushes (S)	2006	F	1589
Bridgetown-Greenbushes (S)	2006	M	1523
Bridgetown-Greenbushes (S)	2011	F	1759
Bridgetown-Greenbushes (S)	2011	M	1674
Bridgetown-Greenbushes (S)	2016	F	1968
Bridgetown-Greenbushes (S)	2016	M	1865
Brighton (M)	2006	F	5330
Brighton (M)	2006	M	4896
Brighton (M)	2011	F	6026
Brighton (M)	2011	M	5455
Brighton (M)	2016	F	6597
Brighton (M)	2016	M	6021
Brimbank (C)	2006	F	67867
Brimbank (C)	2006	M	65861
Brimbank (C)	2011	F	74366
Brimbank (C)	2011	M	73579
Brimbank (C)	2016	F	79534
Brimbank (C)	2016	M	78903
Brisbane (C)	2006	F	404266
Brisbane (C)	2006	M	378876
Brisbane (C)	2011	F	437775
Brisbane (C)	2011	M	418292
Brisbane (C)	2016	F	477744
Brisbane (C)	2016	M	454139
Broken Hill (C)	2006	F	8102
Broken Hill (C)	2006	M	7462
Broken Hill (C)	2011	F	7873
Broken Hill (C)	2011	M	7292
Broken Hill (C)	2016	F	7631
Broken Hill (C)	2016	M	7134
Brookton (S)	2006	F	382
Brookton (S)	2006	M	377
Brookton (S)	2011	F	362
Brookton (S)	2011	M	389
Brookton (S)	2016	F	387
Brookton (S)	2016	M	405
Broome (S)	2006	F	4772
Broome (S)	2006	M	5138
Broome (S)	2011	F	5582
Broome (S)	2011	M	5787
Broome (S)	2016	F	6195
Broome (S)	2016	M	6155
Broomehill-Tambellup (S)	2006	F	396
Broomehill-Tambellup (S)	2006	M	428
Broomehill-Tambellup (S)	2011	F	410
Broomehill-Tambellup (S)	2011	M	432
Broomehill-Tambellup (S)	2016	F	415
Broomehill-Tambellup (S)	2016	M	455
Bruce Rock (S)	2006	F	366
Bruce Rock (S)	2006	M	382
Bruce Rock (S)	2011	F	361
Bruce Rock (S)	2011	M	378
Bruce Rock (S)	2016	F	357
Bruce Rock (S)	2016	M	392
Bulloo (S)	2006	F	119
Bulloo (S)	2006	M	180
Bulloo (S)	2011	F	130
Bulloo (S)	2011	M	194
Bulloo (S)	2016	F	123
Bulloo (S)	2016	M	164
Buloke (S)	2006	F	2790
Buloke (S)	2006	M	2707
Buloke (S)	2011	F	2602
Buloke (S)	2011	M	2615
Buloke (S)	2016	F	2590
Buloke (S)	2016	M	2613
Bunbury (C)	2006	F	12367
Bunbury (C)	2006	M	11899
Bunbury (C)	2011	F	13078
Bunbury (C)	2011	M	12759
Bunbury (C)	2016	F	13570
Bunbury (C)	2016	M	12812
Bundaberg (R)	2006	F	33837
Bundaberg (R)	2006	M	31998
Bundaberg (R)	2011	F	37181
Bundaberg (R)	2011	M	35208
Bundaberg (R)	2016	F	39254
Bundaberg (R)	2016	M	37237
Burdekin (S)	2006	F	6650
Burdekin (S)	2006	M	6696
Burdekin (S)	2011	F	6885
Burdekin (S)	2011	M	6881
Burdekin (S)	2016	F	6955
Burdekin (S)	2016	M	7081
Burke (S)	2006	F	159
Burke (S)	2006	M	267
Burke (S)	2011	F	158
Burke (S)	2011	M	279
Burke (S)	2016	F	120
Burke (S)	2016	M	154
Burnie (C)	2006	F	7865
Burnie (C)	2006	M	7136
Burnie (C)	2011	F	8132
Burnie (C)	2011	M	7345
Burnie (C)	2016	F	8074
Burnie (C)	2016	M	7386
Burnside (C)	2006	F	18964
Burnside (C)	2006	M	16304
Burnside (C)	2011	F	18934
Burnside (C)	2011	M	16554
Burnside (C)	2016	F	19435
Burnside (C)	2016	M	16961
Burwood (A)	2006	F	13432
Burwood (A)	2006	M	12704
Burwood (A)	2011	F	14210
Burwood (A)	2011	M	13431
Burwood (A)	2016	F	16643
Burwood (A)	2016	M	15370
Busselton (C)	2006	F	10172
Busselton (C)	2006	M	9637
Busselton (C)	2011	F	12398
Busselton (C)	2011	M	11392
Busselton (C)	2016	F	15158
Busselton (C)	2016	M	14055
Byron (A)	2006	F	11897
Byron (A)	2006	M	11299
Byron (A)	2011	F	12309
Byron (A)	2011	M	11520
Byron (A)	2016	F	13718
Byron (A)	2016	M	12542
Cabonne (A)	2006	F	4830
Cabonne (A)	2006	M	4843
Cabonne (A)	2011	F	5037
Cabonne (A)	2011	M	4974
Cabonne (A)	2016	F	5298
Cabonne (A)	2016	M	5220
Cairns (R)	2006	F	50196
Cairns (R)	2006	M	49160
Cairns (R)	2011	F	57830
Cairns (R)	2011	M	55670
Cairns (R)	2016	F	63912
Cairns (R)	2016	M	60889
Cambridge (T)	2006	F	9881
Cambridge (T)	2006	M	9047
Cambridge (T)	2011	F	10314
Cambridge (T)	2011	M	9501
Cambridge (T)	2016	F	11018
Cambridge (T)	2016	M	10117
Camden (A)	2006	F	19064
Camden (A)	2006	M	17904
Camden (A)	2011	F	22113
Camden (A)	2011	M	20843
Camden (A)	2016	F	30737
Camden (A)	2016	M	28793
Campaspe (S)	2006	F	14434
Campaspe (S)	2006	M	13995
Campaspe (S)	2011	F	14909
Campaspe (S)	2011	M	14204
Campaspe (S)	2016	F	15510
Campaspe (S)	2016	M	14910
Campbelltown (C) (NSW)	2006	F	56171
Campbelltown (C) (NSW)	2006	M	52900
Campbelltown (C) (NSW)	2011	F	58960
Campbelltown (C) (NSW)	2011	M	54996
Campbelltown (C) (NSW)	2016	F	63533
Campbelltown (C) (NSW)	2016	M	59604
Campbelltown (C) (SA)	2006	F	20224
Campbelltown (C) (SA)	2006	M	18185
Campbelltown (C) (SA)	2011	F	21069
Campbelltown (C) (SA)	2011	M	19038
Campbelltown (C) (SA)	2016	F	21918
Campbelltown (C) (SA)	2016	M	20053
Canada Bay (A)	2006	F	28777
Canada Bay (A)	2006	M	26156
Canada Bay (A)	2011	F	32724
Canada Bay (A)	2011	M	30287
Canada Bay (A)	2016	F	38663
Canada Bay (A)	2016	M	35055
Canning (C)	2006	F	32532
Canning (C)	2006	M	31073
Canning (C)	2011	F	35534
Canning (C)	2011	M	35263
Canning (C)	2016	F	37186
Canning (C)	2016	M	37146
Canterbury-Bankstown (A)	2006	F	121042
Canterbury-Bankstown (A)	2006	M	115619
Canterbury-Bankstown (A)	2011	F	128795
Canterbury-Bankstown (A)	2011	M	124017
Canterbury-Bankstown (A)	2016	F	139625
Canterbury-Bankstown (A)	2016	M	135643
Capel (S)	2006	F	3764
Capel (S)	2006	M	3697
Capel (S)	2011	F	5371
Capel (S)	2011	M	5230
Capel (S)	2016	F	6682
Capel (S)	2016	M	6288
Cardinia (S)	2006	F	21871
Cardinia (S)	2006	M	21159
Cardinia (S)	2011	F	29045
Cardinia (S)	2011	M	27797
Cardinia (S)	2016	F	37203
Cardinia (S)	2016	M	35188
Carnamah (S)	2006	F	247
Carnamah (S)	2006	M	319
Carnamah (S)	2011	F	202
Carnamah (S)	2011	M	228
Carnamah (S)	2016	F	223
Carnamah (S)	2016	M	239
Carnarvon (S)	2006	F	2078
Carnarvon (S)	2006	M	2233
Carnarvon (S)	2011	F	2176
Carnarvon (S)	2011	M	2313
Carnarvon (S)	2016	F	2131
Carnarvon (S)	2016	M	2279
Carpentaria (S)	2006	F	706
Carpentaria (S)	2006	M	794
Carpentaria (S)	2011	F	764
Carpentaria (S)	2011	M	861
Carpentaria (S)	2016	F	741
Carpentaria (S)	2016	M	797
Carrathool (A)	2006	F	1002
Carrathool (A)	2006	M	1186
Carrathool (A)	2011	F	943
Carrathool (A)	2011	M	1092
Carrathool (A)	2016	F	1043
Carrathool (A)	2016	M	1145
Casey (C)	2006	F	82616
Casey (C)	2006	M	79679
Casey (C)	2011	F	98532
Casey (C)	2011	M	95248
Casey (C)	2016	F	117263
Casey (C)	2016	M	114194
Cassowary Coast (R)	2006	F	10618
Cassowary Coast (R)	2006	M	11232
Cassowary Coast (R)	2011	F	10753
Cassowary Coast (R)	2011	M	11500
Cassowary Coast (R)	2016	F	11460
Cassowary Coast (R)	2016	M	12001
Ceduna (DC)	2006	F	1353
Ceduna (DC)	2006	M	1360
Ceduna (DC)	2011	F	1324
Ceduna (DC)	2011	M	1384
Ceduna (DC)	2016	F	1375
Ceduna (DC)	2016	M	1336
Central Coast (C) (NSW)	2006	F	124279
Central Coast (C) (NSW)	2006	M	112795
Central Coast (C) (NSW)	2011	F	131781
Central Coast (C) (NSW)	2011	M	119712
Central Coast (C) (NSW)	2016	F	139701
Central Coast (C) (NSW)	2016	M	127606
Central Coast (M) (Tas.)	2006	F	8643
Central Coast (M) (Tas.)	2006	M	8001
Central Coast (M) (Tas.)	2011	F	8966
Central Coast (M) (Tas.)	2011	M	8379
Central Coast (M) (Tas.)	2016	F	9218
Central Coast (M) (Tas.)	2016	M	8522
Central Darling (A)	2006	F	686
Central Darling (A)	2006	M	860
Central Darling (A)	2011	F	724
Central Darling (A)	2011	M	853
Central Darling (A)	2016	F	691
Central Darling (A)	2016	M	796
Central Desert (R)	2006	F	1446
Central Desert (R)	2006	M	1323
Central Desert (R)	2011	F	1340
Central Desert (R)	2011	M	1303
Central Desert (R)	2016	F	1368
Central Desert (R)	2016	M	1227
Central Goldfields (S)	2006	F	5136
Central Goldfields (S)	2006	M	4926
Central Goldfields (S)	2011	F	5318
Central Goldfields (S)	2011	M	5108
Central Goldfields (S)	2016	F	5610
Central Goldfields (S)	2016	M	5371
Central Highlands (M) (Tas.)	2006	F	850
Central Highlands (M) (Tas.)	2006	M	971
Central Highlands (M) (Tas.)	2011	F	846
Central Highlands (M) (Tas.)	2011	M	980
Central Highlands (M) (Tas.)	2016	F	826
Central Highlands (M) (Tas.)	2016	M	994
Central Highlands (R) (Qld)	2006	F	9010
Central Highlands (R) (Qld)	2006	M	10771
Central Highlands (R) (Qld)	2011	F	9950
Central Highlands (R) (Qld)	2011	M	11708
Central Highlands (R) (Qld)	2016	F	9875
Central Highlands (R) (Qld)	2016	M	11211
Cessnock (C)	2006	F	18466
Cessnock (C)	2006	M	17684
Cessnock (C)	2011	F	20265
Cessnock (C)	2011	M	19713
Cessnock (C)	2016	F	22356
Cessnock (C)	2016	M	21818
Chapman Valley (S)	2006	F	348
Chapman Valley (S)	2006	M	369
Chapman Valley (S)	2011	F	427
Chapman Valley (S)	2011	M	472
Chapman Valley (S)	2016	F	544
Chapman Valley (S)	2016	M	559
Charles Sturt (C)	2006	F	43490
Charles Sturt (C)	2006	M	40759
Charles Sturt (C)	2011	F	45486
Charles Sturt (C)	2011	M	42860
Charles Sturt (C)	2016	F	48652
Charles Sturt (C)	2016	M	45776
Charters Towers (R)	2006	F	4436
Charters Towers (R)	2006	M	4330
Charters Towers (R)	2011	F	4738
Charters Towers (R)	2011	M	4665
Charters Towers (R)	2016	F	4761
Charters Towers (R)	2016	M	4561
Cherbourg (S)	2006	F	347
Cherbourg (S)	2006	M	317
Cherbourg (S)	2011	F	422
Cherbourg (S)	2011	M	354
Cherbourg (S)	2016	F	435
Cherbourg (S)	2016	M	374
Chittering (S)	2006	F	1316
Chittering (S)	2006	M	1355
Chittering (S)	2011	F	1728
Chittering (S)	2011	M	1731
Chittering (S)	2016	F	2170
Chittering (S)	2016	M	2250
Circular Head (M)	2006	F	3009
Circular Head (M)	2006	M	3087
Circular Head (M)	2011	F	3057
Circular Head (M)	2011	M	3110
Circular Head (M)	2016	F	3117
Circular Head (M)	2016	M	3195
Clare and Gilbert Valleys (DC)	2006	F	3312
Clare and Gilbert Valleys (DC)	2006	M	3250
Clare and Gilbert Valleys (DC)	2011	F	3581
Clare and Gilbert Valleys (DC)	2011	M	3461
Clare and Gilbert Valleys (DC)	2016	F	3753
Clare and Gilbert Valleys (DC)	2016	M	3635
Claremont (T)	2006	F	4056
Claremont (T)	2006	M	3546
Claremont (T)	2011	F	4125
Claremont (T)	2011	M	3709
Claremont (T)	2016	F	4458
Claremont (T)	2016	M	3991
Clarence (C)	2006	F	20973
Clarence (C)	2006	M	19214
Clarence (C)	2011	F	21836
Clarence (C)	2011	M	20281
Clarence (C)	2016	F	23432
Clarence (C)	2016	M	21543
Clarence Valley (A)	2006	F	19606
Clarence Valley (A)	2006	M	18985
Clarence Valley (A)	2011	F	20654
Clarence Valley (A)	2011	M	19775
Clarence Valley (A)	2016	F	21603
Clarence Valley (A)	2016	M	20757
Cleve (DC)	2006	F	743
Cleve (DC)	2006	M	824
Cleve (DC)	2011	F	668
Cleve (DC)	2011	M	749
Cleve (DC)	2016	F	690
Cleve (DC)	2016	M	727
Cloncurry (S)	2006	F	1032
Cloncurry (S)	2006	M	1304
Cloncurry (S)	2011	F	1066
Cloncurry (S)	2011	M	1490
Cloncurry (S)	2016	F	1017
Cloncurry (S)	2016	M	1401
Cobar (A)	2006	F	1800
Cobar (A)	2006	M	1981
Cobar (A)	2011	F	1731
Cobar (A)	2011	M	1924
Cobar (A)	2016	F	1753
Cobar (A)	2016	M	1864
Cockburn (C)	2006	F	29611
Cockburn (C)	2006	M	28897
Cockburn (C)	2011	F	35901
Cockburn (C)	2011	M	35045
Cockburn (C)	2016	F	42603
Cockburn (C)	2016	M	40982
Coffs Harbour (C)	2006	F	26970
Coffs Harbour (C)	2006	M	24799
Coffs Harbour (C)	2011	F	28783
Coffs Harbour (C)	2011	M	26516
Coffs Harbour (C)	2016	F	31047
Coffs Harbour (C)	2016	M	28550
Colac-Otway (S)	2006	F	8191
Colac-Otway (S)	2006	M	8031
Colac-Otway (S)	2011	F	8364
Colac-Otway (S)	2011	M	8127
Colac-Otway (S)	2016	F	8737
Colac-Otway (S)	2016	M	8535
Collie (S)	2006	F	3293
Collie (S)	2006	M	3297
Collie (S)	2011	F	3385
Collie (S)	2011	M	3961
Collie (S)	2016	F	3552
Collie (S)	2016	M	3588
Coober Pedy (DC)	2006	F	659
Coober Pedy (DC)	2006	M	913
Coober Pedy (DC)	2011	F	607
Coober Pedy (DC)	2011	M	810
Coober Pedy (DC)	2016	F	652
Coober Pedy (DC)	2016	M	815
Cook (S)	2006	F	1244
Cook (S)	2006	M	1512
Cook (S)	2011	F	1342
Cook (S)	2011	M	2046
Cook (S)	2016	F	1544
Cook (S)	2016	M	1911
Coolamon (A)	2006	F	1545
Coolamon (A)	2006	M	1517
Coolamon (A)	2011	F	1623
Coolamon (A)	2011	M	1560
Coolamon (A)	2016	F	1756
Coolamon (A)	2016	M	1686
Coolgardie (S)	2006	F	1222
Coolgardie (S)	2006	M	1510
Coolgardie (S)	2011	F	1307
Coolgardie (S)	2011	M	1699
Coolgardie (S)	2016	F	1267
Coolgardie (S)	2016	M	1525
Coomalie (S)	2006	F	380
Coomalie (S)	2006	M	466
Coomalie (S)	2011	F	425
Coomalie (S)	2011	M	494
Coomalie (S)	2016	F	507
Coomalie (S)	2016	M	583
Coonamble (A)	2006	F	1623
Coonamble (A)	2006	M	1592
Coonamble (A)	2011	F	1569
Coonamble (A)	2011	M	1600
Coonamble (A)	2016	F	1582
Coonamble (A)	2016	M	1551
Coorow (S)	2006	F	421
Coorow (S)	2006	M	535
Coorow (S)	2011	F	408
Coorow (S)	2011	M	469
Coorow (S)	2016	F	397
Coorow (S)	2016	M	503
Copper Coast (DC)	2006	F	4858
Copper Coast (DC)	2006	M	4556
Copper Coast (DC)	2011	F	5579
Copper Coast (DC)	2011	M	5190
Copper Coast (DC)	2016	F	6096
Copper Coast (DC)	2016	M	5848
Corangamite (S)	2006	F	6553
Corangamite (S)	2006	M	6430
Corangamite (S)	2011	F	6544
Corangamite (S)	2011	M	6445
Corangamite (S)	2016	F	6570
Corangamite (S)	2016	M	6551
Corrigin (S)	2006	F	434
Corrigin (S)	2006	M	454
Corrigin (S)	2011	F	433
Corrigin (S)	2011	M	450
Corrigin (S)	2016	F	440
Corrigin (S)	2016	M	484
Cottesloe (T)	2006	F	3082
Cottesloe (T)	2006	M	2950
Cottesloe (T)	2011	F	3244
Cottesloe (T)	2011	M	3051
Cottesloe (T)	2016	F	3205
Cottesloe (T)	2016	M	3033
Cowra (A)	2006	F	4953
Cowra (A)	2006	M	4829
Cowra (A)	2011	F	4982
Cowra (A)	2011	M	4863
Cowra (A)	2016	F	5225
Cowra (A)	2016	M	5070
Cranbrook (S)	2006	F	385
Cranbrook (S)	2006	M	465
Cranbrook (S)	2011	F	389
Cranbrook (S)	2011	M	460
Cranbrook (S)	2016	F	416
Cranbrook (S)	2016	M	455
Croydon (S)	2006	F	86
Croydon (S)	2006	M	98
Croydon (S)	2011	F	105
Croydon (S)	2011	M	127
Croydon (S)	2016	F	108
Croydon (S)	2016	M	125
Cuballing (S)	2006	F	278
Cuballing (S)	2006	M	317
Cuballing (S)	2011	F	336
Cuballing (S)	2011	M	348
Cuballing (S)	2016	F	319
Cuballing (S)	2016	M	386
Cue (S)	2006	F	113
Cue (S)	2006	M	142
Cue (S)	2011	F	89
Cue (S)	2011	M	131
Cue (S)	2016	F	71
Cue (S)	2016	M	106
Cumberland (A)	2006	F	68721
Cumberland (A)	2006	M	67731
Cumberland (A)	2011	F	76311
