LGA_NAME16	Year	SameAddress1YearAgo	Sex	persons
Berrigan (A)	2016		M	515
Berrigan (A)	2016	0	F	534
Berrigan (A)	2016	0	M	479
Berrigan (A)	2016	1	F	3215
Berrigan (A)	2016	1	M	3230
Blacktown (C)	2006		F	8864
Blacktown (C)	2006		M	10156
Blacktown (C)	2006	0	F	17118
Blacktown (C)	2006	0	M	16479
Blacktown (C)	2006	1	F	110855
Blacktown (C)	2006	1	M	108238
Blacktown (C)	2011		F	7946
Blacktown (C)	2011		M	9234
Blacktown (C)	2011	0	F	18246
Blacktown (C)	2011	0	M	17879
Blacktown (C)	2011	1	F	125363
Blacktown (C)	2011	1	M	122436
Blacktown (C)	2016		F	13626
Blacktown (C)	2016		M	14705
Blacktown (C)	2016	0	F	21607
Blacktown (C)	2016	0	M	21662
Blacktown (C)	2016	1	F	134157
Blacktown (C)	2016	1	M	131207
Bland (A)	2006		F	120
Bland (A)	2006		M	143
Bland (A)	2006	0	F	414
Bland (A)	2006	0	M	417
Bland (A)	2006	1	F	2521
Bland (A)	2006	1	M	2482
Bland (A)	2011		F	130
Bland (A)	2011		M	135
Bland (A)	2011	0	F	331
Bland (A)	2011	0	M	361
Bland (A)	2011	1	F	2487
Bland (A)	2011	1	M	2425
Bland (A)	2016		F	429
Bland (A)	2016		M	398
Bland (A)	2016	0	F	263
Bland (A)	2016	0	M	228
Bland (A)	2016	1	F	2296
Bland (A)	2016	1	M	2345
Blayney (A)	2006		F	126
Blayney (A)	2006		M	146
Blayney (A)	2006	0	F	522
Blayney (A)	2006	0	M	483
Blayney (A)	2006	1	F	2647
Blayney (A)	2006	1	M	2671
Blayney (A)	2011		F	204
Blayney (A)	2011		M	230
Blayney (A)	2011	0	F	418
Blayney (A)	2011	0	M	419
Blayney (A)	2011	1	F	2875
Blayney (A)	2011	1	M	2839
Blayney (A)	2016		F	306
Blayney (A)	2016		M	349
Blayney (A)	2016	0	F	448
Blayney (A)	2016	0	M	425
Blayney (A)	2016	1	F	2893
Blayney (A)	2016	1	M	2839
Blue Mountains (C)	2006		F	1901
Blue Mountains (C)	2006		M	2005
Blue Mountains (C)	2006	0	F	4760
Blue Mountains (C)	2006	0	M	4413
Blue Mountains (C)	2006	1	F	31476
Blue Mountains (C)	2006	1	M	29510
Blue Mountains (C)	2011		F	2132
Blue Mountains (C)	2011		M	2218
Blue Mountains (C)	2011	0	F	4397
Blue Mountains (C)	2011	0	M	4001
Blue Mountains (C)	2011	1	F	32703
Blue Mountains (C)	2011	1	M	30492
Blue Mountains (C)	2016		F	3106
Blue Mountains (C)	2016		M	2905
Blue Mountains (C)	2016	0	F	4308
Blue Mountains (C)	2016	0	M	4082
Blue Mountains (C)	2016	1	F	32368
Blue Mountains (C)	2016	1	M	30132
Bogan (A)	2006		F	55
Bogan (A)	2006		M	61
Bogan (A)	2006	0	F	211
Bogan (A)	2006	0	M	203
Bogan (A)	2006	1	F	1117
Bogan (A)	2006	1	M	1233
Bogan (A)	2011		F	116
Bogan (A)	2011		M	134
Bogan (A)	2011	0	F	209
Bogan (A)	2011	0	M	189
Bogan (A)	2011	1	F	1097
Bogan (A)	2011	1	M	1155
Bogan (A)	2016		F	172
Bogan (A)	2016		M	193
Bogan (A)	2016	0	F	151
Bogan (A)	2016	0	M	123
Bogan (A)	2016	1	F	1011
Bogan (A)	2016	1	M	1039
Botany Bay (C)	2006		F	1361
Botany Bay (C)	2006		M	1467
Botany Bay (C)	2006	0	F	2535
Botany Bay (C)	2006	0	M	2516
Botany Bay (C)	2006	1	F	14293
Botany Bay (C)	2006	1	M	13815
Botany Bay (C)	2011		F	1359
Botany Bay (C)	2011		M	1430
Botany Bay (C)	2011	0	F	2382
Botany Bay (C)	2011	0	M	2404
Botany Bay (C)	2011	1	F	16122
Botany Bay (C)	2011	1	M	15661
Botany Bay (C)	2016		F	2133
Botany Bay (C)	2016		M	2235
Botany Bay (C)	2016	0	F	3638
Botany Bay (C)	2016	0	M	3830
Botany Bay (C)	2016	1	F	17649
Botany Bay (C)	2016	1	M	17164
Bourke (A)	2006		F	124
Bourke (A)	2006		M	155
Bourke (A)	2006	0	F	289
Bourke (A)	2006	0	M	277
Bourke (A)	2006	1	F	1091
Bourke (A)	2006	1	M	1156
Bourke (A)	2011		F	236
Bourke (A)	2011		M	248
Bourke (A)	2011	0	F	206
Bourke (A)	2011	0	M	207
Bourke (A)	2011	1	F	970
Bourke (A)	2011	1	M	1004
Bourke (A)	2016		F	299
Bourke (A)	2016		M	301
Bourke (A)	2016	0	F	167
Bourke (A)	2016	0	M	119
Bourke (A)	2016	1	F	863
Bourke (A)	2016	1	M	881
Brewarrina (A)	2006		F	85
Brewarrina (A)	2006		M	145
Brewarrina (A)	2006	0	F	145
Brewarrina (A)	2006	0	M	150
Brewarrina (A)	2006	1	F	720
Brewarrina (A)	2006	1	M	703
Brewarrina (A)	2011		F	60
Brewarrina (A)	2011		M	74
Brewarrina (A)	2011	0	F	99
Brewarrina (A)	2011	0	M	100
Brewarrina (A)	2011	1	F	723
Brewarrina (A)	2011	1	M	710
Brewarrina (A)	2016		F	84
Brewarrina (A)	2016		M	127
Brewarrina (A)	2016	0	F	88
Brewarrina (A)	2016	0	M	88
Brewarrina (A)	2016	1	F	630
Brewarrina (A)	2016	1	M	634
Broken Hill (C)	2006		F	717
Broken Hill (C)	2006		M	742
Broken Hill (C)	2006	0	F	1231
Broken Hill (C)	2006	0	M	1075
Broken Hill (C)	2006	1	F	8008
Broken Hill (C)	2006	1	M	7585
Broken Hill (C)	2011		F	719
Broken Hill (C)	2011		M	733
Broken Hill (C)	2011	0	F	1041
Broken Hill (C)	2011	0	M	1020
Broken Hill (C)	2011	1	F	7738
Broken Hill (C)	2011	1	M	7263
Broken Hill (C)	2016		F	941
Broken Hill (C)	2016		M	919
Broken Hill (C)	2016	0	F	1024
Broken Hill (C)	2016	0	M	915
Broken Hill (C)	2016	1	F	7126
Broken Hill (C)	2016	1	M	6781
Burwood (A)	2006		F	1234
Burwood (A)	2006		M	1358
Burwood (A)	2006	0	F	2334
Burwood (A)	2006	0	M	2307
Burwood (A)	2006	1	F	12212
Burwood (A)	2006	1	M	11484
Burwood (A)	2011		F	920
Burwood (A)	2011		M	1119
Burwood (A)	2011	0	F	2559
Burwood (A)	2011	0	M	2433
Burwood (A)	2011	1	F	13033
Burwood (A)	2011	1	M	12357
Burwood (A)	2016		F	1404
Burwood (A)	2016		M	1354
Burwood (A)	2016	0	F	3784
Burwood (A)	2016	0	M	3643
Burwood (A)	2016	1	F	13840
Burwood (A)	2016	1	M	12788
Byron (A)	2006		F	1266
Byron (A)	2006		M	1395
Byron (A)	2006	0	F	2628
Byron (A)	2006	0	M	2362
Byron (A)	2006	1	F	10726
Byron (A)	2006	1	M	10396
Byron (A)	2011		F	874
Byron (A)	2011		M	1021
Byron (A)	2011	0	F	2638
Byron (A)	2011	0	M	2310
Byron (A)	2011	1	F	11414
Byron (A)	2011	1	M	10955
Byron (A)	2016		F	2295
Byron (A)	2016		M	2244
Byron (A)	2016	0	F	2649
Byron (A)	2016	0	M	2190
Byron (A)	2016	1	F	11417
Byron (A)	2016	1	M	10763
Cabonne (A)	2006		F	235
Cabonne (A)	2006		M	316
Cabonne (A)	2006	0	F	707
Cabonne (A)	2006	0	M	637
Cabonne (A)	2006	1	F	5216
Cabonne (A)	2006	1	M	5286
Cabonne (A)	2011		F	253
Cabonne (A)	2011		M	256
Cabonne (A)	2011	0	F	705
Cabonne (A)	2011	0	M	708
Cabonne (A)	2011	1	F	5456
Cabonne (A)	2011	1	M	5440
Cabonne (A)	2016		F	602
Cabonne (A)	2016		M	638
Cabonne (A)	2016	0	F	685
Cabonne (A)	2016	0	M	633
Cabonne (A)	2016	1	F	5412
Cabonne (A)	2016	1	M	5421
Camden (A)	2006		F	1346
Camden (A)	2006		M	1306
Camden (A)	2006	0	F	3407
Camden (A)	2006	0	M	3133
Camden (A)	2006	1	F	20559
Camden (A)	2006	1	M	19892
Camden (A)	2011		F	1330
Camden (A)	2011		M	1414
Camden (A)	2011	0	F	4000
Camden (A)	2011	0	M	3799
Camden (A)	2011	1	F	23511
Camden (A)	2011	1	M	22667
Camden (A)	2016		F	3111
Camden (A)	2016		M	3024
Camden (A)	2016	0	F	6578
Camden (A)	2016	0	M	6266
Camden (A)	2016	1	F	30195
Camden (A)	2016	1	M	29046
Campbelltown (C) (NSW)	2006		F	4964
Campbelltown (C) (NSW)	2006		M	5174
Campbelltown (C) (NSW)	2006	0	F	8397
Campbelltown (C) (NSW)	2006	0	M	7956
Campbelltown (C) (NSW)	2006	1	F	59381
Campbelltown (C) (NSW)	2006	1	M	57199
Campbelltown (C) (NSW)	2011		F	4746
Campbelltown (C) (NSW)	2011		M	4518
Campbelltown (C) (NSW)	2011	0	F	8270
Campbelltown (C) (NSW)	2011	0	M	7817
Campbelltown (C) (NSW)	2011	1	F	61611
Campbelltown (C) (NSW)	2011	1	M	59003
Campbelltown (C) (NSW)	2016		F	7204
Campbelltown (C) (NSW)	2016		M	6950
Campbelltown (C) (NSW)	2016	0	F	10222
Campbelltown (C) (NSW)	2016	0	M	9836
Campbelltown (C) (NSW)	2016	1	F	62573
Campbelltown (C) (NSW)	2016	1	M	60216
Canada Bay (A)	2006		F	2726
Canada Bay (A)	2006		M	2879
Canada Bay (A)	2006	0	F	5112
Canada Bay (A)	2006	0	M	4709
Canada Bay (A)	2006	1	F	26276
Canada Bay (A)	2006	1	M	24049
Canada Bay (A)	2011		F	2642
Canada Bay (A)	2011		M	3007
Canada Bay (A)	2011	0	F	5910
Canada Bay (A)	2011	0	M	5616
Canada Bay (A)	2011	1	F	30408
Canada Bay (A)	2011	1	M	28181
Canada Bay (A)	2016		F	4042
Canada Bay (A)	2016		M	3762
Canada Bay (A)	2016	0	F	7463
Canada Bay (A)	2016	0	M	7122
Canada Bay (A)	2016	1	F	34161
Canada Bay (A)	2016	1	M	31464
Canterbury-Bankstown (A)	2006		F	11623
Canterbury-Bankstown (A)	2006		M	12549
Canterbury-Bankstown (A)	2006	0	F	16766
Canterbury-Bankstown (A)	2006	0	M	16402
Canterbury-Bankstown (A)	2006	1	F	123406
Canterbury-Bankstown (A)	2006	1	M	119705
Canterbury-Bankstown (A)	2011		F	10984
Canterbury-Bankstown (A)	2011		M	12034
Canterbury-Bankstown (A)	2011	0	F	16501
Canterbury-Bankstown (A)	2011	0	M	16761
Canterbury-Bankstown (A)	2011	1	F	133683
Canterbury-Bankstown (A)	2011	1	M	129840
Canterbury-Bankstown (A)	2016		F	14528
Canterbury-Bankstown (A)	2016		M	15386
Canterbury-Bankstown (A)	2016	0	F	20714
Canterbury-Bankstown (A)	2016	0	M	21279
Canterbury-Bankstown (A)	2016	1	F	138735
Canterbury-Bankstown (A)	2016	1	M	135662
Carrathool (A)	2006		F	95
Carrathool (A)	2006		M	126
Carrathool (A)	2006	0	F	159
Carrathool (A)	2006	0	M	194
Carrathool (A)	2006	1	F	1056
Carrathool (A)	2006	1	M	1185
Carrathool (A)	2011		F	51
Carrathool (A)	2011		M	50
Carrathool (A)	2011	0	F	188
Carrathool (A)	2011	0	M	197
Carrathool (A)	2011	1	F	984
Carrathool (A)	2011	1	M	1119
Carrathool (A)	2016		F	154
Carrathool (A)	2016		M	152
Carrathool (A)	2016	0	F	169
Carrathool (A)	2016	0	M	183
Carrathool (A)	2016	1	F	980
Carrathool (A)	2016	1	M	1086
Central Coast (C) (NSW)	2006		F	10378
Central Coast (C) (NSW)	2006		M	10227
Central Coast (C) (NSW)	2006	0	F	21480
Central Coast (C) (NSW)	2006	0	M	19948
Central Coast (C) (NSW)	2006	1	F	122155
Central Coast (C) (NSW)	2006	1	M	113768
Central Coast (C) (NSW)	2011		F	8710
Central Coast (C) (NSW)	2011		M	8949
Central Coast (C) (NSW)	2011	0	F	21505
Central Coast (C) (NSW)	2011	0	M	19584
Central Coast (C) (NSW)	2011	1	F	131269
Central Coast (C) (NSW)	2011	1	M	122171
Central Coast (C) (NSW)	2016		F	14985
Central Coast (C) (NSW)	2016		M	14279
Central Coast (C) (NSW)	2016	0	F	22709
Central Coast (C) (NSW)	2016	0	M	20819
Central Coast (C) (NSW)	2016	1	F	131278
Central Coast (C) (NSW)	2016	1	M	123670
Central Darling (A)	2006		F	70
Central Darling (A)	2006		M	131
Central Darling (A)	2006	0	F	139
Central Darling (A)	2006	0	M	124
Central Darling (A)	2006	1	F	674
Central Darling (A)	2006	1	M	804
Central Darling (A)	2011		F	52
Central Darling (A)	2011		M	102
Central Darling (A)	2011	0	F	124
Central Darling (A)	2011	0	M	113
Central Darling (A)	2011	1	F	769
Central Darling (A)	2011	1	M	830
Central Darling (A)	2016		F	113
Central Darling (A)	2016		M	165
Central Darling (A)	2016	0	F	93
Central Darling (A)	2016	0	M	93
Central Darling (A)	2016	1	F	653
Central Darling (A)	2016	1	M	715
Cessnock (C)	2006		F	1239
Cessnock (C)	2006		M	1720
Cessnock (C)	2006	0	F	3196
Cessnock (C)	2006	0	M	2920
Cessnock (C)	2006	1	F	18912
Cessnock (C)	2006	1	M	18222
Cessnock (C)	2011		F	1439
Cessnock (C)	2011		M	1989
Cessnock (C)	2011	0	F	3467
Cessnock (C)	2011	0	M	3210
Cessnock (C)	2011	1	F	20677
Cessnock (C)	2011	1	M	20058
Cessnock (C)	2016		F	2847
Cessnock (C)	2016		M	3450
Cessnock (C)	2016	0	F	3609
Cessnock (C)	2016	0	M	3374
Cessnock (C)	2016	1	F	21472
Cessnock (C)	2016	1	M	20809
Clarence Valley (A)	2006		F	1138
Clarence Valley (A)	2006		M	1516
Clarence Valley (A)	2006	0	F	3677
Clarence Valley (A)	2006	0	M	3413
Clarence Valley (A)	2006	1	F	19458
Clarence Valley (A)	2006	1	M	18946
Clarence Valley (A)	2011		F	1208
Clarence Valley (A)	2011		M	1515
Clarence Valley (A)	2011	0	F	3600
Clarence Valley (A)	2011	0	M	3237
Clarence Valley (A)	2011	1	F	20342
Clarence Valley (A)	2011	1	M	19762
Clarence Valley (A)	2016		F	2392
Clarence Valley (A)	2016		M	2686
Clarence Valley (A)	2016	0	F	3367
Clarence Valley (A)	2016	0	M	3198
Clarence Valley (A)	2016	1	F	19771
Clarence Valley (A)	2016	1	M	19256
Cobar (A)	2006		F	194
Cobar (A)	2006		M	262
Cobar (A)	2006	0	F	440
Cobar (A)	2006	0	M	486
Cobar (A)	2006	1	F	1714
Cobar (A)	2006	1	M	1822
Cobar (A)	2011		F	180
Cobar (A)	2011		M	229
Cobar (A)	2011	0	F	400
Cobar (A)	2011	0	M	450
Cobar (A)	2011	1	F	1667
Cobar (A)	2011	1	M	1780
Cobar (A)	2016		F	322
Cobar (A)	2016		M	352
Cobar (A)	2016	0	F	299
Cobar (A)	2016	0	M	305
Cobar (A)	2016	1	F	1634
Cobar (A)	2016	1	M	1737
Coffs Harbour (C)	2006		F	1581
Coffs Harbour (C)	2006		M	1755
Coffs Harbour (C)	2006	0	F	5798
Coffs Harbour (C)	2006	0	M	5237
Coffs Harbour (C)	2006	1	F	25957
Coffs Harbour (C)	2006	1	M	24581
Coffs Harbour (C)	2011		F	1764
Coffs Harbour (C)	2011		M	1866
Coffs Harbour (C)	2011	0	F	5942
Coffs Harbour (C)	2011	0	M	5401
Coffs Harbour (C)	2011	1	F	27506
Coffs Harbour (C)	2011	1	M	25934
Coffs Harbour (C)	2016		F	3776
Coffs Harbour (C)	2016		M	3580
Coffs Harbour (C)	2016	0	F	5843
Coffs Harbour (C)	2016	0	M	5292
Coffs Harbour (C)	2016	1	F	28010
Coffs Harbour (C)	2016	1	M	26447
Coolamon (A)	2006		F	86
Coolamon (A)	2006		M	77
Coolamon (A)	2006	0	F	227
Coolamon (A)	2006	0	M	225
Coolamon (A)	2006	1	F	1722
Coolamon (A)	2006	1	M	1688
Coolamon (A)	2011		F	108
Coolamon (A)	2011		M	133
Coolamon (A)	2011	0	F	234
Coolamon (A)	2011	0	M	211
Coolamon (A)	2011	1	F	1750
Coolamon (A)	2011	1	M	1660
Coolamon (A)	2016		F	281
Coolamon (A)	2016		M	295
Coolamon (A)	2016	0	F	228
Coolamon (A)	2016	0	M	236
Coolamon (A)	2016	1	F	1647
Coolamon (A)	2016	1	M	1629
Coonamble (A)	2006		F	91
Coonamble (A)	2006		M	117
Coonamble (A)	2006	0	F	320
Coonamble (A)	2006	0	M	290
Coonamble (A)	2006	1	F	1694
Coonamble (A)	2006	1	M	1699
Coonamble (A)	2011		F	119
Coonamble (A)	2011		M	148
Coonamble (A)	2011	0	F	258
Coonamble (A)	2011	0	M	264
Coonamble (A)	2011	1	F	1623
Coonamble (A)	2011	1	M	1617
Coonamble (A)	2016		F	350
Coonamble (A)	2016		M	361
Coonamble (A)	2016	0	F	225
Coonamble (A)	2016	0	M	205
Coonamble (A)	2016	1	F	1395
Coonamble (A)	2016	1	M	1381
Cowra (A)	2006		F	294
Cowra (A)	2006		M	307
Cowra (A)	2006	0	F	877
Cowra (A)	2006	0	M	859
Cowra (A)	2006	1	F	5106
Cowra (A)	2006	1	M	5040
Cowra (A)	2011		F	392
Cowra (A)	2011		M	427
Cowra (A)	2011	0	F	720
Cowra (A)	2011	0	M	726
Cowra (A)	2011	1	F	4980
Cowra (A)	2011	1	M	4902
Cowra (A)	2016		F	662
Cowra (A)	2016		M	643
Cowra (A)	2016	0	F	737
Cowra (A)	2016	0	M	671
Cowra (A)	2016	1	F	4909
Cowra (A)	2016	1	M	4843
Cumberland (A)	2006		F	7178
Cumberland (A)	2006		M	8081
Cumberland (A)	2006	0	F	11676
Cumberland (A)	2006	0	M	11995
Cumberland (A)	2006	1	F	68107
Cumberland (A)	2006	1	M	67083
Cumberland (A)	2011		F	6891
Cumberland (A)	2011		M	8052
Cumberland (A)	2011	0	F	12161
Cumberland (A)	2011	0	M	12629
Cumberland (A)	2011	1	F	77116
Cumberland (A)	2011	1	M	76380
Cumberland (A)	2016		F	8657
Cumberland (A)	2016		M	9505
Cumberland (A)	2016	0	F	14327
Cumberland (A)	2016	0	M	17481
Cumberland (A)	2016	1	F	82016
Cumberland (A)	2016	1	M	84094
Dungog (A)	2006		F	230
Dungog (A)	2006		M	251
Dungog (A)	2006	0	F	433
Dungog (A)	2006	0	M	394
Dungog (A)	2006	1	F	3361
Dungog (A)	2006	1	M	3391
Dungog (A)	2011		F	203
Dungog (A)	2011		M	210
Dungog (A)	2011	0	F	460
Dungog (A)	2011	0	M	413
Dungog (A)	2011	1	F	3468
Dungog (A)	2011	1	M	3566
Dungog (A)	2016		F	379
Dungog (A)	2016		M	402
Dungog (A)	2016	0	F	482
Dungog (A)	2016	0	M	456
Dungog (A)	2016	1	F	3618
Dungog (A)	2016	1	M	3639
Edward River (A)	2006		F	238
Edward River (A)	2006		M	293
Edward River (A)	2006	0	F	686
Edward River (A)	2006	0	M	676
Edward River (A)	2006	1	F	3661
Edward River (A)	2006	1	M	3555
Edward River (A)	2011		F	244
Edward River (A)	2011		M	298
Edward River (A)	2011	0	F	609
Edward River (A)	2011	0	M	526
Edward River (A)	2011	1	F	3542
Edward River (A)	2011	1	M	3442
Edward River (A)	2016		F	543
Edward River (A)	2016		M	529
Edward River (A)	2016	0	F	528
Edward River (A)	2016	0	M	505
Edward River (A)	2016	1	F	3421
Edward River (A)	2016	1	M	3319
Eurobodalla (A)	2006		F	847
Eurobodalla (A)	2006		M	906
Eurobodalla (A)	2006	0	F	2680
Eurobodalla (A)	2006	0	M	2515
Eurobodalla (A)	2006	1	F	14322
Eurobodalla (A)	2006	1	M	13746
Eurobodalla (A)	2011		F	1031
Eurobodalla (A)	2011		M	1147
Eurobodalla (A)	2011	0	F	2555
Eurobodalla (A)	2011	0	M	2415
Eurobodalla (A)	2011	1	F	14579
Eurobodalla (A)	2011	1	M	14018
Eurobodalla (A)	2016		F	1897
Eurobodalla (A)	2016		M	1876
Eurobodalla (A)	2016	0	F	2498
Eurobodalla (A)	2016	0	M	2363
Eurobodalla (A)	2016	1	F	14560
Eurobodalla (A)	2016	1	M	14031
Fairfield (C)	2006		F	5777
Fairfield (C)	2006		M	6327
Fairfield (C)	2006	0	F	8686
Fairfield (C)	2006	0	M	8469
Fairfield (C)	2006	1	F	76471
Fairfield (C)	2006	1	M	74165
Fairfield (C)	2011		F	4743
Fairfield (C)	2011		M	5100
Fairfield (C)	2011	0	F	9365
Fairfield (C)	2011	0	M	8850
Fairfield (C)	2011	1	F	81137
Fairfield (C)	2011	1	M	78571
Fairfield (C)	2016		F	6742
Fairfield (C)	2016		M	7071
Fairfield (C)	2016	0	F	10692
Fairfield (C)	2016	0	M	10449
Fairfield (C)	2016	1	F	83421
Fairfield (C)	2016	1	M	80439
Federation (A)	2006		F	324
Federation (A)	2006		M	325
Federation (A)	2006	0	F	834
Federation (A)	2006	0	M	804
Federation (A)	2006	1	F	4923
Federation (A)	2006	1	M	5025
Federation (A)	2011		F	299
Federation (A)	2011		M	306
Federation (A)	2011	0	F	733
Federation (A)	2011	0	M	666
Federation (A)	2011	1	F	5035
Federation (A)	2011	1	M	5115
Federation (A)	2016		F	663
Federation (A)	2016		M	645
Federation (A)	2016	0	F	780
Federation (A)	2016	0	M	732
Federation (A)	2016	1	F	4731
Federation (A)	2016	1	M	4725
Forbes (A)	2006		F	235
Forbes (A)	2006		M	272
Forbes (A)	2006	0	F	690
Forbes (A)	2006	0	M	633
Forbes (A)	2006	1	F	3795
Forbes (A)	2006	1	M	3739
Forbes (A)	2011		F	206
Forbes (A)	2011		M	226
Forbes (A)	2011	0	F	662
Forbes (A)	2011	0	M	566
Forbes (A)	2011	1	F	3755
Forbes (A)	2011	1	M	3757
Forbes (A)	2016		F	535
Forbes (A)	2016		M	545
Forbes (A)	2016	0	F	609
Forbes (A)	2016	0	M	535
Forbes (A)	2016	1	F	3640
Forbes (A)	2016	1	M	3726
Georges River (A)	2006		F	3911
Georges River (A)	2006		M	4196
Georges River (A)	2006	0	F	8359
Georges River (A)	2006	0	M	7667
Georges River (A)	2006	1	F	52686
Georges River (A)	2006	1	M	49442
Georges River (A)	2011		F	3369
Georges River (A)	2011		M	3413
Georges River (A)	2011	0	F	8433
Georges River (A)	2011	0	M	8060
Georges River (A)	2011	1	F	57383
Georges River (A)	2011	1	M	54003
Georges River (A)	2016		F	5112
Georges River (A)	2016		M	5158
Georges River (A)	2016	0	F	10882
Georges River (A)	2016	0	M	10423
Georges River (A)	2016	1	F	59092
Georges River (A)	2016	1	M	56174
Gilgandra (A)	2006		F	134
Gilgandra (A)	2006		M	126
Gilgandra (A)	2006	0	F	305
Gilgandra (A)	2006	0	M	277
Gilgandra (A)	2006	1	F	1884
