LGA_NAME16	Year	averageHouseholdSize
Campbelltown (C) (SA)	2006	2.5
Ceduna (DC)	2006	2.6
Charles Sturt (C)	2006	2.3
Clare and Gilbert Valleys (DC)	2006	2.4
Cleve (DC)	2006	2.5
Coober Pedy (DC)	2006	2
Copper Coast (DC)	2006	2.3
Elliston (DC)	2006	2.6
Flinders Ranges (DC)	2006	2.3
Franklin Harbour (DC)	2006	2.3
Gawler (T)	2006	2.4
Goyder (DC)	2006	2.3
Grant (DC)	2006	2.7
Holdfast Bay (C)	2006	2.1
Kangaroo Island (DC)	2006	2.3
Karoonda East Murray (DC)	2006	2.5
Kimba (DC)	2006	2.3
Kingston (DC) (SA)	2006	2.3
Light (RegC)	2006	2.8
Lower Eyre Peninsula (DC)	2006	2.6
Loxton Waikerie (DC)	2006	2.4
Mallala (DC)	2006	2.8
Maralinga Tjarutja (AC)	2006	4.4
Marion (C)	2006	2.3
Mid Murray (DC)	2006	2.3
Mitcham (C)	2006	2.5
Mount Barker (DC)	2006	2.6
Mount Gambier (C)	2006	2.4
Mount Remarkable (DC)	2006	2.4
Murray Bridge (RC)	2006	2.4
Naracoorte and Lucindale (DC)	2006	2.4
Northern Areas (DC)	2006	2.4
Norwood Payneham St Peters (C)	2006	2.1
Onkaparinga (C)	2006	2.6
Orroroo/Carrieton (DC)	2006	2.3
Peterborough (DC)	2006	2.1
Playford (C)	2006	2.6
Port Adelaide Enfield (C)	2006	2.3
Port Augusta (C)	2006	2.4
Port Lincoln (C)	2006	2.4
Port Pirie City and Dists (M)	2006	2.4
Prospect (C)	2006	2.4
Renmark Paringa (DC)	2006	2.5
Robe (DC)	2006	2.3
Roxby Downs (M)	2006	2.9
Salisbury (C)	2006	2.6
Southern Mallee (DC)	2006	2.3
Streaky Bay (DC)	2006	2.4
Tatiara (DC)	2006	2.5
Tea Tree Gully (C)	2006	2.6
The Coorong (DC)	2006	2.4
Tumby Bay (DC)	2006	2.3
Unley (C)	2006	2.3
Victor Harbor (C)	2006	2.1
Wakefield (DC)	2006	2.4
Walkerville (M)	2006	2.3
Wattle Range (DC)	2006	2.5
West Torrens (C)	2006	2.2
Whyalla (C)	2006	2.3
Wudinna (DC)	2006	2.4
Yankalilla (DC)	2006	2.3
Yorke Peninsula (DC)	2006	2.2
Unincorporated SA	2006	2.3
No usual address (SA)	2006	0
Migratory - Offshore - Shipping (SA)	2006	0
Albany (C)	2006	2.5
Armadale (C)	2006	2.6
Ashburton (S)	2006	2.8
Augusta-Margaret River (S)	2006	2.5
Bassendean (T)	2006	2.3
Bayswater (C)	2006	2.3
Belmont (C)	2006	2.2
Beverley (S)	2006	2.3
Boddington (S)	2006	2.6
Boyup Brook (S)	2006	2.3
Bridgetown-Greenbushes (S)	2006	2.4
Brookton (S)	2006	2.3
Broome (S)	2006	2.7
Broomehill-Tambellup (S)	2006	2.7
Bruce Rock (S)	2006	2.3
Bunbury (C)	2006	2.4
Busselton (C)	2006	2.5
Cambridge (T)	2006	2.6
Canning (C)	2006	2.6
Capel (S)	2006	2.9
Carnamah (S)	2006	2.4
Carnarvon (S)	2006	2.5
Chapman Valley (S)	2006	2.6
Chittering (S)	2006	2.7
Claremont (T)	2006	2.2
Cockburn (C)	2006	2.7
Collie (S)	2006	2.6
Coolgardie (S)	2006	2.7
Coorow (S)	2006	2.4
Corrigin (S)	2006	2.3
Cottesloe (T)	2006	2.4
Cranbrook (S)	2006	2.5
Cuballing (S)	2006	2.5
Cue (S)	2006	2.6
Cunderdin (S)	2006	2.3
Dalwallinu (S)	2006	2.6
Dandaragan (S)	2006	2.4
Dardanup (S)	2006	2.8
Denmark (S)	2006	2.3
Derby-West Kimberley (S)	2006	3.3
Donnybrook-Balingup (S)	2006	2.5
Dowerin (S)	2006	2.5
Dumbleyung (S)	2006	2.3
Dundas (S)	2006	2.2
East Fremantle (T)	2006	2.4
East Pilbara (S)	2006	3.1
Esperance (S)	2006	2.6
Exmouth (S)	2006	2.3
Fremantle (C)	2006	2.1
Gingin (S)	2006	2.4
Gnowangerup (S)	2006	2.6
Goomalling (S)	2006	2.4
Gosnells (C)	2006	2.7
Greater Geraldton (C)	2006	2.6
Halls Creek (S)	2006	3.6
Harvey (S)	2006	2.8
Irwin (S)	2006	2.4
Jerramungup (S)	2006	2.4
Joondalup (C)	2006	2.8
Kalamunda (S)	2006	2.7
Kalgoorlie/Boulder (C)	2006	2.7
Karratha (C)	2006	2.9
Katanning (S)	2006	2.6
Kellerberrin (S)	2006	2.5
Kent (S)	2006	2.5
Kojonup (S)	2006	2.5
Kondinin (S)	2006	2.5
Koorda (S)	2006	2.3
Kulin (S)	2006	2.4
Kwinana (C)	2006	2.6
Lake Grace (S)	2006	2.4
Laverton (S)	2006	2.6
Leonora (S)	2006	2.6
Mandurah (C)	2006	2.4
Manjimup (S)	2006	2.6
Meekatharra (S)	2006	2.8
Melville (C)	2006	2.6
Menzies (S)	2006	2.5
Merredin (S)	2006	2.4
Mingenew (S)	2006	2.6
Moora (S)	2006	2.5
Morawa (S)	2006	2.6
Mosman Park (T)	2006	2.3
Mount Magnet (S)	2006	2.5
Mount Marshall (S)	2006	2.6
Mukinbudin (S)	2006	2.4
Mundaring (S)	2006	2.7
Murchison (S)	2006	1.8
Murray (S)	2006	2.5
Nannup (S)	2006	2.3
Narembeen (S)	2006	2.4
Narrogin (S)	2006	2.5
Nedlands (C)	2006	2.7
Ngaanyatjarraku (S)	2006	4
Northam (S)	2006	2.5
Northampton (S)	2006	2.4
Nungarin (S)	2006	2.5
Peppermint Grove (S)	2006	2.8
Perenjori (S)	2006	2.6
Perth (C)	2006	1.7
Pingelly (S)	2006	2.3
Plantagenet (S)	2006	2.5
Port Hedland (T)	2006	2.7
Quairading (S)	2006	2.4
Ravensthorpe (S)	2006	2.5
Rockingham (C)	2006	2.7
Sandstone (S)	2006	2.1
Serpentine-Jarrahdale (S)	2006	3
Shark Bay (S)	2006	2.1
South Perth (C)	2006	2.2
Stirling (C)	2006	2.3
Subiaco (C)	2006	2
Swan (C)	2006	2.8
Tammin (S)	2006	2.7
Three Springs (S)	2006	2.4
Toodyay (S)	2006	2.5
Trayning (S)	2006	2.4
Upper Gascoyne (S)	2006	2.7
Victoria Park (T)	2006	2
Victoria Plains (S)	2006	2.4
Vincent (C)	2006	2.1
Wagin (S)	2006	2.4
Wandering (S)	2006	2.4
Wanneroo (C)	2006	2.9
Waroona (S)	2006	2.6
West Arthur (S)	2006	2.4
Westonia (S)	2006	2.6
Wickepin (S)	2006	2.4
Williams (S)	2006	2.4
Wiluna (S)	2006	3
Wongan-Ballidu (S)	2006	2.4
Woodanilling (S)	2006	2.7
Wyalkatchem (S)	2006	2.3
Wyndham-East Kimberley (S)	2006	3
Yalgoo (S)	2006	2.3
Yilgarn (S)	2006	2.6
York (S)	2006	2.3
No usual address (WA)	2006	0
Migratory - Offshore - Shipping (WA)	2006	0
Break O'Day (M)	2006	2.2
Brighton (M)	2006	2.8
Burnie (C)	2006	2.4
Central Coast (M) (Tas.)	2006	2.4
Central Highlands (M) (Tas.)	2006	2.4
Circular Head (M)	2006	2.5
Clarence (C)	2006	2.5
Derwent Valley (M)	2006	2.6
Devonport (C)	2006	2.4
Dorset (M)	2006	2.4
Flinders (M) (Tas.)	2006	2.1
George Town (M)	2006	2.5
Glamorgan/Spring Bay (M)	2006	2.2
Glenorchy (C)	2006	2.3
Hobart (C)	2006	2.3
Huon Valley (M)	2006	2.6
Kentish (M)	2006	2.6
King Island (M)	2006	2.3
Kingborough (M)	2006	2.6
Latrobe (M) (Tas.)	2006	2.5
Launceston (C)	2006	2.4
Meander Valley (M)	2006	2.5
Northern Midlands (M)	2006	2.5
Sorell (M)	2006	2.5
Southern Midlands (M)	2006	2.6
Tasman (M)	2006	2.2
Waratah/Wynyard (M)	2006	2.5
West Coast (M)	2006	2.3
West Tamar (M)	2006	2.6
No usual address (Tas.)	2006	0
Migratory - Offshore - Shipping (Tas.)	2006	0
Alice Springs (T)	2006	2.6
Barkly (R)	2006	3.8
Belyuen (S)	2006	4.3
Central Desert (R)	2006	4.9
Coomalie (S)	2006	2.5
Darwin (C)	2006	2.5
East Arnhem (R)	2006	6.3
Katherine (T)	2006	2.8
Litchfield (M)	2006	2.8
MacDonnell (R)	2006	4.6
Palmerston (C)	2006	2.8
Roper Gulf (R)	2006	4.7
Tiwi Islands (R)	2006	4
Victoria Daly (R)	2006	3.9
Wagait (S)	2006	2
West Arnhem (R)	2006	4.6
West Daly (R)	2006	6.2
Unincorporated NT	2006	2.6
No usual address (NT)	2006	0
Migratory - Offshore - Shipping (NT)	2006	0
Unincorporated ACT	2006	2.6
No usual address (ACT)	2006	0
Migratory - Offshore - Shipping (ACT)	2006	0
Unincorp. Other Territories	2006	2.9
No usual address (OT)	2006	0
Migratory - Offshore - Shipping (OT)	2006	0
Albury (C)	2011	2.4
Armidale Regional (A)	2011	2.4
Ballina (A)	2011	2.4
Balranald (A)	2011	2.4
Bathurst Regional (A)	2011	2.5
Bega Valley (A)	2011	2.3
Bellingen (A)	2011	2.4
Berrigan (A)	2011	2.2
Blacktown (C)	2011	3.1
Bland (A)	2011	2.4
Blayney (A)	2011	2.5
Blue Mountains (C)	2011	2.5
Bogan (A)	2011	2.5
Botany Bay (C)	2011	2.6
Bourke (A)	2011	2.6
Brewarrina (A)	2011	2.6
Broken Hill (C)	2011	2.2
Burwood (A)	2011	2.8
Byron (A)	2011	2.4
Cabonne (A)	2011	2.6
Camden (A)	2011	3
Campbelltown (C) (NSW)	2011	2.9
Canada Bay (A)	2011	2.5
Canterbury-Bankstown (A)	2011	2.9
Carrathool (A)	2011	2.4
Central Coast (C) (NSW)	2011	2.5
Central Darling (A)	2011	2.4
Cessnock (C)	2011	2.6
Clarence Valley (A)	2011	2.4
Cobar (A)	2011	2.4
Coffs Harbour (C)	2011	2.4
Coolamon (A)	2011	2.5
Coonamble (A)	2011	2.4
Cowra (A)	2011	2.3
Cumberland (A)	2011	3
Dungog (A)	2011	2.5
Edward River (A)	2011	2.3
Eurobodalla (A)	2011	2.3
Fairfield (C)	2011	3.2
Federation (A)	2011	2.3
Forbes (A)	2011	2.4
Georges River (A)	2011	2.8
Gilgandra (A)	2011	2.4
Glen Innes Severn (A)	2011	2.3
Goulburn Mulwaree (A)	2011	2.4
Greater Hume Shire (A)	2011	2.5
Griffith (C)	2011	2.7
Gundagai (A)	2011	2.3
Gunnedah (A)	2011	2.5
Gwydir (A)	2011	2.3
Hawkesbury (C)	2011	2.8
Hay (A)	2011	2.4
Hilltops (A)	2011	2.4
Hornsby (A)	2011	2.9
Hunters Hill (A)	2011	2.6
Inner West (A)	2011	2.3
Inverell (A)	2011	2.5
Junee (A)	2011	2.5
Kempsey (A)	2011	2.4
Kiama (A)	2011	2.5
Ku-ring-gai (A)	2011	2.9
Kyogle (A)	2011	2.4
Lachlan (A)	2011	2.4
Lake Macquarie (C)	2011	2.5
Lane Cove (A)	2011	2.5
Leeton (A)	2011	2.5
Lismore (C)	2011	2.4
Lithgow (C)	2011	2.3
Liverpool (C)	2011	3.2
Liverpool Plains (A)	2011	2.4
Lockhart (A)	2011	2.5
Maitland (C)	2011	2.7
Mid-Coast (A)	2011	2.3
Mid-Western Regional (A)	2011	2.4
Moree Plains (A)	2011	2.5
Mosman (A)	2011	2.3
Murray River (A)	2011	2.3
Murrumbidgee (A)	2011	2.5
Muswellbrook (A)	2011	2.6
Nambucca (A)	2011	2.3
Narrabri (A)	2011	2.5
Narrandera (A)	2011	2.4
Narromine (A)	2011	2.5
Newcastle (C)	2011	2.4
North Sydney (A)	2011	2
Northern Beaches (A)	2011	2.6
Oberon (A)	2011	2.5
Orange (C)	2011	2.5
Parkes (A)	2011	2.5
Parramatta (C)	2011	2.7
Penrith (C)	2011	2.9
Port Macquarie-Hastings (A)	2011	2.3
Port Stephens (A)	2011	2.5
Queanbeyan-Palerang Regional (A)	2011	2.6
Randwick (C)	2011	2.4
Richmond Valley (A)	2011	2.4
Rockdale (C)	2011	2.7
Ryde (C)	2011	2.6
Shellharbour (C)	2011	2.7
Shoalhaven (C)	2011	2.3
Singleton (A)	2011	2.7
Snowy Monaro Regional (A)	2011	2.4
Snowy Valleys (A)	2011	2.4
Strathfield (A)	2011	2.9
Sutherland Shire (A)	2011	2.7
Sydney (C)	2011	1.9
Tamworth Regional (A)	2011	2.5
Temora (A)	2011	2.3
Tenterfield (A)	2011	2.3
The Hills Shire (A)	2011	3.1
Tweed (A)	2011	2.4
Upper Hunter Shire (A)	2011	2.4
Upper Lachlan Shire (A)	2011	2.4
Uralla (A)	2011	2.6
Wagga Wagga (C)	2011	2.5
Walcha (A)	2011	2.4
Walgett (A)	2011	2.3
Warren (A)	2011	2.4
Warrumbungle Shire (A)	2011	2.4
Waverley (A)	2011	2.3
Weddin (A)	2011	2.3
Wentworth (A)	2011	2.5
Western Plains Regional (A)	2011	2.5
Willoughby (C)	2011	2.6
Wingecarribee (A)	2011	2.5
Wollondilly (A)	2011	3
Wollongong (C)	2011	2.5
Woollahra (A)	2011	2.2
Yass Valley (A)	2011	2.7
Unincorporated NSW	2011	2.4
No usual address (NSW)	2011	0
Migratory - Offshore - Shipping (NSW)	2011	0
Alpine (S)	2011	2.3
Ararat (RC)	2011	2.3
Ballarat (C)	2011	2.4
Banyule (C)	2011	2.6
Bass Coast (S)	2011	2.2
Baw Baw (S)	2011	2.5
Bayside (C)	2011	2.6
Benalla (RC)	2011	2.3
Boroondara (C)	2011	2.6
Brimbank (C)	2011	2.9
Buloke (S)	2011	2.3
Campaspe (S)	2011	2.4
Cardinia (S)	2011	2.8
Casey (C)	2011	3
Central Goldfields (S)	2011	2.2
Colac-Otway (S)	2011	2.4
Corangamite (S)	2011	2.5
Darebin (C)	2011	2.5
East Gippsland (S)	2011	2.3
Frankston (C)	2011	2.5
Gannawarra (S)	2011	2.3
Glen Eira (C)	2011	2.5
Glenelg (S)	2011	2.3
Golden Plains (S)	2011	2.8
Greater Bendigo (C)	2011	2.5
Greater Dandenong (C)	2011	2.8
Greater Geelong (C)	2011	2.4
Greater Shepparton (C)	2011	2.5
Hepburn (S)	2011	2.3
Hindmarsh (S)	2011	2.3
Hobsons Bay (C)	2011	2.6
Horsham (RC)	2011	2.4
Hume (C)	2011	3.1
Indigo (S)	2011	2.5
Kingston (C) (Vic.)	2011	2.5
Knox (C)	2011	2.8
Latrobe (C) (Vic.)	2011	2.4
Loddon (S)	2011	2.2
Macedon Ranges (S)	2011	2.7
Manningham (C)	2011	2.8
Mansfield (S)	2011	2.3
Maribyrnong (C)	2011	2.5
Maroondah (C)	2011	2.6
Melbourne (C)	2011	2
Melton (C)	2011	3
Mildura (RC)	2011	2.5
Mitchell (S)	2011	2.7
Moira (S)	2011	2.4
Monash (C)	2011	2.7
Moonee Valley (C)	2011	2.5
Moorabool (S)	2011	2.7
Moreland (C)	2011	2.5
Mornington Peninsula (S)	2011	2.4
Mount Alexander (S)	2011	2.3
Moyne (S)	2011	2.6
Murrindindi (S)	2011	2.4
Nillumbik (S)	2011	3
Northern Grampians (S)	2011	2.3
Port Phillip (C)	2011	2
Pyrenees (S)	2011	2.3
Queenscliffe (B)	2011	2.1
South Gippsland (S)	2011	2.4
Southern Grampians (S)	2011	2.3
Stonnington (C)	2011	2.2
Strathbogie (S)	2011	2.2
Surf Coast (S)	2011	2.6
Swan Hill (RC)	2011	2.5
Towong (S)	2011	2.3
Wangaratta (RC)	2011	2.4
Warrnambool (C)	2011	2.4
Wellington (S)	2011	2.4
West Wimmera (S)	2011	2.3
Whitehorse (C)	2011	2.6
Whittlesea (C)	2011	3
Wodonga (C)	2011	2.5
Wyndham (C)	2011	2.9
Yarra (C)	2011	2.2
Yarra Ranges (S)	2011	2.7
Yarriambiack (S)	2011	2.3
Unincorporated Vic	2011	1.9
No usual address (Vic.)	2011	0
Migratory - Offshore - Shipping (Vic.)	2011	0
Aurukun (S)	2011	5
Balonne (S)	2011	2.6
Banana (S)	2011	2.6
Barcaldine (R)	2011	2.4
Barcoo (S)	2011	2.2
Blackall-Tambo (R)	2011	2.3
Boulia (S)	2011	2.7
Brisbane (C)	2011	2.6
Bulloo (S)	2011	2.5
Bundaberg (R)	2011	2.4
Burdekin (S)	2011	2.5
Burke (S)	2011	2.5
Cairns (R)	2011	2.5
Carpentaria (S)	2011	2.6
Cassowary Coast (R)	2011	2.5
Central Highlands (R) (Qld)	2011	2.8
Charters Towers (R)	2011	2.5
Cherbourg (S)	2011	4.3
Cloncurry (S)	2011	2.7
Cook (S)	2011	2.3
Croydon (S)	2011	2.8
Diamantina (S)	2011	2.1
Doomadgee (S)	2011	5.1
Douglas (S)	2011	2.3
Etheridge (S)	2011	2.3
Flinders (S) (Qld)	2011	2.3
Fraser Coast (R)	2011	2.4
Gladstone (R)	2011	2.7
Gold Coast (C)	2011	2.5
Goondiwindi (R)	2011	2.5
Gympie (R)	2011	2.4
Hinchinbrook (S)	2011	2.4
Hope Vale (S)	2011	3.9
Ipswich (C)	2011	2.8
Isaac (R)	2011	2.9
Kowanyama (S)	2011	4.1
Livingstone (S)	2011	2.6
Lockhart River (S)	2011	3.9
Lockyer Valley (R)	2011	2.7
Logan (C)	2011	2.9
Longreach (R)	2011	2.5
Mackay (R)	2011	2.7
McKinlay (S)	2011	2.4
Mapoon (S)	2011	3.2
Maranoa (R)	2011	2.6
Mareeba (S)	2011	2.5
Moreton Bay (R)	2011	2.7
Mornington (S)	2011	4
Mount Isa (C)	2011	2.7
Murweh (S)	2011	2.5
Napranum (S)	2011	4.2
Noosa (S)	2011	2.4
North Burnett (R)	2011	2.3
Northern Peninsula Area (R)	2011	3.6
Palm Island (S)	2011	4.8
