LGA_NAME16	Year	Age	persons
Ballina (A)	2006	75-84	3016
Ballina (A)	2006	85+	1034
Ballina (A)	2011	0-4	2137
Ballina (A)	2011	5-14	4905
Ballina (A)	2011	15-19	2396
Ballina (A)	2011	20-24	1596
Ballina (A)	2011	25-34	3278
Ballina (A)	2011	35-44	4886
Ballina (A)	2011	45-54	5779
Ballina (A)	2011	55-64	5846
Ballina (A)	2011	65-74	4120
Ballina (A)	2011	75-84	2927
Ballina (A)	2011	85+	1401
Ballina (A)	2016	0-4	2072
Ballina (A)	2016	5-14	4856
Ballina (A)	2016	15-19	2384
Ballina (A)	2016	20-24	1571
Ballina (A)	2016	25-34	3581
Ballina (A)	2016	35-44	4669
Ballina (A)	2016	45-54	5759
Ballina (A)	2016	55-64	6434
Ballina (A)	2016	65-74	5503
Ballina (A)	2016	75-84	3203
Ballina (A)	2016	85+	1755
Balranald (A)	2006	0-4	165
Balranald (A)	2006	5-14	352
Balranald (A)	2006	15-19	169
Balranald (A)	2006	20-24	107
Balranald (A)	2006	25-34	307
Balranald (A)	2006	35-44	337
Balranald (A)	2006	45-54	404
Balranald (A)	2006	55-64	257
Balranald (A)	2006	65-74	192
Balranald (A)	2006	75-84	112
Balranald (A)	2006	85+	35
Balranald (A)	2011	0-4	167
Balranald (A)	2011	5-14	299
Balranald (A)	2011	15-19	139
Balranald (A)	2011	20-24	112
Balranald (A)	2011	25-34	217
Balranald (A)	2011	35-44	297
Balranald (A)	2011	45-54	359
Balranald (A)	2011	55-64	331
Balranald (A)	2011	65-74	195
Balranald (A)	2011	75-84	123
Balranald (A)	2011	85+	34
Balranald (A)	2016	0-4	143
Balranald (A)	2016	5-14	336
Balranald (A)	2016	15-19	135
Balranald (A)	2016	20-24	132
Balranald (A)	2016	25-34	233
Balranald (A)	2016	35-44	276
Balranald (A)	2016	45-54	290
Balranald (A)	2016	55-64	377
Balranald (A)	2016	65-74	202
Balranald (A)	2016	75-84	131
Balranald (A)	2016	85+	35
Bathurst Regional (A)	2006	0-4	2354
Bathurst Regional (A)	2006	5-14	4991
Bathurst Regional (A)	2006	15-19	3255
Bathurst Regional (A)	2006	20-24	3001
Bathurst Regional (A)	2006	25-34	4276
Bathurst Regional (A)	2006	35-44	4793
Bathurst Regional (A)	2006	45-54	4899
Bathurst Regional (A)	2006	55-64	3832
Bathurst Regional (A)	2006	65-74	2319
Bathurst Regional (A)	2006	75-84	1577
Bathurst Regional (A)	2006	85+	543
Bathurst Regional (A)	2011	0-4	2642
Bathurst Regional (A)	2011	5-14	5351
Bathurst Regional (A)	2011	15-19	3027
Bathurst Regional (A)	2011	20-24	3202
Bathurst Regional (A)	2011	25-34	4485
Bathurst Regional (A)	2011	35-44	4931
Bathurst Regional (A)	2011	45-54	5054
Bathurst Regional (A)	2011	55-64	4472
Bathurst Regional (A)	2011	65-74	2932
Bathurst Regional (A)	2011	75-84	1773
Bathurst Regional (A)	2011	85+	647
Bathurst Regional (A)	2016	0-4	2546
Bathurst Regional (A)	2016	5-14	5571
Bathurst Regional (A)	2016	15-19	2980
Bathurst Regional (A)	2016	20-24	3148
Bathurst Regional (A)	2016	25-34	5171
Bathurst Regional (A)	2016	35-44	4878
Bathurst Regional (A)	2016	45-54	5238
Bathurst Regional (A)	2016	55-64	4991
Bathurst Regional (A)	2016	65-74	3862
Bathurst Regional (A)	2016	75-84	2019
Bathurst Regional (A)	2016	85+	892
Bega Valley (A)	2006	0-4	1659
Bega Valley (A)	2006	5-14	4395
Bega Valley (A)	2006	15-19	2076
Bega Valley (A)	2006	20-24	1090
Bega Valley (A)	2006	25-34	2321
Bega Valley (A)	2006	35-44	3952
Bega Valley (A)	2006	45-54	5201
Bega Valley (A)	2006	55-64	4571
Bega Valley (A)	2006	65-74	3226
Bega Valley (A)	2006	75-84	1960
Bega Valley (A)	2006	85+	608
Bega Valley (A)	2011	0-4	1686
Bega Valley (A)	2011	5-14	3907
Bega Valley (A)	2011	15-19	2054
Bega Valley (A)	2011	20-24	1093
Bega Valley (A)	2011	25-34	2329
Bega Valley (A)	2011	35-44	3496
Bega Valley (A)	2011	45-54	5035
Bega Valley (A)	2011	55-64	5519
Bega Valley (A)	2011	65-74	3893
Bega Valley (A)	2011	75-84	2134
Bega Valley (A)	2011	85+	803
Bega Valley (A)	2016	0-4	1468
Bega Valley (A)	2016	5-14	3789
Bega Valley (A)	2016	15-19	1792
Bega Valley (A)	2016	20-24	1189
Bega Valley (A)	2016	25-34	2482
Bega Valley (A)	2016	35-44	3120
Bega Valley (A)	2016	45-54	4648
Bega Valley (A)	2016	55-64	6154
Bega Valley (A)	2016	65-74	5060
Bega Valley (A)	2016	75-84	2546
Bega Valley (A)	2016	85+	999
Bellingen (A)	2006	0-4	629
Bellingen (A)	2006	5-14	1872
Bellingen (A)	2006	15-19	828
Bellingen (A)	2006	20-24	388
Bellingen (A)	2006	25-34	854
Bellingen (A)	2006	35-44	1677
Bellingen (A)	2006	45-54	2167
Bellingen (A)	2006	55-64	1738
Bellingen (A)	2006	65-74	1231
Bellingen (A)	2006	75-84	762
Bellingen (A)	2006	85+	281
Bellingen (A)	2011	0-4	688
Bellingen (A)	2011	5-14	1753
Bellingen (A)	2011	15-19	807
Bellingen (A)	2011	20-24	414
Bellingen (A)	2011	25-34	848
Bellingen (A)	2011	35-44	1478
Bellingen (A)	2011	45-54	2054
Bellingen (A)	2011	55-64	1973
Bellingen (A)	2011	65-74	1382
Bellingen (A)	2011	75-84	792
Bellingen (A)	2011	85+	318
Bellingen (A)	2016	0-4	605
Bellingen (A)	2016	5-14	1594
Bellingen (A)	2016	15-19	719
Bellingen (A)	2016	20-24	396
Bellingen (A)	2016	25-34	953
Bellingen (A)	2016	35-44	1324
Bellingen (A)	2016	45-54	1824
Bellingen (A)	2016	55-64	2240
Bellingen (A)	2016	65-74	1718
Bellingen (A)	2016	75-84	924
Bellingen (A)	2016	85+	368
Berrigan (A)	2006	0-4	431
Berrigan (A)	2006	5-14	1119
Berrigan (A)	2006	15-19	479
Berrigan (A)	2006	20-24	285
Berrigan (A)	2006	25-34	730
Berrigan (A)	2006	35-44	897
Berrigan (A)	2006	45-54	1160
Berrigan (A)	2006	55-64	1145
Berrigan (A)	2006	65-74	922
Berrigan (A)	2006	75-84	615
Berrigan (A)	2006	85+	207
Berrigan (A)	2011	0-4	441
Berrigan (A)	2011	5-14	952
Berrigan (A)	2011	15-19	529
Berrigan (A)	2011	20-24	274
Berrigan (A)	2011	25-34	656
Berrigan (A)	2011	35-44	845
Berrigan (A)	2011	45-54	1050
Berrigan (A)	2011	55-64	1282
Berrigan (A)	2011	65-74	1124
Berrigan (A)	2011	75-84	652
Berrigan (A)	2011	85+	255
Berrigan (A)	2016	0-4	471
Berrigan (A)	2016	5-14	972
Berrigan (A)	2016	15-19	421
Berrigan (A)	2016	20-24	331
Berrigan (A)	2016	25-34	747
Berrigan (A)	2016	35-44	843
Berrigan (A)	2016	45-54	936
Berrigan (A)	2016	55-64	1304
Berrigan (A)	2016	65-74	1370
Berrigan (A)	2016	75-84	739
Berrigan (A)	2016	85+	313
Blacktown (C)	2006	0-4	22406
Blacktown (C)	2006	5-14	44413
Blacktown (C)	2006	15-19	20164
Blacktown (C)	2006	20-24	19499
Blacktown (C)	2006	25-34	41591
Blacktown (C)	2006	35-44	41365
Blacktown (C)	2006	45-54	35080
Blacktown (C)	2006	55-64	24953
Blacktown (C)	2006	65-74	12972
Blacktown (C)	2006	75-84	7327
Blacktown (C)	2006	85+	1940
Blacktown (C)	2011	0-4	25417
Blacktown (C)	2011	5-14	46042
Blacktown (C)	2011	15-19	21803
Blacktown (C)	2011	20-24	20568
Blacktown (C)	2011	25-34	46566
Blacktown (C)	2011	35-44	45132
Blacktown (C)	2011	45-54	38806
Blacktown (C)	2011	55-64	29673
Blacktown (C)	2011	65-74	16061
Blacktown (C)	2011	75-84	8259
Blacktown (C)	2011	85+	2771
Blacktown (C)	2016	0-4	26928
Blacktown (C)	2016	5-14	49739
Blacktown (C)	2016	15-19	23289
Blacktown (C)	2016	20-24	22830
Blacktown (C)	2016	25-34	52249
Blacktown (C)	2016	35-44	51402
Blacktown (C)	2016	45-54	42063
Blacktown (C)	2016	55-64	33702
Blacktown (C)	2016	65-74	21536
Blacktown (C)	2016	75-84	9674
Blacktown (C)	2016	85+	3553
Bland (A)	2006	0-4	411
Bland (A)	2006	5-14	942
Bland (A)	2006	15-19	373
Bland (A)	2006	20-24	273
Bland (A)	2006	25-34	658
Bland (A)	2006	35-44	772
Bland (A)	2006	45-54	874
Bland (A)	2006	55-64	727
Bland (A)	2006	65-74	559
Bland (A)	2006	75-84	400
Bland (A)	2006	85+	107
Bland (A)	2011	0-4	460
Bland (A)	2011	5-14	824
Bland (A)	2011	15-19	350
Bland (A)	2011	20-24	237
Bland (A)	2011	25-34	580
Bland (A)	2011	35-44	698
Bland (A)	2011	45-54	823
Bland (A)	2011	55-64	762
Bland (A)	2011	65-74	562
Bland (A)	2011	75-84	412
Bland (A)	2011	85+	153
Bland (A)	2016	0-4	351
Bland (A)	2016	5-14	876
Bland (A)	2016	15-19	333
Bland (A)	2016	20-24	267
Bland (A)	2016	25-34	588
Bland (A)	2016	35-44	680
Bland (A)	2016	45-54	709
Bland (A)	2016	55-64	866
Bland (A)	2016	65-74	626
Bland (A)	2016	75-84	442
Bland (A)	2016	85+	211
Blayney (A)	2006	0-4	455
Blayney (A)	2006	5-14	1024
Blayney (A)	2006	15-19	453
Blayney (A)	2006	20-24	275
Blayney (A)	2006	25-34	623
Blayney (A)	2006	35-44	977
Blayney (A)	2006	45-54	945
Blayney (A)	2006	55-64	818
Blayney (A)	2006	65-74	599
Blayney (A)	2006	75-84	339
Blayney (A)	2006	85+	77
Blayney (A)	2011	0-4	510
Blayney (A)	2011	5-14	1059
Blayney (A)	2011	15-19	434
Blayney (A)	2011	20-24	352
Blayney (A)	2011	25-34	623
Blayney (A)	2011	35-44	922
Blayney (A)	2011	45-54	996
Blayney (A)	2011	55-64	910
Blayney (A)	2011	65-74	674
Blayney (A)	2011	75-84	414
Blayney (A)	2011	85+	101
Blayney (A)	2016	0-4	451
Blayney (A)	2016	5-14	1058
Blayney (A)	2016	15-19	457
Blayney (A)	2016	20-24	324
Blayney (A)	2016	25-34	707
Blayney (A)	2016	35-44	861
Blayney (A)	2016	45-54	1029
Blayney (A)	2016	55-64	1014
Blayney (A)	2016	65-74	759
Blayney (A)	2016	75-84	426
Blayney (A)	2016	85+	165
Blue Mountains (C)	2006	0-4	4706
Blue Mountains (C)	2006	5-14	10409
Blue Mountains (C)	2006	15-19	5296
Blue Mountains (C)	2006	20-24	3971
Blue Mountains (C)	2006	25-34	7660
Blue Mountains (C)	2006	35-44	10669
Blue Mountains (C)	2006	45-54	11961
Blue Mountains (C)	2006	55-64	9510
Blue Mountains (C)	2006	65-74	5259
Blue Mountains (C)	2006	75-84	3389
Blue Mountains (C)	2006	85+	1244
Blue Mountains (C)	2011	0-4	4700
Blue Mountains (C)	2011	5-14	10103
Blue Mountains (C)	2011	15-19	4987
Blue Mountains (C)	2011	20-24	3756
Blue Mountains (C)	2011	25-34	6989
Blue Mountains (C)	2011	35-44	10400
Blue Mountains (C)	2011	45-54	11647
Blue Mountains (C)	2011	55-64	11455
Blue Mountains (C)	2011	65-74	6801
Blue Mountains (C)	2011	75-84	3552
Blue Mountains (C)	2011	85+	1557
Blue Mountains (C)	2016	0-4	4232
Blue Mountains (C)	2016	5-14	9837
Blue Mountains (C)	2016	15-19	4769
Blue Mountains (C)	2016	20-24	3631
Blue Mountains (C)	2016	25-34	6985
Blue Mountains (C)	2016	35-44	9687
Blue Mountains (C)	2016	45-54	10982
Blue Mountains (C)	2016	55-64	11758
Blue Mountains (C)	2016	65-74	9280
Blue Mountains (C)	2016	75-84	4107
Blue Mountains (C)	2016	85+	1630
Bogan (A)	2006	0-4	240
Bogan (A)	2006	5-14	458
Bogan (A)	2006	15-19	151
Bogan (A)	2006	20-24	114
Bogan (A)	2006	25-34	337
Bogan (A)	2006	35-44	425
Bogan (A)	2006	45-54	339
Bogan (A)	2006	55-64	376
Bogan (A)	2006	65-74	277
Bogan (A)	2006	75-84	138
Bogan (A)	2006	85+	38
Bogan (A)	2011	0-4	229
Bogan (A)	2011	5-14	452
Bogan (A)	2011	15-19	170
Bogan (A)	2011	20-24	157
Bogan (A)	2011	25-34	282
Bogan (A)	2011	35-44	413
Bogan (A)	2011	45-54	375
Bogan (A)	2011	55-64	298
Bogan (A)	2011	65-74	316
Bogan (A)	2011	75-84	154
Bogan (A)	2011	85+	47
Bogan (A)	2016	0-4	207
Bogan (A)	2016	5-14	344
Bogan (A)	2016	15-19	167
Bogan (A)	2016	20-24	155
Bogan (A)	2016	25-34	317
Bogan (A)	2016	35-44	296
Bogan (A)	2016	45-54	394
Bogan (A)	2016	55-64	280
Bogan (A)	2016	65-74	284
Bogan (A)	2016	75-84	187
Bogan (A)	2016	85+	65
Botany Bay (C)	2006	0-4	2334
Botany Bay (C)	2006	5-14	4226
Botany Bay (C)	2006	15-19	2120
Botany Bay (C)	2006	20-24	2511
Botany Bay (C)	2006	25-34	5532
Botany Bay (C)	2006	35-44	5570
Botany Bay (C)	2006	45-54	4744
Botany Bay (C)	2006	55-64	3826
Botany Bay (C)	2006	65-74	2677
Botany Bay (C)	2006	75-84	1835
Botany Bay (C)	2006	85+	604
Botany Bay (C)	2011	0-4	2649
Botany Bay (C)	2011	5-14	4491
Botany Bay (C)	2011	15-19	2248
Botany Bay (C)	2011	20-24	2561
Botany Bay (C)	2011	25-34	6316
Botany Bay (C)	2011	35-44	6230
Botany Bay (C)	2011	45-54	5070
Botany Bay (C)	2011	55-64	4137
Botany Bay (C)	2011	65-74	3073
Botany Bay (C)	2011	75-84	1906
Botany Bay (C)	2011	85+	673
Botany Bay (C)	2016	0-4	2895
Botany Bay (C)	2016	5-14	5024
Botany Bay (C)	2016	15-19	2651
Botany Bay (C)	2016	20-24	3793
Botany Bay (C)	2016	25-34	8770
Botany Bay (C)	2016	35-44	7156
Botany Bay (C)	2016	45-54	5846
Botany Bay (C)	2016	55-64	4430
Botany Bay (C)	2016	65-74	3269
Botany Bay (C)	2016	75-84	2052
Botany Bay (C)	2016	85+	765
Bourke (A)	2006	0-4	277
Bourke (A)	2006	5-14	543
Bourke (A)	2006	15-19	226
Bourke (A)	2006	20-24	181
Bourke (A)	2006	25-34	413
Bourke (A)	2006	35-44	445
Bourke (A)	2006	45-54	400
Bourke (A)	2006	55-64	301
Bourke (A)	2006	65-74	182
Bourke (A)	2006	75-84	104
Bourke (A)	2006	85+	28
Bourke (A)	2011	0-4	268
Bourke (A)	2011	5-14	458
Bourke (A)	2011	15-19	164
Bourke (A)	2011	20-24	171
Bourke (A)	2011	25-34	362
Bourke (A)	2011	35-44	416
Bourke (A)	2011	45-54	390
Bourke (A)	2011	55-64	306
Bourke (A)	2011	65-74	195
Bourke (A)	2011	75-84	127
Bourke (A)	2011	85+	19
Bourke (A)	2016	0-4	222
Bourke (A)	2016	5-14	395
Bourke (A)	2016	15-19	121
Bourke (A)	2016	20-24	159
Bourke (A)	2016	25-34	369
Bourke (A)	2016	35-44	294
Bourke (A)	2016	45-54	401
Bourke (A)	2016	55-64	309
Bourke (A)	2016	65-74	209
Bourke (A)	2016	75-84	110
Bourke (A)	2016	85+	40
Brewarrina (A)	2006	0-4	183
Brewarrina (A)	2006	5-14	344
Brewarrina (A)	2006	15-19	147
Brewarrina (A)	2006	20-24	156
Brewarrina (A)	2006	25-34	230
Brewarrina (A)	2006	35-44	305
Brewarrina (A)	2006	45-54	236
Brewarrina (A)	2006	55-64	173
Brewarrina (A)	2006	65-74	91
Brewarrina (A)	2006	75-84	72
Brewarrina (A)	2006	85+	17
Brewarrina (A)	2011	0-4	178
Brewarrina (A)	2011	5-14	269
Brewarrina (A)	2011	15-19	126
Brewarrina (A)	2011	20-24	132
Brewarrina (A)	2011	25-34	194
Brewarrina (A)	2011	35-44	218
Brewarrina (A)	2011	45-54	281
Brewarrina (A)	2011	55-64	185
Brewarrina (A)	2011	65-74	88
Brewarrina (A)	2011	75-84	64
Brewarrina (A)	2011	85+	19
Brewarrina (A)	2016	0-4	124
Brewarrina (A)	2016	5-14	255
Brewarrina (A)	2016	15-19	95
Brewarrina (A)	2016	20-24	123
Brewarrina (A)	2016	25-34	231
Brewarrina (A)	2016	35-44	155
Brewarrina (A)	2016	45-54	270
Brewarrina (A)	2016	55-64	216
Brewarrina (A)	2016	65-74	110
Brewarrina (A)	2016	75-84	45
Brewarrina (A)	2016	85+	21
Broken Hill (C)	2006	0-4	1188
Broken Hill (C)	2006	5-14	2614
Broken Hill (C)	2006	15-19	1224
Broken Hill (C)	2006	20-24	954
Broken Hill (C)	2006	25-34	1941
Broken Hill (C)	2006	35-44	2464
Broken Hill (C)	2006	45-54	2902
Broken Hill (C)	2006	55-64	2406
Broken Hill (C)	2006	65-74	1833
Broken Hill (C)	2006	75-84	1390
Broken Hill (C)	2006	85+	447
Broken Hill (C)	2011	0-4	1070
Broken Hill (C)	2011	5-14	2272
Broken Hill (C)	2011	15-19	1145
Broken Hill (C)	2011	20-24	1033
Broken Hill (C)	2011	25-34	1885
Broken Hill (C)	2011	35-44	2123
Broken Hill (C)	2011	45-54	2733
Broken Hill (C)	2011	55-64	2598
Broken Hill (C)	2011	65-74	1793
Broken Hill (C)	2011	75-84	1383
Broken Hill (C)	2011	85+	491
Broken Hill (C)	2016	0-4	974
Broken Hill (C)	2016	5-14	1972
Broken Hill (C)	2016	15-19	949
Broken Hill (C)	2016	20-24	962
Broken Hill (C)	2016	25-34	2114
Broken Hill (C)	2016	35-44	1861
Broken Hill (C)	2016	45-54	2356
Broken Hill (C)	2016	55-64	2663
Broken Hill (C)	2016	65-74	2049
Broken Hill (C)	2016	75-84	1219
Broken Hill (C)	2016	85+	593
Burwood (A)	2006	0-4	1439
Burwood (A)	2006	5-14	3347
Burwood (A)	2006	15-19	2007
Burwood (A)	2006	20-24	3101
Burwood (A)	2006	25-34	5099
Burwood (A)	2006	35-44	4414
Burwood (A)	2006	45-54	3983
Burwood (A)	2006	55-64	2896
Burwood (A)	2006	65-74	2167
Burwood (A)	2006	75-84	1758
Burwood (A)	2006	85+	713
Burwood (A)	2011	0-4	1653
Burwood (A)	2011	5-14	3126
Burwood (A)	2011	15-19	1963
Burwood (A)	2011	20-24	3269
Burwood (A)	2011	25-34	6134
Burwood (A)	2011	35-44	4167
Burwood (A)	2011	45-54	4207
Burwood (A)	2011	55-64	3226
Burwood (A)	2011	65-74	2140
Burwood (A)	2011	75-84	1733
Burwood (A)	2011	85+	809
Burwood (A)	2016	0-4	1670
Burwood (A)	2016	5-14	3129
Burwood (A)	2016	15-19	2156
Burwood (A)	2016	20-24	4403
Burwood (A)	2016	25-34	7860
Burwood (A)	2016	35-44	4385
Burwood (A)	2016	45-54	4337
Burwood (A)	2016	55-64	3615
Burwood (A)	2016	65-74	2484
Burwood (A)	2016	75-84	1798
Burwood (A)	2016	85+	976
Byron (A)	2006	0-4	1599
Byron (A)	2006	5-14	3990
Byron (A)	2006	15-19	1968
Byron (A)	2006	20-24	1349
Byron (A)	2006	25-34	3011
Byron (A)	2006	35-44	4355
Byron (A)	2006	45-54	5488
Byron (A)	2006	55-64	3519
Byron (A)	2006	65-74	1704
Byron (A)	2006	75-84	1332
Byron (A)	2006	85+	446
Byron (A)	2011	0-4	1644
Byron (A)	2011	5-14	3750
Byron (A)	2011	15-19	1695
Byron (A)	2011	20-24	1223
Byron (A)	2011	25-34	2833
Byron (A)	2011	35-44	4398
Byron (A)	2011	45-54	5153
Byron (A)	2011	55-64	4631
Byron (A)	2011	65-74	2120
Byron (A)	2011	75-84	1199
Byron (A)	2011	85+	573
Byron (A)	2016	0-4	1553
Byron (A)	2016	5-14	3739
Byron (A)	2016	15-19	1607
Byron (A)	2016	20-24	1194
Byron (A)	2016	25-34	3390
Byron (A)	2016	35-44	4381
Byron (A)	2016	45-54	4879
Byron (A)	2016	55-64	5482
Byron (A)	2016	65-74	3371
Byron (A)	2016	75-84	1270
Byron (A)	2016	85+	687
Cabonne (A)	2006	0-4	790
Cabonne (A)	2006	5-14	1933
Cabonne (A)	2006	15-19	798
Cabonne (A)	2006	20-24	445
Cabonne (A)	2006	25-34	1196
Cabonne (A)	2006	35-44	1711
Cabonne (A)	2006	45-54	1825
Cabonne (A)	2006	55-64	1683
Cabonne (A)	2006	65-74	1163
Cabonne (A)	2006	75-84	648
Cabonne (A)	2006	85+	211
Cabonne (A)	2011	0-4	854
Cabonne (A)	2011	5-14	1949
Cabonne (A)	2011	15-19	838
Cabonne (A)	2011	20-24	516
Cabonne (A)	2011	25-34	1107
Cabonne (A)	2011	35-44	1590
Cabonne (A)	2011	45-54	1941
Cabonne (A)	2011	55-64	1767
Cabonne (A)	2011	65-74	1277
Cabonne (A)	2011	75-84	734
Cabonne (A)	2011	85+	247
Cabonne (A)	2016	0-4	831
Cabonne (A)	2016	5-14	2054
Cabonne (A)	2016	15-19	907
Cabonne (A)	2016	20-24	513
Cabonne (A)	2016	25-34	1193
Cabonne (A)	2016	35-44	1555
Cabonne (A)	2016	45-54	1887
Cabonne (A)	2016	55-64	1782
Cabonne (A)	2016	65-74	1559
Cabonne (A)	2016	75-84	792
Cabonne (A)	2016	85+	306
Camden (A)	2006	0-4	4233
Camden (A)	2006	5-14	8452
Camden (A)	2006	15-19	3721
Camden (A)	2006	20-24	2974
Camden (A)	2006	25-34	7274
Camden (A)	2006	35-44	8124
Camden (A)	2006	45-54	6286
Camden (A)	2006	55-64	4359
Camden (A)	2006	65-74	2260
Camden (A)	2006	75-84	1418
Camden (A)	2006	85+	538
Camden (A)	2011	0-4	4576
Camden (A)	2011	5-14	9187
Camden (A)	2011	15-19	4240
Camden (A)	2011	20-24	3510
Camden (A)	2011	25-34	7473
Camden (A)	2011	35-44	9149
Camden (A)	2011	45-54	7471
Camden (A)	2011	55-64	5601
Camden (A)	2011	65-74	3087
Camden (A)	2011	75-84	1654
Camden (A)	2011	85+	767
Camden (A)	2016	0-4	6552
Camden (A)	2016	5-14	12151
Camden (A)	2016	15-19	5357
Camden (A)	2016	20-24	4846
Camden (A)	2016	25-34	11903
Camden (A)	2016	35-44	11954
Camden (A)	2016	45-54	9839
Camden (A)	2016	55-64	7377
Camden (A)	2016	65-74	4977
Camden (A)	2016	75-84	2292
Camden (A)	2016	85+	980
Campbelltown (C) (NSW)	2006	0-4	10656
Campbelltown (C) (NSW)	2006	5-14	23368
Campbelltown (C) (NSW)	2006	15-19	12237
Campbelltown (C) (NSW)	2006	20-24	11499
Campbelltown (C) (NSW)	2006	25-34	19333
Campbelltown (C) (NSW)	2006	35-44	19875
Campbelltown (C) (NSW)	2006	45-54	21034
Campbelltown (C) (NSW)	2006	55-64	14467
Campbelltown (C) (NSW)	2006	65-74	6170
Campbelltown (C) (NSW)	2006	75-84	3435
Campbelltown (C) (NSW)	2006	85+	1001
Campbelltown (C) (NSW)	2011	0-4	10892
Campbelltown (C) (NSW)	2011	5-14	21123
Campbelltown (C) (NSW)	2011	15-19	11578
Campbelltown (C) (NSW)	2011	20-24	10995
Campbelltown (C) (NSW)	2011	25-34	20670
Campbelltown (C) (NSW)	2011	35-44	19092
Campbelltown (C) (NSW)	2011	45-54	20427
Campbelltown (C) (NSW)	2011	55-64	17579
Campbelltown (C) (NSW)	2011	65-74	8387
Campbelltown (C) (NSW)	2011	75-84	3860
Campbelltown (C) (NSW)	2011	85+	1367
Campbelltown (C) (NSW)	2016	0-4	11605
Campbelltown (C) (NSW)	2016	5-14	22257
Campbelltown (C) (NSW)	2016	15-19	10656
Campbelltown (C) (NSW)	2016	20-24	11451
Campbelltown (C) (NSW)	2016	25-34	23307
Campbelltown (C) (NSW)	2016	35-44	21097
Campbelltown (C) (NSW)	2016	45-54	19566
Campbelltown (C) (NSW)	2016	55-64	18553
Campbelltown (C) (NSW)	2016	65-74	12079
Campbelltown (C) (NSW)	2016	75-84	4780
Campbelltown (C) (NSW)	2016	85+	1666
Canada Bay (A)	2006	0-4	4157
Canada Bay (A)	2006	5-14	6671
Canada Bay (A)	2006	15-19	3316
Canada Bay (A)	2006	20-24	4159
Canada Bay (A)	2006	25-34	11419
Canada Bay (A)	2006	35-44	10817
Canada Bay (A)	2006	45-54	8921
Canada Bay (A)	2006	55-64	7004
Canada Bay (A)	2006	65-74	4619
Canada Bay (A)	2006	75-84	3490
Canada Bay (A)	2006	85+	1174
Canada Bay (A)	2011	0-4	5195
Canada Bay (A)	2011	5-14	7552
Canada Bay (A)	2011	15-19	3661
Canada Bay (A)	2011	20-24	5163
Canada Bay (A)	2011	25-34	13286
Canada Bay (A)	2011	35-44	12228
Canada Bay (A)	2011	45-54	10113
Canada Bay (A)	2011	55-64	8074
Canada Bay (A)	2011	65-74	5312
