LGA_NAME16	Year	medianTotalFamilyIncomeWeekly
Maroondah (C)	2006	1284
Melbourne (C)	2006	1596
Melton (C)	2006	1217
Mildura (RC)	2006	1025
Mitchell (S)	2006	1134
Moira (S)	2006	971
Monash (C)	2006	1287
Moonee Valley (C)	2006	1338
Moorabool (S)	2006	1169
Moreland (C)	2006	1119
Mornington Peninsula (S)	2006	1126
Mount Alexander (S)	2006	917
Moyne (S)	2006	1087
Murrindindi (S)	2006	1052
Nillumbik (S)	2006	1659
Northern Grampians (S)	2006	957
Port Phillip (C)	2006	1872
Pyrenees (S)	2006	790
Queenscliffe (B)	2006	1128
South Gippsland (S)	2006	1020
Southern Grampians (S)	2006	1058
Stonnington (C)	2006	2014
Strathbogie (S)	2006	938
Surf Coast (S)	2006	1198
Swan Hill (RC)	2006	1022
Towong (S)	2006	993
Wangaratta (RC)	2006	1045
Warrnambool (C)	2006	1091
Wellington (S)	2006	1024
West Wimmera (S)	2006	1031
Whitehorse (C)	2006	1354
Whittlesea (C)	2006	1112
Wodonga (C)	2006	1147
Wyndham (C)	2006	1269
Yarra (C)	2006	1657
Yarra Ranges (S)	2006	1209
Yarriambiack (S)	2006	894
Unincorporated Vic	2006	1180
No usual address (Vic.)	2006	0
Migratory - Offshore - Shipping (Vic.)	2006	0
Aurukun (S)	2006	559
Balonne (S)	2006	1103
Banana (S)	2006	1283
Barcaldine (R)	2006	1046
Barcoo (S)	2006	1107
Blackall-Tambo (R)	2006	959
Boulia (S)	2006	1161
Brisbane (C)	2006	1414
Bulloo (S)	2006	1312
Bundaberg (R)	2006	862
Burdekin (S)	2006	1090
Burke (S)	2006	1107
Cairns (R)	2006	1198
Carpentaria (S)	2006	1065
Cassowary Coast (R)	2006	1030
Central Highlands (R) (Qld)	2006	1745
Charters Towers (R)	2006	1057
Cherbourg (S)	2006	570
Cloncurry (S)	2006	1360
Cook (S)	2006	910
Croydon (S)	2006	966
Diamantina (S)	2006	1187
Doomadgee (S)	2006	627
Douglas (S)	2006	1127
Etheridge (S)	2006	883
Flinders (S) (Qld)	2006	1067
Fraser Coast (R)	2006	811
Gladstone (R)	2006	1319
Gold Coast (C)	2006	1157
Goondiwindi (R)	2006	1084
Gympie (R)	2006	848
Hinchinbrook (S)	2006	1018
Hope Vale (S)	2006	643
Ipswich (C)	2006	1135
Isaac (R)	2006	1978
Kowanyama (S)	2006	751
Livingstone (S)	2006	1119
Lockhart River (S)	2006	687
Lockyer Valley (R)	2006	991
Logan (C)	2006	1147
Longreach (R)	2006	1152
Mackay (R)	2006	1286
McKinlay (S)	2006	1162
Mapoon (S)	2006	599
Maranoa (R)	2006	1136
Mareeba (S)	2006	967
Moreton Bay (R)	2006	1168
Mornington (S)	2006	518
Mount Isa (C)	2006	1707
Murweh (S)	2006	1055
Napranum (S)	2006	588
Noosa (S)	2006	1017
North Burnett (R)	2006	870
Northern Peninsula Area (R)	2006	678
Palm Island (S)	2006	630
Paroo (S)	2006	787
Pormpuraaw (S)	2006	744
Quilpie (S)	2006	1021
Redland (C)	2006	1246
Richmond (S)	2006	1079
Rockhampton (R)	2006	1092
Scenic Rim (R)	2006	1056
Somerset (R)	2006	915
South Burnett (R)	2006	853
Southern Downs (R)	2006	911
Sunshine Coast (R)	2006	1061
Tablelands (R)	2006	896
Toowoomba (R)	2006	1102
Torres (S)	2006	1107
Torres Strait Island (R)	2006	676
Townsville (C)	2006	1248
Weipa (T)	2006	2058
Western Downs (R)	2006	1022
Whitsunday (R)	2006	1144
Winton (S)	2006	1108
Woorabinda (S)	2006	455
Wujal Wujal (S)	2006	675
Yarrabah (S)	2006	647
No usual address (Qld)	2006	0
Migratory - Offshore - Shipping (Qld)	2006	0
Adelaide (C)	2006	1748
Adelaide Hills (DC)	2006	1379
Alexandrina (DC)	2006	903
Anangu Pitjantjatjara (AC)	2006	553
Barossa (DC)	2006	1155
Barunga West (DC)	2006	772
Berri and Barmera (DC)	2006	1001
Burnside (C)	2006	1777
Campbelltown (C) (SA)	2006	1137
Ceduna (DC)	2006	1027
Charles Sturt (C)	2006	1103
Clare and Gilbert Valleys (DC)	2006	1054
Cleve (DC)	2006	1031
Coober Pedy (DC)	2006	713
Copper Coast (DC)	2006	759
Elliston (DC)	2006	882
Flinders Ranges (DC)	2006	865
Franklin Harbour (DC)	2006	1020
Gawler (T)	2006	1074
Goyder (DC)	2006	786
Grant (DC)	2006	1189
Holdfast Bay (C)	2006	1338
Kangaroo Island (DC)	2006	1002
Karoonda East Murray (DC)	2006	803
Kimba (DC)	2006	1040
Kingston (DC) (SA)	2006	930
Light (RegC)	2006	1179
Lower Eyre Peninsula (DC)	2006	1034
Loxton Waikerie (DC)	2006	1023
Mallala (DC)	2006	1092
Maralinga Tjarutja (AC)	2006	774
Marion (C)	2006	1135
Mid Murray (DC)	2006	781
Mitcham (C)	2006	1422
Mount Barker (DC)	2006	1177
Mount Gambier (C)	2006	1062
Mount Remarkable (DC)	2006	828
Murray Bridge (RC)	2006	890
Naracoorte and Lucindale (DC)	2006	1100
Northern Areas (DC)	2006	874
Norwood Payneham St Peters (C)	2006	1356
Onkaparinga (C)	2006	1097
Orroroo/Carrieton (DC)	2006	768
Peterborough (DC)	2006	611
Playford (C)	2006	900
Port Adelaide Enfield (C)	2006	1009
Port Augusta (C)	2006	1031
Port Lincoln (C)	2006	1057
Port Pirie City and Dists (M)	2006	890
Prospect (C)	2006	1434
Renmark Paringa (DC)	2006	1015
Robe (DC)	2006	1077
Roxby Downs (M)	2006	2196
Salisbury (C)	2006	1038
Southern Mallee (DC)	2006	1001
Streaky Bay (DC)	2006	974
Tatiara (DC)	2006	1086
Tea Tree Gully (C)	2006	1229
The Coorong (DC)	2006	848
Tumby Bay (DC)	2006	832
Unley (C)	2006	1665
Victor Harbor (C)	2006	737
Wakefield (DC)	2006	924
Walkerville (M)	2006	1784
Wattle Range (DC)	2006	1059
West Torrens (C)	2006	1113
Whyalla (C)	2006	1041
Wudinna (DC)	2006	977
Yankalilla (DC)	2006	804
Yorke Peninsula (DC)	2006	712
Unincorporated SA	2006	1096
No usual address (SA)	2006	0
Migratory - Offshore - Shipping (SA)	2006	0
Albany (C)	2006	1061
Armadale (C)	2006	1139
Ashburton (S)	2006	2398
Augusta-Margaret River (S)	2006	1082
Bassendean (T)	2006	1179
Bayswater (C)	2006	1210
Belmont (C)	2006	1117
Beverley (S)	2006	775
Boddington (S)	2006	1245
Boyup Brook (S)	2006	1024
Bridgetown-Greenbushes (S)	2006	1025
Brookton (S)	2006	1012
Broome (S)	2006	1266
Broomehill-Tambellup (S)	2006	958
Bruce Rock (S)	2006	1048
Bunbury (C)	2006	1153
Busselton (C)	2006	1119
Cambridge (T)	2006	2115
Canning (C)	2006	1273
Capel (S)	2006	1338
Carnamah (S)	2006	1072
Carnarvon (S)	2006	1092
Chapman Valley (S)	2006	1038
Chittering (S)	2006	1179
Claremont (T)	2006	2021
Cockburn (C)	2006	1279
Collie (S)	2006	1179
Coolgardie (S)	2006	1737
Coorow (S)	2006	1086
Corrigin (S)	2006	1082
Cottesloe (T)	2006	2400
Cranbrook (S)	2006	976
Cuballing (S)	2006	983
Cue (S)	2006	814
Cunderdin (S)	2006	945
Dalwallinu (S)	2006	1136
Dandaragan (S)	2006	1071
Dardanup (S)	2006	1247
Denmark (S)	2006	825
Derby-West Kimberley (S)	2006	785
Donnybrook-Balingup (S)	2006	1094
Dowerin (S)	2006	1034
Dumbleyung (S)	2006	974
Dundas (S)	2006	1145
East Fremantle (T)	2006	1803
East Pilbara (S)	2006	1990
Esperance (S)	2006	1093
Exmouth (S)	2006	1182
Fremantle (C)	2006	1280
Gingin (S)	2006	987
Gnowangerup (S)	2006	1038
Goomalling (S)	2006	1039
Gosnells (C)	2006	1185
Greater Geraldton (C)	2006	1135
Halls Creek (S)	2006	592
Harvey (S)	2006	1258
Irwin (S)	2006	1087
Jerramungup (S)	2006	1049
Joondalup (C)	2006	1479
Kalamunda (S)	2006	1311
Kalgoorlie/Boulder (C)	2006	1735
Karratha (C)	2006	2237
Katanning (S)	2006	1055
Kellerberrin (S)	2006	823
Kent (S)	2006	1103
Kojonup (S)	2006	1061
Kondinin (S)	2006	1081
Koorda (S)	2006	862
Kulin (S)	2006	1125
Kwinana (C)	2006	1059
Lake Grace (S)	2006	1125
Laverton (S)	2006	875
Leonora (S)	2006	1794
Mandurah (C)	2006	1043
Manjimup (S)	2006	1005
Meekatharra (S)	2006	978
Melville (C)	2006	1528
Menzies (S)	2006	512
Merredin (S)	2006	1145
Mingenew (S)	2006	1007
Moora (S)	2006	1154
Morawa (S)	2006	968
Mosman Park (T)	2006	1869
Mount Magnet (S)	2006	1271
Mount Marshall (S)	2006	1070
Mukinbudin (S)	2006	949
Mundaring (S)	2006	1310
Murchison (S)	2006	1025
Murray (S)	2006	1068
Nannup (S)	2006	924
Narembeen (S)	2006	1033
Narrogin (S)	2006	1112
Nedlands (C)	2006	2438
Ngaanyatjarraku (S)	2006	466
Northam (S)	2006	1017
Northampton (S)	2006	843
Nungarin (S)	2006	883
Peppermint Grove (S)	2006	2870
Perenjori (S)	2006	942
Perth (C)	2006	1850
Pingelly (S)	2006	783
Plantagenet (S)	2006	948
Port Hedland (T)	2006	2061
Quairading (S)	2006	939
Ravensthorpe (S)	2006	1224
Rockingham (C)	2006	1186
Sandstone (S)	2006	634
Serpentine-Jarrahdale (S)	2006	1333
Shark Bay (S)	2006	1082
South Perth (C)	2006	1644
Stirling (C)	2006	1274
Subiaco (C)	2006	1980
Swan (C)	2006	1205
Tammin (S)	2006	872
Three Springs (S)	2006	1078
Toodyay (S)	2006	1045
Trayning (S)	2006	1042
Upper Gascoyne (S)	2006	725
Victoria Park (T)	2006	1242
Victoria Plains (S)	2006	1064
Vincent (C)	2006	1608
Wagin (S)	2006	1035
Wandering (S)	2006	1007
Wanneroo (C)	2006	1205
Waroona (S)	2006	1148
West Arthur (S)	2006	1025
Westonia (S)	2006	1133
Wickepin (S)	2006	835
Williams (S)	2006	1169
Wiluna (S)	2006	739
Wongan-Ballidu (S)	2006	1118
Woodanilling (S)	2006	1083
Wyalkatchem (S)	2006	909
Wyndham-East Kimberley (S)	2006	1217
Yalgoo (S)	2006	1021
Yilgarn (S)	2006	1217
York (S)	2006	1027
No usual address (WA)	2006	0
Migratory - Offshore - Shipping (WA)	2006	0
Break O'Day (M)	2006	638
Brighton (M)	2006	928
Burnie (C)	2006	949
Central Coast (M) (Tas.)	2006	976
Central Highlands (M) (Tas.)	2006	697
Circular Head (M)	2006	1022
Clarence (C)	2006	1139
Derwent Valley (M)	2006	929
Devonport (C)	2006	915
Dorset (M)	2006	842
Flinders (M) (Tas.)	2006	1015
George Town (M)	2006	845
Glamorgan/Spring Bay (M)	2006	842
Glenorchy (C)	2006	986
Hobart (C)	2006	1386
Huon Valley (M)	2006	874
Kentish (M)	2006	848
King Island (M)	2006	1087
Kingborough (M)	2006	1195
Latrobe (M) (Tas.)	2006	1019
Launceston (C)	2006	1014
Meander Valley (M)	2006	1038
Northern Midlands (M)	2006	1008
Sorell (M)	2006	983
Southern Midlands (M)	2006	939
Tasman (M)	2006	632
Waratah/Wynyard (M)	2006	952
West Coast (M)	2006	989
West Tamar (M)	2006	1090
No usual address (Tas.)	2006	0
Migratory - Offshore - Shipping (Tas.)	2006	0
Alice Springs (T)	2006	1506
Barkly (R)	2006	616
Belyuen (S)	2006	589
Central Desert (R)	2006	577
Coomalie (S)	2006	949
Darwin (C)	2006	1529
East Arnhem (R)	2006	545
Katherine (T)	2006	1350
Litchfield (M)	2006	1470
MacDonnell (R)	2006	541
Palmerston (C)	2006	1416
Roper Gulf (R)	2006	575
Tiwi Islands (R)	2006	525
Victoria Daly (R)	2006	634
Wagait (S)	2006	1204
West Arnhem (R)	2006	640
West Daly (R)	2006	523
Unincorporated NT	2006	2031
No usual address (NT)	2006	0
Migratory - Offshore - Shipping (NT)	2006	0
Unincorporated ACT	2006	1789
No usual address (ACT)	2006	0
Migratory - Offshore - Shipping (ACT)	2006	0
Unincorp. Other Territories	2006	1229
No usual address (OT)	2006	0
Migratory - Offshore - Shipping (OT)	2006	0
Albury (C)	2011	1360
Armidale Regional (A)	2011	1226
Ballina (A)	2011	1153
Balranald (A)	2011	1110
Bathurst Regional (A)	2011	1435
Bega Valley (A)	2011	1016
Bellingen (A)	2011	936
Berrigan (A)	2011	961
Blacktown (C)	2011	1492
Bland (A)	2011	1069
Blayney (A)	2011	1368
Blue Mountains (C)	2011	1630
Bogan (A)	2011	1215
Botany Bay (C)	2011	1489
Bourke (A)	2011	1252
Brewarrina (A)	2011	787
Broken Hill (C)	2011	996
Burwood (A)	2011	1440
Byron (A)	2011	1054
Cabonne (A)	2011	1291
Camden (A)	2011	1869
Campbelltown (C) (NSW)	2011	1390
Canada Bay (A)	2011	2153
Canterbury-Bankstown (A)	2011	1193
Carrathool (A)	2011	1149
Central Coast (C) (NSW)	2011	1284
Central Darling (A)	2011	898
Cessnock (C)	2011	1266
Clarence Valley (A)	2011	923
Cobar (A)	2011	1558
Coffs Harbour (C)	2011	1097
Coolamon (A)	2011	1043
Coonamble (A)	2011	978
Cowra (A)	2011	998
Cumberland (A)	2011	1201
Dungog (A)	2011	1275
Edward River (A)	2011	1139
Eurobodalla (A)	2011	940
Fairfield (C)	2011	1065
Federation (A)	2011	1062
Forbes (A)	2011	1015
Georges River (A)	2011	1551
Gilgandra (A)	2011	930
Glen Innes Severn (A)	2011	917
Goulburn Mulwaree (A)	2011	1282
Greater Hume Shire (A)	2011	1174
Griffith (C)	2011	1290
Gundagai (A)	2011	1068
Gunnedah (A)	2011	1200
Gwydir (A)	2011	904
Hawkesbury (C)	2011	1595
Hay (A)	2011	987
Hilltops (A)	2011	1018
Hornsby (A)	2011	2154
Hunters Hill (A)	2011	2716
Inner West (A)	2011	2135
Inverell (A)	2011	964
Junee (A)	2011	1144
Kempsey (A)	2011	902
Kiama (A)	2011	1525
Ku-ring-gai (A)	2011	2680
Kyogle (A)	2011	880
Lachlan (A)	2011	985
Lake Macquarie (C)	2011	1396
Lane Cove (A)	2011	2639
Leeton (A)	2011	1188
Lismore (C)	2011	1123
Lithgow (C)	2011	1193
Liverpool (C)	2011	1401
Liverpool Plains (A)	2011	988
Lockhart (A)	2011	1057
Maitland (C)	2011	1553
Mid-Coast (A)	2011	912
Mid-Western Regional (A)	2011	1205
Moree Plains (A)	2011	1256
Mosman (A)	2011	2839
Murray River (A)	2011	1026
Murrumbidgee (A)	2011	1073
Muswellbrook (A)	2011	1703
Nambucca (A)	2011	853
Narrabri (A)	2011	1247
Narrandera (A)	2011	1012
Narromine (A)	2011	1082
Newcastle (C)	2011	1530
North Sydney (A)	2011	2767
Northern Beaches (A)	2011	2188
Oberon (A)	2011	1266
Orange (C)	2011	1471
Parkes (A)	2011	1127
Parramatta (C)	2011	1644
Penrith (C)	2011	1581
Port Macquarie-Hastings (A)	2011	1008
Port Stephens (A)	2011	1246
Queanbeyan-Palerang Regional (A)	2011	2076
Randwick (C)	2011	2066
Richmond Valley (A)	2011	956
Rockdale (C)	2011	1443
Ryde (C)	2011	1841
Shellharbour (C)	2011	1345
Shoalhaven (C)	2011	984
Singleton (A)	2011	1933
Snowy Monaro Regional (A)	2011	1279
Snowy Valleys (A)	2011	1189
Strathfield (A)	2011	1589
Sutherland Shire (A)	2011	2014
Sydney (C)	2011	2274
Tamworth Regional (A)	2011	1181
Temora (A)	2011	978
Tenterfield (A)	2011	865
The Hills Shire (A)	2011	2257
Tweed (A)	2011	1045
Upper Hunter Shire (A)	2011	1391
Upper Lachlan Shire (A)	2011	1197
Uralla (A)	2011	1138
Wagga Wagga (C)	2011	1419
Walcha (A)	2011	1081
Walgett (A)	2011	955
Warren (A)	2011	1117
Warrumbungle Shire (A)	2011	867
Waverley (A)	2011	2494
Weddin (A)	2011	879
Wentworth (A)	2011	1087
Western Plains Regional (A)	2011	1265
Willoughby (C)	2011	2478
Wingecarribee (A)	2011	1347
Wollondilly (A)	2011	1660
Wollongong (C)	2011	1426
Woollahra (A)	2011	2833
Yass Valley (A)	2011	1914
Unincorporated NSW	2011	1136
No usual address (NSW)	2011	0
Migratory - Offshore - Shipping (NSW)	2011	0
Alpine (S)	2011	1074
Ararat (RC)	2011	1059
Ballarat (C)	2011	1271
Banyule (C)	2011	1734
Bass Coast (S)	2011	1070
Baw Baw (S)	2011	1273
Bayside (C)	2011	2427
Benalla (RC)	2011	1070
Boroondara (C)	2011	2505
Brimbank (C)	2011	1195
Buloke (S)	2011	959
Campaspe (S)	2011	1098
Cardinia (S)	2011	1479
Casey (C)	2011	1450
Central Goldfields (S)	2011	862
Colac-Otway (S)	2011	1161
Corangamite (S)	2011	1147
Darebin (C)	2011	1439
East Gippsland (S)	2011	990
Frankston (C)	2011	1396
Gannawarra (S)	2011	966
Glen Eira (C)	2011	1925
Glenelg (S)	2011	1175
Golden Plains (S)	2011	1386
Greater Bendigo (C)	2011	1245
Greater Dandenong (C)	2011	1050
Greater Geelong (C)	2011	1341
Greater Shepparton (C)	2011	1207
Hepburn (S)	2011	1069
Hindmarsh (S)	2011	987
Hobsons Bay (C)	2011	1566
Horsham (RC)	2011	1206
Hume (C)	2011	1309
Indigo (S)	2011	1327
Kingston (C) (Vic.)	2011	1626
Knox (C)	2011	1614
Latrobe (C) (Vic.)	2011	1237
Loddon (S)	2011	881
Macedon Ranges (S)	2011	1666
Manningham (C)	2011	1716
Mansfield (S)	2011	1140
Maribyrnong (C)	2011	1524
Maroondah (C)	2011	1617
Melbourne (C)	2011	1959
Melton (C)	2011	1486
Mildura (RC)	2011	1093
Mitchell (S)	2011	1368
Moira (S)	2011	1000
Monash (C)	2011	1549
Moonee Valley (C)	2011	1776
Moorabool (S)	2011	1410
Moreland (C)	2011	1452
Mornington Peninsula (S)	2011	1351
Mount Alexander (S)	2011	1077
Moyne (S)	2011	1274
Murrindindi (S)	2011	1158
Nillumbik (S)	2011	2071
Northern Grampians (S)	2011	1054
Port Phillip (C)	2011	2371
Pyrenees (S)	2011	909
Queenscliffe (B)	2011	1403
South Gippsland (S)	2011	1148
Southern Grampians (S)	2011	1192
Stonnington (C)	2011	2464
Strathbogie (S)	2011	1024
Surf Coast (S)	2011	1516
Swan Hill (RC)	2011	1088
Towong (S)	2011	1052
Wangaratta (RC)	2011	1170
Warrnambool (C)	2011	1297
Wellington (S)	2011	1169
West Wimmera (S)	2011	1042
Whitehorse (C)	2011	1685
Whittlesea (C)	2011	1375
Wodonga (C)	2011	1316
Wyndham (C)	2011	1555
Yarra (C)	2011	2199
Yarra Ranges (S)	2011	1491
Yarriambiack (S)	2011	991
Unincorporated Vic	2011	1125
No usual address (Vic.)	2011	0
Migratory - Offshore - Shipping (Vic.)	2011	0
Aurukun (S)	2011	626
Balonne (S)	2011	1202
Banana (S)	2011	1654
Barcaldine (R)	2011	1252
Barcoo (S)	2011	1267
Blackall-Tambo (R)	2011	1152
Boulia (S)	2011	1208
Brisbane (C)	2011	1871
Bulloo (S)	2011	1375
Bundaberg (R)	2011	980
Burdekin (S)	2011	1285
Burke (S)	2011	1388
Cairns (R)	2011	1405
Carpentaria (S)	2011	1276
Cassowary Coast (R)	2011	1144
Central Highlands (R) (Qld)	2011	2317
Charters Towers (R)	2011	1226
Cherbourg (S)	2011	664
Cloncurry (S)	2011	1811
Cook (S)	2011	1066
Croydon (S)	2011	1104
Diamantina (S)	2011	1375
Doomadgee (S)	2011	685
Douglas (S)	2011	1257
Etheridge (S)	2011	938
Flinders (S) (Qld)	2011	1201
Fraser Coast (R)	2011	912
Gladstone (R)	2011	1942
Gold Coast (C)	2011	1379
Goondiwindi (R)	2011	1239
Gympie (R)	2011	947
Hinchinbrook (S)	2011	1196
Hope Vale (S)	2011	767
Ipswich (C)	2011	1398
Isaac (R)	2011	2666
Kowanyama (S)	2011	758
Livingstone (S)	2011	1432
Lockhart River (S)	2011	1008
Lockyer Valley (R)	2011	1163
Logan (C)	2011	1381
Longreach (R)	2011	1432
Mackay (R)	2011	1821
McKinlay (S)	2011	1448
Mapoon (S)	2011	743
Maranoa (R)	2011	1441
Mareeba (S)	2011	1086
Moreton Bay (R)	2011	1451
Mornington (S)	2011	696
Mount Isa (C)	2011	2394
Murweh (S)	2011	1256
Napranum (S)	2011	680
Noosa (S)	2011	1148
North Burnett (R)	2011	948
Northern Peninsula Area (R)	2011	923
Palm Island (S)	2011	936
Paroo (S)	2011	1153
Pormpuraaw (S)	2011	836
Quilpie (S)	2011	1093
Redland (C)	2011	1608
Richmond (S)	2011	1131
Rockhampton (R)	2011	1436
Scenic Rim (R)	2011	1212
Somerset (R)	2011	1068
South Burnett (R)	2011	951
Southern Downs (R)	2011	998
Sunshine Coast (R)	2011	1232
Tablelands (R)	2011	1015
Toowoomba (R)	2011	1308
Torres (S)	2011	1574
Torres Strait Island (R)	2011	793
Townsville (C)	2011	1626
Weipa (T)	2011	2641
Western Downs (R)	2011	1295
Whitsunday (R)	2011	1405
Winton (S)	2011	1081
Woorabinda (S)	2011	682
Wujal Wujal (S)	2011	626
Yarrabah (S)	2011	729
No usual address (Qld)	2011	0
Migratory - Offshore - Shipping (Qld)	2011	0
Adelaide (C)	2011	1857
Adelaide Hills (DC)	2011	1796
Alexandrina (DC)	2011	1020
Anangu Pitjantjatjara (AC)	2011	667
Barossa (DC)	2011	1392
Barunga West (DC)	2011	911
Berri and Barmera (DC)	2011	1004
Burnside (C)	2011	2124
Campbelltown (C) (SA)	2011	1366
Ceduna (DC)	2011	1324
Charles Sturt (C)	2011	1345
Clare and Gilbert Valleys (DC)	2011	1189
Cleve (DC)	2011	1148
Coober Pedy (DC)	2011	1030
Copper Coast (DC)	2011	924
Elliston (DC)	2011	977
Flinders Ranges (DC)	2011	1162
Franklin Harbour (DC)	2011	1092
Gawler (T)	2011	1248
Goyder (DC)	2011	943
Grant (DC)	2011	1367
Holdfast Bay (C)	2011	1735
Kangaroo Island (DC)	2011	1060
Karoonda East Murray (DC)	2011	905
Kimba (DC)	2011	1338
Kingston (DC) (SA)	2011	977
Light (RegC)	2011	1461
Lower Eyre Peninsula (DC)	2011	1235
Loxton Waikerie (DC)	2011	1069
Mallala (DC)	2011	1319
Maralinga Tjarutja (AC)	2011	556
Marion (C)	2011	1421
Mid Murray (DC)	2011	928
Mitcham (C)	2011	1821
