LGA_NAME16	Year	EduInstitutionType	students
Balranald (A)	2006	University or other tertiary	22
Balranald (A)	2011		256
Balranald (A)	2011	Infants/Primary	182
Balranald (A)	2011	Pre-school	53
Balranald (A)	2011	Secondary	133
Balranald (A)	2011	Technical or Further Educational Institution	33
Balranald (A)	2011	University or other tertiary	22
Balranald (A)	2016		282
Balranald (A)	2016	Infants/Primary	221
Balranald (A)	2016	Pre-school	37
Balranald (A)	2016	Secondary	134
Balranald (A)	2016	Technical or Further Educational Institution	18
Balranald (A)	2016	University or other tertiary	27
Bathurst Regional (A)	2006		3000
Bathurst Regional (A)	2006	Infants/Primary	3114
Bathurst Regional (A)	2006	Pre-school	682
Bathurst Regional (A)	2006	Secondary	2882
Bathurst Regional (A)	2006	Technical or Further Educational Institution	948
Bathurst Regional (A)	2006	University or other tertiary	2136
Bathurst Regional (A)	2011		3418
Bathurst Regional (A)	2011	Infants/Primary	3353
Bathurst Regional (A)	2011	Pre-school	738
Bathurst Regional (A)	2011	Secondary	2827
Bathurst Regional (A)	2011	Technical or Further Educational Institution	1020
Bathurst Regional (A)	2011	University or other tertiary	2160
Bathurst Regional (A)	2016		4263
Bathurst Regional (A)	2016	Infants/Primary	3676
Bathurst Regional (A)	2016	Pre-school	771
Bathurst Regional (A)	2016	Secondary	2924
Bathurst Regional (A)	2016	Technical or Further Educational Institution	905
Bathurst Regional (A)	2016	University or other tertiary	2070
Bega Valley (A)	2006		2215
Bega Valley (A)	2006	Infants/Primary	2755
Bega Valley (A)	2006	Pre-school	478
Bega Valley (A)	2006	Secondary	2369
Bega Valley (A)	2006	Technical or Further Educational Institution	623
Bega Valley (A)	2006	University or other tertiary	361
Bega Valley (A)	2011		2156
Bega Valley (A)	2011	Infants/Primary	2400
Bega Valley (A)	2011	Pre-school	497
Bega Valley (A)	2011	Secondary	2245
Bega Valley (A)	2011	Technical or Further Educational Institution	701
Bega Valley (A)	2011	University or other tertiary	438
Bega Valley (A)	2016		3111
Bega Valley (A)	2016	Infants/Primary	2385
Bega Valley (A)	2016	Pre-school	481
Bega Valley (A)	2016	Secondary	1888
Bega Valley (A)	2016	Technical or Further Educational Institution	467
Bega Valley (A)	2016	University or other tertiary	476
Bellingen (A)	2006		962
Bellingen (A)	2006	Infants/Primary	1179
Bellingen (A)	2006	Pre-school	209
Bellingen (A)	2006	Secondary	976
Bellingen (A)	2006	Technical or Further Educational Institution	274
Bellingen (A)	2006	University or other tertiary	195
Bellingen (A)	2011		685
Bellingen (A)	2011	Infants/Primary	1097
Bellingen (A)	2011	Pre-school	250
Bellingen (A)	2011	Secondary	974
Bellingen (A)	2011	Technical or Further Educational Institution	358
Bellingen (A)	2011	University or other tertiary	258
Bellingen (A)	2016		1072
Bellingen (A)	2016	Infants/Primary	1002
Bellingen (A)	2016	Pre-school	226
Bellingen (A)	2016	Secondary	827
Bellingen (A)	2016	Technical or Further Educational Institution	218
Bellingen (A)	2016	University or other tertiary	275
Berrigan (A)	2006		472
Berrigan (A)	2006	Infants/Primary	730
Berrigan (A)	2006	Pre-school	124
Berrigan (A)	2006	Secondary	551
Berrigan (A)	2006	Technical or Further Educational Institution	162
Berrigan (A)	2006	University or other tertiary	66
Berrigan (A)	2011		663
Berrigan (A)	2011	Infants/Primary	592
Berrigan (A)	2011	Pre-school	130
Berrigan (A)	2011	Secondary	526
Berrigan (A)	2011	Technical or Further Educational Institution	172
Berrigan (A)	2011	University or other tertiary	88
Berrigan (A)	2016		953
Berrigan (A)	2016	Infants/Primary	619
Berrigan (A)	2016	Pre-school	153
Berrigan (A)	2016	Secondary	427
Berrigan (A)	2016	Technical or Further Educational Institution	113
Berrigan (A)	2016	University or other tertiary	108
Blacktown (C)	2006		24635
Blacktown (C)	2006	Infants/Primary	27672
Blacktown (C)	2006	Pre-school	5139
Blacktown (C)	2006	Secondary	19779
Blacktown (C)	2006	Technical or Further Educational Institution	7668
Blacktown (C)	2006	University or other tertiary	7295
Blacktown (C)	2011		22275
Blacktown (C)	2011	Infants/Primary	28852
Blacktown (C)	2011	Pre-school	6005
Blacktown (C)	2011	Secondary	22567
Blacktown (C)	2011	Technical or Further Educational Institution	8449
Blacktown (C)	2011	University or other tertiary	10920
Blacktown (C)	2016		23642
Blacktown (C)	2016	Infants/Primary	33145
Blacktown (C)	2016	Pre-school	6398
Blacktown (C)	2016	Secondary	24414
Blacktown (C)	2016	Technical or Further Educational Institution	6826
Blacktown (C)	2016	University or other tertiary	15566
Bland (A)	2006		384
Bland (A)	2006	Infants/Primary	601
Bland (A)	2006	Pre-school	152
Bland (A)	2006	Secondary	424
Bland (A)	2006	Technical or Further Educational Institution	178
Bland (A)	2006	University or other tertiary	54
Bland (A)	2011		308
Bland (A)	2011	Infants/Primary	574
Bland (A)	2011	Pre-school	133
Bland (A)	2011	Secondary	367
Bland (A)	2011	Technical or Further Educational Institution	146
Bland (A)	2011	University or other tertiary	74
Bland (A)	2016		761
Bland (A)	2016	Infants/Primary	573
Bland (A)	2016	Pre-school	102
Bland (A)	2016	Secondary	346
Bland (A)	2016	Technical or Further Educational Institution	86
Bland (A)	2016	University or other tertiary	71
Blayney (A)	2006		363
Blayney (A)	2006	Infants/Primary	673
Blayney (A)	2006	Pre-school	135
Blayney (A)	2006	Secondary	510
Blayney (A)	2006	Technical or Further Educational Institution	156
Blayney (A)	2006	University or other tertiary	94
Blayney (A)	2011		508
Blayney (A)	2011	Infants/Primary	662
Blayney (A)	2011	Pre-school	147
Blayney (A)	2011	Secondary	491
Blayney (A)	2011	Technical or Further Educational Institution	141
Blayney (A)	2011	University or other tertiary	145
Blayney (A)	2016		593
Blayney (A)	2016	Infants/Primary	683
Blayney (A)	2016	Pre-school	146
Blayney (A)	2016	Secondary	537
Blayney (A)	2016	Technical or Further Educational Institution	141
Blayney (A)	2016	University or other tertiary	153
Blue Mountains (C)	2006		4937
Blue Mountains (C)	2006	Infants/Primary	6562
Blue Mountains (C)	2006	Pre-school	1436
Blue Mountains (C)	2006	Secondary	5579
Blue Mountains (C)	2006	Technical or Further Educational Institution	2064
Blue Mountains (C)	2006	University or other tertiary	2668
Blue Mountains (C)	2011		5120
Blue Mountains (C)	2011	Infants/Primary	6392
Blue Mountains (C)	2011	Pre-school	1494
Blue Mountains (C)	2011	Secondary	5305
Blue Mountains (C)	2011	Technical or Further Educational Institution	2157
Blue Mountains (C)	2011	University or other tertiary	3114
Blue Mountains (C)	2016		4327
Blue Mountains (C)	2016	Infants/Primary	6547
Blue Mountains (C)	2016	Pre-school	1447
Blue Mountains (C)	2016	Secondary	5220
Blue Mountains (C)	2016	Technical or Further Educational Institution	1590
Blue Mountains (C)	2016	University or other tertiary	3438
Bogan (A)	2006		170
Bogan (A)	2006	Infants/Primary	325
Bogan (A)	2006	Pre-school	48
Bogan (A)	2006	Secondary	164
Bogan (A)	2006	Technical or Further Educational Institution	30
Bogan (A)	2006	University or other tertiary	21
Bogan (A)	2011		278
Bogan (A)	2011	Infants/Primary	285
Bogan (A)	2011	Pre-school	65
Bogan (A)	2011	Secondary	172
Bogan (A)	2011	Technical or Further Educational Institution	56
Bogan (A)	2011	University or other tertiary	34
Bogan (A)	2016		331
Bogan (A)	2016	Infants/Primary	226
Bogan (A)	2016	Pre-school	54
Bogan (A)	2016	Secondary	145
Bogan (A)	2016	Technical or Further Educational Institution	50
Bogan (A)	2016	University or other tertiary	44
Botany Bay (C)	2006		3650
Botany Bay (C)	2006	Infants/Primary	2538
Botany Bay (C)	2006	Pre-school	492
Botany Bay (C)	2006	Secondary	2069
Botany Bay (C)	2006	Technical or Further Educational Institution	933
Botany Bay (C)	2006	University or other tertiary	1404
Botany Bay (C)	2011		3396
Botany Bay (C)	2011	Infants/Primary	2829
Botany Bay (C)	2011	Pre-school	590
Botany Bay (C)	2011	Secondary	2162
Botany Bay (C)	2011	Technical or Further Educational Institution	938
Botany Bay (C)	2011	University or other tertiary	2049
Botany Bay (C)	2016		4056
Botany Bay (C)	2016	Infants/Primary	3356
Botany Bay (C)	2016	Pre-school	736
Botany Bay (C)	2016	Secondary	2446
Botany Bay (C)	2016	Technical or Further Educational Institution	1018
Botany Bay (C)	2016	University or other tertiary	3496
Bourke (A)	2006		353
Bourke (A)	2006	Infants/Primary	345
Bourke (A)	2006	Pre-school	56
Bourke (A)	2006	Secondary	161
Bourke (A)	2006	Technical or Further Educational Institution	44
Bourke (A)	2006	University or other tertiary	29
Bourke (A)	2011		504
Bourke (A)	2011	Infants/Primary	253
Bourke (A)	2011	Pre-school	57
Bourke (A)	2011	Secondary	109
Bourke (A)	2011	Technical or Further Educational Institution	54
Bourke (A)	2011	University or other tertiary	36
Bourke (A)	2016		542
Bourke (A)	2016	Infants/Primary	241
Bourke (A)	2016	Pre-school	55
Bourke (A)	2016	Secondary	104
Bourke (A)	2016	Technical or Further Educational Institution	33
Bourke (A)	2016	University or other tertiary	37
Brewarrina (A)	2006		271
Brewarrina (A)	2006	Infants/Primary	219
Brewarrina (A)	2006	Pre-school	43
Brewarrina (A)	2006	Secondary	93
Brewarrina (A)	2006	Technical or Further Educational Institution	16
Brewarrina (A)	2006	University or other tertiary	24
Brewarrina (A)	2011		136
Brewarrina (A)	2011	Infants/Primary	180
Brewarrina (A)	2011	Pre-school	45
Brewarrina (A)	2011	Secondary	108
Brewarrina (A)	2011	Technical or Further Educational Institution	24
Brewarrina (A)	2011	University or other tertiary	15
Brewarrina (A)	2016		202
Brewarrina (A)	2016	Infants/Primary	172
Brewarrina (A)	2016	Pre-school	34
Brewarrina (A)	2016	Secondary	82
Brewarrina (A)	2016	Technical or Further Educational Institution	19
Brewarrina (A)	2016	University or other tertiary	23
Broken Hill (C)	2006		1945
Broken Hill (C)	2006	Infants/Primary	1586
Broken Hill (C)	2006	Pre-school	347
Broken Hill (C)	2006	Secondary	1173
Broken Hill (C)	2006	Technical or Further Educational Institution	509
Broken Hill (C)	2006	University or other tertiary	207
Broken Hill (C)	2011		1926
Broken Hill (C)	2011	Infants/Primary	1320
Broken Hill (C)	2011	Pre-school	297
Broken Hill (C)	2011	Secondary	1100
Broken Hill (C)	2011	Technical or Further Educational Institution	561
Broken Hill (C)	2011	University or other tertiary	233
Broken Hill (C)	2016		1726
Broken Hill (C)	2016	Infants/Primary	1230
Broken Hill (C)	2016	Pre-school	308
Broken Hill (C)	2016	Secondary	975
Broken Hill (C)	2016	Technical or Further Educational Institution	418
Broken Hill (C)	2016	University or other tertiary	254
Burwood (A)	2006		3358
Burwood (A)	2006	Infants/Primary	2050
Burwood (A)	2006	Pre-school	389
Burwood (A)	2006	Secondary	1916
Burwood (A)	2006	Technical or Further Educational Institution	833
Burwood (A)	2006	University or other tertiary	2641
Burwood (A)	2011		2802
Burwood (A)	2011	Infants/Primary	1886
Burwood (A)	2011	Pre-school	431
Burwood (A)	2011	Secondary	1996
Burwood (A)	2011	Technical or Further Educational Institution	823
Burwood (A)	2011	University or other tertiary	3163
Burwood (A)	2016		2796
Burwood (A)	2016	Infants/Primary	2015
Burwood (A)	2016	Pre-school	396
Burwood (A)	2016	Secondary	2012
Burwood (A)	2016	Technical or Further Educational Institution	900
Burwood (A)	2016	University or other tertiary	4706
Byron (A)	2006		3226
Byron (A)	2006	Infants/Primary	2459
Byron (A)	2006	Pre-school	504
Byron (A)	2006	Secondary	2024
Byron (A)	2006	Technical or Further Educational Institution	610
Byron (A)	2006	University or other tertiary	843
Byron (A)	2011		2412
Byron (A)	2011	Infants/Primary	2391
Byron (A)	2011	Pre-school	550
Byron (A)	2011	Secondary	1922
Byron (A)	2011	Technical or Further Educational Institution	721
Byron (A)	2011	University or other tertiary	924
Byron (A)	2016		4386
Byron (A)	2016	Infants/Primary	2328
Byron (A)	2016	Pre-school	473
Byron (A)	2016	Secondary	1748
Byron (A)	2016	Technical or Further Educational Institution	532
Byron (A)	2016	University or other tertiary	826
Cabonne (A)	2006		742
Cabonne (A)	2006	Infants/Primary	1254
Cabonne (A)	2006	Pre-school	244
Cabonne (A)	2006	Secondary	939
Cabonne (A)	2006	Technical or Further Educational Institution	233
Cabonne (A)	2006	University or other tertiary	147
Cabonne (A)	2011		639
Cabonne (A)	2011	Infants/Primary	1215
Cabonne (A)	2011	Pre-school	302
Cabonne (A)	2011	Secondary	981
Cabonne (A)	2011	Technical or Further Educational Institution	278
Cabonne (A)	2011	University or other tertiary	208
Cabonne (A)	2016		1170
Cabonne (A)	2016	Infants/Primary	1324
Cabonne (A)	2016	Pre-school	274
Cabonne (A)	2016	Secondary	996
Cabonne (A)	2016	Technical or Further Educational Institution	241
Cabonne (A)	2016	University or other tertiary	245
Camden (A)	2006		3246
Camden (A)	2006	Infants/Primary	5429
Camden (A)	2006	Pre-school	1286
Camden (A)	2006	Secondary	3947
Camden (A)	2006	Technical or Further Educational Institution	1094
Camden (A)	2006	University or other tertiary	1142
Camden (A)	2011		3191
Camden (A)	2011	Infants/Primary	5960
Camden (A)	2011	Pre-school	1423
Camden (A)	2011	Secondary	4545
Camden (A)	2011	Technical or Further Educational Institution	1233
Camden (A)	2011	University or other tertiary	1783
Camden (A)	2016		4372
Camden (A)	2016	Infants/Primary	8217
Camden (A)	2016	Pre-school	1837
Camden (A)	2016	Secondary	5842
Camden (A)	2016	Technical or Further Educational Institution	1459
Camden (A)	2016	University or other tertiary	2782
Campbelltown (C) (NSW)	2006		13425
Campbelltown (C) (NSW)	2006	Infants/Primary	14082
Campbelltown (C) (NSW)	2006	Pre-school	2568
Campbelltown (C) (NSW)	2006	Secondary	11616
Campbelltown (C) (NSW)	2006	Technical or Further Educational Institution	3965
Campbelltown (C) (NSW)	2006	University or other tertiary	3588
Campbelltown (C) (NSW)	2011		11861
Campbelltown (C) (NSW)	2011	Infants/Primary	12641
Campbelltown (C) (NSW)	2011	Pre-school	2700
Campbelltown (C) (NSW)	2011	Secondary	10987
Campbelltown (C) (NSW)	2011	Technical or Further Educational Institution	4048
Campbelltown (C) (NSW)	2011	University or other tertiary	4861
Campbelltown (C) (NSW)	2016		11858
Campbelltown (C) (NSW)	2016	Infants/Primary	14467
Campbelltown (C) (NSW)	2016	Pre-school	2746
Campbelltown (C) (NSW)	2016	Secondary	10802
Campbelltown (C) (NSW)	2016	Technical or Further Educational Institution	3102
Campbelltown (C) (NSW)	2016	University or other tertiary	6351
Canada Bay (A)	2006		6231
Canada Bay (A)	2006	Infants/Primary	4176
Canada Bay (A)	2006	Pre-school	972
Canada Bay (A)	2006	Secondary	3426
Canada Bay (A)	2006	Technical or Further Educational Institution	1298
Canada Bay (A)	2006	University or other tertiary	3349
Canada Bay (A)	2011		6039
Canada Bay (A)	2011	Infants/Primary	4907
Canada Bay (A)	2011	Pre-school	1237
Canada Bay (A)	2011	Secondary	3893
Canada Bay (A)	2011	Technical or Further Educational Institution	1398
Canada Bay (A)	2011	University or other tertiary	4831
Canada Bay (A)	2016		6194
Canada Bay (A)	2016	Infants/Primary	6035
Canada Bay (A)	2016	Pre-school	1375
Canada Bay (A)	2016	Secondary	4226
Canada Bay (A)	2016	Technical or Further Educational Institution	1387
Canada Bay (A)	2016	University or other tertiary	6630
Canterbury-Bankstown (A)	2006		31540
Canterbury-Bankstown (A)	2006	Infants/Primary	24860
Canterbury-Bankstown (A)	2006	Pre-school	4588
Canterbury-Bankstown (A)	2006	Secondary	19611
Canterbury-Bankstown (A)	2006	Technical or Further Educational Institution	8037
Canterbury-Bankstown (A)	2006	University or other tertiary	9831
Canterbury-Bankstown (A)	2011		30025
Canterbury-Bankstown (A)	2011	Infants/Primary	25837
Canterbury-Bankstown (A)	2011	Pre-school	5269
Canterbury-Bankstown (A)	2011	Secondary	21367
Canterbury-Bankstown (A)	2011	Technical or Further Educational Institution	8428
Canterbury-Bankstown (A)	2011	University or other tertiary	13829
Canterbury-Bankstown (A)	2016		27715
Canterbury-Bankstown (A)	2016	Infants/Primary	29878
Canterbury-Bankstown (A)	2016	Pre-school	5679
Canterbury-Bankstown (A)	2016	Secondary	23475
Canterbury-Bankstown (A)	2016	Technical or Further Educational Institution	7156
Canterbury-Bankstown (A)	2016	University or other tertiary	19601
Carrathool (A)	2006		251
Carrathool (A)	2006	Infants/Primary	289
Carrathool (A)	2006	Pre-school	51
Carrathool (A)	2006	Secondary	196
Carrathool (A)	2006	Technical or Further Educational Institution	34
Carrathool (A)	2006	University or other tertiary	22
Carrathool (A)	2011		135
Carrathool (A)	2011	Infants/Primary	254
Carrathool (A)	2011	Pre-school	52
Carrathool (A)	2011	Secondary	158
Carrathool (A)	2011	Technical or Further Educational Institution	38
Carrathool (A)	2011	University or other tertiary	33
Carrathool (A)	2016		270
Carrathool (A)	2016	Infants/Primary	241
Carrathool (A)	2016	Pre-school	55
Carrathool (A)	2016	Secondary	140
Carrathool (A)	2016	Technical or Further Educational Institution	33
Carrathool (A)	2016	University or other tertiary	37
Central Coast (C) (NSW)	2006		26709
Central Coast (C) (NSW)	2006	Infants/Primary	26418
Central Coast (C) (NSW)	2006	Pre-school	5971
Central Coast (C) (NSW)	2006	Secondary	20532
Central Coast (C) (NSW)	2006	Technical or Further Educational Institution	6290
Central Coast (C) (NSW)	2006	University or other tertiary	6095
Central Coast (C) (NSW)	2011		23065
Central Coast (C) (NSW)	2011	Infants/Primary	25549
Central Coast (C) (NSW)	2011	Pre-school	6539
Central Coast (C) (NSW)	2011	Secondary	21357
Central Coast (C) (NSW)	2011	Technical or Further Educational Institution	6926
Central Coast (C) (NSW)	2011	University or other tertiary	9006
Central Coast (C) (NSW)	2016		23480
Central Coast (C) (NSW)	2016	Infants/Primary	27203
Central Coast (C) (NSW)	2016	Pre-school	6486
Central Coast (C) (NSW)	2016	Secondary	20659
Central Coast (C) (NSW)	2016	Technical or Further Educational Institution	6262
Central Coast (C) (NSW)	2016	University or other tertiary	10275
Central Darling (A)	2006		254
Central Darling (A)	2006	Infants/Primary	174
Central Darling (A)	2006	Pre-school	37
Central Darling (A)	2006	Secondary	91
Central Darling (A)	2006	Technical or Further Educational Institution	10
Central Darling (A)	2006	University or other tertiary	30
Central Darling (A)	2011		194
Central Darling (A)	2011	Infants/Primary	191
Central Darling (A)	2011	Pre-school	30
Central Darling (A)	2011	Secondary	120
Central Darling (A)	2011	Technical or Further Educational Institution	18
Central Darling (A)	2011	University or other tertiary	19
Central Darling (A)	2016		348
Central Darling (A)	2016	Infants/Primary	110
Central Darling (A)	2016	Pre-school	30
Central Darling (A)	2016	Secondary	74
Central Darling (A)	2016	Technical or Further Educational Institution	16
Central Darling (A)	2016	University or other tertiary	17
Cessnock (C)	2006		3910
Cessnock (C)	2006	Infants/Primary	4403
Cessnock (C)	2006	Pre-school	870
Cessnock (C)	2006	Secondary	2970
Cessnock (C)	2006	Technical or Further Educational Institution	1210
Cessnock (C)	2006	University or other tertiary	557
Cessnock (C)	2011		4188
Cessnock (C)	2011	Infants/Primary	4320
Cessnock (C)	2011	Pre-school	1051
Cessnock (C)	2011	Secondary	3350
Cessnock (C)	2011	Technical or Further Educational Institution	1226
Cessnock (C)	2011	University or other tertiary	807
Cessnock (C)	2016		5500
Cessnock (C)	2016	Infants/Primary	4950
Cessnock (C)	2016	Pre-school	1073
Cessnock (C)	2016	Secondary	3357
Cessnock (C)	2016	Technical or Further Educational Institution	1000
Cessnock (C)	2016	University or other tertiary	977
Clarence Valley (A)	2006		3712
Clarence Valley (A)	2006	Infants/Primary	4357
Clarence Valley (A)	2006	Pre-school	801
Clarence Valley (A)	2006	Secondary	3555
Clarence Valley (A)	2006	Technical or Further Educational Institution	1056
Clarence Valley (A)	2006	University or other tertiary	464
Clarence Valley (A)	2011		3542
Clarence Valley (A)	2011	Infants/Primary	3859
Clarence Valley (A)	2011	Pre-school	867
Clarence Valley (A)	2011	Secondary	3429
Clarence Valley (A)	2011	Technical or Further Educational Institution	1213
Clarence Valley (A)	2011	University or other tertiary	715
Clarence Valley (A)	2016		4755
Clarence Valley (A)	2016	Infants/Primary	3805
Clarence Valley (A)	2016	Pre-school	758
Clarence Valley (A)	2016	Secondary	2905
Clarence Valley (A)	2016	Technical or Further Educational Institution	1069
Clarence Valley (A)	2016	University or other tertiary	656
Cobar (A)	2006		541
Cobar (A)	2006	Infants/Primary	471
Cobar (A)	2006	Pre-school	70
Cobar (A)	2006	Secondary	294
Cobar (A)	2006	Technical or Further Educational Institution	116
Cobar (A)	2006	University or other tertiary	48
Cobar (A)	2011		460
Cobar (A)	2011	Infants/Primary	428
Cobar (A)	2011	Pre-school	90
Cobar (A)	2011	Secondary	246
Cobar (A)	2011	Technical or Further Educational Institution	123
Cobar (A)	2011	University or other tertiary	60
Cobar (A)	2016		616
Cobar (A)	2016	Infants/Primary	416
Cobar (A)	2016	Pre-school	84
Cobar (A)	2016	Secondary	251
Cobar (A)	2016	Technical or Further Educational Institution	91
Cobar (A)	2016	University or other tertiary	58
Coffs Harbour (C)	2006		4885
Coffs Harbour (C)	2006	Infants/Primary	5892
Coffs Harbour (C)	2006	Pre-school	1194
Coffs Harbour (C)	2006	Secondary	5089
Coffs Harbour (C)	2006	Technical or Further Educational Institution	1639
Coffs Harbour (C)	2006	University or other tertiary	1460
Coffs Harbour (C)	2011		4896
Coffs Harbour (C)	2011	Infants/Primary	5544
Coffs Harbour (C)	2011	Pre-school	1243
Coffs Harbour (C)	2011	Secondary	4874
Coffs Harbour (C)	2011	Technical or Further Educational Institution	2159
Coffs Harbour (C)	2011	University or other tertiary	1699
Coffs Harbour (C)	2016		6352
Coffs Harbour (C)	2016	Infants/Primary	6034
Coffs Harbour (C)	2016	Pre-school	1375
Coffs Harbour (C)	2016	Secondary	4566
Coffs Harbour (C)	2016	Technical or Further Educational Institution	1700
Coffs Harbour (C)	2016	University or other tertiary	1672
Coolamon (A)	2006		215
Coolamon (A)	2006	Infants/Primary	441
Coolamon (A)	2006	Pre-school	108
Coolamon (A)	2006	Secondary	308
Coolamon (A)	2006	Technical or Further Educational Institution	80
Coolamon (A)	2006	University or other tertiary	57
Coolamon (A)	2011		319
Coolamon (A)	2011	Infants/Primary	426
Coolamon (A)	2011	Pre-school	81
Coolamon (A)	2011	Secondary	274
Coolamon (A)	2011	Technical or Further Educational Institution	80
Coolamon (A)	2011	University or other tertiary	85
Coolamon (A)	2016		509
Coolamon (A)	2016	Infants/Primary	401
Coolamon (A)	2016	Pre-school	71
Coolamon (A)	2016	Secondary	309
Coolamon (A)	2016	Technical or Further Educational Institution	58
Coolamon (A)	2016	University or other tertiary	93
Coonamble (A)	2006		311
Coonamble (A)	2006	Infants/Primary	442
Coonamble (A)	2006	Pre-school	97
Coonamble (A)	2006	Secondary	245
Coonamble (A)	2006	Technical or Further Educational Institution	106
Coonamble (A)	2006	University or other tertiary	44
Coonamble (A)	2011		387
Coonamble (A)	2011	Infants/Primary	347
Coonamble (A)	2011	Pre-school	83
Coonamble (A)	2011	Secondary	247
Coonamble (A)	2011	Technical or Further Educational Institution	81
Coonamble (A)	2011	University or other tertiary	30
Coonamble (A)	2016		670
Coonamble (A)	2016	Infants/Primary	301
Coonamble (A)	2016	Pre-school	72
Coonamble (A)	2016	Secondary	191
Coonamble (A)	2016	Technical or Further Educational Institution	54
Coonamble (A)	2016	University or other tertiary	45
Cowra (A)	2006		864
Cowra (A)	2006	Infants/Primary	1168
Cowra (A)	2006	Pre-school	243
Cowra (A)	2006	Secondary	857
Cowra (A)	2006	Technical or Further Educational Institution	282
Cowra (A)	2006	University or other tertiary	129
Cowra (A)	2011		1109
Cowra (A)	2011	Infants/Primary	992
Cowra (A)	2011	Pre-school	238
Cowra (A)	2011	Secondary	842
Cowra (A)	2011	Technical or Further Educational Institution	343
Cowra (A)	2011	University or other tertiary	112
Cowra (A)	2016		1236
Cowra (A)	2016	Infants/Primary	971
Cowra (A)	2016	Pre-school	196
Cowra (A)	2016	Secondary	695
Cowra (A)	2016	Technical or Further Educational Institution	245
Cowra (A)	2016	University or other tertiary	161
Cumberland (A)	2006		19436
Cumberland (A)	2006	Infants/Primary	14610
Cumberland (A)	2006	Pre-school	2592
Cumberland (A)	2006	Secondary	11656
Cumberland (A)	2006	Technical or Further Educational Institution	5550
Cumberland (A)	2006	University or other tertiary	6453
Cumberland (A)	2011		19591
Cumberland (A)	2011	Infants/Primary	14890
Cumberland (A)	2011	Pre-school	3054
Cumberland (A)	2011	Secondary	12541
Cumberland (A)	2011	Technical or Further Educational Institution	5854
Cumberland (A)	2011	University or other tertiary	9345
Cumberland (A)	2016		17584
Cumberland (A)	2016	Infants/Primary	18127
Cumberland (A)	2016	Pre-school	3531
Cumberland (A)	2016	Secondary	13186
Cumberland (A)	2016	Technical or Further Educational Institution	4892
Cumberland (A)	2016	University or other tertiary	13213
Dungog (A)	2006		655
Dungog (A)	2006	Infants/Primary	736
Dungog (A)	2006	Pre-school	167
Dungog (A)	2006	Secondary	623
Dungog (A)	2006	Technical or Further Educational Institution	143
Dungog (A)	2006	University or other tertiary	118
Dungog (A)	2011		560
Dungog (A)	2011	Infants/Primary	680
Dungog (A)	2011	Pre-school	162
Dungog (A)	2011	Secondary	580
Dungog (A)	2011	Technical or Further Educational Institution	174
Dungog (A)	2011	University or other tertiary	170
Dungog (A)	2016		785
Dungog (A)	2016	Infants/Primary	753
Dungog (A)	2016	Pre-school	185
Dungog (A)	2016	Secondary	594
