LGA_NAME16	Year	NonSchoolQualification	persons
Ballina (A)	2011	Graduate Diploma and Graduate Certificate	551
Ballina (A)	2011	Postgraduate	715
Ballina (A)	2016		24172
Ballina (A)	2016	Certificate nfd	938
Ballina (A)	2016	Certificate I and II Level	430
Ballina (A)	2016	Certificate III and IV Level	6380
Ballina (A)	2016	Advanced Diploma and Diploma	3324
Ballina (A)	2016	Bachelor	4734
Ballina (A)	2016	Graduate Diploma and Graduate Certificate	741
Ballina (A)	2016	Postgraduate	1071
Balranald (A)	2006		2016
Balranald (A)	2006	Certificate nfd	17
Balranald (A)	2006	Certificate I and II Level	18
Balranald (A)	2006	Certificate III and IV Level	205
Balranald (A)	2006	Advanced Diploma and Diploma	69
Balranald (A)	2006	Bachelor	90
Balranald (A)	2006	Graduate Diploma and Graduate Certificate	16
Balranald (A)	2006	Postgraduate	11
Balranald (A)	2011		1816
Balranald (A)	2011	Certificate nfd	20
Balranald (A)	2011	Certificate I and II Level	22
Balranald (A)	2011	Certificate III and IV Level	245
Balranald (A)	2011	Advanced Diploma and Diploma	70
Balranald (A)	2011	Bachelor	89
Balranald (A)	2011	Graduate Diploma and Graduate Certificate	13
Balranald (A)	2011	Postgraduate	7
Balranald (A)	2016		1784
Balranald (A)	2016	Certificate nfd	19
Balranald (A)	2016	Certificate I and II Level	26
Balranald (A)	2016	Certificate III and IV Level	250
Balranald (A)	2016	Advanced Diploma and Diploma	80
Balranald (A)	2016	Bachelor	94
Balranald (A)	2016	Graduate Diploma and Graduate Certificate	13
Balranald (A)	2016	Postgraduate	21
Bathurst Regional (A)	2006		24700
Bathurst Regional (A)	2006	Certificate nfd	622
Bathurst Regional (A)	2006	Certificate I and II Level	509
Bathurst Regional (A)	2006	Certificate III and IV Level	4714
Bathurst Regional (A)	2006	Advanced Diploma and Diploma	1712
Bathurst Regional (A)	2006	Bachelor	2690
Bathurst Regional (A)	2006	Graduate Diploma and Graduate Certificate	376
Bathurst Regional (A)	2006	Postgraduate	522
Bathurst Regional (A)	2011		25311
Bathurst Regional (A)	2011	Certificate nfd	635
Bathurst Regional (A)	2011	Certificate I and II Level	523
Bathurst Regional (A)	2011	Certificate III and IV Level	5666
Bathurst Regional (A)	2011	Advanced Diploma and Diploma	2095
Bathurst Regional (A)	2011	Bachelor	3132
Bathurst Regional (A)	2011	Graduate Diploma and Graduate Certificate	466
Bathurst Regional (A)	2011	Postgraduate	689
Bathurst Regional (A)	2016		25421
Bathurst Regional (A)	2016	Certificate nfd	818
Bathurst Regional (A)	2016	Certificate I and II Level	526
Bathurst Regional (A)	2016	Certificate III and IV Level	6508
Bathurst Regional (A)	2016	Advanced Diploma and Diploma	2672
Bathurst Regional (A)	2016	Bachelor	3759
Bathurst Regional (A)	2016	Graduate Diploma and Graduate Certificate	645
Bathurst Regional (A)	2016	Postgraduate	951
Bega Valley (A)	2006		21430
Bega Valley (A)	2006	Certificate nfd	471
Bega Valley (A)	2006	Certificate I and II Level	371
Bega Valley (A)	2006	Certificate III and IV Level	4476
Bega Valley (A)	2006	Advanced Diploma and Diploma	1671
Bega Valley (A)	2006	Bachelor	1987
Bega Valley (A)	2006	Graduate Diploma and Graduate Certificate	365
Bega Valley (A)	2006	Postgraduate	290
Bega Valley (A)	2011		20632
Bega Valley (A)	2011	Certificate nfd	505
Bega Valley (A)	2011	Certificate I and II Level	413
Bega Valley (A)	2011	Certificate III and IV Level	5040
Bega Valley (A)	2011	Advanced Diploma and Diploma	1942
Bega Valley (A)	2011	Bachelor	2473
Bega Valley (A)	2011	Graduate Diploma and Graduate Certificate	518
Bega Valley (A)	2011	Postgraduate	427
Bega Valley (A)	2016		20066
Bega Valley (A)	2016	Certificate nfd	730
Bega Valley (A)	2016	Certificate I and II Level	437
Bega Valley (A)	2016	Certificate III and IV Level	5493
Bega Valley (A)	2016	Advanced Diploma and Diploma	2331
Bega Valley (A)	2016	Bachelor	2947
Bega Valley (A)	2016	Graduate Diploma and Graduate Certificate	598
Bega Valley (A)	2016	Postgraduate	651
Bellingen (A)	2006		8474
Bellingen (A)	2006	Certificate nfd	161
Bellingen (A)	2006	Certificate I and II Level	131
Bellingen (A)	2006	Certificate III and IV Level	1675
Bellingen (A)	2006	Advanced Diploma and Diploma	736
Bellingen (A)	2006	Bachelor	920
Bellingen (A)	2006	Graduate Diploma and Graduate Certificate	162
Bellingen (A)	2006	Postgraduate	158
Bellingen (A)	2011		7864
Bellingen (A)	2011	Certificate nfd	176
Bellingen (A)	2011	Certificate I and II Level	137
Bellingen (A)	2011	Certificate III and IV Level	1926
Bellingen (A)	2011	Advanced Diploma and Diploma	832
Bellingen (A)	2011	Bachelor	1127
Bellingen (A)	2011	Graduate Diploma and Graduate Certificate	215
Bellingen (A)	2011	Postgraduate	238
Bellingen (A)	2016		7352
Bellingen (A)	2016	Certificate nfd	271
Bellingen (A)	2016	Certificate I and II Level	153
Bellingen (A)	2016	Certificate III and IV Level	1970
Bellingen (A)	2016	Advanced Diploma and Diploma	975
Bellingen (A)	2016	Bachelor	1405
Bellingen (A)	2016	Graduate Diploma and Graduate Certificate	228
Bellingen (A)	2016	Postgraduate	314
Berrigan (A)	2006		5949
Berrigan (A)	2006	Certificate nfd	92
Berrigan (A)	2006	Certificate I and II Level	70
Berrigan (A)	2006	Certificate III and IV Level	1084
Berrigan (A)	2006	Advanced Diploma and Diploma	352
Berrigan (A)	2006	Bachelor	380
Berrigan (A)	2006	Graduate Diploma and Graduate Certificate	41
Berrigan (A)	2006	Postgraduate	25
Berrigan (A)	2011		5776
Berrigan (A)	2011	Certificate nfd	83
Berrigan (A)	2011	Certificate I and II Level	87
Berrigan (A)	2011	Certificate III and IV Level	1197
Berrigan (A)	2011	Advanced Diploma and Diploma	398
Berrigan (A)	2011	Bachelor	434
Berrigan (A)	2011	Graduate Diploma and Graduate Certificate	56
Berrigan (A)	2011	Postgraduate	36
Berrigan (A)	2016		5818
Berrigan (A)	2016	Certificate nfd	133
Berrigan (A)	2016	Certificate I and II Level	82
Berrigan (A)	2016	Certificate III and IV Level	1355
Berrigan (A)	2016	Advanced Diploma and Diploma	460
Berrigan (A)	2016	Bachelor	494
Berrigan (A)	2016	Graduate Diploma and Graduate Certificate	67
Berrigan (A)	2016	Postgraduate	53
Blacktown (C)	2006		198018
Blacktown (C)	2006	Certificate nfd	3646
Blacktown (C)	2006	Certificate I and II Level	2683
Blacktown (C)	2006	Certificate III and IV Level	27568
Blacktown (C)	2006	Advanced Diploma and Diploma	13100
Blacktown (C)	2006	Bachelor	21185
Blacktown (C)	2006	Graduate Diploma and Graduate Certificate	1357
Blacktown (C)	2006	Postgraduate	4155
Blacktown (C)	2011		204813
Blacktown (C)	2011	Certificate nfd	3687
Blacktown (C)	2011	Certificate I and II Level	3178
Blacktown (C)	2011	Certificate III and IV Level	32310
Blacktown (C)	2011	Advanced Diploma and Diploma	17723
Blacktown (C)	2011	Bachelor	29260
Blacktown (C)	2011	Graduate Diploma and Graduate Certificate	2159
Blacktown (C)	2011	Postgraduate	7967
Blacktown (C)	2016		212820
Blacktown (C)	2016	Certificate nfd	5249
Blacktown (C)	2016	Certificate I and II Level	3039
Blacktown (C)	2016	Certificate III and IV Level	35577
Blacktown (C)	2016	Advanced Diploma and Diploma	22969
Blacktown (C)	2016	Bachelor	40305
Blacktown (C)	2016	Graduate Diploma and Graduate Certificate	2983
Blacktown (C)	2016	Postgraduate	14020
Bland (A)	2006		4689
Bland (A)	2006	Certificate nfd	97
Bland (A)	2006	Certificate I and II Level	75
Bland (A)	2006	Certificate III and IV Level	715
Bland (A)	2006	Advanced Diploma and Diploma	191
Bland (A)	2006	Bachelor	281
Bland (A)	2006	Graduate Diploma and Graduate Certificate	29
Bland (A)	2006	Postgraduate	21
Bland (A)	2011		4329
Bland (A)	2011	Certificate nfd	77
Bland (A)	2011	Certificate I and II Level	81
Bland (A)	2011	Certificate III and IV Level	805
Bland (A)	2011	Advanced Diploma and Diploma	225
Bland (A)	2011	Bachelor	293
Bland (A)	2011	Graduate Diploma and Graduate Certificate	31
Bland (A)	2011	Postgraduate	21
Bland (A)	2016		4279
Bland (A)	2016	Certificate nfd	108
Bland (A)	2016	Certificate I and II Level	80
Bland (A)	2016	Certificate III and IV Level	841
Bland (A)	2016	Advanced Diploma and Diploma	250
Bland (A)	2016	Bachelor	323
Bland (A)	2016	Graduate Diploma and Graduate Certificate	37
Bland (A)	2016	Postgraduate	37
Blayney (A)	2006		4780
Blayney (A)	2006	Certificate nfd	95
Blayney (A)	2006	Certificate I and II Level	98
Blayney (A)	2006	Certificate III and IV Level	837
Blayney (A)	2006	Advanced Diploma and Diploma	319
Blayney (A)	2006	Bachelor	350
Blayney (A)	2006	Graduate Diploma and Graduate Certificate	60
Blayney (A)	2006	Postgraduate	55
Blayney (A)	2011		4798
Blayney (A)	2011	Certificate nfd	91
Blayney (A)	2011	Certificate I and II Level	99
Blayney (A)	2011	Certificate III and IV Level	1041
Blayney (A)	2011	Advanced Diploma and Diploma	395
Blayney (A)	2011	Bachelor	446
Blayney (A)	2011	Graduate Diploma and Graduate Certificate	49
Blayney (A)	2011	Postgraduate	66
Blayney (A)	2016		4649
Blayney (A)	2016	Certificate nfd	161
Blayney (A)	2016	Certificate I and II Level	84
Blayney (A)	2016	Certificate III and IV Level	1191
Blayney (A)	2016	Advanced Diploma and Diploma	428
Blayney (A)	2016	Bachelor	547
Blayney (A)	2016	Graduate Diploma and Graduate Certificate	85
Blayney (A)	2016	Postgraduate	112
Blue Mountains (C)	2006		44090
Blue Mountains (C)	2006	Certificate nfd	1521
Blue Mountains (C)	2006	Certificate I and II Level	773
Blue Mountains (C)	2006	Certificate III and IV Level	9002
Blue Mountains (C)	2006	Advanced Diploma and Diploma	5969
Blue Mountains (C)	2006	Bachelor	8839
Blue Mountains (C)	2006	Graduate Diploma and Graduate Certificate	1484
Blue Mountains (C)	2006	Postgraduate	2386
Blue Mountains (C)	2011		42351
Blue Mountains (C)	2011	Certificate nfd	1387
Blue Mountains (C)	2011	Certificate I and II Level	816
Blue Mountains (C)	2011	Certificate III and IV Level	10105
Blue Mountains (C)	2011	Advanced Diploma and Diploma	6517
Blue Mountains (C)	2011	Bachelor	9930
Blue Mountains (C)	2011	Graduate Diploma and Graduate Certificate	1709
Blue Mountains (C)	2011	Postgraduate	3126
Blue Mountains (C)	2016		39192
Blue Mountains (C)	2016	Certificate nfd	1723
Blue Mountains (C)	2016	Certificate I and II Level	708
Blue Mountains (C)	2016	Certificate III and IV Level	10640
Blue Mountains (C)	2016	Advanced Diploma and Diploma	7368
Blue Mountains (C)	2016	Bachelor	11046
Blue Mountains (C)	2016	Graduate Diploma and Graduate Certificate	2034
Blue Mountains (C)	2016	Postgraduate	4193
Bogan (A)	2006		2303
Bogan (A)	2006	Certificate nfd	23
Bogan (A)	2006	Certificate I and II Level	29
Bogan (A)	2006	Certificate III and IV Level	295
Bogan (A)	2006	Advanced Diploma and Diploma	87
Bogan (A)	2006	Bachelor	117
Bogan (A)	2006	Graduate Diploma and Graduate Certificate	17
Bogan (A)	2006	Postgraduate	8
Bogan (A)	2011		2233
Bogan (A)	2011	Certificate nfd	36
Bogan (A)	2011	Certificate I and II Level	28
Bogan (A)	2011	Certificate III and IV Level	332
Bogan (A)	2011	Advanced Diploma and Diploma	94
Bogan (A)	2011	Bachelor	147
Bogan (A)	2011	Graduate Diploma and Graduate Certificate	19
Bogan (A)	2011	Postgraduate	11
Bogan (A)	2016		1960
Bogan (A)	2016	Certificate nfd	40
Bogan (A)	2016	Certificate I and II Level	26
Bogan (A)	2016	Certificate III and IV Level	354
Bogan (A)	2016	Advanced Diploma and Diploma	116
Bogan (A)	2016	Bachelor	157
Bogan (A)	2016	Graduate Diploma and Graduate Certificate	19
Bogan (A)	2016	Postgraduate	20
Botany Bay (C)	2006		25267
Botany Bay (C)	2006	Certificate nfd	466
Botany Bay (C)	2006	Certificate I and II Level	265
Botany Bay (C)	2006	Certificate III and IV Level	3454
Botany Bay (C)	2006	Advanced Diploma and Diploma	2044
Botany Bay (C)	2006	Bachelor	3220
Botany Bay (C)	2006	Graduate Diploma and Graduate Certificate	203
Botany Bay (C)	2006	Postgraduate	1075
Botany Bay (C)	2011		25462
Botany Bay (C)	2011	Certificate nfd	489
Botany Bay (C)	2011	Certificate I and II Level	270
Botany Bay (C)	2011	Certificate III and IV Level	3938
Botany Bay (C)	2011	Advanced Diploma and Diploma	2718
Botany Bay (C)	2011	Bachelor	4504
Botany Bay (C)	2011	Graduate Diploma and Graduate Certificate	324
Botany Bay (C)	2011	Postgraduate	1649
Botany Bay (C)	2016		27134
Botany Bay (C)	2016	Certificate nfd	710
Botany Bay (C)	2016	Certificate I and II Level	313
Botany Bay (C)	2016	Certificate III and IV Level	4511
Botany Bay (C)	2016	Advanced Diploma and Diploma	3525
Botany Bay (C)	2016	Bachelor	7113
Botany Bay (C)	2016	Graduate Diploma and Graduate Certificate	513
Botany Bay (C)	2016	Postgraduate	2835
Bourke (A)	2006		2451
Bourke (A)	2006	Certificate nfd	29
Bourke (A)	2006	Certificate I and II Level	43
Bourke (A)	2006	Certificate III and IV Level	231
Bourke (A)	2006	Advanced Diploma and Diploma	126
Bourke (A)	2006	Bachelor	174
Bourke (A)	2006	Graduate Diploma and Graduate Certificate	19
Bourke (A)	2006	Postgraduate	21
Bourke (A)	2011		2147
Bourke (A)	2011	Certificate nfd	26
Bourke (A)	2011	Certificate I and II Level	36
Bourke (A)	2011	Certificate III and IV Level	291
Bourke (A)	2011	Advanced Diploma and Diploma	122
Bourke (A)	2011	Bachelor	202
Bourke (A)	2011	Graduate Diploma and Graduate Certificate	16
Bourke (A)	2011	Postgraduate	27
Bourke (A)	2016		1980
Bourke (A)	2016	Certificate nfd	32
Bourke (A)	2016	Certificate I and II Level	31
Bourke (A)	2016	Certificate III and IV Level	247
Bourke (A)	2016	Advanced Diploma and Diploma	144
Bourke (A)	2016	Bachelor	165
Bourke (A)	2016	Graduate Diploma and Graduate Certificate	8
Bourke (A)	2016	Postgraduate	27
Brewarrina (A)	2006		1663
Brewarrina (A)	2006	Certificate nfd	18
Brewarrina (A)	2006	Certificate I and II Level	8
Brewarrina (A)	2006	Certificate III and IV Level	118
Brewarrina (A)	2006	Advanced Diploma and Diploma	45
Brewarrina (A)	2006	Bachelor	71
Brewarrina (A)	2006	Graduate Diploma and Graduate Certificate	13
Brewarrina (A)	2006	Postgraduate	7
Brewarrina (A)	2011		1413
Brewarrina (A)	2011	Certificate nfd	14
Brewarrina (A)	2011	Certificate I and II Level	29
Brewarrina (A)	2011	Certificate III and IV Level	160
Brewarrina (A)	2011	Advanced Diploma and Diploma	52
Brewarrina (A)	2011	Bachelor	84
Brewarrina (A)	2011	Graduate Diploma and Graduate Certificate	5
Brewarrina (A)	2011	Postgraduate	9
Brewarrina (A)	2016		1291
Brewarrina (A)	2016	Certificate nfd	18
Brewarrina (A)	2016	Certificate I and II Level	46
Brewarrina (A)	2016	Certificate III and IV Level	136
Brewarrina (A)	2016	Advanced Diploma and Diploma	65
Brewarrina (A)	2016	Bachelor	82
Brewarrina (A)	2016	Graduate Diploma and Graduate Certificate	5
Brewarrina (A)	2016	Postgraduate	8
Broken Hill (C)	2006		15136
Broken Hill (C)	2006	Certificate nfd	196
Broken Hill (C)	2006	Certificate I and II Level	212
Broken Hill (C)	2006	Certificate III and IV Level	2333
Broken Hill (C)	2006	Advanced Diploma and Diploma	542
Broken Hill (C)	2006	Bachelor	711
Broken Hill (C)	2006	Graduate Diploma and Graduate Certificate	139
Broken Hill (C)	2006	Postgraduate	97
Broken Hill (C)	2011		13817
Broken Hill (C)	2011	Certificate nfd	198
Broken Hill (C)	2011	Certificate I and II Level	207
Broken Hill (C)	2011	Certificate III and IV Level	2605
Broken Hill (C)	2011	Advanced Diploma and Diploma	641
Broken Hill (C)	2011	Bachelor	782
Broken Hill (C)	2011	Graduate Diploma and Graduate Certificate	146
Broken Hill (C)	2011	Postgraduate	123
Broken Hill (C)	2016		12244
Broken Hill (C)	2016	Certificate nfd	292
Broken Hill (C)	2016	Certificate I and II Level	224
Broken Hill (C)	2016	Certificate III and IV Level	2881
Broken Hill (C)	2016	Advanced Diploma and Diploma	804
Broken Hill (C)	2016	Bachelor	893
Broken Hill (C)	2016	Graduate Diploma and Graduate Certificate	178
Broken Hill (C)	2016	Postgraduate	192
Burwood (A)	2006		19360
Burwood (A)	2006	Certificate nfd	358
Burwood (A)	2006	Certificate I and II Level	212
Burwood (A)	2006	Certificate III and IV Level	2008
Burwood (A)	2006	Advanced Diploma and Diploma	2088
Burwood (A)	2006	Bachelor	4770
Burwood (A)	2006	Graduate Diploma and Graduate Certificate	325
Burwood (A)	2006	Postgraduate	1803
Burwood (A)	2011		18741
Burwood (A)	2011	Certificate nfd	323
Burwood (A)	2011	Certificate I and II Level	198
Burwood (A)	2011	Certificate III and IV Level	2152
Burwood (A)	2011	Advanced Diploma and Diploma	2756
Burwood (A)	2011	Bachelor	5530
Burwood (A)	2011	Graduate Diploma and Graduate Certificate	414
Burwood (A)	2011	Postgraduate	2310
Burwood (A)	2016		19935
Burwood (A)	2016	Certificate nfd	472
Burwood (A)	2016	Certificate I and II Level	192
Burwood (A)	2016	Certificate III and IV Level	2254
Burwood (A)	2016	Advanced Diploma and Diploma	2750
Burwood (A)	2016	Bachelor	7425
Burwood (A)	2016	Graduate Diploma and Graduate Certificate	510
Burwood (A)	2016	Postgraduate	3271
Byron (A)	2006		18690
Byron (A)	2006	Certificate nfd	404
Byron (A)	2006	Certificate I and II Level	300
Byron (A)	2006	Certificate III and IV Level	3335
Byron (A)	2006	Advanced Diploma and Diploma	2039
Byron (A)	2006	Bachelor	3085
Byron (A)	2006	Graduate Diploma and Graduate Certificate	411
Byron (A)	2006	Postgraduate	501
Byron (A)	2011		17217
Byron (A)	2011	Certificate nfd	395
Byron (A)	2011	Certificate I and II Level	284
Byron (A)	2011	Certificate III and IV Level	3853
Byron (A)	2011	Advanced Diploma and Diploma	2382
Byron (A)	2011	Bachelor	3776
Byron (A)	2011	Graduate Diploma and Graduate Certificate	527
Byron (A)	2011	Postgraduate	773
Byron (A)	2016		17584
Byron (A)	2016	Certificate nfd	619
Byron (A)	2016	Certificate I and II Level	236
Byron (A)	2016	Certificate III and IV Level	4102
Byron (A)	2016	Advanced Diploma and Diploma	2787
Byron (A)	2016	Bachelor	4526
Byron (A)	2016	Graduate Diploma and Graduate Certificate	593
Byron (A)	2016	Postgraduate	1109
Cabonne (A)	2006		8774
Cabonne (A)	2006	Certificate nfd	173
Cabonne (A)	2006	Certificate I and II Level	137
Cabonne (A)	2006	Certificate III and IV Level	1617
Cabonne (A)	2006	Advanced Diploma and Diploma	640
Cabonne (A)	2006	Bachelor	790
Cabonne (A)	2006	Graduate Diploma and Graduate Certificate	101
Cabonne (A)	2006	Postgraduate	164
Cabonne (A)	2011		8509
Cabonne (A)	2011	Certificate nfd	190
Cabonne (A)	2011	Certificate I and II Level	168
Cabonne (A)	2011	Certificate III and IV Level	1944
Cabonne (A)	2011	Advanced Diploma and Diploma	756
Cabonne (A)	2011	Bachelor	942
Cabonne (A)	2011	Graduate Diploma and Graduate Certificate	132
Cabonne (A)	2011	Postgraduate	182
Cabonne (A)	2016		8494
Cabonne (A)	2016	Certificate nfd	282
Cabonne (A)	2016	Certificate I and II Level	167
Cabonne (A)	2016	Certificate III and IV Level	2048
Cabonne (A)	2016	Advanced Diploma and Diploma	900
Cabonne (A)	2016	Bachelor	1112
Cabonne (A)	2016	Graduate Diploma and Graduate Certificate	138
Cabonne (A)	2016	Postgraduate	245
Camden (A)	2006		34510
Camden (A)	2006	Certificate nfd	859
Camden (A)	2006	Certificate I and II Level	528
Camden (A)	2006	Certificate III and IV Level	6808
Camden (A)	2006	Advanced Diploma and Diploma	2900
Camden (A)	2006	Bachelor	3116
Camden (A)	2006	Graduate Diploma and Graduate Certificate	371
Camden (A)	2006	Postgraduate	553
Camden (A)	2011		37111
Camden (A)	2011	Certificate nfd	844
Camden (A)	2011	Certificate I and II Level	574
Camden (A)	2011	Certificate III and IV Level	8690
Camden (A)	2011	Advanced Diploma and Diploma	3842
Camden (A)	2011	Bachelor	4271
Camden (A)	2011	Graduate Diploma and Graduate Certificate	519
Camden (A)	2011	Postgraduate	868
Camden (A)	2016		47898
Camden (A)	2016	Certificate nfd	1392
Camden (A)	2016	Certificate I and II Level	786
Camden (A)	2016	Certificate III and IV Level	12333
Camden (A)	2016	Advanced Diploma and Diploma	6135
Camden (A)	2016	Bachelor	6968
Camden (A)	2016	Graduate Diploma and Graduate Certificate	864
Camden (A)	2016	Postgraduate	1842
Campbelltown (C) (NSW)	2006		106355
Campbelltown (C) (NSW)	2006	Certificate nfd	2107
Campbelltown (C) (NSW)	2006	Certificate I and II Level	1664
Campbelltown (C) (NSW)	2006	Certificate III and IV Level	16420
Campbelltown (C) (NSW)	2006	Advanced Diploma and Diploma	6548
Campbelltown (C) (NSW)	2006	Bachelor	7691
Campbelltown (C) (NSW)	2006	Graduate Diploma and Graduate Certificate	729
Campbelltown (C) (NSW)	2006	Postgraduate	1561
Campbelltown (C) (NSW)	2011		102171
Campbelltown (C) (NSW)	2011	Certificate nfd	2035
Campbelltown (C) (NSW)	2011	Certificate I and II Level	1776
Campbelltown (C) (NSW)	2011	Certificate III and IV Level	18870
Campbelltown (C) (NSW)	2011	Advanced Diploma and Diploma	8002
Campbelltown (C) (NSW)	2011	Bachelor	9681
Campbelltown (C) (NSW)	2011	Graduate Diploma and Graduate Certificate	880
Campbelltown (C) (NSW)	2011	Postgraduate	2554
Campbelltown (C) (NSW)	2016		102399
Campbelltown (C) (NSW)	2016	Certificate nfd	2858
Campbelltown (C) (NSW)	2016	Certificate I and II Level	1675
Campbelltown (C) (NSW)	2016	Certificate III and IV Level	20731
Campbelltown (C) (NSW)	2016	Advanced Diploma and Diploma	10444
Campbelltown (C) (NSW)	2016	Bachelor	13056
Campbelltown (C) (NSW)	2016	Graduate Diploma and Graduate Certificate	1202
Campbelltown (C) (NSW)	2016	Postgraduate	4641
Canada Bay (A)	2006		38723
Canada Bay (A)	2006	Certificate nfd	1123
Canada Bay (A)	2006	Certificate I and II Level	498
Canada Bay (A)	2006	Certificate III and IV Level	5583
Canada Bay (A)	2006	Advanced Diploma and Diploma	5028
Canada Bay (A)	2006	Bachelor	10667
Canada Bay (A)	2006	Graduate Diploma and Graduate Certificate	1070
Canada Bay (A)	2006	Postgraduate	3054
Canada Bay (A)	2011		41251
Canada Bay (A)	2011	Certificate nfd	1127
Canada Bay (A)	2011	Certificate I and II Level	524
Canada Bay (A)	2011	Certificate III and IV Level	6310
Canada Bay (A)	2011	Advanced Diploma and Diploma	6141
Canada Bay (A)	2011	Bachelor	13983
Canada Bay (A)	2011	Graduate Diploma and Graduate Certificate	1368
Canada Bay (A)	2011	Postgraduate	5058
Canada Bay (A)	2016		44189
Canada Bay (A)	2016	Certificate nfd	1576
Canada Bay (A)	2016	Certificate I and II Level	490
Canada Bay (A)	2016	Certificate III and IV Level	6594
Canada Bay (A)	2016	Advanced Diploma and Diploma	7121
Canada Bay (A)	2016	Bachelor	18289
Canada Bay (A)	2016	Graduate Diploma and Graduate Certificate	1739
Canada Bay (A)	2016	Postgraduate	8017
Canterbury-Bankstown (A)	2006		222706
Canterbury-Bankstown (A)	2006	Certificate nfd	3889
Canterbury-Bankstown (A)	2006	Certificate I and II Level	2462
Canterbury-Bankstown (A)	2006	Certificate III and IV Level	26836
Canterbury-Bankstown (A)	2006	Advanced Diploma and Diploma	15323
Canterbury-Bankstown (A)	2006	Bachelor	22490
Canterbury-Bankstown (A)	2006	Graduate Diploma and Graduate Certificate	1612
Canterbury-Bankstown (A)	2006	Postgraduate	5131
Canterbury-Bankstown (A)	2011		224852
Canterbury-Bankstown (A)	2011	Certificate nfd	3938
Canterbury-Bankstown (A)	2011	Certificate I and II Level	2688
Canterbury-Bankstown (A)	2011	Certificate III and IV Level	29114
Canterbury-Bankstown (A)	2011	Advanced Diploma and Diploma	19758
Canterbury-Bankstown (A)	2011	Bachelor	29042
Canterbury-Bankstown (A)	2011	Graduate Diploma and Graduate Certificate	2082
Canterbury-Bankstown (A)	2011	Postgraduate	8333
Canterbury-Bankstown (A)	2016		229383
Canterbury-Bankstown (A)	2016	Certificate nfd	5512
Canterbury-Bankstown (A)	2016	Certificate I and II Level	2519
Canterbury-Bankstown (A)	2016	Certificate III and IV Level	31027
Canterbury-Bankstown (A)	2016	Advanced Diploma and Diploma	23627
Canterbury-Bankstown (A)	2016	Bachelor	38458
Canterbury-Bankstown (A)	2016	Graduate Diploma and Graduate Certificate	2915
Canterbury-Bankstown (A)	2016	Postgraduate	12861
Carrathool (A)	2006		2236
Carrathool (A)	2006	Certificate nfd	43
