LGA_NAME16	Year	Age	Sex	persons
Armidale Regional (A)	2011	75-84	F	803
Armidale Regional (A)	2011	75-84	M	570
Armidale Regional (A)	2011	85+	F	365
Armidale Regional (A)	2011	85+	M	194
Armidale Regional (A)	2016	0-4	F	825
Armidale Regional (A)	2016	0-4	M	844
Armidale Regional (A)	2016	5-14	F	1833
Armidale Regional (A)	2016	5-14	M	1833
Armidale Regional (A)	2016	15-19	F	1302
Armidale Regional (A)	2016	15-19	M	1254
Armidale Regional (A)	2016	20-24	F	1422
Armidale Regional (A)	2016	20-24	M	1369
Armidale Regional (A)	2016	25-34	F	1761
Armidale Regional (A)	2016	25-34	M	1700
Armidale Regional (A)	2016	35-44	F	1635
Armidale Regional (A)	2016	35-44	M	1465
Armidale Regional (A)	2016	45-54	F	1889
Armidale Regional (A)	2016	45-54	M	1772
Armidale Regional (A)	2016	55-64	F	1840
Armidale Regional (A)	2016	55-64	M	1713
Armidale Regional (A)	2016	65-74	F	1400
Armidale Regional (A)	2016	65-74	M	1344
Armidale Regional (A)	2016	75-84	F	893
Armidale Regional (A)	2016	75-84	M	705
Armidale Regional (A)	2016	85+	F	426
Armidale Regional (A)	2016	85+	M	220
Ballina (A)	2006	0-4	F	997
Ballina (A)	2006	0-4	M	1014
Ballina (A)	2006	5-14	F	2575
Ballina (A)	2006	5-14	M	2619
Ballina (A)	2006	15-19	F	1226
Ballina (A)	2006	15-19	M	1315
Ballina (A)	2006	20-24	F	873
Ballina (A)	2006	20-24	M	891
Ballina (A)	2006	25-34	F	1775
Ballina (A)	2006	25-34	M	1717
Ballina (A)	2006	35-44	F	2697
Ballina (A)	2006	35-44	M	2388
Ballina (A)	2006	45-54	F	3148
Ballina (A)	2006	45-54	M	2783
Ballina (A)	2006	55-64	F	2483
Ballina (A)	2006	55-64	M	2429
Ballina (A)	2006	65-74	F	1848
Ballina (A)	2006	65-74	M	1623
Ballina (A)	2006	75-84	F	1701
Ballina (A)	2006	75-84	M	1313
Ballina (A)	2006	85+	F	667
Ballina (A)	2006	85+	M	364
Ballina (A)	2011	0-4	F	996
Ballina (A)	2011	0-4	M	1143
Ballina (A)	2011	5-14	F	2411
Ballina (A)	2011	5-14	M	2492
Ballina (A)	2011	15-19	F	1163
Ballina (A)	2011	15-19	M	1232
Ballina (A)	2011	20-24	F	787
Ballina (A)	2011	20-24	M	813
Ballina (A)	2011	25-34	F	1675
Ballina (A)	2011	25-34	M	1605
Ballina (A)	2011	35-44	F	2647
Ballina (A)	2011	35-44	M	2248
Ballina (A)	2011	45-54	F	3049
Ballina (A)	2011	45-54	M	2727
Ballina (A)	2011	55-64	F	2997
Ballina (A)	2011	55-64	M	2845
Ballina (A)	2011	65-74	F	2167
Ballina (A)	2011	65-74	M	1953
Ballina (A)	2011	75-84	F	1662
Ballina (A)	2011	75-84	M	1270
Ballina (A)	2011	85+	F	876
Ballina (A)	2011	85+	M	519
Ballina (A)	2016	0-4	F	997
Ballina (A)	2016	0-4	M	1074
Ballina (A)	2016	5-14	F	2294
Ballina (A)	2016	5-14	M	2565
Ballina (A)	2016	15-19	F	1133
Ballina (A)	2016	15-19	M	1245
Ballina (A)	2016	20-24	F	788
Ballina (A)	2016	20-24	M	780
Ballina (A)	2016	25-34	F	1853
Ballina (A)	2016	25-34	M	1732
Ballina (A)	2016	35-44	F	2456
Ballina (A)	2016	35-44	M	2207
Ballina (A)	2016	45-54	F	3060
Ballina (A)	2016	45-54	M	2701
Ballina (A)	2016	55-64	F	3398
Ballina (A)	2016	55-64	M	3036
Ballina (A)	2016	65-74	F	2805
Ballina (A)	2016	65-74	M	2699
Ballina (A)	2016	75-84	F	1773
Ballina (A)	2016	75-84	M	1437
Ballina (A)	2016	85+	F	1104
Ballina (A)	2016	85+	M	655
Balranald (A)	2006	0-4	F	74
Balranald (A)	2006	0-4	M	89
Balranald (A)	2006	5-14	F	150
Balranald (A)	2006	5-14	M	201
Balranald (A)	2006	15-19	F	69
Balranald (A)	2006	15-19	M	105
Balranald (A)	2006	20-24	F	47
Balranald (A)	2006	20-24	M	57
Balranald (A)	2006	25-34	F	152
Balranald (A)	2006	25-34	M	151
Balranald (A)	2006	35-44	F	175
Balranald (A)	2006	35-44	M	169
Balranald (A)	2006	45-54	F	202
Balranald (A)	2006	45-54	M	208
Balranald (A)	2006	55-64	F	116
Balranald (A)	2006	55-64	M	140
Balranald (A)	2006	65-74	F	100
Balranald (A)	2006	65-74	M	95
Balranald (A)	2006	75-84	F	66
Balranald (A)	2006	75-84	M	43
Balranald (A)	2006	85+	F	23
Balranald (A)	2006	85+	M	12
Balranald (A)	2011	0-4	F	79
Balranald (A)	2011	0-4	M	85
Balranald (A)	2011	5-14	F	134
Balranald (A)	2011	5-14	M	174
Balranald (A)	2011	15-19	F	63
Balranald (A)	2011	15-19	M	75
Balranald (A)	2011	20-24	F	58
Balranald (A)	2011	20-24	M	56
Balranald (A)	2011	25-34	F	113
Balranald (A)	2011	25-34	M	108
Balranald (A)	2011	35-44	F	148
Balranald (A)	2011	35-44	M	149
Balranald (A)	2011	45-54	F	189
Balranald (A)	2011	45-54	M	173
Balranald (A)	2011	55-64	F	148
Balranald (A)	2011	55-64	M	176
Balranald (A)	2011	65-74	F	93
Balranald (A)	2011	65-74	M	107
Balranald (A)	2011	75-84	F	65
Balranald (A)	2011	75-84	M	61
Balranald (A)	2011	85+	F	28
Balranald (A)	2011	85+	M	10
Balranald (A)	2016	0-4	F	71
Balranald (A)	2016	0-4	M	80
Balranald (A)	2016	5-14	F	162
Balranald (A)	2016	5-14	M	172
Balranald (A)	2016	15-19	F	56
Balranald (A)	2016	15-19	M	74
Balranald (A)	2016	20-24	F	56
Balranald (A)	2016	20-24	M	81
Balranald (A)	2016	25-34	F	136
Balranald (A)	2016	25-34	M	99
Balranald (A)	2016	35-44	F	130
Balranald (A)	2016	35-44	M	147
Balranald (A)	2016	45-54	F	132
Balranald (A)	2016	45-54	M	156
Balranald (A)	2016	55-64	F	186
Balranald (A)	2016	55-64	M	194
Balranald (A)	2016	65-74	F	86
Balranald (A)	2016	65-74	M	119
Balranald (A)	2016	75-84	F	76
Balranald (A)	2016	75-84	M	59
Balranald (A)	2016	85+	F	22
Balranald (A)	2016	85+	M	12
Bathurst Regional (A)	2006	0-4	F	1117
Bathurst Regional (A)	2006	0-4	M	1240
Bathurst Regional (A)	2006	5-14	F	2410
Bathurst Regional (A)	2006	5-14	M	2577
Bathurst Regional (A)	2006	15-19	F	1577
Bathurst Regional (A)	2006	15-19	M	1675
Bathurst Regional (A)	2006	20-24	F	1450
Bathurst Regional (A)	2006	20-24	M	1550
Bathurst Regional (A)	2006	25-34	F	2028
Bathurst Regional (A)	2006	25-34	M	2253
Bathurst Regional (A)	2006	35-44	F	2406
Bathurst Regional (A)	2006	35-44	M	2388
Bathurst Regional (A)	2006	45-54	F	2429
Bathurst Regional (A)	2006	45-54	M	2470
Bathurst Regional (A)	2006	55-64	F	1908
Bathurst Regional (A)	2006	55-64	M	1924
Bathurst Regional (A)	2006	65-74	F	1228
Bathurst Regional (A)	2006	65-74	M	1087
Bathurst Regional (A)	2006	75-84	F	923
Bathurst Regional (A)	2006	75-84	M	657
Bathurst Regional (A)	2006	85+	F	375
Bathurst Regional (A)	2006	85+	M	162
Bathurst Regional (A)	2011	0-4	F	1300
Bathurst Regional (A)	2011	0-4	M	1345
Bathurst Regional (A)	2011	5-14	F	2555
Bathurst Regional (A)	2011	5-14	M	2799
Bathurst Regional (A)	2011	15-19	F	1457
Bathurst Regional (A)	2011	15-19	M	1567
Bathurst Regional (A)	2011	20-24	F	1536
Bathurst Regional (A)	2011	20-24	M	1658
Bathurst Regional (A)	2011	25-34	F	2142
Bathurst Regional (A)	2011	25-34	M	2343
Bathurst Regional (A)	2011	35-44	F	2487
Bathurst Regional (A)	2011	35-44	M	2442
Bathurst Regional (A)	2011	45-54	F	2548
Bathurst Regional (A)	2011	45-54	M	2501
Bathurst Regional (A)	2011	55-64	F	2212
Bathurst Regional (A)	2011	55-64	M	2260
Bathurst Regional (A)	2011	65-74	F	1466
Bathurst Regional (A)	2011	65-74	M	1464
Bathurst Regional (A)	2011	75-84	F	1017
Bathurst Regional (A)	2011	75-84	M	759
Bathurst Regional (A)	2011	85+	F	457
Bathurst Regional (A)	2011	85+	M	186
Bathurst Regional (A)	2016	0-4	F	1209
Bathurst Regional (A)	2016	0-4	M	1339
Bathurst Regional (A)	2016	5-14	F	2691
Bathurst Regional (A)	2016	5-14	M	2883
Bathurst Regional (A)	2016	15-19	F	1460
Bathurst Regional (A)	2016	15-19	M	1515
Bathurst Regional (A)	2016	20-24	F	1544
Bathurst Regional (A)	2016	20-24	M	1604
Bathurst Regional (A)	2016	25-34	F	2399
Bathurst Regional (A)	2016	25-34	M	2765
Bathurst Regional (A)	2016	35-44	F	2430
Bathurst Regional (A)	2016	35-44	M	2450
Bathurst Regional (A)	2016	45-54	F	2665
Bathurst Regional (A)	2016	45-54	M	2572
Bathurst Regional (A)	2016	55-64	F	2517
Bathurst Regional (A)	2016	55-64	M	2477
Bathurst Regional (A)	2016	65-74	F	1951
Bathurst Regional (A)	2016	65-74	M	1917
Bathurst Regional (A)	2016	75-84	F	1137
Bathurst Regional (A)	2016	75-84	M	882
Bathurst Regional (A)	2016	85+	F	600
Bathurst Regional (A)	2016	85+	M	293
Bega Valley (A)	2006	0-4	F	808
Bega Valley (A)	2006	0-4	M	851
Bega Valley (A)	2006	5-14	F	2169
Bega Valley (A)	2006	5-14	M	2229
Bega Valley (A)	2006	15-19	F	1003
Bega Valley (A)	2006	15-19	M	1074
Bega Valley (A)	2006	20-24	F	514
Bega Valley (A)	2006	20-24	M	576
Bega Valley (A)	2006	25-34	F	1218
Bega Valley (A)	2006	25-34	M	1107
Bega Valley (A)	2006	35-44	F	2104
Bega Valley (A)	2006	35-44	M	1845
Bega Valley (A)	2006	45-54	F	2654
Bega Valley (A)	2006	45-54	M	2553
Bega Valley (A)	2006	55-64	F	2304
Bega Valley (A)	2006	55-64	M	2266
Bega Valley (A)	2006	65-74	F	1575
Bega Valley (A)	2006	65-74	M	1646
Bega Valley (A)	2006	75-84	F	1033
Bega Valley (A)	2006	75-84	M	922
Bega Valley (A)	2006	85+	F	377
Bega Valley (A)	2006	85+	M	232
Bega Valley (A)	2011	0-4	F	827
Bega Valley (A)	2011	0-4	M	857
Bega Valley (A)	2011	5-14	F	1913
Bega Valley (A)	2011	5-14	M	1992
Bega Valley (A)	2011	15-19	F	1010
Bega Valley (A)	2011	15-19	M	1049
Bega Valley (A)	2011	20-24	F	507
Bega Valley (A)	2011	20-24	M	589
Bega Valley (A)	2011	25-34	F	1240
Bega Valley (A)	2011	25-34	M	1086
Bega Valley (A)	2011	35-44	F	1847
Bega Valley (A)	2011	35-44	M	1648
Bega Valley (A)	2011	45-54	F	2667
Bega Valley (A)	2011	45-54	M	2364
Bega Valley (A)	2011	55-64	F	2740
Bega Valley (A)	2011	55-64	M	2775
Bega Valley (A)	2011	65-74	F	1898
Bega Valley (A)	2011	65-74	M	1997
Bega Valley (A)	2011	75-84	F	1121
Bega Valley (A)	2011	75-84	M	1013
Bega Valley (A)	2011	85+	F	498
Bega Valley (A)	2011	85+	M	309
Bega Valley (A)	2016	0-4	F	718
Bega Valley (A)	2016	0-4	M	757
Bega Valley (A)	2016	5-14	F	1844
Bega Valley (A)	2016	5-14	M	1944
Bega Valley (A)	2016	15-19	F	879
Bega Valley (A)	2016	15-19	M	915
Bega Valley (A)	2016	20-24	F	569
Bega Valley (A)	2016	20-24	M	622
Bega Valley (A)	2016	25-34	F	1287
Bega Valley (A)	2016	25-34	M	1194
Bega Valley (A)	2016	35-44	F	1660
Bega Valley (A)	2016	35-44	M	1459
Bega Valley (A)	2016	45-54	F	2450
Bega Valley (A)	2016	45-54	M	2201
Bega Valley (A)	2016	55-64	F	3174
Bega Valley (A)	2016	55-64	M	2988
Bega Valley (A)	2016	65-74	F	2504
Bega Valley (A)	2016	65-74	M	2561
Bega Valley (A)	2016	75-84	F	1298
Bega Valley (A)	2016	75-84	M	1243
Bega Valley (A)	2016	85+	F	621
Bega Valley (A)	2016	85+	M	373
Bellingen (A)	2006	0-4	F	326
Bellingen (A)	2006	0-4	M	304
Bellingen (A)	2006	5-14	F	914
Bellingen (A)	2006	5-14	M	960
Bellingen (A)	2006	15-19	F	405
Bellingen (A)	2006	15-19	M	422
Bellingen (A)	2006	20-24	F	175
Bellingen (A)	2006	20-24	M	210
Bellingen (A)	2006	25-34	F	456
Bellingen (A)	2006	25-34	M	400
Bellingen (A)	2006	35-44	F	923
Bellingen (A)	2006	35-44	M	745
Bellingen (A)	2006	45-54	F	1112
Bellingen (A)	2006	45-54	M	1051
Bellingen (A)	2006	55-64	F	857
Bellingen (A)	2006	55-64	M	876
Bellingen (A)	2006	65-74	F	618
Bellingen (A)	2006	65-74	M	609
Bellingen (A)	2006	75-84	F	397
Bellingen (A)	2006	75-84	M	368
Bellingen (A)	2006	85+	F	173
Bellingen (A)	2006	85+	M	108
Bellingen (A)	2011	0-4	F	332
Bellingen (A)	2011	0-4	M	364
Bellingen (A)	2011	5-14	F	853
Bellingen (A)	2011	5-14	M	905
Bellingen (A)	2011	15-19	F	405
Bellingen (A)	2011	15-19	M	402
Bellingen (A)	2011	20-24	F	213
Bellingen (A)	2011	20-24	M	206
Bellingen (A)	2011	25-34	F	439
Bellingen (A)	2011	25-34	M	412
Bellingen (A)	2011	35-44	F	824
Bellingen (A)	2011	35-44	M	659
Bellingen (A)	2011	45-54	F	1101
Bellingen (A)	2011	45-54	M	953
Bellingen (A)	2011	55-64	F	971
Bellingen (A)	2011	55-64	M	1006
Bellingen (A)	2011	65-74	F	707
Bellingen (A)	2011	65-74	M	670
Bellingen (A)	2011	75-84	F	413
Bellingen (A)	2011	75-84	M	380
Bellingen (A)	2011	85+	F	189
Bellingen (A)	2011	85+	M	127
Bellingen (A)	2016	0-4	F	304
Bellingen (A)	2016	0-4	M	303
Bellingen (A)	2016	5-14	F	801
Bellingen (A)	2016	5-14	M	791
Bellingen (A)	2016	15-19	F	335
Bellingen (A)	2016	15-19	M	387
Bellingen (A)	2016	20-24	F	188
Bellingen (A)	2016	20-24	M	201
Bellingen (A)	2016	25-34	F	488
Bellingen (A)	2016	25-34	M	465
Bellingen (A)	2016	35-44	F	696
Bellingen (A)	2016	35-44	M	627
Bellingen (A)	2016	45-54	F	1002
Bellingen (A)	2016	45-54	M	825
Bellingen (A)	2016	55-64	F	1161
Bellingen (A)	2016	55-64	M	1081
Bellingen (A)	2016	65-74	F	857
Bellingen (A)	2016	65-74	M	864
Bellingen (A)	2016	75-84	F	477
Bellingen (A)	2016	75-84	M	443
Bellingen (A)	2016	85+	F	233
Bellingen (A)	2016	85+	M	135
Berrigan (A)	2006	0-4	F	197
Berrigan (A)	2006	0-4	M	239
Berrigan (A)	2006	5-14	F	543
Berrigan (A)	2006	5-14	M	575
Berrigan (A)	2006	15-19	F	216
Berrigan (A)	2006	15-19	M	261
Berrigan (A)	2006	20-24	F	137
Berrigan (A)	2006	20-24	M	152
Berrigan (A)	2006	25-34	F	379
Berrigan (A)	2006	25-34	M	350
Berrigan (A)	2006	35-44	F	467
Berrigan (A)	2006	35-44	M	433
Berrigan (A)	2006	45-54	F	579
Berrigan (A)	2006	45-54	M	584
Berrigan (A)	2006	55-64	F	565
Berrigan (A)	2006	55-64	M	583
Berrigan (A)	2006	65-74	F	459
Berrigan (A)	2006	65-74	M	463
Berrigan (A)	2006	75-84	F	314
Berrigan (A)	2006	75-84	M	301
Berrigan (A)	2006	85+	F	138
Berrigan (A)	2006	85+	M	68
Berrigan (A)	2011	0-4	F	229
Berrigan (A)	2011	0-4	M	214
Berrigan (A)	2011	5-14	F	466
Berrigan (A)	2011	5-14	M	491
Berrigan (A)	2011	15-19	F	217
Berrigan (A)	2011	15-19	M	308
Berrigan (A)	2011	20-24	F	135
Berrigan (A)	2011	20-24	M	142
Berrigan (A)	2011	25-34	F	354
Berrigan (A)	2011	25-34	M	304
Berrigan (A)	2011	35-44	F	442
Berrigan (A)	2011	35-44	M	409
Berrigan (A)	2011	45-54	F	557
Berrigan (A)	2011	45-54	M	494
Berrigan (A)	2011	55-64	F	612
Berrigan (A)	2011	55-64	M	666
Berrigan (A)	2011	65-74	F	576
Berrigan (A)	2011	65-74	M	544
Berrigan (A)	2011	75-84	F	320
Berrigan (A)	2011	75-84	M	333
Berrigan (A)	2011	85+	F	161
Berrigan (A)	2011	85+	M	97
Berrigan (A)	2016	0-4	F	219
Berrigan (A)	2016	0-4	M	249
Berrigan (A)	2016	5-14	F	482
Berrigan (A)	2016	5-14	M	495
Berrigan (A)	2016	15-19	F	198
Berrigan (A)	2016	15-19	M	223
Berrigan (A)	2016	20-24	F	155
Berrigan (A)	2016	20-24	M	185
Berrigan (A)	2016	25-34	F	377
Berrigan (A)	2016	25-34	M	373
Berrigan (A)	2016	35-44	F	447
Berrigan (A)	2016	35-44	M	399
Berrigan (A)	2016	45-54	F	490
Berrigan (A)	2016	45-54	M	447
Berrigan (A)	2016	55-64	F	664
Berrigan (A)	2016	55-64	M	645
Berrigan (A)	2016	65-74	F	662
Berrigan (A)	2016	65-74	M	713
Berrigan (A)	2016	75-84	F	360
Berrigan (A)	2016	75-84	M	381
Berrigan (A)	2016	85+	F	182
Berrigan (A)	2016	85+	M	133
Blacktown (C)	2006	0-4	F	10796
Blacktown (C)	2006	0-4	M	11614
Blacktown (C)	2006	5-14	F	21531
Blacktown (C)	2006	5-14	M	22880
Blacktown (C)	2006	15-19	F	9739
Blacktown (C)	2006	15-19	M	10425
Blacktown (C)	2006	20-24	F	9737
Blacktown (C)	2006	20-24	M	9767
Blacktown (C)	2006	25-34	F	21554
Blacktown (C)	2006	25-34	M	20034
Blacktown (C)	2006	35-44	F	20880
Blacktown (C)	2006	35-44	M	20483
Blacktown (C)	2006	45-54	F	17779
Blacktown (C)	2006	45-54	M	17302
Blacktown (C)	2006	55-64	F	12421
Blacktown (C)	2006	55-64	M	12532
Blacktown (C)	2006	65-74	F	6812
Blacktown (C)	2006	65-74	M	6155
Blacktown (C)	2006	75-84	F	4220
Blacktown (C)	2006	75-84	M	3107
Blacktown (C)	2006	85+	F	1366
Blacktown (C)	2006	85+	M	577
Blacktown (C)	2011	0-4	F	12292
Blacktown (C)	2011	0-4	M	13122
Blacktown (C)	2011	5-14	F	22131
Blacktown (C)	2011	5-14	M	23917
Blacktown (C)	2011	15-19	F	10659
Blacktown (C)	2011	15-19	M	11140
Blacktown (C)	2011	20-24	F	10093
Blacktown (C)	2011	20-24	M	10481
Blacktown (C)	2011	25-34	F	23995
Blacktown (C)	2011	25-34	M	22568
Blacktown (C)	2011	35-44	F	22887
Blacktown (C)	2011	35-44	M	22248
Blacktown (C)	2011	45-54	F	19564
Blacktown (C)	2011	45-54	M	19237
Blacktown (C)	2011	55-64	F	15133
Blacktown (C)	2011	55-64	M	14544
Blacktown (C)	2011	65-74	F	8168
Blacktown (C)	2011	65-74	M	7898
Blacktown (C)	2011	75-84	F	4712
Blacktown (C)	2011	75-84	M	3550
Blacktown (C)	2011	85+	F	1926
Blacktown (C)	2011	85+	M	849
Blacktown (C)	2016	0-4	F	13245
Blacktown (C)	2016	0-4	M	13683
Blacktown (C)	2016	5-14	F	24010
Blacktown (C)	2016	5-14	M	25722
Blacktown (C)	2016	15-19	F	11229
Blacktown (C)	2016	15-19	M	12066
Blacktown (C)	2016	20-24	F	11060
Blacktown (C)	2016	20-24	M	11776
Blacktown (C)	2016	25-34	F	26964
Blacktown (C)	2016	25-34	M	25280
Blacktown (C)	2016	35-44	F	25591
Blacktown (C)	2016	35-44	M	25814
Blacktown (C)	2016	45-54	F	21208
Blacktown (C)	2016	45-54	M	20854
Blacktown (C)	2016	55-64	F	17289
Blacktown (C)	2016	55-64	M	16412
Blacktown (C)	2016	65-74	F	11152
Blacktown (C)	2016	65-74	M	10388
Blacktown (C)	2016	75-84	F	5348
Blacktown (C)	2016	75-84	M	4330
Blacktown (C)	2016	85+	F	2303
Blacktown (C)	2016	85+	M	1248
Bland (A)	2006	0-4	F	218
Bland (A)	2006	0-4	M	199
Bland (A)	2006	5-14	F	486
Bland (A)	2006	5-14	M	461
Bland (A)	2006	15-19	F	184
Bland (A)	2006	15-19	M	188
Bland (A)	2006	20-24	F	129
Bland (A)	2006	20-24	M	141
Bland (A)	2006	25-34	F	313
Bland (A)	2006	25-34	M	344
Bland (A)	2006	35-44	F	378
Bland (A)	2006	35-44	M	392
Bland (A)	2006	45-54	F	411
Bland (A)	2006	45-54	M	462
Bland (A)	2006	55-64	F	344
Bland (A)	2006	55-64	M	386
Bland (A)	2006	65-74	F	287
Bland (A)	2006	65-74	M	274
Bland (A)	2006	75-84	F	227
Bland (A)	2006	75-84	M	178
Bland (A)	2006	85+	F	73
Bland (A)	2006	85+	M	35
Bland (A)	2011	0-4	F	227
Bland (A)	2011	0-4	M	233
Bland (A)	2011	5-14	F	437
Bland (A)	2011	5-14	M	394
Bland (A)	2011	15-19	F	183
Bland (A)	2011	15-19	M	170
Bland (A)	2011	20-24	F	109
Bland (A)	2011	20-24	M	132
Bland (A)	2011	25-34	F	284
Bland (A)	2011	25-34	M	293
Bland (A)	2011	35-44	F	356
Bland (A)	2011	35-44	M	344
Bland (A)	2011	45-54	F	383
Bland (A)	2011	45-54	M	442
Bland (A)	2011	55-64	F	369
Bland (A)	2011	55-64	M	391
Bland (A)	2011	65-74	F	287
Bland (A)	2011	65-74	M	272
Bland (A)	2011	75-84	F	217
Bland (A)	2011	75-84	M	195
Bland (A)	2011	85+	F	102
Bland (A)	2011	85+	M	47
Bland (A)	2016	0-4	F	184
Bland (A)	2016	0-4	M	167
Bland (A)	2016	5-14	F	441
Bland (A)	2016	5-14	M	435
Bland (A)	2016	15-19	F	169
Bland (A)	2016	15-19	M	167
Bland (A)	2016	20-24	F	121
Bland (A)	2016	20-24	M	143
Bland (A)	2016	25-34	F	292
Bland (A)	2016	25-34	M	297
Bland (A)	2016	35-44	F	340
Bland (A)	2016	35-44	M	341
Bland (A)	2016	45-54	F	355
Bland (A)	2016	45-54	M	358
Bland (A)	2016	55-64	F	405
Bland (A)	2016	55-64	M	452
Bland (A)	2016	65-74	F	300
Bland (A)	2016	65-74	M	331
Bland (A)	2016	75-84	F	242
Bland (A)	2016	75-84	M	204
Bland (A)	2016	85+	F	135
Bland (A)	2016	85+	M	76
Blayney (A)	2006	0-4	F	228
Blayney (A)	2006	0-4	M	231
Blayney (A)	2006	5-14	F	496
Blayney (A)	2006	5-14	M	522
Blayney (A)	2006	15-19	F	214
Blayney (A)	2006	15-19	M	242
Blayney (A)	2006	20-24	F	141
Blayney (A)	2006	20-24	M	137
Blayney (A)	2006	25-34	F	336
Blayney (A)	2006	25-34	M	289
Blayney (A)	2006	35-44	F	499
Blayney (A)	2006	35-44	M	475
Blayney (A)	2006	45-54	F	444
Blayney (A)	2006	45-54	M	507
Blayney (A)	2006	55-64	F	397
Blayney (A)	2006	55-64	M	421
Blayney (A)	2006	65-74	F	304
Blayney (A)	2006	65-74	M	293
Blayney (A)	2006	75-84	F	177
Blayney (A)	2006	75-84	M	159
Blayney (A)	2006	85+	F	61
Blayney (A)	2006	85+	M	16
Blayney (A)	2011	0-4	F	229
Blayney (A)	2011	0-4	M	282
Blayney (A)	2011	5-14	F	535
