LGA_NAME16	Year	Sex	persons
Coffs Harbour (C)	2011	M	33201
Coffs Harbour (C)	2016	F	37629
Coffs Harbour (C)	2016	M	35319
Coolamon (A)	2006	F	2035
Coolamon (A)	2006	M	1990
Coolamon (A)	2011	F	2092
Coolamon (A)	2011	M	2004
Coolamon (A)	2016	F	2156
Coolamon (A)	2016	M	2160
Coonamble (A)	2006	F	2105
Coonamble (A)	2006	M	2106
Coonamble (A)	2011	F	2000
Coonamble (A)	2011	M	2029
Coonamble (A)	2016	F	1970
Coonamble (A)	2016	M	1947
Cowra (A)	2006	F	6277
Cowra (A)	2006	M	6206
Cowra (A)	2011	F	6092
Cowra (A)	2011	M	6055
Cowra (A)	2016	F	6308
Cowra (A)	2016	M	6157
Cumberland (A)	2006	F	86961
Cumberland (A)	2006	M	87159
Cumberland (A)	2011	F	96168
Cumberland (A)	2011	M	97061
Cumberland (A)	2016	F	105000
Cumberland (A)	2016	M	111080
Dungog (A)	2006	F	4024
Dungog (A)	2006	M	4036
Dungog (A)	2011	F	4131
Dungog (A)	2011	M	4189
Dungog (A)	2016	F	4479
Dungog (A)	2016	M	4497
Edward River (A)	2006	F	4585
Edward River (A)	2006	M	4524
Edward River (A)	2011	F	4395
Edward River (A)	2011	M	4266
Edward River (A)	2016	F	4492
Edward River (A)	2016	M	4353
Eurobodalla (A)	2006	F	17849
Eurobodalla (A)	2006	M	17167
Eurobodalla (A)	2011	F	18165
Eurobodalla (A)	2011	M	17580
Eurobodalla (A)	2016	F	18955
Eurobodalla (A)	2016	M	18270
Fairfield (C)	2006	F	90934
Fairfield (C)	2006	M	88961
Fairfield (C)	2011	F	95245
Fairfield (C)	2011	M	92521
Fairfield (C)	2016	F	100855
Fairfield (C)	2016	M	97959
Federation (A)	2006	F	6081
Federation (A)	2006	M	6154
Federation (A)	2011	F	6067
Federation (A)	2011	M	6087
Federation (A)	2016	F	6174
Federation (A)	2016	M	6102
Forbes (A)	2006	F	4720
Forbes (A)	2006	M	4644
Forbes (A)	2011	F	4623
Forbes (A)	2011	M	4549
Forbes (A)	2016	F	4784
Forbes (A)	2016	M	4806
Georges River (A)	2006	F	64956
Georges River (A)	2006	M	61305
Georges River (A)	2011	F	69185
Georges River (A)	2011	M	65476
Georges River (A)	2016	F	75086
Georges River (A)	2016	M	71755
Gilgandra (A)	2006	F	2323
Gilgandra (A)	2006	M	2197
Gilgandra (A)	2011	F	2262
Gilgandra (A)	2011	M	2106
Gilgandra (A)	2016	F	2142
Gilgandra (A)	2016	M	2089
Glen Innes Severn (A)	2006	F	4451
Glen Innes Severn (A)	2006	M	4333
Glen Innes Severn (A)	2011	F	4372
Glen Innes Severn (A)	2011	M	4286
Glen Innes Severn (A)	2016	F	4453
Glen Innes Severn (A)	2016	M	4380
Goulburn Mulwaree (A)	2006	F	12888
Goulburn Mulwaree (A)	2006	M	13197
Goulburn Mulwaree (A)	2011	F	13601
Goulburn Mulwaree (A)	2011	M	13881
Goulburn Mulwaree (A)	2016	F	14631
Goulburn Mulwaree (A)	2016	M	14982
Greater Hume Shire (A)	2006	F	4802
Greater Hume Shire (A)	2006	M	4926
Greater Hume Shire (A)	2011	F	4855
Greater Hume Shire (A)	2011	M	4957
Greater Hume Shire (A)	2016	F	5170
Greater Hume Shire (A)	2016	M	5187
Griffith (C)	2006	F	11899
Griffith (C)	2006	M	11903
Griffith (C)	2011	F	12129
Griffith (C)	2011	M	12236
Griffith (C)	2016	F	12847
Griffith (C)	2016	M	12795
Gundagai (A)	2006	F	5640
Gundagai (A)	2006	M	5369
Gundagai (A)	2011	F	5574
Gundagai (A)	2011	M	5423
Gundagai (A)	2016	F	5624
Gundagai (A)	2016	M	5514
Gunnedah (A)	2006	F	5783
Gunnedah (A)	2006	M	5748
Gunnedah (A)	2011	F	6034
Gunnedah (A)	2011	M	6033
Gunnedah (A)	2016	F	6107
Gunnedah (A)	2016	M	6105
Gwydir (A)	2006	F	2614
Gwydir (A)	2006	M	2697
Gwydir (A)	2011	F	2453
Gwydir (A)	2011	M	2512
Gwydir (A)	2016	F	2592
Gwydir (A)	2016	M	2657
Hawkesbury (C)	2006	F	30419
Hawkesbury (C)	2006	M	30141
Hawkesbury (C)	2011	F	31297
Hawkesbury (C)	2011	M	31056
Hawkesbury (C)	2016	F	32635
Hawkesbury (C)	2016	M	31952
Hay (A)	2006	F	1678
Hay (A)	2006	M	1701
Hay (A)	2011	F	1476
Hay (A)	2011	M	1476
Hay (A)	2016	F	1461
Hay (A)	2016	M	1480
Hilltops (A)	2006	F	9039
Hilltops (A)	2006	M	8821
Hilltops (A)	2011	F	9261
Hilltops (A)	2011	M	8949
Hilltops (A)	2016	F	9402
Hilltops (A)	2016	M	9088
Hornsby (A)	2006	F	68093
Hornsby (A)	2006	M	64159
Hornsby (A)	2011	F	70370
Hornsby (A)	2011	M	66869
Hornsby (A)	2016	F	73027
Hornsby (A)	2016	M	69634
Hunters Hill (A)	2006	F	6628
Hunters Hill (A)	2006	M	6619
Hunters Hill (A)	2011	F	6677
Hunters Hill (A)	2011	M	6537
Hunters Hill (A)	2016	F	7016
Hunters Hill (A)	2016	M	6987
Inner West (A)	2006	F	82040
Inner West (A)	2006	M	78220
Inner West (A)	2011	F	87319
Inner West (A)	2011	M	82596
Inner West (A)	2016	F	93302
Inner West (A)	2016	M	88736
Inverell (A)	2006	F	7858
Inverell (A)	2006	M	7649
Inverell (A)	2011	F	8176
Inverell (A)	2011	M	7897
Inverell (A)	2016	F	8423
Inverell (A)	2016	M	8061
Junee (A)	2006	F	2496
Junee (A)	2006	M	3284
Junee (A)	2011	F	2539
Junee (A)	2011	M	3338
Junee (A)	2016	F	2720
Junee (A)	2016	M	3574
Kempsey (A)	2006	F	13601
Kempsey (A)	2006	M	13785
Kempsey (A)	2011	F	14022
Kempsey (A)	2011	M	14111
Kempsey (A)	2016	F	14439
Kempsey (A)	2016	M	14447
Kiama (A)	2006	F	9685
Kiama (A)	2006	M	9296
Kiama (A)	2011	F	10196
Kiama (A)	2011	M	9792
Kiama (A)	2016	F	10936
Kiama (A)	2016	M	10528
Ku-ring-gai (A)	2006	F	52676
Ku-ring-gai (A)	2006	M	48403
Ku-ring-gai (A)	2011	F	57036
Ku-ring-gai (A)	2011	M	52257
Ku-ring-gai (A)	2016	F	61394
Ku-ring-gai (A)	2016	M	56657
Kyogle (A)	2006	F	4599
Kyogle (A)	2006	M	4663
Kyogle (A)	2011	F	4586
Kyogle (A)	2011	M	4642
Kyogle (A)	2016	F	4411
Kyogle (A)	2016	M	4529
Lachlan (A)	2006	F	3338
Lachlan (A)	2006	M	3335
Lachlan (A)	2011	F	3228
Lachlan (A)	2011	M	3246
Lachlan (A)	2016	F	3099
Lachlan (A)	2016	M	3100
Lake Macquarie (C)	2006	F	93501
Lake Macquarie (C)	2006	M	89637
Lake Macquarie (C)	2011	F	96696
Lake Macquarie (C)	2011	M	92311
Lake Macquarie (C)	2016	F	101077
Lake Macquarie (C)	2016	M	96294
Lane Cove (A)	2006	F	15542
Lane Cove (A)	2006	M	14884
Lane Cove (A)	2011	F	16252
Lane Cove (A)	2011	M	15258
Lane Cove (A)	2016	F	18313
Lane Cove (A)	2016	M	17733
Leeton (A)	2006	F	5476
Leeton (A)	2006	M	5631
Leeton (A)	2011	F	5598
Leeton (A)	2011	M	5436
Leeton (A)	2016	F	5633
Leeton (A)	2016	M	5530
Lismore (C)	2006	F	21667
Lismore (C)	2006	M	20543
Lismore (C)	2011	F	21864
Lismore (C)	2011	M	20906
Lismore (C)	2016	F	22160
Lismore (C)	2016	M	20975
Lithgow (C)	2006	F	9739
Lithgow (C)	2006	M	10021
Lithgow (C)	2011	F	9869
Lithgow (C)	2011	M	10289
Lithgow (C)	2016	F	10401
Lithgow (C)	2016	M	10689
Liverpool (C)	2006	F	82728
Liverpool (C)	2006	M	81878
Liverpool (C)	2011	F	90823
Liverpool (C)	2011	M	89326
Liverpool (C)	2016	F	102975
Liverpool (C)	2016	M	101351
Liverpool Plains (A)	2006	F	3776
Liverpool Plains (A)	2006	M	3759
Liverpool Plains (A)	2011	F	3710
Liverpool Plains (A)	2011	M	3771
Liverpool Plains (A)	2016	F	3815
Liverpool Plains (A)	2016	M	3870
Lockhart (A)	2006	F	1559
Lockhart (A)	2006	M	1626
Lockhart (A)	2011	F	1474
Lockhart (A)	2011	M	1527
Lockhart (A)	2016	F	1579
Lockhart (A)	2016	M	1537
Maitland (C)	2006	F	31629
Maitland (C)	2006	M	30252
Maitland (C)	2011	F	34473
Maitland (C)	2011	M	33004
Maitland (C)	2016	F	39571
Maitland (C)	2016	M	37736
Mid-Coast (A)	2006	F	42194
Mid-Coast (A)	2006	M	40521
Mid-Coast (A)	2011	F	43902
Mid-Coast (A)	2011	M	41945
Mid-Coast (A)	2016	F	46215
Mid-Coast (A)	2016	M	44091
Mid-Western Regional (A)	2006	F	10528
Mid-Western Regional (A)	2006	M	10557
Mid-Western Regional (A)	2011	F	11033
Mid-Western Regional (A)	2011	M	11283
Mid-Western Regional (A)	2016	F	11975
Mid-Western Regional (A)	2016	M	12099
Moree Plains (A)	2006	F	6798
Moree Plains (A)	2006	M	7179
Moree Plains (A)	2011	F	6602
Moree Plains (A)	2011	M	6829
Moree Plains (A)	2016	F	6520
Moree Plains (A)	2016	M	6636
Mosman (A)	2006	F	14234
Mosman (A)	2006	M	12001
Mosman (A)	2011	F	14633
Mosman (A)	2011	M	12820
Mosman (A)	2016	F	15290
Mosman (A)	2016	M	13189
Murray River (A)	2006	F	5306
Murray River (A)	2006	M	5471
Murray River (A)	2011	F	5398
Murray River (A)	2011	M	5521
Murray River (A)	2016	F	5881
Murray River (A)	2016	M	5795
Murrumbidgee (A)	2006	F	1976
Murrumbidgee (A)	2006	M	2166
Murrumbidgee (A)	2011	F	1761
Murrumbidgee (A)	2011	M	1996
Murrumbidgee (A)	2016	F	1812
Murrumbidgee (A)	2016	M	2026
Muswellbrook (A)	2006	F	7424
Muswellbrook (A)	2006	M	7811
Muswellbrook (A)	2011	F	7626
Muswellbrook (A)	2011	M	8162
Muswellbrook (A)	2016	F	7837
Muswellbrook (A)	2016	M	8243
Nambucca (A)	2006	F	9116
Nambucca (A)	2006	M	8780
Nambucca (A)	2011	F	9551
Nambucca (A)	2011	M	9093
Nambucca (A)	2016	F	9794
Nambucca (A)	2016	M	9421
Narrabri (A)	2006	F	6524
Narrabri (A)	2006	M	6593
Narrabri (A)	2011	F	6445
Narrabri (A)	2011	M	6477
Narrabri (A)	2016	F	6559
Narrabri (A)	2016	M	6528
Narrandera (A)	2006	F	3036
Narrandera (A)	2006	M	2979
Narrandera (A)	2011	F	2985
Narrandera (A)	2011	M	2920
Narrandera (A)	2016	F	2953
Narrandera (A)	2016	M	2901
Narromine (A)	2006	F	3271
Narromine (A)	2006	M	3235
Narromine (A)	2011	F	3293
Narromine (A)	2011	M	3293
Narromine (A)	2016	F	3226
Narromine (A)	2016	M	3214
Newcastle (C)	2006	F	72602
Newcastle (C)	2006	M	69150
Newcastle (C)	2011	F	75384
Newcastle (C)	2011	M	73152
Newcastle (C)	2016	F	78766
Newcastle (C)	2016	M	76642
North Sydney (A)	2006	F	30543
North Sydney (A)	2006	M	27713
North Sydney (A)	2011	F	32621
North Sydney (A)	2011	M	29666
North Sydney (A)	2016	F	35744
North Sydney (A)	2016	M	31910
Northern Beaches (A)	2006	F	114744
Northern Beaches (A)	2006	M	110356
Northern Beaches (A)	2011	F	121213
Northern Beaches (A)	2011	M	116427
Northern Beaches (A)	2016	F	129370
Northern Beaches (A)	2016	M	123507
Oberon (A)	2006	F	2398
Oberon (A)	2006	M	2636
Oberon (A)	2011	F	2381
Oberon (A)	2011	M	2657
Oberon (A)	2016	F	2543
Oberon (A)	2016	M	2751
Orange (C)	2006	F	18208
Orange (C)	2006	M	17130
Orange (C)	2011	F	19477
Orange (C)	2011	M	18580
Orange (C)	2016	F	20728
Orange (C)	2016	M	19615
Parkes (A)	2006	F	7178
Parkes (A)	2006	M	7105
Parkes (A)	2011	F	7399
Parkes (A)	2011	M	7193
Parkes (A)	2016	F	7416
Parkes (A)	2016	M	7190
Parramatta (C)	2006	F	86924
Parramatta (C)	2006	M	87811
Parramatta (C)	2011	F	96735
Parramatta (C)	2011	M	97285
Parramatta (C)	2016	F	112996
Parramatta (C)	2016	M	113158
Penrith (C)	2006	F	86874
Penrith (C)	2006	M	85268
Penrith (C)	2011	F	90380
Penrith (C)	2011	M	88090
Penrith (C)	2016	F	99243
Penrith (C)	2016	M	96822
Port Macquarie-Hastings (A)	2006	F	35518
Port Macquarie-Hastings (A)	2006	M	32915
Port Macquarie-Hastings (A)	2011	F	37760
Port Macquarie-Hastings (A)	2011	M	34934
Port Macquarie-Hastings (A)	2016	F	40846
Port Macquarie-Hastings (A)	2016	M	37697
Port Stephens (A)	2006	F	30617
Port Stephens (A)	2006	M	29871
Port Stephens (A)	2011	F	32899
Port Stephens (A)	2011	M	31906
Port Stephens (A)	2016	F	35174
Port Stephens (A)	2016	M	34384
Queanbeyan-Palerang Regional (A)	2006	F	24128
Queanbeyan-Palerang Regional (A)	2006	M	24162
Queanbeyan-Palerang Regional (A)	2011	F	26114
Queanbeyan-Palerang Regional (A)	2011	M	26227
Queanbeyan-Palerang Regional (A)	2016	F	27899
Queanbeyan-Palerang Regional (A)	2016	M	28133
Randwick (C)	2006	F	60738
Randwick (C)	2006	M	59147
Randwick (C)	2011	F	65625
Randwick (C)	2011	M	63369
Randwick (C)	2016	F	71482
Randwick (C)	2016	M	69179
Richmond Valley (A)	2006	F	10804
Richmond Valley (A)	2006	M	10508
Richmond Valley (A)	2011	F	11131
Richmond Valley (A)	2011	M	10903
Richmond Valley (A)	2016	F	11489
Richmond Valley (A)	2016	M	11318
Rockdale (C)	2006	F	46667
Rockdale (C)	2006	M	45459
Rockdale (C)	2011	F	49234
Rockdale (C)	2011	M	48109
Rockdale (C)	2016	F	55325
Rockdale (C)	2016	M	54079
Ryde (C)	2006	F	50174
Ryde (C)	2006	M	46776
Ryde (C)	2011	F	52976
Ryde (C)	2011	M	50058
Ryde (C)	2016	F	59791
Ryde (C)	2016	M	56509
Shellharbour (C)	2006	F	30716
Shellharbour (C)	2006	M	29619
Shellharbour (C)	2011	F	32448
Shellharbour (C)	2011	M	31159
Shellharbour (C)	2016	F	35015
Shellharbour (C)	2016	M	33444
Shoalhaven (C)	2006	F	44945
Shoalhaven (C)	2006	M	43461
Shoalhaven (C)	2011	F	47100
Shoalhaven (C)	2011	M	45712
Shoalhaven (C)	2016	F	50364
Shoalhaven (C)	2016	M	49284
Singleton (A)	2006	F	10711
Singleton (A)	2006	M	11225
Singleton (A)	2011	F	11046
Singleton (A)	2011	M	11648
Singleton (A)	2016	F	11288
Singleton (A)	2016	M	11701
Snowy Monaro Regional (A)	2006	F	9441
Snowy Monaro Regional (A)	2006	M	10008
Snowy Monaro Regional (A)	2011	F	9557
Snowy Monaro Regional (A)	2011	M	10132
Snowy Monaro Regional (A)	2016	F	9756
Snowy Monaro Regional (A)	2016	M	10461
Snowy Valleys (A)	2006	F	7016
Snowy Valleys (A)	2006	M	7316
Snowy Valleys (A)	2011	F	6978
Snowy Valleys (A)	2011	M	7312
Snowy Valleys (A)	2016	F	7119
Snowy Valleys (A)	2016	M	7278
Strathfield (A)	2006	F	16124
Strathfield (A)	2006	M	15856
Strathfield (A)	2011	F	17530
Strathfield (A)	2011	M	17660
Strathfield (A)	2016	F	19874
Strathfield (A)	2016	M	20434
Sutherland Shire (A)	2006	F	104581
Sutherland Shire (A)	2006	M	100866
Sutherland Shire (A)	2011	F	107698
Sutherland Shire (A)	2011	M	103168
Sutherland Shire (A)	2016	F	111750
Sutherland Shire (A)	2016	M	106713
Sydney (C)	2006	F	73202
Sydney (C)	2006	M	83372
Sydney (C)	2011	F	79939
Sydney (C)	2011	M	89566
Sydney (C)	2016	F	100530
Sydney (C)	2016	M	107852
Tamworth Regional (A)	2006	F	27489
Tamworth Regional (A)	2006	M	26104
Tamworth Regional (A)	2011	F	28769
Tamworth Regional (A)	2011	M	27523
Tamworth Regional (A)	2016	F	30581
Tamworth Regional (A)	2016	M	29077
Temora (A)	2006	F	2949
Temora (A)	2006	M	2909
Temora (A)	2011	F	2903
Temora (A)	2011	M	2873
Temora (A)	2016	F	3073
Temora (A)	2016	M	3036
Tenterfield (A)	2006	F	3266
Tenterfield (A)	2006	M	3271
Tenterfield (A)	2011	F	3422
Tenterfield (A)	2011	M	3391
Tenterfield (A)	2016	F	3375
Tenterfield (A)	2016	M	3253
The Hills Shire (A)	2006	F	67139
The Hills Shire (A)	2006	M	65519
The Hills Shire (A)	2011	F	71863
The Hills Shire (A)	2011	M	70127
The Hills Shire (A)	2016	F	79791
The Hills Shire (A)	2016	M	77451
Tweed (A)	2006	F	40697
Tweed (A)	2006	M	38626
Tweed (A)	2011	F	44091
Tweed (A)	2011	M	41011
Tweed (A)	2016	F	47261
Tweed (A)	2016	M	44109
Upper Hunter Shire (A)	2006	F	6438
Upper Hunter Shire (A)	2006	M	6536
Upper Hunter Shire (A)	2011	F	6892
Upper Hunter Shire (A)	2011	M	6867
Upper Hunter Shire (A)	2016	F	7140
Upper Hunter Shire (A)	2016	M	6970
Upper Lachlan Shire (A)	2006	F	3511
Upper Lachlan Shire (A)	2006	M	3541
Upper Lachlan Shire (A)	2011	F	3590
Upper Lachlan Shire (A)	2011	M	3605
Upper Lachlan Shire (A)	2016	F	3785
Upper Lachlan Shire (A)	2016	M	3917
Uralla (A)	2006	F	2920
Uralla (A)	2006	M	2818
Uralla (A)	2011	F	3055
Uralla (A)	2011	M	2981
Uralla (A)	2016	F	3120
Uralla (A)	2016	M	2926
Wagga Wagga (C)	2006	F	29172
Wagga Wagga (C)	2006	M	27842
Wagga Wagga (C)	2011	F	30478
Wagga Wagga (C)	2011	M	28978
Wagga Wagga (C)	2016	F	31880
Wagga Wagga (C)	2016	M	30504
Walcha (A)	2006	F	1566
Walcha (A)	2006	M	1616
Walcha (A)	2011	F	1516
Walcha (A)	2011	M	1504
Walcha (A)	2016	F	1540
Walcha (A)	2016	M	1551
Walgett (A)	2006	F	3071
Walgett (A)	2006	M	3871
Walgett (A)	2011	F	2966
Walgett (A)	2011	M	3488
Walgett (A)	2016	F	2875
Walgett (A)	2016	M	3235
Warren (A)	2006	F	1348
Warren (A)	2006	M	1397
Warren (A)	2011	F	1370
Warren (A)	2011	M	1386
Warren (A)	2016	F	1366
Warren (A)	2016	M	1366
Warrumbungle Shire (A)	2006	F	4831
Warrumbungle Shire (A)	2006	M	4981
Warrumbungle Shire (A)	2011	F	4784
Warrumbungle Shire (A)	2011	M	4803
Warrumbungle Shire (A)	2016	F	4692
Warrumbungle Shire (A)	2016	M	4689
Waverley (A)	2006	F	30777
Waverley (A)	2006	M	29935
Waverley (A)	2011	F	32227
Waverley (A)	2011	M	31263
Waverley (A)	2016	F	34334
Waverley (A)	2016	M	32485
Weddin (A)	2006	F	1812
Weddin (A)	2006	M	1826
Weddin (A)	2011	F	1805
Weddin (A)	2011	M	1859
Weddin (A)	2016	F	1831
Weddin (A)	2016	M	1834
Wentworth (A)	2006	F	3258
Wentworth (A)	2006	M	3519
Wentworth (A)	2011	F	3175
Wentworth (A)	2011	M	3431
Wentworth (A)	2016	F	3288
Wentworth (A)	2016	M	3512
Western Plains Regional (A)	2006	F	23643
Western Plains Regional (A)	2006	M	22320
Western Plains Regional (A)	2011	F	24145
Western Plains Regional (A)	2011	M	23152
Western Plains Regional (A)	2016	F	25505
Western Plains Regional (A)	2016	M	24566
Willoughby (C)	2006	F	32990
Willoughby (C)	2006	M	30615
Willoughby (C)	2011	F	34893
Willoughby (C)	2011	M	32464
Willoughby (C)	2016	F	38624
Willoughby (C)	2016	M	35686
Wingecarribee (A)	2006	F	21975
Wingecarribee (A)	2006	M	20301
Wingecarribee (A)	2011	F	23124
Wingecarribee (A)	2011	M	21270
Wingecarribee (A)	2016	F	24988
Wingecarribee (A)	2016	M	22894
Wollondilly (A)	2006	F	20036
Wollondilly (A)	2006	M	20309
Wollondilly (A)	2011	F	21648
Wollondilly (A)	2011	M	21607
Wollondilly (A)	2016	F	24314
Wollondilly (A)	2016	M	24207
Wollongong (C)	2006	F	93107
Wollongong (C)	2006	M	91101
Wollongong (C)	2011	F	97169
Wollongong (C)	2011	M	95249
Wollongong (C)	2016	F	103087
Wollongong (C)	2016	M	100542
Woollahra (A)	2006	F	26831
Woollahra (A)	2006	M	23333
Woollahra (A)	2011	F	27595
Woollahra (A)	2011	M	24562
Woollahra (A)	2016	F	29009
Woollahra (A)	2016	M	25232
Yass Valley (A)	2006	F	6622
Yass Valley (A)	2006	M	6508
Yass Valley (A)	2011	F	7570
Yass Valley (A)	2011	M	7450
Yass Valley (A)	2016	F	8209
Yass Valley (A)	2016	M	7931
Unincorporated NSW	2006	F	486
Unincorporated NSW	2006	M	564
Unincorporated NSW	2011	F	495
Unincorporated NSW	2011	M	565
Unincorporated NSW	2016	F	492
Unincorporated NSW	2016	M	569
No usual address (NSW)	2006	F	4248
No usual address (NSW)	2006	M	5924
No usual address (NSW)	2011	F	5327
No usual address (NSW)	2011	M	7593
No usual address (NSW)	2016	F	4939
No usual address (NSW)	2016	M	7351
Migratory - Offshore - Shipping (NSW)	2006	F	17
