LGA_NAME16	Year	medianAgeOfPersons
Flinders (S) (Qld)	2006	36
Fraser Coast (R)	2006	43
Gladstone (R)	2006	34
Gold Coast (C)	2006	37
Goondiwindi (R)	2006	36
Gympie (R)	2006	41
Hinchinbrook (S)	2006	43
Hope Vale (S)	2006	27
Ipswich (C)	2006	33
Isaac (R)	2006	31
Kowanyama (S)	2006	28
Livingstone (S)	2006	40
Lockhart River (S)	2006	25
Lockyer Valley (R)	2006	38
Logan (C)	2006	33
Longreach (R)	2006	34
Mackay (R)	2006	35
McKinlay (S)	2006	35
Mapoon (S)	2006	29
Maranoa (R)	2006	35
Mareeba (S)	2006	40
Moreton Bay (R)	2006	36
Mornington (S)	2006	27
Mount Isa (C)	2006	30
Murweh (S)	2006	36
Napranum (S)	2006	24
Noosa (S)	2006	43
North Burnett (R)	2006	42
Northern Peninsula Area (R)	2006	21
Palm Island (S)	2006	22
Paroo (S)	2006	39
Pormpuraaw (S)	2006	31
Quilpie (S)	2006	38
Redland (C)	2006	38
Richmond (S)	2006	34
Rockhampton (R)	2006	35
Scenic Rim (R)	2006	41
Somerset (R)	2006	41
South Burnett (R)	2006	40
Southern Downs (R)	2006	40
Sunshine Coast (R)	2006	40
Tablelands (R)	2006	42
Toowoomba (R)	2006	36
Torres (S)	2006	26
Torres Strait Island (R)	2006	23
Townsville (C)	2006	33
Weipa (T)	2006	31
Western Downs (R)	2006	37
Whitsunday (R)	2006	37
Winton (S)	2006	40
Woorabinda (S)	2006	20
Wujal Wujal (S)	2006	28
Yarrabah (S)	2006	21
No usual address (Qld)	2006	41
Migratory - Offshore - Shipping (Qld)	2006	44
Adelaide (C)	2006	32
Adelaide Hills (DC)	2006	40
Alexandrina (DC)	2006	45
Anangu Pitjantjatjara (AC)	2006	26
Barossa (DC)	2006	40
Barunga West (DC)	2006	47
Berri and Barmera (DC)	2006	39
Burnside (C)	2006	43
Campbelltown (C) (SA)	2006	40
Ceduna (DC)	2006	35
Charles Sturt (C)	2006	41
Clare and Gilbert Valleys (DC)	2006	42
Cleve (DC)	2006	39
Coober Pedy (DC)	2006	44
Copper Coast (DC)	2006	46
Elliston (DC)	2006	38
Flinders Ranges (DC)	2006	45
Franklin Harbour (DC)	2006	45
Gawler (T)	2006	39
Goyder (DC)	2006	43
Grant (DC)	2006	39
Holdfast Bay (C)	2006	45
Kangaroo Island (DC)	2006	43
Karoonda East Murray (DC)	2006	44
Kimba (DC)	2006	42
Kingston (DC) (SA)	2006	44
Light (RegC)	2006	36
Lower Eyre Peninsula (DC)	2006	40
Loxton Waikerie (DC)	2006	41
Mallala (DC)	2006	37
Maralinga Tjarutja (AC)	2006	33
Marion (C)	2006	40
Mid Murray (DC)	2006	46
Mitcham (C)	2006	40
Mount Barker (DC)	2006	36
Mount Gambier (C)	2006	36
Mount Remarkable (DC)	2006	46
Murray Bridge (RC)	2006	39
Naracoorte and Lucindale (DC)	2006	38
Northern Areas (DC)	2006	43
Norwood Payneham St Peters (C)	2006	39
Onkaparinga (C)	2006	37
Orroroo/Carrieton (DC)	2006	46
Peterborough (DC)	2006	46
Playford (C)	2006	34
Port Adelaide Enfield (C)	2006	38
Port Augusta (C)	2006	36
Port Lincoln (C)	2006	36
Port Pirie City and Dists (M)	2006	40
Prospect (C)	2006	36
Renmark Paringa (DC)	2006	39
Robe (DC)	2006	42
Roxby Downs (M)	2006	29
Salisbury (C)	2006	35
Southern Mallee (DC)	2006	40
Streaky Bay (DC)	2006	41
Tatiara (DC)	2006	37
Tea Tree Gully (C)	2006	37
The Coorong (DC)	2006	40
Tumby Bay (DC)	2006	47
Unley (C)	2006	38
Victor Harbor (C)	2006	54
Wakefield (DC)	2006	41
Walkerville (M)	2006	44
Wattle Range (DC)	2006	39
West Torrens (C)	2006	38
Whyalla (C)	2006	37
Wudinna (DC)	2006	38
Yankalilla (DC)	2006	48
Yorke Peninsula (DC)	2006	49
Unincorporated SA	2006	38
No usual address (SA)	2006	35
Migratory - Offshore - Shipping (SA)	2006	32
Albany (C)	2006	39
Armadale (C)	2006	36
Ashburton (S)	2006	31
Augusta-Margaret River (S)	2006	37
Bassendean (T)	2006	39
Bayswater (C)	2006	38
Belmont (C)	2006	37
Beverley (S)	2006	49
Boddington (S)	2006	39
Boyup Brook (S)	2006	43
Bridgetown-Greenbushes (S)	2006	44
Brookton (S)	2006	42
Broome (S)	2006	32
Broomehill-Tambellup (S)	2006	35
Bruce Rock (S)	2006	43
Bunbury (C)	2006	37
Busselton (C)	2006	38
Cambridge (T)	2006	39
Canning (C)	2006	35
Capel (S)	2006	34
Carnamah (S)	2006	37
Carnarvon (S)	2006	35
Chapman Valley (S)	2006	40
Chittering (S)	2006	40
Claremont (T)	2006	42
Cockburn (C)	2006	34
Collie (S)	2006	37
Coolgardie (S)	2006	30
Coorow (S)	2006	41
Corrigin (S)	2006	40
Cottesloe (T)	2006	40
Cranbrook (S)	2006	39
Cuballing (S)	2006	41
Cue (S)	2006	37
Cunderdin (S)	2006	39
Dalwallinu (S)	2006	36
Dandaragan (S)	2006	41
Dardanup (S)	2006	35
Denmark (S)	2006	44
Derby-West Kimberley (S)	2006	28
Donnybrook-Balingup (S)	2006	41
Dowerin (S)	2006	37
Dumbleyung (S)	2006	40
Dundas (S)	2006	36
East Fremantle (T)	2006	40
East Pilbara (S)	2006	30
Esperance (S)	2006	36
Exmouth (S)	2006	37
Fremantle (C)	2006	41
Gingin (S)	2006	43
Gnowangerup (S)	2006	35
Goomalling (S)	2006	40
Gosnells (C)	2006	33
Greater Geraldton (C)	2006	35
Halls Creek (S)	2006	25
Harvey (S)	2006	36
Irwin (S)	2006	42
Jerramungup (S)	2006	38
Joondalup (C)	2006	36
Kalamunda (S)	2006	37
Kalgoorlie/Boulder (C)	2006	30
Karratha (C)	2006	31
Katanning (S)	2006	35
Kellerberrin (S)	2006	42
Kent (S)	2006	35
Kojonup (S)	2006	39
Kondinin (S)	2006	34
Koorda (S)	2006	43
Kulin (S)	2006	37
Kwinana (C)	2006	33
Lake Grace (S)	2006	38
Laverton (S)	2006	36
Leonora (S)	2006	31
Mandurah (C)	2006	43
Manjimup (S)	2006	39
Meekatharra (S)	2006	32
Melville (C)	2006	40
Menzies (S)	2006	40
Merredin (S)	2006	36
Mingenew (S)	2006	37
Moora (S)	2006	36
Morawa (S)	2006	36
Mosman Park (T)	2006	38
Mount Magnet (S)	2006	36
Mount Marshall (S)	2006	35
Mukinbudin (S)	2006	39
Mundaring (S)	2006	39
Murchison (S)	2006	35
Murray (S)	2006	43
Nannup (S)	2006	46
Narembeen (S)	2006	41
Narrogin (S)	2006	35
Nedlands (C)	2006	40
Ngaanyatjarraku (S)	2006	27
Northam (S)	2006	38
Northampton (S)	2006	43
Nungarin (S)	2006	38
Peppermint Grove (S)	2006	39
Perenjori (S)	2006	38
Perth (C)	2006	34
Pingelly (S)	2006	43
Plantagenet (S)	2006	41
Port Hedland (T)	2006	31
Quairading (S)	2006	44
Ravensthorpe (S)	2006	38
Rockingham (C)	2006	35
Sandstone (S)	2006	48
Serpentine-Jarrahdale (S)	2006	37
Shark Bay (S)	2006	45
South Perth (C)	2006	36
Stirling (C)	2006	37
Subiaco (C)	2006	36
Swan (C)	2006	33
Tammin (S)	2006	38
Three Springs (S)	2006	37
Toodyay (S)	2006	43
Trayning (S)	2006	42
Upper Gascoyne (S)	2006	26
Victoria Park (T)	2006	35
Victoria Plains (S)	2006	39
Vincent (C)	2006	35
Wagin (S)	2006	42
Wandering (S)	2006	43
Wanneroo (C)	2006	33
Waroona (S)	2006	40
West Arthur (S)	2006	39
Westonia (S)	2006	36
Wickepin (S)	2006	39
Williams (S)	2006	42
Wiluna (S)	2006	33
Wongan-Ballidu (S)	2006	38
Woodanilling (S)	2006	36
Wyalkatchem (S)	2006	42
Wyndham-East Kimberley (S)	2006	31
Yalgoo (S)	2006	39
Yilgarn (S)	2006	37
York (S)	2006	45
No usual address (WA)	2006	38
Migratory - Offshore - Shipping (WA)	2006	36
Break O'Day (M)	2006	46
Brighton (M)	2006	31
Burnie (C)	2006	37
Central Coast (M) (Tas.)	2006	42
Central Highlands (M) (Tas.)	2006	43
Circular Head (M)	2006	37
Clarence (C)	2006	40
Derwent Valley (M)	2006	38
Devonport (C)	2006	39
Dorset (M)	2006	42
Flinders (M) (Tas.)	2006	48
George Town (M)	2006	39
Glamorgan/Spring Bay (M)	2006	49
Glenorchy (C)	2006	39
Hobart (C)	2006	37
Huon Valley (M)	2006	39
Kentish (M)	2006	39
King Island (M)	2006	41
Kingborough (M)	2006	39
Latrobe (M) (Tas.)	2006	41
Launceston (C)	2006	37
Meander Valley (M)	2006	39
Northern Midlands (M)	2006	40
Sorell (M)	2006	39
Southern Midlands (M)	2006	39
Tasman (M)	2006	47
Waratah/Wynyard (M)	2006	41
West Coast (M)	2006	37
West Tamar (M)	2006	40
No usual address (Tas.)	2006	33
Migratory - Offshore - Shipping (Tas.)	2006	40
Alice Springs (T)	2006	33
Barkly (R)	2006	27
Belyuen (S)	2006	23
Central Desert (R)	2006	25
Coomalie (S)	2006	41
Darwin (C)	2006	33
East Arnhem (R)	2006	24
Katherine (T)	2006	31
Litchfield (M)	2006	36
MacDonnell (R)	2006	25
Palmerston (C)	2006	28
Roper Gulf (R)	2006	23
Tiwi Islands (R)	2006	26
Victoria Daly (R)	2006	24
Wagait (S)	2006	48
West Arnhem (R)	2006	25
West Daly (R)	2006	20
Unincorporated NT	2006	33
No usual address (NT)	2006	45
Migratory - Offshore - Shipping (NT)	2006	26
Unincorporated ACT	2006	34
No usual address (ACT)	2006	27
Migratory - Offshore - Shipping (ACT)	2006	0
Unincorp. Other Territories	2006	36
No usual address (OT)	2006	25
Migratory - Offshore - Shipping (OT)	2006	0
Albury (C)	2011	37
Armidale Regional (A)	2011	36
Ballina (A)	2011	45
Balranald (A)	2011	41
Bathurst Regional (A)	2011	36
Bega Valley (A)	2011	48
Bellingen (A)	2011	46
Berrigan (A)	2011	48
Blacktown (C)	2011	32
Bland (A)	2011	41
Blayney (A)	2011	40
Blue Mountains (C)	2011	42
Bogan (A)	2011	39
Botany Bay (C)	2011	37
Bourke (A)	2011	35
Brewarrina (A)	2011	33
Broken Hill (C)	2011	43
Burwood (A)	2011	35
Byron (A)	2011	42
Cabonne (A)	2011	42
Camden (A)	2011	34
Campbelltown (C) (NSW)	2011	33
Canada Bay (A)	2011	37
Canterbury-Bankstown (A)	2011	35
Carrathool (A)	2011	40
Central Coast (C) (NSW)	2011	41
Central Darling (A)	2011	39
Cessnock (C)	2011	37
Clarence Valley (A)	2011	46
Cobar (A)	2011	35
Coffs Harbour (C)	2011	42
Coolamon (A)	2011	43
Coonamble (A)	2011	40
Cowra (A)	2011	45
Cumberland (A)	2011	32
Dungog (A)	2011	44
Edward River (A)	2011	43
Eurobodalla (A)	2011	50
Fairfield (C)	2011	36
Federation (A)	2011	46
Forbes (A)	2011	41
Georges River (A)	2011	37
Gilgandra (A)	2011	44
Glen Innes Severn (A)	2011	46
Goulburn Mulwaree (A)	2011	41
Greater Hume Shire (A)	2011	43
Griffith (C)	2011	36
Gundagai (A)	2011	45
Gunnedah (A)	2011	40
Gwydir (A)	2011	45
Hawkesbury (C)	2011	36
Hay (A)	2011	44
Hilltops (A)	2011	42
Hornsby (A)	2011	39
Hunters Hill (A)	2011	42
Inner West (A)	2011	36
Inverell (A)	2011	41
Junee (A)	2011	39
Kempsey (A)	2011	45
Kiama (A)	2011	45
Ku-ring-gai (A)	2011	41
Kyogle (A)	2011	45
Lachlan (A)	2011	41
Lake Macquarie (C)	2011	41
Lane Cove (A)	2011	37
Leeton (A)	2011	36
Lismore (C)	2011	40
Lithgow (C)	2011	42
Liverpool (C)	2011	33
Liverpool Plains (A)	2011	44
Lockhart (A)	2011	44
Maitland (C)	2011	36
Mid-Coast (A)	2011	49
Mid-Western Regional (A)	2011	41
Moree Plains (A)	2011	35
Mosman (A)	2011	40
Murray River (A)	2011	47
Murrumbidgee (A)	2011	41
Muswellbrook (A)	2011	34
Nambucca (A)	2011	49
Narrabri (A)	2011	39
Narrandera (A)	2011	42
Narromine (A)	2011	39
Newcastle (C)	2011	37
North Sydney (A)	2011	36
Northern Beaches (A)	2011	39
Oberon (A)	2011	41
Orange (C)	2011	36
Parkes (A)	2011	39
Parramatta (C)	2011	35
Penrith (C)	2011	34
Port Macquarie-Hastings (A)	2011	47
Port Stephens (A)	2011	42
Queanbeyan-Palerang Regional (A)	2011	37
Randwick (C)	2011	35
Richmond Valley (A)	2011	42
Rockdale (C)	2011	36
Ryde (C)	2011	36
Shellharbour (C)	2011	37
Shoalhaven (C)	2011	46
Singleton (A)	2011	35
Snowy Monaro Regional (A)	2011	41
Snowy Valleys (A)	2011	42
Strathfield (A)	2011	33
Sutherland Shire (A)	2011	39
Sydney (C)	2011	32
Tamworth Regional (A)	2011	39
Temora (A)	2011	44
Tenterfield (A)	2011	48
The Hills Shire (A)	2011	37
Tweed (A)	2011	45
Upper Hunter Shire (A)	2011	39
Upper Lachlan Shire (A)	2011	46
Uralla (A)	2011	42
Wagga Wagga (C)	2011	34
Walcha (A)	2011	45
Walgett (A)	2011	41
Warren (A)	2011	42
Warrumbungle Shire (A)	2011	45
Waverley (A)	2011	35
Weddin (A)	2011	47
Wentworth (A)	2011	41
Western Plains Regional (A)	2011	37
Willoughby (C)	2011	37
Wingecarribee (A)	2011	45
Wollondilly (A)	2011	36
Wollongong (C)	2011	38
Woollahra (A)	2011	38
Yass Valley (A)	2011	40
Unincorporated NSW	2011	43
No usual address (NSW)	2011	37
Migratory - Offshore - Shipping (NSW)	2011	64
Alpine (S)	2011	48
Ararat (RC)	2011	45
Ballarat (C)	2011	37
Banyule (C)	2011	39
Bass Coast (S)	2011	46
Baw Baw (S)	2011	40
Bayside (C)	2011	42
Benalla (RC)	2011	46
Boroondara (C)	2011	38
Brimbank (C)	2011	35
Buloke (S)	2011	48
Campaspe (S)	2011	42
Cardinia (S)	2011	34
Casey (C)	2011	33
Central Goldfields (S)	2011	48
Colac-Otway (S)	2011	42
Corangamite (S)	2011	43
Darebin (C)	2011	36
East Gippsland (S)	2011	47
Frankston (C)	2011	37
Gannawarra (S)	2011	47
Glen Eira (C)	2011	37
Glenelg (S)	2011	43
Golden Plains (S)	2011	39
Greater Bendigo (C)	2011	38
Greater Dandenong (C)	2011	35
Greater Geelong (C)	2011	39
Greater Shepparton (C)	2011	38
Hepburn (S)	2011	46
Hindmarsh (S)	2011	47
Hobsons Bay (C)	2011	38
Horsham (RC)	2011	40
Hume (C)	2011	33
Indigo (S)	2011	44
Kingston (C) (Vic.)	2011	39
Knox (C)	2011	38
Latrobe (C) (Vic.)	2011	39
Loddon (S)	2011	50
Macedon Ranges (S)	2011	41
Manningham (C)	2011	42
Mansfield (S)	2011	45
Maribyrnong (C)	2011	34
Maroondah (C)	2011	38
Melbourne (C)	2011	28
Melton (C)	2011	32
Mildura (RC)	2011	39
Mitchell (S)	2011	37
Moira (S)	2011	44
Monash (C)	2011	38
Moonee Valley (C)	2011	38
Moorabool (S)	2011	39
Moreland (C)	2011	35
Mornington Peninsula (S)	2011	43
Mount Alexander (S)	2011	47
Moyne (S)	2011	41
Murrindindi (S)	2011	45
Nillumbik (S)	2011	39
Northern Grampians (S)	2011	45
Port Phillip (C)	2011	35
Pyrenees (S)	2011	48
Queenscliffe (B)	2011	55
South Gippsland (S)	2011	44
Southern Grampians (S)	2011	43
Stonnington (C)	2011	35
Strathbogie (S)	2011	50
Surf Coast (S)	2011	40
Swan Hill (RC)	2011	39
Towong (S)	2011	47
Wangaratta (RC)	2011	43
Warrnambool (C)	2011	38
Wellington (S)	2011	41
West Wimmera (S)	2011	46
Whitehorse (C)	2011	39
Whittlesea (C)	2011	34
Wodonga (C)	2011	35
Wyndham (C)	2011	32
Yarra (C)	2011	33
Yarra Ranges (S)	2011	38
Yarriambiack (S)	2011	48
Unincorporated Vic	2011	30
No usual address (Vic.)	2011	32
Migratory - Offshore - Shipping (Vic.)	2011	48
Aurukun (S)	2011	25
Balonne (S)	2011	36
Banana (S)	2011	35
Barcaldine (R)	2011	39
Barcoo (S)	2011	42
Blackall-Tambo (R)	2011	41
Boulia (S)	2011	30
Brisbane (C)	2011	34
Bulloo (S)	2011	32
Bundaberg (R)	2011	43
Burdekin (S)	2011	41
Burke (S)	2011	36
Cairns (R)	2011	36
Carpentaria (S)	2011	37
Cassowary Coast (R)	2011	42
Central Highlands (R) (Qld)	2011	31
Charters Towers (R)	2011	38
Cherbourg (S)	2011	21
Cloncurry (S)	2011	33
Cook (S)	2011	38
Croydon (S)	2011	33
Diamantina (S)	2011	34
Doomadgee (S)	2011	22
Douglas (S)	2011	40
Etheridge (S)	2011	43
Flinders (S) (Qld)	2011	41
Fraser Coast (R)	2011	44
Gladstone (R)	2011	35
Gold Coast (C)	2011	37
Goondiwindi (R)	2011	38
Gympie (R)	2011	43
Hinchinbrook (S)	2011	46
Hope Vale (S)	2011	25
Ipswich (C)	2011	32
Isaac (R)	2011	31
Kowanyama (S)	2011	28
Livingstone (S)	2011	41
Lockhart River (S)	2011	25
Lockyer Valley (R)	2011	37
Logan (C)	2011	33
Longreach (R)	2011	34
Mackay (R)	2011	36
McKinlay (S)	2011	34
Mapoon (S)	2011	32
Maranoa (R)	2011	36
Mareeba (S)	2011	41
Moreton Bay (R)	2011	37
Mornington (S)	2011	26
Mount Isa (C)	2011	30
Murweh (S)	2011	37
Napranum (S)	2011	23
Noosa (S)	2011	46
North Burnett (R)	2011	44
Northern Peninsula Area (R)	2011	22
Palm Island (S)	2011	24
Paroo (S)	2011	39
Pormpuraaw (S)	2011	33
Quilpie (S)	2011	40
Redland (C)	2011	39
Richmond (S)	2011	38
Rockhampton (R)	2011	35
Scenic Rim (R)	2011	42
Somerset (R)	2011	41
South Burnett (R)	2011	42
Southern Downs (R)	2011	42
Sunshine Coast (R)	2011	41
Tablelands (R)	2011	44
Toowoomba (R)	2011	37
Torres (S)	2011	28
Torres Strait Island (R)	2011	23
Townsville (C)	2011	33
Weipa (T)	2011	30
Western Downs (R)	2011	37
Whitsunday (R)	2011	38
Winton (S)	2011	43
Woorabinda (S)	2011	21
Wujal Wujal (S)	2011	29
Yarrabah (S)	2011	22
No usual address (Qld)	2011	44
Migratory - Offshore - Shipping (Qld)	2011	47
Adelaide (C)	2011	30
Adelaide Hills (DC)	2011	42
Alexandrina (DC)	2011	47
Anangu Pitjantjatjara (AC)	2011	26
Barossa (DC)	2011	41
Barunga West (DC)	2011	50
Berri and Barmera (DC)	2011	42
Burnside (C)	2011	44
Campbelltown (C) (SA)	2011	41
Ceduna (DC)	2011	38
Charles Sturt (C)	2011	41
Clare and Gilbert Valleys (DC)	2011	43
Cleve (DC)	2011	43
Coober Pedy (DC)	2011	45
Copper Coast (DC)	2011	47
Elliston (DC)	2011	43
Flinders Ranges (DC)	2011	45
Franklin Harbour (DC)	2011	44
Gawler (T)	2011	40
Goyder (DC)	2011	46
Grant (DC)	2011	41
Holdfast Bay (C)	2011	45
Kangaroo Island (DC)	2011	46
Karoonda East Murray (DC)	2011	46
Kimba (DC)	2011	43
Kingston (DC) (SA)	2011	47
Light (RegC)	2011	38
Lower Eyre Peninsula (DC)	2011	40
Loxton Waikerie (DC)	2011	43
Mallala (DC)	2011	40
Maralinga Tjarutja (AC)	2011	38
Marion (C)	2011	39
Mid Murray (DC)	2011	48
Mitcham (C)	2011	41
Mount Barker (DC)	2011	38
Mount Gambier (C)	2011	38
Mount Remarkable (DC)	2011	49
Murray Bridge (RC)	2011	40
Naracoorte and Lucindale (DC)	2011	40
Northern Areas (DC)	2011	46
Norwood Payneham St Peters (C)	2011	39
Onkaparinga (C)	2011	38
Orroroo/Carrieton (DC)	2011	49
Peterborough (DC)	2011	50
Playford (C)	2011	32
Port Adelaide Enfield (C)	2011	37
Port Augusta (C)	2011	38
Port Lincoln (C)	2011	38
Port Pirie City and Dists (M)	2011	41
Prospect (C)	2011	37
Renmark Paringa (DC)	2011	40
Robe (DC)	2011	44
Roxby Downs (M)	2011	29
Salisbury (C)	2011	35
Southern Mallee (DC)	2011	43
Streaky Bay (DC)	2011	43
Tatiara (DC)	2011	39
Tea Tree Gully (C)	2011	40
The Coorong (DC)	2011	44
Tumby Bay (DC)	2011	48
Unley (C)	2011	39
Victor Harbor (C)	2011	56
Wakefield (DC)	2011	42
Walkerville (M)	2011	44
Wattle Range (DC)	2011	42
West Torrens (C)	2011	38
Whyalla (C)	2011	38
Wudinna (DC)	2011	38
Yankalilla (DC)	2011	51
Yorke Peninsula (DC)	2011	52
Unincorporated SA	2011	39
No usual address (SA)	2011	39
Migratory - Offshore - Shipping (SA)	2011	31
