LGA_NAME16	Year	SpeaksEnglishOnly	persons
Blue Mountains (C)	2016	0	4707
Blue Mountains (C)	2016	1	68689
Bogan (A)	2006	0	29
Bogan (A)	2006	1	2809
Bogan (A)	2011	0	59
Bogan (A)	2011	1	2655
Bogan (A)	2016	0	67
Bogan (A)	2016	1	2335
Botany Bay (C)	2006	0	15696
Botany Bay (C)	2006	1	18041
Botany Bay (C)	2011	0	17356
Botany Bay (C)	2011	1	19774
Botany Bay (C)	2016	0	20785
Botany Bay (C)	2016	1	22941
Bourke (A)	2006	0	51
Bourke (A)	2006	1	2831
Bourke (A)	2011	0	43
Bourke (A)	2011	1	2417
Bourke (A)	2016	0	64
Bourke (A)	2016	1	2048
Brewarrina (A)	2006	0	19
Brewarrina (A)	2006	1	1741
Brewarrina (A)	2011	0	34
Brewarrina (A)	2011	1	1628
Brewarrina (A)	2016	0	60
Brewarrina (A)	2016	1	1415
Broken Hill (C)	2006	0	363
Broken Hill (C)	2006	1	17733
Broken Hill (C)	2011	0	417
Broken Hill (C)	2011	1	16917
Broken Hill (C)	2016	0	443
Broken Hill (C)	2016	1	15703
Burwood (A)	2006	0	17240
Burwood (A)	2006	1	11499
Burwood (A)	2011	0	19184
Burwood (A)	2011	1	11605
Burwood (A)	2016	0	23421
Burwood (A)	2016	1	11563
Byron (A)	2006	0	1502
Byron (A)	2006	1	25031
Byron (A)	2011	0	1843
Byron (A)	2011	1	25786
Byron (A)	2016	0	2132
Byron (A)	2016	1	25554
Cabonne (A)	2006	0	182
Cabonne (A)	2006	1	11846
Cabonne (A)	2011	0	226
Cabonne (A)	2011	1	12259
Cabonne (A)	2016	0	273
Cabonne (A)	2016	1	12207
Camden (A)	2006	0	4534
Camden (A)	2006	1	43354
Camden (A)	2011	0	5793
Camden (A)	2011	1	48973
Camden (A)	2016	0	11268
Camden (A)	2016	1	63466
Campbelltown (C) (NSW)	2006	0	31537
Campbelltown (C) (NSW)	2006	1	103290
Campbelltown (C) (NSW)	2011	0	36781
Campbelltown (C) (NSW)	2011	1	101865
Campbelltown (C) (NSW)	2016	0	47716
Campbelltown (C) (NSW)	2016	1	100164
Canada Bay (A)	2006	0	20572
Canada Bay (A)	2006	1	40583
Canada Bay (A)	2011	0	27113
Canada Bay (A)	2011	1	44186
Canada Bay (A)	2016	0	35967
Canada Bay (A)	2016	1	47038
Canterbury-Bankstown (A)	2006	0	167403
Canterbury-Bankstown (A)	2006	1	113295
Canterbury-Bankstown (A)	2011	0	187585
Canterbury-Bankstown (A)	2011	1	113232
Canterbury-Bankstown (A)	2016	0	208328
Canterbury-Bankstown (A)	2016	1	117941
Carrathool (A)	2006	0	97
Carrathool (A)	2006	1	2555
Carrathool (A)	2011	0	98
Carrathool (A)	2011	1	2405
Carrathool (A)	2016	0	161
Carrathool (A)	2016	1	2332
Central Coast (C) (NSW)	2006	0	11589
Central Coast (C) (NSW)	2006	1	270097
Central Coast (C) (NSW)	2011	0	14596
Central Coast (C) (NSW)	2011	1	283619
Central Coast (C) (NSW)	2016	0	19219
Central Coast (C) (NSW)	2016	1	289774
Central Darling (A)	2006	0	33
Central Darling (A)	2006	1	1754
Central Darling (A)	2011	0	59
Central Darling (A)	2011	1	1796
Central Darling (A)	2016	0	50
Central Darling (A)	2016	1	1479
Cessnock (C)	2006	0	732
Cessnock (C)	2006	1	43318
Cessnock (C)	2011	0	880
Cessnock (C)	2011	1	47276
Cessnock (C)	2016	0	1055
Cessnock (C)	2016	1	49842
Clarence Valley (A)	2006	0	737
Clarence Valley (A)	2006	1	45483
Clarence Valley (A)	2011	0	928
Clarence Valley (A)	2011	1	46664
Clarence Valley (A)	2016	0	1084
Clarence Valley (A)	2016	1	45752
Cobar (A)	2006	0	108
Cobar (A)	2006	1	4456
Cobar (A)	2011	0	150
Cobar (A)	2011	1	4220
Cobar (A)	2016	0	189
Cobar (A)	2016	1	3908
Coffs Harbour (C)	2006	0	2765
Coffs Harbour (C)	2006	1	59521
Coffs Harbour (C)	2011	0	3895
Coffs Harbour (C)	2011	1	61766
Coffs Harbour (C)	2016	0	5461
Coffs Harbour (C)	2016	1	62254
Coolamon (A)	2006	0	48
Coolamon (A)	2006	1	3882
Coolamon (A)	2011	0	46
Coolamon (A)	2011	1	3873
Coolamon (A)	2016	0	50
Coolamon (A)	2016	1	3817
Coonamble (A)	2006	0	40
Coonamble (A)	2006	1	4025
Coonamble (A)	2011	0	41
Coonamble (A)	2011	1	3778
Coonamble (A)	2016	0	51
Coonamble (A)	2016	1	3266
Cowra (A)	2006	0	234
Cowra (A)	2006	1	11863
Cowra (A)	2011	0	270
Cowra (A)	2011	1	11158
Cowra (A)	2016	0	323
Cowra (A)	2016	1	11090
Cumberland (A)	2006	0	98060
Cumberland (A)	2006	1	63586
Cumberland (A)	2011	0	118593
Cumberland (A)	2011	1	62224
Cumberland (A)	2016	0	141807
Cumberland (A)	2016	1	62405
Dungog (A)	2006	0	80
Dungog (A)	2006	1	7599
Dungog (A)	2011	0	92
Dungog (A)	2011	1	7904
Dungog (A)	2016	0	76
Dungog (A)	2016	1	8282
Edward River (A)	2006	0	184
Edward River (A)	2006	1	8533
Edward River (A)	2011	0	188
Edward River (A)	2011	1	8045
Edward River (A)	2016	0	288
Edward River (A)	2016	1	7715
Eurobodalla (A)	2006	0	1294
Eurobodalla (A)	2006	1	32350
Eurobodalla (A)	2011	0	1303
Eurobodalla (A)	2011	1	32593
Eurobodalla (A)	2016	0	1400
Eurobodalla (A)	2016	1	33050
Fairfield (C)	2006	0	120898
Fairfield (C)	2006	1	49490
Fairfield (C)	2011	0	131164
Fairfield (C)	2011	1	48619
Fairfield (C)	2016	0	140719
Fairfield (C)	2016	1	49353
Federation (A)	2006	0	194
Federation (A)	2006	1	11603
Federation (A)	2011	0	194
Federation (A)	2011	1	11497
Federation (A)	2016	0	242
Federation (A)	2016	1	11039
Forbes (A)	2006	0	133
Forbes (A)	2006	1	8850
Forbes (A)	2011	0	136
Forbes (A)	2011	1	8724
Forbes (A)	2016	0	201
Forbes (A)	2016	1	8538
Georges River (A)	2006	0	54601
Georges River (A)	2006	1	65157
Georges River (A)	2011	0	66398
Georges River (A)	2011	1	63196
Georges River (A)	2016	0	78626
Georges River (A)	2016	1	62154
Gilgandra (A)	2006	0	52
Gilgandra (A)	2006	1	4288
Gilgandra (A)	2011	0	68
Gilgandra (A)	2011	1	4048
Gilgandra (A)	2016	0	88
Gilgandra (A)	2016	1	3813
Glen Innes Severn (A)	2006	0	118
Glen Innes Severn (A)	2006	1	8202
Glen Innes Severn (A)	2011	0	144
Glen Innes Severn (A)	2011	1	8053
Glen Innes Severn (A)	2016	0	189
Glen Innes Severn (A)	2016	1	7633
Goulburn Mulwaree (A)	2006	0	717
Goulburn Mulwaree (A)	2006	1	23702
Goulburn Mulwaree (A)	2011	0	908
Goulburn Mulwaree (A)	2011	1	24895
Goulburn Mulwaree (A)	2016	0	1398
Goulburn Mulwaree (A)	2016	1	25746
Greater Hume Shire (A)	2006	0	110
Greater Hume Shire (A)	2006	1	9329
Greater Hume Shire (A)	2011	0	170
Greater Hume Shire (A)	2011	1	9233
Greater Hume Shire (A)	2016	0	204
Greater Hume Shire (A)	2016	1	9495
Griffith (C)	2006	0	4614
Griffith (C)	2006	1	17854
Griffith (C)	2011	0	5017
Griffith (C)	2011	1	17901
Griffith (C)	2016	0	5351
Griffith (C)	2016	1	17858
Gundagai (A)	2006	0	121
Gundagai (A)	2006	1	10584
Gundagai (A)	2011	0	163
Gundagai (A)	2011	1	10386
Gundagai (A)	2016	0	218
Gundagai (A)	2016	1	10152
Gunnedah (A)	2006	0	125
Gunnedah (A)	2006	1	10988
Gunnedah (A)	2011	0	173
Gunnedah (A)	2011	1	11205
Gunnedah (A)	2016	0	271
Gunnedah (A)	2016	1	11000
Gwydir (A)	2006	0	38
Gwydir (A)	2006	1	5105
Gwydir (A)	2011	0	48
Gwydir (A)	2011	1	4805
Gwydir (A)	2016	0	58
Gwydir (A)	2016	1	4685
Hawkesbury (C)	2006	0	2923
Hawkesbury (C)	2006	1	54553
Hawkesbury (C)	2011	0	3282
Hawkesbury (C)	2011	1	56343
Hawkesbury (C)	2016	0	3857
Hawkesbury (C)	2016	1	57007
Hay (A)	2006	0	70
Hay (A)	2006	1	3209
Hay (A)	2011	0	86
Hay (A)	2011	1	2756
Hay (A)	2016	0	112
Hay (A)	2016	1	2483
Hilltops (A)	2006	0	429
Hilltops (A)	2006	1	16942
Hilltops (A)	2011	0	454
Hilltops (A)	2011	1	16940
Hilltops (A)	2016	0	632
Hilltops (A)	2016	1	16623
Hornsby (A)	2006	0	28734
Hornsby (A)	2006	1	99211
Hornsby (A)	2011	0	35403
Hornsby (A)	2011	1	98170
Hornsby (A)	2016	0	44377
Hornsby (A)	2016	1	93165
Hunters Hill (A)	2006	0	2249
Hunters Hill (A)	2006	1	10178
Hunters Hill (A)	2011	0	2408
Hunters Hill (A)	2011	1	10336
Hunters Hill (A)	2016	0	2723
Hunters Hill (A)	2016	1	10532
Inner West (A)	2006	0	47453
Inner West (A)	2006	1	99457
Inner West (A)	2011	0	49713
Inner West (A)	2011	1	109506
Inner West (A)	2016	0	51719
Inner West (A)	2016	1	117284
Inverell (A)	2006	0	213
Inverell (A)	2006	1	14755
Inverell (A)	2011	0	356
Inverell (A)	2011	1	15197
Inverell (A)	2016	0	517
Inverell (A)	2016	1	14655
Junee (A)	2006	0	62
Junee (A)	2006	1	4764
Junee (A)	2011	0	68
Junee (A)	2011	1	4840
Junee (A)	2016	0	194
Junee (A)	2016	1	4759
Kempsey (A)	2006	0	435
Kempsey (A)	2006	1	25283
Kempsey (A)	2011	0	540
Kempsey (A)	2011	1	25854
Kempsey (A)	2016	0	651
Kempsey (A)	2016	1	25255
Kiama (A)	2006	0	622
Kiama (A)	2006	1	17742
Kiama (A)	2011	0	747
Kiama (A)	2011	1	18667
Kiama (A)	2016	0	925
Kiama (A)	2016	1	19210
Ku-ring-gai (A)	2006	0	17388
Ku-ring-gai (A)	2006	1	80614
Ku-ring-gai (A)	2011	0	22973
Ku-ring-gai (A)	2011	1	82608
Ku-ring-gai (A)	2016	0	32752
Ku-ring-gai (A)	2016	1	81070
Kyogle (A)	2006	0	231
Kyogle (A)	2006	1	8726
Kyogle (A)	2011	0	242
Kyogle (A)	2011	1	8575
Kyogle (A)	2016	0	240
Kyogle (A)	2016	1	7878
Lachlan (A)	2006	0	70
Lachlan (A)	2006	1	6362
Lachlan (A)	2011	0	93
Lachlan (A)	2011	1	6116
Lachlan (A)	2016	0	134
Lachlan (A)	2016	1	5366
Lake Macquarie (C)	2006	0	6002
Lake Macquarie (C)	2006	1	170605
Lake Macquarie (C)	2011	0	7150
Lake Macquarie (C)	2011	1	175718
Lake Macquarie (C)	2016	0	8752
Lake Macquarie (C)	2016	1	180098
Lane Cove (A)	2006	0	5680
Lane Cove (A)	2006	1	22916
Lane Cove (A)	2011	0	6834
Lane Cove (A)	2011	1	23563
Lane Cove (A)	2016	0	9516
Lane Cove (A)	2016	1	24896
Leeton (A)	2006	0	679
Leeton (A)	2006	1	9849
Leeton (A)	2011	0	656
Leeton (A)	2011	1	9770
Leeton (A)	2016	0	818
Leeton (A)	2016	1	9366
Lismore (C)	2006	0	1549
Lismore (C)	2006	1	39053
Lismore (C)	2011	0	1829
Lismore (C)	2011	1	39356
Lismore (C)	2016	0	1989
Lismore (C)	2016	1	37762
Lithgow (C)	2006	0	476
Lithgow (C)	2006	1	18085
Lithgow (C)	2011	0	595
Lithgow (C)	2011	1	18290
Lithgow (C)	2016	0	727
Lithgow (C)	2016	1	17905
Liverpool (C)	2006	0	75489
Liverpool (C)	2006	1	77518
Liverpool (C)	2011	0	89767
Liverpool (C)	2011	1	80046
Liverpool (C)	2016	0	106090
Liverpool (C)	2016	1	84511
Liverpool Plains (A)	2006	0	74
Liverpool Plains (A)	2006	1	6977
Liverpool Plains (A)	2011	0	105
Liverpool Plains (A)	2011	1	7067
Liverpool Plains (A)	2016	0	87
Liverpool Plains (A)	2016	1	6910
Lockhart (A)	2006	0	33
Lockhart (A)	2006	1	3087
Lockhart (A)	2011	0	37
Lockhart (A)	2011	1	2860
Lockhart (A)	2016	0	41
Lockhart (A)	2016	1	2821
Maitland (C)	2006	0	1546
Maitland (C)	2006	1	57939
Maitland (C)	2011	0	2096
Maitland (C)	2011	1	62917
Maitland (C)	2016	0	3065
Maitland (C)	2016	1	70392
Mid-Coast (A)	2006	0	1536
Mid-Coast (A)	2006	1	77994
Mid-Coast (A)	2011	0	1929
Mid-Coast (A)	2011	1	79991
Mid-Coast (A)	2016	0	2362
Mid-Coast (A)	2016	1	81652
Mid-Western Regional (A)	2006	0	540
Mid-Western Regional (A)	2006	1	19567
Mid-Western Regional (A)	2011	0	596
Mid-Western Regional (A)	2011	1	20579
Mid-Western Regional (A)	2016	0	651
Mid-Western Regional (A)	2016	1	21047
Moree Plains (A)	2006	0	292
Moree Plains (A)	2006	1	12531
Moree Plains (A)	2011	0	331
Moree Plains (A)	2011	1	12001
Moree Plains (A)	2016	0	465
Moree Plains (A)	2016	1	11075
Mosman (A)	2006	0	2720
Mosman (A)	2006	1	21684
Mosman (A)	2011	0	3485
Mosman (A)	2011	1	22097
Mosman (A)	2016	0	4306
Mosman (A)	2016	1	22190
Murray River (A)	2006	0	219
Murray River (A)	2006	1	9987
Murray River (A)	2011	0	248
Murray River (A)	2011	1	10151
Murray River (A)	2016	0	288
Murray River (A)	2016	1	10488
Murrumbidgee (A)	2006	0	102
Murrumbidgee (A)	2006	1	3882
Murrumbidgee (A)	2011	0	98
Murrumbidgee (A)	2011	1	3455
Murrumbidgee (A)	2016	0	126
Murrumbidgee (A)	2016	1	3309
Muswellbrook (A)	2006	0	257
Muswellbrook (A)	2006	1	13980
Muswellbrook (A)	2011	0	439
Muswellbrook (A)	2011	1	14163
Muswellbrook (A)	2016	0	560
Muswellbrook (A)	2016	1	14181
Nambucca (A)	2006	0	309
Nambucca (A)	2006	1	16776
Nambucca (A)	2011	0	432
Nambucca (A)	2011	1	17487
Nambucca (A)	2016	0	459
Nambucca (A)	2016	1	17278
Narrabri (A)	2006	0	157
Narrabri (A)	2006	1	12381
Narrabri (A)	2011	0	198
Narrabri (A)	2011	1	12095
Narrabri (A)	2016	0	230
Narrabri (A)	2016	1	11424
Narrandera (A)	2006	0	119
Narrandera (A)	2006	1	5702
Narrandera (A)	2011	0	136
Narrandera (A)	2011	1	5400
Narrandera (A)	2016	0	147
Narrandera (A)	2016	1	5095
Narromine (A)	2006	0	66
Narromine (A)	2006	1	6216
Narromine (A)	2011	0	90
Narromine (A)	2011	1	6195
Narromine (A)	2016	0	80
Narromine (A)	2016	1	5752
Newcastle (C)	2006	0	10171
Newcastle (C)	2006	1	124442
Newcastle (C)	2011	0	12343
Newcastle (C)	2011	1	129598
Newcastle (C)	2016	0	15386
Newcastle (C)	2016	1	131814
North Sydney (A)	2006	0	9636
North Sydney (A)	2006	1	42524
North Sydney (A)	2011	0	12213
North Sydney (A)	2011	1	44860
North Sydney (A)	2016	0	15055
North Sydney (A)	2016	1	47433
Northern Beaches (A)	2006	0	27140
Northern Beaches (A)	2006	1	185720
Northern Beaches (A)	2011	0	31828
Northern Beaches (A)	2011	1	195949
Northern Beaches (A)	2016	0	38204
Northern Beaches (A)	2016	1	201772
Oberon (A)	2006	0	127
Oberon (A)	2006	1	4605
Oberon (A)	2011	0	145
Oberon (A)	2011	1	4624
Oberon (A)	2016	0	178
Oberon (A)	2016	1	4462
Orange (C)	2006	0	1193
Orange (C)	2006	1	32486
Orange (C)	2011	0	1867
Orange (C)	2011	1	34230
Orange (C)	2016	0	2409
Orange (C)	2016	1	35416
Parkes (A)	2006	0	222
Parkes (A)	2006	1	13633
Parkes (A)	2011	0	323
Parkes (A)	2011	1	13393
Parkes (A)	2016	0	409
Parkes (A)	2016	1	12931
Parramatta (C)	2006	0	67560
Parramatta (C)	2006	1	94243
Parramatta (C)	2011	0	88314
Parramatta (C)	2011	1	94170
Parramatta (C)	2016	0	117613
Parramatta (C)	2016	1	94332
Penrith (C)	2006	0	23133
Penrith (C)	2006	1	140939
Penrith (C)	2011	0	25982
Penrith (C)	2011	1	144386
Penrith (C)	2016	0	33084
Penrith (C)	2016	1	151300
Port Macquarie-Hastings (A)	2006	0	1339
Port Macquarie-Hastings (A)	2006	1	64353
Port Macquarie-Hastings (A)	2011	0	1698
Port Macquarie-Hastings (A)	2011	1	68143
Port Macquarie-Hastings (A)	2016	0	2401
Port Macquarie-Hastings (A)	2016	1	71257
Port Stephens (A)	2006	0	1635
Port Stephens (A)	2006	1	56108
Port Stephens (A)	2011	0	1896
Port Stephens (A)	2011	1	59775
Port Stephens (A)	2016	0	2366
Port Stephens (A)	2016	1	62212
Queanbeyan-Palerang Regional (A)	2006	0	5011
Queanbeyan-Palerang Regional (A)	2006	1	40431
Queanbeyan-Palerang Regional (A)	2011	0	5989
Queanbeyan-Palerang Regional (A)	2011	1	43814
Queanbeyan-Palerang Regional (A)	2016	0	6791
Queanbeyan-Palerang Regional (A)	2016	1	45218
Randwick (C)	2006	0	33425
Randwick (C)	2006	1	75311
Randwick (C)	2011	0	38762
Randwick (C)	2011	1	79917
Randwick (C)	2016	0	45113
Randwick (C)	2016	1	83952
Richmond Valley (A)	2006	0	310
Richmond Valley (A)	2006	1	20252
Richmond Valley (A)	2011	0	385
Richmond Valley (A)	2011	1	20675
Richmond Valley (A)	2016	0	394
Richmond Valley (A)	2016	1	20630
Rockdale (C)	2006	0	46976
Rockdale (C)	2006	1	38136
Rockdale (C)	2011	0	52901
Rockdale (C)	2011	1	38646
Rockdale (C)	2016	0	61549
Rockdale (C)	2016	1	41160
Ryde (C)	2006	0	35172
Ryde (C)	2006	1	56208
Ryde (C)	2011	0	43301
Ryde (C)	2011	1	55314
Ryde (C)	2016	0	55899
Ryde (C)	2016	1	55443
Shellharbour (C)	2006	0	6499
Shellharbour (C)	2006	1	51338
Shellharbour (C)	2011	0	6885
Shellharbour (C)	2011	1	54808
Shellharbour (C)	2016	0	7107
Shellharbour (C)	2016	1	57950
Shoalhaven (C)	2006	0	2958
Shoalhaven (C)	2006	1	81390
Shoalhaven (C)	2011	0	3168
Shoalhaven (C)	2011	1	84480
Shoalhaven (C)	2016	0	4009
Shoalhaven (C)	2016	1	88148
Singleton (A)	2006	0	429
Singleton (A)	2006	1	20612
Singleton (A)	2011	0	604
Singleton (A)	2011	1	21215
Singleton (A)	2016	0	715
Singleton (A)	2016	1	20595
Snowy Monaro Regional (A)	2006	0	902
Snowy Monaro Regional (A)	2006	1	16557
Snowy Monaro Regional (A)	2011	0	1014
Snowy Monaro Regional (A)	2011	1	17167
Snowy Monaro Regional (A)	2016	0	1068
Snowy Monaro Regional (A)	2016	1	17287
Snowy Valleys (A)	2006	0	342
Snowy Valleys (A)	2006	1	13273
Snowy Valleys (A)	2011	0	453
Snowy Valleys (A)	2011	1	13201
Snowy Valleys (A)	2016	0	504
Snowy Valleys (A)	2016	1	12480
Strathfield (A)	2006	0	18065
Strathfield (A)	2006	1	11531
Strathfield (A)	2011	0	21411
Strathfield (A)	2011	1	11308
Strathfield (A)	2016	0	25869
Strathfield (A)	2016	1	11783
Sutherland Shire (A)	2006	0	21239
Sutherland Shire (A)	2006	1	175893
Sutherland Shire (A)	2011	0	24353
Sutherland Shire (A)	2011	1	179675
Sutherland Shire (A)	2016	0	28410
Sutherland Shire (A)	2016	1	181626
Sydney (C)	2006	0	37729
Sydney (C)	2006	1	81305
Sydney (C)	2011	0	50685
Sydney (C)	2011	1	96858
Sydney (C)	2016	0	75390
Sydney (C)	2016	1	107287
Tamworth Regional (A)	2006	0	881
Tamworth Regional (A)	2006	1	50655
Tamworth Regional (A)	2011	0	1110
Tamworth Regional (A)	2011	1	52608
Tamworth Regional (A)	2016	0	2236
Tamworth Regional (A)	2016	1	52935
Temora (A)	2006	0	78
Temora (A)	2006	1	5602
Temora (A)	2011	0	105
Temora (A)	2011	1	5498
Temora (A)	2016	0	131
Temora (A)	2016	1	5648
Tenterfield (A)	2006	0	139
Tenterfield (A)	2006	1	6190
Tenterfield (A)	2011	0	157
Tenterfield (A)	2011	1	6281
Tenterfield (A)	2016	0	163
Tenterfield (A)	2016	1	5730
The Hills Shire (A)	2006	0	29838
The Hills Shire (A)	2006	1	98838
The Hills Shire (A)	2011	0	37493
The Hills Shire (A)	2011	1	101008
The Hills Shire (A)	2016	0	50108
The Hills Shire (A)	2016	1	102587
Tweed (A)	2006	0	2479
Tweed (A)	2006	1	72680
Tweed (A)	2011	0	3125
Tweed (A)	2011	1	77991
Tweed (A)	2016	0	3845
Tweed (A)	2016	1	81054
Upper Hunter Shire (A)	2006	0	217
Upper Hunter Shire (A)	2006	1	12257
Upper Hunter Shire (A)	2011	0	264
Upper Hunter Shire (A)	2011	1	12911
Upper Hunter Shire (A)	2016	0	418
Upper Hunter Shire (A)	2016	1	12444
Upper Lachlan Shire (A)	2006	0	112
Upper Lachlan Shire (A)	2006	1	6614
Upper Lachlan Shire (A)	2011	0	145
Upper Lachlan Shire (A)	2011	1	6770
Upper Lachlan Shire (A)	2016	0	122
Upper Lachlan Shire (A)	2016	1	6958
Uralla (A)	2006	0	102
Uralla (A)	2006	1	5472
Uralla (A)	2011	0	122
Uralla (A)	2011	1	5681
Uralla (A)	2016	0	99
Uralla (A)	2016	1	5564
Wagga Wagga (C)	2006	0	1724
Wagga Wagga (C)	2006	1	53543
Wagga Wagga (C)	2011	0	2752
Wagga Wagga (C)	2011	1	54800
Wagga Wagga (C)	2016	0	4129
Wagga Wagga (C)	2016	1	54708
Walcha (A)	2006	0	37
Walcha (A)	2006	1	3090
Walcha (A)	2011	0	50
Walcha (A)	2011	1	2901
Walcha (A)	2016	0	44
Walcha (A)	2016	1	2708
Walgett (A)	2006	0	365
Walgett (A)	2006	1	6139
Walgett (A)	2011	0	356
Walgett (A)	2011	1	5537
Walgett (A)	2016	0	322
Walgett (A)	2016	1	5042
Warren (A)	2006	0	16
Warren (A)	2006	1	2637
Warren (A)	2011	0	42
Warren (A)	2011	1	2615
Warren (A)	2016	0	55
Warren (A)	2016	1	2401
Warrumbungle Shire (A)	2006	0	165
Warrumbungle Shire (A)	2006	1	9282
Warrumbungle Shire (A)	2011	0	184
Warrumbungle Shire (A)	2011	1	8837
Warrumbungle Shire (A)	2016	0	194
Warrumbungle Shire (A)	2016	1	8178
Waverley (A)	2006	0	10617
Waverley (A)	2006	1	40324
Waverley (A)	2011	0	11986
Waverley (A)	2011	1	44746
Waverley (A)	2016	0	14020
Waverley (A)	2016	1	45870
Weddin (A)	2006	0	48
Weddin (A)	2006	1	3517
Weddin (A)	2011	0	32
Weddin (A)	2011	1	3476
Weddin (A)	2016	0	46
Weddin (A)	2016	1	3273
Wentworth (A)	2006	0	218
Wentworth (A)	2006	1	6246
Wentworth (A)	2011	0	193
Wentworth (A)	2011	1	6098
Wentworth (A)	2016	0	201
Wentworth (A)	2016	1	5843
Western Plains Regional (A)	2006	0	1004
Western Plains Regional (A)	2006	1	42211
Western Plains Regional (A)	2011	0	1315
Western Plains Regional (A)	2011	1	43532
Western Plains Regional (A)	2016	0	2349
Western Plains Regional (A)	2016	1	43242
Willoughby (C)	2006	0	19793
Willoughby (C)	2006	1	39890
Willoughby (C)	2011	0	23644
Willoughby (C)	2011	1	40685
Willoughby (C)	2016	0	29904
Willoughby (C)	2016	1	40861
Wingecarribee (A)	2006	0	1804
Wingecarribee (A)	2006	1	38454
Wingecarribee (A)	2011	0	1984
Wingecarribee (A)	2011	1	40565
Wingecarribee (A)	2016	0	2703
Wingecarribee (A)	2016	1	42268
Wollondilly (A)	2006	0	2062
Wollondilly (A)	2006	1	36581
Wollondilly (A)	2011	0	2226
Wollondilly (A)	2011	1	39455
Wollondilly (A)	2016	0	2768
Wollondilly (A)	2016	1	43229
Wollongong (C)	2006	0	29667
Wollongong (C)	2006	1	146000
Wollongong (C)	2011	0	32093
Wollongong (C)	2011	1	152693
Wollongong (C)	2016	0	34296
Wollongong (C)	2016	1	159289
Woollahra (A)	2006	0	6397
Woollahra (A)	2006	1	37633
Woollahra (A)	2011	0	6973
Woollahra (A)	2011	1	39817
Woollahra (A)	2016	0	8376
Woollahra (A)	2016	1	41035
Yass Valley (A)	2006	0	427
Yass Valley (A)	2006	1	12270
Yass Valley (A)	2011	0	555
Yass Valley (A)	2011	1	13765
Yass Valley (A)	2016	0	575
Yass Valley (A)	2016	1	14550
Unincorporated NSW	2006	0	20
Unincorporated NSW	2006	1	1002
Unincorporated NSW	2011	0	19
Unincorporated NSW	2011	1	1014
Unincorporated NSW	2016	0	27
Unincorporated NSW	2016	1	905
No usual address (NSW)	2006	0	1624
No usual address (NSW)	2006	1	7491
No usual address (NSW)	2011	0	1716
No usual address (NSW)	2011	1	8616
No usual address (NSW)	2016	0	1822
No usual address (NSW)	2016	1	7212
Migratory - Offshore - Shipping (NSW)	2006	0	5
Migratory - Offshore - Shipping (NSW)	2006	1	49
Migratory - Offshore - Shipping (NSW)	2011	0	21
Migratory - Offshore - Shipping (NSW)	2011	1	83
Migratory - Offshore - Shipping (NSW)	2016	0	92
Migratory - Offshore - Shipping (NSW)	2016	1	279
Alpine (S)	2006	0	1080
Alpine (S)	2006	1	10395
Alpine (S)	2011	0	1046
