LGA_NAME16	Year	medianMortgageRepaymentMonthly
Ararat (RC)	2006	780
Ballarat (C)	2006	1040
Banyule (C)	2006	1350
Bass Coast (S)	2006	1000
Baw Baw (S)	2006	1040
Bayside (C)	2006	1914
Benalla (RC)	2006	868
Boroondara (C)	2006	1842
Brimbank (C)	2006	1192
Buloke (S)	2006	520
Campaspe (S)	2006	1001
Cardinia (S)	2006	1300
Casey (C)	2006	1300
Central Goldfields (S)	2006	693
Colac-Otway (S)	2006	911
Corangamite (S)	2006	867
Darebin (C)	2006	1350
East Gippsland (S)	2006	867
Frankston (C)	2006	1200
Gannawarra (S)	2006	758
Glen Eira (C)	2006	1600
Glenelg (S)	2006	867
Golden Plains (S)	2006	1083
Greater Bendigo (C)	2006	997
Greater Dandenong (C)	2006	1083
Greater Geelong (C)	2006	1100
Greater Shepparton (C)	2006	1083
Hepburn (S)	2006	867
Hindmarsh (S)	2006	596
Hobsons Bay (C)	2006	1300
Horsham (RC)	2006	900
Hume (C)	2006	1300
Indigo (S)	2006	1083
Kingston (C) (Vic.)	2006	1400
Knox (C)	2006	1276
Latrobe (C) (Vic.)	2006	867
Loddon (S)	2006	594
Macedon Ranges (S)	2006	1200
Manningham (C)	2006	1582
Mansfield (S)	2006	1000
Maribyrnong (C)	2006	1420
Maroondah (C)	2006	1250
Melbourne (C)	2006	1733
Melton (C)	2006	1300
Mildura (RC)	2006	1000
Mitchell (S)	2006	1199
Moira (S)	2006	975
Monash (C)	2006	1430
Moonee Valley (C)	2006	1500
Moorabool (S)	2006	1105
Moreland (C)	2006	1346
Mornington Peninsula (S)	2006	1300
Mount Alexander (S)	2006	867
Moyne (S)	2006	910
Murrindindi (S)	2006	1016
Nillumbik (S)	2006	1430
Northern Grampians (S)	2006	737
Port Phillip (C)	2006	1754
Pyrenees (S)	2006	715
Queenscliffe (B)	2006	1000
South Gippsland (S)	2006	956
Southern Grampians (S)	2006	823
Stonnington (C)	2006	1950
Strathbogie (S)	2006	826
Surf Coast (S)	2006	1270
Swan Hill (RC)	2006	867
Towong (S)	2006	867
Wangaratta (RC)	2006	953
Warrnambool (C)	2006	1083
Wellington (S)	2006	867
West Wimmera (S)	2006	550
Whitehorse (C)	2006	1408
Whittlesea (C)	2006	1300
Wodonga (C)	2006	1170
Wyndham (C)	2006	1300
Yarra (C)	2006	1733
Yarra Ranges (S)	2006	1200
Yarriambiack (S)	2006	520
Unincorporated Vic	2006	1170
No usual address (Vic.)	2006	0
Migratory - Offshore - Shipping (Vic.)	2006	0
Aurukun (S)	2006	0
Balonne (S)	2006	867
Banana (S)	2006	997
Barcaldine (R)	2006	600
Barcoo (S)	2006	2500
Blackall-Tambo (R)	2006	488
Boulia (S)	2006	789
Brisbane (C)	2006	1450
Bulloo (S)	2006	381
Bundaberg (R)	2006	910
Burdekin (S)	2006	867
Burke (S)	2006	1400
Cairns (R)	2006	1268
Carpentaria (S)	2006	802
Cassowary Coast (R)	2006	900
Central Highlands (R) (Qld)	2006	1300
Charters Towers (R)	2006	888
Cherbourg (S)	2006	0
Cloncurry (S)	2006	982
Cook (S)	2006	869
Croydon (S)	2006	347
Diamantina (S)	2006	0
Doomadgee (S)	2006	0
Douglas (S)	2006	1200
Etheridge (S)	2006	566
Flinders (S) (Qld)	2006	628
Fraser Coast (R)	2006	997
Gladstone (R)	2006	1200
Gold Coast (C)	2006	1506
Goondiwindi (R)	2006	1040
Gympie (R)	2006	900
Hinchinbrook (S)	2006	830
Hope Vale (S)	2006	0
Ipswich (C)	2006	1100
Isaac (R)	2006	1083
Kowanyama (S)	2006	0
Livingstone (S)	2006	1150
Lockhart River (S)	2006	0
Lockyer Valley (R)	2006	997
Logan (C)	2006	1213
Longreach (R)	2006	867
Mackay (R)	2006	1300
McKinlay (S)	2006	789
Mapoon (S)	2006	0
Maranoa (R)	2006	867
Mareeba (S)	2006	1000
Moreton Bay (R)	2006	1300
Mornington (S)	2006	0
Mount Isa (C)	2006	1083
Murweh (S)	2006	650
Napranum (S)	2006	0
Noosa (S)	2006	1300
North Burnett (R)	2006	715
Northern Peninsula Area (R)	2006	0
Palm Island (S)	2006	0
Paroo (S)	2006	533
Pormpuraaw (S)	2006	0
Quilpie (S)	2006	650
Redland (C)	2006	1365
Richmond (S)	2006	521
Rockhampton (R)	2006	975
Scenic Rim (R)	2006	1182
Somerset (R)	2006	975
South Burnett (R)	2006	867
Southern Downs (R)	2006	900
Sunshine Coast (R)	2006	1300
Tablelands (R)	2006	953
Toowoomba (R)	2006	1083
Torres (S)	2006	1083
Torres Strait Island (R)	2006	0
Townsville (C)	2006	1200
Weipa (T)	2006	1473
Western Downs (R)	2006	867
Whitsunday (R)	2006	1105
Winton (S)	2006	542
Woorabinda (S)	2006	0
Wujal Wujal (S)	2006	0
Yarrabah (S)	2006	0
No usual address (Qld)	2006	0
Migratory - Offshore - Shipping (Qld)	2006	0
Adelaide (C)	2006	1500
Adelaide Hills (DC)	2006	1170
Alexandrina (DC)	2006	997
Anangu Pitjantjatjara (AC)	2006	0
Barossa (DC)	2006	1083
Barunga West (DC)	2006	624
Berri and Barmera (DC)	2006	867
Burnside (C)	2006	1495
Campbelltown (C) (SA)	2006	1083
Ceduna (DC)	2006	823
Charles Sturt (C)	2006	1100
Clare and Gilbert Valleys (DC)	2006	841
Cleve (DC)	2006	763
Coober Pedy (DC)	2006	477
Copper Coast (DC)	2006	737
Elliston (DC)	2006	650
Flinders Ranges (DC)	2006	623
Franklin Harbour (DC)	2006	702
Gawler (T)	2006	1000
Goyder (DC)	2006	600
Grant (DC)	2006	985
Holdfast Bay (C)	2006	1250
Kangaroo Island (DC)	2006	780
Karoonda East Murray (DC)	2006	650
Kimba (DC)	2006	498
Kingston (DC) (SA)	2006	800
Light (RegC)	2006	1083
Lower Eyre Peninsula (DC)	2006	867
Loxton Waikerie (DC)	2006	780
Mallala (DC)	2006	975
Maralinga Tjarutja (AC)	2006	0
Marion (C)	2006	1083
Mid Murray (DC)	2006	693
Mitcham (C)	2006	1213
Mount Barker (DC)	2006	1100
Mount Gambier (C)	2006	916
Mount Remarkable (DC)	2006	578
Murray Bridge (RC)	2006	867
Naracoorte and Lucindale (DC)	2006	800
Northern Areas (DC)	2006	600
Norwood Payneham St Peters (C)	2006	1300
Onkaparinga (C)	2006	1000
Orroroo/Carrieton (DC)	2006	574
Peterborough (DC)	2006	433
Playford (C)	2006	867
Port Adelaide Enfield (C)	2006	1083
Port Augusta (C)	2006	706
Port Lincoln (C)	2006	997
Port Pirie City and Dists (M)	2006	650
Prospect (C)	2006	1300
Renmark Paringa (DC)	2006	815
Robe (DC)	2006	967
Roxby Downs (M)	2006	1300
Salisbury (C)	2006	975
Southern Mallee (DC)	2006	529
Streaky Bay (DC)	2006	700
Tatiara (DC)	2006	774
Tea Tree Gully (C)	2006	1083
The Coorong (DC)	2006	650
Tumby Bay (DC)	2006	800
Unley (C)	2006	1343
Victor Harbor (C)	2006	975
Wakefield (DC)	2006	628
Walkerville (M)	2006	1473
Wattle Range (DC)	2006	758
West Torrens (C)	2006	1148
Whyalla (C)	2006	737
Wudinna (DC)	2006	600
Yankalilla (DC)	2006	867
Yorke Peninsula (DC)	2006	650
Unincorporated SA	2006	433
No usual address (SA)	2006	0
Migratory - Offshore - Shipping (SA)	2006	0
Albany (C)	2006	1049
Armadale (C)	2006	1040
Ashburton (S)	2006	253
Augusta-Margaret River (S)	2006	1254
Bassendean (T)	2006	1100
Bayswater (C)	2006	1213
Belmont (C)	2006	1200
Beverley (S)	2006	654
Boddington (S)	2006	1000
Boyup Brook (S)	2006	800
Bridgetown-Greenbushes (S)	2006	895
Brookton (S)	2006	648
Broome (S)	2006	1733
Broomehill-Tambellup (S)	2006	600
Bruce Rock (S)	2006	433
Bunbury (C)	2006	1083
Busselton (C)	2006	1213
Cambridge (T)	2006	1842
Canning (C)	2006	1200
Capel (S)	2006	1300
Carnamah (S)	2006	432
Carnarvon (S)	2006	867
Chapman Valley (S)	2006	1114
Chittering (S)	2006	1202
Claremont (T)	2006	1800
Cockburn (C)	2006	1300
Collie (S)	2006	867
Coolgardie (S)	2006	700
Coorow (S)	2006	1000
Corrigin (S)	2006	650
Cottesloe (T)	2006	2167
Cranbrook (S)	2006	669
Cuballing (S)	2006	770
Cue (S)	2006	347
Cunderdin (S)	2006	562
Dalwallinu (S)	2006	550
Dandaragan (S)	2006	1092
Dardanup (S)	2006	1192
Denmark (S)	2006	1000
Derby-West Kimberley (S)	2006	921
Donnybrook-Balingup (S)	2006	1051
Dowerin (S)	2006	670
Dumbleyung (S)	2006	530
Dundas (S)	2006	438
East Fremantle (T)	2006	1614
East Pilbara (S)	2006	360
Esperance (S)	2006	1018
Exmouth (S)	2006	1240
Fremantle (C)	2006	1400
Gingin (S)	2006	1025
Gnowangerup (S)	2006	480
Goomalling (S)	2006	700
Gosnells (C)	2006	1100
Greater Geraldton (C)	2006	1000
Halls Creek (S)	2006	735
Harvey (S)	2006	1127
Irwin (S)	2006	1083
Jerramungup (S)	2006	683
Joondalup (C)	2006	1300
Kalamunda (S)	2006	1200
Kalgoorlie/Boulder (C)	2006	1200
Karratha (C)	2006	1623
Katanning (S)	2006	650
Kellerberrin (S)	2006	498
Kent (S)	2006	542
Kojonup (S)	2006	650
Kondinin (S)	2006	650
Koorda (S)	2006	575
Kulin (S)	2006	474
Kwinana (C)	2006	1083
Lake Grace (S)	2006	613
Laverton (S)	2006	650
Leonora (S)	2006	695
Mandurah (C)	2006	1200
Manjimup (S)	2006	867
Meekatharra (S)	2006	367
Melville (C)	2006	1408
Menzies (S)	2006	0
Merredin (S)	2006	650
Mingenew (S)	2006	433
Moora (S)	2006	650
Morawa (S)	2006	433
Mosman Park (T)	2006	1800
Mount Magnet (S)	2006	499
Mount Marshall (S)	2006	776
Mukinbudin (S)	2006	446
Mundaring (S)	2006	1200
Murchison (S)	2006	0
Murray (S)	2006	1148
Nannup (S)	2006	884
Narembeen (S)	2006	507
Narrogin (S)	2006	758
Nedlands (C)	2006	2058
Ngaanyatjarraku (S)	2006	0
Northam (S)	2006	867
Northampton (S)	2006	993
Nungarin (S)	2006	528
Peppermint Grove (S)	2006	3300
Perenjori (S)	2006	385
Perth (C)	2006	1733
Pingelly (S)	2006	542
Plantagenet (S)	2006	795
Port Hedland (T)	2006	1083
Quairading (S)	2006	564
Ravensthorpe (S)	2006	977
Rockingham (C)	2006	1240
Sandstone (S)	2006	1175
Serpentine-Jarrahdale (S)	2006	1354
Shark Bay (S)	2006	860
South Perth (C)	2006	1517
Stirling (C)	2006	1300
Subiaco (C)	2006	1733
Swan (C)	2006	1200
Tammin (S)	2006	483
Three Springs (S)	2006	593
Toodyay (S)	2006	1018
Trayning (S)	2006	433
Upper Gascoyne (S)	2006	0
Victoria Park (T)	2006	1343
Victoria Plains (S)	2006	422
Vincent (C)	2006	1597
Wagin (S)	2006	609
Wandering (S)	2006	780
Wanneroo (C)	2006	1300
Waroona (S)	2006	1083
West Arthur (S)	2006	621
Westonia (S)	2006	800
Wickepin (S)	2006	622
Williams (S)	2006	867
Wiluna (S)	2006	0
Wongan-Ballidu (S)	2006	600
Woodanilling (S)	2006	619
Wyalkatchem (S)	2006	444
Wyndham-East Kimberley (S)	2006	1300
Yalgoo (S)	2006	360
Yilgarn (S)	2006	650
York (S)	2006	921
No usual address (WA)	2006	0
Migratory - Offshore - Shipping (WA)	2006	0
Break O'Day (M)	2006	650
Brighton (M)	2006	888
Burnie (C)	2006	780
Central Coast (M) (Tas.)	2006	813
Central Highlands (M) (Tas.)	2006	650
Circular Head (M)	2006	758
Clarence (C)	2006	975
Derwent Valley (M)	2006	800
Devonport (C)	2006	867
Dorset (M)	2006	758
Flinders (M) (Tas.)	2006	774
George Town (M)	2006	758
Glamorgan/Spring Bay (M)	2006	758
Glenorchy (C)	2006	867
Hobart (C)	2006	1138
Huon Valley (M)	2006	780
Kentish (M)	2006	709
King Island (M)	2006	609
Kingborough (M)	2006	1040
Latrobe (M) (Tas.)	2006	867
Launceston (C)	2006	867
Meander Valley (M)	2006	900
Northern Midlands (M)	2006	867
Sorell (M)	2006	867
Southern Midlands (M)	2006	758
Tasman (M)	2006	650
Waratah/Wynyard (M)	2006	769
West Coast (M)	2006	500
West Tamar (M)	2006	910
No usual address (Tas.)	2006	0
Migratory - Offshore - Shipping (Tas.)	2006	0
Alice Springs (T)	2006	1300
Barkly (R)	2006	650
Belyuen (S)	2006	0
Central Desert (R)	2006	0
Coomalie (S)	2006	867
Darwin (C)	2006	1343
East Arnhem (R)	2006	0
Katherine (T)	2006	1083
Litchfield (M)	2006	1300
MacDonnell (R)	2006	0
Palmerston (C)	2006	1300
Roper Gulf (R)	2006	867
Tiwi Islands (R)	2006	0
Victoria Daly (R)	2006	600
Wagait (S)	2006	1054
West Arnhem (R)	2006	1387
West Daly (R)	2006	0
Unincorporated NT	2006	800
No usual address (NT)	2006	0
Migratory - Offshore - Shipping (NT)	2006	0
Unincorporated ACT	2006	1500
No usual address (ACT)	2006	0
Migratory - Offshore - Shipping (ACT)	2006	0
Unincorp. Other Territories	2006	1083
No usual address (OT)	2006	0
Migratory - Offshore - Shipping (OT)	2006	0
Albury (C)	2011	1452
Armidale Regional (A)	2011	1345
Ballina (A)	2011	1733
Balranald (A)	2011	893
Bathurst Regional (A)	2011	1630
Bega Valley (A)	2011	1300
Bellingen (A)	2011	1300
Berrigan (A)	2011	1083
Blacktown (C)	2011	2100
Bland (A)	2011	1000
Blayney (A)	2011	1434
Blue Mountains (C)	2011	1842
Bogan (A)	2011	1020
Botany Bay (C)	2011	2400
Bourke (A)	2011	867
Brewarrina (A)	2011	542
Broken Hill (C)	2011	969
Burwood (A)	2011	2167
Byron (A)	2011	1650
Cabonne (A)	2011	1400
Camden (A)	2011	2182
Campbelltown (C) (NSW)	2011	1800
Canada Bay (A)	2011	2600
Canterbury-Bankstown (A)	2011	2000
Carrathool (A)	2011	902
Central Coast (C) (NSW)	2011	1820
Central Darling (A)	2011	442
Cessnock (C)	2011	1517
Clarence Valley (A)	2011	1300
Cobar (A)	2011	1300
Coffs Harbour (C)	2011	1571
Coolamon (A)	2011	1127
Coonamble (A)	2011	844
Cowra (A)	2011	1100
Cumberland (A)	2011	2000
Dungog (A)	2011	1582
Edward River (A)	2011	1083
Eurobodalla (A)	2011	1408
Fairfield (C)	2011	1800
Federation (A)	2011	1300
Forbes (A)	2011	1127
Georges River (A)	2011	2167
Gilgandra (A)	2011	975
Glen Innes Severn (A)	2011	1083
Goulburn Mulwaree (A)	2011	1517
Greater Hume Shire (A)	2011	1200
Griffith (C)	2011	1517
Gundagai (A)	2011	1100
Gunnedah (A)	2011	1300
Gwydir (A)	2011	867
Hawkesbury (C)	2011	2037
Hay (A)	2011	999
Hilltops (A)	2011	1200
Hornsby (A)	2011	2400
Hunters Hill (A)	2011	3110
Inner West (A)	2011	2540
Inverell (A)	2011	1200
Junee (A)	2011	1170
Kempsey (A)	2011	1300
Kiama (A)	2011	2000
Ku-ring-gai (A)	2011	3033
Kyogle (A)	2011	1083
Lachlan (A)	2011	867
Lake Macquarie (C)	2011	1733
Lane Cove (A)	2011	2708
Leeton (A)	2011	1300
Lismore (C)	2011	1473
Lithgow (C)	2011	1430
Liverpool (C)	2011	2167
Liverpool Plains (A)	2011	1127
Lockhart (A)	2011	993
Maitland (C)	2011	1733
Mid-Coast (A)	2011	1303
Mid-Western Regional (A)	2011	1517
Moree Plains (A)	2011	1300
Mosman (A)	2011	3200
Murray River (A)	2011	1300
Murrumbidgee (A)	2011	1025
Muswellbrook (A)	2011	1733
Nambucca (A)	2011	1226
Narrabri (A)	2011	1300
Narrandera (A)	2011	1000
Narromine (A)	2011	1083
Newcastle (C)	2011	1776
North Sydney (A)	2011	2756
Northern Beaches (A)	2011	2800
Oberon (A)	2011	1517
Orange (C)	2011	1625
Parkes (A)	2011	1300
Parramatta (C)	2011	2167
Penrith (C)	2011	1993
Port Macquarie-Hastings (A)	2011	1647
Port Stephens (A)	2011	1733
Queanbeyan-Palerang Regional (A)	2011	2080
Randwick (C)	2011	2600
Richmond Valley (A)	2011	1300
Rockdale (C)	2011	2167
Ryde (C)	2011	2310
Shellharbour (C)	2011	1900
Shoalhaven (C)	2011	1500
Singleton (A)	2011	2000
Snowy Monaro Regional (A)	2011	1343
Snowy Valleys (A)	2011	1300
Strathfield (A)	2011	2200
Sutherland Shire (A)	2011	2400
Sydney (C)	2011	2518
Tamworth Regional (A)	2011	1428
Temora (A)	2011	1083
Tenterfield (A)	2011	1083
The Hills Shire (A)	2011	2600
Tweed (A)	2011	1733
Upper Hunter Shire (A)	2011	1600
Upper Lachlan Shire (A)	2011	1417
Uralla (A)	2011	1278
Wagga Wagga (C)	2011	1525
Walcha (A)	2011	1040
Walgett (A)	2011	850
Warren (A)	2011	867
Warrumbungle Shire (A)	2011	901
Waverley (A)	2011	3000
Weddin (A)	2011	900
Wentworth (A)	2011	1192
Western Plains Regional (A)	2011	1443
Willoughby (C)	2011	2900
Wingecarribee (A)	2011	1842
Wollondilly (A)	2011	2141
Wollongong (C)	2011	1950
Woollahra (A)	2011	3200
Yass Valley (A)	2011	2000
Unincorporated NSW	2011	816
No usual address (NSW)	2011	0
Migratory - Offshore - Shipping (NSW)	2011	0
Alpine (S)	2011	1300
Ararat (RC)	2011	1040
Ballarat (C)	2011	1311
Banyule (C)	2011	1900
Bass Coast (S)	2011	1300
Baw Baw (S)	2011	1404
Bayside (C)	2011	2486
Benalla (RC)	2011	1200
Boroondara (C)	2011	2400
Brimbank (C)	2011	1600
Buloke (S)	2011	716
Campaspe (S)	2011	1300
Cardinia (S)	2011	1733
Casey (C)	2011	1733
Central Goldfields (S)	2011	867
Colac-Otway (S)	2011	1249
Corangamite (S)	2011	1083
Darebin (C)	2011	1900
East Gippsland (S)	2011	1257
Frankston (C)	2011	1647
Gannawarra (S)	2011	986
Glen Eira (C)	2011	2149
Glenelg (S)	2011	1170
Golden Plains (S)	2011	1500
Greater Bendigo (C)	2011	1300
Greater Dandenong (C)	2011	1517
Greater Geelong (C)	2011	1517
Greater Shepparton (C)	2011	1300
Hepburn (S)	2011	1213
Hindmarsh (S)	2011	761
Hobsons Bay (C)	2011	1788
Horsham (RC)	2011	1192
Hume (C)	2011	1706
Indigo (S)	2011	1387
Kingston (C) (Vic.)	2011	1950
Knox (C)	2011	1733
Latrobe (C) (Vic.)	2011	1200
Loddon (S)	2011	758
Macedon Ranges (S)	2011	1733
Manningham (C)	2011	2000
Mansfield (S)	2011	1300
Maribyrnong (C)	2011	2000
Maroondah (C)	2011	1733
Melbourne (C)	2011	2167
Melton (C)	2011	1733
Mildura (RC)	2011	1262
Mitchell (S)	2011	1588
Moira (S)	2011	1200
Monash (C)	2011	2000
Moonee Valley (C)	2011	2000
Moorabool (S)	2011	1517
Moreland (C)	2011	1950
Mornington Peninsula (S)	2011	1733
Mount Alexander (S)	2011	1200
Moyne (S)	2011	1300
Murrindindi (S)	2011	1400
Nillumbik (S)	2011	1950
Northern Grampians (S)	2011	910
Port Phillip (C)	2011	2200
Pyrenees (S)	2011	953
Queenscliffe (B)	2011	1500
South Gippsland (S)	2011	1300
Southern Grampians (S)	2011	1083
Stonnington (C)	2011	2400
Strathbogie (S)	2011	1100
Surf Coast (S)	2011	1800
Swan Hill (RC)	2011	1142
Towong (S)	2011	1083
Wangaratta (RC)	2011	1300
Warrnambool (C)	2011	1495
Wellington (S)	2011	1213
West Wimmera (S)	2011	650
Whitehorse (C)	2011	1960
Whittlesea (C)	2011	1859
Wodonga (C)	2011	1488
Wyndham (C)	2011	1800
Yarra (C)	2011	2258
Yarra Ranges (S)	2011	1647
Yarriambiack (S)	2011	650
Unincorporated Vic	2011	1727
No usual address (Vic.)	2011	0
Migratory - Offshore - Shipping (Vic.)	2011	0
Aurukun (S)	2011	0
Balonne (S)	2011	1200
Banana (S)	2011	1547
Barcaldine (R)	2011	867
Barcoo (S)	2011	552
Blackall-Tambo (R)	2011	927
Boulia (S)	2011	603
Brisbane (C)	2011	2100
Bulloo (S)	2011	650
Bundaberg (R)	2011	1365
Burdekin (S)	2011	1300
Burke (S)	2011	867
Cairns (R)	2011	1733
Carpentaria (S)	2011	999
Cassowary Coast (R)	2011	1326
Central Highlands (R) (Qld)	2011	2015
Charters Towers (R)	2011	1365
Cherbourg (S)	2011	0
Cloncurry (S)	2011	1517
Cook (S)	2011	1092
Croydon (S)	2011	1188
Diamantina (S)	2011	618
Doomadgee (S)	2011	303
Douglas (S)	2011	1647
Etheridge (S)	2011	685
Flinders (S) (Qld)	2011	716
Fraser Coast (R)	2011	1400
Gladstone (R)	2011	2000
Gold Coast (C)	2011	2061
Goondiwindi (R)	2011	1300
Gympie (R)	2011	1343
Hinchinbrook (S)	2011	1249
Hope Vale (S)	2011	0
Ipswich (C)	2011	1733
Isaac (R)	2011	1900
Kowanyama (S)	2011	0
Livingstone (S)	2011	1900
Lockhart River (S)	2011	0
Lockyer Valley (R)	2011	1517
Logan (C)	2011	1800
Longreach (R)	2011	1300
Mackay (R)	2011	2156
McKinlay (S)	2011	959
Mapoon (S)	2011	0
Maranoa (R)	2011	1408
Mareeba (S)	2011	1500
Moreton Bay (R)	2011	1928
Mornington (S)	2011	0
Mount Isa (C)	2011	2000
Murweh (S)	2011	1059
Napranum (S)	2011	0
Noosa (S)	2011	1733
North Burnett (R)	2011	1018
Northern Peninsula Area (R)	2011	0
Palm Island (S)	2011	0
Paroo (S)	2011	550
Pormpuraaw (S)	2011	0
Quilpie (S)	2011	579
Redland (C)	2011	2000
Richmond (S)	2011	697
Rockhampton (R)	2011	1600
Scenic Rim (R)	2011	1733
Somerset (R)	2011	1500
South Burnett (R)	2011	1200
Southern Downs (R)	2011	1300
Sunshine Coast (R)	2011	1900
Tablelands (R)	2011	1387
Toowoomba (R)	2011	1517
Torres (S)	2011	1200
Torres Strait Island (R)	2011	0
Townsville (C)	2011	1863
Weipa (T)	2011	2000
Western Downs (R)	2011	1300
Whitsunday (R)	2011	1755
Winton (S)	2011	884
Woorabinda (S)	2011	0
Wujal Wujal (S)	2011	0
Yarrabah (S)	2011	0
No usual address (Qld)	2011	0
Migratory - Offshore - Shipping (Qld)	2011	0
Adelaide (C)	2011	1895
Adelaide Hills (DC)	2011	1733
Alexandrina (DC)	2011	1387
Anangu Pitjantjatjara (AC)	2011	0
Barossa (DC)	2011	1473
Barunga West (DC)	2011	867
Berri and Barmera (DC)	2011	1083
Burnside (C)	2011	2000
Campbelltown (C) (SA)	2011	1600
Ceduna (DC)	2011	1237
Charles Sturt (C)	2011	1690
Clare and Gilbert Valleys (DC)	2011	1200
Cleve (DC)	2011	758
Coober Pedy (DC)	2011	600
Copper Coast (DC)	2011	1083
Elliston (DC)	2011	867
Flinders Ranges (DC)	2011	1040
Franklin Harbour (DC)	2011	1192
Gawler (T)	2011	1408
Goyder (DC)	2011	867
Grant (DC)	2011	1300
Holdfast Bay (C)	2011	1800
Kangaroo Island (DC)	2011	1127
Karoonda East Murray (DC)	2011	754
Kimba (DC)	2011	650
Kingston (DC) (SA)	2011	1083
Light (RegC)	2011	1473
Lower Eyre Peninsula (DC)	2011	1249
Loxton Waikerie (DC)	2011	1083
Mallala (DC)	2011	1381
Maralinga Tjarutja (AC)	2011	0
Marion (C)	2011	1618
Mid Murray (DC)	2011	1062
Mitcham (C)	2011	1760
Mount Barker (DC)	2011	1625
Mount Gambier (C)	2011	1248
Mount Remarkable (DC)	2011	910
Murray Bridge (RC)	2011	1200
Naracoorte and Lucindale (DC)	2011	1083
Northern Areas (DC)	2011	867
