LGA_NAME16	Year	labourForceParticipation
Yass Valley (A)	2016	65.3
Unincorporated NSW	2006	77.3
Unincorporated NSW	2011	76.4
Unincorporated NSW	2016	70
No usual address (NSW)	2006	47.9
No usual address (NSW)	2011	40.2
No usual address (NSW)	2016	37
Migratory - Offshore - Shipping (NSW)	2006	70.6
Migratory - Offshore - Shipping (NSW)	2011	29.1
Migratory - Offshore - Shipping (NSW)	2016	34.8
Alpine (S)	2006	56.9
Alpine (S)	2011	56.9
Alpine (S)	2016	54.9
Ararat (RC)	2006	54.6
Ararat (RC)	2011	53.9
Ararat (RC)	2016	50.7
Ballarat (C)	2006	58.7
Ballarat (C)	2011	59.6
Ballarat (C)	2016	58.5
Banyule (C)	2006	62.1
Banyule (C)	2011	63.1
Banyule (C)	2016	62.4
Bass Coast (S)	2006	48.4
Bass Coast (S)	2011	51.9
Bass Coast (S)	2016	48.8
Baw Baw (S)	2006	60.6
Baw Baw (S)	2011	60.8
Baw Baw (S)	2016	57.4
Bayside (C)	2006	60.8
Bayside (C)	2011	61.6
Bayside (C)	2016	61.3
Benalla (RC)	2006	57.8
Benalla (RC)	2011	56.2
Benalla (RC)	2016	51.1
Boroondara (C)	2006	63.3
Boroondara (C)	2011	64
Boroondara (C)	2016	62.9
Brimbank (C)	2006	55.9
Brimbank (C)	2011	56.3
Brimbank (C)	2016	56.4
Buloke (S)	2006	54.2
Buloke (S)	2011	54.1
Buloke (S)	2016	49.9
Campaspe (S)	2006	58.9
Campaspe (S)	2011	57.3
Campaspe (S)	2016	55.1
Cardinia (S)	2006	66
Cardinia (S)	2011	66.8
Cardinia (S)	2016	65.7
Casey (C)	2006	65.5
Casey (C)	2011	65.5
Casey (C)	2016	64.2
Central Goldfields (S)	2006	45.6
Central Goldfields (S)	2011	45.5
Central Goldfields (S)	2016	43.5
Colac-Otway (S)	2006	60.5
Colac-Otway (S)	2011	59.6
Colac-Otway (S)	2016	57.6
Corangamite (S)	2006	60.2
Corangamite (S)	2011	60.1
Corangamite (S)	2016	56.8
Darebin (C)	2006	55.8
Darebin (C)	2011	59.5
Darebin (C)	2016	61.4
East Gippsland (S)	2006	51.8
East Gippsland (S)	2011	51.6
East Gippsland (S)	2016	47.9
Frankston (C)	2006	61.5
Frankston (C)	2011	62.9
Frankston (C)	2016	62.1
Gannawarra (S)	2006	56.3
Gannawarra (S)	2011	53.7
Gannawarra (S)	2016	52.1
Glen Eira (C)	2006	61.5
Glen Eira (C)	2011	64.5
Glen Eira (C)	2016	64.2
Glenelg (S)	2006	60.4
Glenelg (S)	2011	58.1
Glenelg (S)	2016	54
Golden Plains (S)	2006	64.2
Golden Plains (S)	2011	65.1
Golden Plains (S)	2016	63.8
Greater Bendigo (C)	2006	59.1
Greater Bendigo (C)	2011	59.6
Greater Bendigo (C)	2016	58.2
Greater Dandenong (C)	2006	52.1
Greater Dandenong (C)	2011	53.5
Greater Dandenong (C)	2016	53.9
Greater Geelong (C)	2006	57.7
Greater Geelong (C)	2011	58.8
Greater Geelong (C)	2016	57.9
Greater Shepparton (C)	2006	61.1
Greater Shepparton (C)	2011	59.4
Greater Shepparton (C)	2016	56.4
Hepburn (S)	2006	54.6
Hepburn (S)	2011	55.1
Hepburn (S)	2016	51.8
Hindmarsh (S)	2006	54.5
Hindmarsh (S)	2011	52.9
Hindmarsh (S)	2016	50
Hobsons Bay (C)	2006	59.1
Hobsons Bay (C)	2011	60.9
Hobsons Bay (C)	2016	62
Horsham (RC)	2006	62.9
Horsham (RC)	2011	61.3
Horsham (RC)	2016	60.2
Hume (C)	2006	59
Hume (C)	2011	58.8
Hume (C)	2016	57.8
Indigo (S)	2006	62.4
Indigo (S)	2011	62.2
Indigo (S)	2016	59.7
Kingston (C) (Vic.)	2006	61.4
Kingston (C) (Vic.)	2011	62.9
Kingston (C) (Vic.)	2016	62.9
Knox (C)	2006	67.5
Knox (C)	2011	66.8
Knox (C)	2016	64.5
Latrobe (C) (Vic.)	2006	56.3
Latrobe (C) (Vic.)	2011	56.4
Latrobe (C) (Vic.)	2016	54.4
Loddon (S)	2006	53.1
Loddon (S)	2011	50.5
Loddon (S)	2016	47.3
Macedon Ranges (S)	2006	64.3
Macedon Ranges (S)	2011	65
Macedon Ranges (S)	2016	62
Manningham (C)	2006	60.4
Manningham (C)	2011	60
Manningham (C)	2016	57.7
Mansfield (S)	2006	59.2
Mansfield (S)	2011	59.3
Mansfield (S)	2016	55.5
Maribyrnong (C)	2006	58.4
Maribyrnong (C)	2011	62.4
Maribyrnong (C)	2016	65.7
Maroondah (C)	2006	64.3
Maroondah (C)	2011	65.6
Maroondah (C)	2016	64.6
Melbourne (C)	2006	57.5
Melbourne (C)	2011	61.1
Melbourne (C)	2016	57.5
Melton (C)	2006	66.3
Melton (C)	2011	65.9
Melton (C)	2016	63.6
Mildura (RC)	2006	59.1
Mildura (RC)	2011	57
Mildura (RC)	2016	55.6
Mitchell (S)	2006	62.1
Mitchell (S)	2011	62.3
Mitchell (S)	2016	60.1
Moira (S)	2006	56.3
Moira (S)	2011	54
Moira (S)	2016	51.8
Monash (C)	2006	58.1
Monash (C)	2011	58.4
Monash (C)	2016	56.8
Moonee Valley (C)	2006	59.9
Moonee Valley (C)	2011	62.5
Moonee Valley (C)	2016	63
Moorabool (S)	2006	63.2
Moorabool (S)	2011	62.9
Moorabool (S)	2016	61.2
Moreland (C)	2006	56
Moreland (C)	2011	60.1
Moreland (C)	2016	63.2
Mornington Peninsula (S)	2006	54.7
Mornington Peninsula (S)	2011	56.4
Mornington Peninsula (S)	2016	55.4
Mount Alexander (S)	2006	52.4
Mount Alexander (S)	2011	53
Mount Alexander (S)	2016	50.1
Moyne (S)	2006	63.4
Moyne (S)	2011	64.7
Moyne (S)	2016	61.1
Murrindindi (S)	2006	58.9
Murrindindi (S)	2011	57.5
Murrindindi (S)	2016	54.3
Nillumbik (S)	2006	72
Nillumbik (S)	2011	71.8
Nillumbik (S)	2016	69.2
Northern Grampians (S)	2006	56.5
Northern Grampians (S)	2011	55.6
Northern Grampians (S)	2016	52.7
Port Phillip (C)	2006	65.2
Port Phillip (C)	2011	70.6
Port Phillip (C)	2016	68.2
Pyrenees (S)	2006	51.3
Pyrenees (S)	2011	50.6
Pyrenees (S)	2016	46.6
Queenscliffe (B)	2006	43.4
Queenscliffe (B)	2011	47
Queenscliffe (B)	2016	42.9
South Gippsland (S)	2006	57.8
South Gippsland (S)	2011	58.7
South Gippsland (S)	2016	54.3
Southern Grampians (S)	2006	61
Southern Grampians (S)	2011	60.3
Southern Grampians (S)	2016	57.4
Stonnington (C)	2006	63.1
Stonnington (C)	2011	65.8
Stonnington (C)	2016	65.6
Strathbogie (S)	2006	54.9
Strathbogie (S)	2011	54.2
Strathbogie (S)	2016	52.2
Surf Coast (S)	2006	62.3
Surf Coast (S)	2011	63.8
Surf Coast (S)	2016	62.7
Swan Hill (RC)	2006	59.4
Swan Hill (RC)	2011	58
Swan Hill (RC)	2016	54.3
Towong (S)	2006	58.4
Towong (S)	2011	59.3
Towong (S)	2016	55.8
Wangaratta (RC)	2006	61.7
Wangaratta (RC)	2011	60.7
Wangaratta (RC)	2016	57
Warrnambool (C)	2006	61.2
Warrnambool (C)	2011	61.9
Warrnambool (C)	2016	59.8
Wellington (S)	2006	56.4
Wellington (S)	2011	56.2
Wellington (S)	2016	54.1
West Wimmera (S)	2006	61.4
West Wimmera (S)	2011	60.7
West Wimmera (S)	2016	59.8
Whitehorse (C)	2006	60.3
Whitehorse (C)	2011	60.1
Whitehorse (C)	2016	59.6
Whittlesea (C)	2006	60.1
Whittlesea (C)	2011	61.8
Whittlesea (C)	2016	61.4
Wodonga (C)	2006	65.9
Wodonga (C)	2011	64.4
Wodonga (C)	2016	62
Wyndham (C)	2006	66.1
Wyndham (C)	2011	66.9
Wyndham (C)	2016	65.7
Yarra (C)	2006	65.8
Yarra (C)	2011	69.2
Yarra (C)	2016	69.6
Yarra Ranges (S)	2006	65.9
Yarra Ranges (S)	2011	66.3
Yarra Ranges (S)	2016	64.4
Yarriambiack (S)	2006	53.3
Yarriambiack (S)	2011	50.6
Yarriambiack (S)	2016	49.2
Unincorporated Vic	2006	77.8
Unincorporated Vic	2011	77.2
Unincorporated Vic	2016	60.5
No usual address (Vic.)	2006	53.8
No usual address (Vic.)	2011	43.7
No usual address (Vic.)	2016	38.8
Migratory - Offshore - Shipping (Vic.)	2006	71.4
Migratory - Offshore - Shipping (Vic.)	2011	91.7
Migratory - Offshore - Shipping (Vic.)	2016	92
Aurukun (S)	2006	47
Aurukun (S)	2011	33.5
Aurukun (S)	2016	41.2
Balonne (S)	2006	70.4
Balonne (S)	2011	68.2
Balonne (S)	2016	65.6
Banana (S)	2006	70
Banana (S)	2011	69.9
Banana (S)	2016	67.2
Barcaldine (R)	2006	66.1
Barcaldine (R)	2011	66.7
Barcaldine (R)	2016	65.2
Barcoo (S)	2006	78.5
Barcoo (S)	2011	77.2
Barcoo (S)	2016	74.1
Blackall-Tambo (R)	2006	66.9
Blackall-Tambo (R)	2011	65
Blackall-Tambo (R)	2016	61.8
Boulia (S)	2006	75.9
Boulia (S)	2011	67.9
Boulia (S)	2016	65.2
Brisbane (C)	2006	65
Brisbane (C)	2011	66.6
Brisbane (C)	2016	65.7
Bulloo (S)	2006	77.2
Bulloo (S)	2011	74.3
Bulloo (S)	2016	76.8
Bundaberg (R)	2006	51.6
Bundaberg (R)	2011	51.6
Bundaberg (R)	2016	49.6
Burdekin (S)	2006	60.6
Burdekin (S)	2011	60.7
Burdekin (S)	2016	59.3
Burke (S)	2006	70.2
Burke (S)	2011	67.7
Burke (S)	2016	58.4
Cairns (R)	2006	65.9
Cairns (R)	2011	65.4
Cairns (R)	2016	62.9
Carpentaria (S)	2006	58.7
Carpentaria (S)	2011	55.7
Carpentaria (S)	2016	57.2
Cassowary Coast (R)	2006	58.4
Cassowary Coast (R)	2011	59.7
Cassowary Coast (R)	2016	55.8
Central Highlands (R) (Qld)	2006	73
Central Highlands (R) (Qld)	2011	72.3
Central Highlands (R) (Qld)	2016	67.6
Charters Towers (R)	2006	58.3
Charters Towers (R)	2011	57.8
Charters Towers (R)	2016	53.9
Cherbourg (S)	2006	44.2
Cherbourg (S)	2011	40.1
Cherbourg (S)	2016	32
Cloncurry (S)	2006	71
Cloncurry (S)	2011	68.7
Cloncurry (S)	2016	66
Cook (S)	2006	56.4
Cook (S)	2011	50.1
Cook (S)	2016	53.4
Croydon (S)	2006	70.4
Croydon (S)	2011	64.7
Croydon (S)	2016	52.8
Diamantina (S)	2006	78.3
Diamantina (S)	2011	81.5
Diamantina (S)	2016	72.4
Doomadgee (S)	2006	47.1
Doomadgee (S)	2011	44.5
Doomadgee (S)	2016	39.9
Douglas (S)	2006	66.5
Douglas (S)	2011	63.4
Douglas (S)	2016	59.3
Etheridge (S)	2006	65
Etheridge (S)	2011	64.8
Etheridge (S)	2016	59.6
Flinders (S) (Qld)	2006	69.9
Flinders (S) (Qld)	2011	65.7
Flinders (S) (Qld)	2016	64.4
Fraser Coast (R)	2006	47.5
Fraser Coast (R)	2011	46.7
Fraser Coast (R)	2016	43.4
Gladstone (R)	2006	65.3
Gladstone (R)	2011	66.3
Gladstone (R)	2016	63.8
Gold Coast (C)	2006	60.1
Gold Coast (C)	2011	62.1
Gold Coast (C)	2016	61.6
Goondiwindi (R)	2006	64.9
Goondiwindi (R)	2011	64.5
Goondiwindi (R)	2016	60.4
Gympie (R)	2006	53.2
Gympie (R)	2011	51.7
Gympie (R)	2016	47.8
Hinchinbrook (S)	2006	55.7
Hinchinbrook (S)	2011	56.8
Hinchinbrook (S)	2016	52.9
Hope Vale (S)	2006	70
Hope Vale (S)	2011	59.2
Hope Vale (S)	2016	58.8
Ipswich (C)	2006	62.1
Ipswich (C)	2011	63.4
Ipswich (C)	2016	62.6
Isaac (R)	2006	70.7
Isaac (R)	2011	72.9
Isaac (R)	2016	67.1
Kowanyama (S)	2006	62.3
Kowanyama (S)	2011	45.7
Kowanyama (S)	2016	52.3
Livingstone (S)	2006	56.6
Livingstone (S)	2011	59.2
Livingstone (S)	2016	57
Lockhart River (S)	2006	51.4
Lockhart River (S)	2011	52.8
Lockhart River (S)	2016	45.4
Lockyer Valley (R)	2006	56.7
Lockyer Valley (R)	2011	57.6
Lockyer Valley (R)	2016	55.2
Logan (C)	2006	64.4
Logan (C)	2011	64.2
Logan (C)	2016	61.6
Longreach (R)	2006	71.2
Longreach (R)	2011	71.9
Longreach (R)	2016	67.9
Mackay (R)	2006	63.5
Mackay (R)	2011	67
Mackay (R)	2016	63.3
McKinlay (S)	2006	79.1
McKinlay (S)	2011	77.2
McKinlay (S)	2016	76.2
Mapoon (S)	2006	63.7
Mapoon (S)	2011	45.5
Mapoon (S)	2016	50.9
Maranoa (R)	2006	71
Maranoa (R)	2011	68.3
Maranoa (R)	2016	66.6
Mareeba (S)	2006	54.7
Mareeba (S)	2011	55
Mareeba (S)	2016	51.1
Moreton Bay (R)	2006	62.1
Moreton Bay (R)	2011	63
Moreton Bay (R)	2016	61.1
Mornington (S)	2006	54.3
Mornington (S)	2011	44.4
Mornington (S)	2016	51.5
Mount Isa (C)	2006	66.3
Mount Isa (C)	2011	67
Mount Isa (C)	2016	68.3
Murweh (S)	2006	67
Murweh (S)	2011	66.2
Murweh (S)	2016	63.4
Napranum (S)	2006	48
Napranum (S)	2011	40.7
Napranum (S)	2016	32.6
Noosa (S)	2006	54.7
Noosa (S)	2011	55.6
Noosa (S)	2016	54
North Burnett (R)	2006	60.8
North Burnett (R)	2011	57.3
North Burnett (R)	2016	53
Northern Peninsula Area (R)	2006	66.8
Northern Peninsula Area (R)	2011	56
Northern Peninsula Area (R)	2016	56.8
Palm Island (S)	2006	44.1
Palm Island (S)	2011	51.7
Palm Island (S)	2016	41.8
Paroo (S)	2006	59.7
Paroo (S)	2011	62
Paroo (S)	2016	57.8
Pormpuraaw (S)	2006	65.8
Pormpuraaw (S)	2011	58.9
Pormpuraaw (S)	2016	46.5
Quilpie (S)	2006	69.7
Quilpie (S)	2011	72.4
Quilpie (S)	2016	72.7
Redland (C)	2006	63.8
Redland (C)	2011	64.8
Redland (C)	2016	62.6
Richmond (S)	2006	68.5
Richmond (S)	2011	72.6
Richmond (S)	2016	69.4
Rockhampton (R)	2006	59.2
Rockhampton (R)	2011	61.4
Rockhampton (R)	2016	59.8
Scenic Rim (R)	2006	59.1
Scenic Rim (R)	2011	59.2
Scenic Rim (R)	2016	55.4
Somerset (R)	2006	54.4
Somerset (R)	2011	54.9
Somerset (R)	2016	51.6
South Burnett (R)	2006	52.9
South Burnett (R)	2011	52.2
South Burnett (R)	2016	48.3
Southern Downs (R)	2006	57
Southern Downs (R)	2011	56.2
Southern Downs (R)	2016	52.8
Sunshine Coast (R)	2006	57.6
Sunshine Coast (R)	2011	59
Sunshine Coast (R)	2016	57.9
Tablelands (R)	2006	54.2
Tablelands (R)	2011	54.4
Tablelands (R)	2016	51.5
Toowoomba (R)	2006	61
Toowoomba (R)	2011	60.9
