LGA_NAME16	Year	BornAust	persons
Botany Bay (C)	2011	0	16603
Botany Bay (C)	2011	1	20233
Botany Bay (C)	2016	0	20687
Botany Bay (C)	2016	1	22686
Bourke (A)	2006	0	115
Bourke (A)	2006	1	2676
Bourke (A)	2011	0	101
Bourke (A)	2011	1	2344
Bourke (A)	2016	0	101
Bourke (A)	2016	1	1969
Brewarrina (A)	2006	0	51
Brewarrina (A)	2006	1	1745
Brewarrina (A)	2011	0	50
Brewarrina (A)	2011	1	1600
Brewarrina (A)	2016	0	35
Brewarrina (A)	2016	1	1448
Broken Hill (C)	2006	0	864
Broken Hill (C)	2006	1	16844
Broken Hill (C)	2011	0	825
Broken Hill (C)	2011	1	16352
Broken Hill (C)	2016	0	800
Broken Hill (C)	2016	1	15364
Burwood (A)	2006	0	15268
Burwood (A)	2006	1	13076
Burwood (A)	2011	0	17066
Burwood (A)	2011	1	13529
Burwood (A)	2016	0	21067
Burwood (A)	2016	1	13758
Byron (A)	2006	0	4650
Byron (A)	2006	1	21497
Byron (A)	2011	0	5317
Byron (A)	2011	1	21976
Byron (A)	2016	0	5637
Byron (A)	2016	1	21560
Cabonne (A)	2006	0	701
Cabonne (A)	2006	1	11102
Cabonne (A)	2011	0	796
Cabonne (A)	2011	1	11538
Cabonne (A)	2016	0	796
Cabonne (A)	2016	1	11515
Camden (A)	2006	0	7675
Camden (A)	2006	1	39608
Camden (A)	2011	0	9009
Camden (A)	2011	1	45510
Camden (A)	2016	0	13768
Camden (A)	2016	1	60543
Campbelltown (C) (NSW)	2006	0	37487
Campbelltown (C) (NSW)	2006	1	95545
Campbelltown (C) (NSW)	2011	0	41133
Campbelltown (C) (NSW)	2011	1	96283
Campbelltown (C) (NSW)	2016	0	49325
Campbelltown (C) (NSW)	2016	1	97314
Canada Bay (A)	2006	0	20675
Canada Bay (A)	2006	1	39689
Canada Bay (A)	2011	0	26913
Canada Bay (A)	2011	1	43940
Canada Bay (A)	2016	0	35675
Canada Bay (A)	2016	1	46864
Canterbury-Bankstown (A)	2006	0	122053
Canterbury-Bankstown (A)	2006	1	154453
Canterbury-Bankstown (A)	2011	0	134852
Canterbury-Bankstown (A)	2011	1	163932
Canterbury-Bankstown (A)	2016	0	152698
Canterbury-Bankstown (A)	2016	1	171649
Carrathool (A)	2006	0	186
Carrathool (A)	2006	1	2413
Carrathool (A)	2011	0	198
Carrathool (A)	2011	1	2257
Carrathool (A)	2016	0	263
Carrathool (A)	2016	1	2180
Central Coast (C) (NSW)	2006	0	39642
Central Coast (C) (NSW)	2006	1	237263
Central Coast (C) (NSW)	2011	0	43785
Central Coast (C) (NSW)	2011	1	251642
Central Coast (C) (NSW)	2016	0	48054
Central Coast (C) (NSW)	2016	1	258376
Central Darling (A)	2006	0	92
Central Darling (A)	2006	1	1705
Central Darling (A)	2011	0	117
Central Darling (A)	2011	1	1765
Central Darling (A)	2016	0	81
Central Darling (A)	2016	1	1457
Cessnock (C)	2006	0	2911
Cessnock (C)	2006	1	40580
Cessnock (C)	2011	0	3339
Cessnock (C)	2011	1	44657
Cessnock (C)	2016	0	3492
Cessnock (C)	2016	1	47595
Clarence Valley (A)	2006	0	3257
Clarence Valley (A)	2006	1	42264
Clarence Valley (A)	2011	0	3644
Clarence Valley (A)	2011	1	43577
Clarence Valley (A)	2016	0	3819
Clarence Valley (A)	2016	1	42432
Cobar (A)	2006	0	276
Cobar (A)	2006	1	4188
Cobar (A)	2011	0	318
Cobar (A)	2011	1	3975
Cobar (A)	2016	0	326
Cobar (A)	2016	1	3716
Coffs Harbour (C)	2006	0	7502
Coffs Harbour (C)	2006	1	53902
Coffs Harbour (C)	2011	0	8831
Coffs Harbour (C)	2011	1	56182
Coffs Harbour (C)	2016	0	10145
Coffs Harbour (C)	2016	1	57154
Coolamon (A)	2006	0	162
Coolamon (A)	2006	1	3697
Coolamon (A)	2011	0	172
Coolamon (A)	2011	1	3695
Coolamon (A)	2016	0	164
Coolamon (A)	2016	1	3645
Coonamble (A)	2006	0	106
Coonamble (A)	2006	1	3870
Coonamble (A)	2011	0	91
Coonamble (A)	2011	1	3643
Coonamble (A)	2016	0	104
Coonamble (A)	2016	1	3160
Cowra (A)	2006	0	701
Cowra (A)	2006	1	11160
Cowra (A)	2011	0	711
Cowra (A)	2011	1	10557
Cowra (A)	2016	0	754
Cowra (A)	2016	1	10532
Cumberland (A)	2006	0	77470
Cumberland (A)	2006	1	81621
Cumberland (A)	2011	0	92717
Cumberland (A)	2011	1	86745
Cumberland (A)	2016	0	112879
Cumberland (A)	2016	1	90056
Dungog (A)	2006	0	389
Dungog (A)	2006	1	7157
Dungog (A)	2011	0	408
Dungog (A)	2011	1	7488
Dungog (A)	2016	0	434
Dungog (A)	2016	1	7772
Edward River (A)	2006	0	497
Edward River (A)	2006	1	8048
Edward River (A)	2011	0	481
Edward River (A)	2011	1	7613
Edward River (A)	2016	0	568
Edward River (A)	2016	1	7262
Eurobodalla (A)	2006	0	4697
Eurobodalla (A)	2006	1	28375
Eurobodalla (A)	2011	0	4893
Eurobodalla (A)	2011	1	28602
Eurobodalla (A)	2016	0	4969
Eurobodalla (A)	2016	1	28881
Fairfield (C)	2006	0	92559
Fairfield (C)	2006	1	74700
Fairfield (C)	2011	0	98655
Fairfield (C)	2011	1	79555
Fairfield (C)	2016	0	107149
Fairfield (C)	2016	1	80775
Federation (A)	2006	0	820
Federation (A)	2006	1	10768
Federation (A)	2011	0	855
Federation (A)	2011	1	10682
Federation (A)	2016	0	845
Federation (A)	2016	1	10208
Forbes (A)	2006	0	339
Forbes (A)	2006	1	8425
Forbes (A)	2011	0	368
Forbes (A)	2011	1	8342
Forbes (A)	2016	0	386
Forbes (A)	2016	1	8216
Georges River (A)	2006	0	47177
Georges River (A)	2006	1	70867
Georges River (A)	2011	0	55948
Georges River (A)	2011	1	72738
Georges River (A)	2016	0	66916
Georges River (A)	2016	1	73047
Gilgandra (A)	2006	0	139
Gilgandra (A)	2006	1	4068
Gilgandra (A)	2011	0	155
Gilgandra (A)	2011	1	3923
Gilgandra (A)	2016	0	158
Gilgandra (A)	2016	1	3679
Glen Innes Severn (A)	2006	0	466
Glen Innes Severn (A)	2006	1	7829
Glen Innes Severn (A)	2011	0	551
Glen Innes Severn (A)	2011	1	7655
Glen Innes Severn (A)	2016	0	581
Glen Innes Severn (A)	2016	1	7219
Goulburn Mulwaree (A)	2006	0	2004
Goulburn Mulwaree (A)	2006	1	22537
Goulburn Mulwaree (A)	2011	0	2367
Goulburn Mulwaree (A)	2011	1	23785
Goulburn Mulwaree (A)	2016	0	2945
Goulburn Mulwaree (A)	2016	1	24472
Greater Hume Shire (A)	2006	0	525
Greater Hume Shire (A)	2006	1	8746
Greater Hume Shire (A)	2011	0	567
Greater Hume Shire (A)	2011	1	8710
Greater Hume Shire (A)	2016	0	614
Greater Hume Shire (A)	2016	1	8918
Griffith (C)	2006	0	3815
Griffith (C)	2006	1	18199
Griffith (C)	2011	0	4317
Griffith (C)	2011	1	18411
Griffith (C)	2016	0	4819
Griffith (C)	2016	1	18126
Gundagai (A)	2006	0	473
Gundagai (A)	2006	1	10003
Gundagai (A)	2011	0	525
Gundagai (A)	2011	1	9822
Gundagai (A)	2016	0	615
Gundagai (A)	2016	1	9536
Gunnedah (A)	2006	0	427
Gunnedah (A)	2006	1	10465
Gunnedah (A)	2011	0	483
Gunnedah (A)	2011	1	10768
Gunnedah (A)	2016	0	583
Gunnedah (A)	2016	1	10502
Gwydir (A)	2006	0	201
Gwydir (A)	2006	1	4827
Gwydir (A)	2011	0	197
Gwydir (A)	2011	1	4606
Gwydir (A)	2016	0	212
Gwydir (A)	2016	1	4433
Hawkesbury (C)	2006	0	7680
Hawkesbury (C)	2006	1	49116
Hawkesbury (C)	2011	0	7849
Hawkesbury (C)	2011	1	51240
Hawkesbury (C)	2016	0	7938
Hawkesbury (C)	2016	1	52539
Hay (A)	2006	0	165
Hay (A)	2006	1	3061
Hay (A)	2011	0	170
Hay (A)	2011	1	2610
Hay (A)	2016	0	188
Hay (A)	2016	1	2350
Hilltops (A)	2006	0	974
Hilltops (A)	2006	1	16042
Hilltops (A)	2011	0	1025
Hilltops (A)	2011	1	16175
Hilltops (A)	2016	0	1145
Hilltops (A)	2016	1	15814
Hornsby (A)	2006	0	40766
Hornsby (A)	2006	1	85865
Hornsby (A)	2011	0	46392
Hornsby (A)	2011	1	86539
Hornsby (A)	2016	0	52795
Hornsby (A)	2016	1	84949
Hunters Hill (A)	2006	0	3353
Hunters Hill (A)	2006	1	8934
Hunters Hill (A)	2011	0	3442
Hunters Hill (A)	2011	1	9248
Hunters Hill (A)	2016	0	3684
Hunters Hill (A)	2016	1	9508
Inner West (A)	2006	0	54981
Inner West (A)	2006	1	90026
Inner West (A)	2011	0	59281
Inner West (A)	2011	1	99050
Inner West (A)	2016	0	62406
Inner West (A)	2016	1	105719
Inverell (A)	2006	0	726
Inverell (A)	2006	1	13995
Inverell (A)	2011	0	1001
Inverell (A)	2011	1	14292
Inverell (A)	2016	0	1044
Inverell (A)	2016	1	13875
Junee (A)	2006	0	370
Junee (A)	2006	1	5036
Junee (A)	2011	0	401
Junee (A)	2011	1	5175
Junee (A)	2016	0	469
Junee (A)	2016	1	5191
Kempsey (A)	2006	0	1895
Kempsey (A)	2006	1	23668
Kempsey (A)	2011	0	1970
Kempsey (A)	2011	1	24525
Kempsey (A)	2016	0	2052
Kempsey (A)	2016	1	23939
Kiama (A)	2006	0	2410
Kiama (A)	2006	1	15679
Kiama (A)	2011	0	2780
Kiama (A)	2011	1	16476
Kiama (A)	2016	0	2962
Kiama (A)	2016	1	17036
Ku-ring-gai (A)	2006	0	32848
Ku-ring-gai (A)	2006	1	64199
Ku-ring-gai (A)	2011	0	38833
Ku-ring-gai (A)	2011	1	66463
Ku-ring-gai (A)	2016	0	45965
Ku-ring-gai (A)	2016	1	67679
Kyogle (A)	2006	0	786
Kyogle (A)	2006	1	7997
Kyogle (A)	2011	0	860
Kyogle (A)	2011	1	7840
Kyogle (A)	2016	0	850
Kyogle (A)	2016	1	7144
Lachlan (A)	2006	0	186
Lachlan (A)	2006	1	6110
Lachlan (A)	2011	0	231
Lachlan (A)	2011	1	5912
Lachlan (A)	2016	0	236
Lachlan (A)	2016	1	5163
Lake Macquarie (C)	2006	0	17109
Lake Macquarie (C)	2006	1	156313
Lake Macquarie (C)	2011	0	18353
Lake Macquarie (C)	2011	1	162899
Lake Macquarie (C)	2016	0	19694
Lake Macquarie (C)	2016	1	168252
Lane Cove (A)	2006	0	9064
Lane Cove (A)	2006	1	19212
Lane Cove (A)	2011	0	10326
Lane Cove (A)	2011	1	19900
Lane Cove (A)	2016	0	13067
Lane Cove (A)	2016	1	21270
Leeton (A)	2006	0	767
Leeton (A)	2006	1	9556
Leeton (A)	2011	0	719
Leeton (A)	2011	1	9592
Leeton (A)	2016	0	903
Leeton (A)	2016	1	9091
Lismore (C)	2006	0	3600
Lismore (C)	2006	1	36451
Lismore (C)	2011	0	3993
Lismore (C)	2011	1	36772
Lismore (C)	2016	0	4048
Lismore (C)	2016	1	35360
Lithgow (C)	2006	0	1716
Lithgow (C)	2006	1	16838
Lithgow (C)	2011	0	1813
Lithgow (C)	2011	1	17105
Lithgow (C)	2016	0	1966
Lithgow (C)	2016	1	16782
Liverpool (C)	2006	0	62169
Liverpool (C)	2006	1	88531
Liverpool (C)	2011	0	71713
Liverpool (C)	2011	1	96915
Liverpool (C)	2016	0	83346
Liverpool (C)	2016	1	105550
Liverpool Plains (A)	2006	0	317
Liverpool Plains (A)	2006	1	6638
Liverpool Plains (A)	2011	0	385
Liverpool Plains (A)	2011	1	6676
Liverpool Plains (A)	2016	0	342
Liverpool Plains (A)	2016	1	6505
Lockhart (A)	2006	0	132
Lockhart (A)	2006	1	2912
Lockhart (A)	2011	0	134
Lockhart (A)	2011	1	2729
Lockhart (A)	2016	0	147
Lockhart (A)	2016	1	2643
Maitland (C)	2006	0	4340
Maitland (C)	2006	1	54122
Maitland (C)	2011	0	5158
Maitland (C)	2011	1	59258
Maitland (C)	2016	0	6151
Maitland (C)	2016	1	66989
Mid-Coast (A)	2006	0	6990
Mid-Coast (A)	2006	1	70940
Mid-Coast (A)	2011	0	7774
Mid-Coast (A)	2011	1	73014
Mid-Coast (A)	2016	0	8449
Mid-Coast (A)	2016	1	74289
Mid-Western Regional (A)	2006	0	1746
Mid-Western Regional (A)	2006	1	17959
Mid-Western Regional (A)	2011	0	1816
Mid-Western Regional (A)	2011	1	19087
Mid-Western Regional (A)	2016	0	1811
Mid-Western Regional (A)	2016	1	19525
Moree Plains (A)	2006	0	603
Moree Plains (A)	2006	1	11913
Moree Plains (A)	2011	0	608
Moree Plains (A)	2011	1	11580
Moree Plains (A)	2016	0	688
Moree Plains (A)	2016	1	10675
Mosman (A)	2006	0	7830
Mosman (A)	2006	1	16327
Mosman (A)	2011	0	8847
Mosman (A)	2011	1	16632
Mosman (A)	2016	0	9515
Mosman (A)	2016	1	16952
Murray River (A)	2006	0	578
Murray River (A)	2006	1	9452
Murray River (A)	2011	0	705
Murray River (A)	2011	1	9599
Murray River (A)	2016	0	814
Murray River (A)	2016	1	9785
Murrumbidgee (A)	2006	0	240
Murrumbidgee (A)	2006	1	3619
Murrumbidgee (A)	2011	0	214
Murrumbidgee (A)	2011	1	3267
Murrumbidgee (A)	2016	0	231
Murrumbidgee (A)	2016	1	3107
Muswellbrook (A)	2006	0	845
Muswellbrook (A)	2006	1	13399
Muswellbrook (A)	2011	0	1136
Muswellbrook (A)	2011	1	13644
Muswellbrook (A)	2016	0	1271
Muswellbrook (A)	2016	1	13589
Nambucca (A)	2006	0	1653
Nambucca (A)	2006	1	15021
Nambucca (A)	2011	0	1778
Nambucca (A)	2011	1	15864
Nambucca (A)	2016	0	1760
Nambucca (A)	2016	1	15653
Narrabri (A)	2006	0	500
Narrabri (A)	2006	1	11762
Narrabri (A)	2011	0	517
Narrabri (A)	2011	1	11573
Narrabri (A)	2016	0	550
Narrabri (A)	2016	1	10905
Narrandera (A)	2006	0	241
Narrandera (A)	2006	1	5452
Narrandera (A)	2011	0	262
Narrandera (A)	2011	1	5162
Narrandera (A)	2016	0	274
Narrandera (A)	2016	1	4859
Narromine (A)	2006	0	259
Narromine (A)	2006	1	5908
Narromine (A)	2011	0	249
Narromine (A)	2011	1	5965
Narromine (A)	2016	0	235
Narromine (A)	2016	1	5484
Newcastle (C)	2006	0	16095
Newcastle (C)	2006	1	116232
Newcastle (C)	2011	0	18480
Newcastle (C)	2011	1	122228
Newcastle (C)	2016	0	21638
Newcastle (C)	2016	1	126387
North Sydney (A)	2006	0	19489
North Sydney (A)	2006	1	32257
North Sydney (A)	2011	0	22741
North Sydney (A)	2011	1	34067
North Sydney (A)	2016	0	25680
North Sydney (A)	2016	1	36674
Northern Beaches (A)	2006	0	57740
Northern Beaches (A)	2006	1	152725
Northern Beaches (A)	2011	0	65830
Northern Beaches (A)	2011	1	161082
Northern Beaches (A)	2016	0	73076
Northern Beaches (A)	2016	1	166494
Oberon (A)	2006	0	442
Oberon (A)	2006	1	4297
Oberon (A)	2011	0	496
Oberon (A)	2011	1	4318
Oberon (A)	2016	0	481
Oberon (A)	2016	1	4173
Orange (C)	2006	0	2515
Orange (C)	2006	1	30500
Orange (C)	2011	0	3242
Orange (C)	2011	1	32454
Orange (C)	2016	0	3784
Orange (C)	2016	1	33654
Parkes (A)	2006	0	622
Parkes (A)	2006	1	12927
Parkes (A)	2011	0	699
Parkes (A)	2011	1	12848
Parkes (A)	2016	0	779
Parkes (A)	2016	1	12328
Parramatta (C)	2006	0	69153
Parramatta (C)	2006	1	93140
Parramatta (C)	2011	0	86540
Parramatta (C)	2011	1	97147
Parramatta (C)	2016	0	112203
Parramatta (C)	2016	1	101064
Penrith (C)	2006	0	35358
Penrith (C)	2006	1	127055
Penrith (C)	2011	0	37285
Penrith (C)	2011	1	132673
Penrith (C)	2016	0	42400
Penrith (C)	2016	1	141876
Port Macquarie-Hastings (A)	2006	0	7158
Port Macquarie-Hastings (A)	2006	1	57223
Port Macquarie-Hastings (A)	2011	0	8050
Port Macquarie-Hastings (A)	2011	1	61026
Port Macquarie-Hastings (A)	2016	0	8960
Port Macquarie-Hastings (A)	2016	1	63862
Port Stephens (A)	2006	0	6343
Port Stephens (A)	2006	1	50486
Port Stephens (A)	2011	0	7116
Port Stephens (A)	2011	1	53874
Port Stephens (A)	2016	0	7680
Port Stephens (A)	2016	1	56262
Queanbeyan-Palerang Regional (A)	2006	0	7864
Queanbeyan-Palerang Regional (A)	2006	1	37019
Queanbeyan-Palerang Regional (A)	2011	0	9065
Queanbeyan-Palerang Regional (A)	2011	1	40383
Queanbeyan-Palerang Regional (A)	2016	0	9680
Queanbeyan-Palerang Regional (A)	2016	1	41998
Randwick (C)	2006	0	42857
Randwick (C)	2006	1	65544
Randwick (C)	2011	0	49646
Randwick (C)	2011	1	69562
Randwick (C)	2016	0	57601
Randwick (C)	2016	1	72379
Richmond Valley (A)	2006	0	1056
Richmond Valley (A)	2006	1	19123
Richmond Valley (A)	2011	0	1214
Richmond Valley (A)	2011	1	19599
Richmond Valley (A)	2016	0	1292
Richmond Valley (A)	2016	1	19421
Rockdale (C)	2006	0	38004
Rockdale (C)	2006	1	45811
Rockdale (C)	2011	0	42395
Rockdale (C)	2011	1	48405
Rockdale (C)	2016	0	51214
Rockdale (C)	2016	1	50635
Ryde (C)	2006	0	36466
Ryde (C)	2006	1	53746
Ryde (C)	2011	0	43544
Ryde (C)	2011	1	54661
Ryde (C)	2016	0	54679
Ryde (C)	2016	1	56433
Shellharbour (C)	2006	0	11026
Shellharbour (C)	2006	1	45642
Shellharbour (C)	2011	0	11303
Shellharbour (C)	2011	1	49741
Shellharbour (C)	2016	0	11410
Shellharbour (C)	2016	1	52953
Shoalhaven (C)	2006	0	11160
Shoalhaven (C)	2006	1	71791
Shoalhaven (C)	2011	0	11747
Shoalhaven (C)	2011	1	75201
Shoalhaven (C)	2016	0	12771
Shoalhaven (C)	2016	1	78741
Singleton (A)	2006	0	1607
Singleton (A)	2006	1	19100
Singleton (A)	2011	0	1863
Singleton (A)	2011	1	19771
Singleton (A)	2016	0	1812
Singleton (A)	2016	1	19291
Snowy Monaro Regional (A)	2006	0	2382
Snowy Monaro Regional (A)	2006	1	14917
Snowy Monaro Regional (A)	2011	0	2466
Snowy Monaro Regional (A)	2011	1	15667
Snowy Monaro Regional (A)	2016	0	2587
Snowy Monaro Regional (A)	2016	1	15637
Snowy Valleys (A)	2006	0	1052
Snowy Valleys (A)	2006	1	12444
Snowy Valleys (A)	2011	0	1209
Snowy Valleys (A)	2011	1	12334
Snowy Valleys (A)	2016	0	1206
Snowy Valleys (A)	2016	1	11711
Strathfield (A)	2006	0	15946
Strathfield (A)	2006	1	13258
Strathfield (A)	2011	0	18532
Strathfield (A)	2011	1	14014
Strathfield (A)	2016	0	22710
Strathfield (A)	2016	1	14801
Sutherland Shire (A)	2006	0	33977
Sutherland Shire (A)	2006	1	160512
Sutherland Shire (A)	2011	0	36559
Sutherland Shire (A)	2011	1	166122
Sutherland Shire (A)	2016	0	39482
Sutherland Shire (A)	2016	1	169667
Sydney (C)	2006	0	54552
Sydney (C)	2006	1	63429
Sydney (C)	2011	0	72137
Sydney (C)	2011	1	74588
Sydney (C)	2016	0	99761
Sydney (C)	2016	1	82098
Tamworth Regional (A)	2006	0	2719
Tamworth Regional (A)	2006	1	48150
Tamworth Regional (A)	2011	0	2967
Tamworth Regional (A)	2011	1	50162
Tamworth Regional (A)	2016	0	4048
Tamworth Regional (A)	2016	1	50479
Temora (A)	2006	0	217
Temora (A)	2006	1	5337
Temora (A)	2011	0	245
Temora (A)	2011	1	5255
Temora (A)	2016	0	287
Temora (A)	2016	1	5383
Tenterfield (A)	2006	0	464
Tenterfield (A)	2006	1	5766
Tenterfield (A)	2011	0	512
Tenterfield (A)	2011	1	5854
Tenterfield (A)	2016	0	507
Tenterfield (A)	2016	1	5262
The Hills Shire (A)	2006	0	38438
The Hills Shire (A)	2006	1	88940
The Hills Shire (A)	2011	0	44825
The Hills Shire (A)	2011	1	93142
The Hills Shire (A)	2016	0	55249
The Hills Shire (A)	2016	1	96977
Tweed (A)	2006	0	11311
Tweed (A)	2006	1	62563
Tweed (A)	2011	0	12782
Tweed (A)	2011	1	67476
Tweed (A)	2016	0	13348
Tweed (A)	2016	1	70497
Upper Hunter Shire (A)	2006	0	804
Upper Hunter Shire (A)	2006	1	11458
Upper Hunter Shire (A)	2011	0	930
Upper Hunter Shire (A)	2011	1	12095
Upper Hunter Shire (A)	2016	0	1057
Upper Hunter Shire (A)	2016	1	11559
Upper Lachlan Shire (A)	2006	0	480
Upper Lachlan Shire (A)	2006	1	6066
Upper Lachlan Shire (A)	2011	0	532
Upper Lachlan Shire (A)	2011	1	6310
Upper Lachlan Shire (A)	2016	0	516
Upper Lachlan Shire (A)	2016	1	6433
Uralla (A)	2006	0	389
Uralla (A)	2006	1	5093
Uralla (A)	2011	0	380
Uralla (A)	2011	1	5360
Uralla (A)	2016	0	394
Uralla (A)	2016	1	5137
Wagga Wagga (C)	2006	0	3692
Wagga Wagga (C)	2006	1	50664
Wagga Wagga (C)	2011	0	4677
Wagga Wagga (C)	2011	1	52234
Wagga Wagga (C)	2016	0	5846
Wagga Wagga (C)	2016	1	52510
Walcha (A)	2006	0	157
Walcha (A)	2006	1	2891
Walcha (A)	2011	0	152
Walcha (A)	2011	1	2742
Walcha (A)	2016	0	153
Walcha (A)	2016	1	2545
Walgett (A)	2006	0	688
Walgett (A)	2006	1	5679
Walgett (A)	2011	0	686
Walgett (A)	2011	1	5117
Walgett (A)	2016	0	558
Walgett (A)	2016	1	4715
Warren (A)	2006	0	81
Warren (A)	2006	1	2513
Warren (A)	2011	0	112
Warren (A)	2011	1	2499
Warren (A)	2016	0	120
Warren (A)	2016	1	2275
Warrumbungle Shire (A)	2006	0	574
Warrumbungle Shire (A)	2006	1	8609
Warrumbungle Shire (A)	2011	0	524
Warrumbungle Shire (A)	2011	1	8381
Warrumbungle Shire (A)	2016	0	553
Warrumbungle Shire (A)	2016	1	7657
Waverley (A)	2006	0	20999
Waverley (A)	2006	1	29337
Waverley (A)	2011	0	24003
Waverley (A)	2011	1	32378
Waverley (A)	2016	0	26028
Waverley (A)	2016	1	33569
Weddin (A)	2006	0	185
Weddin (A)	2006	1	3307
Weddin (A)	2011	0	182
Weddin (A)	2011	1	3264
Weddin (A)	2016	0	207
Weddin (A)	2016	1	3082
Wentworth (A)	2006	0	368
Wentworth (A)	2006	1	5958
Wentworth (A)	2011	0	351
Wentworth (A)	2011	1	5855
Wentworth (A)	2016	0	360
Wentworth (A)	2016	1	5650
Western Plains Regional (A)	2006	0	2185
Western Plains Regional (A)	2006	1	40210
Western Plains Regional (A)	2011	0	2584
Western Plains Regional (A)	2011	1	42258
Western Plains Regional (A)	2016	0	3607
Western Plains Regional (A)	2016	1	42080
Willoughby (C)	2006	0	24952
Willoughby (C)	2006	1	34137
Willoughby (C)	2011	0	28553
Willoughby (C)	2011	1	35587
Willoughby (C)	2016	0	33849
Willoughby (C)	2016	1	36692
Wingecarribee (A)	2006	0	6185
Wingecarribee (A)	2006	1	33540
Wingecarribee (A)	2011	0	6736
Wingecarribee (A)	2011	1	35573
Wingecarribee (A)	2016	0	7607
Wingecarribee (A)	2016	1	36901
Wollondilly (A)	2006	0	5025
Wollondilly (A)	2006	1	33026
Wollondilly (A)	2011	0	5373
Wollondilly (A)	2011	1	35945
Wollondilly (A)	2016	0	5729
Wollondilly (A)	2016	1	39803
Wollongong (C)	2006	0	39674
Wollongong (C)	2006	1	132883
Wollongong (C)	2011	0	41936
Wollongong (C)	2011	1	141102
Wollongong (C)	2016	0	43917
Wollongong (C)	2016	1	147934
Woollahra (A)	2006	0	15447
Woollahra (A)	2006	1	28039
Woollahra (A)	2011	0	16514
Woollahra (A)	2011	1	30050
Woollahra (A)	2016	0	17647
Woollahra (A)	2016	1	31550
Yass Valley (A)	2006	0	1397
Yass Valley (A)	2006	1	11101
Yass Valley (A)	2011	0	1600
Yass Valley (A)	2011	1	12610
Yass Valley (A)	2016	0	1664
Yass Valley (A)	2016	1	13312
Unincorporated NSW	2006	0	80
Unincorporated NSW	2006	1	926
Unincorporated NSW	2011	0	84
Unincorporated NSW	2011	1	938
Unincorporated NSW	2016	0	86
Unincorporated NSW	2016	1	839
No usual address (NSW)	2006	0	2677
No usual address (NSW)	2006	1	6403
No usual address (NSW)	2011	0	3121
No usual address (NSW)	2011	1	8280
No usual address (NSW)	2016	0	3012
No usual address (NSW)	2016	1	7028
Migratory - Offshore - Shipping (NSW)	2006	0	5
Migratory - Offshore - Shipping (NSW)	2006	1	46
Migratory - Offshore - Shipping (NSW)	2011	0	44
Migratory - Offshore - Shipping (NSW)	2011	1	63
Migratory - Offshore - Shipping (NSW)	2016	0	142
Migratory - Offshore - Shipping (NSW)	2016	1	232
Alpine (S)	2006	0	1773
