LGA_NAME16	Year	averageNumberOfPersonsPerBedroom
Frankston (C)	2006	0.8
Gannawarra (S)	2006	0.8
Glen Eira (C)	2006	0.9
Glenelg (S)	2006	0.8
Golden Plains (S)	2006	0.8
Greater Bendigo (C)	2006	0.8
Greater Dandenong (C)	2006	0.9
Greater Geelong (C)	2006	0.8
Greater Shepparton (C)	2006	0.8
Hepburn (S)	2006	0.8
Hindmarsh (S)	2006	0.7
Hobsons Bay (C)	2006	0.8
Horsham (RC)	2006	0.8
Hume (C)	2006	0.9
Indigo (S)	2006	0.8
Kingston (C) (Vic.)	2006	0.8
Knox (C)	2006	0.8
Latrobe (C) (Vic.)	2006	0.8
Loddon (S)	2006	0.8
Macedon Ranges (S)	2006	0.8
Manningham (C)	2006	0.8
Mansfield (S)	2006	0.8
Maribyrnong (C)	2006	0.9
Maroondah (C)	2006	0.8
Melbourne (C)	2006	1
Melton (C)	2006	0.8
Mildura (RC)	2006	0.8
Mitchell (S)	2006	0.8
Moira (S)	2006	0.8
Monash (C)	2006	0.8
Moonee Valley (C)	2006	0.8
Moorabool (S)	2006	0.8
Moreland (C)	2006	0.9
Mornington Peninsula (S)	2006	0.7
Mount Alexander (S)	2006	0.8
Moyne (S)	2006	0.8
Murrindindi (S)	2006	0.8
Nillumbik (S)	2006	0.8
Northern Grampians (S)	2006	0.8
Port Phillip (C)	2006	0.9
Pyrenees (S)	2006	0.8
Queenscliffe (B)	2006	0.7
South Gippsland (S)	2006	0.8
Southern Grampians (S)	2006	0.8
Stonnington (C)	2006	0.9
Strathbogie (S)	2006	0.8
Surf Coast (S)	2006	0.8
Swan Hill (RC)	2006	0.8
Towong (S)	2006	0.7
Wangaratta (RC)	2006	0.8
Warrnambool (C)	2006	0.8
Wellington (S)	2006	0.8
West Wimmera (S)	2006	0.7
Whitehorse (C)	2006	0.8
Whittlesea (C)	2006	0.8
Wodonga (C)	2006	0.8
Wyndham (C)	2006	0.8
Yarra (C)	2006	0.9
Yarra Ranges (S)	2006	0.8
Yarriambiack (S)	2006	0.7
Unincorporated Vic	2006	1
No usual address (Vic.)	2006	0
Migratory - Offshore - Shipping (Vic.)	2006	0
Aurukun (S)	2006	1.7
Balonne (S)	2006	0.8
Banana (S)	2006	0.8
Barcaldine (R)	2006	0.8
Barcoo (S)	2006	0.8
Blackall-Tambo (R)	2006	0.8
Boulia (S)	2006	1
Brisbane (C)	2006	0.8
Bulloo (S)	2006	0.8
Bundaberg (R)	2006	0.8
Burdekin (S)	2006	0.8
Burke (S)	2006	0.9
Cairns (R)	2006	0.8
Carpentaria (S)	2006	1.1
Cassowary Coast (R)	2006	0.9
Central Highlands (R) (Qld)	2006	0.9
Charters Towers (R)	2006	0.8
Cherbourg (S)	2006	1.1
Cloncurry (S)	2006	0.9
Cook (S)	2006	1
Croydon (S)	2006	1.1
Diamantina (S)	2006	0.9
Doomadgee (S)	2006	1.9
Douglas (S)	2006	0.9
Etheridge (S)	2006	0.9
Flinders (S) (Qld)	2006	0.8
Fraser Coast (R)	2006	0.8
Gladstone (R)	2006	0.8
Gold Coast (C)	2006	0.8
Goondiwindi (R)	2006	0.8
Gympie (R)	2006	0.8
Hinchinbrook (S)	2006	0.8
Hope Vale (S)	2006	1.1
Ipswich (C)	2006	0.8
Isaac (R)	2006	0.8
Kowanyama (S)	2006	1.5
Livingstone (S)	2006	0.8
Lockhart River (S)	2006	1.2
Lockyer Valley (R)	2006	0.8
Logan (C)	2006	0.8
Longreach (R)	2006	0.8
Mackay (R)	2006	0.8
McKinlay (S)	2006	0.8
Mapoon (S)	2006	0.9
Maranoa (R)	2006	0.8
Mareeba (S)	2006	0.9
Moreton Bay (R)	2006	0.8
Mornington (S)	2006	1.4
Mount Isa (C)	2006	0.9
Murweh (S)	2006	0.8
Napranum (S)	2006	1.4
Noosa (S)	2006	0.8
North Burnett (R)	2006	0.8
Northern Peninsula Area (R)	2006	1.2
Palm Island (S)	2006	1.5
Paroo (S)	2006	0.8
Pormpuraaw (S)	2006	1.2
Quilpie (S)	2006	0.8
Redland (C)	2006	0.8
Richmond (S)	2006	0.8
Rockhampton (R)	2006	0.8
Scenic Rim (R)	2006	0.8
Somerset (R)	2006	0.8
South Burnett (R)	2006	0.8
Southern Downs (R)	2006	0.8
Sunshine Coast (R)	2006	0.8
Tablelands (R)	2006	0.8
Toowoomba (R)	2006	0.8
Torres (S)	2006	1.1
Torres Strait Island (R)	2006	1.1
Townsville (C)	2006	0.8
Weipa (T)	2006	0.9
Western Downs (R)	2006	0.8
Whitsunday (R)	2006	0.9
Winton (S)	2006	0.8
Woorabinda (S)	2006	1.3
Wujal Wujal (S)	2006	1.2
Yarrabah (S)	2006	1.6
No usual address (Qld)	2006	0
Migratory - Offshore - Shipping (Qld)	2006	0
Adelaide (C)	2006	0.9
Adelaide Hills (DC)	2006	0.8
Alexandrina (DC)	2006	0.8
Anangu Pitjantjatjara (AC)	2006	1.3
Barossa (DC)	2006	0.8
Barunga West (DC)	2006	0.8
Berri and Barmera (DC)	2006	0.8
Burnside (C)	2006	0.8
Campbelltown (C) (SA)	2006	0.8
Ceduna (DC)	2006	0.8
Charles Sturt (C)	2006	0.8
Clare and Gilbert Valleys (DC)	2006	0.8
Cleve (DC)	2006	0.8
Coober Pedy (DC)	2006	0.8
Copper Coast (DC)	2006	0.7
Elliston (DC)	2006	0.8
Flinders Ranges (DC)	2006	0.7
Franklin Harbour (DC)	2006	0.8
Gawler (T)	2006	0.8
Goyder (DC)	2006	0.8
Grant (DC)	2006	0.8
Holdfast Bay (C)	2006	0.8
Kangaroo Island (DC)	2006	0.8
Karoonda East Murray (DC)	2006	0.8
Kimba (DC)	2006	0.7
Kingston (DC) (SA)	2006	0.7
Light (RegC)	2006	0.8
Lower Eyre Peninsula (DC)	2006	0.8
Loxton Waikerie (DC)	2006	0.8
Mallala (DC)	2006	0.8
Maralinga Tjarutja (AC)	2006	1.1
Marion (C)	2006	0.8
Mid Murray (DC)	2006	0.8
Mitcham (C)	2006	0.8
Mount Barker (DC)	2006	0.8
Mount Gambier (C)	2006	0.8
Mount Remarkable (DC)	2006	0.8
Murray Bridge (RC)	2006	0.8
Naracoorte and Lucindale (DC)	2006	0.8
Northern Areas (DC)	2006	0.8
Norwood Payneham St Peters (C)	2006	0.8
Onkaparinga (C)	2006	0.8
Orroroo/Carrieton (DC)	2006	0.7
Peterborough (DC)	2006	0.7
Playford (C)	2006	0.8
Port Adelaide Enfield (C)	2006	0.8
Port Augusta (C)	2006	0.8
Port Lincoln (C)	2006	0.8
Port Pirie City and Dists (M)	2006	0.8
Prospect (C)	2006	0.8
Renmark Paringa (DC)	2006	0.8
Robe (DC)	2006	0.7
Roxby Downs (M)	2006	0.9
Salisbury (C)	2006	0.8
Southern Mallee (DC)	2006	0.8
Streaky Bay (DC)	2006	0.8
Tatiara (DC)	2006	0.8
Tea Tree Gully (C)	2006	0.8
The Coorong (DC)	2006	0.8
Tumby Bay (DC)	2006	0.8
Unley (C)	2006	0.8
Victor Harbor (C)	2006	0.7
Wakefield (DC)	2006	0.8
Walkerville (M)	2006	0.8
Wattle Range (DC)	2006	0.8
West Torrens (C)	2006	0.8
Whyalla (C)	2006	0.8
Wudinna (DC)	2006	0.8
Yankalilla (DC)	2006	0.8
Yorke Peninsula (DC)	2006	0.8
Unincorporated SA	2006	0.8
No usual address (SA)	2006	0
Migratory - Offshore - Shipping (SA)	2006	0
Albany (C)	2006	0.8
Armadale (C)	2006	0.8
Ashburton (S)	2006	0.9
Augusta-Margaret River (S)	2006	0.8
Bassendean (T)	2006	0.7
Bayswater (C)	2006	0.8
Belmont (C)	2006	0.7
Beverley (S)	2006	0.8
Boddington (S)	2006	0.8
Boyup Brook (S)	2006	0.8
Bridgetown-Greenbushes (S)	2006	0.7
Brookton (S)	2006	0.7
Broome (S)	2006	1
Broomehill-Tambellup (S)	2006	0.8
Bruce Rock (S)	2006	0.7
Bunbury (C)	2006	0.7
Busselton (C)	2006	0.8
Cambridge (T)	2006	0.8
Canning (C)	2006	0.7
Capel (S)	2006	0.8
Carnamah (S)	2006	0.7
Carnarvon (S)	2006	0.9
Chapman Valley (S)	2006	0.8
Chittering (S)	2006	0.8
Claremont (T)	2006	0.8
Cockburn (C)	2006	0.8
Collie (S)	2006	0.8
Coolgardie (S)	2006	0.8
Coorow (S)	2006	0.7
Corrigin (S)	2006	0.7
Cottesloe (T)	2006	0.8
Cranbrook (S)	2006	0.8
Cuballing (S)	2006	0.7
Cue (S)	2006	0.9
Cunderdin (S)	2006	0.7
Dalwallinu (S)	2006	0.7
Dandaragan (S)	2006	0.7
Dardanup (S)	2006	0.8
Denmark (S)	2006	0.8
Derby-West Kimberley (S)	2006	1.1
Donnybrook-Balingup (S)	2006	0.8
Dowerin (S)	2006	0.7
Dumbleyung (S)	2006	0.7
Dundas (S)	2006	0.8
East Fremantle (T)	2006	0.8
East Pilbara (S)	2006	0.9
Esperance (S)	2006	0.8
Exmouth (S)	2006	0.8
Fremantle (C)	2006	0.8
Gingin (S)	2006	0.8
Gnowangerup (S)	2006	0.8
Goomalling (S)	2006	0.8
Gosnells (C)	2006	0.8
Greater Geraldton (C)	2006	0.8
Halls Creek (S)	2006	1.4
Harvey (S)	2006	0.8
Irwin (S)	2006	0.8
Jerramungup (S)	2006	0.8
Joondalup (C)	2006	0.7
Kalamunda (S)	2006	0.7
Kalgoorlie/Boulder (C)	2006	0.8
Karratha (C)	2006	0.9
Katanning (S)	2006	0.8
Kellerberrin (S)	2006	0.8
Kent (S)	2006	0.7
Kojonup (S)	2006	0.7
Kondinin (S)	2006	0.8
Koorda (S)	2006	0.7
Kulin (S)	2006	0.7
Kwinana (C)	2006	0.7
Lake Grace (S)	2006	0.7
Laverton (S)	2006	0.8
Leonora (S)	2006	0.8
Mandurah (C)	2006	0.7
Manjimup (S)	2006	0.8
Meekatharra (S)	2006	0.8
Melville (C)	2006	0.7
Menzies (S)	2006	1
Merredin (S)	2006	0.7
Mingenew (S)	2006	0.8
Moora (S)	2006	0.8
Morawa (S)	2006	0.8
Mosman Park (T)	2006	0.8
Mount Magnet (S)	2006	0.8
Mount Marshall (S)	2006	0.8
Mukinbudin (S)	2006	0.7
Mundaring (S)	2006	0.8
Murchison (S)	2006	0.8
Murray (S)	2006	0.8
Nannup (S)	2006	0.8
Narembeen (S)	2006	0.7
Narrogin (S)	2006	0.8
Nedlands (C)	2006	0.8
Ngaanyatjarraku (S)	2006	1.2
Northam (S)	2006	0.8
Northampton (S)	2006	0.8
Nungarin (S)	2006	0.7
Peppermint Grove (S)	2006	0.8
Perenjori (S)	2006	0.7
Perth (C)	2006	0.9
Pingelly (S)	2006	0.8
Plantagenet (S)	2006	0.8
Port Hedland (T)	2006	0.9
Quairading (S)	2006	0.8
Ravensthorpe (S)	2006	0.9
Rockingham (C)	2006	0.7
Sandstone (S)	2006	0.7
Serpentine-Jarrahdale (S)	2006	0.8
Shark Bay (S)	2006	0.8
South Perth (C)	2006	0.8
Stirling (C)	2006	0.7
Subiaco (C)	2006	0.8
Swan (C)	2006	0.8
Tammin (S)	2006	0.8
Three Springs (S)	2006	0.8
Toodyay (S)	2006	0.8
Trayning (S)	2006	0.7
Upper Gascoyne (S)	2006	0.9
Victoria Park (T)	2006	0.8
Victoria Plains (S)	2006	0.7
Vincent (C)	2006	0.8
Wagin (S)	2006	0.7
Wandering (S)	2006	0.8
Wanneroo (C)	2006	0.8
Waroona (S)	2006	0.8
West Arthur (S)	2006	0.7
Westonia (S)	2006	0.7
Wickepin (S)	2006	0.7
Williams (S)	2006	0.7
Wiluna (S)	2006	1.1
Wongan-Ballidu (S)	2006	0.8
Woodanilling (S)	2006	0.8
Wyalkatchem (S)	2006	0.7
Wyndham-East Kimberley (S)	2006	1
Yalgoo (S)	2006	0.8
Yilgarn (S)	2006	0.8
York (S)	2006	0.7
No usual address (WA)	2006	0
Migratory - Offshore - Shipping (WA)	2006	0
Break O'Day (M)	2006	0.8
Brighton (M)	2006	0.8
Burnie (C)	2006	0.8
Central Coast (M) (Tas.)	2006	0.8
Central Highlands (M) (Tas.)	2006	0.8
Circular Head (M)	2006	0.8
Clarence (C)	2006	0.8
Derwent Valley (M)	2006	0.8
Devonport (C)	2006	0.8
Dorset (M)	2006	0.8
Flinders (M) (Tas.)	2006	0.7
George Town (M)	2006	0.8
Glamorgan/Spring Bay (M)	2006	0.8
Glenorchy (C)	2006	0.8
Hobart (C)	2006	0.8
Huon Valley (M)	2006	0.8
Kentish (M)	2006	0.8
King Island (M)	2006	0.8
Kingborough (M)	2006	0.8
Latrobe (M) (Tas.)	2006	0.8
Launceston (C)	2006	0.8
Meander Valley (M)	2006	0.8
Northern Midlands (M)	2006	0.8
Sorell (M)	2006	0.8
Southern Midlands (M)	2006	0.8
Tasman (M)	2006	0.8
Waratah/Wynyard (M)	2006	0.8
West Coast (M)	2006	0.8
West Tamar (M)	2006	0.8
No usual address (Tas.)	2006	0
Migratory - Offshore - Shipping (Tas.)	2006	0
Alice Springs (T)	2006	0.9
Barkly (R)	2006	1.3
Belyuen (S)	2006	1.4
Central Desert (R)	2006	1.6
Coomalie (S)	2006	1
Darwin (C)	2006	0.9
East Arnhem (R)	2006	2
Katherine (T)	2006	1
Litchfield (M)	2006	1
MacDonnell (R)	2006	1.6
Palmerston (C)	2006	0.9
Roper Gulf (R)	2006	1.7
Tiwi Islands (R)	2006	1.3
Victoria Daly (R)	2006	1.4
Wagait (S)	2006	1.1
West Arnhem (R)	2006	1.6
West Daly (R)	2006	2.1
Unincorporated NT	2006	1
No usual address (NT)	2006	0
Migratory - Offshore - Shipping (NT)	2006	0
Unincorporated ACT	2006	0.8
No usual address (ACT)	2006	0
Migratory - Offshore - Shipping (ACT)	2006	0
Unincorp. Other Territories	2006	0.9
No usual address (OT)	2006	0
Migratory - Offshore - Shipping (OT)	2006	0
Albury (C)	2011	0.8
Armidale Regional (A)	2011	0.8
Ballina (A)	2011	0.8
Balranald (A)	2011	0.8
Bathurst Regional (A)	2011	0.8
Bega Valley (A)	2011	0.8
Bellingen (A)	2011	0.8
Berrigan (A)	2011	0.7
Blacktown (C)	2011	0.9
Bland (A)	2011	0.8
Blayney (A)	2011	0.8
Blue Mountains (C)	2011	0.8
Bogan (A)	2011	0.8
Botany Bay (C)	2011	1.1
Bourke (A)	2011	0.8
Brewarrina (A)	2011	0.9
Broken Hill (C)	2011	0.8
Burwood (A)	2011	1
Byron (A)	2011	0.8
Cabonne (A)	2011	0.8
Camden (A)	2011	0.8
Campbelltown (C) (NSW)	2011	0.9
Canada Bay (A)	2011	1
Canterbury-Bankstown (A)	2011	1
Carrathool (A)	2011	0.8
Central Coast (C) (NSW)	2011	0.8
Central Darling (A)	2011	0.8
Cessnock (C)	2011	0.9
Clarence Valley (A)	2011	0.8
Cobar (A)	2011	0.8
Coffs Harbour (C)	2011	0.8
Coolamon (A)	2011	0.8
Coonamble (A)	2011	0.8
Cowra (A)	2011	0.7
Cumberland (A)	2011	1.1
Dungog (A)	2011	0.8
Edward River (A)	2011	0.7
Eurobodalla (A)	2011	0.7
Fairfield (C)	2011	1
Federation (A)	2011	0.7
Forbes (A)	2011	0.7
Georges River (A)	2011	1
Gilgandra (A)	2011	0.8
Glen Innes Severn (A)	2011	0.7
Goulburn Mulwaree (A)	2011	0.8
Greater Hume Shire (A)	2011	0.8
Griffith (C)	2011	0.8
Gundagai (A)	2011	0.7
Gunnedah (A)	2011	0.8
Gwydir (A)	2011	0.8
Hawkesbury (C)	2011	0.8
Hay (A)	2011	0.7
Hilltops (A)	2011	0.8
Hornsby (A)	2011	0.9
Hunters Hill (A)	2011	0.9
Inner West (A)	2011	1
Inverell (A)	2011	0.8
Junee (A)	2011	0.8
Kempsey (A)	2011	0.8
Kiama (A)	2011	0.8
Ku-ring-gai (A)	2011	0.8
Kyogle (A)	2011	0.8
Lachlan (A)	2011	0.8
Lake Macquarie (C)	2011	0.8
Lane Cove (A)	2011	0.9
Leeton (A)	2011	0.8
Lismore (C)	2011	0.8
Lithgow (C)	2011	0.8
Liverpool (C)	2011	1
Liverpool Plains (A)	2011	0.8
Lockhart (A)	2011	0.7
Maitland (C)	2011	0.8
Mid-Coast (A)	2011	0.8
Mid-Western Regional (A)	2011	0.8
Moree Plains (A)	2011	0.8
Mosman (A)	2011	0.9
Murray River (A)	2011	0.7
Murrumbidgee (A)	2011	0.8
Muswellbrook (A)	2011	0.8
Nambucca (A)	2011	0.8
Narrabri (A)	2011	0.8
Narrandera (A)	2011	0.8
Narromine (A)	2011	0.8
Newcastle (C)	2011	0.8
North Sydney (A)	2011	1
Northern Beaches (A)	2011	0.9
Oberon (A)	2011	0.8
Orange (C)	2011	0.8
Parkes (A)	2011	0.8
Parramatta (C)	2011	1
Penrith (C)	2011	0.9
Port Macquarie-Hastings (A)	2011	0.8
Port Stephens (A)	2011	0.8
Queanbeyan-Palerang Regional (A)	2011	0.8
Randwick (C)	2011	1
Richmond Valley (A)	2011	0.8
Rockdale (C)	2011	1
Ryde (C)	2011	1
Shellharbour (C)	2011	0.8
Shoalhaven (C)	2011	0.7
Singleton (A)	2011	0.8
Snowy Monaro Regional (A)	2011	0.8
Snowy Valleys (A)	2011	0.8
Strathfield (A)	2011	1.1
Sutherland Shire (A)	2011	0.9
Sydney (C)	2011	1.1
Tamworth Regional (A)	2011	0.8
Temora (A)	2011	0.8
Tenterfield (A)	2011	0.8
The Hills Shire (A)	2011	0.8
Tweed (A)	2011	0.8
Upper Hunter Shire (A)	2011	0.8
Upper Lachlan Shire (A)	2011	0.7
Uralla (A)	2011	0.8
Wagga Wagga (C)	2011	0.8
Walcha (A)	2011	0.7
Walgett (A)	2011	0.9
Warren (A)	2011	0.7
Warrumbungle Shire (A)	2011	0.8
Waverley (A)	2011	1
Weddin (A)	2011	0.7
Wentworth (A)	2011	0.8
Western Plains Regional (A)	2011	0.8
Willoughby (C)	2011	1
Wingecarribee (A)	2011	0.7
Wollondilly (A)	2011	0.8
Wollongong (C)	2011	0.9
Woollahra (A)	2011	0.9
Yass Valley (A)	2011	0.8
Unincorporated NSW	2011	0.8
No usual address (NSW)	2011	0
Migratory - Offshore - Shipping (NSW)	2011	0
Alpine (S)	2011	0.7
Ararat (RC)	2011	0.8
Ballarat (C)	2011	0.8
Banyule (C)	2011	0.8
Bass Coast (S)	2011	0.7
Baw Baw (S)	2011	0.8
Bayside (C)	2011	0.8
Benalla (RC)	2011	0.7
Boroondara (C)	2011	0.9
Brimbank (C)	2011	0.9
Buloke (S)	2011	0.7
Campaspe (S)	2011	0.8
Cardinia (S)	2011	0.8
Casey (C)	2011	0.9
Central Goldfields (S)	2011	0.8
Colac-Otway (S)	2011	0.8
Corangamite (S)	2011	0.8
Darebin (C)	2011	0.9
East Gippsland (S)	2011	0.8
Frankston (C)	2011	0.8
Gannawarra (S)	2011	0.7
Glen Eira (C)	2011	0.9
Glenelg (S)	2011	0.8
Golden Plains (S)	2011	0.8
Greater Bendigo (C)	2011	0.8
Greater Dandenong (C)	2011	1
Greater Geelong (C)	2011	0.8
Greater Shepparton (C)	2011	0.8
Hepburn (S)	2011	0.8
Hindmarsh (S)	2011	0.8
Hobsons Bay (C)	2011	0.9
Horsham (RC)	2011	0.8
Hume (C)	2011	0.9
Indigo (S)	2011	0.8
Kingston (C) (Vic.)	2011	0.8
Knox (C)	2011	0.8
Latrobe (C) (Vic.)	2011	0.8
Loddon (S)	2011	0.8
Macedon Ranges (S)	2011	0.8
Manningham (C)	2011	0.8
Mansfield (S)	2011	0.7
Maribyrnong (C)	2011	1
Maroondah (C)	2011	0.8
Melbourne (C)	2011	1.1
Melton (C)	2011	0.9
Mildura (RC)	2011	0.8
Mitchell (S)	2011	0.8
Moira (S)	2011	0.8
Monash (C)	2011	0.8
Moonee Valley (C)	2011	0.9
Moorabool (S)	2011	0.8
Moreland (C)	2011	0.9
Mornington Peninsula (S)	2011	0.8
Mount Alexander (S)	2011	0.8
Moyne (S)	2011	0.8
Murrindindi (S)	2011	0.8
Nillumbik (S)	2011	0.9
Northern Grampians (S)	2011	0.8
Port Phillip (C)	2011	1
Pyrenees (S)	2011	0.8
Queenscliffe (B)	2011	0.7
South Gippsland (S)	2011	0.8
Southern Grampians (S)	2011	0.7
Stonnington (C)	2011	0.9
Strathbogie (S)	2011	0.8
Surf Coast (S)	2011	0.8
Swan Hill (RC)	2011	0.8
Towong (S)	2011	0.7
Wangaratta (RC)	2011	0.8
Warrnambool (C)	2011	0.8
Wellington (S)	2011	0.8
West Wimmera (S)	2011	0.7
Whitehorse (C)	2011	0.8
Whittlesea (C)	2011	0.9
Wodonga (C)	2011	0.8
Wyndham (C)	2011	0.8
Yarra (C)	2011	1
Yarra Ranges (S)	2011	0.8
Yarriambiack (S)	2011	0.7
Unincorporated Vic	2011	0.9
No usual address (Vic.)	2011	0
Migratory - Offshore - Shipping (Vic.)	2011	0
Aurukun (S)	2011	1.6
Balonne (S)	2011	0.8
Banana (S)	2011	0.8
Barcaldine (R)	2011	0.8
Barcoo (S)	2011	0.7
Blackall-Tambo (R)	2011	0.8
Boulia (S)	2011	1
Brisbane (C)	2011	0.8
Bulloo (S)	2011	0.8
Bundaberg (R)	2011	0.8
Burdekin (S)	2011	0.8
Burke (S)	2011	0.9
Cairns (R)	2011	0.8
Carpentaria (S)	2011	1.1
Cassowary Coast (R)	2011	0.9
Central Highlands (R) (Qld)	2011	0.9
Charters Towers (R)	2011	0.9
Cherbourg (S)	2011	1.2
Cloncurry (S)	2011	0.9
Cook (S)	2011	1
Croydon (S)	2011	1
Diamantina (S)	2011	0.7
Doomadgee (S)	2011	1.7
Douglas (S)	2011	0.9
Etheridge (S)	2011	0.9
Flinders (S) (Qld)	2011	0.8
Fraser Coast (R)	2011	0.8
Gladstone (R)	2011	0.8
Gold Coast (C)	2011	0.8
Goondiwindi (R)	2011	0.8
Gympie (R)	2011	0.8
Hinchinbrook (S)	2011	0.8
Hope Vale (S)	2011	1.2
Ipswich (C)	2011	0.8
Isaac (R)	2011	0.9
Kowanyama (S)	2011	1.4
Livingstone (S)	2011	0.8
Lockhart River (S)	2011	1.2
Lockyer Valley (R)	2011	0.8
Logan (C)	2011	0.8
Longreach (R)	2011	0.8
Mackay (R)	2011	0.9
McKinlay (S)	2011	0.7
Mapoon (S)	2011	0.9
Maranoa (R)	2011	0.8
Mareeba (S)	2011	0.9
Moreton Bay (R)	2011	0.8
Mornington (S)	2011	1.4
Mount Isa (C)	2011	1
Murweh (S)	2011	0.8
Napranum (S)	2011	1.3
Noosa (S)	2011	0.8
North Burnett (R)	2011	0.8
Northern Peninsula Area (R)	2011	1.3
Palm Island (S)	2011	1.6
