LGA_NAME16	Year	overseas_visitors
Central Coast (C) (NSW)	2006	961
Central Coast (C) (NSW)	2011	820
Central Coast (C) (NSW)	2016	1177
Central Darling (A)	2006	15
Central Darling (A)	2011	40
Central Darling (A)	2016	10
Cessnock (C)	2006	123
Cessnock (C)	2011	170
Cessnock (C)	2016	174
Clarence Valley (A)	2006	138
Clarence Valley (A)	2011	127
Clarence Valley (A)	2016	191
Cobar (A)	2006	3
Cobar (A)	2011	25
Cobar (A)	2016	12
Coffs Harbour (C)	2006	412
Coffs Harbour (C)	2011	502
Coffs Harbour (C)	2016	692
Coolamon (A)	2006	6
Coolamon (A)	2011	0
Coolamon (A)	2016	3
Coonamble (A)	2006	11
Coonamble (A)	2011	14
Coonamble (A)	2016	5
Cowra (A)	2006	53
Cowra (A)	2011	43
Cowra (A)	2016	41
Cumberland (A)	2006	1164
Cumberland (A)	2011	1486
Cumberland (A)	2016	2761
Dungog (A)	2006	21
Dungog (A)	2011	13
Dungog (A)	2016	12
Edward River (A)	2006	14
Edward River (A)	2011	27
Edward River (A)	2016	67
Eurobodalla (A)	2006	118
Eurobodalla (A)	2011	139
Eurobodalla (A)	2016	138
Fairfield (C)	2006	569
Fairfield (C)	2011	658
Fairfield (C)	2016	1243
Federation (A)	2006	27
Federation (A)	2011	22
Federation (A)	2016	23
Forbes (A)	2006	19
Forbes (A)	2011	19
Forbes (A)	2016	24
Georges River (A)	2006	1039
Georges River (A)	2011	1440
Georges River (A)	2016	2630
Gilgandra (A)	2006	0
Gilgandra (A)	2011	5
Gilgandra (A)	2016	4
Glen Innes Severn (A)	2006	10
Glen Innes Severn (A)	2011	24
Glen Innes Severn (A)	2016	12
Goulburn Mulwaree (A)	2006	99
Goulburn Mulwaree (A)	2011	89
Goulburn Mulwaree (A)	2016	136
Greater Hume Shire (A)	2006	26
Greater Hume Shire (A)	2011	19
Greater Hume Shire (A)	2016	17
Griffith (C)	2006	156
Griffith (C)	2011	175
Griffith (C)	2016	370
Gundagai (A)	2006	18
Gundagai (A)	2011	21
Gundagai (A)	2016	45
Gunnedah (A)	2006	12
Gunnedah (A)	2011	30
Gunnedah (A)	2016	38
Gwydir (A)	2006	20
Gwydir (A)	2011	13
Gwydir (A)	2016	45
Hawkesbury (C)	2006	197
Hawkesbury (C)	2011	199
Hawkesbury (C)	2016	209
Hay (A)	2006	6
Hay (A)	2011	17
Hay (A)	2016	19
Hilltops (A)	2006	23
Hilltops (A)	2011	27
Hilltops (A)	2016	53
Hornsby (A)	2006	1017
Hornsby (A)	2011	1243
Hornsby (A)	2016	1853
Hunters Hill (A)	2006	123
Hunters Hill (A)	2011	102
Hunters Hill (A)	2016	120
Inner West (A)	2006	1789
Inner West (A)	2011	1680
Inner West (A)	2016	2236
Inverell (A)	2006	35
Inverell (A)	2011	27
Inverell (A)	2016	78
Junee (A)	2006	3
Junee (A)	2011	7
Junee (A)	2016	16
Kempsey (A)	2006	50
Kempsey (A)	2011	75
Kempsey (A)	2016	121
Kiama (A)	2006	60
Kiama (A)	2011	77
Kiama (A)	2016	107
Ku-ring-gai (A)	2006	1073
Ku-ring-gai (A)	2011	1230
Ku-ring-gai (A)	2016	2033
Kyogle (A)	2006	29
Kyogle (A)	2011	26
Kyogle (A)	2016	40
Lachlan (A)	2006	14
Lachlan (A)	2011	21
Lachlan (A)	2016	17
Lake Macquarie (C)	2006	485
Lake Macquarie (C)	2011	445
Lake Macquarie (C)	2016	534
Lane Cove (A)	2006	443
Lane Cove (A)	2011	395
Lane Cove (A)	2016	605
Leeton (A)	2006	41
Leeton (A)	2011	40
Leeton (A)	2016	38
Lismore (C)	2006	268
Lismore (C)	2011	225
Lismore (C)	2016	247
Lithgow (C)	2006	37
Lithgow (C)	2011	55
Lithgow (C)	2016	45
Liverpool (C)	2006	521
Liverpool (C)	2011	823
Liverpool (C)	2016	1467
Liverpool Plains (A)	2006	9
Liverpool Plains (A)	2011	14
Liverpool Plains (A)	2016	20
Lockhart (A)	2006	3
Lockhart (A)	2011	7
Lockhart (A)	2016	7
Maitland (C)	2006	103
Maitland (C)	2011	111
Maitland (C)	2016	190
Mid-Coast (A)	2006	205
Mid-Coast (A)	2011	209
Mid-Coast (A)	2016	285
Mid-Western Regional (A)	2006	64
Mid-Western Regional (A)	2011	56
Mid-Western Regional (A)	2016	65
Moree Plains (A)	2006	16
Moree Plains (A)	2011	66
Moree Plains (A)	2016	85
Mosman (A)	2006	324
Mosman (A)	2011	350
Mosman (A)	2016	398
Murray River (A)	2006	36
Murray River (A)	2011	33
Murray River (A)	2016	32
Murrumbidgee (A)	2006	5
Murrumbidgee (A)	2011	18
Murrumbidgee (A)	2016	34
Muswellbrook (A)	2006	47
Muswellbrook (A)	2011	37
Muswellbrook (A)	2016	79
Nambucca (A)	2006	105
Nambucca (A)	2011	30
Nambucca (A)	2016	52
Narrabri (A)	2006	27
Narrabri (A)	2011	36
Narrabri (A)	2016	31
Narrandera (A)	2006	17
Narrandera (A)	2011	11
Narrandera (A)	2016	32
Narromine (A)	2006	13
Narromine (A)	2011	10
Narromine (A)	2016	10
Newcastle (C)	2006	959
Newcastle (C)	2011	1064
Newcastle (C)	2016	1249
North Sydney (A)	2006	1302
North Sydney (A)	2011	1195
North Sydney (A)	2016	1274
Northern Beaches (A)	2006	2615
Northern Beaches (A)	2011	2244
Northern Beaches (A)	2016	2749
Oberon (A)	2006	13
Oberon (A)	2011	22
Oberon (A)	2016	10
Orange (C)	2006	49
Orange (C)	2011	110
Orange (C)	2016	116
Parkes (A)	2006	13
Parkes (A)	2011	25
Parkes (A)	2016	43
Parramatta (C)	2006	2281
Parramatta (C)	2011	2995
Parramatta (C)	2016	5195
Penrith (C)	2006	536
Penrith (C)	2011	491
Penrith (C)	2016	977
Port Macquarie-Hastings (A)	2006	321
Port Macquarie-Hastings (A)	2011	247
Port Macquarie-Hastings (A)	2016	341
Port Stephens (A)	2006	228
Port Stephens (A)	2011	203
Port Stephens (A)	2016	262
Queanbeyan-Palerang Regional (A)	2006	174
Queanbeyan-Palerang Regional (A)	2011	211
Queanbeyan-Palerang Regional (A)	2016	267
Randwick (C)	2006	2489
Randwick (C)	2011	2587
Randwick (C)	2016	3508
Richmond Valley (A)	2006	39
Richmond Valley (A)	2011	60
Richmond Valley (A)	2016	40
Rockdale (C)	2006	817
Rockdale (C)	2011	946
Rockdale (C)	2016	2101
Ryde (C)	2006	1754
Ryde (C)	2011	1951
Ryde (C)	2016	2951
Shellharbour (C)	2006	98
Shellharbour (C)	2011	75
Shellharbour (C)	2016	165
Shoalhaven (C)	2006	234
Shoalhaven (C)	2011	257
Shoalhaven (C)	2016	365
Singleton (A)	2006	69
Singleton (A)	2011	69
Singleton (A)	2016	78
Snowy Monaro Regional (A)	2006	539
Snowy Monaro Regional (A)	2011	502
Snowy Monaro Regional (A)	2016	762
Snowy Valleys (A)	2006	26
Snowy Valleys (A)	2011	54
Snowy Valleys (A)	2016	47
Strathfield (A)	2006	470
Strathfield (A)	2011	504
Strathfield (A)	2016	794
Sutherland Shire (A)	2006	833
Sutherland Shire (A)	2011	849
Sutherland Shire (A)	2016	1129
Sydney (C)	2006	13468
Sydney (C)	2011	15017
Sydney (C)	2016	23788
Tamworth Regional (A)	2006	164
Tamworth Regional (A)	2011	122
Tamworth Regional (A)	2016	259
Temora (A)	2006	11
Temora (A)	2011	5
Temora (A)	2016	8
Tenterfield (A)	2006	29
Tenterfield (A)	2011	24
Tenterfield (A)	2016	58
The Hills Shire (A)	2006	853
The Hills Shire (A)	2011	1069
The Hills Shire (A)	2016	2128
Tweed (A)	2006	567
Tweed (A)	2011	605
Tweed (A)	2016	603
Upper Hunter Shire (A)	2006	43
Upper Hunter Shire (A)	2011	73
Upper Hunter Shire (A)	2016	88
Upper Lachlan Shire (A)	2006	16
Upper Lachlan Shire (A)	2011	11
Upper Lachlan Shire (A)	2016	12
Uralla (A)	2006	19
Uralla (A)	2011	7
Uralla (A)	2016	20
Wagga Wagga (C)	2006	161
Wagga Wagga (C)	2011	172
Wagga Wagga (C)	2016	239
Walcha (A)	2006	13
Walcha (A)	2011	25
Walcha (A)	2016	6
Walgett (A)	2006	35
Walgett (A)	2011	41
Walgett (A)	2016	17
Warren (A)	2006	9
Warren (A)	2011	7
Warren (A)	2016	16
Warrumbungle Shire (A)	2006	20
Warrumbungle Shire (A)	2011	33
Warrumbungle Shire (A)	2016	65
Waverley (A)	2006	1854
Waverley (A)	2011	1509
Waverley (A)	2016	1886
Weddin (A)	2006	8
Weddin (A)	2011	10
Weddin (A)	2016	0
Wentworth (A)	2006	31
Wentworth (A)	2011	36
Wentworth (A)	2016	93
Western Plains Regional (A)	2006	97
Western Plains Regional (A)	2011	103
Western Plains Regional (A)	2016	184
Willoughby (C)	2006	1133
Willoughby (C)	2011	1226
Willoughby (C)	2016	2336
Wingecarribee (A)	2006	200
Wingecarribee (A)	2011	265
Wingecarribee (A)	2016	206
Wollondilly (A)	2006	149
Wollondilly (A)	2011	74
Wollondilly (A)	2016	110
Wollongong (C)	2006	1190
Wollongong (C)	2011	1353
Wollongong (C)	2016	1699
Woollahra (A)	2006	877
Woollahra (A)	2011	752
Woollahra (A)	2016	868
Yass Valley (A)	2006	42
Yass Valley (A)	2011	35
Yass Valley (A)	2016	38
Unincorporated NSW	2006	43
Unincorporated NSW	2011	27
Unincorporated NSW	2016	29
No usual address (NSW)	2006	0
No usual address (NSW)	2011	0
No usual address (NSW)	2016	0
Migratory - Offshore - Shipping (NSW)	2006	77
Migratory - Offshore - Shipping (NSW)	2011	165
Migratory - Offshore - Shipping (NSW)	2016	333
Alpine (S)	2006	110
Alpine (S)	2011	76
Alpine (S)	2016	115
Ararat (RC)	2006	19
Ararat (RC)	2011	24
Ararat (RC)	2016	31
Ballarat (C)	2006	269
Ballarat (C)	2011	305
Ballarat (C)	2016	418
Banyule (C)	2006	540
Banyule (C)	2011	633
Banyule (C)	2016	1099
Bass Coast (S)	2006	132
Bass Coast (S)	2011	182
Bass Coast (S)	2016	139
Baw Baw (S)	2006	93
Baw Baw (S)	2011	91
Baw Baw (S)	2016	193
Bayside (C)	2006	605
Bayside (C)	2011	597
Bayside (C)	2016	943
Benalla (RC)	2006	32
Benalla (RC)	2011	39
Benalla (RC)	2016	18
Boroondara (C)	2006	1538
Boroondara (C)	2011	1973
Boroondara (C)	2016	2994
Brimbank (C)	2006	532
Brimbank (C)	2011	938
Brimbank (C)	2016	1566
Buloke (S)	2006	15
Buloke (S)	2011	6
Buloke (S)	2016	45
Campaspe (S)	2006	57
Campaspe (S)	2011	78
Campaspe (S)	2016	115
Cardinia (S)	2006	118
Cardinia (S)	2011	222
Cardinia (S)	2016	460
Casey (C)	2006	764
Casey (C)	2011	1257
Casey (C)	2016	2752
Central Goldfields (S)	2006	6
Central Goldfields (S)	2011	17
Central Goldfields (S)	2016	28
Colac-Otway (S)	2006	116
Colac-Otway (S)	2011	119
Colac-Otway (S)	2016	288
Corangamite (S)	2006	97
Corangamite (S)	2011	110
Corangamite (S)	2016	266
Darebin (C)	2006	995
Darebin (C)	2011	1255
Darebin (C)	2016	1668
East Gippsland (S)	2006	103
East Gippsland (S)	2011	149
East Gippsland (S)	2016	176
Frankston (C)	2006	393
Frankston (C)	2011	400
Frankston (C)	2016	641
Gannawarra (S)	2006	33
Gannawarra (S)	2011	17
Gannawarra (S)	2016	16
Glen Eira (C)	2006	979
Glen Eira (C)	2011	1175
Glen Eira (C)	2016	1820
Glenelg (S)	2006	65
Glenelg (S)	2011	55
Glenelg (S)	2016	54
Golden Plains (S)	2006	34
Golden Plains (S)	2011	37
Golden Plains (S)	2016	31
Greater Bendigo (C)	2006	226
Greater Bendigo (C)	2011	233
Greater Bendigo (C)	2016	389
Greater Dandenong (C)	2006	683
Greater Dandenong (C)	2011	989
Greater Dandenong (C)	2016	1941
Greater Geelong (C)	2006	731
Greater Geelong (C)	2011	856
Greater Geelong (C)	2016	1110
Greater Shepparton (C)	2006	119
Greater Shepparton (C)	2011	200
Greater Shepparton (C)	2016	361
Hepburn (S)	2006	25
Hepburn (S)	2011	65
Hepburn (S)	2016	56
Hindmarsh (S)	2006	3
Hindmarsh (S)	2011	16
Hindmarsh (S)	2016	26
Hobsons Bay (C)	2006	368
Hobsons Bay (C)	2011	463
Hobsons Bay (C)	2016	641
Horsham (RC)	2006	42
Horsham (RC)	2011	60
Horsham (RC)	2016	51
Hume (C)	2006	484
Hume (C)	2011	798
Hume (C)	2016	1510
Indigo (S)	2006	38
Indigo (S)	2011	51
Indigo (S)	2016	43
Kingston (C) (Vic.)	2006	628
Kingston (C) (Vic.)	2011	748
Kingston (C) (Vic.)	2016	1367
Knox (C)	2006	563
Knox (C)	2011	727
Knox (C)	2016	1523
Latrobe (C) (Vic.)	2006	184
Latrobe (C) (Vic.)	2011	169
Latrobe (C) (Vic.)	2016	154
Loddon (S)	2006	6
Loddon (S)	2011	12
Loddon (S)	2016	21
Macedon Ranges (S)	2006	105
Macedon Ranges (S)	2011	142
Macedon Ranges (S)	2016	170
Manningham (C)	2006	818
Manningham (C)	2011	941
Manningham (C)	2016	1996
Mansfield (S)	2006	62
Mansfield (S)	2011	84
Mansfield (S)	2016	84
Maribyrnong (C)	2006	443
Maribyrnong (C)	2011	691
Maribyrnong (C)	2016	1040
Maroondah (C)	2006	253
Maroondah (C)	2011	443
Maroondah (C)	2016	858
Melbourne (C)	2006	8567
Melbourne (C)	2011	9805
Melbourne (C)	2016	16312
Melton (C)	2006	177
Melton (C)	2011	487
Melton (C)	2016	969
Mildura (RC)	2006	415
Mildura (RC)	2011	423
Mildura (RC)	2016	820
Mitchell (S)	2006	80
Mitchell (S)	2011	223
Mitchell (S)	2016	164
Moira (S)	2006	55
Moira (S)	2011	73
Moira (S)	2016	124
Monash (C)	2006	1903
Monash (C)	2011	2515
Monash (C)	2016	4507
Moonee Valley (C)	2006	467
Moonee Valley (C)	2011	602
Moonee Valley (C)	2016	978
Moorabool (S)	2006	51
Moorabool (S)	2011	47
Moorabool (S)	2016	65
Moreland (C)	2006	782
Moreland (C)	2011	1138
Moreland (C)	2016	1530
Mornington Peninsula (S)	2006	429
Mornington Peninsula (S)	2011	537
Mornington Peninsula (S)	2016	583
Mount Alexander (S)	2006	36
Mount Alexander (S)	2011	72
Mount Alexander (S)	2016	55
Moyne (S)	2006	45
Moyne (S)	2011	98
Moyne (S)	2016	110
Murrindindi (S)	2006	45
Murrindindi (S)	2011	36
Murrindindi (S)	2016	108
Nillumbik (S)	2006	182
Nillumbik (S)	2011	223
Nillumbik (S)	2016	274
Northern Grampians (S)	2006	87
Northern Grampians (S)	2011	74
Northern Grampians (S)	2016	88
Port Phillip (C)	2006	1870
Port Phillip (C)	2011	2181
Port Phillip (C)	2016	2737
Pyrenees (S)	2006	11
Pyrenees (S)	2011	13
Pyrenees (S)	2016	17
Queenscliffe (B)	2006	23
Queenscliffe (B)	2011	20
Queenscliffe (B)	2016	11
South Gippsland (S)	2006	61
South Gippsland (S)	2011	102
South Gippsland (S)	2016	137
Southern Grampians (S)	2006	55
Southern Grampians (S)	2011	63
Southern Grampians (S)	2016	93
Stonnington (C)	2006	1177
Stonnington (C)	2011	1477
Stonnington (C)	2016	1886
Strathbogie (S)	2006	21
Strathbogie (S)	2011	18
Strathbogie (S)	2016	53
Surf Coast (S)	2006	137
Surf Coast (S)	2011	161
Surf Coast (S)	2016	189
Swan Hill (RC)	2006	125
Swan Hill (RC)	2011	225
Swan Hill (RC)	2016	238
Towong (S)	2006	26
Towong (S)	2011	15
Towong (S)	2016	20
Wangaratta (RC)	2006	63
Wangaratta (RC)	2011	76
Wangaratta (RC)	2016	94
Warrnambool (C)	2006	140
Warrnambool (C)	2011	164
Warrnambool (C)	2016	293
Wellington (S)	2006	102
Wellington (S)	2011	167
Wellington (S)	2016	168
West Wimmera (S)	2006	7
West Wimmera (S)	2011	11
West Wimmera (S)	2016	11
Whitehorse (C)	2006	1301
Whitehorse (C)	2011	1757
Whitehorse (C)	2016	3308
Whittlesea (C)	2006	336
Whittlesea (C)	2011	809
Whittlesea (C)	2016	1871
Wodonga (C)	2006	73
Wodonga (C)	2011	71
Wodonga (C)	2016	108
Wyndham (C)	2006	508
Wyndham (C)	2011	1359
Wyndham (C)	2016	3537
Yarra (C)	2006	770
Yarra (C)	2011	760
Yarra (C)	2016	1305
Yarra Ranges (S)	2006	431
Yarra Ranges (S)	2011	398
Yarra Ranges (S)	2016	580
Yarriambiack (S)	2006	16
Yarriambiack (S)	2011	5
Yarriambiack (S)	2016	19
Unincorporated Vic	2006	339
Unincorporated Vic	2011	440
Unincorporated Vic	2016	527
No usual address (Vic.)	2006	0
No usual address (Vic.)	2011	0
No usual address (Vic.)	2016	0
Migratory - Offshore - Shipping (Vic.)	2006	71
Migratory - Offshore - Shipping (Vic.)	2011	73
Migratory - Offshore - Shipping (Vic.)	2016	34
Aurukun (S)	2006	0
Aurukun (S)	2011	0
Aurukun (S)	2016	3
Balonne (S)	2006	32
Balonne (S)	2011	33
Balonne (S)	2016	36
Banana (S)	2006	111
Banana (S)	2011	120
Banana (S)	2016	77
Barcaldine (R)	2006	20
Barcaldine (R)	2011	30
Barcaldine (R)	2016	20
Barcoo (S)	2006	3
Barcoo (S)	2011	5
Barcoo (S)	2016	3
Blackall-Tambo (R)	2006	8
Blackall-Tambo (R)	2011	16
Blackall-Tambo (R)	2016	16
Boulia (S)	2006	15
Boulia (S)	2011	23
Boulia (S)	2016	6
Brisbane (C)	2006	17678
Brisbane (C)	2011	16928
Brisbane (C)	2016	23160
Bulloo (S)	2006	0
Bulloo (S)	2011	11
Bulloo (S)	2016	3
Bundaberg (R)	2006	1056
Bundaberg (R)	2011	1200
Bundaberg (R)	2016	1192
Burdekin (S)	2006	375
Burdekin (S)	2011	468
Burdekin (S)	2016	395
Burke (S)	2006	21
Burke (S)	2011	13
Burke (S)	2016	13
Cairns (R)	2006	11797
Cairns (R)	2011	8526
Cairns (R)	2016	10241
Carpentaria (S)	2006	42
Carpentaria (S)	2011	29
Carpentaria (S)	2016	22
Cassowary Coast (R)	2006	785
Cassowary Coast (R)	2011	656
Cassowary Coast (R)	2016	1075
Central Highlands (R) (Qld)	2006	208
Central Highlands (R) (Qld)	2011	238
Central Highlands (R) (Qld)	2016	484
Charters Towers (R)	2006	78
Charters Towers (R)	2011	51
Charters Towers (R)	2016	68
Cherbourg (S)	2006	0
Cherbourg (S)	2011	0
Cherbourg (S)	2016	0
Cloncurry (S)	2006	46
Cloncurry (S)	2011	83
Cloncurry (S)	2016	43
Cook (S)	2006	156
Cook (S)	2011	245
Cook (S)	2016	398
Croydon (S)	2006	0
Croydon (S)	2011	10
Croydon (S)	2016	4
Diamantina (S)	2006	6
Diamantina (S)	2011	14
Diamantina (S)	2016	12
Doomadgee (S)	2006	4
Doomadgee (S)	2011	4
Doomadgee (S)	2016	5
Douglas (S)	2006	2727
Douglas (S)	2011	2582
Douglas (S)	2016	2501
Etheridge (S)	2006	70
Etheridge (S)	2011	63
Etheridge (S)	2016	37
Flinders (S) (Qld)	2006	37
Flinders (S) (Qld)	2011	17
Flinders (S) (Qld)	2016	10
Fraser Coast (R)	2006	1576
Fraser Coast (R)	2011	1123
Fraser Coast (R)	2016	1388
Gladstone (R)	2006	532
Gladstone (R)	2011	581
Gladstone (R)	2016	562
Gold Coast (C)	2006	14141
Gold Coast (C)	2011	12497
Gold Coast (C)	2016	16891
Goondiwindi (R)	2006	43
Goondiwindi (R)	2011	58
Goondiwindi (R)	2016	63
Gympie (R)	2006	319
Gympie (R)	2011	411
Gympie (R)	2016	540
Hinchinbrook (S)	2006	58
Hinchinbrook (S)	2011	56
Hinchinbrook (S)	2016	32
Hope Vale (S)	2006	0
Hope Vale (S)	2011	0
Hope Vale (S)	2016	0
Ipswich (C)	2006	609
Ipswich (C)	2011	636
Ipswich (C)	2016	967
Isaac (R)	2006	132
Isaac (R)	2011	193
Isaac (R)	2016	176
Kowanyama (S)	2006	0
Kowanyama (S)	2011	0
Kowanyama (S)	2016	0
Livingstone (S)	2006	393
Livingstone (S)	2011	203
Livingstone (S)	2016	242
Lockhart River (S)	2006	0
Lockhart River (S)	2011	3
Lockhart River (S)	2016	5
Lockyer Valley (R)	2006	272
Lockyer Valley (R)	2011	263
Lockyer Valley (R)	2016	450
Logan (C)	2006	1408
Logan (C)	2011	1397
Logan (C)	2016	1925
Longreach (R)	2006	34
Longreach (R)	2011	39
Longreach (R)	2016	26
Mackay (R)	2006	688
Mackay (R)	2011	577
Mackay (R)	2016	621
McKinlay (S)	2006	23
McKinlay (S)	2011	30
McKinlay (S)	2016	25
Mapoon (S)	2006	0
Mapoon (S)	2011	0
Mapoon (S)	2016	0
Maranoa (R)	2006	54
Maranoa (R)	2011	106
Maranoa (R)	2016	74
Mareeba (S)	2006	156
Mareeba (S)	2011	257
Mareeba (S)	2016	365
Moreton Bay (R)	2006	1699
Moreton Bay (R)	2011	1890
Moreton Bay (R)	2016	2851
Mornington (S)	2006	5
Mornington (S)	2011	0
Mornington (S)	2016	4
Mount Isa (C)	2006	134
Mount Isa (C)	2011	171
Mount Isa (C)	2016	106
Murweh (S)	2006	4
Murweh (S)	2011	22
Murweh (S)	2016	29
Napranum (S)	2006	0
Napranum (S)	2011	0
Napranum (S)	2016	0
Noosa (S)	2006	2071
Noosa (S)	2011	1893
Noosa (S)	2016	2024
North Burnett (R)	2006	106
North Burnett (R)	2011	252
North Burnett (R)	2016	288
Northern Peninsula Area (R)	2006	6
Northern Peninsula Area (R)	2011	20
Northern Peninsula Area (R)	2016	11
Palm Island (S)	2006	0
Palm Island (S)	2011	3
Palm Island (S)	2016	3
Paroo (S)	2006	13
Paroo (S)	2011	12
Paroo (S)	2016	10
Pormpuraaw (S)	2006	0
Pormpuraaw (S)	2011	0
Pormpuraaw (S)	2016	3
Quilpie (S)	2006	22
Quilpie (S)	2011	15
Quilpie (S)	2016	0
Redland (C)	2006	835
Redland (C)	2011	794
Redland (C)	2016	902
Richmond (S)	2006	13
Richmond (S)	2011	24
Richmond (S)	2016	25
Rockhampton (R)	2006	598
Rockhampton (R)	2011	372
Rockhampton (R)	2016	469
Scenic Rim (R)	2006	358
Scenic Rim (R)	2011	249
Scenic Rim (R)	2016	294
Somerset (R)	2006	73
Somerset (R)	2011	93
Somerset (R)	2016	86
South Burnett (R)	2006	109
South Burnett (R)	2011	88
South Burnett (R)	2016	79
Southern Downs (R)	2006	138
Southern Downs (R)	2011	186
Southern Downs (R)	2016	222
Sunshine Coast (R)	2006	4626
Sunshine Coast (R)	2011	4405
Sunshine Coast (R)	2016	5170
Tablelands (R)	2006	355
Tablelands (R)	2011	324
Tablelands (R)	2016	588
Toowoomba (R)	2006	867
Toowoomba (R)	2011	715
Toowoomba (R)	2016	829
Torres (S)	2006	17
Torres (S)	2011	49
Torres (S)	2016	34
Torres Strait Island (R)	2006	46
Torres Strait Island (R)	2011	54
Torres Strait Island (R)	2016	10
Townsville (C)	2006	1856
Townsville (C)	2011	1617
Townsville (C)	2016	1899
Weipa (T)	2006	23
Weipa (T)	2011	15
Weipa (T)	2016	13
Western Downs (R)	2006	132
Western Downs (R)	2011	170
Western Downs (R)	2016	151
Whitsunday (R)	2006	2775
Whitsunday (R)	2011	1749
Whitsunday (R)	2016	3244
Winton (S)	2006	19
Winton (S)	2011	17
Winton (S)	2016	21
Woorabinda (S)	2006	0
Woorabinda (S)	2011	0
Woorabinda (S)	2016	0
Wujal Wujal (S)	2006	0
Wujal Wujal (S)	2011	0
Wujal Wujal (S)	2016	0
Yarrabah (S)	2006	0
Yarrabah (S)	2011	0
Yarrabah (S)	2016	3
No usual address (Qld)	2006	0
No usual address (Qld)	2011	0
No usual address (Qld)	2016	0
Migratory - Offshore - Shipping (Qld)	2006	320
Migratory - Offshore - Shipping (Qld)	2011	797
Migratory - Offshore - Shipping (Qld)	2016	388
Adelaide (C)	2006	1713
Adelaide (C)	2011	1954
Adelaide (C)	2016	2389
Adelaide Hills (DC)	2006	204
Adelaide Hills (DC)	2011	155
Adelaide Hills (DC)	2016	185
Alexandrina (DC)	2006	83
Alexandrina (DC)	2011	61
Alexandrina (DC)	2016	77
Anangu Pitjantjatjara (AC)	2006	7
Anangu Pitjantjatjara (AC)	2011	0
Anangu Pitjantjatjara (AC)	2016	6
Barossa (DC)	2006	79
Barossa (DC)	2011	102
Barossa (DC)	2016	120
Barunga West (DC)	2006	0
Barunga West (DC)	2011	11
Barunga West (DC)	2016	7
Berri and Barmera (DC)	2006	64
Berri and Barmera (DC)	2011	38
Berri and Barmera (DC)	2016	109
Burnside (C)	2006	427
Burnside (C)	2011	464
Burnside (C)	2016	606
Campbelltown (C) (SA)	2006	298
Campbelltown (C) (SA)	2011	348
Campbelltown (C) (SA)	2016	531
Ceduna (DC)	2006	18
Ceduna (DC)	2011	9
Ceduna (DC)	2016	16
Charles Sturt (C)	2006	387
Charles Sturt (C)	2011	493
Charles Sturt (C)	2016	745
Clare and Gilbert Valleys (DC)	2006	27
Clare and Gilbert Valleys (DC)	2011	35
Clare and Gilbert Valleys (DC)	2016	29
Cleve (DC)	2006	0
Cleve (DC)	2011	0
Cleve (DC)	2016	4
Coober Pedy (DC)	2006	92
Coober Pedy (DC)	2011	20
Coober Pedy (DC)	2016	55
Copper Coast (DC)	2006	18
Copper Coast (DC)	2011	13
Copper Coast (DC)	2016	28
Elliston (DC)	2006	0
Elliston (DC)	2011	3
Elliston (DC)	2016	0
Flinders Ranges (DC)	2006	8
