LGA_NAME16	Year	Sex	unemployment
Burwood (A)	2006	F	6.6
Burwood (A)	2006	M	6.3
Burwood (A)	2011	F	7.1
Burwood (A)	2011	M	6.4
Burwood (A)	2016	F	7.7
Burwood (A)	2016	M	7.5
Byron (A)	2006	F	9.1
Byron (A)	2006	M	8.5
Byron (A)	2011	F	7.8
Byron (A)	2011	M	9.1
Byron (A)	2016	F	6.2
Byron (A)	2016	M	6.9
Cabonne (A)	2006	F	4.1
Cabonne (A)	2006	M	3.4
Cabonne (A)	2011	F	4.3
Cabonne (A)	2011	M	3.4
Cabonne (A)	2016	F	4.3
Cabonne (A)	2016	M	4.3
Camden (A)	2006	F	4.4
Camden (A)	2006	M	3.4
Camden (A)	2011	F	4.4
Camden (A)	2011	M	3.7
Camden (A)	2016	F	4.5
Camden (A)	2016	M	3.8
Campbelltown (C) (NSW)	2006	F	8.2
Campbelltown (C) (NSW)	2006	M	6.8
Campbelltown (C) (NSW)	2011	F	7.8
Campbelltown (C) (NSW)	2011	M	7
Campbelltown (C) (NSW)	2016	F	8.8
Campbelltown (C) (NSW)	2016	M	7
Canada Bay (A)	2006	F	3
Canada Bay (A)	2006	M	3.5
Canada Bay (A)	2011	F	4.1
Canada Bay (A)	2011	M	4.5
Canada Bay (A)	2016	F	5
Canada Bay (A)	2016	M	5.1
Canterbury-Bankstown (A)	2006	F	7.5
Canterbury-Bankstown (A)	2006	M	7.7
Canterbury-Bankstown (A)	2011	F	7.9
Canterbury-Bankstown (A)	2011	M	7.8
Canterbury-Bankstown (A)	2016	F	8.5
Canterbury-Bankstown (A)	2016	M	8
Carrathool (A)	2006	F	4.3
Carrathool (A)	2006	M	2.5
Carrathool (A)	2011	F	3.6
Carrathool (A)	2011	M	4
Carrathool (A)	2016	F	4.2
Carrathool (A)	2016	M	2.4
Central Coast (C) (NSW)	2006	F	7
Central Coast (C) (NSW)	2006	M	7.2
Central Coast (C) (NSW)	2011	F	6.7
Central Coast (C) (NSW)	2011	M	7
Central Coast (C) (NSW)	2016	F	6.7
Central Coast (C) (NSW)	2016	M	6.8
Central Darling (A)	2006	F	10
Central Darling (A)	2006	M	10.1
Central Darling (A)	2011	F	8.6
Central Darling (A)	2011	M	9.9
Central Darling (A)	2016	F	12.4
Central Darling (A)	2016	M	10
Cessnock (C)	2006	F	8.6
Cessnock (C)	2006	M	8.6
Cessnock (C)	2011	F	6.9
Cessnock (C)	2011	M	6.2
Cessnock (C)	2016	F	8.2
Cessnock (C)	2016	M	9.1
Clarence Valley (A)	2006	F	9.9
Clarence Valley (A)	2006	M	10
Clarence Valley (A)	2011	F	8.3
Clarence Valley (A)	2011	M	9.4
Clarence Valley (A)	2016	F	8.2
Clarence Valley (A)	2016	M	9.7
Cobar (A)	2006	F	6.5
Cobar (A)	2006	M	4.4
Cobar (A)	2011	F	4.6
Cobar (A)	2011	M	4.2
Cobar (A)	2016	F	5.1
Cobar (A)	2016	M	6.2
Coffs Harbour (C)	2006	F	8.2
Coffs Harbour (C)	2006	M	9.5
Coffs Harbour (C)	2011	F	7.3
Coffs Harbour (C)	2011	M	9.2
Coffs Harbour (C)	2016	F	6.6
Coffs Harbour (C)	2016	M	8.1
Coolamon (A)	2006	F	6.7
Coolamon (A)	2006	M	5.4
Coolamon (A)	2011	F	4
Coolamon (A)	2011	M	3.1
Coolamon (A)	2016	F	5
Coolamon (A)	2016	M	5.4
Coonamble (A)	2006	F	6.3
Coonamble (A)	2006	M	7.5
Coonamble (A)	2011	F	7
Coonamble (A)	2011	M	8.8
Coonamble (A)	2016	F	8.8
Coonamble (A)	2016	M	9
Cowra (A)	2006	F	6.4
Cowra (A)	2006	M	6.8
Cowra (A)	2011	F	6.7
Cowra (A)	2011	M	6.7
Cowra (A)	2016	F	6.4
Cowra (A)	2016	M	6.6
Cumberland (A)	2006	F	8.2
Cumberland (A)	2006	M	8.5
Cumberland (A)	2011	F	8.9
Cumberland (A)	2011	M	8
Cumberland (A)	2016	F	9.6
Cumberland (A)	2016	M	9.4
Dungog (A)	2006	F	5
Dungog (A)	2006	M	4.9
Dungog (A)	2011	F	3.6
Dungog (A)	2011	M	5.1
Dungog (A)	2016	F	5.4
Dungog (A)	2016	M	5.5
Edward River (A)	2006	F	4.8
Edward River (A)	2006	M	3.9
Edward River (A)	2011	F	4.1
Edward River (A)	2011	M	3.7
Edward River (A)	2016	F	4.8
Edward River (A)	2016	M	4.9
Eurobodalla (A)	2006	F	7.6
Eurobodalla (A)	2006	M	10.5
Eurobodalla (A)	2011	F	6.3
Eurobodalla (A)	2011	M	8.5
Eurobodalla (A)	2016	F	6.1
Eurobodalla (A)	2016	M	8.1
Fairfield (C)	2006	F	11.2
Fairfield (C)	2006	M	10
Fairfield (C)	2011	F	10
Fairfield (C)	2011	M	9.4
Fairfield (C)	2016	F	11
Fairfield (C)	2016	M	10.1
Federation (A)	2006	F	5
Federation (A)	2006	M	4.4
Federation (A)	2011	F	5.1
Federation (A)	2011	M	4.1
Federation (A)	2016	F	5.3
Federation (A)	2016	M	4.8
Forbes (A)	2006	F	5.7
Forbes (A)	2006	M	6.1
Forbes (A)	2011	F	4.8
Forbes (A)	2011	M	6
Forbes (A)	2016	F	5.7
Forbes (A)	2016	M	5.1
Georges River (A)	2006	F	5.4
Georges River (A)	2006	M	5.2
Georges River (A)	2011	F	6.2
Georges River (A)	2011	M	5.6
Georges River (A)	2016	F	6.8
Georges River (A)	2016	M	6.2
Gilgandra (A)	2006	F	5.4
Gilgandra (A)	2006	M	5.7
Gilgandra (A)	2011	F	6.7
Gilgandra (A)	2011	M	5.9
Gilgandra (A)	2016	F	5.2
Gilgandra (A)	2016	M	6.9
Glen Innes Severn (A)	2006	F	6.4
Glen Innes Severn (A)	2006	M	8.9
Glen Innes Severn (A)	2011	F	6.6
Glen Innes Severn (A)	2011	M	7.1
Glen Innes Severn (A)	2016	F	6.9
Glen Innes Severn (A)	2016	M	9.2
Goulburn Mulwaree (A)	2006	F	6.1
Goulburn Mulwaree (A)	2006	M	6.3
Goulburn Mulwaree (A)	2011	F	5.6
Goulburn Mulwaree (A)	2011	M	5.8
Goulburn Mulwaree (A)	2016	F	6.1
Goulburn Mulwaree (A)	2016	M	6.4
Greater Hume Shire (A)	2006	F	3.8
Greater Hume Shire (A)	2006	M	3.7
Greater Hume Shire (A)	2011	F	4.2
Greater Hume Shire (A)	2011	M	3.9
Greater Hume Shire (A)	2016	F	4.8
Greater Hume Shire (A)	2016	M	4.4
Griffith (C)	2006	F	4
Griffith (C)	2006	M	4
Griffith (C)	2011	F	5.1
Griffith (C)	2011	M	4.7
Griffith (C)	2016	F	4.4
Griffith (C)	2016	M	5.1
Gundagai (A)	2006	F	7
Gundagai (A)	2006	M	6.2
Gundagai (A)	2011	F	5
Gundagai (A)	2011	M	5
Gundagai (A)	2016	F	5.4
Gundagai (A)	2016	M	5.5
Gunnedah (A)	2006	F	8.9
Gunnedah (A)	2006	M	7.9
Gunnedah (A)	2011	F	6.9
Gunnedah (A)	2011	M	5.3
Gunnedah (A)	2016	F	5.9
Gunnedah (A)	2016	M	5.2
Gwydir (A)	2006	F	5.7
Gwydir (A)	2006	M	5.2
Gwydir (A)	2011	F	6.1
Gwydir (A)	2011	M	4.4
Gwydir (A)	2016	F	6.4
Gwydir (A)	2016	M	4.1
Hawkesbury (C)	2006	F	4.5
Hawkesbury (C)	2006	M	3.7
Hawkesbury (C)	2011	F	5.2
Hawkesbury (C)	2011	M	4.1
Hawkesbury (C)	2016	F	4.8
Hawkesbury (C)	2016	M	3.9
Hay (A)	2006	F	4.7
Hay (A)	2006	M	4
Hay (A)	2011	F	2.6
Hay (A)	2011	M	4.3
Hay (A)	2016	F	3.6
Hay (A)	2016	M	5
Hilltops (A)	2006	F	6.3
Hilltops (A)	2006	M	5.3
Hilltops (A)	2011	F	5.6
Hilltops (A)	2011	M	6
Hilltops (A)	2016	F	5.4
Hilltops (A)	2016	M	5.7
Hornsby (A)	2006	F	3.5
Hornsby (A)	2006	M	3.6
Hornsby (A)	2011	F	4.5
Hornsby (A)	2011	M	4.7
Hornsby (A)	2016	F	5
Hornsby (A)	2016	M	4.7
Hunters Hill (A)	2006	F	2.3
Hunters Hill (A)	2006	M	3.1
Hunters Hill (A)	2011	F	3.5
Hunters Hill (A)	2011	M	3.6
Hunters Hill (A)	2016	F	3.5
Hunters Hill (A)	2016	M	3.6
Inner West (A)	2006	F	4
Inner West (A)	2006	M	5.1
Inner West (A)	2011	F	4.6
Inner West (A)	2011	M	5.5
Inner West (A)	2016	F	4.6
Inner West (A)	2016	M	5
Inverell (A)	2006	F	8.4
Inverell (A)	2006	M	8.2
Inverell (A)	2011	F	6.9
Inverell (A)	2011	M	7.6
Inverell (A)	2016	F	6.9
Inverell (A)	2016	M	7.8
Junee (A)	2006	F	6.8
Junee (A)	2006	M	6.3
Junee (A)	2011	F	5.4
Junee (A)	2011	M	4.9
Junee (A)	2016	F	4.9
Junee (A)	2016	M	4.4
Kempsey (A)	2006	F	10.3
Kempsey (A)	2006	M	13
Kempsey (A)	2011	F	6.8
Kempsey (A)	2011	M	10.7
Kempsey (A)	2016	F	7.3
Kempsey (A)	2016	M	9.7
Kiama (A)	2006	F	4.9
Kiama (A)	2006	M	4.5
Kiama (A)	2011	F	4.3
Kiama (A)	2011	M	4.3
Kiama (A)	2016	F	4.1
Kiama (A)	2016	M	4.7
Ku-ring-gai (A)	2006	F	3.1
Ku-ring-gai (A)	2006	M	3.3
Ku-ring-gai (A)	2011	F	4.3
Ku-ring-gai (A)	2011	M	4.5
Ku-ring-gai (A)	2016	F	4.6
Ku-ring-gai (A)	2016	M	4.8
Kyogle (A)	2006	F	9.3
Kyogle (A)	2006	M	10.8
Kyogle (A)	2011	F	8.3
Kyogle (A)	2011	M	10
Kyogle (A)	2016	F	7.8
Kyogle (A)	2016	M	9.4
Lachlan (A)	2006	F	6.1
Lachlan (A)	2006	M	6.8
Lachlan (A)	2011	F	4.1
Lachlan (A)	2011	M	5.3
Lachlan (A)	2016	F	6.6
Lachlan (A)	2016	M	6.8
Lake Macquarie (C)	2006	F	6.3
Lake Macquarie (C)	2006	M	7
Lake Macquarie (C)	2011	F	5.1
Lake Macquarie (C)	2011	M	5.5
Lake Macquarie (C)	2016	F	6.1
Lake Macquarie (C)	2016	M	7.6
Lane Cove (A)	2006	F	2.9
Lane Cove (A)	2006	M	3
Lane Cove (A)	2011	F	3.6
Lane Cove (A)	2011	M	3.8
Lane Cove (A)	2016	F	4.5
Lane Cove (A)	2016	M	4.3
Leeton (A)	2006	F	5.4
Leeton (A)	2006	M	5.4
Leeton (A)	2011	F	4.6
Leeton (A)	2011	M	3.9
Leeton (A)	2016	F	5.8
Leeton (A)	2016	M	4.9
Lismore (C)	2006	F	9
Lismore (C)	2006	M	9.5
Lismore (C)	2011	F	7.4
Lismore (C)	2011	M	9
Lismore (C)	2016	F	6.7
Lismore (C)	2016	M	8.9
Lithgow (C)	2006	F	7.8
Lithgow (C)	2006	M	9
Lithgow (C)	2011	F	6.6
Lithgow (C)	2011	M	7.6
Lithgow (C)	2016	F	6.7
Lithgow (C)	2016	M	8.7
Liverpool (C)	2006	F	7.6
Liverpool (C)	2006	M	6.8
Liverpool (C)	2011	F	7.4
Liverpool (C)	2011	M	6.7
Liverpool (C)	2016	F	7.8
Liverpool (C)	2016	M	7.2
Liverpool Plains (A)	2006	F	5.5
Liverpool Plains (A)	2006	M	6.3
Liverpool Plains (A)	2011	F	5.7
Liverpool Plains (A)	2011	M	6.3
Liverpool Plains (A)	2016	F	7.7
Liverpool Plains (A)	2016	M	7
Lockhart (A)	2006	F	5.2
Lockhart (A)	2006	M	4.7
Lockhart (A)	2011	F	4.3
Lockhart (A)	2011	M	4.5
Lockhart (A)	2016	F	3.2
Lockhart (A)	2016	M	4.8
Maitland (C)	2006	F	7.1
Maitland (C)	2006	M	6.1
Maitland (C)	2011	F	5.5
Maitland (C)	2011	M	4.6
Maitland (C)	2016	F	7.5
Maitland (C)	2016	M	7.2
Mid-Coast (A)	2006	F	9.4
Mid-Coast (A)	2006	M	10.2
Mid-Coast (A)	2011	F	7.8
Mid-Coast (A)	2011	M	9.4
Mid-Coast (A)	2016	F	8
Mid-Coast (A)	2016	M	10
Mid-Western Regional (A)	2006	F	7.3
Mid-Western Regional (A)	2006	M	7.3
Mid-Western Regional (A)	2011	F	5.7
Mid-Western Regional (A)	2011	M	5.7
Mid-Western Regional (A)	2016	F	6.3
Mid-Western Regional (A)	2016	M	6.6
Moree Plains (A)	2006	F	5.7
Moree Plains (A)	2006	M	6.8
Moree Plains (A)	2011	F	5.1
Moree Plains (A)	2011	M	6.7
Moree Plains (A)	2016	F	6.1
Moree Plains (A)	2016	M	6.8
Mosman (A)	2006	F	2.5
Mosman (A)	2006	M	2.8
Mosman (A)	2011	F	4.2
Mosman (A)	2011	M	3.2
Mosman (A)	2016	F	4.2
Mosman (A)	2016	M	3.7
Murray River (A)	2006	F	4.3
Murray River (A)	2006	M	4.2
Murray River (A)	2011	F	4.2
Murray River (A)	2011	M	4.3
Murray River (A)	2016	F	3.4
Murray River (A)	2016	M	4.1
Murrumbidgee (A)	2006	F	4.4
Murrumbidgee (A)	2006	M	2.6
Murrumbidgee (A)	2011	F	3.1
Murrumbidgee (A)	2011	M	3.4
Murrumbidgee (A)	2016	F	3.9
Murrumbidgee (A)	2016	M	5.1
Muswellbrook (A)	2006	F	6.9
Muswellbrook (A)	2006	M	4.4
Muswellbrook (A)	2011	F	5.8
Muswellbrook (A)	2011	M	4
Muswellbrook (A)	2016	F	8.3
Muswellbrook (A)	2016	M	8.1
Nambucca (A)	2006	F	12.5
Nambucca (A)	2006	M	17.5
Nambucca (A)	2011	F	9.5
Nambucca (A)	2011	M	11.8
Nambucca (A)	2016	F	8.3
Nambucca (A)	2016	M	10.5
Narrabri (A)	2006	F	7.5
Narrabri (A)	2006	M	6.7
Narrabri (A)	2011	F	6
Narrabri (A)	2011	M	5.1
Narrabri (A)	2016	F	5.7
Narrabri (A)	2016	M	6.2
Narrandera (A)	2006	F	5.2
Narrandera (A)	2006	M	5.2
Narrandera (A)	2011	F	6.1
Narrandera (A)	2011	M	4.3
Narrandera (A)	2016	F	4.4
Narrandera (A)	2016	M	7.4
Narromine (A)	2006	F	6.1
Narromine (A)	2006	M	5.3
Narromine (A)	2011	F	6.5
Narromine (A)	2011	M	5.4
Narromine (A)	2016	F	6.6
Narromine (A)	2016	M	8
Newcastle (C)	2006	F	6.6
Newcastle (C)	2006	M	7.8
Newcastle (C)	2011	F	5.4
Newcastle (C)	2011	M	6.1
Newcastle (C)	2016	F	6.5
Newcastle (C)	2016	M	8.3
North Sydney (A)	2006	F	2.8
North Sydney (A)	2006	M	3
North Sydney (A)	2011	F	3.6
North Sydney (A)	2011	M	3.8
North Sydney (A)	2016	F	3.8
North Sydney (A)	2016	M	3.6
Northern Beaches (A)	2006	F	2.7
Northern Beaches (A)	2006	M	2.7
Northern Beaches (A)	2011	F	3.5
Northern Beaches (A)	2011	M	3.5
Northern Beaches (A)	2016	F	3.5
Northern Beaches (A)	2016	M	3.4
Oberon (A)	2006	F	6
Oberon (A)	2006	M	3.5
Oberon (A)	2011	F	5.3
Oberon (A)	2011	M	4.4
Oberon (A)	2016	F	5.8
Oberon (A)	2016	M	5.7
Orange (C)	2006	F	5.5
Orange (C)	2006	M	6.1
Orange (C)	2011	F	4.4
Orange (C)	2011	M	4.4
Orange (C)	2016	F	5.9
Orange (C)	2016	M	6.7
Parkes (A)	2006	F	7.7
Parkes (A)	2006	M	8.7
Parkes (A)	2011	F	4.8
Parkes (A)	2011	M	4.8
Parkes (A)	2016	F	7.1
Parkes (A)	2016	M	7.6
Parramatta (C)	2006	F	5.4
Parramatta (C)	2006	M	5.3
Parramatta (C)	2011	F	6.5
Parramatta (C)	2011	M	5.5
Parramatta (C)	2016	F	7.7
Parramatta (C)	2016	M	6.4
Penrith (C)	2006	F	5.5
Penrith (C)	2006	M	5.1
Penrith (C)	2011	F	5.7
Penrith (C)	2011	M	5.3
Penrith (C)	2016	F	6.1
Penrith (C)	2016	M	5.4
Port Macquarie-Hastings (A)	2006	F	7.8
Port Macquarie-Hastings (A)	2006	M	9.1
Port Macquarie-Hastings (A)	2011	F	6.1
Port Macquarie-Hastings (A)	2011	M	7.6
Port Macquarie-Hastings (A)	2016	F	6.3
Port Macquarie-Hastings (A)	2016	M	7.2
Port Stephens (A)	2006	F	7.4
Port Stephens (A)	2006	M	6.8
Port Stephens (A)	2011	F	6.5
Port Stephens (A)	2011	M	6
Port Stephens (A)	2016	F	7
Port Stephens (A)	2016	M	7.4
Queanbeyan-Palerang Regional (A)	2006	F	2.7
Queanbeyan-Palerang Regional (A)	2006	M	3
Queanbeyan-Palerang Regional (A)	2011	F	2.6
Queanbeyan-Palerang Regional (A)	2011	M	3
Queanbeyan-Palerang Regional (A)	2016	F	3.8
Queanbeyan-Palerang Regional (A)	2016	M	4.2
Randwick (C)	2006	F	4.2
Randwick (C)	2006	M	4.8
Randwick (C)	2011	F	5.1
Randwick (C)	2011	M	5.8
Randwick (C)	2016	F	5.6
Randwick (C)	2016	M	5.6
Richmond Valley (A)	2006	F	8.7
Richmond Valley (A)	2006	M	8.8
Richmond Valley (A)	2011	F	7.6
Richmond Valley (A)	2011	M	8.4
Richmond Valley (A)	2016	F	6.9
Richmond Valley (A)	2016	M	8.4
Rockdale (C)	2006	F	5.5
Rockdale (C)	2006	M	5.3
Rockdale (C)	2011	F	6.1
Rockdale (C)	2011	M	5.8
Rockdale (C)	2016	F	6.2
Rockdale (C)	2016	M	6.3
Ryde (C)	2006	F	4.5
Ryde (C)	2006	M	4.8
Ryde (C)	2011	F	6
Ryde (C)	2011	M	5.5
Ryde (C)	2016	F	6.3
Ryde (C)	2016	M	6.4
Shellharbour (C)	2006	F	7.6
Shellharbour (C)	2006	M	7.1
Shellharbour (C)	2011	F	7.1
Shellharbour (C)	2011	M	6.5
Shellharbour (C)	2016	F	7
Shellharbour (C)	2016	M	6.8
Shoalhaven (C)	2006	F	8.7
Shoalhaven (C)	2006	M	9.7
Shoalhaven (C)	2011	F	6.9
Shoalhaven (C)	2011	M	8.3
Shoalhaven (C)	2016	F	6.1
Shoalhaven (C)	2016	M	7.2
Singleton (A)	2006	F	5.8
Singleton (A)	2006	M	3.2
Singleton (A)	2011	F	4.5
Singleton (A)	2011	M	2.5
Singleton (A)	2016	F	7.2
Singleton (A)	2016	M	5.3
Snowy Monaro Regional (A)	2006	F	3.8
Snowy Monaro Regional (A)	2006	M	3.9
Snowy Monaro Regional (A)	2011	F	3.2
Snowy Monaro Regional (A)	2011	M	3.9
Snowy Monaro Regional (A)	2016	F	3.1
Snowy Monaro Regional (A)	2016	M	3.5
Snowy Valleys (A)	2006	F	6.7
Snowy Valleys (A)	2006	M	5.7
Snowy Valleys (A)	2011	F	6.4
Snowy Valleys (A)	2011	M	5
Snowy Valleys (A)	2016	F	5.4
Snowy Valleys (A)	2016	M	5.5
Strathfield (A)	2006	F	6
Strathfield (A)	2006	M	5.8
Strathfield (A)	2011	F	7.3
Strathfield (A)	2011	M	5.7
Strathfield (A)	2016	F	7.6
Strathfield (A)	2016	M	6.5
Sutherland Shire (A)	2006	F	2.8
Sutherland Shire (A)	2006	M	3
Sutherland Shire (A)	2011	F	3.5
Sutherland Shire (A)	2011	M	3.6
Sutherland Shire (A)	2016	F	3.6
Sutherland Shire (A)	2016	M	3.5
Sydney (C)	2006	F	5.2
Sydney (C)	2006	M	5.4
Sydney (C)	2011	F	5.9
Sydney (C)	2011	M	5.7
Sydney (C)	2016	F	6.3
Sydney (C)	2016	M	5.8
Tamworth Regional (A)	2006	F	6.6
Tamworth Regional (A)	2006	M	7
Tamworth Regional (A)	2011	F	5.5
Tamworth Regional (A)	2011	M	6
Tamworth Regional (A)	2016	F	6
Tamworth Regional (A)	2016	M	5.7
Temora (A)	2006	F	6.9
Temora (A)	2006	M	6.4
Temora (A)	2011	F	3.8
Temora (A)	2011	M	5.2
Temora (A)	2016	F	4.6
Temora (A)	2016	M	5.2
Tenterfield (A)	2006	F	6.7
Tenterfield (A)	2006	M	8.4
Tenterfield (A)	2011	F	6
Tenterfield (A)	2011	M	7.3
Tenterfield (A)	2016	F	7.9
Tenterfield (A)	2016	M	7.6
The Hills Shire (A)	2006	F	3.2
The Hills Shire (A)	2006	M	3.1
The Hills Shire (A)	2011	F	4
The Hills Shire (A)	2011	M	4.1
The Hills Shire (A)	2016	F	4.7
The Hills Shire (A)	2016	M	4.5
Tweed (A)	2006	F	7.1
Tweed (A)	2006	M	7.1
Tweed (A)	2011	F	7.5
Tweed (A)	2011	M	9
Tweed (A)	2016	F	6.7
Tweed (A)	2016	M	7.4
Upper Hunter Shire (A)	2006	F	5
Upper Hunter Shire (A)	2006	M	4.2
Upper Hunter Shire (A)	2011	F	3.9
Upper Hunter Shire (A)	2011	M	3.4
Upper Hunter Shire (A)	2016	F	5.2
Upper Hunter Shire (A)	2016	M	4.4
Upper Lachlan Shire (A)	2006	F	4.1
Upper Lachlan Shire (A)	2006	M	3.7
Upper Lachlan Shire (A)	2011	F	3.6
Upper Lachlan Shire (A)	2011	M	2.7
Upper Lachlan Shire (A)	2016	F	3.7
Upper Lachlan Shire (A)	2016	M	3.9
Uralla (A)	2006	F	6.5
Uralla (A)	2006	M	6.8
Uralla (A)	2011	F	5.5
Uralla (A)	2011	M	4.9
Uralla (A)	2016	F	5.2
Uralla (A)	2016	M	5.4
Wagga Wagga (C)	2006	F	6
Wagga Wagga (C)	2006	M	5.3
Wagga Wagga (C)	2011	F	5.3
Wagga Wagga (C)	2011	M	4.7
Wagga Wagga (C)	2016	F	5.5
Wagga Wagga (C)	2016	M	5.4
Walcha (A)	2006	F	4.3
Walcha (A)	2006	M	3
Walcha (A)	2011	F	4.1
Walcha (A)	2011	M	4.6
Walcha (A)	2016	F	3.9
Walcha (A)	2016	M	3.3
Walgett (A)	2006	F	7.7
Walgett (A)	2006	M	12.4
Walgett (A)	2011	F	5.1
Walgett (A)	2011	M	9.9
Walgett (A)	2016	F	9.2
Walgett (A)	2016	M	11.9
Warren (A)	2006	F	5.1
Warren (A)	2006	M	5.9
Warren (A)	2011	F	6.6
Warren (A)	2011	M	4.9
Warren (A)	2016	F	7
Warren (A)	2016	M	7.3
Warrumbungle Shire (A)	2006	F	7.2
Warrumbungle Shire (A)	2006	M	9.1
Warrumbungle Shire (A)	2011	F	6.1
Warrumbungle Shire (A)	2011	M	8
Warrumbungle Shire (A)	2016	F	7.2
Warrumbungle Shire (A)	2016	M	8.8
Waverley (A)	2006	F	3.3
Waverley (A)	2006	M	3.6
Waverley (A)	2011	F	4.2
Waverley (A)	2011	M	4
Waverley (A)	2016	F	3.9
Waverley (A)	2016	M	3.8
Weddin (A)	2006	F	5.1
Weddin (A)	2006	M	5.7
Weddin (A)	2011	F	4.7
Weddin (A)	2011	M	5.1
Weddin (A)	2016	F	5.3
Weddin (A)	2016	M	5.2
Wentworth (A)	2006	F	5.9
Wentworth (A)	2006	M	4.6
Wentworth (A)	2011	F	6.5
Wentworth (A)	2011	M	5.9
Wentworth (A)	2016	F	5.1
Wentworth (A)	2016	M	6.7
Western Plains Regional (A)	2006	F	5.4
Western Plains Regional (A)	2006	M	6.2
Western Plains Regional (A)	2011	F	5
Western Plains Regional (A)	2011	M	5.8
Western Plains Regional (A)	2016	F	5.6
Western Plains Regional (A)	2016	M	6.1
Willoughby (C)	2006	F	3.7
Willoughby (C)	2006	M	3.4
Willoughby (C)	2011	F	4.9
Willoughby (C)	2011	M	4.4
Willoughby (C)	2016	F	5.3
Willoughby (C)	2016	M	4.9
Wingecarribee (A)	2006	F	4.2
Wingecarribee (A)	2006	M	4.3
Wingecarribee (A)	2011	F	4.4
Wingecarribee (A)	2011	M	4
Wingecarribee (A)	2016	F	4
Wingecarribee (A)	2016	M	3.5
Wollondilly (A)	2006	F	4.8
Wollondilly (A)	2006	M	3.9
Wollondilly (A)	2011	F	4.6
