LGA_NAME16	Year	NonSchoolQualification	Sex	persons
Bathurst Regional (A)	2011	Bachelor	M	1209
Bathurst Regional (A)	2011	Graduate Diploma and Graduate Certificate	F	311
Bathurst Regional (A)	2011	Graduate Diploma and Graduate Certificate	M	152
Bathurst Regional (A)	2011	Postgraduate	F	321
Bathurst Regional (A)	2011	Postgraduate	M	364
Bathurst Regional (A)	2016		F	12685
Bathurst Regional (A)	2016		M	12726
Bathurst Regional (A)	2016	Certificate nfd	F	558
Bathurst Regional (A)	2016	Certificate nfd	M	266
Bathurst Regional (A)	2016	Certificate I and II Level	F	358
Bathurst Regional (A)	2016	Certificate I and II Level	M	169
Bathurst Regional (A)	2016	Certificate III and IV Level	F	2048
Bathurst Regional (A)	2016	Certificate III and IV Level	M	4459
Bathurst Regional (A)	2016	Advanced Diploma and Diploma	F	1651
Bathurst Regional (A)	2016	Advanced Diploma and Diploma	M	1023
Bathurst Regional (A)	2016	Bachelor	F	2382
Bathurst Regional (A)	2016	Bachelor	M	1372
Bathurst Regional (A)	2016	Graduate Diploma and Graduate Certificate	F	424
Bathurst Regional (A)	2016	Graduate Diploma and Graduate Certificate	M	226
Bathurst Regional (A)	2016	Postgraduate	F	499
Bathurst Regional (A)	2016	Postgraduate	M	454
Bega Valley (A)	2006		F	11540
Bega Valley (A)	2006		M	9899
Bega Valley (A)	2006	Certificate nfd	F	313
Bega Valley (A)	2006	Certificate nfd	M	167
Bega Valley (A)	2006	Certificate I and II Level	F	259
Bega Valley (A)	2006	Certificate I and II Level	M	111
Bega Valley (A)	2006	Certificate III and IV Level	F	1123
Bega Valley (A)	2006	Certificate III and IV Level	M	3345
Bega Valley (A)	2006	Advanced Diploma and Diploma	F	998
Bega Valley (A)	2006	Advanced Diploma and Diploma	M	672
Bega Valley (A)	2006	Bachelor	F	1161
Bega Valley (A)	2006	Bachelor	M	819
Bega Valley (A)	2006	Graduate Diploma and Graduate Certificate	F	230
Bega Valley (A)	2006	Graduate Diploma and Graduate Certificate	M	132
Bega Valley (A)	2006	Postgraduate	F	141
Bega Valley (A)	2006	Postgraduate	M	152
Bega Valley (A)	2011		F	11019
Bega Valley (A)	2011		M	9610
Bega Valley (A)	2011	Certificate nfd	F	346
Bega Valley (A)	2011	Certificate nfd	M	157
Bega Valley (A)	2011	Certificate I and II Level	F	291
Bega Valley (A)	2011	Certificate I and II Level	M	119
Bega Valley (A)	2011	Certificate III and IV Level	F	1395
Bega Valley (A)	2011	Certificate III and IV Level	M	3644
Bega Valley (A)	2011	Advanced Diploma and Diploma	F	1202
Bega Valley (A)	2011	Advanced Diploma and Diploma	M	743
Bega Valley (A)	2011	Bachelor	F	1464
Bega Valley (A)	2011	Bachelor	M	1012
Bega Valley (A)	2011	Graduate Diploma and Graduate Certificate	F	344
Bega Valley (A)	2011	Graduate Diploma and Graduate Certificate	M	176
Bega Valley (A)	2011	Postgraduate	F	205
Bega Valley (A)	2011	Postgraduate	M	223
Bega Valley (A)	2016		F	10545
Bega Valley (A)	2016		M	9513
Bega Valley (A)	2016	Certificate nfd	F	482
Bega Valley (A)	2016	Certificate nfd	M	250
Bega Valley (A)	2016	Certificate I and II Level	F	309
Bega Valley (A)	2016	Certificate I and II Level	M	127
Bega Valley (A)	2016	Certificate III and IV Level	F	1649
Bega Valley (A)	2016	Certificate III and IV Level	M	3846
Bega Valley (A)	2016	Advanced Diploma and Diploma	F	1444
Bega Valley (A)	2016	Advanced Diploma and Diploma	M	893
Bega Valley (A)	2016	Bachelor	F	1821
Bega Valley (A)	2016	Bachelor	M	1124
Bega Valley (A)	2016	Graduate Diploma and Graduate Certificate	F	406
Bega Valley (A)	2016	Graduate Diploma and Graduate Certificate	M	188
Bega Valley (A)	2016	Postgraduate	F	345
Bega Valley (A)	2016	Postgraduate	M	311
Bellingen (A)	2006		F	4532
Bellingen (A)	2006		M	3958
Bellingen (A)	2006	Certificate nfd	F	111
Bellingen (A)	2006	Certificate nfd	M	47
Bellingen (A)	2006	Certificate I and II Level	F	92
Bellingen (A)	2006	Certificate I and II Level	M	41
Bellingen (A)	2006	Certificate III and IV Level	F	434
Bellingen (A)	2006	Certificate III and IV Level	M	1235
Bellingen (A)	2006	Advanced Diploma and Diploma	F	474
Bellingen (A)	2006	Advanced Diploma and Diploma	M	259
Bellingen (A)	2006	Bachelor	F	538
Bellingen (A)	2006	Bachelor	M	384
Bellingen (A)	2006	Graduate Diploma and Graduate Certificate	F	110
Bellingen (A)	2006	Graduate Diploma and Graduate Certificate	M	51
Bellingen (A)	2006	Postgraduate	F	77
Bellingen (A)	2006	Postgraduate	M	77
Bellingen (A)	2011		F	4157
Bellingen (A)	2011		M	3717
Bellingen (A)	2011	Certificate nfd	F	132
Bellingen (A)	2011	Certificate nfd	M	47
Bellingen (A)	2011	Certificate I and II Level	F	91
Bellingen (A)	2011	Certificate I and II Level	M	44
Bellingen (A)	2011	Certificate III and IV Level	F	561
Bellingen (A)	2011	Certificate III and IV Level	M	1363
Bellingen (A)	2011	Advanced Diploma and Diploma	F	516
Bellingen (A)	2011	Advanced Diploma and Diploma	M	317
Bellingen (A)	2011	Bachelor	F	709
Bellingen (A)	2011	Bachelor	M	420
Bellingen (A)	2011	Graduate Diploma and Graduate Certificate	F	149
Bellingen (A)	2011	Graduate Diploma and Graduate Certificate	M	61
Bellingen (A)	2011	Postgraduate	F	131
Bellingen (A)	2011	Postgraduate	M	107
Bellingen (A)	2016		F	3838
Bellingen (A)	2016		M	3526
Bellingen (A)	2016	Certificate nfd	F	177
Bellingen (A)	2016	Certificate nfd	M	95
Bellingen (A)	2016	Certificate I and II Level	F	92
Bellingen (A)	2016	Certificate I and II Level	M	63
Bellingen (A)	2016	Certificate III and IV Level	F	600
Bellingen (A)	2016	Certificate III and IV Level	M	1368
Bellingen (A)	2016	Advanced Diploma and Diploma	F	607
Bellingen (A)	2016	Advanced Diploma and Diploma	M	363
Bellingen (A)	2016	Bachelor	F	896
Bellingen (A)	2016	Bachelor	M	505
Bellingen (A)	2016	Graduate Diploma and Graduate Certificate	F	154
Bellingen (A)	2016	Graduate Diploma and Graduate Certificate	M	74
Bellingen (A)	2016	Postgraduate	F	184
Bellingen (A)	2016	Postgraduate	M	129
Berrigan (A)	2006		F	3061
Berrigan (A)	2006		M	2891
Berrigan (A)	2006	Certificate nfd	F	66
Berrigan (A)	2006	Certificate nfd	M	22
Berrigan (A)	2006	Certificate I and II Level	F	59
Berrigan (A)	2006	Certificate I and II Level	M	16
Berrigan (A)	2006	Certificate III and IV Level	F	297
Berrigan (A)	2006	Certificate III and IV Level	M	788
Berrigan (A)	2006	Advanced Diploma and Diploma	F	211
Berrigan (A)	2006	Advanced Diploma and Diploma	M	136
Berrigan (A)	2006	Bachelor	F	247
Berrigan (A)	2006	Bachelor	M	130
Berrigan (A)	2006	Graduate Diploma and Graduate Certificate	F	34
Berrigan (A)	2006	Graduate Diploma and Graduate Certificate	M	9
Berrigan (A)	2006	Postgraduate	F	13
Berrigan (A)	2006	Postgraduate	M	14
Berrigan (A)	2011		F	2986
Berrigan (A)	2011		M	2789
Berrigan (A)	2011	Certificate nfd	F	51
Berrigan (A)	2011	Certificate nfd	M	29
Berrigan (A)	2011	Certificate I and II Level	F	62
Berrigan (A)	2011	Certificate I and II Level	M	25
Berrigan (A)	2011	Certificate III and IV Level	F	382
Berrigan (A)	2011	Certificate III and IV Level	M	814
Berrigan (A)	2011	Advanced Diploma and Diploma	F	232
Berrigan (A)	2011	Advanced Diploma and Diploma	M	165
Berrigan (A)	2011	Bachelor	F	284
Berrigan (A)	2011	Bachelor	M	149
Berrigan (A)	2011	Graduate Diploma and Graduate Certificate	F	44
Berrigan (A)	2011	Graduate Diploma and Graduate Certificate	M	16
Berrigan (A)	2011	Postgraduate	F	21
Berrigan (A)	2011	Postgraduate	M	13
Berrigan (A)	2016		F	2930
Berrigan (A)	2016		M	2881
Berrigan (A)	2016	Certificate nfd	F	92
Berrigan (A)	2016	Certificate nfd	M	47
Berrigan (A)	2016	Certificate I and II Level	F	59
Berrigan (A)	2016	Certificate I and II Level	M	24
Berrigan (A)	2016	Certificate III and IV Level	F	464
Berrigan (A)	2016	Certificate III and IV Level	M	893
Berrigan (A)	2016	Advanced Diploma and Diploma	F	275
Berrigan (A)	2016	Advanced Diploma and Diploma	M	185
Berrigan (A)	2016	Bachelor	F	333
Berrigan (A)	2016	Bachelor	M	160
Berrigan (A)	2016	Graduate Diploma and Graduate Certificate	F	48
Berrigan (A)	2016	Graduate Diploma and Graduate Certificate	M	16
Berrigan (A)	2016	Postgraduate	F	35
Berrigan (A)	2016	Postgraduate	M	18
Blacktown (C)	2006		F	103642
Blacktown (C)	2006		M	94383
Blacktown (C)	2006	Certificate nfd	F	2434
Blacktown (C)	2006	Certificate nfd	M	1209
Blacktown (C)	2006	Certificate I and II Level	F	1865
Blacktown (C)	2006	Certificate I and II Level	M	817
Blacktown (C)	2006	Certificate III and IV Level	F	7221
Blacktown (C)	2006	Certificate III and IV Level	M	20343
Blacktown (C)	2006	Advanced Diploma and Diploma	F	7230
Blacktown (C)	2006	Advanced Diploma and Diploma	M	5866
Blacktown (C)	2006	Bachelor	F	11852
Blacktown (C)	2006	Bachelor	M	9337
Blacktown (C)	2006	Graduate Diploma and Graduate Certificate	F	817
Blacktown (C)	2006	Graduate Diploma and Graduate Certificate	M	540
Blacktown (C)	2006	Postgraduate	F	1776
Blacktown (C)	2006	Postgraduate	M	2378
Blacktown (C)	2011		F	105920
Blacktown (C)	2011		M	98895
Blacktown (C)	2011	Certificate nfd	F	2393
Blacktown (C)	2011	Certificate nfd	M	1295
Blacktown (C)	2011	Certificate I and II Level	F	2147
Blacktown (C)	2011	Certificate I and II Level	M	1034
Blacktown (C)	2011	Certificate III and IV Level	F	10134
Blacktown (C)	2011	Certificate III and IV Level	M	22175
Blacktown (C)	2011	Advanced Diploma and Diploma	F	9653
Blacktown (C)	2011	Advanced Diploma and Diploma	M	8067
Blacktown (C)	2011	Bachelor	F	16437
Blacktown (C)	2011	Bachelor	M	12824
Blacktown (C)	2011	Graduate Diploma and Graduate Certificate	F	1235
Blacktown (C)	2011	Graduate Diploma and Graduate Certificate	M	925
Blacktown (C)	2011	Postgraduate	F	3636
Blacktown (C)	2011	Postgraduate	M	4334
Blacktown (C)	2016		F	108302
Blacktown (C)	2016		M	104512
Blacktown (C)	2016	Certificate nfd	F	3097
Blacktown (C)	2016	Certificate nfd	M	2157
Blacktown (C)	2016	Certificate I and II Level	F	2017
Blacktown (C)	2016	Certificate I and II Level	M	1023
Blacktown (C)	2016	Certificate III and IV Level	F	12317
Blacktown (C)	2016	Certificate III and IV Level	M	23256
Blacktown (C)	2016	Advanced Diploma and Diploma	F	12429
Blacktown (C)	2016	Advanced Diploma and Diploma	M	10544
Blacktown (C)	2016	Bachelor	F	22722
Blacktown (C)	2016	Bachelor	M	17585
Blacktown (C)	2016	Graduate Diploma and Graduate Certificate	F	1725
Blacktown (C)	2016	Graduate Diploma and Graduate Certificate	M	1261
Blacktown (C)	2016	Postgraduate	F	6781
Blacktown (C)	2016	Postgraduate	M	7236
Bland (A)	2006		F	2430
Bland (A)	2006		M	2272
Bland (A)	2006	Certificate nfd	F	50
Bland (A)	2006	Certificate nfd	M	42
Bland (A)	2006	Certificate I and II Level	F	50
Bland (A)	2006	Certificate I and II Level	M	30
Bland (A)	2006	Certificate III and IV Level	F	193
Bland (A)	2006	Certificate III and IV Level	M	519
Bland (A)	2006	Advanced Diploma and Diploma	F	131
Bland (A)	2006	Advanced Diploma and Diploma	M	58
Bland (A)	2006	Bachelor	F	173
Bland (A)	2006	Bachelor	M	101
Bland (A)	2006	Graduate Diploma and Graduate Certificate	F	21
Bland (A)	2006	Graduate Diploma and Graduate Certificate	M	6
Bland (A)	2006	Postgraduate	F	7
Bland (A)	2006	Postgraduate	M	14
Bland (A)	2011		F	2221
Bland (A)	2011		M	2124
Bland (A)	2011	Certificate nfd	F	54
Bland (A)	2011	Certificate nfd	M	25
Bland (A)	2011	Certificate I and II Level	F	55
Bland (A)	2011	Certificate I and II Level	M	26
Bland (A)	2011	Certificate III and IV Level	F	255
Bland (A)	2011	Certificate III and IV Level	M	542
Bland (A)	2011	Advanced Diploma and Diploma	F	145
Bland (A)	2011	Advanced Diploma and Diploma	M	78
Bland (A)	2011	Bachelor	F	190
Bland (A)	2011	Bachelor	M	96
Bland (A)	2011	Graduate Diploma and Graduate Certificate	F	19
Bland (A)	2011	Graduate Diploma and Graduate Certificate	M	16
Bland (A)	2011	Postgraduate	F	9
Bland (A)	2011	Postgraduate	M	14
Bland (A)	2016		F	2182
Bland (A)	2016		M	2100
Bland (A)	2016	Certificate nfd	F	68
Bland (A)	2016	Certificate nfd	M	43
Bland (A)	2016	Certificate I and II Level	F	60
Bland (A)	2016	Certificate I and II Level	M	21
Bland (A)	2016	Certificate III and IV Level	F	253
Bland (A)	2016	Certificate III and IV Level	M	590
Bland (A)	2016	Advanced Diploma and Diploma	F	161
Bland (A)	2016	Advanced Diploma and Diploma	M	86
Bland (A)	2016	Bachelor	F	216
Bland (A)	2016	Bachelor	M	107
Bland (A)	2016	Graduate Diploma and Graduate Certificate	F	24
Bland (A)	2016	Graduate Diploma and Graduate Certificate	M	13
Bland (A)	2016	Postgraduate	F	24
Bland (A)	2016	Postgraduate	M	11
Blayney (A)	2006		F	2432
Blayney (A)	2006		M	2330
Blayney (A)	2006	Certificate nfd	F	65
Blayney (A)	2006	Certificate nfd	M	33
Blayney (A)	2006	Certificate I and II Level	F	75
Blayney (A)	2006	Certificate I and II Level	M	25
Blayney (A)	2006	Certificate III and IV Level	F	224
Blayney (A)	2006	Certificate III and IV Level	M	613
Blayney (A)	2006	Advanced Diploma and Diploma	F	210
Blayney (A)	2006	Advanced Diploma and Diploma	M	112
Blayney (A)	2006	Bachelor	F	221
Blayney (A)	2006	Bachelor	M	136
Blayney (A)	2006	Graduate Diploma and Graduate Certificate	F	38
Blayney (A)	2006	Graduate Diploma and Graduate Certificate	M	24
Blayney (A)	2006	Postgraduate	F	30
Blayney (A)	2006	Postgraduate	M	27
Blayney (A)	2011		F	2410
Blayney (A)	2011		M	2376
Blayney (A)	2011	Certificate nfd	F	58
Blayney (A)	2011	Certificate nfd	M	34
Blayney (A)	2011	Certificate I and II Level	F	76
Blayney (A)	2011	Certificate I and II Level	M	29
Blayney (A)	2011	Certificate III and IV Level	F	354
Blayney (A)	2011	Certificate III and IV Level	M	691
Blayney (A)	2011	Advanced Diploma and Diploma	F	249
Blayney (A)	2011	Advanced Diploma and Diploma	M	151
Blayney (A)	2011	Bachelor	F	287
Blayney (A)	2011	Bachelor	M	155
Blayney (A)	2011	Graduate Diploma and Graduate Certificate	F	32
Blayney (A)	2011	Graduate Diploma and Graduate Certificate	M	17
Blayney (A)	2011	Postgraduate	F	31
Blayney (A)	2011	Postgraduate	M	35
Blayney (A)	2016		F	2328
Blayney (A)	2016		M	2329
Blayney (A)	2016	Certificate nfd	F	99
Blayney (A)	2016	Certificate nfd	M	59
Blayney (A)	2016	Certificate I and II Level	F	60
Blayney (A)	2016	Certificate I and II Level	M	26
Blayney (A)	2016	Certificate III and IV Level	F	405
Blayney (A)	2016	Certificate III and IV Level	M	784
Blayney (A)	2016	Advanced Diploma and Diploma	F	276
Blayney (A)	2016	Advanced Diploma and Diploma	M	147
Blayney (A)	2016	Bachelor	F	362
Blayney (A)	2016	Bachelor	M	189
Blayney (A)	2016	Graduate Diploma and Graduate Certificate	F	54
Blayney (A)	2016	Graduate Diploma and Graduate Certificate	M	32
Blayney (A)	2016	Postgraduate	F	63
Blayney (A)	2016	Postgraduate	M	47
Blue Mountains (C)	2006		F	23631
Blue Mountains (C)	2006		M	20462
Blue Mountains (C)	2006	Certificate nfd	F	966
Blue Mountains (C)	2006	Certificate nfd	M	551
Blue Mountains (C)	2006	Certificate I and II Level	F	495
Blue Mountains (C)	2006	Certificate I and II Level	M	282
Blue Mountains (C)	2006	Certificate III and IV Level	F	2379
Blue Mountains (C)	2006	Certificate III and IV Level	M	6624
Blue Mountains (C)	2006	Advanced Diploma and Diploma	F	3565
Blue Mountains (C)	2006	Advanced Diploma and Diploma	M	2403
Blue Mountains (C)	2006	Bachelor	F	5044
Blue Mountains (C)	2006	Bachelor	M	3794
Blue Mountains (C)	2006	Graduate Diploma and Graduate Certificate	F	922
Blue Mountains (C)	2006	Graduate Diploma and Graduate Certificate	M	562
Blue Mountains (C)	2006	Postgraduate	F	1135
Blue Mountains (C)	2006	Postgraduate	M	1250
Blue Mountains (C)	2011		F	22489
