LGA_NAME16	Year	medianTotalPersonalIncomeWeekly
Barcoo (S)	2006	574
Blackall-Tambo (R)	2006	400
Boulia (S)	2006	556
Brisbane (C)	2006	556
Bulloo (S)	2006	551
Bundaberg (R)	2006	355
Burdekin (S)	2006	438
Burke (S)	2006	671
Cairns (R)	2006	530
Carpentaria (S)	2006	461
Cassowary Coast (R)	2006	422
Central Highlands (R) (Qld)	2006	634
Charters Towers (R)	2006	393
Cherbourg (S)	2006	227
Cloncurry (S)	2006	612
Cook (S)	2006	385
Croydon (S)	2006	445
Diamantina (S)	2006	595
Doomadgee (S)	2006	227
Douglas (S)	2006	508
Etheridge (S)	2006	391
Flinders (S) (Qld)	2006	463
Fraser Coast (R)	2006	343
Gladstone (R)	2006	499
Gold Coast (C)	2006	480
Goondiwindi (R)	2006	459
Gympie (R)	2006	347
Hinchinbrook (S)	2006	389
Hope Vale (S)	2006	227
Ipswich (C)	2006	469
Isaac (R)	2006	721
Kowanyama (S)	2006	242
Livingstone (S)	2006	431
Lockhart River (S)	2006	225
Lockyer Valley (R)	2006	376
Logan (C)	2006	475
Longreach (R)	2006	513
Mackay (R)	2006	511
McKinlay (S)	2006	598
Mapoon (S)	2006	230
Maranoa (R)	2006	498
Mareeba (S)	2006	382
Moreton Bay (R)	2006	466
Mornington (S)	2006	210
Mount Isa (C)	2006	685
Murweh (S)	2006	467
Napranum (S)	2006	226
Noosa (S)	2006	422
North Burnett (R)	2006	374
Northern Peninsula Area (R)	2006	277
Palm Island (S)	2006	220
Paroo (S)	2006	345
Pormpuraaw (S)	2006	242
Quilpie (S)	2006	451
Redland (C)	2006	491
Richmond (S)	2006	484
Rockhampton (R)	2006	434
Scenic Rim (R)	2006	407
Somerset (R)	2006	359
South Burnett (R)	2006	349
Southern Downs (R)	2006	367
Sunshine Coast (R)	2006	429
Tablelands (R)	2006	368
Toowoomba (R)	2006	436
Torres (S)	2006	429
Torres Strait Island (R)	2006	245
Townsville (C)	2006	530
Weipa (T)	2006	1013
Western Downs (R)	2006	403
Whitsunday (R)	2006	493
Winton (S)	2006	475
Woorabinda (S)	2006	199
Wujal Wujal (S)	2006	232
Yarrabah (S)	2006	224
No usual address (Qld)	2006	354
Migratory - Offshore - Shipping (Qld)	2006	1052
Adelaide (C)	2006	491
Adelaide Hills (DC)	2006	539
Alexandrina (DC)	2006	376
Anangu Pitjantjatjara (AC)	2006	219
Barossa (DC)	2006	481
Barunga West (DC)	2006	335
Berri and Barmera (DC)	2006	392
Burnside (C)	2006	605
Campbelltown (C) (SA)	2006	414
Ceduna (DC)	2006	419
Charles Sturt (C)	2006	406
Clare and Gilbert Valleys (DC)	2006	432
Cleve (DC)	2006	401
Coober Pedy (DC)	2006	309
Copper Coast (DC)	2006	329
Elliston (DC)	2006	380
Flinders Ranges (DC)	2006	357
Franklin Harbour (DC)	2006	367
Gawler (T)	2006	409
Goyder (DC)	2006	336
Grant (DC)	2006	487
Holdfast Bay (C)	2006	514
Kangaroo Island (DC)	2006	414
Karoonda East Murray (DC)	2006	327
Kimba (DC)	2006	413
Kingston (DC) (SA)	2006	393
Light (RegC)	2006	465
Lower Eyre Peninsula (DC)	2006	428
Loxton Waikerie (DC)	2006	404
Mallala (DC)	2006	432
Maralinga Tjarutja (AC)	2006	297
Marion (C)	2006	440
Mid Murray (DC)	2006	326
Mitcham (C)	2006	522
Mount Barker (DC)	2006	479
Mount Gambier (C)	2006	430
Mount Remarkable (DC)	2006	343
Murray Bridge (RC)	2006	369
Naracoorte and Lucindale (DC)	2006	481
Northern Areas (DC)	2006	360
Norwood Payneham St Peters (C)	2006	493
Onkaparinga (C)	2006	439
Orroroo/Carrieton (DC)	2006	344
Peterborough (DC)	2006	274
Playford (C)	2006	368
Port Adelaide Enfield (C)	2006	380
Port Augusta (C)	2006	417
Port Lincoln (C)	2006	436
Port Pirie City and Dists (M)	2006	336
Prospect (C)	2006	534
Renmark Paringa (DC)	2006	412
Robe (DC)	2006	423
Roxby Downs (M)	2006	1116
Salisbury (C)	2006	417
Southern Mallee (DC)	2006	408
Streaky Bay (DC)	2006	394
Tatiara (DC)	2006	463
Tea Tree Gully (C)	2006	496
The Coorong (DC)	2006	368
Tumby Bay (DC)	2006	353
Unley (C)	2006	581
Victor Harbor (C)	2006	346
Wakefield (DC)	2006	378
Walkerville (M)	2006	583
Wattle Range (DC)	2006	420
West Torrens (C)	2006	428
Whyalla (C)	2006	365
Wudinna (DC)	2006	390
Yankalilla (DC)	2006	350
Yorke Peninsula (DC)	2006	326
Unincorporated SA	2006	446
No usual address (SA)	2006	344
Migratory - Offshore - Shipping (SA)	2006	1667
Albany (C)	2006	425
Armadale (C)	2006	450
Ashburton (S)	2006	1058
Augusta-Margaret River (S)	2006	478
Bassendean (T)	2006	487
Bayswater (C)	2006	493
Belmont (C)	2006	469
Beverley (S)	2006	341
Boddington (S)	2006	473
Boyup Brook (S)	2006	411
Bridgetown-Greenbushes (S)	2006	400
Brookton (S)	2006	440
Broome (S)	2006	568
Broomehill-Tambellup (S)	2006	424
Bruce Rock (S)	2006	448
Bunbury (C)	2006	467
Busselton (C)	2006	465
Cambridge (T)	2006	680
Canning (C)	2006	476
Capel (S)	2006	527
Carnamah (S)	2006	541
Carnarvon (S)	2006	466
Chapman Valley (S)	2006	456
Chittering (S)	2006	447
Claremont (T)	2006	585
Cockburn (C)	2006	501
Collie (S)	2006	388
Coolgardie (S)	2006	669
Coorow (S)	2006	446
Corrigin (S)	2006	490
Cottesloe (T)	2006	794
Cranbrook (S)	2006	442
Cuballing (S)	2006	434
Cue (S)	2006	386
Cunderdin (S)	2006	411
Dalwallinu (S)	2006	513
Dandaragan (S)	2006	466
Dardanup (S)	2006	490
Denmark (S)	2006	362
Derby-West Kimberley (S)	2006	283
Donnybrook-Balingup (S)	2006	422
Dowerin (S)	2006	429
Dumbleyung (S)	2006	463
Dundas (S)	2006	530
East Fremantle (T)	2006	623
East Pilbara (S)	2006	864
Esperance (S)	2006	458
Exmouth (S)	2006	529
Fremantle (C)	2006	489
Gingin (S)	2006	403
Gnowangerup (S)	2006	448
Goomalling (S)	2006	424
Gosnells (C)	2006	484
Greater Geraldton (C)	2006	460
Halls Creek (S)	2006	232
Harvey (S)	2006	476
Irwin (S)	2006	425
Jerramungup (S)	2006	481
Joondalup (C)	2006	564
Kalamunda (S)	2006	526
Kalgoorlie/Boulder (C)	2006	680
Karratha (C)	2006	889
Katanning (S)	2006	454
Kellerberrin (S)	2006	331
Kent (S)	2006	484
Kojonup (S)	2006	477
Kondinin (S)	2006	490
Koorda (S)	2006	396
Kulin (S)	2006	502
Kwinana (C)	2006	434
Lake Grace (S)	2006	541
Laverton (S)	2006	810
Leonora (S)	2006	992
Mandurah (C)	2006	384
Manjimup (S)	2006	407
Meekatharra (S)	2006	479
Melville (C)	2006	531
Menzies (S)	2006	245
Merredin (S)	2006	485
Mingenew (S)	2006	474
Moora (S)	2006	486
Morawa (S)	2006	369
Mosman Park (T)	2006	533
Mount Magnet (S)	2006	502
Mount Marshall (S)	2006	447
Mukinbudin (S)	2006	476
Mundaring (S)	2006	501
Murchison (S)	2006	531
Murray (S)	2006	381
Nannup (S)	2006	400
Narembeen (S)	2006	452
Narrogin (S)	2006	429
Nedlands (C)	2006	659
Ngaanyatjarraku (S)	2006	196
Northam (S)	2006	382
Northampton (S)	2006	369
Nungarin (S)	2006	389
Peppermint Grove (S)	2006	795
Perenjori (S)	2006	406
Perth (C)	2006	631
Pingelly (S)	2006	346
Plantagenet (S)	2006	395
Port Hedland (T)	2006	836
Quairading (S)	2006	412
Ravensthorpe (S)	2006	695
Rockingham (C)	2006	460
Sandstone (S)	2006	490
Serpentine-Jarrahdale (S)	2006	508
Shark Bay (S)	2006	447
South Perth (C)	2006	579
Stirling (C)	2006	517
Subiaco (C)	2006	646
Swan (C)	2006	490
Tammin (S)	2006	364
Three Springs (S)	2006	502
Toodyay (S)	2006	405
Trayning (S)	2006	493
Upper Gascoyne (S)	2006	246
Victoria Park (T)	2006	510
Victoria Plains (S)	2006	477
Vincent (C)	2006	620
Wagin (S)	2006	412
Wandering (S)	2006	473
Wanneroo (C)	2006	491
Waroona (S)	2006	392
West Arthur (S)	2006	464
Westonia (S)	2006	542
Wickepin (S)	2006	374
Williams (S)	2006	533
Wiluna (S)	2006	869
Wongan-Ballidu (S)	2006	535
Woodanilling (S)	2006	484
Wyalkatchem (S)	2006	391
Wyndham-East Kimberley (S)	2006	573
Yalgoo (S)	2006	533
Yilgarn (S)	2006	559
York (S)	2006	398
No usual address (WA)	2006	446
Migratory - Offshore - Shipping (WA)	2006	1583
Break O'Day (M)	2006	296
Brighton (M)	2006	378
Burnie (C)	2006	366
Central Coast (M) (Tas.)	2006	362
Central Highlands (M) (Tas.)	2006	319
Circular Head (M)	2006	426
Clarence (C)	2006	458
Derwent Valley (M)	2006	360
Devonport (C)	2006	368
Dorset (M)	2006	353
Flinders (M) (Tas.)	2006	428
George Town (M)	2006	331
Glamorgan/Spring Bay (M)	2006	353
Glenorchy (C)	2006	384
Hobart (C)	2006	526
Huon Valley (M)	2006	349
Kentish (M)	2006	339
King Island (M)	2006	504
Kingborough (M)	2006	476
Latrobe (M) (Tas.)	2006	384
Launceston (C)	2006	395
Meander Valley (M)	2006	399
Northern Midlands (M)	2006	388
Sorell (M)	2006	396
Southern Midlands (M)	2006	367
Tasman (M)	2006	311
Waratah/Wynyard (M)	2006	352
West Coast (M)	2006	357
West Tamar (M)	2006	413
No usual address (Tas.)	2006	308
Migratory - Offshore - Shipping (Tas.)	2006	1379
Alice Springs (T)	2006	658
Barkly (R)	2006	237
Belyuen (S)	2006	213
Central Desert (R)	2006	224
Coomalie (S)	2006	394
Darwin (C)	2006	687
East Arnhem (R)	2006	203
Katherine (T)	2006	600
Litchfield (M)	2006	668
MacDonnell (R)	2006	214
Palmerston (C)	2006	679
Roper Gulf (R)	2006	220
Tiwi Islands (R)	2006	210
Victoria Daly (R)	2006	270
Wagait (S)	2006	572
West Arnhem (R)	2006	234
West Daly (R)	2006	198
Unincorporated NT	2006	853
No usual address (NT)	2006	418
Migratory - Offshore - Shipping (NT)	2006	895
Unincorporated ACT	2006	723
No usual address (ACT)	2006	444
Migratory - Offshore - Shipping (ACT)	2006	0
Unincorp. Other Territories	2006	519
No usual address (OT)	2006	883
Migratory - Offshore - Shipping (OT)	2006	0
Albury (C)	2011	558
Armidale Regional (A)	2011	481
Ballina (A)	2011	496
Balranald (A)	2011	471
Bathurst Regional (A)	2011	544
Bega Valley (A)	2011	453
Bellingen (A)	2011	416
Berrigan (A)	2011	429
Blacktown (C)	2011	565
Bland (A)	2011	460
Blayney (A)	2011	531
Blue Mountains (C)	2011	590
Bogan (A)	2011	480
Botany Bay (C)	2011	575
Bourke (A)	2011	598
Brewarrina (A)	2011	369
Broken Hill (C)	2011	414
Burwood (A)	2011	490
Byron (A)	2011	477
Cabonne (A)	2011	522
Camden (A)	2011	690
Campbelltown (C) (NSW)	2011	549
Canada Bay (A)	2011	782
Canterbury-Bankstown (A)	2011	429
Carrathool (A)	2011	529
Central Coast (C) (NSW)	2011	502
Central Darling (A)	2011	389
Cessnock (C)	2011	472
Clarence Valley (A)	2011	396
Cobar (A)	2011	582
Coffs Harbour (C)	2011	469
Coolamon (A)	2011	447
Coonamble (A)	2011	438
Cowra (A)	2011	412
Cumberland (A)	2011	433
Dungog (A)	2011	484
Edward River (A)	2011	480
Eurobodalla (A)	2011	424
Fairfield (C)	2011	369
Federation (A)	2011	460
Forbes (A)	2011	460
Georges River (A)	2011	565
Gilgandra (A)	2011	419
Glen Innes Severn (A)	2011	395
Goulburn Mulwaree (A)	2011	516
Greater Hume Shire (A)	2011	479
Griffith (C)	2011	531
Gundagai (A)	2011	440
Gunnedah (A)	2011	485
Gwydir (A)	2011	387
Hawkesbury (C)	2011	622
Hay (A)	2011	441
Hilltops (A)	2011	438
Hornsby (A)	2011	691
Hunters Hill (A)	2011	821
Inner West (A)	2011	811
Inverell (A)	2011	430
Junee (A)	2011	473
Kempsey (A)	2011	386
Kiama (A)	2011	563
Ku-ring-gai (A)	2011	814
Kyogle (A)	2011	377
Lachlan (A)	2011	445
Lake Macquarie (C)	2011	520
Lane Cove (A)	2011	970
Leeton (A)	2011	479
Lismore (C)	2011	469
Lithgow (C)	2011	450
Liverpool (C)	2011	510
Liverpool Plains (A)	2011	432
Lockhart (A)	2011	452
Maitland (C)	2011	562
Mid-Coast (A)	2011	396
Mid-Western Regional (A)	2011	449
Moree Plains (A)	2011	559
Mosman (A)	2011	1118
Murray River (A)	2011	446
Murrumbidgee (A)	2011	488
Muswellbrook (A)	2011	619
Nambucca (A)	2011	377
Narrabri (A)	2011	520
Narrandera (A)	2011	454
Narromine (A)	2011	492
Newcastle (C)	2011	563
North Sydney (A)	2011	1216
Northern Beaches (A)	2011	779
Oberon (A)	2011	527
Orange (C)	2011	582
Parkes (A)	2011	456
Parramatta (C)	2011	620
Penrith (C)	2011	623
Port Macquarie-Hastings (A)	2011	447
Port Stephens (A)	2011	498
Queanbeyan-Palerang Regional (A)	2011	838
Randwick (C)	2011	718
Richmond Valley (A)	2011	407
Rockdale (C)	2011	555
Ryde (C)	2011	635
Shellharbour (C)	2011	479
Shoalhaven (C)	2011	426
Singleton (A)	2011	641
Snowy Monaro Regional (A)	2011	561
Snowy Valleys (A)	2011	478
Strathfield (A)	2011	558
Sutherland Shire (A)	2011	718
Sydney (C)	2011	888
Tamworth Regional (A)	2011	516
Temora (A)	2011	418
Tenterfield (A)	2011	377
The Hills Shire (A)	2011	737
Tweed (A)	2011	442
Upper Hunter Shire (A)	2011	552
Upper Lachlan Shire (A)	2011	492
Uralla (A)	2011	480
Wagga Wagga (C)	2011	586
Walcha (A)	2011	457
Walgett (A)	2011	386
Warren (A)	2011	496
Warrumbungle Shire (A)	2011	379
Waverley (A)	2011	973
Weddin (A)	2011	384
Wentworth (A)	2011	474
Western Plains Regional (A)	2011	548
Willoughby (C)	2011	858
Wingecarribee (A)	2011	548
Wollondilly (A)	2011	617
Wollongong (C)	2011	489
Woollahra (A)	2011	1146
Yass Valley (A)	2011	755
Unincorporated NSW	2011	562
No usual address (NSW)	2011	349
Migratory - Offshore - Shipping (NSW)	2011	490
Alpine (S)	2011	462
Ararat (RC)	2011	479
Ballarat (C)	2011	512
Banyule (C)	2011	618
Bass Coast (S)	2011	472
Baw Baw (S)	2011	511
Bayside (C)	2011	758
Benalla (RC)	2011	465
Boroondara (C)	2011	772
Brimbank (C)	2011	429
Buloke (S)	2011	405
Campaspe (S)	2011	469
Cardinia (S)	2011	592
Casey (C)	2011	572
Central Goldfields (S)	2011	381
Colac-Otway (S)	2011	497
Corangamite (S)	2011	480
Darebin (C)	2011	534
East Gippsland (S)	2011	436
Frankston (C)	2011	568
Gannawarra (S)	2011	422
Glen Eira (C)	2011	679
Glenelg (S)	2011	463
Golden Plains (S)	2011	538
Greater Bendigo (C)	2011	513
Greater Dandenong (C)	2011	396
Greater Geelong (C)	2011	517
Greater Shepparton (C)	2011	510
Hepburn (S)	2011	451
Hindmarsh (S)	2011	439
Hobsons Bay (C)	2011	582
Horsham (RC)	2011	530
Hume (C)	2011	477
Indigo (S)	2011	540
Kingston (C) (Vic.)	2011	598
Knox (C)	2011	598
Latrobe (C) (Vic.)	2011	468
Loddon (S)	2011	378
Macedon Ranges (S)	2011	593
Manningham (C)	2011	572
Mansfield (S)	2011	487
Maribyrnong (C)	2011	577
Maroondah (C)	2011	611
Melbourne (C)	2011	711
Melton (C)	2011	610
Mildura (RC)	2011	463
Mitchell (S)	2011	547
Moira (S)	2011	437
Monash (C)	2011	520
Moonee Valley (C)	2011	628
Moorabool (S)	2011	540
Moreland (C)	2011	551
Mornington Peninsula (S)	2011	538
Mount Alexander (S)	2011	460
Moyne (S)	2011	531
Murrindindi (S)	2011	473
Nillumbik (S)	2011	699
Northern Grampians (S)	2011	447
Port Phillip (C)	2011	985
Pyrenees (S)	2011	388
Queenscliffe (B)	2011	576
South Gippsland (S)	2011	481
Southern Grampians (S)	2011	503
Stonnington (C)	2011	902
Strathbogie (S)	2011	457
Surf Coast (S)	2011	601
Swan Hill (RC)	2011	480
Towong (S)	2011	458
Wangaratta (RC)	2011	498
Warrnambool (C)	2011	532
Wellington (S)	2011	479
West Wimmera (S)	2011	485
Whitehorse (C)	2011	561
Whittlesea (C)	2011	519
Wodonga (C)	2011	577
Wyndham (C)	2011	635
Yarra (C)	2011	866
Yarra Ranges (S)	2011	579
Yarriambiack (S)	2011	426
Unincorporated Vic	2011	710
No usual address (Vic.)	2011	352
Migratory - Offshore - Shipping (Vic.)	2011	1949
Aurukun (S)	2011	259
Balonne (S)	2011	569
Banana (S)	2011	630
Barcaldine (R)	2011	569
Barcoo (S)	2011	664
Blackall-Tambo (R)	2011	503
Boulia (S)	2011	568
Brisbane (C)	2011	696
Bulloo (S)	2011	713
Bundaberg (R)	2011	423
Burdekin (S)	2011	541
Burke (S)	2011	855
Cairns (R)	2011	624
Carpentaria (S)	2011	589
Cassowary Coast (R)	2011	503
Central Highlands (R) (Qld)	2011	831
Charters Towers (R)	2011	487
Cherbourg (S)	2011	281
Cloncurry (S)	2011	882
Cook (S)	2011	496
Croydon (S)	2011	483
Diamantina (S)	2011	700
Doomadgee (S)	2011	282
Douglas (S)	2011	585
Etheridge (S)	2011	482
Flinders (S) (Qld)	2011	545
Fraser Coast (R)	2011	396
Gladstone (R)	2011	689
Gold Coast (C)	2011	571
Goondiwindi (R)	2011	565
Gympie (R)	2011	413
Hinchinbrook (S)	2011	479
Hope Vale (S)	2011	294
Ipswich (C)	2011	592
Isaac (R)	2011	1052
Kowanyama (S)	2011	285
Livingstone (S)	2011	566
Lockhart River (S)	2011	307
Lockyer Valley (R)	2011	462
Logan (C)	2011	576
Longreach (R)	2011	670
Mackay (R)	2011	704
McKinlay (S)	2011	839
Mapoon (S)	2011	305
Maranoa (R)	2011	645
Mareeba (S)	2011	460
Moreton Bay (R)	2011	581
Mornington (S)	2011	286
Mount Isa (C)	2011	952
Murweh (S)	2011	568
Napranum (S)	2011	260
Noosa (S)	2011	506
North Burnett (R)	2011	440
Northern Peninsula Area (R)	2011	436
Palm Island (S)	2011	290
Paroo (S)	2011	501
Pormpuraaw (S)	2011	317
Quilpie (S)	2011	589
Redland (C)	2011	608
Richmond (S)	2011	572
Rockhampton (R)	2011	583
Scenic Rim (R)	2011	493
Somerset (R)	2011	445
South Burnett (R)	2011	397
Southern Downs (R)	2011	448
Sunshine Coast (R)	2011	522
Tablelands (R)	2011	445
Toowoomba (R)	2011	549
Torres (S)	2011	684
Torres Strait Island (R)	2011	313
Townsville (C)	2011	675
Weipa (T)	2011	1236
Western Downs (R)	2011	542
Whitsunday (R)	2011	621
Winton (S)	2011	544
Woorabinda (S)	2011	284
Wujal Wujal (S)	2011	262
Yarrabah (S)	2011	274
No usual address (Qld)	2011	379
Migratory - Offshore - Shipping (Qld)	2011	660
Adelaide (C)	2011	562
Adelaide Hills (DC)	2011	664
Alexandrina (DC)	2011	454
Anangu Pitjantjatjara (AC)	2011	277
Barossa (DC)	2011	566
Barunga West (DC)	2011	403
Berri and Barmera (DC)	2011	447
Burnside (C)	2011	715
Campbelltown (C) (SA)	2011	517
Ceduna (DC)	2011	586
Charles Sturt (C)	2011	525
Clare and Gilbert Valleys (DC)	2011	523
Cleve (DC)	2011	538
Coober Pedy (DC)	2011	428
Copper Coast (DC)	2011	398
Elliston (DC)	2011	497
Flinders Ranges (DC)	2011	485
Franklin Harbour (DC)	2011	446
Gawler (T)	2011	516
Goyder (DC)	2011	412
Grant (DC)	2011	576
Holdfast Bay (C)	2011	646
Kangaroo Island (DC)	2011	490
Karoonda East Murray (DC)	2011	389
Kimba (DC)	2011	570
Kingston (DC) (SA)	2011	483
Light (RegC)	2011	571
Lower Eyre Peninsula (DC)	2011	527
Loxton Waikerie (DC)	2011	457
Mallala (DC)	2011	527
Maralinga Tjarutja (AC)	2011	262
Marion (C)	2011	552
Mid Murray (DC)	2011	402
Mitcham (C)	2011	637
Mount Barker (DC)	2011	598
Mount Gambier (C)	2011	504
Mount Remarkable (DC)	2011	425
Murray Bridge (RC)	2011	453
Naracoorte and Lucindale (DC)	2011	576
Northern Areas (DC)	2011	461
Norwood Payneham St Peters (C)	2011	601
Onkaparinga (C)	2011	542
Orroroo/Carrieton (DC)	2011	430
Peterborough (DC)	2011	356
Playford (C)	2011	455
Port Adelaide Enfield (C)	2011	484
Port Augusta (C)	2011	541
Port Lincoln (C)	2011	524
Port Pirie City and Dists (M)	2011	403
Prospect (C)	2011	660
Renmark Paringa (DC)	2011	462
Robe (DC)	2011	543
Roxby Downs (M)	2011	1463
Salisbury (C)	2011	502
Southern Mallee (DC)	2011	478
Streaky Bay (DC)	2011	465
Tatiara (DC)	2011	529
Tea Tree Gully (C)	2011	591
The Coorong (DC)	2011	427
Tumby Bay (DC)	2011	457
Unley (C)	2011	722
Victor Harbor (C)	2011	409
Wakefield (DC)	2011	460
Walkerville (M)	2011	702
Wattle Range (DC)	2011	471
West Torrens (C)	2011	546
Whyalla (C)	2011	472
Wudinna (DC)	2011	535
Yankalilla (DC)	2011	438
Yorke Peninsula (DC)	2011	394
Unincorporated SA	2011	744
