LGA_NAME16	Year	medianRentWeekly
Greater Bendigo (C)	2006	160
Greater Dandenong (C)	2006	160
Greater Geelong (C)	2006	160
Greater Shepparton (C)	2006	152
Hepburn (S)	2006	145
Hindmarsh (S)	2006	80
Hobsons Bay (C)	2006	190
Horsham (RC)	2006	132
Hume (C)	2006	185
Indigo (S)	2006	140
Kingston (C) (Vic.)	2006	195
Knox (C)	2006	201
Latrobe (C) (Vic.)	2006	120
Loddon (S)	2006	76
Macedon Ranges (S)	2006	170
Manningham (C)	2006	250
Mansfield (S)	2006	142
Maribyrnong (C)	2006	170
Maroondah (C)	2006	195
Melbourne (C)	2006	295
Melton (C)	2006	186
Mildura (RC)	2006	150
Mitchell (S)	2006	150
Moira (S)	2006	135
Monash (C)	2006	230
Moonee Valley (C)	2006	195
Moorabool (S)	2006	150
Moreland (C)	2006	196
Mornington Peninsula (S)	2006	175
Mount Alexander (S)	2006	150
Moyne (S)	2006	120
Murrindindi (S)	2006	135
Nillumbik (S)	2006	223
Northern Grampians (S)	2006	111
Port Phillip (C)	2006	250
Pyrenees (S)	2006	88
Queenscliffe (B)	2006	170
South Gippsland (S)	2006	120
Southern Grampians (S)	2006	110
Stonnington (C)	2006	245
Strathbogie (S)	2006	115
Surf Coast (S)	2006	200
Swan Hill (RC)	2006	125
Towong (S)	2006	100
Wangaratta (RC)	2006	140
Warrnambool (C)	2006	165
Wellington (S)	2006	125
West Wimmera (S)	2006	50
Whitehorse (C)	2006	220
Whittlesea (C)	2006	200
Wodonga (C)	2006	170
Wyndham (C)	2006	185
Yarra (C)	2006	251
Yarra Ranges (S)	2006	185
Yarriambiack (S)	2006	75
Unincorporated Vic	2006	1650
No usual address (Vic.)	2006	0
Migratory - Offshore - Shipping (Vic.)	2006	0
Aurukun (S)	2006	0
Balonne (S)	2006	90
Banana (S)	2006	100
Barcaldine (R)	2006	50
Barcoo (S)	2006	60
Blackall-Tambo (R)	2006	80
Boulia (S)	2006	60
Brisbane (C)	2006	240
Bulloo (S)	2006	75
Bundaberg (R)	2006	160
Burdekin (S)	2006	120
Burke (S)	2006	50
Cairns (R)	2006	200
Carpentaria (S)	2006	85
Cassowary Coast (R)	2006	136
Central Highlands (R) (Qld)	2006	81
Charters Towers (R)	2006	122
Cherbourg (S)	2006	70
Cloncurry (S)	2006	75
Cook (S)	2006	108
Croydon (S)	2006	95
Diamantina (S)	2006	80
Doomadgee (S)	2006	40
Douglas (S)	2006	240
Etheridge (S)	2006	32
Flinders (S) (Qld)	2006	65
Fraser Coast (R)	2006	180
Gladstone (R)	2006	175
Gold Coast (C)	2006	270
Goondiwindi (R)	2006	110
Gympie (R)	2006	150
Hinchinbrook (S)	2006	105
Hope Vale (S)	2006	65
Ipswich (C)	2006	180
Isaac (R)	2006	52
Kowanyama (S)	2006	30
Livingstone (S)	2006	170
Lockhart River (S)	2006	50
Lockyer Valley (R)	2006	160
Logan (C)	2006	200
Longreach (R)	2006	95
Mackay (R)	2006	190
McKinlay (S)	2006	50
Mapoon (S)	2006	51
Maranoa (R)	2006	100
Mareeba (S)	2006	117
Moreton Bay (R)	2006	200
Mornington (S)	2006	37
Mount Isa (C)	2006	150
Murweh (S)	2006	90
Napranum (S)	2006	65
Noosa (S)	2006	250
North Burnett (R)	2006	90
Northern Peninsula Area (R)	2006	50
Palm Island (S)	2006	50
Paroo (S)	2006	70
Pormpuraaw (S)	2006	0
Quilpie (S)	2006	60
Redland (C)	2006	240
Richmond (S)	2006	21
Rockhampton (R)	2006	150
Scenic Rim (R)	2006	160
Somerset (R)	2006	150
South Burnett (R)	2006	135
Southern Downs (R)	2006	140
Sunshine Coast (R)	2006	240
Tablelands (R)	2006	140
Toowoomba (R)	2006	165
Torres (S)	2006	100
Torres Strait Island (R)	2006	50
Townsville (C)	2006	185
Weipa (T)	2006	36
Western Downs (R)	2006	115
Whitsunday (R)	2006	175
Winton (S)	2006	63
Woorabinda (S)	2006	60
Wujal Wujal (S)	2006	54
Yarrabah (S)	2006	90
No usual address (Qld)	2006	0
Migratory - Offshore - Shipping (Qld)	2006	0
Adelaide (C)	2006	240
Adelaide Hills (DC)	2006	180
Alexandrina (DC)	2006	155
Anangu Pitjantjatjara (AC)	2006	20
Barossa (DC)	2006	160
Barunga West (DC)	2006	100
Berri and Barmera (DC)	2006	125
Burnside (C)	2006	200
Campbelltown (C) (SA)	2006	180
Ceduna (DC)	2006	100
Charles Sturt (C)	2006	155
Clare and Gilbert Valleys (DC)	2006	125
Cleve (DC)	2006	82
Coober Pedy (DC)	2006	90
Copper Coast (DC)	2006	125
Elliston (DC)	2006	75
Flinders Ranges (DC)	2006	100
Franklin Harbour (DC)	2006	113
Gawler (T)	2006	160
Goyder (DC)	2006	95
Grant (DC)	2006	100
Holdfast Bay (C)	2006	185
Kangaroo Island (DC)	2006	120
Karoonda East Murray (DC)	2006	50
Kimba (DC)	2006	55
Kingston (DC) (SA)	2006	100
Light (RegC)	2006	150
Lower Eyre Peninsula (DC)	2006	100
Loxton Waikerie (DC)	2006	115
Mallala (DC)	2006	138
Maralinga Tjarutja (AC)	2006	0
Marion (C)	2006	160
Mid Murray (DC)	2006	100
Mitcham (C)	2006	180
Mount Barker (DC)	2006	180
Mount Gambier (C)	2006	126
Mount Remarkable (DC)	2006	75
Murray Bridge (RC)	2006	130
Naracoorte and Lucindale (DC)	2006	120
Northern Areas (DC)	2006	88
Norwood Payneham St Peters (C)	2006	180
Onkaparinga (C)	2006	170
Orroroo/Carrieton (DC)	2006	74
Peterborough (DC)	2006	85
Playford (C)	2006	135
Port Adelaide Enfield (C)	2006	145
Port Augusta (C)	2006	115
Port Lincoln (C)	2006	145
Port Pirie City and Dists (M)	2006	110
Prospect (C)	2006	175
Renmark Paringa (DC)	2006	120
Robe (DC)	2006	120
Roxby Downs (M)	2006	138
Salisbury (C)	2006	160
Southern Mallee (DC)	2006	61
Streaky Bay (DC)	2006	103
Tatiara (DC)	2006	100
Tea Tree Gully (C)	2006	185
The Coorong (DC)	2006	75
Tumby Bay (DC)	2006	100
Unley (C)	2006	190
Victor Harbor (C)	2006	160
Wakefield (DC)	2006	115
Walkerville (M)	2006	175
Wattle Range (DC)	2006	100
West Torrens (C)	2006	160
Whyalla (C)	2006	105
Wudinna (DC)	2006	67
Yankalilla (DC)	2006	140
Yorke Peninsula (DC)	2006	100
Unincorporated SA	2006	39
No usual address (SA)	2006	0
Migratory - Offshore - Shipping (SA)	2006	0
Albany (C)	2006	150
Armadale (C)	2006	155
Ashburton (S)	2006	37
Augusta-Margaret River (S)	2006	180
Bassendean (T)	2006	157
Bayswater (C)	2006	165
Belmont (C)	2006	164
Beverley (S)	2006	75
Boddington (S)	2006	120
Boyup Brook (S)	2006	90
Bridgetown-Greenbushes (S)	2006	130
Brookton (S)	2006	85
Broome (S)	2006	150
Broomehill-Tambellup (S)	2006	46
Bruce Rock (S)	2006	55
Bunbury (C)	2006	170
Busselton (C)	2006	180
Cambridge (T)	2006	230
Canning (C)	2006	185
Capel (S)	2006	180
Carnamah (S)	2006	60
Carnarvon (S)	2006	115
Chapman Valley (S)	2006	50
Chittering (S)	2006	110
Claremont (T)	2006	220
Cockburn (C)	2006	180
Collie (S)	2006	120
Coolgardie (S)	2006	130
Coorow (S)	2006	100
Corrigin (S)	2006	61
Cottesloe (T)	2006	300
Cranbrook (S)	2006	61
Cuballing (S)	2006	80
Cue (S)	2006	60
Cunderdin (S)	2006	77
Dalwallinu (S)	2006	80
Dandaragan (S)	2006	120
Dardanup (S)	2006	200
Denmark (S)	2006	145
Derby-West Kimberley (S)	2006	65
Donnybrook-Balingup (S)	2006	127
Dowerin (S)	2006	69
Dumbleyung (S)	2006	60
Dundas (S)	2006	60
East Fremantle (T)	2006	200
East Pilbara (S)	2006	51
Esperance (S)	2006	130
Exmouth (S)	2006	162
Fremantle (C)	2006	180
Gingin (S)	2006	130
Gnowangerup (S)	2006	65
Goomalling (S)	2006	75
Gosnells (C)	2006	171
Greater Geraldton (C)	2006	135
Halls Creek (S)	2006	30
Harvey (S)	2006	160
Irwin (S)	2006	130
Jerramungup (S)	2006	70
Joondalup (C)	2006	220
Kalamunda (S)	2006	180
Kalgoorlie/Boulder (C)	2006	165
Karratha (C)	2006	100
Katanning (S)	2006	105
Kellerberrin (S)	2006	70
Kent (S)	2006	55
Kojonup (S)	2006	80
Kondinin (S)	2006	77
Koorda (S)	2006	59
Kulin (S)	2006	60
Kwinana (C)	2006	149
Lake Grace (S)	2006	65
Laverton (S)	2006	55
Leonora (S)	2006	0
Mandurah (C)	2006	170
Manjimup (S)	2006	100
Meekatharra (S)	2006	62
Melville (C)	2006	200
Menzies (S)	2006	25
Merredin (S)	2006	89
Mingenew (S)	2006	44
Moora (S)	2006	91
Morawa (S)	2006	70
Mosman Park (T)	2006	160
Mount Magnet (S)	2006	70
Mount Marshall (S)	2006	55
Mukinbudin (S)	2006	60
Mundaring (S)	2006	170
Murchison (S)	2006	0
Murray (S)	2006	140
Nannup (S)	2006	80
Narembeen (S)	2006	70
Narrogin (S)	2006	108
Nedlands (C)	2006	250
Ngaanyatjarraku (S)	2006	10
Northam (S)	2006	120
Northampton (S)	2006	140
Nungarin (S)	2006	70
Peppermint Grove (S)	2006	250
Perenjori (S)	2006	45
Perth (C)	2006	260
Pingelly (S)	2006	80
Plantagenet (S)	2006	100
Port Hedland (T)	2006	111
Quairading (S)	2006	63
Ravensthorpe (S)	2006	120
Rockingham (C)	2006	170
Sandstone (S)	2006	0
Serpentine-Jarrahdale (S)	2006	150
Shark Bay (S)	2006	111
South Perth (C)	2006	200
Stirling (C)	2006	170
Subiaco (C)	2006	200
Swan (C)	2006	175
Tammin (S)	2006	35
Three Springs (S)	2006	66
Toodyay (S)	2006	140
Trayning (S)	2006	54
Upper Gascoyne (S)	2006	25
Victoria Park (T)	2006	170
Victoria Plains (S)	2006	56
Vincent (C)	2006	203
Wagin (S)	2006	80
Wandering (S)	2006	0
Wanneroo (C)	2006	190
Waroona (S)	2006	130
West Arthur (S)	2006	50
Westonia (S)	2006	40
Wickepin (S)	2006	50
Williams (S)	2006	60
Wiluna (S)	2006	24
Wongan-Ballidu (S)	2006	80
Woodanilling (S)	2006	0
Wyalkatchem (S)	2006	70
Wyndham-East Kimberley (S)	2006	80
Yalgoo (S)	2006	31
Yilgarn (S)	2006	61
York (S)	2006	125
No usual address (WA)	2006	0
Migratory - Offshore - Shipping (WA)	2006	0
Break O'Day (M)	2006	120
Brighton (M)	2006	117
Burnie (C)	2006	120
Central Coast (M) (Tas.)	2006	120
Central Highlands (M) (Tas.)	2006	50
Circular Head (M)	2006	95
Clarence (C)	2006	150
Derwent Valley (M)	2006	124
Devonport (C)	2006	130
Dorset (M)	2006	100
Flinders (M) (Tas.)	2006	70
George Town (M)	2006	115
Glamorgan/Spring Bay (M)	2006	120
Glenorchy (C)	2006	140
Hobart (C)	2006	180
Huon Valley (M)	2006	130
Kentish (M)	2006	110
King Island (M)	2006	100
Kingborough (M)	2006	180
Latrobe (M) (Tas.)	2006	135
Launceston (C)	2006	140
Meander Valley (M)	2006	130
Northern Midlands (M)	2006	104
Sorell (M)	2006	150
Southern Midlands (M)	2006	80
Tasman (M)	2006	110
Waratah/Wynyard (M)	2006	110
West Coast (M)	2006	90
West Tamar (M)	2006	150
No usual address (Tas.)	2006	0
Migratory - Offshore - Shipping (Tas.)	2006	0
Alice Springs (T)	2006	180
Barkly (R)	2006	50
Belyuen (S)	2006	60
Central Desert (R)	2006	20
Coomalie (S)	2006	86
Darwin (C)	2006	200
East Arnhem (R)	2006	30
Katherine (T)	2006	130
Litchfield (M)	2006	170
MacDonnell (R)	2006	30
Palmerston (C)	2006	185
Roper Gulf (R)	2006	30
Tiwi Islands (R)	2006	40
Victoria Daly (R)	2006	40
Wagait (S)	2006	50
West Arnhem (R)	2006	30
West Daly (R)	2006	28
Unincorporated NT	2006	50
No usual address (NT)	2006	0
Migratory - Offshore - Shipping (NT)	2006	0
Unincorporated ACT	2006	260
No usual address (ACT)	2006	0
Migratory - Offshore - Shipping (ACT)	2006	0
Unincorp. Other Territories	2006	102
No usual address (OT)	2006	0
Migratory - Offshore - Shipping (OT)	2006	0
Albury (C)	2011	195
Armidale Regional (A)	2011	200
Ballina (A)	2011	290
Balranald (A)	2011	133
Bathurst Regional (A)	2011	220
Bega Valley (A)	2011	200
Bellingen (A)	2011	220
Berrigan (A)	2011	145
Blacktown (C)	2011	300
Bland (A)	2011	135
Blayney (A)	2011	165
Blue Mountains (C)	2011	280
Bogan (A)	2011	140
Botany Bay (C)	2011	340
Bourke (A)	2011	90
Brewarrina (A)	2011	70
Broken Hill (C)	2011	150
Burwood (A)	2011	400
Byron (A)	2011	348
Cabonne (A)	2011	145
Camden (A)	2011	360
Campbelltown (C) (NSW)	2011	260
Canada Bay (A)	2011	480
Canterbury-Bankstown (A)	2011	300
Carrathool (A)	2011	80
Central Coast (C) (NSW)	2011	270
Central Darling (A)	2011	65
Cessnock (C)	2011	230
Clarence Valley (A)	2011	215
Cobar (A)	2011	140
Coffs Harbour (C)	2011	250
Coolamon (A)	2011	120
Coonamble (A)	2011	120
Cowra (A)	2011	155
Cumberland (A)	2011	330
Dungog (A)	2011	184
Edward River (A)	2011	140
Eurobodalla (A)	2011	220
Fairfield (C)	2011	280
Federation (A)	2011	170
Forbes (A)	2011	150
Georges River (A)	2011	370
Gilgandra (A)	2011	130
Glen Innes Severn (A)	2011	155
Goulburn Mulwaree (A)	2011	185
Greater Hume Shire (A)	2011	150
Griffith (C)	2011	180
Gundagai (A)	2011	150
Gunnedah (A)	2011	180
Gwydir (A)	2011	100
Hawkesbury (C)	2011	280
Hay (A)	2011	129
Hilltops (A)	2011	160
Hornsby (A)	2011	401
Hunters Hill (A)	2011	390
Inner West (A)	2011	390
Inverell (A)	2011	165
Junee (A)	2011	155
Kempsey (A)	2011	190
Kiama (A)	2011	300
Ku-ring-gai (A)	2011	580
Kyogle (A)	2011	170
Lachlan (A)	2011	110
Lake Macquarie (C)	2011	255
Lane Cove (A)	2011	420
Leeton (A)	2011	160
Lismore (C)	2011	220
Lithgow (C)	2011	170
Liverpool (C)	2011	295
Liverpool Plains (A)	2011	145
Lockhart (A)	2011	111
Maitland (C)	2011	260
Mid-Coast (A)	2011	200
Mid-Western Regional (A)	2011	200
Moree Plains (A)	2011	140
Mosman (A)	2011	480
Murray River (A)	2011	160
Murrumbidgee (A)	2011	130
Muswellbrook (A)	2011	230
Nambucca (A)	2011	195
Narrabri (A)	2011	141
Narrandera (A)	2011	140
Narromine (A)	2011	141
Newcastle (C)	2011	275
North Sydney (A)	2011	480
Northern Beaches (A)	2011	460
Oberon (A)	2011	180
Orange (C)	2011	230
Parkes (A)	2011	150
Parramatta (C)	2011	360
Penrith (C)	2011	300
Port Macquarie-Hastings (A)	2011	250
Port Stephens (A)	2011	250
Queanbeyan-Palerang Regional (A)	2011	280
Randwick (C)	2011	440
Richmond Valley (A)	2011	205
Rockdale (C)	2011	370
Ryde (C)	2011	370
Shellharbour (C)	2011	250
Shoalhaven (C)	2011	220
Singleton (A)	2011	260
Snowy Monaro Regional (A)	2011	200
Snowy Valleys (A)	2011	160
Strathfield (A)	2011	400
Sutherland Shire (A)	2011	370
Sydney (C)	2011	465
Tamworth Regional (A)	2011	200
Temora (A)	2011	135
Tenterfield (A)	2011	150
The Hills Shire (A)	2011	455
Tweed (A)	2011	300
Upper Hunter Shire (A)	2011	170
Upper Lachlan Shire (A)	2011	144
Uralla (A)	2011	150
Wagga Wagga (C)	2011	220
Walcha (A)	2011	110
Walgett (A)	2011	100
Warren (A)	2011	104
Warrumbungle Shire (A)	2011	120
Waverley (A)	2011	500
Weddin (A)	2011	105
Wentworth (A)	2011	150
Western Plains Regional (A)	2011	180
Willoughby (C)	2011	490
Wingecarribee (A)	2011	260
Wollondilly (A)	2011	270
Wollongong (C)	2011	250
Woollahra (A)	2011	550
Yass Valley (A)	2011	240
Unincorporated NSW	2011	61
No usual address (NSW)	2011	0
Migratory - Offshore - Shipping (NSW)	2011	0
Alpine (S)	2011	175
Ararat (RC)	2011	151
Ballarat (C)	2011	200
Banyule (C)	2011	300
Bass Coast (S)	2011	235
Baw Baw (S)	2011	200
Bayside (C)	2011	391
Benalla (RC)	2011	171
Boroondara (C)	2011	362
Brimbank (C)	2011	265
Buloke (S)	2011	100
Campaspe (S)	2011	170
Cardinia (S)	2011	280
Casey (C)	2011	293
Central Goldfields (S)	2011	155
Colac-Otway (S)	2011	175
Corangamite (S)	2011	135
Darebin (C)	2011	293
East Gippsland (S)	2011	180
Frankston (C)	2011	265
Gannawarra (S)	2011	125
Glen Eira (C)	2011	335
Glenelg (S)	2011	165
Golden Plains (S)	2011	200
Greater Bendigo (C)	2011	200
Greater Dandenong (C)	2011	250
Greater Geelong (C)	2011	230
Greater Shepparton (C)	2011	185
Hepburn (S)	2011	185
Hindmarsh (S)	2011	120
Hobsons Bay (C)	2011	280
Horsham (RC)	2011	165
Hume (C)	2011	280
Indigo (S)	2011	180
Kingston (C) (Vic.)	2011	300
Knox (C)	2011	300
Latrobe (C) (Vic.)	2011	160
Loddon (S)	2011	100
Macedon Ranges (S)	2011	240
Manningham (C)	2011	360
Mansfield (S)	2011	175
Maribyrnong (C)	2011	280
Maroondah (C)	2011	290
Melbourne (C)	2011	400
Melton (C)	2011	270
Mildura (RC)	2011	172
Mitchell (S)	2011	205
Moira (S)	2011	160
Monash (C)	2011	345
Moonee Valley (C)	2011	300
Moorabool (S)	2011	200
Moreland (C)	2011	310
Mornington Peninsula (S)	2011	260
Mount Alexander (S)	2011	190
Moyne (S)	2011	150
Murrindindi (S)	2011	170
Nillumbik (S)	2011	310
Northern Grampians (S)	2011	140
Port Phillip (C)	2011	365
Pyrenees (S)	2011	128
Queenscliffe (B)	2011	240
South Gippsland (S)	2011	180
Southern Grampians (S)	2011	150
Stonnington (C)	2011	360
Strathbogie (S)	2011	155
Surf Coast (S)	2011	290
Swan Hill (RC)	2011	155
Towong (S)	2011	130
Wangaratta (RC)	2011	175
Warrnambool (C)	2011	220
Wellington (S)	2011	170
West Wimmera (S)	2011	70
Whitehorse (C)	2011	321
Whittlesea (C)	2011	300
Wodonga (C)	2011	210
Wyndham (C)	2011	280
Yarra (C)	2011	370
Yarra Ranges (S)	2011	266
Yarriambiack (S)	2011	100
Unincorporated Vic	2011	1630
No usual address (Vic.)	2011	0
Migratory - Offshore - Shipping (Vic.)	2011	0
Aurukun (S)	2011	80
Balonne (S)	2011	114
Banana (S)	2011	150
Barcaldine (R)	2011	70
Barcoo (S)	2011	70
Blackall-Tambo (R)	2011	100
Boulia (S)	2011	52
Brisbane (C)	2011	350
Bulloo (S)	2011	100
Bundaberg (R)	2011	230
Burdekin (S)	2011	180
Burke (S)	2011	80
Cairns (R)	2011	260
Carpentaria (S)	2011	110
Cassowary Coast (R)	2011	200
Central Highlands (R) (Qld)	2011	120
Charters Towers (R)	2011	170
Cherbourg (S)	2011	75
Cloncurry (S)	2011	100
Cook (S)	2011	140
Croydon (S)	2011	89
Diamantina (S)	2011	100
Doomadgee (S)	2011	100
Douglas (S)	2011	250
Etheridge (S)	2011	70
Flinders (S) (Qld)	2011	80
Fraser Coast (R)	2011	235
Gladstone (R)	2011	300
Gold Coast (C)	2011	350
Goondiwindi (R)	2011	150
Gympie (R)	2011	220
Hinchinbrook (S)	2011	155
Hope Vale (S)	2011	90
Ipswich (C)	2011	280
Isaac (R)	2011	63
Kowanyama (S)	2011	45
Livingstone (S)	2011	275
Lockhart River (S)	2011	120
Lockyer Valley (R)	2011	250
Logan (C)	2011	300
Longreach (R)	2011	140
Mackay (R)	2011	315
McKinlay (S)	2011	12
Mapoon (S)	2011	53
Maranoa (R)	2011	150
Mareeba (S)	2011	170
Moreton Bay (R)	2011	300
Mornington (S)	2011	60
Mount Isa (C)	2011	250
Murweh (S)	2011	125
Napranum (S)	2011	88
Noosa (S)	2011	330
North Burnett (R)	2011	119
Northern Peninsula Area (R)	2011	60
Palm Island (S)	2011	100
Paroo (S)	2011	85
Pormpuraaw (S)	2011	75
Quilpie (S)	2011	80
Redland (C)	2011	350
Richmond (S)	2011	46
Rockhampton (R)	2011	240
Scenic Rim (R)	2011	250
Somerset (R)	2011	240
South Burnett (R)	2011	195
Southern Downs (R)	2011	195
Sunshine Coast (R)	2011	325
Tablelands (R)	2011	200
Toowoomba (R)	2011	230
Torres (S)	2011	120
Torres Strait Island (R)	2011	60
Townsville (C)	2011	290
Weipa (T)	2011	202
Western Downs (R)	2011	200
Whitsunday (R)	2011	268
Winton (S)	2011	75
Woorabinda (S)	2011	105
Wujal Wujal (S)	2011	78
Yarrabah (S)	2011	120
No usual address (Qld)	2011	0
Migratory - Offshore - Shipping (Qld)	2011	0
Adelaide (C)	2011	321
Adelaide Hills (DC)	2011	260
Alexandrina (DC)	2011	210
Anangu Pitjantjatjara (AC)	2011	20
Barossa (DC)	2011	210
Barunga West (DC)	2011	140
Berri and Barmera (DC)	2011	150
Burnside (C)	2011	290
Campbelltown (C) (SA)	2011	260
Ceduna (DC)	2011	135
Charles Sturt (C)	2011	236
Clare and Gilbert Valleys (DC)	2011	180
Cleve (DC)	2011	86
Coober Pedy (DC)	2011	110
Copper Coast (DC)	2011	185
Elliston (DC)	2011	80
Flinders Ranges (DC)	2011	131
Franklin Harbour (DC)	2011	164
Gawler (T)	2011	225
Goyder (DC)	2011	120
Grant (DC)	2011	140
Holdfast Bay (C)	2011	270
Kangaroo Island (DC)	2011	160
Karoonda East Murray (DC)	2011	87
Kimba (DC)	2011	80
Kingston (DC) (SA)	2011	130
Light (RegC)	2011	200
Lower Eyre Peninsula (DC)	2011	140
Loxton Waikerie (DC)	2011	135
Mallala (DC)	2011	200
Maralinga Tjarutja (AC)	2011	0
Marion (C)	2011	240
Mid Murray (DC)	2011	140
Mitcham (C)	2011	265
Mount Barker (DC)	2011	265
Mount Gambier (C)	2011	160
Mount Remarkable (DC)	2011	100
Murray Bridge (RC)	2011	180
Naracoorte and Lucindale (DC)	2011	151
Northern Areas (DC)	2011	125
Norwood Payneham St Peters (C)	2011	260
Onkaparinga (C)	2011	250
Orroroo/Carrieton (DC)	2011	100
Peterborough (DC)	2011	125
Playford (C)	2011	200
Port Adelaide Enfield (C)	2011	220
Port Augusta (C)	2011	150
Port Lincoln (C)	2011	180
Port Pirie City and Dists (M)	2011	150
Prospect (C)	2011	260
Renmark Paringa (DC)	2011	150
Robe (DC)	2011	166
Roxby Downs (M)	2011	196
Salisbury (C)	2011	240
Southern Mallee (DC)	2011	95
Streaky Bay (DC)	2011	141
Tatiara (DC)	2011	135
Tea Tree Gully (C)	2011	260
The Coorong (DC)	2011	100
Tumby Bay (DC)	2011	142
Unley (C)	2011	280
Victor Harbor (C)	2011	213
Wakefield (DC)	2011	150
Walkerville (M)	2011	270
Wattle Range (DC)	2011	130
West Torrens (C)	2011	245
Whyalla (C)	2011	150
Wudinna (DC)	2011	88
Yankalilla (DC)	2011	190
Yorke Peninsula (DC)	2011	138
Unincorporated SA	2011	47
No usual address (SA)	2011	0
Migratory - Offshore - Shipping (SA)	2011	0
