LGA_NAME16	Year	Sex	SpeaksEnglishOnly	persons
Bathurst Regional (A)	2011	M	0	634
Bathurst Regional (A)	2011	M	1	17151
Bathurst Regional (A)	2016	F	0	839
Bathurst Regional (A)	2016	F	1	18308
Bathurst Regional (A)	2016	M	0	853
Bathurst Regional (A)	2016	M	1	17597
Bega Valley (A)	2006	F	0	438
Bega Valley (A)	2006	F	1	14770
Bega Valley (A)	2006	M	0	379
Bega Valley (A)	2006	M	1	14351
Bega Valley (A)	2011	F	0	491
Bega Valley (A)	2011	F	1	15136
Bega Valley (A)	2011	M	0	424
Bega Valley (A)	2011	M	1	14607
Bega Valley (A)	2016	F	0	560
Bega Valley (A)	2016	F	1	15172
Bega Valley (A)	2016	M	0	445
Bega Valley (A)	2016	M	1	14594
Bellingen (A)	2006	F	0	167
Bellingen (A)	2006	F	1	5986
Bellingen (A)	2006	M	0	124
Bellingen (A)	2006	M	1	5671
Bellingen (A)	2011	F	0	211
Bellingen (A)	2011	F	1	6073
Bellingen (A)	2011	M	0	180
Bellingen (A)	2011	M	1	5703
Bellingen (A)	2016	F	0	223
Bellingen (A)	2016	F	1	5904
Bellingen (A)	2016	M	0	179
Bellingen (A)	2016	M	1	5548
Berrigan (A)	2006	F	0	81
Berrigan (A)	2006	F	1	3803
Berrigan (A)	2006	M	0	70
Berrigan (A)	2006	M	1	3824
Berrigan (A)	2011	F	0	88
Berrigan (A)	2011	F	1	3803
Berrigan (A)	2011	M	0	93
Berrigan (A)	2011	M	1	3730
Berrigan (A)	2016	F	0	135
Berrigan (A)	2016	F	1	3690
Berrigan (A)	2016	M	0	126
Berrigan (A)	2016	M	1	3685
Blacktown (C)	2006	F	0	45243
Blacktown (C)	2006	F	1	84796
Blacktown (C)	2006	M	0	42802
Blacktown (C)	2006	M	1	84021
Blacktown (C)	2011	F	0	56963
Blacktown (C)	2011	F	1	88807
Blacktown (C)	2011	M	0	54224
Blacktown (C)	2011	M	1	88259
Blacktown (C)	2016	F	0	70635
Blacktown (C)	2016	F	1	90305
Blacktown (C)	2016	M	0	67664
Blacktown (C)	2016	M	1	90618
Bland (A)	2006	F	0	26
Bland (A)	2006	F	1	2959
Bland (A)	2006	M	0	39
Bland (A)	2006	M	1	2919
Bland (A)	2011	F	0	36
Bland (A)	2011	F	1	2843
Bland (A)	2011	M	0	37
Bland (A)	2011	M	1	2792
Bland (A)	2016	F	0	76
Bland (A)	2016	F	1	2550
Bland (A)	2016	M	0	58
Bland (A)	2016	M	1	2562
Blayney (A)	2006	F	0	49
Blayney (A)	2006	F	1	3178
Blayney (A)	2006	M	0	49
Blayney (A)	2006	M	1	3172
Blayney (A)	2011	F	0	63
Blayney (A)	2011	F	1	3293
Blayney (A)	2011	M	0	61
Blayney (A)	2011	M	1	3257
Blayney (A)	2016	F	0	58
Blayney (A)	2016	F	1	3351
Blayney (A)	2016	M	0	53
Blayney (A)	2016	M	1	3299
Blue Mountains (C)	2006	F	0	1869
Blue Mountains (C)	2006	F	1	34807
Blue Mountains (C)	2006	M	0	1694
Blue Mountains (C)	2006	M	1	32772
Blue Mountains (C)	2011	F	0	2131
Blue Mountains (C)	2011	F	1	35421
Blue Mountains (C)	2011	M	0	1728
Blue Mountains (C)	2011	M	1	33180
Blue Mountains (C)	2016	F	0	2539
Blue Mountains (C)	2016	F	1	35456
Blue Mountains (C)	2016	M	0	2164
Blue Mountains (C)	2016	M	1	33240
Bogan (A)	2006	F	0	16
Bogan (A)	2006	F	1	1347
Bogan (A)	2006	M	0	9
Bogan (A)	2006	M	1	1465
Bogan (A)	2011	F	0	23
Bogan (A)	2011	F	1	1308
Bogan (A)	2011	M	0	34
Bogan (A)	2011	M	1	1345
Bogan (A)	2016	F	0	32
Bogan (A)	2016	F	1	1168
Bogan (A)	2016	M	0	35
Bogan (A)	2016	M	1	1166
Botany Bay (C)	2006	F	0	8097
Botany Bay (C)	2006	F	1	9011
Botany Bay (C)	2006	M	0	7601
Botany Bay (C)	2006	M	1	9035
Botany Bay (C)	2011	F	0	9008
Botany Bay (C)	2011	F	1	9768
Botany Bay (C)	2011	M	0	8350
Botany Bay (C)	2011	M	1	10008
Botany Bay (C)	2016	F	0	10825
Botany Bay (C)	2016	F	1	11159
Botany Bay (C)	2016	M	0	9962
Botany Bay (C)	2016	M	1	11780
Bourke (A)	2006	F	0	27
Bourke (A)	2006	F	1	1392
Bourke (A)	2006	M	0	28
Bourke (A)	2006	M	1	1442
Bourke (A)	2011	F	0	30
Bourke (A)	2011	F	1	1194
Bourke (A)	2011	M	0	18
Bourke (A)	2011	M	1	1218
Bourke (A)	2016	F	0	37
Bourke (A)	2016	F	1	1045
Bourke (A)	2016	M	0	25
Bourke (A)	2016	M	1	1005
Brewarrina (A)	2006	F	0	4
Brewarrina (A)	2006	F	1	882
Brewarrina (A)	2006	M	0	11
Brewarrina (A)	2006	M	1	862
Brewarrina (A)	2011	F	0	20
Brewarrina (A)	2011	F	1	816
Brewarrina (A)	2011	M	0	17
Brewarrina (A)	2011	M	1	809
Brewarrina (A)	2016	F	0	40
Brewarrina (A)	2016	F	1	698
Brewarrina (A)	2016	M	0	26
Brewarrina (A)	2016	M	1	715
Broken Hill (C)	2006	F	0	211
Broken Hill (C)	2006	F	1	9098
Broken Hill (C)	2006	M	0	158
Broken Hill (C)	2006	M	1	8631
Broken Hill (C)	2011	F	0	205
Broken Hill (C)	2011	F	1	8701
Broken Hill (C)	2011	M	0	209
Broken Hill (C)	2011	M	1	8218
Broken Hill (C)	2016	F	0	234
Broken Hill (C)	2016	F	1	8047
Broken Hill (C)	2016	M	0	215
Broken Hill (C)	2016	M	1	7659
Burwood (A)	2006	F	0	8947
Burwood (A)	2006	F	1	5801
Burwood (A)	2006	M	0	8287
Burwood (A)	2006	M	1	5696
Burwood (A)	2011	F	0	9957
Burwood (A)	2011	F	1	5843
Burwood (A)	2011	M	0	9226
Burwood (A)	2011	M	1	5760
Burwood (A)	2016	F	0	12382
Burwood (A)	2016	F	1	5704
Burwood (A)	2016	M	0	11041
Burwood (A)	2016	M	1	5855
Byron (A)	2006	F	0	797
Byron (A)	2006	F	1	12773
Byron (A)	2006	M	0	706
Byron (A)	2006	M	1	12257
Byron (A)	2011	F	0	990
Byron (A)	2011	F	1	13205
Byron (A)	2011	M	0	857
Byron (A)	2011	M	1	12577
Byron (A)	2016	F	0	1165
Byron (A)	2016	F	1	13235
Byron (A)	2016	M	0	970
Byron (A)	2016	M	1	12316
Cabonne (A)	2006	F	0	99
Cabonne (A)	2006	F	1	5903
Cabonne (A)	2006	M	0	89
Cabonne (A)	2006	M	1	5940
Cabonne (A)	2011	F	0	124
Cabonne (A)	2011	F	1	6111
Cabonne (A)	2011	M	0	101
Cabonne (A)	2011	M	1	6147
Cabonne (A)	2016	F	0	158
Cabonne (A)	2016	F	1	6098
Cabonne (A)	2016	M	0	113
Cabonne (A)	2016	M	1	6104
Camden (A)	2006	F	0	2316
Camden (A)	2006	F	1	22092
Camden (A)	2006	M	0	2222
Camden (A)	2006	M	1	21265
Camden (A)	2011	F	0	2966
Camden (A)	2011	F	1	24953
Camden (A)	2011	M	0	2832
Camden (A)	2011	M	1	24021
Camden (A)	2016	F	0	5877
Camden (A)	2016	F	1	32244
Camden (A)	2016	M	0	5395
Camden (A)	2016	M	1	31229
Campbelltown (C) (NSW)	2006	F	0	16262
Campbelltown (C) (NSW)	2006	F	1	52336
Campbelltown (C) (NSW)	2006	M	0	15273
Campbelltown (C) (NSW)	2006	M	1	50962
Campbelltown (C) (NSW)	2011	F	0	19056
Campbelltown (C) (NSW)	2011	F	1	51853
Campbelltown (C) (NSW)	2011	M	0	17722
Campbelltown (C) (NSW)	2011	M	1	50010
Campbelltown (C) (NSW)	2016	F	0	24614
Campbelltown (C) (NSW)	2016	F	1	50658
Campbelltown (C) (NSW)	2016	M	0	23101
Campbelltown (C) (NSW)	2016	M	1	49505
Canada Bay (A)	2006	F	0	10803
Canada Bay (A)	2006	F	1	21090
Canada Bay (A)	2006	M	0	9765
Canada Bay (A)	2006	M	1	19491
Canada Bay (A)	2011	F	0	14347
Canada Bay (A)	2011	F	1	22571
Canada Bay (A)	2011	M	0	12770
Canada Bay (A)	2011	M	1	21617
Canada Bay (A)	2016	F	0	19129
Canada Bay (A)	2016	F	1	23959
Canada Bay (A)	2016	M	0	16830
Canada Bay (A)	2016	M	1	23080
Canterbury-Bankstown (A)	2006	F	0	84736
Canterbury-Bankstown (A)	2006	F	1	57549
Canterbury-Bankstown (A)	2006	M	0	82668
Canterbury-Bankstown (A)	2006	M	1	55747
Canterbury-Bankstown (A)	2011	F	0	95226
Canterbury-Bankstown (A)	2011	F	1	56957
Canterbury-Bankstown (A)	2011	M	0	92362
Canterbury-Bankstown (A)	2011	M	1	56273
Canterbury-Bankstown (A)	2016	F	0	105668
Canterbury-Bankstown (A)	2016	F	1	58494
Canterbury-Bankstown (A)	2016	M	0	102656
Canterbury-Bankstown (A)	2016	M	1	59442
Carrathool (A)	2006	F	0	39
Carrathool (A)	2006	F	1	1203
Carrathool (A)	2006	M	0	52
Carrathool (A)	2006	M	1	1352
Carrathool (A)	2011	F	0	41
Carrathool (A)	2011	F	1	1138
Carrathool (A)	2011	M	0	53
Carrathool (A)	2011	M	1	1265
Carrathool (A)	2016	F	0	81
Carrathool (A)	2016	F	1	1118
Carrathool (A)	2016	M	0	85
Carrathool (A)	2016	M	1	1216
Central Coast (C) (NSW)	2006	F	0	6141
Central Coast (C) (NSW)	2006	F	1	139602
Central Coast (C) (NSW)	2006	M	0	5453
Central Coast (C) (NSW)	2006	M	1	130500
Central Coast (C) (NSW)	2011	F	0	7894
Central Coast (C) (NSW)	2011	F	1	146642
Central Coast (C) (NSW)	2011	M	0	6698
Central Coast (C) (NSW)	2011	M	1	136979
Central Coast (C) (NSW)	2016	F	0	10407
Central Coast (C) (NSW)	2016	F	1	148827
Central Coast (C) (NSW)	2016	M	0	8810
Central Coast (C) (NSW)	2016	M	1	140949
Central Darling (A)	2006	F	0	19
Central Darling (A)	2006	F	1	821
Central Darling (A)	2006	M	0	20
Central Darling (A)	2006	M	1	936
Central Darling (A)	2011	F	0	28
Central Darling (A)	2011	F	1	870
Central Darling (A)	2011	M	0	30
Central Darling (A)	2011	M	1	921
Central Darling (A)	2016	F	0	23
Central Darling (A)	2016	F	1	710
Central Darling (A)	2016	M	0	31
Central Darling (A)	2016	M	1	774
Cessnock (C)	2006	F	0	390
Cessnock (C)	2006	F	1	22124
Cessnock (C)	2006	M	0	338
Cessnock (C)	2006	M	1	21195
Cessnock (C)	2011	F	0	466
Cessnock (C)	2011	F	1	24014
Cessnock (C)	2011	M	0	419
Cessnock (C)	2011	M	1	23264
Cessnock (C)	2016	F	0	568
Cessnock (C)	2016	F	1	25398
Cessnock (C)	2016	M	0	488
Cessnock (C)	2016	M	1	24446
Clarence Valley (A)	2006	F	0	386
Clarence Valley (A)	2006	F	1	23071
Clarence Valley (A)	2006	M	0	344
Clarence Valley (A)	2006	M	1	22404
Clarence Valley (A)	2011	F	0	488
Clarence Valley (A)	2011	F	1	23758
Clarence Valley (A)	2011	M	0	438
Clarence Valley (A)	2011	M	1	22907
Clarence Valley (A)	2016	F	0	603
Clarence Valley (A)	2016	F	1	23150
Clarence Valley (A)	2016	M	0	481
Clarence Valley (A)	2016	M	1	22600
Cobar (A)	2006	F	0	57
Cobar (A)	2006	F	1	2153
Cobar (A)	2006	M	0	55
Cobar (A)	2006	M	1	2301
Cobar (A)	2011	F	0	77
Cobar (A)	2011	F	1	2025
Cobar (A)	2011	M	0	71
Cobar (A)	2011	M	1	2196
Cobar (A)	2016	F	0	105
Cobar (A)	2016	F	1	1894
Cobar (A)	2016	M	0	83
Cobar (A)	2016	M	1	2014
Coffs Harbour (C)	2006	F	0	1466
Coffs Harbour (C)	2006	F	1	30602
Coffs Harbour (C)	2006	M	0	1301
Coffs Harbour (C)	2006	M	1	28911
Coffs Harbour (C)	2011	F	0	2088
Coffs Harbour (C)	2011	F	1	31781
Coffs Harbour (C)	2011	M	0	1807
Coffs Harbour (C)	2011	M	1	29985
Coffs Harbour (C)	2016	F	0	2898
Coffs Harbour (C)	2016	F	1	32028
Coffs Harbour (C)	2016	M	0	2561
Coffs Harbour (C)	2016	M	1	30227
Coolamon (A)	2006	F	0	28
Coolamon (A)	2006	F	1	1960
Coolamon (A)	2006	M	0	23
Coolamon (A)	2006	M	1	1917
Coolamon (A)	2011	F	0	28
Coolamon (A)	2011	F	1	1982
Coolamon (A)	2011	M	0	22
Coolamon (A)	2011	M	1	1894
Coolamon (A)	2016	F	0	25
Coolamon (A)	2016	F	1	1909
Coolamon (A)	2016	M	0	31
Coolamon (A)	2016	M	1	1911
Coonamble (A)	2006	F	0	22
Coonamble (A)	2006	F	1	2016
Coonamble (A)	2006	M	0	22
Coonamble (A)	2006	M	1	2012
Coonamble (A)	2011	F	0	27
Coonamble (A)	2011	F	1	1876
Coonamble (A)	2011	M	0	17
Coonamble (A)	2011	M	1	1902
Coonamble (A)	2016	F	0	26
Coonamble (A)	2016	F	1	1647
Coonamble (A)	2016	M	0	24
Coonamble (A)	2016	M	1	1619
Cowra (A)	2006	F	0	108
Cowra (A)	2006	F	1	5987
Cowra (A)	2006	M	0	127
Cowra (A)	2006	M	1	5874
Cowra (A)	2011	F	0	126
Cowra (A)	2011	F	1	5623
Cowra (A)	2011	M	0	144
Cowra (A)	2011	M	1	5538
Cowra (A)	2016	F	0	173
Cowra (A)	2016	F	1	5590
Cowra (A)	2016	M	0	151
Cowra (A)	2016	M	1	5499
Cumberland (A)	2006	F	0	48954
Cumberland (A)	2006	F	1	32176
Cumberland (A)	2006	M	0	49106
Cumberland (A)	2006	M	1	31415
Cumberland (A)	2011	F	0	59386
Cumberland (A)	2011	F	1	31088
Cumberland (A)	2011	M	0	59202
Cumberland (A)	2011	M	1	31134
Cumberland (A)	2016	F	0	68644
Cumberland (A)	2016	F	1	30561
Cumberland (A)	2016	M	0	73163
Cumberland (A)	2016	M	1	31839
Dungog (A)	2006	F	0	41
Dungog (A)	2006	F	1	3787
Dungog (A)	2006	M	0	31
Dungog (A)	2006	M	1	3810
Dungog (A)	2011	F	0	53
Dungog (A)	2011	F	1	3925
Dungog (A)	2011	M	0	42
Dungog (A)	2011	M	1	3977
Dungog (A)	2016	F	0	38
Dungog (A)	2016	F	1	4140
Dungog (A)	2016	M	0	42
Dungog (A)	2016	M	1	4143
Edward River (A)	2006	F	0	99
Edward River (A)	2006	F	1	4314
Edward River (A)	2006	M	0	86
Edward River (A)	2006	M	1	4224
Edward River (A)	2011	F	0	93
Edward River (A)	2011	F	1	4096
Edward River (A)	2011	M	0	95
Edward River (A)	2011	M	1	3945
Edward River (A)	2016	F	0	143
Edward River (A)	2016	F	1	3933
Edward River (A)	2016	M	0	147
Edward River (A)	2016	M	1	3783
Eurobodalla (A)	2006	F	0	668
Eurobodalla (A)	2006	F	1	16511
Eurobodalla (A)	2006	M	0	619
Eurobodalla (A)	2006	M	1	15832
Eurobodalla (A)	2011	F	0	690
Eurobodalla (A)	2011	F	1	16596
Eurobodalla (A)	2011	M	0	614
Eurobodalla (A)	2011	M	1	15997
Eurobodalla (A)	2016	F	0	734
Eurobodalla (A)	2016	F	1	16849
Eurobodalla (A)	2016	M	0	662
Eurobodalla (A)	2016	M	1	16200
Fairfield (C)	2006	F	0	62103
Fairfield (C)	2006	F	1	24302
Fairfield (C)	2006	M	0	58791
Fairfield (C)	2006	M	1	25188
Fairfield (C)	2011	F	0	67738
Fairfield (C)	2011	F	1	23629
Fairfield (C)	2011	M	0	63423
Fairfield (C)	2011	M	1	24996
Fairfield (C)	2016	F	0	72872
Fairfield (C)	2016	F	1	23650
Fairfield (C)	2016	M	0	67842
Fairfield (C)	2016	M	1	25698
Federation (A)	2006	F	0	102
Federation (A)	2006	F	1	5768
Federation (A)	2006	M	0	90
Federation (A)	2006	M	1	5833
Federation (A)	2011	F	0	111
Federation (A)	2011	F	1	5734
Federation (A)	2011	M	0	86
Federation (A)	2011	M	1	5767
Federation (A)	2016	F	0	125
Federation (A)	2016	F	1	5543
Federation (A)	2016	M	0	120
Federation (A)	2016	M	1	5497
Forbes (A)	2006	F	0	77
Forbes (A)	2006	F	1	4467
Forbes (A)	2006	M	0	63
Forbes (A)	2006	M	1	4383
Forbes (A)	2011	F	0	78
Forbes (A)	2011	F	1	4400
Forbes (A)	2011	M	0	59
Forbes (A)	2011	M	1	4327
Forbes (A)	2016	F	0	107
Forbes (A)	2016	F	1	4258
Forbes (A)	2016	M	0	92
Forbes (A)	2016	M	1	4280
Georges River (A)	2006	F	0	28428
Georges River (A)	2006	F	1	33388
Georges River (A)	2006	M	0	26169
Georges River (A)	2006	M	1	31765
Georges River (A)	2011	F	0	34567
Georges River (A)	2011	F	1	32156
Georges River (A)	2011	M	0	31830
Georges River (A)	2011	M	1	31041
Georges River (A)	2016	F	0	40887
Georges River (A)	2016	F	1	31125
Georges River (A)	2016	M	0	37739
Georges River (A)	2016	M	1	31034
Gilgandra (A)	2006	F	0	21
Gilgandra (A)	2006	F	1	2199
Gilgandra (A)	2006	M	0	22
Gilgandra (A)	2006	M	1	2086
Gilgandra (A)	2011	F	0	40
Gilgandra (A)	2011	F	1	2104
Gilgandra (A)	2011	M	0	29
Gilgandra (A)	2011	M	1	1942
Gilgandra (A)	2016	F	0	40
Gilgandra (A)	2016	F	1	1933
Gilgandra (A)	2016	M	0	46
Gilgandra (A)	2016	M	1	1880
Glen Innes Severn (A)	2006	F	0	57
Glen Innes Severn (A)	2006	F	1	4208
Glen Innes Severn (A)	2006	M	0	53
Glen Innes Severn (A)	2006	M	1	3988
Glen Innes Severn (A)	2011	F	0	74
Glen Innes Severn (A)	2011	F	1	4131
Glen Innes Severn (A)	2011	M	0	69
Glen Innes Severn (A)	2011	M	1	3917
Glen Innes Severn (A)	2016	F	0	102
Glen Innes Severn (A)	2016	F	1	3918
Glen Innes Severn (A)	2016	M	0	84
Glen Innes Severn (A)	2016	M	1	3722
Goulburn Mulwaree (A)	2006	F	0	337
Goulburn Mulwaree (A)	2006	F	1	11990
Goulburn Mulwaree (A)	2006	M	0	385
Goulburn Mulwaree (A)	2006	M	1	11710
Goulburn Mulwaree (A)	2011	F	0	435
Goulburn Mulwaree (A)	2011	F	1	12609
Goulburn Mulwaree (A)	2011	M	0	480
Goulburn Mulwaree (A)	2011	M	1	12282
Goulburn Mulwaree (A)	2016	F	0	709
Goulburn Mulwaree (A)	2016	F	1	12978
Goulburn Mulwaree (A)	2016	M	0	696
Goulburn Mulwaree (A)	2016	M	1	12764
Greater Hume Shire (A)	2006	F	0	58
Greater Hume Shire (A)	2006	F	1	4597
Greater Hume Shire (A)	2006	M	0	51
Greater Hume Shire (A)	2006	M	1	4730
Greater Hume Shire (A)	2011	F	0	96
Greater Hume Shire (A)	2011	F	1	4563
Greater Hume Shire (A)	2011	M	0	73
Greater Hume Shire (A)	2011	M	1	4667
Greater Hume Shire (A)	2016	F	0	108
Greater Hume Shire (A)	2016	F	1	4729
Greater Hume Shire (A)	2016	M	0	101
Greater Hume Shire (A)	2016	M	1	4769
Griffith (C)	2006	F	0	2267
Griffith (C)	2006	F	1	9009
Griffith (C)	2006	M	0	2350
Griffith (C)	2006	M	1	8851
Griffith (C)	2011	F	0	2511
Griffith (C)	2011	F	1	8969
Griffith (C)	2011	M	0	2512
Griffith (C)	2011	M	1	8932
Griffith (C)	2016	F	0	2651
Griffith (C)	2016	F	1	8980
Griffith (C)	2016	M	0	2700
Griffith (C)	2016	M	1	8883
Gundagai (A)	2006	F	0	71
Gundagai (A)	2006	F	1	5420
Gundagai (A)	2006	M	0	50
Gundagai (A)	2006	M	1	5160
Gundagai (A)	2011	F	0	89
Gundagai (A)	2011	F	1	5283
Gundagai (A)	2011	M	0	70
Gundagai (A)	2011	M	1	5100
Gundagai (A)	2016	F	0	116
Gundagai (A)	2016	F	1	5145
Gundagai (A)	2016	M	0	108
Gundagai (A)	2016	M	1	5009
Gunnedah (A)	2006	F	0	75
Gunnedah (A)	2006	F	1	5524
Gunnedah (A)	2006	M	0	46
Gunnedah (A)	2006	M	1	5465
Gunnedah (A)	2011	F	0	89
Gunnedah (A)	2011	F	1	5605
Gunnedah (A)	2011	M	0	87
Gunnedah (A)	2011	M	1	5597
Gunnedah (A)	2016	F	0	147
Gunnedah (A)	2016	F	1	5496
Gunnedah (A)	2016	M	0	124
Gunnedah (A)	2016	M	1	5501
Gwydir (A)	2006	F	0	16
Gwydir (A)	2006	F	1	2520
Gwydir (A)	2006	M	0	23
Gwydir (A)	2006	M	1	2592
Gwydir (A)	2011	F	0	28
Gwydir (A)	2011	F	1	2369
Gwydir (A)	2011	M	0	23
Gwydir (A)	2011	M	1	2438
Gwydir (A)	2016	F	0	28
Gwydir (A)	2016	F	1	2327
Gwydir (A)	2016	M	0	35
Gwydir (A)	2016	M	1	2352
Hawkesbury (C)	2006	F	0	1503
Hawkesbury (C)	2006	F	1	27455
Hawkesbury (C)	2006	M	0	1419
Hawkesbury (C)	2006	M	1	27095
Hawkesbury (C)	2011	F	0	1685
Hawkesbury (C)	2011	F	1	28328
Hawkesbury (C)	2011	M	0	1597
Hawkesbury (C)	2011	M	1	28013
Hawkesbury (C)	2016	F	0	2008
Hawkesbury (C)	2016	F	1	28772
Hawkesbury (C)	2016	M	0	1846
Hawkesbury (C)	2016	M	1	28235
Hay (A)	2006	F	0	36
Hay (A)	2006	F	1	1589
Hay (A)	2006	M	0	30
Hay (A)	2006	M	1	1618
Hay (A)	2011	F	0	46
Hay (A)	2011	F	1	1381
Hay (A)	2011	M	0	46
Hay (A)	2011	M	1	1373
Hay (A)	2016	F	0	55
Hay (A)	2016	F	1	1236
Hay (A)	2016	M	0	56
Hay (A)	2016	M	1	1244
Hilltops (A)	2006	F	0	211
Hilltops (A)	2006	F	1	8597
Hilltops (A)	2006	M	0	225
Hilltops (A)	2006	M	1	8350
Hilltops (A)	2011	F	0	225
Hilltops (A)	2011	F	1	8635
Hilltops (A)	2011	M	0	232
Hilltops (A)	2011	M	1	8306
Hilltops (A)	2016	F	0	313
Hilltops (A)	2016	F	1	8473
Hilltops (A)	2016	M	0	321
Hilltops (A)	2016	M	1	8150
Hornsby (A)	2006	F	0	15120
Hornsby (A)	2006	F	1	50857
Hornsby (A)	2006	M	0	13610
Hornsby (A)	2006	M	1	48358
Hornsby (A)	2011	F	0	18590
Hornsby (A)	2011	F	1	49997
Hornsby (A)	2011	M	0	16812
Hornsby (A)	2011	M	1	48170
Hornsby (A)	2016	F	0	23425
Hornsby (A)	2016	F	1	46905
Hornsby (A)	2016	M	0	20952
Hornsby (A)	2016	M	1	46258
Hunters Hill (A)	2006	F	0	1210
Hunters Hill (A)	2006	F	1	5012
Hunters Hill (A)	2006	M	0	1039
Hunters Hill (A)	2006	M	1	5169
Hunters Hill (A)	2011	F	0	1314
Hunters Hill (A)	2011	F	1	5147
Hunters Hill (A)	2011	M	0	1089
Hunters Hill (A)	2011	M	1	5191
Hunters Hill (A)	2016	F	0	1485
Hunters Hill (A)	2016	F	1	5160
Hunters Hill (A)	2016	M	0	1236
Hunters Hill (A)	2016	M	1	5370
Inner West (A)	2006	F	0	24444
Inner West (A)	2006	F	1	51354
Inner West (A)	2006	M	0	23013
Inner West (A)	2006	M	1	48103
Inner West (A)	2011	F	0	25971
Inner West (A)	2011	F	1	56391
Inner West (A)	2011	M	0	23738
Inner West (A)	2011	M	1	53112
Inner West (A)	2016	F	0	27312
Inner West (A)	2016	F	1	59576
Inner West (A)	2016	M	0	24401
Inner West (A)	2016	M	1	57710
Inverell (A)	2006	F	0	108
Inverell (A)	2006	F	1	7478
Inverell (A)	2006	M	0	108
Inverell (A)	2006	M	1	7278
Inverell (A)	2011	F	0	182
Inverell (A)	2011	F	1	7769
Inverell (A)	2011	M	0	173
Inverell (A)	2011	M	1	7431
Inverell (A)	2016	F	0	278
Inverell (A)	2016	F	1	7479
Inverell (A)	2016	M	0	241
Inverell (A)	2016	M	1	7177
Junee (A)	2006	F	0	23
Junee (A)	2006	F	1	2363
Junee (A)	2006	M	0	40
Junee (A)	2006	M	1	2408
Junee (A)	2011	F	0	33
Junee (A)	2011	F	1	2405
Junee (A)	2011	M	0	31
Junee (A)	2011	M	1	2432
Junee (A)	2016	F	0	77
Junee (A)	2016	F	1	2398
Junee (A)	2016	M	0	116
Junee (A)	2016	M	1	2359
Kempsey (A)	2006	F	0	232
Kempsey (A)	2006	F	1	12732
Kempsey (A)	2006	M	0	207
Kempsey (A)	2006	M	1	12550
Kempsey (A)	2011	F	0	298
Kempsey (A)	2011	F	1	13054
Kempsey (A)	2011	M	0	239
Kempsey (A)	2011	M	1	12794
Kempsey (A)	2016	F	0	366
Kempsey (A)	2016	F	1	12766
Kempsey (A)	2016	M	0	283
Kempsey (A)	2016	M	1	12489
Kiama (A)	2006	F	0	334
Kiama (A)	2006	F	1	9033
Kiama (A)	2006	M	0	287
Kiama (A)	2006	M	1	8707
Kiama (A)	2011	F	0	412
Kiama (A)	2011	F	1	9520
Kiama (A)	2011	M	0	334
Kiama (A)	2011	M	1	9141
Kiama (A)	2016	F	0	496
Kiama (A)	2016	F	1	9753
Kiama (A)	2016	M	0	435
Kiama (A)	2016	M	1	9455
Ku-ring-gai (A)	2006	F	0	9340
Ku-ring-gai (A)	2006	F	1	41748
Ku-ring-gai (A)	2006	M	0	8052
Ku-ring-gai (A)	2006	M	1	38869
Ku-ring-gai (A)	2011	F	0	12428
Ku-ring-gai (A)	2011	F	1	42678
Ku-ring-gai (A)	2011	M	0	10543
Ku-ring-gai (A)	2011	M	1	39925
