LGA_NAME16	Year	Occupation	Sex	workers
Ballina (A)	2006	Labourers	F	635
Ballina (A)	2006	Labourers	M	1236
Ballina (A)	2006	Machinery operators and drivers	F	56
Ballina (A)	2006	Machinery operators and drivers	M	672
Ballina (A)	2006	Managers	F	835
Ballina (A)	2006	Managers	M	1471
Ballina (A)	2006	Professionals	F	1739
Ballina (A)	2006	Professionals	M	1386
Ballina (A)	2006	Sales workers	F	1202
Ballina (A)	2006	Sales workers	M	706
Ballina (A)	2006	Technicians and trades workers	F	363
Ballina (A)	2006	Technicians and trades workers	M	1996
Ballina (A)	2011		F	91
Ballina (A)	2011		M	123
Ballina (A)	2011	Clerical and administrative workers	F	1764
Ballina (A)	2011	Clerical and administrative workers	M	346
Ballina (A)	2011	Community and personal service workers	F	1405
Ballina (A)	2011	Community and personal service workers	M	484
Ballina (A)	2011	Labourers	F	579
Ballina (A)	2011	Labourers	M	1166
Ballina (A)	2011	Machinery operators and drivers	F	64
Ballina (A)	2011	Machinery operators and drivers	M	739
Ballina (A)	2011	Managers	F	808
Ballina (A)	2011	Managers	M	1477
Ballina (A)	2011	Professionals	F	1946
Ballina (A)	2011	Professionals	M	1449
Ballina (A)	2011	Sales workers	F	1171
Ballina (A)	2011	Sales workers	M	689
Ballina (A)	2011	Technicians and trades workers	F	377
Ballina (A)	2011	Technicians and trades workers	M	1918
Ballina (A)	2016		F	135
Ballina (A)	2016		M	150
Ballina (A)	2016	Clerical and administrative workers	F	1667
Ballina (A)	2016	Clerical and administrative workers	M	370
Ballina (A)	2016	Community and personal service workers	F	1511
Ballina (A)	2016	Community and personal service workers	M	587
Ballina (A)	2016	Labourers	F	626
Ballina (A)	2016	Labourers	M	1202
Ballina (A)	2016	Machinery operators and drivers	F	65
Ballina (A)	2016	Machinery operators and drivers	M	726
Ballina (A)	2016	Managers	F	837
Ballina (A)	2016	Managers	M	1459
Ballina (A)	2016	Professionals	F	2292
Ballina (A)	2016	Professionals	M	1602
Ballina (A)	2016	Sales workers	F	1167
Ballina (A)	2016	Sales workers	M	687
Ballina (A)	2016	Technicians and trades workers	F	407
Ballina (A)	2016	Technicians and trades workers	M	1985
Balranald (A)	2006		F	17
Balranald (A)	2006		M	25
Balranald (A)	2006	Clerical and administrative workers	F	84
Balranald (A)	2006	Clerical and administrative workers	M	9
Balranald (A)	2006	Community and personal service workers	F	81
Balranald (A)	2006	Community and personal service workers	M	18
Balranald (A)	2006	Labourers	F	68
Balranald (A)	2006	Labourers	M	120
Balranald (A)	2006	Machinery operators and drivers	F	12
Balranald (A)	2006	Machinery operators and drivers	M	110
Balranald (A)	2006	Managers	F	100
Balranald (A)	2006	Managers	M	210
Balranald (A)	2006	Professionals	F	68
Balranald (A)	2006	Professionals	M	37
Balranald (A)	2006	Sales workers	F	35
Balranald (A)	2006	Sales workers	M	18
Balranald (A)	2006	Technicians and trades workers	F	25
Balranald (A)	2006	Technicians and trades workers	M	101
Balranald (A)	2011		F	7
Balranald (A)	2011		M	15
Balranald (A)	2011	Clerical and administrative workers	F	88
Balranald (A)	2011	Clerical and administrative workers	M	19
Balranald (A)	2011	Community and personal service workers	F	79
Balranald (A)	2011	Community and personal service workers	M	21
Balranald (A)	2011	Labourers	F	62
Balranald (A)	2011	Labourers	M	118
Balranald (A)	2011	Machinery operators and drivers	F	6
Balranald (A)	2011	Machinery operators and drivers	M	90
Balranald (A)	2011	Managers	F	93
Balranald (A)	2011	Managers	M	197
Balranald (A)	2011	Professionals	F	50
Balranald (A)	2011	Professionals	M	27
Balranald (A)	2011	Sales workers	F	34
Balranald (A)	2011	Sales workers	M	20
Balranald (A)	2011	Technicians and trades workers	F	16
Balranald (A)	2011	Technicians and trades workers	M	86
Balranald (A)	2016		F	11
Balranald (A)	2016		M	14
Balranald (A)	2016	Clerical and administrative workers	F	91
Balranald (A)	2016	Clerical and administrative workers	M	15
Balranald (A)	2016	Community and personal service workers	F	85
Balranald (A)	2016	Community and personal service workers	M	12
Balranald (A)	2016	Labourers	F	69
Balranald (A)	2016	Labourers	M	125
Balranald (A)	2016	Machinery operators and drivers	F	14
Balranald (A)	2016	Machinery operators and drivers	M	92
Balranald (A)	2016	Managers	F	55
Balranald (A)	2016	Managers	M	160
Balranald (A)	2016	Professionals	F	58
Balranald (A)	2016	Professionals	M	28
Balranald (A)	2016	Sales workers	F	25
Balranald (A)	2016	Sales workers	M	14
Balranald (A)	2016	Technicians and trades workers	F	26
Balranald (A)	2016	Technicians and trades workers	M	90
Bathurst Regional (A)	2006		F	90
Bathurst Regional (A)	2006		M	130
Bathurst Regional (A)	2006	Clerical and administrative workers	F	1730
Bathurst Regional (A)	2006	Clerical and administrative workers	M	410
Bathurst Regional (A)	2006	Community and personal service workers	F	1072
Bathurst Regional (A)	2006	Community and personal service workers	M	554
Bathurst Regional (A)	2006	Labourers	F	743
Bathurst Regional (A)	2006	Labourers	M	1241
Bathurst Regional (A)	2006	Machinery operators and drivers	F	69
Bathurst Regional (A)	2006	Machinery operators and drivers	M	917
Bathurst Regional (A)	2006	Managers	F	693
Bathurst Regional (A)	2006	Managers	M	1403
Bathurst Regional (A)	2006	Professionals	F	1743
Bathurst Regional (A)	2006	Professionals	M	1204
Bathurst Regional (A)	2006	Sales workers	F	1166
Bathurst Regional (A)	2006	Sales workers	M	590
Bathurst Regional (A)	2006	Technicians and trades workers	F	363
Bathurst Regional (A)	2006	Technicians and trades workers	M	2062
Bathurst Regional (A)	2011		F	98
Bathurst Regional (A)	2011		M	171
Bathurst Regional (A)	2011	Clerical and administrative workers	F	1781
Bathurst Regional (A)	2011	Clerical and administrative workers	M	451
Bathurst Regional (A)	2011	Community and personal service workers	F	1316
Bathurst Regional (A)	2011	Community and personal service workers	M	648
Bathurst Regional (A)	2011	Labourers	F	779
Bathurst Regional (A)	2011	Labourers	M	1326
Bathurst Regional (A)	2011	Machinery operators and drivers	F	60
Bathurst Regional (A)	2011	Machinery operators and drivers	M	1067
Bathurst Regional (A)	2011	Managers	F	747
Bathurst Regional (A)	2011	Managers	M	1403
Bathurst Regional (A)	2011	Professionals	F	1993
Bathurst Regional (A)	2011	Professionals	M	1298
Bathurst Regional (A)	2011	Sales workers	F	1154
Bathurst Regional (A)	2011	Sales workers	M	610
Bathurst Regional (A)	2011	Technicians and trades workers	F	372
Bathurst Regional (A)	2011	Technicians and trades workers	M	2245
Bathurst Regional (A)	2016		F	117
Bathurst Regional (A)	2016		M	179
Bathurst Regional (A)	2016	Clerical and administrative workers	F	1774
Bathurst Regional (A)	2016	Clerical and administrative workers	M	409
Bathurst Regional (A)	2016	Community and personal service workers	F	1605
Bathurst Regional (A)	2016	Community and personal service workers	M	837
Bathurst Regional (A)	2016	Labourers	F	768
Bathurst Regional (A)	2016	Labourers	M	1304
Bathurst Regional (A)	2016	Machinery operators and drivers	F	71
Bathurst Regional (A)	2016	Machinery operators and drivers	M	1100
Bathurst Regional (A)	2016	Managers	F	807
Bathurst Regional (A)	2016	Managers	M	1363
Bathurst Regional (A)	2016	Professionals	F	2212
Bathurst Regional (A)	2016	Professionals	M	1223
Bathurst Regional (A)	2016	Sales workers	F	1153
Bathurst Regional (A)	2016	Sales workers	M	620
Bathurst Regional (A)	2016	Technicians and trades workers	F	419
Bathurst Regional (A)	2016	Technicians and trades workers	M	2207
Bega Valley (A)	2006		F	64
Bega Valley (A)	2006		M	124
Bega Valley (A)	2006	Clerical and administrative workers	F	1177
Bega Valley (A)	2006	Clerical and administrative workers	M	238
Bega Valley (A)	2006	Community and personal service workers	F	876
Bega Valley (A)	2006	Community and personal service workers	M	362
Bega Valley (A)	2006	Labourers	F	671
Bega Valley (A)	2006	Labourers	M	1151
Bega Valley (A)	2006	Machinery operators and drivers	F	51
Bega Valley (A)	2006	Machinery operators and drivers	M	720
Bega Valley (A)	2006	Managers	F	787
Bega Valley (A)	2006	Managers	M	1250
Bega Valley (A)	2006	Professionals	F	1058
Bega Valley (A)	2006	Professionals	M	777
Bega Valley (A)	2006	Sales workers	F	819
Bega Valley (A)	2006	Sales workers	M	428
Bega Valley (A)	2006	Technicians and trades workers	F	303
Bega Valley (A)	2006	Technicians and trades workers	M	1611
Bega Valley (A)	2011		F	75
Bega Valley (A)	2011		M	91
Bega Valley (A)	2011	Clerical and administrative workers	F	1208
Bega Valley (A)	2011	Clerical and administrative workers	M	260
Bega Valley (A)	2011	Community and personal service workers	F	1134
Bega Valley (A)	2011	Community and personal service workers	M	391
Bega Valley (A)	2011	Labourers	F	630
Bega Valley (A)	2011	Labourers	M	1177
Bega Valley (A)	2011	Machinery operators and drivers	F	72
Bega Valley (A)	2011	Machinery operators and drivers	M	769
Bega Valley (A)	2011	Managers	F	690
Bega Valley (A)	2011	Managers	M	1166
Bega Valley (A)	2011	Professionals	F	1256
Bega Valley (A)	2011	Professionals	M	829
Bega Valley (A)	2011	Sales workers	F	880
Bega Valley (A)	2011	Sales workers	M	459
Bega Valley (A)	2011	Technicians and trades workers	F	345
Bega Valley (A)	2011	Technicians and trades workers	M	1617
Bega Valley (A)	2016		F	83
Bega Valley (A)	2016		M	122
Bega Valley (A)	2016	Clerical and administrative workers	F	1184
Bega Valley (A)	2016	Clerical and administrative workers	M	248
Bega Valley (A)	2016	Community and personal service workers	F	1176
Bega Valley (A)	2016	Community and personal service workers	M	430
Bega Valley (A)	2016	Labourers	F	629
Bega Valley (A)	2016	Labourers	M	1190
Bega Valley (A)	2016	Machinery operators and drivers	F	61
Bega Valley (A)	2016	Machinery operators and drivers	M	701
Bega Valley (A)	2016	Managers	F	712
Bega Valley (A)	2016	Managers	M	1080
Bega Valley (A)	2016	Professionals	F	1328
Bega Valley (A)	2016	Professionals	M	782
Bega Valley (A)	2016	Sales workers	F	939
Bega Valley (A)	2016	Sales workers	M	473
Bega Valley (A)	2016	Technicians and trades workers	F	358
Bega Valley (A)	2016	Technicians and trades workers	M	1659
Bellingen (A)	2006		F	22
Bellingen (A)	2006		M	32
Bellingen (A)	2006	Clerical and administrative workers	F	406
Bellingen (A)	2006	Clerical and administrative workers	M	78
Bellingen (A)	2006	Community and personal service workers	F	367
Bellingen (A)	2006	Community and personal service workers	M	123
Bellingen (A)	2006	Labourers	F	201
Bellingen (A)	2006	Labourers	M	367
Bellingen (A)	2006	Machinery operators and drivers	F	13
Bellingen (A)	2006	Machinery operators and drivers	M	234
Bellingen (A)	2006	Managers	F	265
Bellingen (A)	2006	Managers	M	437
Bellingen (A)	2006	Professionals	F	522
Bellingen (A)	2006	Professionals	M	359
Bellingen (A)	2006	Sales workers	F	254
Bellingen (A)	2006	Sales workers	M	136
Bellingen (A)	2006	Technicians and trades workers	F	110
Bellingen (A)	2006	Technicians and trades workers	M	552
Bellingen (A)	2011		F	38
Bellingen (A)	2011		M	51
Bellingen (A)	2011	Clerical and administrative workers	F	410
Bellingen (A)	2011	Clerical and administrative workers	M	88
Bellingen (A)	2011	Community and personal service workers	F	435
Bellingen (A)	2011	Community and personal service workers	M	128
Bellingen (A)	2011	Labourers	F	212
Bellingen (A)	2011	Labourers	M	381
Bellingen (A)	2011	Machinery operators and drivers	F	20
Bellingen (A)	2011	Machinery operators and drivers	M	262
Bellingen (A)	2011	Managers	F	278
Bellingen (A)	2011	Managers	M	434
Bellingen (A)	2011	Professionals	F	612
Bellingen (A)	2011	Professionals	M	376
Bellingen (A)	2011	Sales workers	F	253
Bellingen (A)	2011	Sales workers	M	131
Bellingen (A)	2011	Technicians and trades workers	F	113
Bellingen (A)	2011	Technicians and trades workers	M	559
Bellingen (A)	2016		F	32
Bellingen (A)	2016		M	40
Bellingen (A)	2016	Clerical and administrative workers	F	413
Bellingen (A)	2016	Clerical and administrative workers	M	83
Bellingen (A)	2016	Community and personal service workers	F	430
Bellingen (A)	2016	Community and personal service workers	M	154
Bellingen (A)	2016	Labourers	F	204
Bellingen (A)	2016	Labourers	M	407
Bellingen (A)	2016	Machinery operators and drivers	F	13
Bellingen (A)	2016	Machinery operators and drivers	M	289
Bellingen (A)	2016	Managers	F	286
Bellingen (A)	2016	Managers	M	396
Bellingen (A)	2016	Professionals	F	659
Bellingen (A)	2016	Professionals	M	388
Bellingen (A)	2016	Sales workers	F	250
Bellingen (A)	2016	Sales workers	M	137
Bellingen (A)	2016	Technicians and trades workers	F	108
Bellingen (A)	2016	Technicians and trades workers	M	575
Berrigan (A)	2006		F	21
Berrigan (A)	2006		M	37
Berrigan (A)	2006	Clerical and administrative workers	F	325
Berrigan (A)	2006	Clerical and administrative workers	M	54
Berrigan (A)	2006	Community and personal service workers	F	252
Berrigan (A)	2006	Community and personal service workers	M	60
Berrigan (A)	2006	Labourers	F	202
Berrigan (A)	2006	Labourers	M	331
Berrigan (A)	2006	Machinery operators and drivers	F	22
Berrigan (A)	2006	Machinery operators and drivers	M	271
Berrigan (A)	2006	Managers	F	257
Berrigan (A)	2006	Managers	M	590
Berrigan (A)	2006	Professionals	F	250
Berrigan (A)	2006	Professionals	M	138
Berrigan (A)	2006	Sales workers	F	163
Berrigan (A)	2006	Sales workers	M	93
Berrigan (A)	2006	Technicians and trades workers	F	86
Berrigan (A)	2006	Technicians and trades workers	M	405
Berrigan (A)	2011		F	17
Berrigan (A)	2011		M	32
Berrigan (A)	2011	Clerical and administrative workers	F	292
Berrigan (A)	2011	Clerical and administrative workers	M	34
Berrigan (A)	2011	Community and personal service workers	F	286
Berrigan (A)	2011	Community and personal service workers	M	79
Berrigan (A)	2011	Labourers	F	186
Berrigan (A)	2011	Labourers	M	286
Berrigan (A)	2011	Machinery operators and drivers	F	20
Berrigan (A)	2011	Machinery operators and drivers	M	305
Berrigan (A)	2011	Managers	F	221
Berrigan (A)	2011	Managers	M	504
Berrigan (A)	2011	Professionals	F	278
Berrigan (A)	2011	Professionals	M	134
Berrigan (A)	2011	Sales workers	F	172
Berrigan (A)	2011	Sales workers	M	102
Berrigan (A)	2011	Technicians and trades workers	F	90
Berrigan (A)	2011	Technicians and trades workers	M	385
Berrigan (A)	2016		F	18
Berrigan (A)	2016		M	44
Berrigan (A)	2016	Clerical and administrative workers	F	292
Berrigan (A)	2016	Clerical and administrative workers	M	38
Berrigan (A)	2016	Community and personal service workers	F	300
Berrigan (A)	2016	Community and personal service workers	M	61
Berrigan (A)	2016	Labourers	F	204
Berrigan (A)	2016	Labourers	M	280
Berrigan (A)	2016	Machinery operators and drivers	F	10
Berrigan (A)	2016	Machinery operators and drivers	M	266
Berrigan (A)	2016	Managers	F	203
Berrigan (A)	2016	Managers	M	477
Berrigan (A)	2016	Professionals	F	278
Berrigan (A)	2016	Professionals	M	122
Berrigan (A)	2016	Sales workers	F	178
Berrigan (A)	2016	Sales workers	M	73
Berrigan (A)	2016	Technicians and trades workers	F	75
Berrigan (A)	2016	Technicians and trades workers	M	358
Blacktown (C)	2006		F	1168
Blacktown (C)	2006		M	1634
Blacktown (C)	2006	Clerical and administrative workers	F	16309
Blacktown (C)	2006	Clerical and administrative workers	M	5958
Blacktown (C)	2006	Community and personal service workers	F	6223
Blacktown (C)	2006	Community and personal service workers	M	3179
Blacktown (C)	2006	Labourers	F	5434
Blacktown (C)	2006	Labourers	M	8581
Blacktown (C)	2006	Machinery operators and drivers	F	1675
Blacktown (C)	2006	Machinery operators and drivers	M	11624
Blacktown (C)	2006	Managers	F	3485
Blacktown (C)	2006	Managers	M	6803
Blacktown (C)	2006	Professionals	F	9453
Blacktown (C)	2006	Professionals	M	8400
Blacktown (C)	2006	Sales workers	F	6736
Blacktown (C)	2006	Sales workers	M	4257
Blacktown (C)	2006	Technicians and trades workers	F	2183
Blacktown (C)	2006	Technicians and trades workers	M	14949
Blacktown (C)	2011		F	1147
Blacktown (C)	2011		M	1677
Blacktown (C)	2011	Clerical and administrative workers	F	17827
Blacktown (C)	2011	Clerical and administrative workers	M	6604
Blacktown (C)	2011	Community and personal service workers	F	7953
Blacktown (C)	2011	Community and personal service workers	M	4000
Blacktown (C)	2011	Labourers	F	5113
Blacktown (C)	2011	Labourers	M	8941
Blacktown (C)	2011	Machinery operators and drivers	F	1839
Blacktown (C)	2011	Machinery operators and drivers	M	12728
Blacktown (C)	2011	Managers	F	4211
Blacktown (C)	2011	Managers	M	7874
Blacktown (C)	2011	Professionals	F	12209
Blacktown (C)	2011	Professionals	M	11125
Blacktown (C)	2011	Sales workers	F	7562
Blacktown (C)	2011	Sales workers	M	4844
Blacktown (C)	2011	Technicians and trades workers	F	2557
Blacktown (C)	2011	Technicians and trades workers	M	15575
Blacktown (C)	2016		F	1309
Blacktown (C)	2016		M	1832
Blacktown (C)	2016	Clerical and administrative workers	F	17745
Blacktown (C)	2016	Clerical and administrative workers	M	7038
Blacktown (C)	2016	Community and personal service workers	F	10542
Blacktown (C)	2016	Community and personal service workers	M	4463
Blacktown (C)	2016	Labourers	F	5446
Blacktown (C)	2016	Labourers	M	9945
Blacktown (C)	2016	Machinery operators and drivers	F	2226
Blacktown (C)	2016	Machinery operators and drivers	M	14366
Blacktown (C)	2016	Managers	F	5226
Blacktown (C)	2016	Managers	M	9350
Blacktown (C)	2016	Professionals	F	15345
Blacktown (C)	2016	Professionals	M	13453
Blacktown (C)	2016	Sales workers	F	8374
Blacktown (C)	2016	Sales workers	M	5618
Blacktown (C)	2016	Technicians and trades workers	F	2779
Blacktown (C)	2016	Technicians and trades workers	M	16408
Bland (A)	2006		F	26
Bland (A)	2006		M	23
Bland (A)	2006	Clerical and administrative workers	F	202
Bland (A)	2006	Clerical and administrative workers	M	28
Bland (A)	2006	Community and personal service workers	F	165
Bland (A)	2006	Community and personal service workers	M	30
Bland (A)	2006	Labourers	F	140
Bland (A)	2006	Labourers	M	236
Bland (A)	2006	Machinery operators and drivers	F	17
Bland (A)	2006	Machinery operators and drivers	M	239
Bland (A)	2006	Managers	F	294
Bland (A)	2006	Managers	M	628
Bland (A)	2006	Professionals	F	161
Bland (A)	2006	Professionals	M	94
Bland (A)	2006	Sales workers	F	99
Bland (A)	2006	Sales workers	M	57
Bland (A)	2006	Technicians and trades workers	F	70
Bland (A)	2006	Technicians and trades workers	M	262
Bland (A)	2011		F	18
Bland (A)	2011		M	27
Bland (A)	2011	Clerical and administrative workers	F	214
Bland (A)	2011	Clerical and administrative workers	M	35
Bland (A)	2011	Community and personal service workers	F	169
Bland (A)	2011	Community and personal service workers	M	34
Bland (A)	2011	Labourers	F	111
Bland (A)	2011	Labourers	M	183
Bland (A)	2011	Machinery operators and drivers	F	34
Bland (A)	2011	Machinery operators and drivers	M	283
Bland (A)	2011	Managers	F	270
Bland (A)	2011	Managers	M	548
Bland (A)	2011	Professionals	F	161
Bland (A)	2011	Professionals	M	99
Bland (A)	2011	Sales workers	F	111
Bland (A)	2011	Sales workers	M	42
Bland (A)	2011	Technicians and trades workers	F	77
Bland (A)	2011	Technicians and trades workers	M	285
Bland (A)	2016		F	18
Bland (A)	2016		M	35
Bland (A)	2016	Clerical and administrative workers	F	204
Bland (A)	2016	Clerical and administrative workers	M	31
Bland (A)	2016	Community and personal service workers	F	154
Bland (A)	2016	Community and personal service workers	M	32
Bland (A)	2016	Labourers	F	125
Bland (A)	2016	Labourers	M	183
Bland (A)	2016	Machinery operators and drivers	F	26
Bland (A)	2016	Machinery operators and drivers	M	258
Bland (A)	2016	Managers	F	236
Bland (A)	2016	Managers	M	460
Bland (A)	2016	Professionals	F	187
Bland (A)	2016	Professionals	M	82
Bland (A)	2016	Sales workers	F	110
Bland (A)	2016	Sales workers	M	45
Bland (A)	2016	Technicians and trades workers	F	68
Bland (A)	2016	Technicians and trades workers	M	286
Blayney (A)	2006		F	20
Blayney (A)	2006		M	24
Blayney (A)	2006	Clerical and administrative workers	F	257
Blayney (A)	2006	Clerical and administrative workers	M	47
Blayney (A)	2006	Community and personal service workers	F	203
Blayney (A)	2006	Community and personal service workers	M	47
Blayney (A)	2006	Labourers	F	152
Blayney (A)	2006	Labourers	M	262
Blayney (A)	2006	Machinery operators and drivers	F	24
Blayney (A)	2006	Machinery operators and drivers	M	304
Blayney (A)	2006	Managers	F	184
Blayney (A)	2006	Managers	M	376
Blayney (A)	2006	Professionals	F	239
Blayney (A)	2006	Professionals	M	126
Blayney (A)	2006	Sales workers	F	132
Blayney (A)	2006	Sales workers	M	71
Blayney (A)	2006	Technicians and trades workers	F	63
Blayney (A)	2006	Technicians and trades workers	M	335
Blayney (A)	2011		F	22
Blayney (A)	2011		M	31
Blayney (A)	2011	Clerical and administrative workers	F	321
Blayney (A)	2011	Clerical and administrative workers	M	48
Blayney (A)	2011	Community and personal service workers	F	205
Blayney (A)	2011	Community and personal service workers	M	68
Blayney (A)	2011	Labourers	F	158
Blayney (A)	2011	Labourers	M	233
Blayney (A)	2011	Machinery operators and drivers	F	26
Blayney (A)	2011	Machinery operators and drivers	M	398
Blayney (A)	2011	Managers	F	197
Blayney (A)	2011	Managers	M	350
Blayney (A)	2011	Professionals	F	249
Blayney (A)	2011	Professionals	M	149
Blayney (A)	2011	Sales workers	F	128
Blayney (A)	2011	Sales workers	M	75
Blayney (A)	2011	Technicians and trades workers	F	94
Blayney (A)	2011	Technicians and trades workers	M	361
Blayney (A)	2016		F	35
Blayney (A)	2016		M	36
Blayney (A)	2016	Clerical and administrative workers	F	321
Blayney (A)	2016	Clerical and administrative workers	M	49
Blayney (A)	2016	Community and personal service workers	F	251
Blayney (A)	2016	Community and personal service workers	M	68
Blayney (A)	2016	Labourers	F	145
Blayney (A)	2016	Labourers	M	285
Blayney (A)	2016	Machinery operators and drivers	F	26
Blayney (A)	2016	Machinery operators and drivers	M	319
Blayney (A)	2016	Managers	F	195
Blayney (A)	2016	Managers	M	355
Blayney (A)	2016	Professionals	F	308
Blayney (A)	2016	Professionals	M	148
Blayney (A)	2016	Sales workers	F	154
Blayney (A)	2016	Sales workers	M	73
Blayney (A)	2016	Technicians and trades workers	F	92
Blayney (A)	2016	Technicians and trades workers	M	367
Blue Mountains (C)	2006		F	183
Blue Mountains (C)	2006		M	287
Blue Mountains (C)	2006	Clerical and administrative workers	F	3750
Blue Mountains (C)	2006	Clerical and administrative workers	M	1297
Blue Mountains (C)	2006	Community and personal service workers	F	2437
Blue Mountains (C)	2006	Community and personal service workers	M	1352
Blue Mountains (C)	2006	Labourers	F	939
Blue Mountains (C)	2006	Labourers	M	1656
Blue Mountains (C)	2006	Machinery operators and drivers	F	116
Blue Mountains (C)	2006	Machinery operators and drivers	M	1377
Blue Mountains (C)	2006	Managers	F	1427
Blue Mountains (C)	2006	Managers	M	2850
