SA3_CODE_2016,Ot_ty_Ed_Ins_Pt_st_C06_P,Ot_ty_Ed_Ins_Pt_st_C11_M,Ot_ty_Ed_Ins_Pt_st_C11_F,Ot_ty_Ed_Ins_Pt_st_C11_P,Ot_ty_Ed_Ins_Pt_st_C16_M,Ot_ty_Ed_Ins_Pt_st_C16_F,Ot_ty_Ed_Ins_Pt_st_C16_P,O_t_E_I_F_P_s_s_ns_C06_M,O_t_E_I_F_P_s_s_ns_C06_F,O_t_E_I_F_P_s_s_ns_C06_P,O_t_E_I_F_P_s_s_ns_C11_M,O_t_E_I_F_P_s_s_ns_C11_F,O_t_E_I_F_P_s_s_ns_C11_P,O_t_E_I_F_P_s_s_ns_C16_M,O_t_E_I_F_P_s_s_ns_C16_F,O_t_E_I_F_P_s_s_ns_C16_P,Oth_ty_Edu_Ins_Tot_C06_M,Oth_ty_Edu_Ins_Tot_C06_F,Oth_ty_Edu_Ins_Tot_C06_P,Oth_ty_Edu_Ins_Tot_C11_M,Oth_ty_Edu_Ins_Tot_C11_F,Oth_ty_Edu_Ins_Tot_C11_P,Oth_ty_Edu_Ins_Tot_C16_M,Oth_ty_Edu_Ins_Tot_C16_F,Oth_ty_Edu_Ins_Tot_C16_P,Type_Educ_Insti_ns_C06_M,Type_Educ_Insti_ns_C06_F,Type_Educ_Insti_ns_C06_P,Type_Educ_Insti_ns_C11_M,Type_Educ_Insti_ns_C11_F,Type_Educ_Insti_ns_C11_P,Type_Educ_Insti_ns_C16_M,Type_Educ_Insti_ns_C16_F,Type_Educ_Insti_ns_C16_P,Tot_C06_M,Tot_C06_F,Tot_C06_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P
12303,144,46,114,160,39,117,154,0,0,0,0,0,0,0,0,4,43,134,180,73,149,221,61,146,209,1188,1161,2349,1059,1044,2106,1267,1264,2528,5700,5583,11283,5640,5690,11328,6244,6430,12672
12401,402,139,272,411,107,244,348,3,5,7,3,3,3,0,3,6,189,356,540,197,331,523,172,338,505,2120,2263,4377,2262,2251,4509,1821,1936,3754,11386,11826,23210,11462,12019,23486,10882,11596,22483
12402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,4
12403,486,187,387,574,180,427,606,13,9,19,6,9,8,8,12,12,219,413,629,265,497,761,289,571,859,3766,4085,7850,3506,3735,7237,3855,4126,7981,18376,19030,37404,18701,19601,38301,20644,21867,42511
12404,111,40,97,141,33,109,142,0,0,0,0,4,4,0,3,3,44,98,147,62,124,186,50,143,197,1918,1511,3424,1573,1235,2811,1898,1468,3364,6020,5862,11882,5678,5659,11332,5838,5777,11611
12405,148,58,146,204,56,156,214,0,3,3,0,4,3,3,10,10,86,148,232,83,214,291,118,264,380,2073,2103,4176,1849,1773,3627,1819,1961,3771,8342,8410,16753,7909,8171,16081,7939,8423,16363
12501,406,243,341,576,391,477,865,5,7,18,19,22,42,11,10,20,351,402,752,641,656,1298,817,894,1709,5926,3874,9804,4905,3211,8118,4858,3297,8148,14387,11963,26348,14632,12480,27114,16740,14362,31096
12502,294,103,197,302,144,243,389,3,0,7,7,8,16,8,3,7,149,237,385,160,288,449,241,360,596,1923,1896,3817,1577,1630,3203,1521,1557,3078,9085,8976,18059,9500,9359,18860,10292,10396,20682
12503,497,227,392,619,281,580,858,17,11,30,14,20,37,15,16,28,319,483,809,441,674,1115,659,1066,1724,6286,5764,12046,6135,5746,11873,5742,5420,11164,20787,20124,40914,22449,22228,44678,24756,24992,49754
12504,638,376,529,902,302,573,869,3,12,16,13,11,30,10,8,17,427,552,980,695,885,1582,680,914,1591,5655,4735,10391,5115,4445,9557,4764,4721,9482,18819,17020,35845,19579,18695,38270,21450,21127,42579
12601,222,85,114,202,71,146,216,3,3,8,3,6,7,0,0,3,119,182,300,121,154,271,119,213,334,1049,989,2038,665,647,1309,752,752,1505,6990,7073,14065,6887,7098,13990,7642,7761,15400
12602,583,240,407,650,276,490,764,3,11,12,4,12,13,3,9,12,300,491,797,392,573,965,475,721,1196,4488,4468,8953,3278,3265,6541,3136,3316,6448,19186,18803,37985,19178,18983,38161,21251,21451,42699
12701,273,76,205,283,162,300,460,8,12,18,8,8,21,18,6,21,134,233,368,152,302,452,312,495,801,3599,3696,7292,3350,3332,6683,3639,3711,7349,13471,13511,26987,14095,14254,28346,17173,17809,34985
12702,813,271,564,834,403,877,1289,38,59,99,24,33,59,21,34,59,511,899,1413,624,1074,1695,969,1688,2658,7732,7394,15129,6607,6537,13143,5415,5591,11005,28034,28189,56220,28095,28716,56810,28660,29857,58515
12703,368,155,296,451,225,403,628,19,26,44,13,11,17,8,6,18,270,396,668,298,479,780,468,696,1166,4796,4659,9453,4489,4473,8965,4811,4812,9624,15957,16050,32008,17428,17847,35277,19593,20354,39944
12801,460,182,314,495,164,329,491,0,5,8,4,8,9,3,14,13,201,371,575,238,394,633,212,419,634,3953,3818,7772,2857,2844,5700,2765,2914,5680,14672,14885,29549,14251,14867,29119,15064,15500,30561
12802,494,172,322,495,151,292,443,0,6,14,0,4,8,0,3,3,208,411,622,226,384,616,226,370,603,2425,2551,4979,2198,2271,4469,1807,1920,3730,16160,16033,32196,15892,15906,31800,15499,15913,31413
19797,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,3,0,3,4,3,11,21,33,46,6,0,8,16,3,17,29,62,93
19999,65,23,33,56,37,33,65,3,0,8,5,0,4,0,0,4,68,48,117,55,69,123,60,69,129,806,497,1303,1956,862,2820,2231,1127,3360,1443,1160,2608,2739,1745,4483,2819,1779,4593
20101,335,190,336,529,187,308,494,10,9,23,8,9,18,4,3,9,207,270,470,307,464,770,319,435,747,3156,3481,6642,3025,3215,6246,3368,3735,7100,13848,14562,28412,14454,15521,29980,15357,16516,31865
20102,125,38,105,150,43,89,132,4,7,10,5,0,4,0,0,0,43,130,173,62,138,205,64,121,189,979,923,1900,912,854,1770,1308,1385,2686,3703,3749,7452,3639,3781,7419,3884,4264,8145
20103,110,46,84,128,37,57,93,3,3,9,0,0,3,3,6,6,48,105,154,65,121,189,57,99,150,865,845,1715,898,725,1617,1416,1063,2483,3115,3151,6271,3063,3027,6093,3604,3330,6937
20201,362,161,311,470,151,263,417,6,9,20,8,11,19,8,5,14,217,329,545,244,430,676,240,371,611,2583,3029,5612,2623,2722,5343,3529,3771,7305,11757,12935,24696,12213,13403,25611,13734,14760,28488
20202,213,71,183,254,62,142,198,8,3,6,3,5,9,0,5,8,96,193,292,112,236,349,81,174,256,1715,1612,3330,1772,1503,3279,2691,2185,4879,6114,6246,12365,6249,6439,12690,7093,6982,14073
20203,54,18,26,48,5,34,43,0,0,0,0,0,0,0,0,0,30,60,84,19,40,64,13,43,56,422,421,838,376,340,720,621,569,1194,1715,1839,3555,1391,1491,2883,1579,1637,3215
20301,58,28,69,96,17,70,91,0,0,4,0,0,0,0,0,0,28,58,83,46,91,133,35,86,121,398,386,784,398,416,818,686,640,1328,2216,2127,4343,2510,2528,5035,2975,3004,5982
20302,765,364,734,1099,392,681,1075,14,12,26,13,9,20,13,11,28,403,708,1113,607,980,1591,666,1022,1686,6132,5703,11837,5824,5079,10906,7006,6609,13619,24561,24620,49174,25419,25882,51300,28312,28991,57301
20303,214,98,217,313,115,220,336,9,7,16,8,3,9,3,5,6,105,193,296,149,257,411,161,283,447,1804,1830,3635,1674,1688,3359,2185,2323,4504,7924,7870,15791,8260,8541,16796,10004,10390,20394
20401,212,58,178,235,67,157,219,8,3,13,6,0,6,3,0,3,109,185,290,159,227,388,157,208,368,1906,1765,3670,1723,1683,3405,2579,2649,5225,6891,6689,13584,6575,6946,13518,7591,7908,15493
20402,190,45,124,170,41,94,142,3,3,3,0,0,0,0,0,6,83,179,257,79,142,220,77,129,209,1290,1448,2735,1227,1307,2535,1887,2127,4014,5857,6362,12212,5662,6141,11804,6054,6639,12690
20403,274,89,204,294,102,217,321,4,8,16,7,6,13,6,3,17,237,266,501,275,278,559,246,317,561,1929,1877,3807,1975,1691,3664,2901,2725,5625,9449,9601,19048,9511,9756,19265,10327,10703,21027
20501,177,60,145,206,65,141,205,3,0,3,5,3,7,3,5,5,72,167,244,103,195,296,106,212,316,1217,1399,2616,1245,1215,2455,1770,1965,3735,5489,6136,11627,5752,6315,12065,6674,7464,14141
20502,163,54,118,171,48,113,162,0,5,7,3,3,4,3,4,6,90,145,237,86,155,236,80,157,235,1429,1510,2939,1381,1342,2717,2172,2346,4524,5288,5618,10904,5211,5473,10685,5756,6288,12044
20503,205,79,171,247,82,173,252,0,3,9,4,3,10,7,4,10,109,175,283,133,229,358,144,240,389,2182,2351,4536,1887,1985,3867,2594,2766,5361,7105,7616,14722,6928,7684,14610,7882,8602,16483
20504,290,95,234,324,106,253,354,3,8,13,7,11,14,8,5,13,189,275,470,173,309,485,205,325,523,2576,2729,5304,2554,2622,5177,3186,3375,6561,10225,10843,21071,10100,10760,20862,10182,11015,21199
20505,151,51,82,133,60,105,164,4,7,7,4,5,9,0,8,8,93,135,223,88,126,215,93,157,247,2042,1390,3429,2171,1319,3493,2641,1842,4484,6321,5793,12107,6274,5702,11976,6585,6088,12672
20601,491,193,310,506,201,310,505,3,5,14,14,6,18,3,9,9,280,421,703,371,442,812,323,487,811,3284,2955,6240,2897,2550,5448,2540,2662,5201,11207,11653,22859,11659,12339,23997,12397,13720,26118
20602,304,93,218,313,88,192,279,0,4,6,5,3,8,0,0,0,150,266,421,146,311,461,139,260,399,1958,1741,3697,1601,1352,2959,1619,1765,3378,6674,7081,13758,6811,7366,14174,7485,8426,15915
20603,372,130,267,401,151,298,449,7,8,17,3,4,9,6,10,11,188,356,542,231,403,640,263,495,761,2830,2650,5484,2264,2325,4593,2311,2476,4787,9159,9565,18724,9216,10042,19253,10256,11037,21293
20604,663,267,463,727,710,887,1597,8,18,26,4,4,15,5,17,22,492,813,1302,562,877,1439,1443,1970,3414,6729,5365,12100,6204,5111,11317,8285,7967,16246,17826,18188,36016,19403,20344,39753,30051,34253,64307
