SA3_CODE_2016,C16_T_FH_Tot,C16_Tot_LP_H,C16_Tot_GH,C16_Tot_OH,C16_T_T
31905,11771,4703,624,1830,18923
39797,0,0,0,0,0
39999,0,0,0,0,0
40101,3696,3559,1420,1326,10004
40102,19901,5286,473,1138,26790
40103,11644,4648,482,615,17390
40104,13653,5160,593,567,19971
40105,8753,5138,922,757,15568
40106,7010,3075,615,505,11202
40107,9451,4462,822,655,15395
40201,9251,3199,283,639,13375
40202,22416,8449,1149,1992,34006
40203,16883,7204,1353,1164,26603
40204,35384,11860,1643,2052,50937
40205,26332,8011,730,978,36056
40301,8632,5006,530,871,15038
40302,23770,10450,1680,1383,37285
40303,16924,5653,786,789,24156
40304,46131,15686,1650,2792,66262
40401,28407,12851,1799,1855,44919
40402,14688,7357,928,1074,24043
40403,15242,7798,1582,1123,25747
40501,9734,3306,241,708,13991
40502,5949,2689,189,699,9515
40503,7112,3644,219,862,11839
40504,6817,3349,215,867,11243
40601,14399,6891,531,2620,24441
40602,5781,2945,229,1704,10657
40701,13872,6133,428,1398,21828
40702,16753,7257,608,1527,26150
40703,18223,8074,748,2092,29140
49797,0,0,0,0,0
49999,0,0,0,0,0
50101,13331,4120,536,1605,19586
50102,26904,8655,963,2664,39192
50103,6036,2392,206,880,9518
50201,26146,9085,962,2338,38531
50301,16766,5683,1040,1435,24928
50302,23715,13857,3291,4844,45708
50401,20915,8483,1662,1699,32760
50402,11058,2976,299,743,15076
50403,33313,7965,1221,2515,45014
50501,43378,9262,1274,1829,55742
50502,49548,21205,3541,4421,78714
50503,49402,10353,1631,3213,64601
50601,21051,5599,809,1591,29048
50602,16803,7939,2173,2720,29630
50603,22941,6990,1996,1485,33408
50604,29898,7728,1373,1813,40809
50605,15528,4059,500,1015,21097
50606,7142,1103,165,457,8870
50607,10377,4951,1019,1254,17600
50701,27039,7469,1250,2081,37838
50702,9131,4361,776,1396,15667
50703,9774,2702,416,928,13822
50704,27065,8512,1132,1542,38257
50705,32652,8721,1111,2741,45225
50901,15092,5894,546,1897,23429
50902,14230,5612,511,2406,22758
50903,5104,2193,164,820,8277
51001,7036,2570,435,5676,15707
51002,4304,1323,184,1891,7707
51003,6110,1715,260,2259,10344
51101,3826,1475,137,860,6299
51102,2110,1004,125,3212,6453
51103,8717,3197,463,2134,14520
51104,13441,5055,514,2941,21951
59797,0,0,0,0,0
59999,0,0,0,0,0
60101,4562,1319,144,357,6376
60102,14136,5601,487,823,21048
60103,13456,7004,720,1194,22371
60104,9005,2829,285,479,12598
60105,11908,6429,1591,1365,21287
60106,4339,1672,141,373,6523
60201,20221,9909,1250,1970,33355
60202,6136,2330,162,571,9193
60203,9859,4400,326,1152,15733
60301,2979,1178,100,331,4584
60302,5206,2013,190,545,7954
60303,1756,906,79,334,3077
60401,12714,5869,400,1006,19986
60402,11831,5028,442,964,18275
60403,4455,2036,170,573,7243
69797,0,0,0,0,0
69999,0,0,0,0,0
70101,5703,2595,913,1845,11060
70102,12589,3431,947,2212,19177
70103,4787,1087,232,1609,7718
70104,8444,1837,482,1054,11814
70201,7047,2731,538,2912,13227
70202,937,381,50,557,1924
70203,2661,803,105,1421,4991
70204,2071,396,45,308,2818
70205,3165,952,125,2268,6510
79797,0,0,0,0,0
79999,0,0,0,0,0
80101,24478,8401,1841,1675,36396
80103,222,267,23,126,627
80104,18606,4075,982,1030,24697
80105,10738,6459,2117,1781,21097
80106,6624,3621,590,937,11771
80107,23237,6242,679,1193,31355
80108,6138,2106,180,362,8781
80109,8941,3789,429,762,13921
80110,1196,422,91,160,1874
80111,139,26,3,21,185
89797,0,0,0,0,0
89999,0,0,0,0,0
90101,301,95,10,80,478
90102,122,7,0,19,147
90103,71,19,0,18,102
90104,488,244,8,81,825
99797,0,0,0,0,0
99999,0,0,0,0,0
