STE_NAME16	Year	Age5yr	ChildrenEverBorn	females
New South Wales	2011	15-19	6	63
New South Wales	2011	20-24		15702
New South Wales	2011	20-24	0	180144
New South Wales	2011	20-24	1	17376
New South Wales	2011	20-24	2	7250
New South Wales	2011	20-24	3	1711
New South Wales	2011	20-24	4	368
New South Wales	2011	20-24	5	85
New South Wales	2011	20-24	6	94
New South Wales	2011	25-29		15444
New South Wales	2011	25-29	0	149284
New South Wales	2011	25-29	1	36927
New South Wales	2011	25-29	2	25125
New South Wales	2011	25-29	3	9016
New South Wales	2011	25-29	4	2574
New South Wales	2011	25-29	5	718
New South Wales	2011	25-29	6	380
New South Wales	2011	30-34		13334
New South Wales	2011	30-34	0	87894
New South Wales	2011	30-34	1	48484
New South Wales	2011	30-34	2	54449
New South Wales	2011	30-34	3	22696
New South Wales	2011	30-34	4	7427
New South Wales	2011	30-34	5	2191
New South Wales	2011	30-34	6	1253
New South Wales	2011	35-39		12378
New South Wales	2011	35-39	0	51904
New South Wales	2011	35-39	1	40264
New South Wales	2011	35-39	2	83725
New South Wales	2011	35-39	3	41059
New South Wales	2011	35-39	4	13442
New South Wales	2011	35-39	5	3927
New South Wales	2011	35-39	6	2516
New South Wales	2011	40-44		11596
New South Wales	2011	40-44	0	39697
New South Wales	2011	40-44	1	34420
New South Wales	2011	40-44	2	90049
New South Wales	2011	40-44	3	48098
New South Wales	2011	40-44	4	16505
New South Wales	2011	40-44	5	4997
New South Wales	2011	40-44	6	3248
New South Wales	2011	45-49		11189
New South Wales	2011	45-49	0	36263
New South Wales	2011	45-49	1	32288
New South Wales	2011	45-49	2	88843
New South Wales	2011	45-49	3	49649
New South Wales	2011	45-49	4	17782
New South Wales	2011	45-49	5	5195
New South Wales	2011	45-49	6	3345
New South Wales	2011	50-54		11129
New South Wales	2011	50-54	0	33382
New South Wales	2011	50-54	1	29711
New South Wales	2011	50-54	2	84122
New South Wales	2011	50-54	3	51845
New South Wales	2011	50-54	4	19531
New South Wales	2011	50-54	5	5640
New South Wales	2011	50-54	6	3338
New South Wales	2011	55-59		10178
New South Wales	2011	55-59	0	27488
New South Wales	2011	55-59	1	24567
New South Wales	2011	55-59	2	75075
New South Wales	2011	55-59	3	48770
New South Wales	2011	55-59	4	18862
New South Wales	2011	55-59	5	5426
New South Wales	2011	55-59	6	3140
New South Wales	2011	60-64		9612
New South Wales	2011	60-64	0	22180
New South Wales	2011	60-64	1	19680
New South Wales	2011	60-64	2	71362
New South Wales	2011	60-64	3	46702
New South Wales	2011	60-64	4	18382
New South Wales	2011	60-64	5	5468
New South Wales	2011	60-64	6	3272
New South Wales	2011	65-69		8495
New South Wales	2011	65-69	0	15569
New South Wales	2011	65-69	1	13454
New South Wales	2011	65-69	2	51986
New South Wales	2011	65-69	3	37869
New South Wales	2011	65-69	4	16920
New South Wales	2011	65-69	5	5568
New South Wales	2011	65-69	6	3803
New South Wales	2011	70-74		7825
New South Wales	2011	70-74	0	11268
New South Wales	2011	70-74	1	9302
New South Wales	2011	70-74	2	35256
New South Wales	2011	70-74	3	30433
New South Wales	2011	70-74	4	16660
New South Wales	2011	70-74	5	6600
New South Wales	2011	70-74	6	5589
New South Wales	2011	75-79		7775
New South Wales	2011	75-79	0	8915
New South Wales	2011	75-79	1	7640
New South Wales	2011	75-79	2	24611
New South Wales	2011	75-79	3	23226
New South Wales	2011	75-79	4	14433
New South Wales	2011	75-79	5	6656
New South Wales	2011	75-79	6	6727
New South Wales	2011	80-84		8530
New South Wales	2011	80-84	0	7964
New South Wales	2011	80-84	1	7469
New South Wales	2011	80-84	2	20559
New South Wales	2011	80-84	3	18031
New South Wales	2011	80-84	4	11519
New South Wales	2011	80-84	5	5671
New South Wales	2011	80-84	6	6332
New South Wales	2011	85+		13925
New South Wales	2011	85+	0	9091
New South Wales	2011	85+	1	10145
New South Wales	2011	85+	2	22199
New South Wales	2011	85+	3	16461
New South Wales	2011	85+	4	9733
New South Wales	2011	85+	5	4775
New South Wales	2011	85+	6	5520
New South Wales	2016	15-19		25781
New South Wales	2016	15-19	0	190012
New South Wales	2016	15-19	1	2036
New South Wales	2016	15-19	2	311
New South Wales	2016	15-19	3	75
New South Wales	2016	15-19	4	25
New South Wales	2016	15-19	5	11
New South Wales	2016	15-19	6	66
New South Wales	2016	20-24		23797
New South Wales	2016	20-24	0	193991
New South Wales	2016	20-24	1	15085
New South Wales	2016	20-24	2	6439
New South Wales	2016	20-24	3	1453
New South Wales	2016	20-24	4	254
New South Wales	2016	20-24	5	71
New South Wales	2016	20-24	6	92
New South Wales	2016	25-29		23977
New South Wales	2016	25-29	0	169395
New South Wales	2016	25-29	1	37226
New South Wales	2016	25-29	2	24551
New South Wales	2016	25-29	3	8313
New South Wales	2016	25-29	4	2213
New South Wales	2016	25-29	5	601
New South Wales	2016	25-29	6	308
New South Wales	2016	30-34		20387
New South Wales	2016	30-34	0	104272
New South Wales	2016	30-34	1	58485
New South Wales	2016	30-34	2	58768
New South Wales	2016	30-34	3	22402
New South Wales	2016	30-34	4	6940
New South Wales	2016	30-34	5	2031
New South Wales	2016	30-34	6	1094
New South Wales	2016	35-39		16286
New South Wales	2016	35-39	0	54147
New South Wales	2016	35-39	1	43878
New South Wales	2016	35-39	2	82116
New South Wales	2016	35-39	3	37346
New South Wales	2016	35-39	4	12455
New South Wales	2016	35-39	5	3761
New South Wales	2016	35-39	6	2369
New South Wales	2016	40-44		15546
New South Wales	2016	40-44	0	40504
New South Wales	2016	40-44	1	36123
New South Wales	2016	40-44	2	92421
New South Wales	2016	40-44	3	47231
New South Wales	2016	40-44	4	16163
New South Wales	2016	40-44	5	4936
New South Wales	2016	40-44	6	3336
New South Wales	2016	45-49		15570
New South Wales	2016	45-49	0	37176
New South Wales	2016	45-49	1	34797
New South Wales	2016	45-49	2	91060
New South Wales	2016	45-49	3	48609
New South Wales	2016	45-49	4	16914
New South Wales	2016	45-49	5	5280
New South Wales	2016	45-49	6	3445
New South Wales	2016	50-54		15531
New South Wales	2016	50-54	0	34825
New South Wales	2016	50-54	1	32512
New South Wales	2016	50-54	2	87550
New South Wales	2016	50-54	3	49346
New South Wales	2016	50-54	4	17931
New South Wales	2016	50-54	5	5447
New South Wales	2016	50-54	6	3538
New South Wales	2016	55-59		15670
New South Wales	2016	55-59	0	31558
New South Wales	2016	55-59	1	30606
New South Wales	2016	55-59	2	82727
New South Wales	2016	55-59	3	51222
New South Wales	2016	55-59	4	19695
New South Wales	2016	55-59	5	5943
New South Wales	2016	55-59	6	3535
New South Wales	2016	60-64		14478
New South Wales	2016	60-64	0	25775
New South Wales	2016	60-64	1	25728
New South Wales	2016	60-64	2	73488
New South Wales	2016	60-64	3	48311
New South Wales	2016	60-64	4	18945
New South Wales	2016	60-64	5	5616
New South Wales	2016	60-64	6	3418
New South Wales	2016	65-69		14227
New South Wales	2016	65-69	0	20171
New South Wales	2016	65-69	1	19526
New South Wales	2016	65-69	2	69179
New South Wales	2016	65-69	3	45415
New South Wales	2016	65-69	4	18380
New South Wales	2016	65-69	5	5684
New South Wales	2016	65-69	6	3515
New South Wales	2016	70-74		12009
New South Wales	2016	70-74	0	13975
New South Wales	2016	70-74	1	12750
New South Wales	2016	70-74	2	49675
New South Wales	2016	70-74	3	36390
New South Wales	2016	70-74	4	16371
New South Wales	2016	70-74	5	5441
New South Wales	2016	70-74	6	3840
New South Wales	2016	75-79		10886
New South Wales	2016	75-79	0	9464
New South Wales	2016	75-79	1	8164
New South Wales	2016	75-79	2	31875
New South Wales	2016	75-79	3	28016
New South Wales	2016	75-79	4	15412
New South Wales	2016	75-79	5	6199
New South Wales	2016	75-79	6	5254
New South Wales	2016	80-84		10067
New South Wales	2016	80-84	0	6734
New South Wales	2016	80-84	1	6278
New South Wales	2016	80-84	2	20640
New South Wales	2016	80-84	3	19524
New South Wales	2016	80-84	4	12148
New South Wales	2016	80-84	5	5729
New South Wales	2016	80-84	6	5800
New South Wales	2016	85+		18788
New South Wales	2016	85+	0	8545
New South Wales	2016	85+	1	9009
New South Wales	2016	85+	2	23530
New South Wales	2016	85+	3	19874
New South Wales	2016	85+	4	12655
New South Wales	2016	85+	5	6097
New South Wales	2016	85+	6	7269
Victoria	2006	15-19		16787
Victoria	2006	15-19	0	144574
Victoria	2006	15-19	1	1757
Victoria	2006	15-19	2	278
Victoria	2006	15-19	3	92
Victoria	2006	15-19	4	46
Victoria	2006	15-19	5	17
Victoria	2006	15-19	6	52
Victoria	2006	20-24		12464
Victoria	2006	20-24	0	139039
Victoria	2006	20-24	1	10682
Victoria	2006	20-24	2	4159
Victoria	2006	20-24	3	925
Victoria	2006	20-24	4	202
Victoria	2006	20-24	5	39
Victoria	2006	20-24	6	77
Victoria	2006	25-29		10260
Victoria	2006	25-29	0	106560
Victoria	2006	25-29	1	23246
Victoria	2006	25-29	2	15489
Victoria	2006	25-29	3	5108
Victoria	2006	25-29	4	1400
Victoria	2006	25-29	5	385
Victoria	2006	25-29	6	158
Victoria	2006	30-34		9854
Victoria	2006	30-34	0	69990
Victoria	2006	30-34	1	36017
Victoria	2006	30-34	2	42950
Victoria	2006	30-34	3	16213
Victoria	2006	30-34	4	4582
Victoria	2006	30-34	5	1239
Victoria	2006	30-34	6	642
Victoria	2006	35-39		9452
Victoria	2006	35-39	0	42276
Victoria	2006	35-39	1	29724
Victoria	2006	35-39	2	66986
Victoria	2006	35-39	3	31855
Victoria	2006	35-39	4	9331
Victoria	2006	35-39	5	2432
Victoria	2006	35-39	6	1379
Victoria	2006	40-44		8669
Victoria	2006	40-44	0	29794
Victoria	2006	40-44	1	23042
Victoria	2006	40-44	2	69414
Victoria	2006	40-44	3	39034
Victoria	2006	40-44	4	12445
Victoria	2006	40-44	5	3249
Victoria	2006	40-44	6	1967
Victoria	2006	45-49		8174
Victoria	2006	45-49	0	26054
Victoria	2006	45-49	1	20404
Victoria	2006	45-49	2	66238
Victoria	2006	45-49	3	40869
Victoria	2006	45-49	4	14333
Victoria	2006	45-49	5	3627
Victoria	2006	45-49	6	2180
Victoria	2006	50-54		7799
Victoria	2006	50-54	0	20869
Victoria	2006	50-54	1	17139
Victoria	2006	50-54	2	60153
Victoria	2006	50-54	3	38562
Victoria	2006	50-54	4	14068
Victoria	2006	50-54	5	3736
Victoria	2006	50-54	6	2023
Victoria	2006	55-59		7643
Victoria	2006	55-59	0	16147
Victoria	2006	55-59	1	13931
Victoria	2006	55-59	2	56658
Victoria	2006	55-59	3	37760
Victoria	2006	55-59	4	14570
Victoria	2006	55-59	5	4177
Victoria	2006	55-59	6	2291
Victoria	2006	60-64		6544
Victoria	2006	60-64	0	10808
Victoria	2006	60-64	1	9168
Victoria	2006	60-64	2	39569
Victoria	2006	60-64	3	30428
Victoria	2006	60-64	4	13593
Victoria	2006	60-64	5	4499
Victoria	2006	60-64	6	3106
Victoria	2006	65-69		6458
Victoria	2006	65-69	0	7994
Victoria	2006	65-69	1	6705
Victoria	2006	65-69	2	26860
Victoria	2006	65-69	3	24361
Victoria	2006	65-69	4	13773
Victoria	2006	65-69	5	5558
Victoria	2006	65-69	6	4681
Victoria	2006	70-74		6499
Victoria	2006	70-74	0	6568
Victoria	2006	70-74	1	5894
Victoria	2006	70-74	2	20164
Victoria	2006	70-74	3	19551
Victoria	2006	70-74	4	12456
Victoria	2006	70-74	5	5835
Victoria	2006	70-74	6	6037
Victoria	2006	75-79		7519
Victoria	2006	75-79	0	6733
Victoria	2006	75-79	1	6338
Victoria	2006	75-79	2	17797
Victoria	2006	75-79	3	16315
Victoria	2006	75-79	4	10707
Victoria	2006	75-79	5	5311
Victoria	2006	75-79	6	6198
Victoria	2006	80-84		8003
Victoria	2006	80-84	0	6016
Victoria	2006	80-84	1	6016
Victoria	2006	80-84	2	14884
Victoria	2006	80-84	3	12083
Victoria	2006	80-84	4	7410
Victoria	2006	80-84	5	3824
Victoria	2006	80-84	6	4330
Victoria	2006	85+		10502
Victoria	2006	85+	0	6286
Victoria	2006	85+	1	6411
Victoria	2006	85+	2	12885
Victoria	2006	85+	3	9355
Victoria	2006	85+	4	5444
Victoria	2006	85+	5	2697
Victoria	2006	85+	6	3214
Victoria	2011	15-19		14757
Victoria	2011	15-19	0	151515
Victoria	2011	15-19	1	1590
Victoria	2011	15-19	2	276
Victoria	2011	15-19	3	82
Victoria	2011	15-19	4	33
Victoria	2011	15-19	5	14
Victoria	2011	15-19	6	62
Victoria	2011	20-24		11968
Victoria	2011	20-24	0	155886
Victoria	2011	20-24	1	11130
Victoria	2011	20-24	2	4219
Victoria	2011	20-24	3	904
Victoria	2011	20-24	4	169
Victoria	2011	20-24	5	45
Victoria	2011	20-24	6	96
Victoria	2011	25-29		11160
Victoria	2011	25-29	0	132765
Victoria	2011	25-29	1	27898
Victoria	2011	25-29	2	16373
Victoria	2011	25-29	3	5380
Victoria	2011	25-29	4	1487
Victoria	2011	25-29	5	354
Victoria	2011	25-29	6	155
Victoria	2011	30-34		9200
Victoria	2011	30-34	0	77789
Victoria	2011	30-34	1	39584
Victoria	2011	30-34	2	40663
Victoria	2011	30-34	3	14756
Victoria	2011	30-34	4	4295
Victoria	2011	30-34	5	1241
Victoria	2011	30-34	6	689
Victoria	2011	35-39		8421
Victoria	2011	35-39	0	45467
Victoria	2011	35-39	1	32642
Victoria	2011	35-39	2	66678
Victoria	2011	35-39	3	30254
Victoria	2011	35-39	4	8690
Victoria	2011	35-39	5	2490
Victoria	2011	35-39	6	1498
Victoria	2011	40-44		8264
Victoria	2011	40-44	0	34425
Victoria	2011	40-44	1	27394
Victoria	2011	40-44	2	76147
Victoria	2011	40-44	3	38279
Victoria	2011	40-44	4	11660
Victoria	2011	40-44	5	3170
Victoria	2011	40-44	6	2061
Victoria	2011	45-49		7831
Victoria	2011	45-49	0	29382
Victoria	2011	45-49	1	23808
Victoria	2011	45-49	2	71133
Victoria	2011	45-49	3	39693
Victoria	2011	45-49	4	12840
Victoria	2011	45-49	5	3419
Victoria	2011	45-49	6	2174
Victoria	2011	50-54		7559
Victoria	2011	50-54	0	25836
Victoria	2011	50-54	1	20819
Victoria	2011	50-54	2	66018
Victoria	2011	50-54	3	40694
Victoria	2011	50-54	4	14206
Victoria	2011	50-54	5	3630
Victoria	2011	50-54	6	2222
Victoria	2011	55-59		6946
Victoria	2011	55-59	0	20527
Victoria	2011	55-59	1	17389
Victoria	2011	55-59	2	59729
Victoria	2011	55-59	3	38125
Victoria	2011	55-59	4	13823
Victoria	2011	55-59	5	3764
Victoria	2011	55-59	6	2092
Victoria	2011	60-64		6889
Victoria	2011	60-64	0	15684
Victoria	2011	60-64	1	13929
Victoria	2011	60-64	2	55826
Victoria	2011	60-64	3	37345
Victoria	2011	60-64	4	14451
Victoria	2011	60-64	5	4183
Victoria	2011	60-64	6	2313
Victoria	2011	65-69		6193
Victoria	2011	65-69	0	10219
Victoria	2011	65-69	1	9044
Victoria	2011	65-69	2	38988
Victoria	2011	65-69	3	29639
Victoria	2011	65-69	4	13276
Victoria	2011	65-69	5	4520
Victoria	2011	65-69	6	3023
Victoria	2011	70-74		5936
Victoria	2011	70-74	0	7404
Victoria	2011	70-74	1	6348
Victoria	2011	70-74	2	25988
Victoria	2011	70-74	3	23552
Victoria	2011	70-74	4	13280
Victoria	2011	70-74	5	5359
Victoria	2011	70-74	6	4557
Victoria	2011	75-79		5804
Victoria	2011	75-79	0	5829
Victoria	2011	75-79	1	5377
Victoria	2011	75-79	2	18554
Victoria	2011	75-79	3	17938
Victoria	2011	75-79	4	11515
Victoria	2011	75-79	5	5293
Victoria	2011	75-79	6	5546
Victoria	2011	80-84		6494
Victoria	2011	80-84	0	5321
Victoria	2011	80-84	1	5377
Victoria	2011	80-84	2	15207
Victoria	2011	80-84	3	13899
Victoria	2011	80-84	4	9119
Victoria	2011	80-84	5	4527
Victoria	2011	80-84	6	5183
Victoria	2011	85+		10244
Victoria	2011	85+	0	6300
Victoria	2011	85+	1	6973
Victoria	2011	85+	2	16575
Victoria	2011	85+	3	12828
Victoria	2011	85+	4	7695
Victoria	2011	85+	5	3782
Victoria	2011	85+	6	4329
Victoria	2016	15-19		21175
Victoria	2016	15-19	0	152012
Victoria	2016	15-19	1	1029
Victoria	2016	15-19	2	170
Victoria	2016	15-19	3	36
Victoria	2016	15-19	4	22
Victoria	2016	15-19	5	8
Victoria	2016	15-19	6	41
Victoria	2016	20-24		19762
Victoria	2016	20-24	0	169364
Victoria	2016	20-24	1	10029
Victoria	2016	20-24	2	3832
Victoria	2016	20-24	3	820
Victoria	2016	20-24	4	153
Victoria	2016	20-24	5	31
Victoria	2016	20-24	6	70
Victoria	2016	25-29		19579
Victoria	2016	25-29	0	150499
Victoria	2016	25-29	1	29861
Victoria	2016	25-29	2	16727
Victoria	2016	25-29	3	5175
Victoria	2016	25-29	4	1357
Victoria	2016	25-29	5	315
Victoria	2016	25-29	6	188
Victoria	2016	30-34		16633
Victoria	2016	30-34	0	93230
Victoria	2016	30-34	1	50534
Victoria	2016	30-34	2	46416
Victoria	2016	30-34	3	15139
Victoria	2016	30-34	4	4390
Victoria	2016	30-34	5	1262
Victoria	2016	30-34	6	724
Victoria	2016	35-39		12783
Victoria	2016	35-39	0	47933
Victoria	2016	35-39	1	36489
Victoria	2016	35-39	2	67709
Victoria	2016	35-39	3	27352
Victoria	2016	35-39	4	7967
Victoria	2016	35-39	5	2281
Victoria	2016	35-39	6	1592
Victoria	2016	40-44		12282
Victoria	2016	40-44	0	35767
Victoria	2016	40-44	1	29923
Victoria	2016	40-44	2	75285
Victoria	2016	40-44	3	36176
Victoria	2016	40-44	4	10880
Victoria	2016	40-44	5	3227
Victoria	2016	40-44	6	2281
Victoria	2016	45-49		12428
Victoria	2016	45-49	0	32302
Victoria	2016	45-49	1	27948
Victoria	2016	45-49	2	77278
Victoria	2016	45-49	3	38963
Victoria	2016	45-49	4	12356
Victoria	2016	45-49	5	3507
Victoria	2016	45-49	6	2490
Victoria	2016	50-54		11960
Victoria	2016	50-54	0	28185
Victoria	2016	50-54	1	24505
Victoria	2016	50-54	2	70485
Victoria	2016	50-54	3	39520
Victoria	2016	50-54	4	13121
Victoria	2016	50-54	5	3602
Victoria	2016	50-54	6	2397
Victoria	2016	55-59		11865
Victoria	2016	55-59	0	24477
Victoria	2016	55-59	1	21525
Victoria	2016	55-59	2	65062
Victoria	2016	55-59	3	40445
Victoria	2016	55-59	4	14608
Victoria	2016	55-59	5	3994
Victoria	2016	55-59	6	2471
Victoria	2016	60-64		11059
Victoria	2016	60-64	0	19367
Victoria	2016	60-64	1	18167
Victoria	2016	60-64	2	58644
Victoria	2016	60-64	3	37693
Victoria	2016	60-64	4	14212
Victoria	2016	60-64	5	3981
Victoria	2016	60-64	6	2327
Victoria	2016	65-69		11018
Victoria	2016	65-69	0	14449
Victoria	2016	65-69	1	13701
Victoria	2016	65-69	2	54357
Victoria	2016	65-69	3	36430
Victoria	2016	65-69	4	14419
Victoria	2016	65-69	5	4357
Victoria	2016	65-69	6	2580
Victoria	2016	70-74		8993
Victoria	2016	70-74	0	9209
Victoria	2016	70-74	1	8498
Victoria	2016	70-74	2	37364
Victoria	2016	70-74	3	28628
Victoria	2016	70-74	4	13104
Victoria	2016	70-74	5	4511
Victoria	2016	70-74	6	3167
Victoria	2016	75-79		8070
Victoria	2016	75-79	0	6334
Victoria	2016	75-79	1	5845
Victoria	2016	75-79	2	24054
Victoria	2016	75-79	3	21902
Victoria	2016	75-79	4	12501
Victoria	2016	75-79	5	5046
Victoria	2016	75-79	6	4441
Victoria	2016	80-84		7425
Victoria	2016	80-84	0	4464
Victoria	2016	80-84	1	4511
Victoria	2016	80-84	2	16208
Victoria	2016	80-84	3	15473
Victoria	2016	80-84	4	9921
Victoria	2016	80-84	5	4553
Victoria	2016	80-84	6	4804
Victoria	2016	85+		12030
Victoria	2016	85+	0	6046
Victoria	2016	85+	1	6755
Victoria	2016	85+	2	18227
Victoria	2016	85+	3	16116
Victoria	2016	85+	4	10267
Victoria	2016	85+	5	5099
Victoria	2016	85+	6	5891
Queensland	2006	15-19		13420
Queensland	2006	15-19	0	115077
Queensland	2006	15-19	1	2999
Queensland	2006	15-19	2	455
Queensland	2006	15-19	3	78
Queensland	2006	15-19	4	40
Queensland	2006	15-19	5	20
Queensland	2006	15-19	6	38
Queensland	2006	20-24		10113
Queensland	2006	20-24	0	101341
Queensland	2006	20-24	1	14078
Queensland	2006	20-24	2	6099
Queensland	2006	20-24	3	1573
Queensland	2006	20-24	4	325
Queensland	2006	20-24	5	75
Queensland	2006	20-24	6	58
Queensland	2006	25-29		7917
Queensland	2006	25-29	0	67897
Queensland	2006	25-29	1	21886
Queensland	2006	25-29	2	17673
Queensland	2006	25-29	3	6556
Queensland	2006	25-29	4	2185
Queensland	2006	25-29	5	613
Queensland	2006	25-29	6	294
Queensland	2006	30-34		7761
Queensland	2006	30-34	0	43415
Queensland	2006	30-34	1	26845
Queensland	2006	30-34	2	37181
Queensland	2006	30-34	3	16665
Queensland	2006	30-34	4	5566
Queensland	2006	30-34	5	1697
Queensland	2006	30-34	6	1036
Queensland	2006	35-39		7727
Queensland	2006	35-39	0	27618
Queensland	2006	35-39	1	21857
Queensland	2006	35-39	2	49854
Queensland	2006	35-39	3	26163
Queensland	2006	35-39	4	9377
Queensland	2006	35-39	5	2879
Queensland	2006	35-39	6	1862
Queensland	2006	40-44		7687
Queensland	2006	40-44	0	21368
Queensland	2006	40-44	1	18171
Queensland	2006	40-44	2	52227
Queensland	2006	40-44	3	30635
Queensland	2006	40-44	4	11754
Queensland	2006	40-44	5	3697
Queensland	2006	40-44	6	2283
Queensland	2006	45-49		7283
Queensland	2006	45-49	0	18444
Queensland	2006	45-49	1	15808
Queensland	2006	45-49	2	50016
Queensland	2006	45-49	3	32994
Queensland	2006	45-49	4	12978
Queensland	2006	45-49	5	3731
Queensland	2006	45-49	6	2308
Queensland	2006	50-54		6866
Queensland	2006	50-54	0	15317
Queensland	2006	50-54	1	13374
Queensland	2006	50-54	2	45401
Queensland	2006	50-54	3	30552
Queensland	2006	50-54	4	12480
Queensland	2006	50-54	5	3704
Queensland	2006	50-54	6	2172
Queensland	2006	55-59		6575
Queensland	2006	55-59	0	12783
Queensland	2006	55-59	1	11332
Queensland	2006	55-59	2	43075
Queensland	2006	55-59	3	29647
Queensland	2006	55-59	4	12643
Queensland	2006	55-59	5	3793
Queensland	2006	55-59	6	2318
Queensland	2006	60-64		5416
Queensland	2006	60-64	0	9135
Queensland	2006	60-64	1	7926
Queensland	2006	60-64	2	30045
Queensland	2006	60-64	3	23740
Queensland	2006	60-64	4	11390
Queensland	2006	60-64	5	4118
Queensland	2006	60-64	6	2751
Queensland	2006	65-69		4808
Queensland	2006	65-69	0	6771
Queensland	2006	65-69	1	5113
Queensland	2006	65-69	2	18216
Queensland	2006	65-69	3	18058
Queensland	2006	65-69	4	10950
Queensland	2006	65-69	5	4741
Queensland	2006	65-69	6	3931
Queensland	2006	70-74		4519
Queensland	2006	70-74	0	5215
Queensland	2006	70-74	1	4085
Queensland	2006	70-74	2	12059
Queensland	2006	70-74	3	12940
Queensland	2006	70-74	4	9166
Queensland	2006	70-74	5	4770
Queensland	2006	70-74	6	4694
Queensland	2006	75-79		5346
Queensland	2006	75-79	0	4880
