STE_NAME16	Year	Age	FOE	adults
New South Wales	2016	55-64	Agriculture environmental and related studies	10810
New South Wales	2016	55-64	Architecture and building	29817
New South Wales	2016	55-64	Creative arts	13995
New South Wales	2016	55-64	Education	56468
New South Wales	2016	55-64	Engineering and related technologies	92523
New South Wales	2016	55-64	Field of study not stated	78530
New South Wales	2016	55-64	Food hospitality and personal services	17242
New South Wales	2016	55-64	Health	58615
New South Wales	2016	55-64	Information technology	10040
New South Wales	2016	55-64	Management and commerce	104990
New South Wales	2016	55-64	Mixed field programmes	1364
New South Wales	2016	55-64	Natural and physical sciences	15934
New South Wales	2016	55-64	Society and culture	62893
New South Wales	2016	65-74	Agriculture environmental and related studies	6283
New South Wales	2016	65-74	Architecture and building	20079
New South Wales	2016	65-74	Creative arts	7977
New South Wales	2016	65-74	Education	35775
New South Wales	2016	65-74	Engineering and related technologies	68860
New South Wales	2016	65-74	Field of study not stated	70532
New South Wales	2016	65-74	Food hospitality and personal services	11781
New South Wales	2016	65-74	Health	32604
New South Wales	2016	65-74	Information technology	3276
New South Wales	2016	65-74	Management and commerce	62109
New South Wales	2016	65-74	Mixed field programmes	1513
New South Wales	2016	65-74	Natural and physical sciences	10562
New South Wales	2016	65-74	Society and culture	34099
New South Wales	2016	75-84	Agriculture environmental and related studies	2711
New South Wales	2016	75-84	Architecture and building	10463
New South Wales	2016	75-84	Creative arts	3250
New South Wales	2016	75-84	Education	13957
New South Wales	2016	75-84	Engineering and related technologies	35033
New South Wales	2016	75-84	Field of study not stated	55741
New South Wales	2016	75-84	Food hospitality and personal services	4053
New South Wales	2016	75-84	Health	15205
New South Wales	2016	75-84	Information technology	486
New South Wales	2016	75-84	Management and commerce	21069
New South Wales	2016	75-84	Mixed field programmes	1274
New South Wales	2016	75-84	Natural and physical sciences	3842
New South Wales	2016	75-84	Society and culture	10588
New South Wales	2016	85+	Agriculture environmental and related studies	715
New South Wales	2016	85+	Architecture and building	2888
New South Wales	2016	85+	Creative arts	1072
New South Wales	2016	85+	Education	4116
New South Wales	2016	85+	Engineering and related technologies	11705
New South Wales	2016	85+	Field of study not stated	37780
New South Wales	2016	85+	Food hospitality and personal services	1465
New South Wales	2016	85+	Health	5488
New South Wales	2016	85+	Information technology	78
New South Wales	2016	85+	Management and commerce	7849
New South Wales	2016	85+	Mixed field programmes	541
New South Wales	2016	85+	Natural and physical sciences	1117
New South Wales	2016	85+	Society and culture	2876
Victoria	2006	15-19	Agriculture environmental and related studies	676
Victoria	2006	15-19	Architecture and building	1662
Victoria	2006	15-19	Creative arts	1195
Victoria	2006	15-19	Education	193
Victoria	2006	15-19	Engineering and related technologies	2140
Victoria	2006	15-19	Field of study not stated	40023
Victoria	2006	15-19	Food hospitality and personal services	3862
Victoria	2006	15-19	Health	552
Victoria	2006	15-19	Information technology	853
Victoria	2006	15-19	Management and commerce	3730
Victoria	2006	15-19	Mixed field programmes	334
Victoria	2006	15-19	Natural and physical sciences	126
Victoria	2006	15-19	Society and culture	1706
Victoria	2006	20-24	Agriculture environmental and related studies	3949
Victoria	2006	20-24	Architecture and building	9303
Victoria	2006	20-24	Creative arts	10709
Victoria	2006	20-24	Education	4486
Victoria	2006	20-24	Engineering and related technologies	15721
Victoria	2006	20-24	Field of study not stated	34684
Victoria	2006	20-24	Food hospitality and personal services	14017
Victoria	2006	20-24	Health	10136
Victoria	2006	20-24	Information technology	9574
Victoria	2006	20-24	Management and commerce	35669
Victoria	2006	20-24	Mixed field programmes	570
Victoria	2006	20-24	Natural and physical sciences	4987
Victoria	2006	20-24	Society and culture	16168
Victoria	2006	25-34	Agriculture environmental and related studies	11450
Victoria	2006	25-34	Architecture and building	23975
Victoria	2006	25-34	Creative arts	23229
Victoria	2006	25-34	Education	24983
Victoria	2006	25-34	Engineering and related technologies	58428
Victoria	2006	25-34	Field of study not stated	64318
Victoria	2006	25-34	Food hospitality and personal services	26668
Victoria	2006	25-34	Health	36114
Victoria	2006	25-34	Information technology	26517
Victoria	2006	25-34	Management and commerce	95644
Victoria	2006	25-34	Mixed field programmes	351
Victoria	2006	25-34	Natural and physical sciences	16349
Victoria	2006	25-34	Society and culture	50105
Victoria	2006	35-44	Agriculture environmental and related studies	10597
Victoria	2006	35-44	Architecture and building	25263
Victoria	2006	35-44	Creative arts	15239
Victoria	2006	35-44	Education	32613
Victoria	2006	35-44	Engineering and related technologies	75155
Victoria	2006	35-44	Field of study not stated	68716
Victoria	2006	35-44	Food hospitality and personal services	22952
Victoria	2006	35-44	Health	42239
Victoria	2006	35-44	Information technology	16508
Victoria	2006	35-44	Management and commerce	79473
Victoria	2006	35-44	Mixed field programmes	354
Victoria	2006	35-44	Natural and physical sciences	14570
Victoria	2006	35-44	Society and culture	44938
Victoria	2006	45-54	Agriculture environmental and related studies	7261
Victoria	2006	45-54	Architecture and building	21297
Victoria	2006	45-54	Creative arts	9823
Victoria	2006	45-54	Education	44080
Victoria	2006	45-54	Engineering and related technologies	68517
Victoria	2006	45-54	Field of study not stated	62691
Victoria	2006	45-54	Food hospitality and personal services	13953
Victoria	2006	45-54	Health	42345
Victoria	2006	45-54	Information technology	8714
Victoria	2006	45-54	Management and commerce	56968
Victoria	2006	45-54	Mixed field programmes	387
Victoria	2006	45-54	Natural and physical sciences	11704
Victoria	2006	45-54	Society and culture	40805
Victoria	2006	55-64	Agriculture environmental and related studies	3813
Victoria	2006	55-64	Architecture and building	14116
Victoria	2006	55-64	Creative arts	5524
Victoria	2006	55-64	Education	32807
Victoria	2006	55-64	Engineering and related technologies	51735
Victoria	2006	55-64	Field of study not stated	55149
Victoria	2006	55-64	Food hospitality and personal services	9852
Victoria	2006	55-64	Health	25406
Victoria	2006	55-64	Information technology	2792
Victoria	2006	55-64	Management and commerce	34248
Victoria	2006	55-64	Mixed field programmes	292
Victoria	2006	55-64	Natural and physical sciences	7395
Victoria	2006	55-64	Society and culture	25216
Victoria	2006	65-74	Agriculture environmental and related studies	1780
Victoria	2006	65-74	Architecture and building	9111
Victoria	2006	65-74	Creative arts	2410
Victoria	2006	65-74	Education	13390
Victoria	2006	65-74	Engineering and related technologies	30276
Victoria	2006	65-74	Field of study not stated	52468
Victoria	2006	65-74	Food hospitality and personal services	4037
Victoria	2006	65-74	Health	13215
Victoria	2006	65-74	Information technology	383
Victoria	2006	65-74	Management and commerce	13589
Victoria	2006	65-74	Mixed field programmes	226
Victoria	2006	65-74	Natural and physical sciences	2740
Victoria	2006	65-74	Society and culture	8481
Victoria	2006	75-84	Agriculture environmental and related studies	922
Victoria	2006	75-84	Architecture and building	4161
Victoria	2006	75-84	Creative arts	1466
Victoria	2006	75-84	Education	5680
Victoria	2006	75-84	Engineering and related technologies	16807
Victoria	2006	75-84	Field of study not stated	58409
Victoria	2006	75-84	Food hospitality and personal services	2056
Victoria	2006	75-84	Health	6951
Victoria	2006	75-84	Information technology	110
Victoria	2006	75-84	Management and commerce	8496
Victoria	2006	75-84	Mixed field programmes	185
Victoria	2006	75-84	Natural and physical sciences	1514
Victoria	2006	75-84	Society and culture	3592
Victoria	2006	85+	Agriculture environmental and related studies	202
Victoria	2006	85+	Architecture and building	835
Victoria	2006	85+	Creative arts	478
Victoria	2006	85+	Education	1556
Victoria	2006	85+	Engineering and related technologies	3402
Victoria	2006	85+	Field of study not stated	26836
Victoria	2006	85+	Food hospitality and personal services	544
Victoria	2006	85+	Health	1937
Victoria	2006	85+	Information technology	26
Victoria	2006	85+	Management and commerce	2241
Victoria	2006	85+	Mixed field programmes	71
Victoria	2006	85+	Natural and physical sciences	335
Victoria	2006	85+	Society and culture	832
Victoria	2011	15-19	Agriculture environmental and related studies	709
Victoria	2011	15-19	Architecture and building	2231
Victoria	2011	15-19	Creative arts	1360
Victoria	2011	15-19	Education	232
Victoria	2011	15-19	Engineering and related technologies	2314
Victoria	2011	15-19	Field of study not stated	33629
Victoria	2011	15-19	Food hospitality and personal services	4284
Victoria	2011	15-19	Health	745
Victoria	2011	15-19	Information technology	676
Victoria	2011	15-19	Management and commerce	4669
Victoria	2011	15-19	Mixed field programmes	347
Victoria	2011	15-19	Natural and physical sciences	141
Victoria	2011	15-19	Society and culture	3031
Victoria	2011	20-24	Agriculture environmental and related studies	3636
Victoria	2011	20-24	Architecture and building	13448
Victoria	2011	20-24	Creative arts	12718
Victoria	2011	20-24	Education	5276
Victoria	2011	20-24	Engineering and related technologies	18623
Victoria	2011	20-24	Field of study not stated	31918
Victoria	2011	20-24	Food hospitality and personal services	17695
Victoria	2011	20-24	Health	13632
Victoria	2011	20-24	Information technology	5864
Victoria	2011	20-24	Management and commerce	38323
Victoria	2011	20-24	Mixed field programmes	581
Victoria	2011	20-24	Natural and physical sciences	5824
Victoria	2011	20-24	Society and culture	20653
Victoria	2011	25-34	Agriculture environmental and related studies	11987
Victoria	2011	25-34	Architecture and building	30903
Victoria	2011	25-34	Creative arts	31895
Victoria	2011	25-34	Education	30355
Victoria	2011	25-34	Engineering and related technologies	62801
Victoria	2011	25-34	Field of study not stated	64746
Victoria	2011	25-34	Food hospitality and personal services	36614
Victoria	2011	25-34	Health	48041
Victoria	2011	25-34	Information technology	34900
Victoria	2011	25-34	Management and commerce	125876
Victoria	2011	25-34	Mixed field programmes	488
Victoria	2011	25-34	Natural and physical sciences	18961
Victoria	2011	25-34	Society and culture	64030
Victoria	2011	35-44	Agriculture environmental and related studies	11855
Victoria	2011	35-44	Architecture and building	29340
Victoria	2011	35-44	Creative arts	20760
Victoria	2011	35-44	Education	34514
Victoria	2011	35-44	Engineering and related technologies	73692
Victoria	2011	35-44	Field of study not stated	62524
Victoria	2011	35-44	Food hospitality and personal services	27564
Victoria	2011	35-44	Health	48105
Victoria	2011	35-44	Information technology	22910
Victoria	2011	35-44	Management and commerce	108265
Victoria	2011	35-44	Mixed field programmes	373
Victoria	2011	35-44	Natural and physical sciences	18038
Victoria	2011	35-44	Society and culture	61800
Victoria	2011	45-54	Agriculture environmental and related studies	9598
Victoria	2011	45-54	Architecture and building	23845
Victoria	2011	45-54	Creative arts	12215
Victoria	2011	45-54	Education	39429
Victoria	2011	45-54	Engineering and related technologies	75071
Victoria	2011	45-54	Field of study not stated	59309
Victoria	2011	45-54	Food hospitality and personal services	18498
Victoria	2011	45-54	Health	47299
Victoria	2011	45-54	Information technology	12393
Victoria	2011	45-54	Management and commerce	76282
Victoria	2011	45-54	Mixed field programmes	384
Victoria	2011	45-54	Natural and physical sciences	14013
Victoria	2011	45-54	Society and culture	51076
Victoria	2011	55-64	Agriculture environmental and related studies	5436
Victoria	2011	55-64	Architecture and building	17000
Victoria	2011	55-64	Creative arts	7633
Victoria	2011	55-64	Education	41567
Victoria	2011	55-64	Engineering and related technologies	59774
Victoria	2011	55-64	Field of study not stated	53374
Victoria	2011	55-64	Food hospitality and personal services	11819
Victoria	2011	55-64	Health	35100
Victoria	2011	55-64	Information technology	5118
Victoria	2011	55-64	Management and commerce	48216
Victoria	2011	55-64	Mixed field programmes	307
Victoria	2011	55-64	Natural and physical sciences	10048
Victoria	2011	55-64	Society and culture	38120
Victoria	2011	65-74	Agriculture environmental and related studies	2586
Victoria	2011	65-74	Architecture and building	10652
Victoria	2011	65-74	Creative arts	3582
Victoria	2011	65-74	Education	21427
Victoria	2011	65-74	Engineering and related technologies	37847
Victoria	2011	65-74	Field of study not stated	49137
Victoria	2011	65-74	Food hospitality and personal services	6103
Victoria	2011	65-74	Health	17551
Victoria	2011	65-74	Information technology	932
Victoria	2011	65-74	Management and commerce	20767
Victoria	2011	65-74	Mixed field programmes	242
Victoria	2011	65-74	Natural and physical sciences	4726
Victoria	2011	65-74	Society and culture	14650
Victoria	2011	75-84	Agriculture environmental and related studies	1091
Victoria	2011	75-84	Architecture and building	5199
Victoria	2011	75-84	Creative arts	1589
Victoria	2011	75-84	Education	7623
Victoria	2011	75-84	Engineering and related technologies	19219
Victoria	2011	75-84	Field of study not stated	48217
Victoria	2011	75-84	Food hospitality and personal services	2465
Victoria	2011	75-84	Health	8837
Victoria	2011	75-84	Information technology	113
Victoria	2011	75-84	Management and commerce	8929
Victoria	2011	75-84	Mixed field programmes	190
Victoria	2011	75-84	Natural and physical sciences	1738
Victoria	2011	75-84	Society and culture	4807
Victoria	2011	85+	Agriculture environmental and related studies	281
Victoria	2011	85+	Architecture and building	1274
Victoria	2011	85+	Creative arts	551
Victoria	2011	85+	Education	2125
Victoria	2011	85+	Engineering and related technologies	5588
Victoria	2011	85+	Field of study not stated	27931
Victoria	2011	85+	Food hospitality and personal services	657
Victoria	2011	85+	Health	2795
Victoria	2011	85+	Information technology	24
Victoria	2011	85+	Management and commerce	3397
Victoria	2011	85+	Mixed field programmes	82
Victoria	2011	85+	Natural and physical sciences	602
Victoria	2011	85+	Society and culture	1186
Victoria	2016	15-19	Agriculture environmental and related studies	736
Victoria	2016	15-19	Architecture and building	2132
Victoria	2016	15-19	Creative arts	1876
Victoria	2016	15-19	Education	600
Victoria	2016	15-19	Engineering and related technologies	2353
Victoria	2016	15-19	Field of study not stated	28950
Victoria	2016	15-19	Food hospitality and personal services	3557
Victoria	2016	15-19	Health	1207
Victoria	2016	15-19	Information technology	631
Victoria	2016	15-19	Management and commerce	3495
Victoria	2016	15-19	Mixed field programmes	757
Victoria	2016	15-19	Natural and physical sciences	282
Victoria	2016	15-19	Society and culture	3870
Victoria	2016	20-24	Agriculture environmental and related studies	3931
Victoria	2016	20-24	Architecture and building	14342
Victoria	2016	20-24	Creative arts	15168
Victoria	2016	20-24	Education	7758
Victoria	2016	20-24	Engineering and related technologies	20040
Victoria	2016	20-24	Field of study not stated	34573
Victoria	2016	20-24	Food hospitality and personal services	15633
Victoria	2016	20-24	Health	16298
Victoria	2016	20-24	Information technology	6849
Victoria	2016	20-24	Management and commerce	39764
Victoria	2016	20-24	Mixed field programmes	1049
Victoria	2016	20-24	Natural and physical sciences	9429
