STE_NAME16	Year	IndustryOfEmployment	Sex	workers
Victoria	2006	Transport postal and warehousing	M	79861
Victoria	2006	Wholesale trade	F	39963
Victoria	2006	Wholesale trade	M	72593
Victoria	2011		F	24999
Victoria	2011		M	36173
Victoria	2011	Accommodation and food services	F	84692
Victoria	2011	Accommodation and food services	M	69209
Victoria	2011	Administrative and support services	F	41231
Victoria	2011	Administrative and support services	M	41953
Victoria	2011	Agriculture forestry and fishing	F	17594
Victoria	2011	Agriculture forestry and fishing	M	39455
Victoria	2011	Arts and recreation services	F	20611
Victoria	2011	Arts and recreation services	M	22996
Victoria	2011	Construction	F	25503
Victoria	2011	Construction	M	185473
Victoria	2011	Education and training	F	140295
Victoria	2011	Education and training	M	62026
Victoria	2011	Electricity gas water and waste services	F	7512
Victoria	2011	Electricity gas water and waste services	M	20116
Victoria	2011	Financial and insurance services	F	52800
Victoria	2011	Financial and insurance services	M	51901
Victoria	2011	Health care and social assistance	F	232494
Victoria	2011	Health care and social assistance	M	59925
Victoria	2011	Information media and telecommunications	F	20045
Victoria	2011	Information media and telecommunications	M	30048
Victoria	2011	Manufacturing	F	74061
Victoria	2011	Manufacturing	M	196991
Victoria	2011	Mining	F	1585
Victoria	2011	Mining	M	7535
Victoria	2011	Other services	F	40387
Victoria	2011	Other services	M	50762
Victoria	2011	Professional scientific and technical services	F	86639
Victoria	2011	Professional scientific and technical services	M	109601
Victoria	2011	Public administration and safety	F	66946
Victoria	2011	Public administration and safety	M	68007
Victoria	2011	Rental hiring and real estate services	F	17315
Victoria	2011	Rental hiring and real estate services	M	17734
Victoria	2011	Retail trade	F	156344
Victoria	2011	Retail trade	M	117370
Victoria	2011	Transport postal and warehousing	F	27739
Victoria	2011	Transport postal and warehousing	M	90482
Victoria	2011	Wholesale trade	F	40322
Victoria	2011	Wholesale trade	M	73771
Victoria	2016		F	48434
Victoria	2016		M	80894
Victoria	2016	Accommodation and food services	F	96199
Victoria	2016	Accommodation and food services	M	84630
Victoria	2016	Administrative and support services	F	47516
Victoria	2016	Administrative and support services	M	45797
Victoria	2016	Agriculture forestry and fishing	F	18981
Victoria	2016	Agriculture forestry and fishing	M	41931
Victoria	2016	Arts and recreation services	F	24507
Victoria	2016	Arts and recreation services	M	28259
Victoria	2016	Construction	F	27340
Victoria	2016	Construction	M	200809
Victoria	2016	Education and training	F	165409
Victoria	2016	Education and training	M	70865
Victoria	2016	Electricity gas water and waste services	F	8397
Victoria	2016	Electricity gas water and waste services	M	22407
Victoria	2016	Financial and insurance services	F	52594
Victoria	2016	Financial and insurance services	M	54078
Victoria	2016	Health care and social assistance	F	270795
Victoria	2016	Health care and social assistance	M	71205
Victoria	2016	Information media and telecommunications	F	20048
Victoria	2016	Information media and telecommunications	M	32156
Victoria	2016	Manufacturing	F	60994
Victoria	2016	Manufacturing	M	151722
Victoria	2016	Mining	F	1604
Victoria	2016	Mining	M	7538
Victoria	2016	Other services	F	44851
Victoria	2016	Other services	M	53404
Victoria	2016	Professional scientific and technical services	F	96600
Victoria	2016	Professional scientific and technical services	M	120796
Victoria	2016	Public administration and safety	F	71014
Victoria	2016	Public administration and safety	M	73307
Victoria	2016	Rental hiring and real estate services	F	21618
Victoria	2016	Rental hiring and real estate services	M	21400
Victoria	2016	Retail trade	F	157246
Victoria	2016	Retail trade	M	122393
Victoria	2016	Transport postal and warehousing	F	30341
Victoria	2016	Transport postal and warehousing	M	99728
Victoria	2016	Wholesale trade	F	31520
Victoria	2016	Wholesale trade	M	56795
Queensland	2006		F	19689
Queensland	2006		M	29111
Queensland	2006	Accommodation and food services	F	75575
Queensland	2006	Accommodation and food services	M	52060
Queensland	2006	Administrative and support services	F	29096
Queensland	2006	Administrative and support services	M	26610
Queensland	2006	Agriculture forestry and fishing	F	20224
Queensland	2006	Agriculture forestry and fishing	M	41510
Queensland	2006	Arts and recreation services	F	12144
Queensland	2006	Arts and recreation services	M	12479
Queensland	2006	Construction	F	23703
Queensland	2006	Construction	M	141228
Queensland	2006	Education and training	F	98747
Queensland	2006	Education and training	M	40342
Queensland	2006	Electricity gas water and waste services	F	3863
Queensland	2006	Electricity gas water and waste services	M	14678
Queensland	2006	Financial and insurance services	F	30583
Queensland	2006	Financial and insurance services	M	21451
Queensland	2006	Health care and social assistance	F	146826
Queensland	2006	Health care and social assistance	M	39510
Queensland	2006	Information media and telecommunications	F	11418
Queensland	2006	Information media and telecommunications	M	14930
Queensland	2006	Manufacturing	F	43516
Queensland	2006	Manufacturing	M	136695
Queensland	2006	Mining	F	4091
Queensland	2006	Mining	M	26627
Queensland	2006	Other services	F	30580
Queensland	2006	Other services	M	37778
Queensland	2006	Professional scientific and technical services	F	48905
Queensland	2006	Professional scientific and technical services	M	53510
Queensland	2006	Public administration and safety	F	52059
Queensland	2006	Public administration and safety	M	70359
Queensland	2006	Rental hiring and real estate services	F	19794
Queensland	2006	Rental hiring and real estate services	M	18189
Queensland	2006	Retail trade	F	123447
Queensland	2006	Retail trade	M	88975
Queensland	2006	Transport postal and warehousing	F	22169
Queensland	2006	Transport postal and warehousing	M	70450
Queensland	2006	Wholesale trade	F	23996
Queensland	2006	Wholesale trade	M	48080
Queensland	2011		F	19208
Queensland	2011		M	28857
Queensland	2011	Accommodation and food services	F	83326
Queensland	2011	Accommodation and food services	M	58529
Queensland	2011	Administrative and support services	F	34121
Queensland	2011	Administrative and support services	M	30890
Queensland	2011	Agriculture forestry and fishing	F	17945
Queensland	2011	Agriculture forestry and fishing	M	37468
Queensland	2011	Arts and recreation services	F	13854
Queensland	2011	Arts and recreation services	M	14586
Queensland	2011	Construction	F	26437
Queensland	2011	Construction	M	157346
Queensland	2011	Education and training	F	115149
Queensland	2011	Education and training	M	45772
Queensland	2011	Electricity gas water and waste services	F	5884
Queensland	2011	Electricity gas water and waste services	M	18951
Queensland	2011	Financial and insurance services	F	31514
Queensland	2011	Financial and insurance services	M	22634
Queensland	2011	Health care and social assistance	F	191477
Queensland	2011	Health care and social assistance	M	51083
Queensland	2011	Information media and telecommunications	F	11198
Queensland	2011	Information media and telecommunications	M	14159
Queensland	2011	Manufacturing	F	41966
Queensland	2011	Manufacturing	M	129702
Queensland	2011	Mining	F	8974
Queensland	2011	Mining	M	43980
Queensland	2011	Other services	F	35402
Queensland	2011	Other services	M	43310
Queensland	2011	Professional scientific and technical services	F	61013
Queensland	2011	Professional scientific and technical services	M	71744
Queensland	2011	Public administration and safety	F	61428
Queensland	2011	Public administration and safety	M	75391
Queensland	2011	Rental hiring and real estate services	F	19393
Queensland	2011	Rental hiring and real estate services	M	17620
Queensland	2011	Retail trade	F	129045
Queensland	2011	Retail trade	M	88563
Queensland	2011	Transport postal and warehousing	F	25933
Queensland	2011	Transport postal and warehousing	M	81140
Queensland	2011	Wholesale trade	F	24532
Queensland	2011	Wholesale trade	M	49757
Queensland	2016		F	34008
Queensland	2016		M	57496
Queensland	2016	Accommodation and food services	F	88985
Queensland	2016	Accommodation and food services	M	67686
Queensland	2016	Administrative and support services	F	40816
Queensland	2016	Administrative and support services	M	34520
Queensland	2016	Agriculture forestry and fishing	F	20138
Queensland	2016	Agriculture forestry and fishing	M	40470
Queensland	2016	Arts and recreation services	F	16368
Queensland	2016	Arts and recreation services	M	17299
Queensland	2016	Construction	F	25711
Queensland	2016	Construction	M	165630
Queensland	2016	Education and training	F	139985
Queensland	2016	Education and training	M	52160
Queensland	2016	Electricity gas water and waste services	F	5432
Queensland	2016	Electricity gas water and waste services	M	18452
Queensland	2016	Financial and insurance services	F	30697
Queensland	2016	Financial and insurance services	M	23592
Queensland	2016	Health care and social assistance	F	217453
Queensland	2016	Health care and social assistance	M	59499
Queensland	2016	Information media and telecommunications	F	10317
Queensland	2016	Information media and telecommunications	M	14949
Queensland	2016	Manufacturing	F	33811
Queensland	2016	Manufacturing	M	94977
Queensland	2016	Mining	F	7830
Queensland	2016	Mining	M	42168
Queensland	2016	Other services	F	39257
Queensland	2016	Other services	M	44213
Queensland	2016	Professional scientific and technical services	F	62686
Queensland	2016	Professional scientific and technical services	M	70961
Queensland	2016	Public administration and safety	F	62499
Queensland	2016	Public administration and safety	M	77667
Queensland	2016	Rental hiring and real estate services	F	22439
Queensland	2016	Rental hiring and real estate services	M	20064
Queensland	2016	Retail trade	F	123428
Queensland	2016	Retail trade	M	88344
Queensland	2016	Transport postal and warehousing	F	26451
Queensland	2016	Transport postal and warehousing	M	81635
Queensland	2016	Wholesale trade	F	18160
Queensland	2016	Wholesale trade	M	38207
South Australia	2006		F	5917
South Australia	2006		M	8309
South Australia	2006	Accommodation and food services	F	24062
South Australia	2006	Accommodation and food services	M	16308
South Australia	2006	Administrative and support services	F	12941
South Australia	2006	Administrative and support services	M	10325
South Australia	2006	Agriculture forestry and fishing	F	9110
South Australia	2006	Agriculture forestry and fishing	M	22865
South Australia	2006	Arts and recreation services	F	3896
South Australia	2006	Arts and recreation services	M	4055
South Australia	2006	Construction	F	6195
South Australia	2006	Construction	M	39887
South Australia	2006	Education and training	F	35839
South Australia	2006	Education and training	M	16538
South Australia	2006	Electricity gas water and waste services	F	1531
South Australia	2006	Electricity gas water and waste services	M	5900
South Australia	2006	Financial and insurance services	F	13017
South Australia	2006	Financial and insurance services	M	8971
South Australia	2006	Health care and social assistance	F	68218
South Australia	2006	Health care and social assistance	M	18000
South Australia	2006	Information media and telecommunications	F	4509
South Australia	2006	Information media and telecommunications	M	6235
South Australia	2006	Manufacturing	F	21665
South Australia	2006	Manufacturing	M	66828
South Australia	2006	Mining	F	958
South Australia	2006	Mining	M	5008
South Australia	2006	Other services	F	11291
South Australia	2006	Other services	M	14957
South Australia	2006	Professional scientific and technical services	F	16700
South Australia	2006	Professional scientific and technical services	M	19474
South Australia	2006	Public administration and safety	F	19671
South Australia	2006	Public administration and safety	M	25202
South Australia	2006	Rental hiring and real estate services	F	4875
South Australia	2006	Rental hiring and real estate services	M	4703
South Australia	2006	Retail trade	F	46003
South Australia	2006	Retail trade	M	35398
South Australia	2006	Transport postal and warehousing	F	5936
South Australia	2006	Transport postal and warehousing	M	22809
South Australia	2006	Wholesale trade	F	8105
South Australia	2006	Wholesale trade	M	17688
South Australia	2011		F	5633
South Australia	2011		M	8259
South Australia	2011	Accommodation and food services	F	27203
South Australia	2011	Accommodation and food services	M	19043
South Australia	2011	Administrative and support services	F	14203
South Australia	2011	Administrative and support services	M	11238
South Australia	2011	Agriculture forestry and fishing	F	7807
South Australia	2011	Agriculture forestry and fishing	M	20989
South Australia	2011	Arts and recreation services	F	4567
South Australia	2011	Arts and recreation services	M	4742
South Australia	2011	Construction	F	7067
South Australia	2011	Construction	M	48533
South Australia	2011	Education and training	F	40494
South Australia	2011	Education and training	M	18144
South Australia	2011	Electricity gas water and waste services	F	2313
South Australia	2011	Electricity gas water and waste services	M	7618
South Australia	2011	Financial and insurance services	F	13009
South Australia	2011	Financial and insurance services	M	9038
South Australia	2011	Health care and social assistance	F	79770
South Australia	2011	Health care and social assistance	M	20828
South Australia	2011	Information media and telecommunications	F	4329
South Australia	2011	Information media and telecommunications	M	6253
South Australia	2011	Manufacturing	F	18866
South Australia	2011	Manufacturing	M	59027
South Australia	2011	Mining	F	1574
South Australia	2011	Mining	M	8078
South Australia	2011	Other services	F	12636
South Australia	2011	Other services	M	16209
South Australia	2011	Professional scientific and technical services	F	18897
South Australia	2011	Professional scientific and technical services	M	21653
South Australia	2011	Public administration and safety	F	23856
South Australia	2011	Public administration and safety	M	28409
South Australia	2011	Rental hiring and real estate services	F	4761
South Australia	2011	Rental hiring and real estate services	M	4687
South Australia	2011	Retail trade	F	47163
South Australia	2011	Retail trade	M	35906
South Australia	2011	Transport postal and warehousing	F	6015
South Australia	2011	Transport postal and warehousing	M	24686
South Australia	2011	Wholesale trade	F	7920
South Australia	2011	Wholesale trade	M	17939
South Australia	2016		F	9016
South Australia	2016		M	15470
South Australia	2016	Accommodation and food services	F	28183
South Australia	2016	Accommodation and food services	M	21560
South Australia	2016	Administrative and support services	F	14250
South Australia	2016	Administrative and support services	M	12514
South Australia	2016	Agriculture forestry and fishing	F	8198
South Australia	2016	Agriculture forestry and fishing	M	21891
South Australia	2016	Arts and recreation services	F	4962
South Australia	2016	Arts and recreation services	M	5188
South Australia	2016	Construction	F	7271
South Australia	2016	Construction	M	49366
South Australia	2016	Education and training	F	45305
South Australia	2016	Education and training	M	19198
South Australia	2016	Electricity gas water and waste services	F	2149
South Australia	2016	Electricity gas water and waste services	M	7017
South Australia	2016	Financial and insurance services	F	11950
South Australia	2016	Financial and insurance services	M	8337
South Australia	2016	Health care and social assistance	F	86988
South Australia	2016	Health care and social assistance	M	23493
South Australia	2016	Information media and telecommunications	F	3737
South Australia	2016	Information media and telecommunications	M	5891
South Australia	2016	Manufacturing	F	15588
South Australia	2016	Manufacturing	M	43996
South Australia	2016	Mining	F	1379
South Australia	2016	Mining	M	7850
South Australia	2016	Other services	F	13205
South Australia	2016	Other services	M	15900
South Australia	2016	Professional scientific and technical services	F	19059
South Australia	2016	Professional scientific and technical services	M	22440
South Australia	2016	Public administration and safety	F	24796
South Australia	2016	Public administration and safety	M	28120
South Australia	2016	Rental hiring and real estate services	F	5163
South Australia	2016	Rental hiring and real estate services	M	4806
South Australia	2016	Retail trade	F	44949
South Australia	2016	Retail trade	M	34793
South Australia	2016	Transport postal and warehousing	F	6299
South Australia	2016	Transport postal and warehousing	M	24652
South Australia	2016	Wholesale trade	F	6151
South Australia	2016	Wholesale trade	M	15038
Western Australia	2006		F	9781
Western Australia	2006		M	15696
Western Australia	2006	Accommodation and food services	F	32502
Western Australia	2006	Accommodation and food services	M	22083
Western Australia	2006	Administrative and support services	F	15469
Western Australia	2006	Administrative and support services	M	14266
Western Australia	2006	Agriculture forestry and fishing	F	9487
Western Australia	2006	Agriculture forestry and fishing	M	21355
Western Australia	2006	Arts and recreation services	F	5871
Western Australia	2006	Arts and recreation services	M	5762
Western Australia	2006	Construction	F	12338
Western Australia	2006	Construction	M	72783
Western Australia	2006	Education and training	F	50958
Western Australia	2006	Education and training	M	20917
Western Australia	2006	Electricity gas water and waste services	F	2119
Western Australia	2006	Electricity gas water and waste services	M	7472
Western Australia	2006	Financial and insurance services	F	15740
Western Australia	2006	Financial and insurance services	M	11408
Western Australia	2006	Health care and social assistance	F	75200
Western Australia	2006	Health care and social assistance	M	19962
Western Australia	2006	Information media and telecommunications	F	5252
Western Australia	2006	Information media and telecommunications	M	7173
Western Australia	2006	Manufacturing	F	20544
Western Australia	2006	Manufacturing	M	67866
Western Australia	2006	Mining	F	7536
Western Australia	2006	Mining	M	32548
Western Australia	2006	Other services	F	15596
Western Australia	2006	Other services	M	20115
Western Australia	2006	Professional scientific and technical services	F	25188
Western Australia	2006	Professional scientific and technical services	M	33714
Western Australia	2006	Public administration and safety	F	26074
Western Australia	2006	Public administration and safety	M	33969
Western Australia	2006	Rental hiring and real estate services	F	9676
Western Australia	2006	Rental hiring and real estate services	M	8749
Western Australia	2006	Retail trade	F	61653
Western Australia	2006	Retail trade	M	42651
Western Australia	2006	Transport postal and warehousing	F	9204
Western Australia	2006	Transport postal and warehousing	M	30264
Western Australia	2006	Wholesale trade	F	12455
Western Australia	2006	Wholesale trade	M	24746
Western Australia	2011		F	9424
Western Australia	2011		M	14818
Western Australia	2011	Accommodation and food services	F	37758
Western Australia	2011	Accommodation and food services	M	27040
Western Australia	2011	Administrative and support services	F	17945
Western Australia	2011	Administrative and support services	M	16397
Western Australia	2011	Agriculture forestry and fishing	F	7997
Western Australia	2011	Agriculture forestry and fishing	M	18388
Western Australia	2011	Arts and recreation services	F	7436
Western Australia	2011	Arts and recreation services	M	7358
Western Australia	2011	Construction	F	16565
Western Australia	2011	Construction	M	95280
Western Australia	2011	Education and training	F	63721
Western Australia	2011	Education and training	M	24354
Western Australia	2011	Electricity gas water and waste services	F	3094
Western Australia	2011	Electricity gas water and waste services	M	9484
Western Australia	2011	Financial and insurance services	F	16006
Western Australia	2011	Financial and insurance services	M	11949
Western Australia	2011	Health care and social assistance	F	91317
Western Australia	2011	Health care and social assistance	M	22455
Western Australia	2011	Information media and telecommunications	F	5003
Western Australia	2011	Information media and telecommunications	M	6712
Western Australia	2011	Manufacturing	F	20935
Western Australia	2011	Manufacturing	M	69456
Western Australia	2011	Mining	F	14323
Western Australia	2011	Mining	M	53618
Western Australia	2011	Other services	F	19013
Western Australia	2011	Other services	M	23850
Western Australia	2011	Professional scientific and technical services	F	32968
Western Australia	2011	Professional scientific and technical services	M	46019
Western Australia	2011	Public administration and safety	F	31927
Western Australia	2011	Public administration and safety	M	36666
Western Australia	2011	Rental hiring and real estate services	F	10050
Western Australia	2011	Rental hiring and real estate services	M	9051
Western Australia	2011	Retail trade	F	66803
Western Australia	2011	Retail trade	M	43920
Western Australia	2011	Transport postal and warehousing	F	12058
Western Australia	2011	Transport postal and warehousing	M	37699
Western Australia	2011	Wholesale trade	F	12799
Western Australia	2011	Wholesale trade	M	26225
Western Australia	2016		F	18901
Western Australia	2016		M	34240
Western Australia	2016	Accommodation and food services	F	41569
Western Australia	2016	Accommodation and food services	M	33051
Western Australia	2016	Administrative and support services	F	20036
Western Australia	2016	Administrative and support services	M	17913
Western Australia	2016	Agriculture forestry and fishing	F	8875
Western Australia	2016	Agriculture forestry and fishing	M	19738
Western Australia	2016	Arts and recreation services	F	9300
Western Australia	2016	Arts and recreation services	M	9160
Western Australia	2016	Construction	F	16508
Western Australia	2016	Construction	M	96950
Western Australia	2016	Education and training	F	74485
Western Australia	2016	Education and training	M	26462
Western Australia	2016	Electricity gas water and waste services	F	3435
Western Australia	2016	Electricity gas water and waste services	M	9948
Western Australia	2016	Financial and insurance services	F	15179
Western Australia	2016	Financial and insurance services	M	12064
Western Australia	2016	Health care and social assistance	F	108866
Western Australia	2016	Health care and social assistance	M	27036
Western Australia	2016	Information media and telecommunications	F	4441
Western Australia	2016	Information media and telecommunications	M	7013
Western Australia	2016	Manufacturing	F	16597
Western Australia	2016	Manufacturing	M	47949
Western Australia	2016	Mining	F	13313
Western Australia	2016	Mining	M	59228
Western Australia	2016	Other services	F	21391
Western Australia	2016	Other services	M	24466
Western Australia	2016	Professional scientific and technical services	F	32195
Western Australia	2016	Professional scientific and technical services	M	41955
Western Australia	2016	Public administration and safety	F	34128
Western Australia	2016	Public administration and safety	M	38144
Western Australia	2016	Rental hiring and real estate services	F	10915
Western Australia	2016	Rental hiring and real estate services	M	9226
Western Australia	2016	Retail trade	F	65759
Western Australia	2016	Retail trade	M	44649
Western Australia	2016	Transport postal and warehousing	F	12918
Western Australia	2016	Transport postal and warehousing	M	40221
Western Australia	2016	Wholesale trade	F	9319
Western Australia	2016	Wholesale trade	M	20178
Tasmania	2006		F	1947
Tasmania	2006		M	3251
Tasmania	2006	Accommodation and food services	F	8833
Tasmania	2006	Accommodation and food services	M	5379
Tasmania	2006	Administrative and support services	F	2911
Tasmania	2006	Administrative and support services	M	2559
Tasmania	2006	Agriculture forestry and fishing	F	3000
Tasmania	2006	Agriculture forestry and fishing	M	8410
Tasmania	2006	Arts and recreation services	F	1388
Tasmania	2006	Arts and recreation services	M	1529
Tasmania	2006	Construction	F	1384
Tasmania	2006	Construction	M	12297
Tasmania	2006	Education and training	F	11499
Tasmania	2006	Education and training	M	5432
Tasmania	2006	Electricity gas water and waste services	F	623
Tasmania	2006	Electricity gas water and waste services	M	2277
Tasmania	2006	Financial and insurance services	F	3298
Tasmania	2006	Financial and insurance services	M	2037
Tasmania	2006	Health care and social assistance	F	18579
Tasmania	2006	Health care and social assistance	M	4784
Tasmania	2006	Information media and telecommunications	F	1557
Tasmania	2006	Information media and telecommunications	M	1765
Tasmania	2006	Manufacturing	F	4991
Tasmania	2006	Manufacturing	M	16191
Tasmania	2006	Mining	F	146
Tasmania	2006	Mining	M	1484
Tasmania	2006	Other services	F	3174
Tasmania	2006	Other services	M	3868
Tasmania	2006	Professional scientific and technical services	F	4045
Tasmania	2006	Professional scientific and technical services	M	4868
Tasmania	2006	Public administration and safety	F	8692
Tasmania	2006	Public administration and safety	M	8538
Tasmania	2006	Rental hiring and real estate services	F	1470
Tasmania	2006	Rental hiring and real estate services	M	1406
Tasmania	2006	Retail trade	F	14090
Tasmania	2006	Retail trade	M	10350
Tasmania	2006	Transport postal and warehousing	F	2244
Tasmania	2006	Transport postal and warehousing	M	7132
Tasmania	2006	Wholesale trade	F	2065
Tasmania	2006	Wholesale trade	M	5270
Tasmania	2011		F	1676
Tasmania	2011		M	2596
Tasmania	2011	Accommodation and food services	F	9811
Tasmania	2011	Accommodation and food services	M	5949
Tasmania	2011	Administrative and support services	F	3097
Tasmania	2011	Administrative and support services	M	2683
Tasmania	2011	Agriculture forestry and fishing	F	2739
Tasmania	2011	Agriculture forestry and fishing	M	7610
Tasmania	2011	Arts and recreation services	F	1662
Tasmania	2011	Arts and recreation services	M	1904
Tasmania	2011	Construction	F	1669
Tasmania	2011	Construction	M	14871
