STE_NAME16	Year	Age	FOE	Sex	adults
New South Wales	2006	65-74	Field of study inadequately described	F	825
New South Wales	2006	65-74	Field of study inadequately described	M	1207
New South Wales	2006	65-74	Field of study not stated	F	35554
New South Wales	2006	65-74	Field of study not stated	M	30864
New South Wales	2006	65-74	Food hospitality and personal services	F	2289
New South Wales	2006	65-74	Food hospitality and personal services	M	2816
New South Wales	2006	65-74	Health	F	13254
New South Wales	2006	65-74	Health	M	4494
New South Wales	2006	65-74	Information technology	F	322
New South Wales	2006	65-74	Information technology	M	364
New South Wales	2006	65-74	Management and commerce	F	13283
New South Wales	2006	65-74	Management and commerce	M	11330
New South Wales	2006	65-74	Mixed field programmes	F	182
New South Wales	2006	65-74	Mixed field programmes	M	145
New South Wales	2006	65-74	Natural and physical sciences	F	1254
New South Wales	2006	65-74	Natural and physical sciences	M	2852
New South Wales	2006	65-74	Society and culture	F	5876
New South Wales	2006	65-74	Society and culture	M	6278
New South Wales	2006	75-84	Agriculture environmental and related studies	F	126
New South Wales	2006	75-84	Agriculture environmental and related studies	M	1242
New South Wales	2006	75-84	Architecture and building	F	126
New South Wales	2006	75-84	Architecture and building	M	6633
New South Wales	2006	75-84	Creative arts	F	1286
New South Wales	2006	75-84	Creative arts	M	764
New South Wales	2006	75-84	Education	F	5022
New South Wales	2006	75-84	Education	M	2182
New South Wales	2006	75-84	Engineering and related technologies	F	2538
New South Wales	2006	75-84	Engineering and related technologies	M	22885
New South Wales	2006	75-84	Field of study inadequately described	F	499
New South Wales	2006	75-84	Field of study inadequately described	M	773
New South Wales	2006	75-84	Field of study not stated	F	42643
New South Wales	2006	75-84	Field of study not stated	M	28575
New South Wales	2006	75-84	Food hospitality and personal services	F	1558
New South Wales	2006	75-84	Food hospitality and personal services	M	1231
New South Wales	2006	75-84	Health	F	6860
New South Wales	2006	75-84	Health	M	2767
New South Wales	2006	75-84	Information technology	F	52
New South Wales	2006	75-84	Information technology	M	77
New South Wales	2006	75-84	Management and commerce	F	8270
New South Wales	2006	75-84	Management and commerce	M	5675
New South Wales	2006	75-84	Mixed field programmes	F	160
New South Wales	2006	75-84	Mixed field programmes	M	106
New South Wales	2006	75-84	Natural and physical sciences	F	572
New South Wales	2006	75-84	Natural and physical sciences	M	1449
New South Wales	2006	75-84	Society and culture	F	2484
New South Wales	2006	75-84	Society and culture	M	2959
New South Wales	2006	85+	Agriculture environmental and related studies	F	48
New South Wales	2006	85+	Agriculture environmental and related studies	M	280
New South Wales	2006	85+	Architecture and building	F	29
New South Wales	2006	85+	Architecture and building	M	1286
New South Wales	2006	85+	Creative arts	F	483
New South Wales	2006	85+	Creative arts	M	164
New South Wales	2006	85+	Education	F	1595
New South Wales	2006	85+	Education	M	466
New South Wales	2006	85+	Engineering and related technologies	F	862
New South Wales	2006	85+	Engineering and related technologies	M	4323
New South Wales	2006	85+	Field of study inadequately described	F	180
New South Wales	2006	85+	Field of study inadequately described	M	250
New South Wales	2006	85+	Field of study not stated	F	21352
New South Wales	2006	85+	Field of study not stated	M	9353
New South Wales	2006	85+	Food hospitality and personal services	F	471
New South Wales	2006	85+	Food hospitality and personal services	M	304
New South Wales	2006	85+	Health	F	2115
New South Wales	2006	85+	Health	M	538
New South Wales	2006	85+	Information technology	F	15
New South Wales	2006	85+	Information technology	M	22
New South Wales	2006	85+	Management and commerce	F	2294
New South Wales	2006	85+	Management and commerce	M	1376
New South Wales	2006	85+	Mixed field programmes	F	62
New South Wales	2006	85+	Mixed field programmes	M	45
New South Wales	2006	85+	Natural and physical sciences	F	116
New South Wales	2006	85+	Natural and physical sciences	M	278
New South Wales	2006	85+	Society and culture	F	553
New South Wales	2006	85+	Society and culture	M	658
New South Wales	2011	15-19	Agriculture environmental and related studies	F	453
New South Wales	2011	15-19	Agriculture environmental and related studies	M	592
New South Wales	2011	15-19	Architecture and building	F	75
New South Wales	2011	15-19	Architecture and building	M	1659
New South Wales	2011	15-19	Creative arts	F	783
New South Wales	2011	15-19	Creative arts	M	693
New South Wales	2011	15-19	Education	F	236
New South Wales	2011	15-19	Education	M	83
New South Wales	2011	15-19	Engineering and related technologies	F	138
New South Wales	2011	15-19	Engineering and related technologies	M	2616
New South Wales	2011	15-19	Field of study inadequately described	F	143
New South Wales	2011	15-19	Field of study inadequately described	M	213
New South Wales	2011	15-19	Field of study not stated	F	20376
New South Wales	2011	15-19	Field of study not stated	M	23612
New South Wales	2011	15-19	Food hospitality and personal services	F	3304
New South Wales	2011	15-19	Food hospitality and personal services	M	985
New South Wales	2011	15-19	Health	F	1139
New South Wales	2011	15-19	Health	M	290
New South Wales	2011	15-19	Information technology	F	199
New South Wales	2011	15-19	Information technology	M	935
New South Wales	2011	15-19	Management and commerce	F	4858
New South Wales	2011	15-19	Management and commerce	M	1694
New South Wales	2011	15-19	Mixed field programmes	F	286
New South Wales	2011	15-19	Mixed field programmes	M	274
New South Wales	2011	15-19	Natural and physical sciences	F	78
New South Wales	2011	15-19	Natural and physical sciences	M	84
New South Wales	2011	15-19	Society and culture	F	2591
New South Wales	2011	15-19	Society and culture	M	929
New South Wales	2011	20-24	Agriculture environmental and related studies	F	1517
New South Wales	2011	20-24	Agriculture environmental and related studies	M	2796
New South Wales	2011	20-24	Architecture and building	F	1200
New South Wales	2011	20-24	Architecture and building	M	11035
New South Wales	2011	20-24	Creative arts	F	8655
New South Wales	2011	20-24	Creative arts	M	5579
New South Wales	2011	20-24	Education	F	6164
New South Wales	2011	20-24	Education	M	1448
New South Wales	2011	20-24	Engineering and related technologies	F	1515
New South Wales	2011	20-24	Engineering and related technologies	M	21777
New South Wales	2011	20-24	Field of study inadequately described	F	1250
New South Wales	2011	20-24	Field of study inadequately described	M	1049
New South Wales	2011	20-24	Field of study not stated	F	16634
New South Wales	2011	20-24	Field of study not stated	M	21895
New South Wales	2011	20-24	Food hospitality and personal services	F	12258
New South Wales	2011	20-24	Food hospitality and personal services	M	6119
New South Wales	2011	20-24	Health	F	11064
New South Wales	2011	20-24	Health	M	3040
New South Wales	2011	20-24	Information technology	F	1243
New South Wales	2011	20-24	Information technology	M	6085
New South Wales	2011	20-24	Management and commerce	F	32298
New South Wales	2011	20-24	Management and commerce	M	18245
New South Wales	2011	20-24	Mixed field programmes	F	346
New South Wales	2011	20-24	Mixed field programmes	M	382
New South Wales	2011	20-24	Natural and physical sciences	F	3187
New South Wales	2011	20-24	Natural and physical sciences	M	2517
New South Wales	2011	20-24	Society and culture	F	18040
New South Wales	2011	20-24	Society and culture	M	7276
New South Wales	2011	25-34	Agriculture environmental and related studies	F	4419
New South Wales	2011	25-34	Agriculture environmental and related studies	M	8940
New South Wales	2011	25-34	Architecture and building	F	4196
New South Wales	2011	25-34	Architecture and building	M	29831
New South Wales	2011	25-34	Creative arts	F	22773
New South Wales	2011	25-34	Creative arts	M	14366
New South Wales	2011	25-34	Education	F	30662
New South Wales	2011	25-34	Education	M	7424
New South Wales	2011	25-34	Engineering and related technologies	F	7126
New South Wales	2011	25-34	Engineering and related technologies	M	68672
New South Wales	2011	25-34	Field of study inadequately described	F	4136
New South Wales	2011	25-34	Field of study inadequately described	M	3523
New South Wales	2011	25-34	Field of study not stated	F	33769
New South Wales	2011	25-34	Field of study not stated	M	43814
New South Wales	2011	25-34	Food hospitality and personal services	F	24641
New South Wales	2011	25-34	Food hospitality and personal services	M	15240
New South Wales	2011	25-34	Health	F	40214
New South Wales	2011	25-34	Health	M	12149
New South Wales	2011	25-34	Information technology	F	9341
New South Wales	2011	25-34	Information technology	M	30738
New South Wales	2011	25-34	Management and commerce	F	103418
New South Wales	2011	25-34	Management and commerce	M	65356
New South Wales	2011	25-34	Mixed field programmes	F	302
New South Wales	2011	25-34	Mixed field programmes	M	282
New South Wales	2011	25-34	Natural and physical sciences	F	10846
New South Wales	2011	25-34	Natural and physical sciences	M	8099
New South Wales	2011	25-34	Society and culture	F	54635
New South Wales	2011	25-34	Society and culture	M	24093
New South Wales	2011	35-44	Agriculture environmental and related studies	F	4265
New South Wales	2011	35-44	Agriculture environmental and related studies	M	10381
New South Wales	2011	35-44	Architecture and building	F	3537
New South Wales	2011	35-44	Architecture and building	M	33683
New South Wales	2011	35-44	Creative arts	F	16688
New South Wales	2011	35-44	Creative arts	M	9885
New South Wales	2011	35-44	Education	F	35143
New South Wales	2011	35-44	Education	M	9680
New South Wales	2011	35-44	Engineering and related technologies	F	7433
New South Wales	2011	35-44	Engineering and related technologies	M	84930
New South Wales	2011	35-44	Field of study inadequately described	F	4604
New South Wales	2011	35-44	Field of study inadequately described	M	4291
New South Wales	2011	35-44	Field of study not stated	F	33840
New South Wales	2011	35-44	Field of study not stated	M	40312
New South Wales	2011	35-44	Food hospitality and personal services	F	21026
New South Wales	2011	35-44	Food hospitality and personal services	M	12383
New South Wales	2011	35-44	Health	F	43690
New South Wales	2011	35-44	Health	M	13883
New South Wales	2011	35-44	Information technology	F	7870
New South Wales	2011	35-44	Information technology	M	19845
New South Wales	2011	35-44	Management and commerce	F	96433
New South Wales	2011	35-44	Management and commerce	M	60492
New South Wales	2011	35-44	Mixed field programmes	F	333
New South Wales	2011	35-44	Mixed field programmes	M	259
New South Wales	2011	35-44	Natural and physical sciences	F	10592
New South Wales	2011	35-44	Natural and physical sciences	M	9565
New South Wales	2011	35-44	Society and culture	F	50972
New South Wales	2011	35-44	Society and culture	M	26581
New South Wales	2011	45-54	Agriculture environmental and related studies	F	3222
New South Wales	2011	45-54	Agriculture environmental and related studies	M	9555
New South Wales	2011	45-54	Architecture and building	F	2446
New South Wales	2011	45-54	Architecture and building	M	31543
New South Wales	2011	45-54	Creative arts	F	10663
New South Wales	2011	45-54	Creative arts	M	6901
New South Wales	2011	45-54	Education	F	37033
New South Wales	2011	45-54	Education	M	12193
New South Wales	2011	45-54	Engineering and related technologies	F	7283
New South Wales	2011	45-54	Engineering and related technologies	M	96192
New South Wales	2011	45-54	Field of study inadequately described	F	3517
New South Wales	2011	45-54	Field of study inadequately described	M	4047
New South Wales	2011	45-54	Field of study not stated	F	33470
New South Wales	2011	45-54	Field of study not stated	M	40045
New South Wales	2011	45-54	Food hospitality and personal services	F	13476
New South Wales	2011	45-54	Food hospitality and personal services	M	8993
New South Wales	2011	45-54	Health	F	47737
New South Wales	2011	45-54	Health	M	13322
New South Wales	2011	45-54	Information technology	F	5244
New South Wales	2011	45-54	Information technology	M	10583
New South Wales	2011	45-54	Management and commerce	F	73684
New South Wales	2011	45-54	Management and commerce	M	48835
New South Wales	2011	45-54	Mixed field programmes	F	421
New South Wales	2011	45-54	Mixed field programmes	M	296
New South Wales	2011	45-54	Natural and physical sciences	F	8453
New South Wales	2011	45-54	Natural and physical sciences	M	9116
New South Wales	2011	45-54	Society and culture	F	42286
New South Wales	2011	45-54	Society and culture	M	22129
New South Wales	2011	55-64	Agriculture environmental and related studies	F	1659
New South Wales	2011	55-64	Agriculture environmental and related studies	M	6731
New South Wales	2011	55-64	Architecture and building	F	1215
New South Wales	2011	55-64	Architecture and building	M	24703
New South Wales	2011	55-64	Creative arts	F	6103
New South Wales	2011	55-64	Creative arts	M	4741
New South Wales	2011	55-64	Education	F	36288
New South Wales	2011	55-64	Education	M	15189
New South Wales	2011	55-64	Engineering and related technologies	F	4352
New South Wales	2011	55-64	Engineering and related technologies	M	79294
New South Wales	2011	55-64	Field of study inadequately described	F	2331
New South Wales	2011	55-64	Field of study inadequately described	M	3023
New South Wales	2011	55-64	Field of study not stated	F	31993
New South Wales	2011	55-64	Field of study not stated	M	34485
New South Wales	2011	55-64	Food hospitality and personal services	F	8713
New South Wales	2011	55-64	Food hospitality and personal services	M	6034
New South Wales	2011	55-64	Health	F	35487
New South Wales	2011	55-64	Health	M	10477
New South Wales	2011	55-64	Information technology	F	2365
New South Wales	2011	55-64	Information technology	M	4232
New South Wales	2011	55-64	Management and commerce	F	47234
New South Wales	2011	55-64	Management and commerce	M	36311
New South Wales	2011	55-64	Mixed field programmes	F	345
New South Wales	2011	55-64	Mixed field programmes	M	262
New South Wales	2011	55-64	Natural and physical sciences	F	5289
New South Wales	2011	55-64	Natural and physical sciences	M	8021
New South Wales	2011	55-64	Society and culture	F	28202
New South Wales	2011	55-64	Society and culture	M	19218
New South Wales	2011	65-74	Agriculture environmental and related studies	F	645
New South Wales	2011	65-74	Agriculture environmental and related studies	M	3692
New South Wales	2011	65-74	Architecture and building	F	462
New South Wales	2011	65-74	Architecture and building	M	15507
New South Wales	2011	65-74	Creative arts	F	3010
New South Wales	2011	65-74	Creative arts	M	2176
New South Wales	2011	65-74	Education	F	16902
New South Wales	2011	65-74	Education	M	7194
New South Wales	2011	65-74	Engineering and related technologies	F	3272
New South Wales	2011	65-74	Engineering and related technologies	M	50987
New South Wales	2011	65-74	Field of study inadequately described	F	1060
New South Wales	2011	65-74	Field of study inadequately described	M	1532
New South Wales	2011	65-74	Field of study not stated	F	32388
New South Wales	2011	65-74	Field of study not stated	M	29792
New South Wales	2011	65-74	Food hospitality and personal services	F	3946
New South Wales	2011	65-74	Food hospitality and personal services	M	3795
New South Wales	2011	65-74	Health	F	17791
New South Wales	2011	65-74	Health	M	5665
New South Wales	2011	65-74	Information technology	F	627
New South Wales	2011	65-74	Information technology	M	828
New South Wales	2011	65-74	Management and commerce	F	20706
New South Wales	2011	65-74	Management and commerce	M	17333
New South Wales	2011	65-74	Mixed field programmes	F	206
New South Wales	2011	65-74	Mixed field programmes	M	163
New South Wales	2011	65-74	Natural and physical sciences	F	2188
New South Wales	2011	65-74	Natural and physical sciences	M	4745
New South Wales	2011	65-74	Society and culture	F	10321
New South Wales	2011	65-74	Society and culture	M	9216
New South Wales	2011	75-84	Agriculture environmental and related studies	F	202
New South Wales	2011	75-84	Agriculture environmental and related studies	M	1638
New South Wales	2011	75-84	Architecture and building	F	165
New South Wales	2011	75-84	Architecture and building	M	7826
New South Wales	2011	75-84	Creative arts	F	1489
New South Wales	2011	75-84	Creative arts	M	876
New South Wales	2011	75-84	Education	F	6972
New South Wales	2011	75-84	Education	M	3074
New South Wales	2011	75-84	Engineering and related technologies	F	2635
New South Wales	2011	75-84	Engineering and related technologies	M	25140
New South Wales	2011	75-84	Field of study inadequately described	F	505
New South Wales	2011	75-84	Field of study inadequately described	M	822
New South Wales	2011	75-84	Field of study not stated	F	34604
New South Wales	2011	75-84	Field of study not stated	M	25525
New South Wales	2011	75-84	Food hospitality and personal services	F	1704
New South Wales	2011	75-84	Food hospitality and personal services	M	1492
New South Wales	2011	75-84	Health	F	8541
New South Wales	2011	75-84	Health	M	3125
New South Wales	2011	75-84	Information technology	F	108
New South Wales	2011	75-84	Information technology	M	133
New South Wales	2011	75-84	Management and commerce	F	8721
New South Wales	2011	75-84	Management and commerce	M	6638
New South Wales	2011	75-84	Mixed field programmes	F	152
New South Wales	2011	75-84	Mixed field programmes	M	103
New South Wales	2011	75-84	Natural and physical sciences	F	745
New South Wales	2011	75-84	Natural and physical sciences	M	1762
New South Wales	2011	75-84	Society and culture	F	3309
New South Wales	2011	75-84	Society and culture	M	3758
New South Wales	2011	85+	Agriculture environmental and related studies	F	52
New South Wales	2011	85+	Agriculture environmental and related studies	M	386
New South Wales	2011	85+	Architecture and building	F	46
New South Wales	2011	85+	Architecture and building	M	2032
New South Wales	2011	85+	Creative arts	F	533
New South Wales	2011	85+	Creative arts	M	238
New South Wales	2011	85+	Education	F	2012
New South Wales	2011	85+	Education	M	689
New South Wales	2011	85+	Engineering and related technologies	F	1128
New South Wales	2011	85+	Engineering and related technologies	M	7243
New South Wales	2011	85+	Field of study inadequately described	F	193
New South Wales	2011	85+	Field of study inadequately described	M	344
New South Wales	2011	85+	Field of study not stated	F	23729
New South Wales	2011	85+	Field of study not stated	M	10799
New South Wales	2011	85+	Food hospitality and personal services	F	550
New South Wales	2011	85+	Food hospitality and personal services	M	387
New South Wales	2011	85+	Health	F	2831
New South Wales	2011	85+	Health	M	952
New South Wales	2011	85+	Information technology	F	11
New South Wales	2011	85+	Information technology	M	21
New South Wales	2011	85+	Management and commerce	F	3626
New South Wales	2011	85+	Management and commerce	M	1987
New South Wales	2011	85+	Mixed field programmes	F	71
New South Wales	2011	85+	Mixed field programmes	M	42
New South Wales	2011	85+	Natural and physical sciences	F	232
New South Wales	2011	85+	Natural and physical sciences	M	497
New South Wales	2011	85+	Society and culture	F	836
New South Wales	2011	85+	Society and culture	M	997
New South Wales	2016	15-19	Agriculture environmental and related studies	F	422
New South Wales	2016	15-19	Agriculture environmental and related studies	M	510
New South Wales	2016	15-19	Architecture and building	F	129
New South Wales	2016	15-19	Architecture and building	M	2028
New South Wales	2016	15-19	Creative arts	F	906
New South Wales	2016	15-19	Creative arts	M	822
New South Wales	2016	15-19	Education	F	660
New South Wales	2016	15-19	Education	M	125
New South Wales	2016	15-19	Engineering and related technologies	F	199
New South Wales	2016	15-19	Engineering and related technologies	M	2102
New South Wales	2016	15-19	Field of study inadequately described	F	243
New South Wales	2016	15-19	Field of study inadequately described	M	263
New South Wales	2016	15-19	Field of study not stated	F	17514
New South Wales	2016	15-19	Field of study not stated	M	19201
New South Wales	2016	15-19	Food hospitality and personal services	F	3553
New South Wales	2016	15-19	Food hospitality and personal services	M	1081
New South Wales	2016	15-19	Health	F	1701
New South Wales	2016	15-19	Health	M	364
New South Wales	2016	15-19	Information technology	F	109
New South Wales	2016	15-19	Information technology	M	787
New South Wales	2016	15-19	Management and commerce	F	3749
New South Wales	2016	15-19	Management and commerce	M	1728
New South Wales	2016	15-19	Mixed field programmes	F	465
New South Wales	2016	15-19	Mixed field programmes	M	480
New South Wales	2016	15-19	Natural and physical sciences	F	123
New South Wales	2016	15-19	Natural and physical sciences	M	128
New South Wales	2016	15-19	Society and culture	F	2953
New South Wales	2016	15-19	Society and culture	M	1064
New South Wales	2016	20-24	Agriculture environmental and related studies	F	1747
New South Wales	2016	20-24	Agriculture environmental and related studies	M	2821
New South Wales	2016	20-24	Architecture and building	F	1521
New South Wales	2016	20-24	Architecture and building	M	12016
New South Wales	2016	20-24	Creative arts	F	9698
New South Wales	2016	20-24	Creative arts	M	6335
New South Wales	2016	20-24	Education	F	8371
New South Wales	2016	20-24	Education	M	1621
New South Wales	2016	20-24	Engineering and related technologies	F	2128
New South Wales	2016	20-24	Engineering and related technologies	M	22535
New South Wales	2016	20-24	Field of study inadequately described	F	1509
New South Wales	2016	20-24	Field of study inadequately described	M	1241
New South Wales	2016	20-24	Field of study not stated	F	18204
New South Wales	2016	20-24	Field of study not stated	M	21670
New South Wales	2016	20-24	Food hospitality and personal services	F	11579
New South Wales	2016	20-24	Food hospitality and personal services	M	4998
New South Wales	2016	20-24	Health	F	13852
New South Wales	2016	20-24	Health	M	3816
