STE_NAME16	Year	DwellingStructure	TenureType	occupied_private_dwellings
New South Wales	2006	Separate house	Rented Real estate agent	158700
New South Wales	2006	Separate house	Rented State or territory housing authority	52439
New South Wales	2011			846
New South Wales	2011		Other tenure type	143
New South Wales	2011		Owned outright	650
New South Wales	2011		Owned with a mortgage	626
New South Wales	2011		Rented Housing co operative community church group	75
New South Wales	2011		Rented Landlord type not stated	55
New South Wales	2011		Rented Other landlord type	216
New South Wales	2011		Rented Person not in same household	416
New South Wales	2011		Rented Real estate agent	828
New South Wales	2011		Rented State or territory housing authority	350
New South Wales	2011	(Other)		6559
New South Wales	2011	(Other)	Other tenure type	509
New South Wales	2011	(Other)	Owned outright	12443
New South Wales	2011	(Other)	Owned with a mortgage	1881
New South Wales	2011	(Other)	Rented Housing co operative community church group	59
New South Wales	2011	(Other)	Rented Landlord type not stated	439
New South Wales	2011	(Other)	Rented Other landlord type	4461
New South Wales	2011	(Other)	Rented Person not in same household	2320
New South Wales	2011	(Other)	Rented Real estate agent	2873
New South Wales	2011	(Other)	Rented State or territory housing authority	76
New South Wales	2011	Flat/apartment		52667
New South Wales	2011	Flat/apartment	Other tenure type	5823
New South Wales	2011	Flat/apartment	Owned outright	71921
New South Wales	2011	Flat/apartment	Owned with a mortgage	95791
New South Wales	2011	Flat/apartment	Rented Housing co operative community church group	6858
New South Wales	2011	Flat/apartment	Rented Landlord type not stated	3371
New South Wales	2011	Flat/apartment	Rented Other landlord type	4677
New South Wales	2011	Flat/apartment	Rented Person not in same household	39377
New South Wales	2011	Flat/apartment	Rented Real estate agent	195013
New South Wales	2011	Flat/apartment	Rented State or territory housing authority	36632
New South Wales	2011	Semi-detached, row/terrace house, townhouse etc.		19016
New South Wales	2011	Semi-detached, row/terrace house, townhouse etc.	Other tenure type	4636
New South Wales	2011	Semi-detached, row/terrace house, townhouse etc.	Owned outright	66641
New South Wales	2011	Semi-detached, row/terrace house, townhouse etc.	Owned with a mortgage	72465
New South Wales	2011	Semi-detached, row/terrace house, townhouse etc.	Rented Housing co operative community church group	4202
New South Wales	2011	Semi-detached, row/terrace house, townhouse etc.	Rented Landlord type not stated	1639
New South Wales	2011	Semi-detached, row/terrace house, townhouse etc.	Rented Other landlord type	3102
New South Wales	2011	Semi-detached, row/terrace house, townhouse etc.	Rented Person not in same household	18029
New South Wales	2011	Semi-detached, row/terrace house, townhouse etc.	Rented Real estate agent	63757
New South Wales	2011	Semi-detached, row/terrace house, townhouse etc.	Rented State or territory housing authority	24224
New South Wales	2011	Separate house		83457
New South Wales	2011	Separate house	Other tenure type	10329
New South Wales	2011	Separate house	Owned outright	678577
New South Wales	2011	Separate house	Owned with a mortgage	657379
New South Wales	2011	Separate house	Rented Housing co operative community church group	6278
New South Wales	2011	Separate house	Rented Landlord type not stated	10558
New South Wales	2011	Separate house	Rented Other landlord type	17280
New South Wales	2011	Separate house	Rented Person not in same household	87193
New South Wales	2011	Separate house	Rented Real estate agent	174215
New South Wales	2011	Separate house	Rented State or territory housing authority	48272
New South Wales	2016			3799
New South Wales	2016		Other tenure type	582
New South Wales	2016		Owned outright	3357
New South Wales	2016		Owned with a mortgage	2431
New South Wales	2016		Rented Housing co operative community church group	303
New South Wales	2016		Rented Landlord type not stated	252
New South Wales	2016		Rented Other landlord type	880
New South Wales	2016		Rented Person not in same household	1611
New South Wales	2016		Rented Real estate agent	2760
New South Wales	2016		Rented State or territory housing authority	257
New South Wales	2016	(Other)		9498
New South Wales	2016	(Other)	Other tenure type	463
New South Wales	2016	(Other)	Owned outright	13157
New South Wales	2016	(Other)	Owned with a mortgage	2721
New South Wales	2016	(Other)	Rented Housing co operative community church group	80
New South Wales	2016	(Other)	Rented Landlord type not stated	340
New South Wales	2016	(Other)	Rented Other landlord type	3569
New South Wales	2016	(Other)	Rented Person not in same household	2218
New South Wales	2016	(Other)	Rented Real estate agent	4555
New South Wales	2016	(Other)	Rented State or territory housing authority	217
New South Wales	2016	Flat/apartment		62672
New South Wales	2016	Flat/apartment	Other tenure type	6870
New South Wales	2016	Flat/apartment	Owned outright	77519
New South Wales	2016	Flat/apartment	Owned with a mortgage	96806
New South Wales	2016	Flat/apartment	Rented Housing co operative community church group	6883
New South Wales	2016	Flat/apartment	Rented Landlord type not stated	2985
New South Wales	2016	Flat/apartment	Rented Other landlord type	4956
New South Wales	2016	Flat/apartment	Rented Person not in same household	41155
New South Wales	2016	Flat/apartment	Rented Real estate agent	239099
New South Wales	2016	Flat/apartment	Rented State or territory housing authority	34367
New South Wales	2016	Semi-detached, row/terrace house, townhouse etc.		27786
New South Wales	2016	Semi-detached, row/terrace house, townhouse etc.	Other tenure type	6453
New South Wales	2016	Semi-detached, row/terrace house, townhouse etc.	Owned outright	80199
New South Wales	2016	Semi-detached, row/terrace house, townhouse etc.	Owned with a mortgage	83523
New South Wales	2016	Semi-detached, row/terrace house, townhouse etc.	Rented Housing co operative community church group	5149
New South Wales	2016	Semi-detached, row/terrace house, townhouse etc.	Rented Landlord type not stated	1694
New South Wales	2016	Semi-detached, row/terrace house, townhouse etc.	Rented Other landlord type	3223
New South Wales	2016	Semi-detached, row/terrace house, townhouse etc.	Rented Person not in same household	18926
New South Wales	2016	Semi-detached, row/terrace house, townhouse etc.	Rented Real estate agent	81719
New South Wales	2016	Semi-detached, row/terrace house, townhouse etc.	Rented State or territory housing authority	29117
New South Wales	2016	Separate house		111342
New South Wales	2016	Separate house	Other tenure type	10621
New South Wales	2016	Separate house	Owned outright	676639
New South Wales	2016	Separate house	Owned with a mortgage	658893
New South Wales	2016	Separate house	Rented Housing co operative community church group	5306
New South Wales	2016	Separate house	Rented Landlord type not stated	9173
New South Wales	2016	Separate house	Rented Other landlord type	15275
New South Wales	2016	Separate house	Rented Person not in same household	84429
New South Wales	2016	Separate house	Rented Real estate agent	197438
New South Wales	2016	Separate house	Rented State or territory housing authority	41599
Victoria	2006			66
Victoria	2006		Other tenure type	15
Victoria	2006		Owned outright	121
Victoria	2006		Owned with a mortgage	98
Victoria	2006		Rented Housing co operative community church group	28
Victoria	2006		Rented Landlord type not stated	3
Victoria	2006		Rented Other landlord type	12
Victoria	2006		Rented Person not in same household	15
Victoria	2006		Rented Real estate agent	63
Victoria	2006		Rented State or territory housing authority	17
Victoria	2006	(Other)		2610
Victoria	2006	(Other)	Other tenure type	186
Victoria	2006	(Other)	Owned outright	5024
Victoria	2006	(Other)	Owned with a mortgage	1814
Victoria	2006	(Other)	Rented Housing co operative community church group	36
Victoria	2006	(Other)	Rented Landlord type not stated	284
Victoria	2006	(Other)	Rented Other landlord type	2889
Victoria	2006	(Other)	Rented Person not in same household	1641
Victoria	2006	(Other)	Rented Real estate agent	1339
Victoria	2006	(Other)	Rented State or territory housing authority	65
Victoria	2006	Flat/apartment		30926
Victoria	2006	Flat/apartment	Other tenure type	2538
Victoria	2006	Flat/apartment	Owned outright	37406
Victoria	2006	Flat/apartment	Owned with a mortgage	34109
Victoria	2006	Flat/apartment	Rented Housing co operative community church group	3359
Victoria	2006	Flat/apartment	Rented Landlord type not stated	2584
Victoria	2006	Flat/apartment	Rented Other landlord type	2690
Victoria	2006	Flat/apartment	Rented Person not in same household	21016
Victoria	2006	Flat/apartment	Rented Real estate agent	95000
Victoria	2006	Flat/apartment	Rented State or territory housing authority	21623
Victoria	2006	Semi-detached, row/terrace house, townhouse etc.		13815
Victoria	2006	Semi-detached, row/terrace house, townhouse etc.	Other tenure type	2630
Victoria	2006	Semi-detached, row/terrace house, townhouse etc.	Owned outright	45769
Victoria	2006	Semi-detached, row/terrace house, townhouse etc.	Owned with a mortgage	42300
Victoria	2006	Semi-detached, row/terrace house, townhouse etc.	Rented Housing co operative community church group	1243
Victoria	2006	Semi-detached, row/terrace house, townhouse etc.	Rented Landlord type not stated	1355
Victoria	2006	Semi-detached, row/terrace house, townhouse etc.	Rented Other landlord type	1102
Victoria	2006	Semi-detached, row/terrace house, townhouse etc.	Rented Person not in same household	12996
Victoria	2006	Semi-detached, row/terrace house, townhouse etc.	Rented Real estate agent	42433
Victoria	2006	Semi-detached, row/terrace house, townhouse etc.	Rented State or territory housing authority	9042
Victoria	2006	Separate house		78703
Victoria	2006	Separate house	Other tenure type	7104
Victoria	2006	Separate house	Owned outright	560604
Victoria	2006	Separate house	Owned with a mortgage	556479
Victoria	2006	Separate house	Rented Housing co operative community church group	2967
Victoria	2006	Separate house	Rented Landlord type not stated	8924
Victoria	2006	Separate house	Rented Other landlord type	9130
Victoria	2006	Separate house	Rented Person not in same household	64705
Victoria	2006	Separate house	Rented Real estate agent	116289
Victoria	2006	Separate house	Rented State or territory housing authority	24226
Victoria	2011			78
Victoria	2011		Other tenure type	27
Victoria	2011		Owned outright	161
Victoria	2011		Owned with a mortgage	211
Victoria	2011		Rented Housing co operative community church group	6
Victoria	2011		Rented Landlord type not stated	15
Victoria	2011		Rented Other landlord type	68
Victoria	2011		Rented Person not in same household	130
Victoria	2011		Rented Real estate agent	186
Victoria	2011		Rented State or territory housing authority	29
Victoria	2011	(Other)		2897
Victoria	2011	(Other)	Other tenure type	230
Victoria	2011	(Other)	Owned outright	5056
Victoria	2011	(Other)	Owned with a mortgage	1291
Victoria	2011	(Other)	Rented Housing co operative community church group	19
Victoria	2011	(Other)	Rented Landlord type not stated	249
Victoria	2011	(Other)	Rented Other landlord type	3230
Victoria	2011	(Other)	Rented Person not in same household	1431
Victoria	2011	(Other)	Rented Real estate agent	1316
Victoria	2011	(Other)	Rented State or territory housing authority	46
Victoria	2011	Flat/apartment		27013
Victoria	2011	Flat/apartment	Other tenure type	3514
Victoria	2011	Flat/apartment	Owned outright	39817
Victoria	2011	Flat/apartment	Owned with a mortgage	43433
Victoria	2011	Flat/apartment	Rented Housing co operative community church group	3622
Victoria	2011	Flat/apartment	Rented Landlord type not stated	2159
Victoria	2011	Flat/apartment	Rented Other landlord type	2736
Victoria	2011	Flat/apartment	Rented Person not in same household	22147
Victoria	2011	Flat/apartment	Rented Real estate agent	109002
Victoria	2011	Flat/apartment	Rented State or territory housing authority	21212
Victoria	2011	Semi-detached, row/terrace house, townhouse etc.		13042
Victoria	2011	Semi-detached, row/terrace house, townhouse etc.	Other tenure type	2850
Victoria	2011	Semi-detached, row/terrace house, townhouse etc.	Owned outright	48909
Victoria	2011	Semi-detached, row/terrace house, townhouse etc.	Owned with a mortgage	51185
Victoria	2011	Semi-detached, row/terrace house, townhouse etc.	Rented Housing co operative community church group	1775
Victoria	2011	Semi-detached, row/terrace house, townhouse etc.	Rented Landlord type not stated	1257
Victoria	2011	Semi-detached, row/terrace house, townhouse etc.	Rented Other landlord type	1432
Victoria	2011	Semi-detached, row/terrace house, townhouse etc.	Rented Person not in same household	13942
Victoria	2011	Semi-detached, row/terrace house, townhouse etc.	Rented Real estate agent	51511
Victoria	2011	Semi-detached, row/terrace house, townhouse etc.	Rented State or territory housing authority	9507
Victoria	2011	Separate house		75626
Victoria	2011	Separate house	Other tenure type	8686
Victoria	2011	Separate house	Owned outright	577128
Victoria	2011	Separate house	Owned with a mortgage	604471
Victoria	2011	Separate house	Rented Housing co operative community church group	3632
Victoria	2011	Separate house	Rented Landlord type not stated	8172
Victoria	2011	Separate house	Rented Other landlord type	10431
Victoria	2011	Separate house	Rented Person not in same household	72681
Victoria	2011	Separate house	Rented Real estate agent	159168
Victoria	2011	Separate house	Rented State or territory housing authority	24489
Victoria	2016			1626
Victoria	2016		Other tenure type	226
Victoria	2016		Owned outright	1843
Victoria	2016		Owned with a mortgage	1806
Victoria	2016		Rented Housing co operative community church group	89
Victoria	2016		Rented Landlord type not stated	140
Victoria	2016		Rented Other landlord type	374
Victoria	2016		Rented Person not in same household	837
Victoria	2016		Rented Real estate agent	1577
Victoria	2016		Rented State or territory housing authority	136
Victoria	2016	(Other)		4503
Victoria	2016	(Other)	Other tenure type	215
Victoria	2016	(Other)	Owned outright	4283
Victoria	2016	(Other)	Owned with a mortgage	1554
Victoria	2016	(Other)	Rented Housing co operative community church group	37
Victoria	2016	(Other)	Rented Landlord type not stated	169
Victoria	2016	(Other)	Rented Other landlord type	2377
Victoria	2016	(Other)	Rented Person not in same household	1068
Victoria	2016	(Other)	Rented Real estate agent	1885
Victoria	2016	(Other)	Rented State or territory housing authority	106
Victoria	2016	Flat/apartment		33020
Victoria	2016	Flat/apartment	Other tenure type	2985
Victoria	2016	Flat/apartment	Owned outright	32358
Victoria	2016	Flat/apartment	Owned with a mortgage	40715
Victoria	2016	Flat/apartment	Rented Housing co operative community church group	3629
Victoria	2016	Flat/apartment	Rented Landlord type not stated	1503
Victoria	2016	Flat/apartment	Rented Other landlord type	2496
Victoria	2016	Flat/apartment	Rented Person not in same household	19616
Victoria	2016	Flat/apartment	Rented Real estate agent	124034
Victoria	2016	Flat/apartment	Rented State or territory housing authority	16231
Victoria	2016	Semi-detached, row/terrace house, townhouse etc.		25554
Victoria	2016	Semi-detached, row/terrace house, townhouse etc.	Other tenure type	4989
Victoria	2016	Semi-detached, row/terrace house, townhouse etc.	Owned outright	72945
Victoria	2016	Semi-detached, row/terrace house, townhouse etc.	Owned with a mortgage	81069
Victoria	2016	Semi-detached, row/terrace house, townhouse etc.	Rented Housing co operative community church group	2819
Victoria	2016	Semi-detached, row/terrace house, townhouse etc.	Rented Landlord type not stated	1712
Victoria	2016	Semi-detached, row/terrace house, townhouse etc.	Rented Other landlord type	2021
Victoria	2016	Semi-detached, row/terrace house, townhouse etc.	Rented Person not in same household	20151
Victoria	2016	Semi-detached, row/terrace house, townhouse etc.	Rented Real estate agent	94662
Victoria	2016	Semi-detached, row/terrace house, townhouse etc.	Rented State or territory housing authority	14070
Victoria	2016	Separate house		103025
Victoria	2016	Separate house	Other tenure type	9592
Victoria	2016	Separate house	Owned outright	577736
Victoria	2016	Separate house	Owned with a mortgage	625242
Victoria	2016	Separate house	Rented Housing co operative community church group	3431
Victoria	2016	Separate house	Rented Landlord type not stated	7172
Victoria	2016	Separate house	Rented Other landlord type	9927
Victoria	2016	Separate house	Rented Person not in same household	71931
Victoria	2016	Separate house	Rented Real estate agent	191085
Victoria	2016	Separate house	Rented State or territory housing authority	21695
Queensland	2006			151
Queensland	2006		Other tenure type	19
Queensland	2006		Owned outright	229
Queensland	2006		Owned with a mortgage	173
Queensland	2006		Rented Housing co operative community church group	76
Queensland	2006		Rented Landlord type not stated	19
Queensland	2006		Rented Other landlord type	174
Queensland	2006		Rented Person not in same household	98
Queensland	2006		Rented Real estate agent	143
Queensland	2006		Rented State or territory housing authority	111
Queensland	2006	(Other)		6953
Queensland	2006	(Other)	Other tenure type	798
Queensland	2006	(Other)	Owned outright	22416
Queensland	2006	(Other)	Owned with a mortgage	2504
Queensland	2006	(Other)	Rented Housing co operative community church group	115
Queensland	2006	(Other)	Rented Landlord type not stated	705
Queensland	2006	(Other)	Rented Other landlord type	7108
Queensland	2006	(Other)	Rented Person not in same household	1611
Queensland	2006	(Other)	Rented Real estate agent	549
Queensland	2006	(Other)	Rented State or territory housing authority	122
Queensland	2006	Flat/apartment		29436
Queensland	2006	Flat/apartment	Other tenure type	3990
Queensland	2006	Flat/apartment	Owned outright	26044
Queensland	2006	Flat/apartment	Owned with a mortgage	20898
Queensland	2006	Flat/apartment	Rented Housing co operative community church group	2542
Queensland	2006	Flat/apartment	Rented Landlord type not stated	2768
Queensland	2006	Flat/apartment	Rented Other landlord type	5084
Queensland	2006	Flat/apartment	Rented Person not in same household	29456
Queensland	2006	Flat/apartment	Rented Real estate agent	62501
Queensland	2006	Flat/apartment	Rented State or territory housing authority	13868
Queensland	2006	Semi-detached, row/terrace house, townhouse etc.		9387
Queensland	2006	Semi-detached, row/terrace house, townhouse etc.	Other tenure type	3561
Queensland	2006	Semi-detached, row/terrace house, townhouse etc.	Owned outright	23932
Queensland	2006	Semi-detached, row/terrace house, townhouse etc.	Owned with a mortgage	19428
Queensland	2006	Semi-detached, row/terrace house, townhouse etc.	Rented Housing co operative community church group	1781
Queensland	2006	Semi-detached, row/terrace house, townhouse etc.	Rented Landlord type not stated	1326
Queensland	2006	Semi-detached, row/terrace house, townhouse etc.	Rented Other landlord type	3160
Queensland	2006	Semi-detached, row/terrace house, townhouse etc.	Rented Person not in same household	15480
Queensland	2006	Semi-detached, row/terrace house, townhouse etc.	Rented Real estate agent	28790
Queensland	2006	Semi-detached, row/terrace house, townhouse etc.	Rented State or territory housing authority	6616
Queensland	2006	Separate house		63451
Queensland	2006	Separate house	Other tenure type	6457
Queensland	2006	Separate house	Owned outright	385849
Queensland	2006	Separate house	Owned with a mortgage	430246
Queensland	2006	Separate house	Rented Housing co operative community church group	5795
Queensland	2006	Separate house	Rented Landlord type not stated	9460
Queensland	2006	Separate house	Rented Other landlord type	18093
Queensland	2006	Separate house	Rented Person not in same household	73679
Queensland	2006	Separate house	Rented Real estate agent	133861
Queensland	2006	Separate house	Rented State or territory housing authority	27506
Queensland	2011			259
Queensland	2011		Other tenure type	73
Queensland	2011		Owned outright	737
Queensland	2011		Owned with a mortgage	256
Queensland	2011		Rented Housing co operative community church group	21
Queensland	2011		Rented Landlord type not stated	45
Queensland	2011		Rented Other landlord type	179
Queensland	2011		Rented Person not in same household	219
Queensland	2011		Rented Real estate agent	272
Queensland	2011		Rented State or territory housing authority	35
Queensland	2011	(Other)		6619
Queensland	2011	(Other)	Other tenure type	902
Queensland	2011	(Other)	Owned outright	22884
Queensland	2011	(Other)	Owned with a mortgage	1953
Queensland	2011	(Other)	Rented Housing co operative community church group	82
Queensland	2011	(Other)	Rented Landlord type not stated	595
Queensland	2011	(Other)	Rented Other landlord type	6931
Queensland	2011	(Other)	Rented Person not in same household	1538
Queensland	2011	(Other)	Rented Real estate agent	662
Queensland	2011	(Other)	Rented State or territory housing authority	123
Queensland	2011	Flat/apartment		21766
Queensland	2011	Flat/apartment	Other tenure type	2562
Queensland	2011	Flat/apartment	Owned outright	26239
Queensland	2011	Flat/apartment	Owned with a mortgage	25598
Queensland	2011	Flat/apartment	Rented Housing co operative community church group	3349
Queensland	2011	Flat/apartment	Rented Landlord type not stated	1964
Queensland	2011	Flat/apartment	Rented Other landlord type	4639
Queensland	2011	Flat/apartment	Rented Person not in same household	25484
Queensland	2011	Flat/apartment	Rented Real estate agent	75248
Queensland	2011	Flat/apartment	Rented State or territory housing authority	17039
Queensland	2011	Semi-detached, row/terrace house, townhouse etc.		10405
Queensland	2011	Semi-detached, row/terrace house, townhouse etc.	Other tenure type	3996
Queensland	2011	Semi-detached, row/terrace house, townhouse etc.	Owned outright	25269
Queensland	2011	Semi-detached, row/terrace house, townhouse etc.	Owned with a mortgage	25543
Queensland	2011	Semi-detached, row/terrace house, townhouse etc.	Rented Housing co operative community church group	2082
Queensland	2011	Semi-detached, row/terrace house, townhouse etc.	Rented Landlord type not stated	1271
Queensland	2011	Semi-detached, row/terrace house, townhouse etc.	Rented Other landlord type	3280
Queensland	2011	Semi-detached, row/terrace house, townhouse etc.	Rented Person not in same household	16080
Queensland	2011	Semi-detached, row/terrace house, townhouse etc.	Rented Real estate agent	41671
Queensland	2011	Semi-detached, row/terrace house, townhouse etc.	Rented State or territory housing authority	7830
Queensland	2011	Separate house		61824
Queensland	2011	Separate house	Other tenure type	8212
Queensland	2011	Separate house	Owned outright	392422
Queensland	2011	Separate house	Owned with a mortgage	483732
Queensland	2011	Separate house	Rented Housing co operative community church group	4305
Queensland	2011	Separate house	Rented Landlord type not stated	8296
Queensland	2011	Separate house	Rented Other landlord type	20374
Queensland	2011	Separate house	Rented Person not in same household	79732
Queensland	2011	Separate house	Rented Real estate agent	174682
Queensland	2011	Separate house	Rented State or territory housing authority	29272
Queensland	2016			3907
Queensland	2016		Other tenure type	253
Queensland	2016		Owned outright	2497
Queensland	2016		Owned with a mortgage	1547
Queensland	2016		Rented Housing co operative community church group	101
Queensland	2016		Rented Landlord type not stated	157
Queensland	2016		Rented Other landlord type	680
Queensland	2016		Rented Person not in same household	949
Queensland	2016		Rented Real estate agent	1626
Queensland	2016		Rented State or territory housing authority	174
Queensland	2016	(Other)		10149
Queensland	2016	(Other)	Other tenure type	665
Queensland	2016	(Other)	Owned outright	21223
Queensland	2016	(Other)	Owned with a mortgage	1958
Queensland	2016	(Other)	Rented Housing co operative community church group	47
Queensland	2016	(Other)	Rented Landlord type not stated	375
Queensland	2016	(Other)	Rented Other landlord type	4911
Queensland	2016	(Other)	Rented Person not in same household	1030
Queensland	2016	(Other)	Rented Real estate agent	746
Queensland	2016	(Other)	Rented State or territory housing authority	113
Queensland	2016	Flat/apartment		26317
Queensland	2016	Flat/apartment	Other tenure type	3020
Queensland	2016	Flat/apartment	Owned outright	28555
Queensland	2016	Flat/apartment	Owned with a mortgage	25327
Queensland	2016	Flat/apartment	Rented Housing co operative community church group	2933
Queensland	2016	Flat/apartment	Rented Landlord type not stated	1434
Queensland	2016	Flat/apartment	Rented Other landlord type	3496
Queensland	2016	Flat/apartment	Rented Person not in same household	21237
Queensland	2016	Flat/apartment	Rented Real estate agent	85608
Queensland	2016	Flat/apartment	Rented State or territory housing authority	13204
Queensland	2016	Semi-detached, row/terrace house, townhouse etc.		19061
Queensland	2016	Semi-detached, row/terrace house, townhouse etc.	Other tenure type	5175
Queensland	2016	Semi-detached, row/terrace house, townhouse etc.	Owned outright	31165
Queensland	2016	Semi-detached, row/terrace house, townhouse etc.	Owned with a mortgage	29491
Queensland	2016	Semi-detached, row/terrace house, townhouse etc.	Rented Housing co operative community church group	2847
Queensland	2016	Semi-detached, row/terrace house, townhouse etc.	Rented Landlord type not stated	1207
Queensland	2016	Semi-detached, row/terrace house, townhouse etc.	Rented Other landlord type	3693
Queensland	2016	Semi-detached, row/terrace house, townhouse etc.	Rented Person not in same household	16801
Queensland	2016	Semi-detached, row/terrace house, townhouse etc.	Rented Real estate agent	67879
Queensland	2016	Semi-detached, row/terrace house, townhouse etc.	Rented State or territory housing authority	12281
Queensland	2016	Separate house		86582
Queensland	2016	Separate house	Other tenure type	7611
Queensland	2016	Separate house	Owned outright	406941
Queensland	2016	Separate house	Owned with a mortgage	503465
Queensland	2016	Separate house	Rented Housing co operative community church group	2902
Queensland	2016	Separate house	Rented Landlord type not stated	6974
Queensland	2016	Separate house	Rented Other landlord type	18238
Queensland	2016	Separate house	Rented Person not in same household	77276
Queensland	2016	Separate house	Rented Real estate agent	200456
Queensland	2016	Separate house	Rented State or territory housing authority	27439
South Australia	2006			32
South Australia	2006		Other tenure type	4
South Australia	2006		Owned outright	50
South Australia	2006		Owned with a mortgage	163
South Australia	2006		Rented Housing co operative community church group	3
South Australia	2006		Rented Landlord type not stated	0
South Australia	2006		Rented Other landlord type	10
South Australia	2006		Rented Person not in same household	25
South Australia	2006		Rented Real estate agent	23
South Australia	2006		Rented State or territory housing authority	37
South Australia	2006	(Other)		1519
South Australia	2006	(Other)	Other tenure type	157
South Australia	2006	(Other)	Owned outright	2605
South Australia	2006	(Other)	Owned with a mortgage	608
South Australia	2006	(Other)	Rented Housing co operative community church group	21
South Australia	2006	(Other)	Rented Landlord type not stated	110
South Australia	2006	(Other)	Rented Other landlord type	922
South Australia	2006	(Other)	Rented Person not in same household	414
South Australia	2006	(Other)	Rented Real estate agent	132
South Australia	2006	(Other)	Rented State or territory housing authority	19
South Australia	2006	Flat/apartment		5541
South Australia	2006	Flat/apartment	Other tenure type	2030
South Australia	2006	Flat/apartment	Owned outright	8385
South Australia	2006	Flat/apartment	Owned with a mortgage	6649
South Australia	2006	Flat/apartment	Rented Housing co operative community church group	2061
South Australia	2006	Flat/apartment	Rented Landlord type not stated	763
South Australia	2006	Flat/apartment	Rented Other landlord type	1151
South Australia	2006	Flat/apartment	Rented Person not in same household	9045
South Australia	2006	Flat/apartment	Rented Real estate agent	12850
South Australia	2006	Flat/apartment	Rented State or territory housing authority	7696
South Australia	2006	Semi-detached, row/terrace house, townhouse etc.		5181
South Australia	2006	Semi-detached, row/terrace house, townhouse etc.	Other tenure type	2695
South Australia	2006	Semi-detached, row/terrace house, townhouse etc.	Owned outright	12196
South Australia	2006	Semi-detached, row/terrace house, townhouse etc.	Owned with a mortgage	11500
South Australia	2006	Semi-detached, row/terrace house, townhouse etc.	Rented Housing co operative community church group	1782
South Australia	2006	Semi-detached, row/terrace house, townhouse etc.	Rented Landlord type not stated	677
South Australia	2006	Semi-detached, row/terrace house, townhouse etc.	Rented Other landlord type	764
South Australia	2006	Semi-detached, row/terrace house, townhouse etc.	Rented Person not in same household	5959
South Australia	2006	Semi-detached, row/terrace house, townhouse etc.	Rented Real estate agent	8386
South Australia	2006	Semi-detached, row/terrace house, townhouse etc.	Rented State or territory housing authority	15598
South Australia	2006	Separate house		24009
South Australia	2006	Separate house	Other tenure type	2935
South Australia	2006	Separate house	Owned outright	182202
South Australia	2006	Separate house	Owned with a mortgage	185147
South Australia	2006	Separate house	Rented Housing co operative community church group	2573
South Australia	2006	Separate house	Rented Landlord type not stated	3365
