STE_NAME16	Year	Age	NonSchoolQualification	adults
New South Wales	2006	75-84		82014
New South Wales	2006	75-84	Certificate nfd	3896
New South Wales	2006	75-84	Certificate I and II Level	901
New South Wales	2006	75-84	Certificate III and IV Level	31720
New South Wales	2006	75-84	Advanced Diploma and Diploma	13829
New South Wales	2006	75-84	Bachelor	13107
New South Wales	2006	75-84	Graduate Diploma and Graduate Certificate	1205
New South Wales	2006	75-84	Postgraduate	2827
New South Wales	2006	85+		34400
New South Wales	2006	85+	Certificate nfd	1005
New South Wales	2006	85+	Certificate I and II Level	168
New South Wales	2006	85+	Certificate III and IV Level	6564
New South Wales	2006	85+	Advanced Diploma and Diploma	3535
New South Wales	2006	85+	Bachelor	3100
New South Wales	2006	85+	Graduate Diploma and Graduate Certificate	199
New South Wales	2006	85+	Postgraduate	518
New South Wales	2011	15-19		44526
New South Wales	2011	15-19	Certificate nfd	1847
New South Wales	2011	15-19	Certificate I and II Level	5190
New South Wales	2011	15-19	Certificate III and IV Level	14541
New South Wales	2011	15-19	Advanced Diploma and Diploma	2675
New South Wales	2011	15-19	Bachelor	461
New South Wales	2011	15-19	Graduate Diploma and Graduate Certificate	36
New South Wales	2011	15-19	Postgraduate	53
New South Wales	2011	20-24		42136
New South Wales	2011	20-24	Certificate nfd	5762
New South Wales	2011	20-24	Certificate I and II Level	9088
New South Wales	2011	20-24	Certificate III and IV Level	70163
New South Wales	2011	20-24	Advanced Diploma and Diploma	32708
New South Wales	2011	20-24	Bachelor	59085
New South Wales	2011	20-24	Graduate Diploma and Graduate Certificate	1322
New South Wales	2011	20-24	Postgraduate	4365
New South Wales	2011	25-34		88079
New South Wales	2011	25-34	Certificate nfd	12945
New South Wales	2011	25-34	Certificate I and II Level	15186
New South Wales	2011	25-34	Certificate III and IV Level	158745
New South Wales	2011	25-34	Advanced Diploma and Diploma	91120
New South Wales	2011	25-34	Bachelor	233704
New South Wales	2011	25-34	Graduate Diploma and Graduate Certificate	15661
New South Wales	2011	25-34	Postgraduate	67578
New South Wales	2011	35-44		88052
New South Wales	2011	35-44	Certificate nfd	18948
New South Wales	2011	35-44	Certificate I and II Level	13816
New South Wales	2011	35-44	Certificate III and IV Level	167812
New South Wales	2011	35-44	Advanced Diploma and Diploma	108178
New South Wales	2011	35-44	Bachelor	192086
New South Wales	2011	35-44	Graduate Diploma and Graduate Certificate	20565
New South Wales	2011	35-44	Postgraduate	63107
New South Wales	2011	45-54		94977
New South Wales	2011	45-54	Certificate nfd	21647
New South Wales	2011	45-54	Certificate I and II Level	12543
New South Wales	2011	45-54	Certificate III and IV Level	168533
New South Wales	2011	45-54	Advanced Diploma and Diploma	95850
New South Wales	2011	45-54	Bachelor	139252
New South Wales	2011	45-54	Graduate Diploma and Graduate Certificate	20141
New South Wales	2011	45-54	Postgraduate	49739
New South Wales	2011	55-64		91025
New South Wales	2011	55-64	Certificate nfd	19715
New South Wales	2011	55-64	Certificate I and II Level	8382
New South Wales	2011	55-64	Certificate III and IV Level	122331
New South Wales	2011	55-64	Advanced Diploma and Diploma	72307
New South Wales	2011	55-64	Bachelor	98451
New South Wales	2011	55-64	Graduate Diploma and Graduate Certificate	17396
New South Wales	2011	55-64	Postgraduate	34705
New South Wales	2011	65-74		80302
New South Wales	2011	65-74	Certificate nfd	10860
New South Wales	2011	65-74	Certificate I and II Level	3328
New South Wales	2011	65-74	Certificate III and IV Level	71784
New South Wales	2011	65-74	Advanced Diploma and Diploma	37635
New South Wales	2011	65-74	Bachelor	42422
New South Wales	2011	65-74	Graduate Diploma and Graduate Certificate	5618
New South Wales	2011	65-74	Postgraduate	14219
New South Wales	2011	75-84		71004
New South Wales	2011	75-84	Certificate nfd	4604
New South Wales	2011	75-84	Certificate I and II Level	1112
New South Wales	2011	75-84	Certificate III and IV Level	35685
New South Wales	2011	75-84	Advanced Diploma and Diploma	16691
New South Wales	2011	75-84	Bachelor	16913
New South Wales	2011	75-84	Graduate Diploma and Graduate Certificate	1577
New South Wales	2011	75-84	Postgraduate	4190
New South Wales	2011	85+		39253
New South Wales	2011	85+	Certificate nfd	1620
New South Wales	2011	85+	Certificate I and II Level	328
New South Wales	2011	85+	Certificate III and IV Level	10189
New South Wales	2011	85+	Advanced Diploma and Diploma	4889
New South Wales	2011	85+	Bachelor	4962
New South Wales	2011	85+	Graduate Diploma and Graduate Certificate	305
New South Wales	2011	85+	Postgraduate	904
New South Wales	2016	15-19		37634
New South Wales	2016	15-19	Certificate nfd	2177
New South Wales	2016	15-19	Certificate I and II Level	4551
New South Wales	2016	15-19	Certificate III and IV Level	14808
New South Wales	2016	15-19	Advanced Diploma and Diploma	3412
New South Wales	2016	15-19	Bachelor	642
New South Wales	2016	15-19	Graduate Diploma and Graduate Certificate	138
New South Wales	2016	15-19	Postgraduate	67
New South Wales	2016	20-24		42651
New South Wales	2016	20-24	Certificate nfd	6549
New South Wales	2016	20-24	Certificate I and II Level	8173
New South Wales	2016	20-24	Certificate III and IV Level	71475
New South Wales	2016	20-24	Advanced Diploma and Diploma	31960
New South Wales	2016	20-24	Bachelor	76273
New South Wales	2016	20-24	Graduate Diploma and Graduate Certificate	1890
New South Wales	2016	20-24	Postgraduate	5747
New South Wales	2016	25-34		99266
New South Wales	2016	25-34	Certificate nfd	14831
New South Wales	2016	25-34	Certificate I and II Level	12210
New South Wales	2016	25-34	Certificate III and IV Level	176871
New South Wales	2016	25-34	Advanced Diploma and Diploma	105036
New South Wales	2016	25-34	Bachelor	285760
New South Wales	2016	25-34	Graduate Diploma and Graduate Certificate	18728
New South Wales	2016	25-34	Postgraduate	99809
New South Wales	2016	35-44		85848
New South Wales	2016	35-44	Certificate nfd	20663
New South Wales	2016	35-44	Certificate I and II Level	12181
New South Wales	2016	35-44	Certificate III and IV Level	168140
New South Wales	2016	35-44	Advanced Diploma and Diploma	114958
New South Wales	2016	35-44	Bachelor	231366
New South Wales	2016	35-44	Graduate Diploma and Graduate Certificate	23809
New South Wales	2016	35-44	Postgraduate	95324
New South Wales	2016	45-54		88295
New South Wales	2016	45-54	Certificate nfd	27437
New South Wales	2016	45-54	Certificate I and II Level	12111
New South Wales	2016	45-54	Certificate III and IV Level	175382
New South Wales	2016	45-54	Advanced Diploma and Diploma	113087
New South Wales	2016	45-54	Bachelor	160657
New South Wales	2016	45-54	Graduate Diploma and Graduate Certificate	22026
New South Wales	2016	45-54	Postgraduate	64107
New South Wales	2016	55-64		90043
New South Wales	2016	55-64	Certificate nfd	28537
New South Wales	2016	55-64	Certificate I and II Level	10013
New South Wales	2016	55-64	Certificate III and IV Level	144048
New South Wales	2016	55-64	Advanced Diploma and Diploma	90720
New South Wales	2016	55-64	Bachelor	121836
New South Wales	2016	55-64	Graduate Diploma and Graduate Certificate	22241
New South Wales	2016	55-64	Postgraduate	45773
New South Wales	2016	65-74		87282
New South Wales	2016	65-74	Certificate nfd	22268
New South Wales	2016	65-74	Certificate I and II Level	5611
New South Wales	2016	65-74	Certificate III and IV Level	91645
New South Wales	2016	65-74	Advanced Diploma and Diploma	54643
New South Wales	2016	65-74	Bachelor	68090
New South Wales	2016	65-74	Graduate Diploma and Graduate Certificate	11117
New South Wales	2016	65-74	Postgraduate	24800
New South Wales	2016	75-84		67256
New South Wales	2016	75-84	Certificate nfd	9060
New South Wales	2016	75-84	Certificate I and II Level	1574
New South Wales	2016	75-84	Certificate III and IV Level	43008
New South Wales	2016	75-84	Advanced Diploma and Diploma	22018
New South Wales	2016	75-84	Bachelor	24753
New South Wales	2016	75-84	Graduate Diploma and Graduate Certificate	2803
New South Wales	2016	75-84	Postgraduate	7202
New South Wales	2016	85+		43004
New South Wales	2016	85+	Certificate nfd	3459
New South Wales	2016	85+	Certificate I and II Level	497
New South Wales	2016	85+	Certificate III and IV Level	13682
New South Wales	2016	85+	Advanced Diploma and Diploma	7298
New South Wales	2016	85+	Bachelor	7497
New South Wales	2016	85+	Graduate Diploma and Graduate Certificate	589
New South Wales	2016	85+	Postgraduate	1658
Victoria	2006	15-19		40183
Victoria	2006	15-19	Certificate nfd	1218
Victoria	2006	15-19	Certificate I and II Level	3494
Victoria	2006	15-19	Certificate III and IV Level	10071
Victoria	2006	15-19	Advanced Diploma and Diploma	1609
Victoria	2006	15-19	Bachelor	404
Victoria	2006	15-19	Graduate Diploma and Graduate Certificate	26
Victoria	2006	15-19	Postgraduate	51
Victoria	2006	20-24		35213
Victoria	2006	20-24	Certificate nfd	4798
Victoria	2006	20-24	Certificate I and II Level	7396
Victoria	2006	20-24	Certificate III and IV Level	45350
Victoria	2006	20-24	Advanced Diploma and Diploma	25355
Victoria	2006	20-24	Bachelor	48202
Victoria	2006	20-24	Graduate Diploma and Graduate Certificate	1382
Victoria	2006	20-24	Postgraduate	2280
Victoria	2006	25-34		66663
Victoria	2006	25-34	Certificate nfd	11686
Victoria	2006	25-34	Certificate I and II Level	9804
Victoria	2006	25-34	Certificate III and IV Level	103700
Victoria	2006	25-34	Advanced Diploma and Diploma	60408
Victoria	2006	25-34	Bachelor	161926
Victoria	2006	25-34	Graduate Diploma and Graduate Certificate	16218
Victoria	2006	25-34	Postgraduate	27729
Victoria	2006	35-44		74421
Victoria	2006	35-44	Certificate nfd	13093
Victoria	2006	35-44	Certificate I and II Level	6951
Victoria	2006	35-44	Certificate III and IV Level	121308
Victoria	2006	35-44	Advanced Diploma and Diploma	64224
Victoria	2006	35-44	Bachelor	117991
Victoria	2006	35-44	Graduate Diploma and Graduate Certificate	20979
Victoria	2006	35-44	Postgraduate	29647
Victoria	2006	45-54		71214
Victoria	2006	45-54	Certificate nfd	11308
Victoria	2006	45-54	Certificate I and II Level	5671
Victoria	2006	45-54	Certificate III and IV Level	102463
Victoria	2006	45-54	Advanced Diploma and Diploma	59811
Victoria	2006	45-54	Bachelor	92241
Victoria	2006	45-54	Graduate Diploma and Graduate Certificate	20643
Victoria	2006	45-54	Postgraduate	25198
Victoria	2006	55-64		65808
Victoria	2006	55-64	Certificate nfd	8221
Victoria	2006	55-64	Certificate I and II Level	2826
Victoria	2006	55-64	Certificate III and IV Level	69713
Victoria	2006	55-64	Advanced Diploma and Diploma	44540
Victoria	2006	55-64	Bachelor	50625
Victoria	2006	55-64	Graduate Diploma and Graduate Certificate	10627
Victoria	2006	55-64	Postgraduate	15970
Victoria	2006	65-74		60336
Victoria	2006	65-74	Certificate nfd	3505
Victoria	2006	65-74	Certificate I and II Level	878
Victoria	2006	65-74	Certificate III and IV Level	39179
Victoria	2006	65-74	Advanced Diploma and Diploma	20634
Victoria	2006	65-74	Bachelor	19444
Victoria	2006	65-74	Graduate Diploma and Graduate Certificate	3087
Victoria	2006	65-74	Postgraduate	5036
Victoria	2006	75-84		64738
Victoria	2006	75-84	Certificate nfd	2039
Victoria	2006	75-84	Certificate I and II Level	439
Victoria	2006	75-84	Certificate III and IV Level	20425
Victoria	2006	75-84	Advanced Diploma and Diploma	10550
Victoria	2006	75-84	Bachelor	9402
Victoria	2006	75-84	Graduate Diploma and Graduate Certificate	936
Victoria	2006	75-84	Postgraduate	1818
Victoria	2006	85+		29093
Victoria	2006	85+	Certificate nfd	493
Victoria	2006	85+	Certificate I and II Level	102
Victoria	2006	85+	Certificate III and IV Level	4281
Victoria	2006	85+	Advanced Diploma and Diploma	2509
Victoria	2006	85+	Bachelor	2279
Victoria	2006	85+	Graduate Diploma and Graduate Certificate	149
Victoria	2006	85+	Postgraduate	389
Victoria	2011	15-19		33489
Victoria	2011	15-19	Certificate nfd	1447
Victoria	2011	15-19	Certificate I and II Level	4384
Victoria	2011	15-19	Certificate III and IV Level	12941
Victoria	2011	15-19	Advanced Diploma and Diploma	1721
Victoria	2011	15-19	Bachelor	322
Victoria	2011	15-19	Graduate Diploma and Graduate Certificate	24
Victoria	2011	15-19	Postgraduate	24
Victoria	2011	20-24		31499
Victoria	2011	20-24	Certificate nfd	4592
Victoria	2011	20-24	Certificate I and II Level	6214
Victoria	2011	20-24	Certificate III and IV Level	56176
Victoria	2011	20-24	Advanced Diploma and Diploma	30221
Victoria	2011	20-24	Bachelor	54537
Victoria	2011	20-24	Graduate Diploma and Graduate Certificate	1659
Victoria	2011	20-24	Postgraduate	3297
Victoria	2011	25-34		62995
Victoria	2011	25-34	Certificate nfd	9930
Victoria	2011	25-34	Certificate I and II Level	10459
Victoria	2011	25-34	Certificate III and IV Level	123248
Victoria	2011	25-34	Advanced Diploma and Diploma	78022
Victoria	2011	25-34	Bachelor	204656
Victoria	2011	25-34	Graduate Diploma and Graduate Certificate	20135
Victoria	2011	25-34	Postgraduate	52169
Victoria	2011	35-44		61438
Victoria	2011	35-44	Certificate nfd	12618
Victoria	2011	35-44	Certificate I and II Level	8311
Victoria	2011	35-44	Certificate III and IV Level	129266
Victoria	2011	35-44	Advanced Diploma and Diploma	81077
Victoria	2011	35-44	Bachelor	156284
Victoria	2011	35-44	Graduate Diploma and Graduate Certificate	25914
Victoria	2011	35-44	Postgraduate	44842
Victoria	2011	45-54		62914
Victoria	2011	45-54	Certificate nfd	12579
Victoria	2011	45-54	Certificate I and II Level	7025
Victoria	2011	45-54	Certificate III and IV Level	123951
Victoria	2011	45-54	Advanced Diploma and Diploma	70217
Victoria	2011	45-54	Bachelor	105920
Victoria	2011	45-54	Graduate Diploma and Graduate Certificate	22976
Victoria	2011	45-54	Postgraduate	33833
Victoria	2011	55-64		62110
Victoria	2011	55-64	Certificate nfd	10096
Victoria	2011	55-64	Certificate I and II Level	4726
Victoria	2011	55-64	Certificate III and IV Level	86416
Victoria	2011	55-64	Advanced Diploma and Diploma	56682
Victoria	2011	55-64	Bachelor	72968
Victoria	2011	55-64	Graduate Diploma and Graduate Certificate	17392
Victoria	2011	55-64	Postgraduate	23114
Victoria	2011	65-74		58141
Victoria	2011	65-74	Certificate nfd	5138
Victoria	2011	65-74	Certificate I and II Level	1666
Victoria	2011	65-74	Certificate III and IV Level	48821
Victoria	2011	65-74	Advanced Diploma and Diploma	30166
Victoria	2011	65-74	Bachelor	30892
Victoria	2011	65-74	Graduate Diploma and Graduate Certificate	5641
Victoria	2011	65-74	Postgraduate	9725
Victoria	2011	75-84		54272
Victoria	2011	75-84	Certificate nfd	2238
Victoria	2011	75-84	Certificate I and II Level	553
Victoria	2011	75-84	Certificate III and IV Level	23804
Victoria	2011	75-84	Advanced Diploma and Diploma	12925
Victoria	2011	75-84	Bachelor	12114
Victoria	2011	75-84	Graduate Diploma and Graduate Certificate	1348
Victoria	2011	75-84	Postgraduate	2750
Victoria	2011	85+		30778
Victoria	2011	85+	Certificate nfd	858
Victoria	2011	85+	Certificate I and II Level	173
Victoria	2011	85+	Certificate III and IV Level	6574
Victoria	2011	85+	Advanced Diploma and Diploma	3727
Victoria	2011	85+	Bachelor	3523
Victoria	2011	85+	Graduate Diploma and Graduate Certificate	259
Victoria	2011	85+	Postgraduate	613
Victoria	2016	15-19		29436
Victoria	2016	15-19	Certificate nfd	1436
Victoria	2016	15-19	Certificate I and II Level	3305
Victoria	2016	15-19	Certificate III and IV Level	12982
Victoria	2016	15-19	Advanced Diploma and Diploma	2661
Victoria	2016	15-19	Bachelor	460
Victoria	2016	15-19	Graduate Diploma and Graduate Certificate	127
Victoria	2016	15-19	Postgraduate	50
Victoria	2016	20-24		33601
Victoria	2016	20-24	Certificate nfd	4873
Victoria	2016	20-24	Certificate I and II Level	6077
Victoria	2016	20-24	Certificate III and IV Level	58980
Victoria	2016	20-24	Advanced Diploma and Diploma	31663
Victoria	2016	20-24	Bachelor	68681
Victoria	2016	20-24	Graduate Diploma and Graduate Certificate	2317
Victoria	2016	20-24	Postgraduate	5706
Victoria	2016	25-34		77120
Victoria	2016	25-34	Certificate nfd	11761
Victoria	2016	25-34	Certificate I and II Level	8897
Victoria	2016	25-34	Certificate III and IV Level	146312
Victoria	2016	25-34	Advanced Diploma and Diploma	96927
Victoria	2016	25-34	Bachelor	245618
Victoria	2016	25-34	Graduate Diploma and Graduate Certificate	23971
Victoria	2016	25-34	Postgraduate	83243
Victoria	2016	35-44		65376
Victoria	2016	35-44	Certificate nfd	14229
Victoria	2016	35-44	Certificate I and II Level	8258
Victoria	2016	35-44	Certificate III and IV Level	129685
Victoria	2016	35-44	Advanced Diploma and Diploma	93692
Victoria	2016	35-44	Bachelor	192904
Victoria	2016	35-44	Graduate Diploma and Graduate Certificate	28895
Victoria	2016	35-44	Postgraduate	71671
Victoria	2016	45-54		65986
Victoria	2016	45-54	Certificate nfd	16154
Victoria	2016	45-54	Certificate I and II Level	7508
Victoria	2016	45-54	Certificate III and IV Level	137905
Victoria	2016	45-54	Advanced Diploma and Diploma	86879
Victoria	2016	45-54	Bachelor	126445
Victoria	2016	45-54	Graduate Diploma and Graduate Certificate	26958
Victoria	2016	45-54	Postgraduate	45490
Victoria	2016	55-64		65717
Victoria	2016	55-64	Certificate nfd	14788
Victoria	2016	55-64	Certificate I and II Level	5811
Victoria	2016	55-64	Certificate III and IV Level	105963
Victoria	2016	55-64	Advanced Diploma and Diploma	68202
Victoria	2016	55-64	Bachelor	90718
Victoria	2016	55-64	Graduate Diploma and Graduate Certificate	23068
Victoria	2016	55-64	Postgraduate	31264
Victoria	2016	65-74		65418
Victoria	2016	65-74	Certificate nfd	10733
Victoria	2016	65-74	Certificate I and II Level	3131
Victoria	2016	65-74	Certificate III and IV Level	63258
Victoria	2016	65-74	Advanced Diploma and Diploma	43704
Victoria	2016	65-74	Bachelor	49907
Victoria	2016	65-74	Graduate Diploma and Graduate Certificate	10831
Victoria	2016	65-74	Postgraduate	16878
Victoria	2016	75-84		50339
Victoria	2016	75-84	Certificate nfd	4408
Victoria	2016	75-84	Certificate I and II Level	785
Victoria	2016	75-84	Certificate III and IV Level	29709
Victoria	2016	75-84	Advanced Diploma and Diploma	17424
Victoria	2016	75-84	Bachelor	17897
Victoria	2016	75-84	Graduate Diploma and Graduate Certificate	2558
Victoria	2016	75-84	Postgraduate	4682
Victoria	2016	85+		30055
Victoria	2016	85+	Certificate nfd	1912
Victoria	2016	85+	Certificate I and II Level	247
Victoria	2016	85+	Certificate III and IV Level	9341
Victoria	2016	85+	Advanced Diploma and Diploma	5879
Victoria	2016	85+	Bachelor	5638
Victoria	2016	85+	Graduate Diploma and Graduate Certificate	507
Victoria	2016	85+	Postgraduate	1067
Queensland	2006	15-19		32401
Queensland	2006	15-19	Certificate nfd	1428
Queensland	2006	15-19	Certificate I and II Level	4738
Queensland	2006	15-19	Certificate III and IV Level	10394
Queensland	2006	15-19	Advanced Diploma and Diploma	1964
Queensland	2006	15-19	Bachelor	278
Queensland	2006	15-19	Graduate Diploma and Graduate Certificate	26
Queensland	2006	15-19	Postgraduate	27
Queensland	2006	20-24		29138
Queensland	2006	20-24	Certificate nfd	4279
Queensland	2006	20-24	Certificate I and II Level	8221
Queensland	2006	20-24	Certificate III and IV Level	41311
Queensland	2006	20-24	Advanced Diploma and Diploma	14871
Queensland	2006	20-24	Bachelor	31538
Queensland	2006	20-24	Graduate Diploma and Graduate Certificate	626
Queensland	2006	20-24	Postgraduate	966
Queensland	2006	25-34		54226
Queensland	2006	25-34	Certificate nfd	10772
Queensland	2006	25-34	Certificate I and II Level	9014
Queensland	2006	25-34	Certificate III and IV Level	95480
Queensland	2006	25-34	Advanced Diploma and Diploma	39862
Queensland	2006	25-34	Bachelor	93471
Queensland	2006	25-34	Graduate Diploma and Graduate Certificate	6827
Queensland	2006	25-34	Postgraduate	12480
Queensland	2006	35-44		60436
Queensland	2006	35-44	Certificate nfd	10332
Queensland	2006	35-44	Certificate I and II Level	5884
Queensland	2006	35-44	Certificate III and IV Level	104526
Queensland	2006	35-44	Advanced Diploma and Diploma	48897
Queensland	2006	35-44	Bachelor	72672
Queensland	2006	35-44	Graduate Diploma and Graduate Certificate	10512
Queensland	2006	35-44	Postgraduate	16842
Queensland	2006	45-54		58260
Queensland	2006	45-54	Certificate nfd	9191
Queensland	2006	45-54	Certificate I and II Level	4433
Queensland	2006	45-54	Certificate III and IV Level	96884
Queensland	2006	45-54	Advanced Diploma and Diploma	44755
Queensland	2006	45-54	Bachelor	57445
Queensland	2006	45-54	Graduate Diploma and Graduate Certificate	10336
Queensland	2006	45-54	Postgraduate	15739
Queensland	2006	55-64		52899
Queensland	2006	55-64	Certificate nfd	6550
Queensland	2006	55-64	Certificate I and II Level	2395
Queensland	2006	55-64	Certificate III and IV Level	68771
Queensland	2006	55-64	Advanced Diploma and Diploma	31788
Queensland	2006	55-64	Bachelor	33933
Queensland	2006	55-64	Graduate Diploma and Graduate Certificate	5460
Queensland	2006	55-64	Postgraduate	9827
Queensland	2006	65-74		45164
Queensland	2006	65-74	Certificate nfd	2638
Queensland	2006	65-74	Certificate I and II Level	734
Queensland	2006	65-74	Certificate III and IV Level	35260
Queensland	2006	65-74	Advanced Diploma and Diploma	14285
Queensland	2006	65-74	Bachelor	12894
Queensland	2006	65-74	Graduate Diploma and Graduate Certificate	1866
Queensland	2006	65-74	Postgraduate	3278
Queensland	2006	75-84		44005
Queensland	2006	75-84	Certificate nfd	1248
Queensland	2006	75-84	Certificate I and II Level	273
Queensland	2006	75-84	Certificate III and IV Level	16016
Queensland	2006	75-84	Advanced Diploma and Diploma	6218
Queensland	2006	75-84	Bachelor	5725
Queensland	2006	75-84	Graduate Diploma and Graduate Certificate	473
Queensland	2006	75-84	Postgraduate	1041
Queensland	2006	85+		20142
Queensland	2006	85+	Certificate nfd	298
Queensland	2006	85+	Certificate I and II Level	52
Queensland	2006	85+	Certificate III and IV Level	3133
Queensland	2006	85+	Advanced Diploma and Diploma	1407
Queensland	2006	85+	Bachelor	1356
Queensland	2006	85+	Graduate Diploma and Graduate Certificate	63
Queensland	2006	85+	Postgraduate	198
Queensland	2011	15-19		29126
Queensland	2011	15-19	Certificate nfd	1821
Queensland	2011	15-19	Certificate I and II Level	8060
Queensland	2011	15-19	Certificate III and IV Level	15690
Queensland	2011	15-19	Advanced Diploma and Diploma	2338
Queensland	2011	15-19	Bachelor	291
Queensland	2011	15-19	Graduate Diploma and Graduate Certificate	35
Queensland	2011	15-19	Postgraduate	14
Queensland	2011	20-24		27373
Queensland	2011	20-24	Certificate nfd	4162
Queensland	2011	20-24	Certificate I and II Level	8025
Queensland	2011	20-24	Certificate III and IV Level	53483
Queensland	2011	20-24	Advanced Diploma and Diploma	16299
Queensland	2011	20-24	Bachelor	33645
Queensland	2011	20-24	Graduate Diploma and Graduate Certificate	1064
Queensland	2011	20-24	Postgraduate	1569
Queensland	2011	25-34		53966
Queensland	2011	25-34	Certificate nfd	9008
Queensland	2011	25-34	Certificate I and II Level	11108
Queensland	2011	25-34	Certificate III and IV Level	121923
Queensland	2011	25-34	Advanced Diploma and Diploma	48500
Queensland	2011	25-34	Bachelor	120390
Queensland	2011	25-34	Graduate Diploma and Graduate Certificate	9336
Queensland	2011	25-34	Postgraduate	23217
Queensland	2011	35-44		55302
Queensland	2011	35-44	Certificate nfd	11106
Queensland	2011	35-44	Certificate I and II Level	7793
Queensland	2011	35-44	Certificate III and IV Level	122432
Queensland	2011	35-44	Advanced Diploma and Diploma	62336
Queensland	2011	35-44	Bachelor	101186
Queensland	2011	35-44	Graduate Diploma and Graduate Certificate	13797
Queensland	2011	35-44	Postgraduate	25099
Queensland	2011	45-54		55608
Queensland	2011	45-54	Certificate nfd	10200
Queensland	2011	45-54	Certificate I and II Level	5968
Queensland	2011	45-54	Certificate III and IV Level	117141
Queensland	2011	45-54	Advanced Diploma and Diploma	57589
Queensland	2011	45-54	Bachelor	69839
Queensland	2011	45-54	Graduate Diploma and Graduate Certificate	12405
Queensland	2011	45-54	Postgraduate	21704
Queensland	2011	55-64		51704
Queensland	2011	55-64	Certificate nfd	8672
Queensland	2011	55-64	Certificate I and II Level	3903
Queensland	2011	55-64	Certificate III and IV Level	87032
Queensland	2011	55-64	Advanced Diploma and Diploma	42604
Queensland	2011	55-64	Bachelor	48364
Queensland	2011	55-64	Graduate Diploma and Graduate Certificate	9016
Queensland	2011	55-64	Postgraduate	15037
Queensland	2011	65-74		45549
Queensland	2011	65-74	Certificate nfd	4250
Queensland	2011	65-74	Certificate I and II Level	1424
Queensland	2011	65-74	Certificate III and IV Level	47005
Queensland	2011	65-74	Advanced Diploma and Diploma	21187
Queensland	2011	65-74	Bachelor	21529
Queensland	2011	65-74	Graduate Diploma and Graduate Certificate	3005
Queensland	2011	65-74	Postgraduate	6067
Queensland	2011	75-84		38594
Queensland	2011	75-84	Certificate nfd	1515
Queensland	2011	75-84	Certificate I and II Level	397
Queensland	2011	75-84	Certificate III and IV Level	19528
Queensland	2011	75-84	Advanced Diploma and Diploma	7903
Queensland	2011	75-84	Bachelor	7515
Queensland	2011	75-84	Graduate Diploma and Graduate Certificate	689
Queensland	2011	75-84	Postgraduate	1643
Queensland	2011	85+		21446
Queensland	2011	85+	Certificate nfd	473
Queensland	2011	85+	Certificate I and II Level	97
