STE_NAME16	Year	Landlord	Rent.min	occupied_private_dwellings_being_rented
Victoria	2011	State or territory housing authority	3937	16191
Victoria	2011	State or territory housing authority	5250	12728
Victoria	2011	State or territory housing authority	7875	8286
Victoria	2011	State or territory housing authority	10500	2610
Victoria	2011	State or territory housing authority	11812	3459
Victoria	2011	State or territory housing authority	14437	1750
Victoria	2011	State or territory housing authority	18375	405
Victoria	2011	State or territory housing authority	23625	139
Victoria	2011	State or territory housing authority	28875	71
Victoria	2011	State or territory housing authority	34125	69
Victoria	2011	State or territory housing authority	39375	145
Victoria	2011	State or territory housing authority	44625	43
Victoria	2011	State or territory housing authority	49875	27
Victoria	2016			920
Victoria	2016		0	6954
Victoria	2016		3937	84
Victoria	2016		5250	414
Victoria	2016		7875	368
Victoria	2016		10500	224
Victoria	2016		11812	369
Victoria	2016		14437	583
Victoria	2016		18375	436
Victoria	2016		23625	175
Victoria	2016		28875	68
Victoria	2016		34125	32
Victoria	2016		39375	17
Victoria	2016		44625	15
Victoria	2016		49875	48
Victoria	2016	(Other)		1833
Victoria	2016	(Other)	0	2115
Victoria	2016	(Other)	3937	366
Victoria	2016	(Other)	5250	1457
Victoria	2016	(Other)	7875	1761
Victoria	2016	(Other)	10500	1234
Victoria	2016	(Other)	11812	2354
Victoria	2016	(Other)	14437	3001
Victoria	2016	(Other)	18375	1637
Victoria	2016	(Other)	23625	588
Victoria	2016	(Other)	28875	303
Victoria	2016	(Other)	34125	154
Victoria	2016	(Other)	39375	102
Victoria	2016	(Other)	44625	59
Victoria	2016	(Other)	49875	228
Victoria	2016	Co-op/church group etc		924
Victoria	2016	Co-op/church group etc	0	650
Victoria	2016	Co-op/church group etc	3937	625
Victoria	2016	Co-op/church group etc	5250	1564
Victoria	2016	Co-op/church group etc	7875	2378
Victoria	2016	Co-op/church group etc	10500	1157
Victoria	2016	Co-op/church group etc	11812	1228
Victoria	2016	Co-op/church group etc	14437	837
Victoria	2016	Co-op/church group etc	18375	375
Victoria	2016	Co-op/church group etc	23625	153
Victoria	2016	Co-op/church group etc	28875	56
Victoria	2016	Co-op/church group etc	34125	28
Victoria	2016	Co-op/church group etc	39375	24
Victoria	2016	Co-op/church group etc	44625	7
Victoria	2016	Co-op/church group etc	49875	8
Victoria	2016	Person not in same household		6334
Victoria	2016	Person not in same household	0	10867
Victoria	2016	Person not in same household	3937	1007
Victoria	2016	Person not in same household	5250	6285
Victoria	2016	Person not in same household	7875	10335
Victoria	2016	Person not in same household	10500	8617
Victoria	2016	Person not in same household	11812	13767
Victoria	2016	Person not in same household	14437	22957
Victoria	2016	Person not in same household	18375	17088
Victoria	2016	Person not in same household	23625	7735
Victoria	2016	Person not in same household	28875	3608
Victoria	2016	Person not in same household	34125	1770
Victoria	2016	Person not in same household	39375	1085
Victoria	2016	Person not in same household	44625	563
Victoria	2016	Person not in same household	49875	1572
Victoria	2016	Real estate agent		7700
Victoria	2016	Real estate agent	0	1156
Victoria	2016	Real estate agent	3937	445
Victoria	2016	Real estate agent	5250	3919
Victoria	2016	Real estate agent	7875	12652
Victoria	2016	Real estate agent	10500	13124
Victoria	2016	Real estate agent	11812	42456
Victoria	2016	Real estate agent	14437	114226
Victoria	2016	Real estate agent	18375	122118
Victoria	2016	Real estate agent	23625	49274
Victoria	2016	Real estate agent	28875	22424
Victoria	2016	Real estate agent	34125	10114
Victoria	2016	Real estate agent	39375	4999
Victoria	2016	Real estate agent	44625	2592
Victoria	2016	Real estate agent	49875	6034
Victoria	2016	State or territory housing authority		3318
Victoria	2016	State or territory housing authority	0	2844
Victoria	2016	State or territory housing authority	3937	2733
Victoria	2016	State or territory housing authority	5250	20894
Victoria	2016	State or territory housing authority	7875	9096
Victoria	2016	State or territory housing authority	10500	4352
Victoria	2016	State or territory housing authority	11812	3790
Victoria	2016	State or territory housing authority	14437	3190
Victoria	2016	State or territory housing authority	18375	1482
Victoria	2016	State or territory housing authority	23625	289
Victoria	2016	State or territory housing authority	28875	111
Victoria	2016	State or territory housing authority	34125	62
Victoria	2016	State or territory housing authority	39375	38
Victoria	2016	State or territory housing authority	44625	26
Victoria	2016	State or territory housing authority	49875	22
Queensland	2006			1230
Queensland	2006		0	9584
Queensland	2006		3937	283
Queensland	2006		5250	721
Queensland	2006		7875	575
Queensland	2006		10500	334
Queensland	2006		11812	591
Queensland	2006		14437	424
Queensland	2006		18375	216
Queensland	2006		23625	78
Queensland	2006		28875	57
Queensland	2006		34125	29
Queensland	2006		39375	22
Queensland	2006		44625	22
Queensland	2006		49875	119
Queensland	2006	(Other)		3024
Queensland	2006	(Other)	0	9257
Queensland	2006	(Other)	3937	1800
Queensland	2006	(Other)	5250	6153
Queensland	2006	(Other)	7875	5118
Queensland	2006	(Other)	10500	1711
Queensland	2006	(Other)	11812	2297
Queensland	2006	(Other)	14437	1549
Queensland	2006	(Other)	18375	781
Queensland	2006	(Other)	23625	553
Queensland	2006	(Other)	28875	378
Queensland	2006	(Other)	34125	210
Queensland	2006	(Other)	39375	162
Queensland	2006	(Other)	44625	94
Queensland	2006	(Other)	49875	544
Queensland	2006	Co-op/church group etc		750
Queensland	2006	Co-op/church group etc	0	3009
Queensland	2006	Co-op/church group etc	3937	1427
Queensland	2006	Co-op/church group etc	5250	2627
Queensland	2006	Co-op/church group etc	7875	979
Queensland	2006	Co-op/church group etc	10500	353
Queensland	2006	Co-op/church group etc	11812	563
Queensland	2006	Co-op/church group etc	14437	304
Queensland	2006	Co-op/church group etc	18375	128
Queensland	2006	Co-op/church group etc	23625	51
Queensland	2006	Co-op/church group etc	28875	23
Queensland	2006	Co-op/church group etc	34125	20
Queensland	2006	Co-op/church group etc	39375	12
Queensland	2006	Co-op/church group etc	44625	8
Queensland	2006	Co-op/church group etc	49875	53
Queensland	2006	Person not in same household		4560
Queensland	2006	Person not in same household	0	8055
Queensland	2006	Person not in same household	3937	2703
Queensland	2006	Person not in same household	5250	17973
Queensland	2006	Person not in same household	7875	25284
Queensland	2006	Person not in same household	10500	15487
Queensland	2006	Person not in same household	11812	20614
Queensland	2006	Person not in same household	14437	13649
Queensland	2006	Person not in same household	18375	5617
Queensland	2006	Person not in same household	23625	2101
Queensland	2006	Person not in same household	28875	1017
Queensland	2006	Person not in same household	34125	719
Queensland	2006	Person not in same household	39375	569
Queensland	2006	Person not in same household	44625	306
Queensland	2006	Person not in same household	49875	1661
Queensland	2006	Real estate agent		3748
Queensland	2006	Real estate agent	0	971
Queensland	2006	Real estate agent	3937	1023
Queensland	2006	Real estate agent	5250	16034
Queensland	2006	Real estate agent	7875	43489
Queensland	2006	Real estate agent	10500	29322
Queensland	2006	Real estate agent	11812	58726
Queensland	2006	Real estate agent	14437	46822
Queensland	2006	Real estate agent	18375	17486
Queensland	2006	Real estate agent	23625	4252
Queensland	2006	Real estate agent	28875	1557
Queensland	2006	Real estate agent	34125	642
Queensland	2006	Real estate agent	39375	379
Queensland	2006	Real estate agent	44625	201
Queensland	2006	Real estate agent	49875	1190
Queensland	2006	State or territory housing authority		2583
Queensland	2006	State or territory housing authority	0	16206
Queensland	2006	State or territory housing authority	3937	7646
Queensland	2006	State or territory housing authority	5250	12355
Queensland	2006	State or territory housing authority	7875	6073
Queensland	2006	State or territory housing authority	10500	1405
Queensland	2006	State or territory housing authority	11812	837
Queensland	2006	State or territory housing authority	14437	187
Queensland	2006	State or territory housing authority	18375	54
Queensland	2006	State or territory housing authority	23625	47
Queensland	2006	State or territory housing authority	28875	79
Queensland	2006	State or territory housing authority	34125	18
Queensland	2006	State or territory housing authority	39375	24
Queensland	2006	State or territory housing authority	44625	13
Queensland	2006	State or territory housing authority	49875	703
Queensland	2011			1207
Queensland	2011		0	7787
Queensland	2011		3937	148
Queensland	2011		5250	351
Queensland	2011		7875	410
Queensland	2011		10500	255
Queensland	2011		11812	404
Queensland	2011		14437	765
Queensland	2011		18375	567
Queensland	2011		23625	149
Queensland	2011		28875	49
Queensland	2011		34125	14
Queensland	2011		39375	22
Queensland	2011		44625	4
Queensland	2011		49875	42
Queensland	2011	(Other)		3468
Queensland	2011	(Other)	0	8965
Queensland	2011	(Other)	3937	1449
Queensland	2011	(Other)	5250	3081
Queensland	2011	(Other)	7875	4013
Queensland	2011	(Other)	10500	3556
Queensland	2011	(Other)	11812	2997
Queensland	2011	(Other)	14437	3363
Queensland	2011	(Other)	18375	2503
Queensland	2011	(Other)	23625	786
Queensland	2011	(Other)	28875	386
Queensland	2011	(Other)	34125	257
Queensland	2011	(Other)	39375	157
Queensland	2011	(Other)	44625	59
Queensland	2011	(Other)	49875	374
Queensland	2011	Co-op/church group etc		683
Queensland	2011	Co-op/church group etc	0	1388
Queensland	2011	Co-op/church group etc	3937	1007
Queensland	2011	Co-op/church group etc	5250	2217
Queensland	2011	Co-op/church group etc	7875	1771
Queensland	2011	Co-op/church group etc	10500	609
Queensland	2011	Co-op/church group etc	11812	621
Queensland	2011	Co-op/church group etc	14437	756
Queensland	2011	Co-op/church group etc	18375	547
Queensland	2011	Co-op/church group etc	23625	129
Queensland	2011	Co-op/church group etc	28875	50
Queensland	2011	Co-op/church group etc	34125	28
Queensland	2011	Co-op/church group etc	39375	7
Queensland	2011	Co-op/church group etc	44625	4
Queensland	2011	Co-op/church group etc	49875	10
Queensland	2011	Person not in same household		4885
Queensland	2011	Person not in same household	0	7666
Queensland	2011	Person not in same household	3937	1053
Queensland	2011	Person not in same household	5250	7350
Queensland	2011	Person not in same household	7875	12388
Queensland	2011	Person not in same household	10500	10572
Queensland	2011	Person not in same household	11812	16447
Queensland	2011	Person not in same household	14437	26986
Queensland	2011	Person not in same household	18375	23285
Queensland	2011	Person not in same household	23625	6895
Queensland	2011	Person not in same household	28875	2514
Queensland	2011	Person not in same household	34125	1101
Queensland	2011	Person not in same household	39375	572
Queensland	2011	Person not in same household	44625	282
Queensland	2011	Person not in same household	49875	1067
Queensland	2011	Real estate agent		4883
Queensland	2011	Real estate agent	0	878
Queensland	2011	Real estate agent	3937	286
Queensland	2011	Real estate agent	5250	3088
Queensland	2011	Real estate agent	7875	13147
Queensland	2011	Real estate agent	10500	12962
Queensland	2011	Real estate agent	11812	37218
Queensland	2011	Real estate agent	14437	83394
