STE_NAME16	Year	Age	NonSchoolQualification	Sex	adults
New South Wales	2006	35-44	Certificate III and IV Level	M	116739
New South Wales	2006	35-44	Advanced Diploma and Diploma	F	54044
New South Wales	2006	35-44	Advanced Diploma and Diploma	M	37501
New South Wales	2006	35-44	Bachelor	F	82643
New South Wales	2006	35-44	Bachelor	M	69087
New South Wales	2006	35-44	Graduate Diploma and Graduate Certificate	F	10559
New South Wales	2006	35-44	Graduate Diploma and Graduate Certificate	M	6120
New South Wales	2006	35-44	Postgraduate	F	20182
New South Wales	2006	35-44	Postgraduate	M	25037
New South Wales	2006	45-54		F	57985
New South Wales	2006	45-54		M	50571
New South Wales	2006	45-54	Certificate nfd	F	14885
New South Wales	2006	45-54	Certificate nfd	M	7308
New South Wales	2006	45-54	Certificate I and II Level	F	7579
New South Wales	2006	45-54	Certificate I and II Level	M	2959
New South Wales	2006	45-54	Certificate III and IV Level	F	33672
New South Wales	2006	45-54	Certificate III and IV Level	M	108869
New South Wales	2006	45-54	Advanced Diploma and Diploma	F	49400
New South Wales	2006	45-54	Advanced Diploma and Diploma	M	32767
New South Wales	2006	45-54	Bachelor	F	62510
New South Wales	2006	45-54	Bachelor	M	59557
New South Wales	2006	45-54	Graduate Diploma and Graduate Certificate	F	12301
New South Wales	2006	45-54	Graduate Diploma and Graduate Certificate	M	7209
New South Wales	2006	45-54	Postgraduate	F	15965
New South Wales	2006	45-54	Postgraduate	M	22557
New South Wales	2006	55-64		F	51747
New South Wales	2006	55-64		M	43348
New South Wales	2006	55-64	Certificate nfd	F	10407
New South Wales	2006	55-64	Certificate nfd	M	6592
New South Wales	2006	55-64	Certificate I and II Level	F	3657
New South Wales	2006	55-64	Certificate I and II Level	M	2242
New South Wales	2006	55-64	Certificate III and IV Level	F	17350
New South Wales	2006	55-64	Certificate III and IV Level	M	84622
New South Wales	2006	55-64	Advanced Diploma and Diploma	F	32396
New South Wales	2006	55-64	Advanced Diploma and Diploma	M	23224
New South Wales	2006	55-64	Bachelor	F	32146
New South Wales	2006	55-64	Bachelor	M	36501
New South Wales	2006	55-64	Graduate Diploma and Graduate Certificate	F	6391
New South Wales	2006	55-64	Graduate Diploma and Graduate Certificate	M	4193
New South Wales	2006	55-64	Postgraduate	F	8654
New South Wales	2006	55-64	Postgraduate	M	15083
New South Wales	2006	65-74		F	46753
New South Wales	2006	65-74		M	35003
New South Wales	2006	65-74	Certificate nfd	F	4387
New South Wales	2006	65-74	Certificate nfd	M	3096
New South Wales	2006	65-74	Certificate I and II Level	F	1056
New South Wales	2006	65-74	Certificate I and II Level	M	920
New South Wales	2006	65-74	Certificate III and IV Level	F	6618
New South Wales	2006	65-74	Certificate III and IV Level	M	51304
New South Wales	2006	65-74	Advanced Diploma and Diploma	F	15039
New South Wales	2006	65-74	Advanced Diploma and Diploma	M	11807
New South Wales	2006	65-74	Bachelor	F	12169
New South Wales	2006	65-74	Bachelor	M	14746
New South Wales	2006	65-74	Graduate Diploma and Graduate Certificate	F	2019
New South Wales	2006	65-74	Graduate Diploma and Graduate Certificate	M	1482
New South Wales	2006	65-74	Postgraduate	F	2308
New South Wales	2006	65-74	Postgraduate	M	5651
New South Wales	2006	75-84		F	50784
New South Wales	2006	75-84		M	31231
New South Wales	2006	75-84	Certificate nfd	F	2365
New South Wales	2006	75-84	Certificate nfd	M	1533
New South Wales	2006	75-84	Certificate I and II Level	F	518
New South Wales	2006	75-84	Certificate I and II Level	M	381
New South Wales	2006	75-84	Certificate III and IV Level	F	4194
New South Wales	2006	75-84	Certificate III and IV Level	M	27528
New South Wales	2006	75-84	Advanced Diploma and Diploma	F	7291
New South Wales	2006	75-84	Advanced Diploma and Diploma	M	6533
New South Wales	2006	75-84	Bachelor	F	5647
New South Wales	2006	75-84	Bachelor	M	7455
New South Wales	2006	75-84	Graduate Diploma and Graduate Certificate	F	682
New South Wales	2006	75-84	Graduate Diploma and Graduate Certificate	M	528
New South Wales	2006	75-84	Postgraduate	F	699
New South Wales	2006	75-84	Postgraduate	M	2128
New South Wales	2006	85+		F	24040
New South Wales	2006	85+		M	10365
New South Wales	2006	85+	Certificate nfd	F	736
New South Wales	2006	85+	Certificate nfd	M	273
New South Wales	2006	85+	Certificate I and II Level	F	116
New South Wales	2006	85+	Certificate I and II Level	M	53
New South Wales	2006	85+	Certificate III and IV Level	F	1327
New South Wales	2006	85+	Certificate III and IV Level	M	5241
New South Wales	2006	85+	Advanced Diploma and Diploma	F	2099
New South Wales	2006	85+	Advanced Diploma and Diploma	M	1437
New South Wales	2006	85+	Bachelor	F	1563
New South Wales	2006	85+	Bachelor	M	1539
New South Wales	2006	85+	Graduate Diploma and Graduate Certificate	F	135
New South Wales	2006	85+	Graduate Diploma and Graduate Certificate	M	69
New South Wales	2006	85+	Postgraduate	F	147
New South Wales	2006	85+	Postgraduate	M	368
New South Wales	2011	15-19		F	20958
New South Wales	2011	15-19		M	23568
New South Wales	2011	15-19	Certificate nfd	F	1149
New South Wales	2011	15-19	Certificate nfd	M	698
New South Wales	2011	15-19	Certificate I and II Level	F	3212
New South Wales	2011	15-19	Certificate I and II Level	M	1981
New South Wales	2011	15-19	Certificate III and IV Level	F	7224
New South Wales	2011	15-19	Certificate III and IV Level	M	7321
New South Wales	2011	15-19	Advanced Diploma and Diploma	F	1820
New South Wales	2011	15-19	Advanced Diploma and Diploma	M	856
New South Wales	2011	15-19	Bachelor	F	263
New South Wales	2011	15-19	Bachelor	M	202
New South Wales	2011	15-19	Graduate Diploma and Graduate Certificate	F	30
New South Wales	2011	15-19	Graduate Diploma and Graduate Certificate	M	7
New South Wales	2011	15-19	Postgraduate	F	32
New South Wales	2011	15-19	Postgraduate	M	18
New South Wales	2011	20-24		F	18914
New South Wales	2011	20-24		M	23228
New South Wales	2011	20-24	Certificate nfd	F	3604
New South Wales	2011	20-24	Certificate nfd	M	2158
New South Wales	2011	20-24	Certificate I and II Level	F	5508
New South Wales	2011	20-24	Certificate I and II Level	M	3582
New South Wales	2011	20-24	Certificate III and IV Level	F	29175
New South Wales	2011	20-24	Certificate III and IV Level	M	40994
New South Wales	2011	20-24	Advanced Diploma and Diploma	F	18932
New South Wales	2011	20-24	Advanced Diploma and Diploma	M	13776
New South Wales	2011	20-24	Bachelor	F	35596
New South Wales	2011	20-24	Bachelor	M	23495
New South Wales	2011	20-24	Graduate Diploma and Graduate Certificate	F	928
New South Wales	2011	20-24	Graduate Diploma and Graduate Certificate	M	392
New South Wales	2011	20-24	Postgraduate	F	2737
New South Wales	2011	20-24	Postgraduate	M	1622
New South Wales	2011	25-34		F	39552
New South Wales	2011	25-34		M	48529
New South Wales	2011	25-34	Certificate nfd	F	8167
New South Wales	2011	25-34	Certificate nfd	M	4776
New South Wales	2011	25-34	Certificate I and II Level	F	9977
New South Wales	2011	25-34	Certificate I and II Level	M	5205
New South Wales	2011	25-34	Certificate III and IV Level	F	59013
New South Wales	2011	25-34	Certificate III and IV Level	M	99729
New South Wales	2011	25-34	Advanced Diploma and Diploma	F	51219
New South Wales	2011	25-34	Advanced Diploma and Diploma	M	39901
New South Wales	2011	25-34	Bachelor	F	136760
New South Wales	2011	25-34	Bachelor	M	96944
New South Wales	2011	25-34	Graduate Diploma and Graduate Certificate	F	10140
New South Wales	2011	25-34	Graduate Diploma and Graduate Certificate	M	5519
New South Wales	2011	25-34	Postgraduate	F	35655
New South Wales	2011	25-34	Postgraduate	M	31921
New South Wales	2011	35-44		F	43140
New South Wales	2011	35-44		M	44908
New South Wales	2011	35-44	Certificate nfd	F	13557
New South Wales	2011	35-44	Certificate nfd	M	5395
New South Wales	2011	35-44	Certificate I and II Level	F	9856
New South Wales	2011	35-44	Certificate I and II Level	M	3969
New South Wales	2011	35-44	Certificate III and IV Level	F	54987
New South Wales	2011	35-44	Certificate III and IV Level	M	112826
New South Wales	2011	35-44	Advanced Diploma and Diploma	F	63257
New South Wales	2011	35-44	Advanced Diploma and Diploma	M	44925
New South Wales	2011	35-44	Bachelor	F	108314
New South Wales	2011	35-44	Bachelor	M	83777
New South Wales	2011	35-44	Graduate Diploma and Graduate Certificate	F	12824
New South Wales	2011	35-44	Graduate Diploma and Graduate Certificate	M	7742
New South Wales	2011	35-44	Postgraduate	F	30486
New South Wales	2011	35-44	Postgraduate	M	32621
New South Wales	2011	45-54		F	49580
New South Wales	2011	45-54		M	45403
New South Wales	2011	45-54	Certificate nfd	F	15277
New South Wales	2011	45-54	Certificate nfd	M	6369
New South Wales	2011	45-54	Certificate I and II Level	F	9104
New South Wales	2011	45-54	Certificate I and II Level	M	3432
New South Wales	2011	45-54	Certificate III and IV Level	F	49486
New South Wales	2011	45-54	Certificate III and IV Level	M	119045
New South Wales	2011	45-54	Advanced Diploma and Diploma	F	56672
New South Wales	2011	45-54	Advanced Diploma and Diploma	M	39179
New South Wales	2011	45-54	Bachelor	F	74316
New South Wales	2011	45-54	Bachelor	M	64940
New South Wales	2011	45-54	Graduate Diploma and Graduate Certificate	F	12749
New South Wales	2011	45-54	Graduate Diploma and Graduate Certificate	M	7393
New South Wales	2011	45-54	Postgraduate	F	21749
New South Wales	2011	45-54	Postgraduate	M	27985
New South Wales	2011	55-64		F	50010
New South Wales	2011	55-64		M	41007
New South Wales	2011	55-64	Certificate nfd	F	12890
New South Wales	2011	55-64	Certificate nfd	M	6823
New South Wales	2011	55-64	Certificate I and II Level	F	5705
New South Wales	2011	55-64	Certificate I and II Level	M	2670
New South Wales	2011	55-64	Certificate III and IV Level	F	27486
New South Wales	2011	55-64	Certificate III and IV Level	M	94845
New South Wales	2011	55-64	Advanced Diploma and Diploma	F	42196
New South Wales	2011	55-64	Advanced Diploma and Diploma	M	30110
New South Wales	2011	55-64	Bachelor	F	48473
New South Wales	2011	55-64	Bachelor	M	49977
New South Wales	2011	55-64	Graduate Diploma and Graduate Certificate	F	10492
New South Wales	2011	55-64	Graduate Diploma and Graduate Certificate	M	6905
New South Wales	2011	55-64	Postgraduate	F	14330
New South Wales	2011	55-64	Postgraduate	M	20368
New South Wales	2011	65-74		F	45882
New South Wales	2011	65-74		M	34420
New South Wales	2011	65-74	Certificate nfd	F	6604
New South Wales	2011	65-74	Certificate nfd	M	4264
New South Wales	2011	65-74	Certificate I and II Level	F	1975
New South Wales	2011	65-74	Certificate I and II Level	M	1356
New South Wales	2011	65-74	Certificate III and IV Level	F	9755
New South Wales	2011	65-74	Certificate III and IV Level	M	62029
New South Wales	2011	65-74	Advanced Diploma and Diploma	F	21593
New South Wales	2011	65-74	Advanced Diploma and Diploma	M	16040
New South Wales	2011	65-74	Bachelor	F	19774
New South Wales	2011	65-74	Bachelor	M	22643
New South Wales	2011	65-74	Graduate Diploma and Graduate Certificate	F	3268
New South Wales	2011	65-74	Graduate Diploma and Graduate Certificate	M	2353
New South Wales	2011	65-74	Postgraduate	F	4692
New South Wales	2011	65-74	Postgraduate	M	9531
New South Wales	2011	75-84		F	42887
New South Wales	2011	75-84		M	28105
New South Wales	2011	75-84	Certificate nfd	F	2757
New South Wales	2011	75-84	Certificate nfd	M	1850
New South Wales	2011	75-84	Certificate I and II Level	F	627
New South Wales	2011	75-84	Certificate I and II Level	M	491
New South Wales	2011	75-84	Certificate III and IV Level	F	4638
New South Wales	2011	75-84	Certificate III and IV Level	M	31043
New South Wales	2011	75-84	Advanced Diploma and Diploma	F	9212
New South Wales	2011	75-84	Advanced Diploma and Diploma	M	7471
New South Wales	2011	75-84	Bachelor	F	7776
New South Wales	2011	75-84	Bachelor	M	9136
New South Wales	2011	75-84	Graduate Diploma and Graduate Certificate	F	854
New South Wales	2011	75-84	Graduate Diploma and Graduate Certificate	M	722
New South Wales	2011	75-84	Postgraduate	F	1107
New South Wales	2011	75-84	Postgraduate	M	3086
New South Wales	2011	85+		F	27279
New South Wales	2011	85+		M	11986
New South Wales	2011	85+	Certificate nfd	F	1154
New South Wales	2011	85+	Certificate nfd	M	467
New South Wales	2011	85+	Certificate I and II Level	F	227
New South Wales	2011	85+	Certificate I and II Level	M	102
New South Wales	2011	85+	Certificate III and IV Level	F	1740
New South Wales	2011	85+	Certificate III and IV Level	M	8452
New South Wales	2011	85+	Advanced Diploma and Diploma	F	2764
New South Wales	2011	85+	Advanced Diploma and Diploma	M	2127
New South Wales	2011	85+	Bachelor	F	2292
New South Wales	2011	85+	Bachelor	M	2673
New South Wales	2011	85+	Graduate Diploma and Graduate Certificate	F	174
New South Wales	2011	85+	Graduate Diploma and Graduate Certificate	M	131
New South Wales	2011	85+	Postgraduate	F	225
New South Wales	2011	85+	Postgraduate	M	674
New South Wales	2016	15-19		F	18129
New South Wales	2016	15-19		M	19502
New South Wales	2016	15-19	Certificate nfd	F	1336
New South Wales	2016	15-19	Certificate nfd	M	834
New South Wales	2016	15-19	Certificate I and II Level	F	2821
New South Wales	2016	15-19	Certificate I and II Level	M	1733
New South Wales	2016	15-19	Certificate III and IV Level	F	7628
New South Wales	2016	15-19	Certificate III and IV Level	M	7180
New South Wales	2016	15-19	Advanced Diploma and Diploma	F	2321
New South Wales	2016	15-19	Advanced Diploma and Diploma	M	1087
New South Wales	2016	15-19	Bachelor	F	348
New South Wales	2016	15-19	Bachelor	M	293
New South Wales	2016	15-19	Graduate Diploma and Graduate Certificate	F	107
New South Wales	2016	15-19	Graduate Diploma and Graduate Certificate	M	33
New South Wales	2016	15-19	Postgraduate	F	35
New South Wales	2016	15-19	Postgraduate	M	24
New South Wales	2016	20-24		F	19945
New South Wales	2016	20-24		M	22704
New South Wales	2016	20-24	Certificate nfd	F	3961
New South Wales	2016	20-24	Certificate nfd	M	2584
New South Wales	2016	20-24	Certificate I and II Level	F	4747
New South Wales	2016	20-24	Certificate I and II Level	M	3426
New South Wales	2016	20-24	Certificate III and IV Level	F	30267
New South Wales	2016	20-24	Certificate III and IV Level	M	41208
New South Wales	2016	20-24	Advanced Diploma and Diploma	F	19362
New South Wales	2016	20-24	Advanced Diploma and Diploma	M	12600
New South Wales	2016	20-24	Bachelor	F	45186
New South Wales	2016	20-24	Bachelor	M	31089
New South Wales	2016	20-24	Graduate Diploma and Graduate Certificate	F	1395
New South Wales	2016	20-24	Graduate Diploma and Graduate Certificate	M	494
New South Wales	2016	20-24	Postgraduate	F	3792
New South Wales	2016	20-24	Postgraduate	M	1957
New South Wales	2016	25-34		F	46402
New South Wales	2016	25-34		M	52876
New South Wales	2016	25-34	Certificate nfd	F	8333
New South Wales	2016	25-34	Certificate nfd	M	6500
New South Wales	2016	25-34	Certificate I and II Level	F	7392
New South Wales	2016	25-34	Certificate I and II Level	M	4818
New South Wales	2016	25-34	Certificate III and IV Level	F	66563
New South Wales	2016	25-34	Certificate III and IV Level	M	110301
New South Wales	2016	25-34	Advanced Diploma and Diploma	F	59909
New South Wales	2016	25-34	Advanced Diploma and Diploma	M	45129
New South Wales	2016	25-34	Bachelor	F	164825
New South Wales	2016	25-34	Bachelor	M	120938
New South Wales	2016	25-34	Graduate Diploma and Graduate Certificate	F	12427
New South Wales	2016	25-34	Graduate Diploma and Graduate Certificate	M	6305
New South Wales	2016	25-34	Postgraduate	F	56431
New South Wales	2016	25-34	Postgraduate	M	43374
New South Wales	2016	35-44		F	40220
New South Wales	2016	35-44		M	45619
New South Wales	2016	35-44	Certificate nfd	F	13010
New South Wales	2016	35-44	Certificate nfd	M	7655
New South Wales	2016	35-44	Certificate I and II Level	F	8432
New South Wales	2016	35-44	Certificate I and II Level	M	3752
New South Wales	2016	35-44	Certificate III and IV Level	F	59872
New South Wales	2016	35-44	Certificate III and IV Level	M	108265
New South Wales	2016	35-44	Advanced Diploma and Diploma	F	66331
New South Wales	2016	35-44	Advanced Diploma and Diploma	M	48629
New South Wales	2016	35-44	Bachelor	F	132893
New South Wales	2016	35-44	Bachelor	M	98479
New South Wales	2016	35-44	Graduate Diploma and Graduate Certificate	F	14870
New South Wales	2016	35-44	Graduate Diploma and Graduate Certificate	M	8941
New South Wales	2016	35-44	Postgraduate	F	47553
New South Wales	2016	35-44	Postgraduate	M	47768
New South Wales	2016	45-54		F	43822
New South Wales	2016	45-54		M	44472
New South Wales	2016	45-54	Certificate nfd	F	18498
New South Wales	2016	45-54	Certificate nfd	M	8938
New South Wales	2016	45-54	Certificate I and II Level	F	8716
New South Wales	2016	45-54	Certificate I and II Level	M	3397
New South Wales	2016	45-54	Certificate III and IV Level	F	58771
New South Wales	2016	45-54	Certificate III and IV Level	M	116612
New South Wales	2016	45-54	Advanced Diploma and Diploma	F	66782
New South Wales	2016	45-54	Advanced Diploma and Diploma	M	46301
New South Wales	2016	45-54	Bachelor	F	88902
New South Wales	2016	45-54	Bachelor	M	71757
New South Wales	2016	45-54	Graduate Diploma and Graduate Certificate	F	13841
New South Wales	2016	45-54	Graduate Diploma and Graduate Certificate	M	8189
New South Wales	2016	45-54	Postgraduate	F	30263
New South Wales	2016	45-54	Postgraduate	M	33845
New South Wales	2016	55-64		F	48020
New South Wales	2016	55-64		M	42026
New South Wales	2016	55-64	Certificate nfd	F	18840
New South Wales	2016	55-64	Certificate nfd	M	9698
New South Wales	2016	55-64	Certificate I and II Level	F	7314
New South Wales	2016	55-64	Certificate I and II Level	M	2699
New South Wales	2016	55-64	Certificate III and IV Level	F	40290
New South Wales	2016	55-64	Certificate III and IV Level	M	103763
New South Wales	2016	55-64	Advanced Diploma and Diploma	F	54455
New South Wales	2016	55-64	Advanced Diploma and Diploma	M	36269
New South Wales	2016	55-64	Bachelor	F	63480
New South Wales	2016	55-64	Bachelor	M	58358
New South Wales	2016	55-64	Graduate Diploma and Graduate Certificate	F	13883
New South Wales	2016	55-64	Graduate Diploma and Graduate Certificate	M	8359
New South Wales	2016	55-64	Postgraduate	F	20329
New South Wales	2016	55-64	Postgraduate	M	25445
New South Wales	2016	65-74		F	48615
New South Wales	2016	65-74		M	38665
New South Wales	2016	65-74	Certificate nfd	F	13857
New South Wales	2016	65-74	Certificate nfd	M	8410
New South Wales	2016	65-74	Certificate I and II Level	F	3800
New South Wales	2016	65-74	Certificate I and II Level	M	1815
New South Wales	2016	65-74	Certificate III and IV Level	F	16349
New South Wales	2016	65-74	Certificate III and IV Level	M	75297
New South Wales	2016	65-74	Advanced Diploma and Diploma	F	31779
New South Wales	2016	65-74	Advanced Diploma and Diploma	M	22865
New South Wales	2016	65-74	Bachelor	F	32979
New South Wales	2016	65-74	Bachelor	M	35110
New South Wales	2016	65-74	Graduate Diploma and Graduate Certificate	F	6585
New South Wales	2016	65-74	Graduate Diploma and Graduate Certificate	M	4530
New South Wales	2016	65-74	Postgraduate	F	9365
New South Wales	2016	65-74	Postgraduate	M	15429
New South Wales	2016	75-84		F	39796
New South Wales	2016	75-84		M	27466
New South Wales	2016	75-84	Certificate nfd	F	5269
New South Wales	2016	75-84	Certificate nfd	M	3791
New South Wales	2016	75-84	Certificate I and II Level	F	966
New South Wales	2016	75-84	Certificate I and II Level	M	608
New South Wales	2016	75-84	Certificate III and IV Level	F	5022
New South Wales	2016	75-84	Certificate III and IV Level	M	37988
New South Wales	2016	75-84	Advanced Diploma and Diploma	F	12860
New South Wales	2016	75-84	Advanced Diploma and Diploma	M	9167
New South Wales	2016	75-84	Bachelor	F	11764
New South Wales	2016	75-84	Bachelor	M	12988
New South Wales	2016	75-84	Graduate Diploma and Graduate Certificate	F	1572
New South Wales	2016	75-84	Graduate Diploma and Graduate Certificate	M	1234
New South Wales	2016	75-84	Postgraduate	F	2143
New South Wales	2016	75-84	Postgraduate	M	5057
New South Wales	2016	85+		F	29050
New South Wales	2016	85+		M	13950
New South Wales	2016	85+	Certificate nfd	F	2349
New South Wales	2016	85+	Certificate nfd	M	1110
New South Wales	2016	85+	Certificate I and II Level	F	342
New South Wales	2016	85+	Certificate I and II Level	M	161
New South Wales	2016	85+	Certificate III and IV Level	F	2310
New South Wales	2016	85+	Certificate III and IV Level	M	11373
New South Wales	2016	85+	Advanced Diploma and Diploma	F	4307
New South Wales	2016	85+	Advanced Diploma and Diploma	M	2991
New South Wales	2016	85+	Bachelor	F	3560
New South Wales	2016	85+	Bachelor	M	3936
New South Wales	2016	85+	Graduate Diploma and Graduate Certificate	F	321
New South Wales	2016	85+	Graduate Diploma and Graduate Certificate	M	266
New South Wales	2016	85+	Postgraduate	F	463
New South Wales	2016	85+	Postgraduate	M	1197
Victoria	2006	15-19		F	19162
Victoria	2006	15-19		M	21014
Victoria	2006	15-19	Certificate nfd	F	786
Victoria	2006	15-19	Certificate nfd	M	432
Victoria	2006	15-19	Certificate I and II Level	F	2044
Victoria	2006	15-19	Certificate I and II Level	M	1446
Victoria	2006	15-19	Certificate III and IV Level	F	4212
Victoria	2006	15-19	Certificate III and IV Level	M	5858
Victoria	2006	15-19	Advanced Diploma and Diploma	F	1036
Victoria	2006	15-19	Advanced Diploma and Diploma	M	571
Victoria	2006	15-19	Bachelor	F	213
Victoria	2006	15-19	Bachelor	M	191
Victoria	2006	15-19	Graduate Diploma and Graduate Certificate	F	19
Victoria	2006	15-19	Graduate Diploma and Graduate Certificate	M	7
Victoria	2006	15-19	Postgraduate	F	15
Victoria	2006	15-19	Postgraduate	M	36
Victoria	2006	20-24		F	15789
Victoria	2006	20-24		M	19428
Victoria	2006	20-24	Certificate nfd	F	3186
Victoria	2006	20-24	Certificate nfd	M	1611
Victoria	2006	20-24	Certificate I and II Level	F	4788
Victoria	2006	20-24	Certificate I and II Level	M	2610
Victoria	2006	20-24	Certificate III and IV Level	F	18138
Victoria	2006	20-24	Certificate III and IV Level	M	27211
Victoria	2006	20-24	Advanced Diploma and Diploma	F	14695
Victoria	2006	20-24	Advanced Diploma and Diploma	M	10656
Victoria	2006	20-24	Bachelor	F	28907
Victoria	2006	20-24	Bachelor	M	19294
Victoria	2006	20-24	Graduate Diploma and Graduate Certificate	F	1020
Victoria	2006	20-24	Graduate Diploma and Graduate Certificate	M	363
Victoria	2006	20-24	Postgraduate	F	1028
Victoria	2006	20-24	Postgraduate	M	1249
Victoria	2006	25-34		F	31061
Victoria	2006	25-34		M	35593
Victoria	2006	25-34	Certificate nfd	F	7915
Victoria	2006	25-34	Certificate nfd	M	3769
Victoria	2006	25-34	Certificate I and II Level	F	6627
Victoria	2006	25-34	Certificate I and II Level	M	3177
Victoria	2006	25-34	Certificate III and IV Level	F	32361
Victoria	2006	25-34	Certificate III and IV Level	M	71334
Victoria	2006	25-34	Advanced Diploma and Diploma	F	36073
Victoria	2006	25-34	Advanced Diploma and Diploma	M	24334
Victoria	2006	25-34	Bachelor	F	93874
Victoria	2006	25-34	Bachelor	M	68051
Victoria	2006	25-34	Graduate Diploma and Graduate Certificate	F	11071
Victoria	2006	25-34	Graduate Diploma and Graduate Certificate	M	5149
Victoria	2006	25-34	Postgraduate	F	13707
Victoria	2006	25-34	Postgraduate	M	14015
Victoria	2006	35-44		F	37951
Victoria	2006	35-44		M	36475
Victoria	2006	35-44	Certificate nfd	F	8803
Victoria	2006	35-44	Certificate nfd	M	4289
Victoria	2006	35-44	Certificate I and II Level	F	5008
Victoria	2006	35-44	Certificate I and II Level	M	1942
Victoria	2006	35-44	Certificate III and IV Level	F	31832
Victoria	2006	35-44	Certificate III and IV Level	M	89474
Victoria	2006	35-44	Advanced Diploma and Diploma	F	38164
Victoria	2006	35-44	Advanced Diploma and Diploma	M	26068
Victoria	2006	35-44	Bachelor	F	65204
Victoria	2006	35-44	Bachelor	M	52785
Victoria	2006	35-44	Graduate Diploma and Graduate Certificate	F	13728
Victoria	2006	35-44	Graduate Diploma and Graduate Certificate	M	7258
Victoria	2006	35-44	Postgraduate	F	13253
Victoria	2006	35-44	Postgraduate	M	16394
Victoria	2006	45-54		F	37197
Victoria	2006	45-54		M	34013
Victoria	2006	45-54	Certificate nfd	F	7208
Victoria	2006	45-54	Certificate nfd	M	4098
Victoria	2006	45-54	Certificate I and II Level	F	4030
Victoria	2006	45-54	Certificate I and II Level	M	1641
Victoria	2006	45-54	Certificate III and IV Level	F	24575
Victoria	2006	45-54	Certificate III and IV Level	M	77891
Victoria	2006	45-54	Advanced Diploma and Diploma	F	33838
Victoria	2006	45-54	Advanced Diploma and Diploma	M	25975
Victoria	2006	45-54	Bachelor	F	48477
Victoria	2006	45-54	Bachelor	M	43764
Victoria	2006	45-54	Graduate Diploma and Graduate Certificate	F	12731
Victoria	2006	45-54	Graduate Diploma and Graduate Certificate	M	7912
Victoria	2006	45-54	Postgraduate	F	10414
Victoria	2006	45-54	Postgraduate	M	14787
Victoria	2006	55-64		F	36064
Victoria	2006	55-64		M	29750
Victoria	2006	55-64	Certificate nfd	F	4912
Victoria	2006	55-64	Certificate nfd	M	3313
Victoria	2006	55-64	Certificate I and II Level	F	1857
Victoria	2006	55-64	Certificate I and II Level	M	969
Victoria	2006	55-64	Certificate III and IV Level	F	13912
