SA4_CODE_2016,Med_age_persns_C2006,Med_age_persns_C2011,Med_age_persns_C2016,Med_mortg_rep_mon_C2006,Med_mortg_rep_mon_C2011,Med_mortg_rep_mon_C2016,Med_person_inc_we_C2006,Med_person_inc_we_C2011,Med_person_inc_we_C2016,Med_rent_weekly_C2006,Med_rent_weekly_C2011,Med_rent_weekly_C2016,Med_Famly_inc_we_C2006,Med_Famly_inc_we_C2011,Med_Famly_inc_we_C2016,Avg_num_p_per_brm_C2006,Avg_num_p_per_brm_C2011,Avg_num_p_per_brm_C2016,Med_tot_hh_inc_wee_C2006,Med_tot_hh_inc_wee_C2011,Med_tot_hh_inc_wee_C2016,Average_hh_size_C2006,Average_hh_size_C2011,Average_hh_size_C2016
201,39,40,42,982,1300,1300,382,482,559,150,195,240,1022,1188,1409,0.8,0.8,0.8,777,934,1097,2.5,2.4,2.4
202,39,40,42,975,1300,1382,393,500,593,155,200,250,1036,1220,1443,0.8,0.8,0.8,796,962,1158,2.5,2.4,2.4
203,38,39,40,1114,1517,1560,416,528,616,160,240,288,1117,1366,1615,0.8,0.8,0.8,911,1079,1285,2.5,2.5,2.5
204,40,42,44,1000,1300,1300,418,506,599,150,185,230,1060,1192,1417,0.8,0.8,0.8,848,948,1132,2.5,2.4,2.4
205,41,42,45,900,1300,1300,377,473,540,130,180,220,1010,1155,1338,0.8,0.8,0.7,750,911,1050,2.4,2.4,2.3
206,33,33,33,1650,2167,2100,611,796,883,245,360,401,1559,2070,2323,0.9,1,1,1146,1501,1694,2.1,2.1,2.1
207,39,39,39,1625,2167,2167,537,636,707,241,350,400,1604,1983,2183,0.8,0.9,0.9,1252,1548,1752,2.6,2.6,2.6
208,39,39,40,1600,2160,2167,558,691,802,220,330,386,1539,1995,2309,0.8,0.9,0.9,1169,1488,1787,2.5,2.5,2.5
209,36,36,36,1300,1863,1829,445,558,645,195,300,331,1218,1526,1767,0.8,0.9,0.9,1083,1321,1521,2.8,2.8,2.8
210,35,36,35,1300,1733,1733,408,499,579,190,290,330,1127,1366,1598,0.8,0.9,0.9,1009,1208,1420,2.9,2.9,2.9
211,37,38,39,1274,1733,1768,494,596,674,200,295,350,1289,1602,1851,0.8,0.8,0.8,1128,1350,1556,2.7,2.7,2.7
212,35,35,35,1300,1733,1733,433,516,586,190,290,336,1155,1377,1593,0.8,0.9,0.9,1042,1230,1442,2.8,2.9,2.9
213,34,33,34,1300,1733,1733,437,551,625,180,275,315,1155,1427,1644,0.8,0.9,0.9,1037,1275,1483,2.8,2.8,2.9
214,39,40,42,1213,1700,1700,447,551,643,175,260,310,1131,1372,1635,0.8,0.8,0.8,933,1096,1301,2.5,2.5,2.5
215,40,42,44,867,1083,1083,388,466,549,120,150,185,1005,1074,1306,0.8,0.8,0.8,740,854,1016,2.4,2.4,2.3
216,39,40,43,1040,1300,1300,405,480,565,145,180,210,1039,1129,1364,0.8,0.8,0.8,819,911,1102,2.5,2.5,2.4
217,40,41,44,919,1258,1300,416,504,582,130,175,202,1071,1217,1411,0.8,0.8,0.8,836,952,1103,2.5,2.4,2.4
297,45,48,49,0,0,0,1321,1949,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,31,32,34,0,0,0,373,352,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,37,38,40,1400,2032,2000,503,636,717,240,350,395,1265,1675,1902,0.8,0.8,0.8,1123,1413,1599,2.7,2.7,2.7
302,37,37,37,1300,2000,1950,527,675,772,220,330,370,1275,1709,1977,0.8,0.8,0.8,1083,1394,1619,2.5,2.5,2.5
303,34,34,34,1400,2000,2000,522,634,700,235,350,390,1335,1717,1930,0.8,0.8,0.8,1148,1460,1674,2.6,2.7,2.7
304,34,35,36,1504,2167,2134,585,718,779,250,370,400,1675,2170,2322,0.8,0.8,0.8,1378,1758,1967,2.7,2.7,2.7
305,33,32,33,1720,2340,2200,668,858,938,255,375,420,1783,2349,2495,0.8,0.9,0.9,1258,1695,1916,2.2,2.3,2.3
306,36,37,39,1170,1664,1597,481,567,642,180,240,280,1122,1294,1475,0.8,0.9,0.8,989,1046,1216,2.5,2.5,2.5
307,38,39,41,884,1300,1300,404,504,582,120,180,210,1014,1157,1366,0.8,0.8,0.8,795,955,1127,2.6,2.5,2.5
308,35,35,36,1083,1777,1733,476,633,664,150,250,250,1214,1677,1740,0.8,0.8,0.8,1055,1380,1398,2.6,2.6,2.6
309,37,38,39,1500,2058,1950,480,570,665,270,350,390,1155,1377,1655,0.8,0.8,0.8,1027,1165,1397,2.5,2.5,2.6
310,34,33,34,1112,1733,1603,448,557,626,180,280,310,1109,1348,1523,0.8,0.8,0.8,998,1187,1360,2.8,2.8,2.8
311,33,33,34,1211,1800,1733,471,571,629,200,300,330,1141,1370,1531,0.8,0.8,0.8,1053,1244,1397,2.9,2.9,2.9
312,35,35,37,1300,2015,1876,521,709,717,160,270,250,1308,1827,1793,0.8,0.9,0.8,1147,1535,1436,2.7,2.7,2.5
313,38,39,41,1213,1800,1719,404,508,572,195,290,315,1039,1222,1407,0.8,0.8,0.8,856,1017,1185,2.6,2.6,2.6
314,34,35,35,1335,2000,1928,554,694,758,230,340,360,1364,1767,1921,0.8,0.8,0.8,1246,1592,1737,2.9,2.9,2.9
315,32,32,33,900,1500,1500,447,588,648,69,100,140,1107,1358,1540,0.9,1,0.9,1000,1165,1302,2.8,2.7,2.7
316,41,42,44,1300,1863,1777,428,519,612,245,325,375,1054,1219,1478,0.8,0.8,0.8,895,1004,1254,2.5,2.5,2.5
317,35,36,37,1083,1517,1560,441,557,649,175,240,285,1119,1345,1583,0.8,0.8,0.8,950,1094,1295,2.6,2.5,2.5
318,34,34,36,1148,1733,1668,499,633,672,170,260,280,1199,1532,1640,0.8,0.8,0.8,1055,1278,1346,2.6,2.6,2.5
319,42,43,46,910,1322,1300,349,407,478,160,220,250,839,944,1133,0.8,0.8,0.8,674,801,935,2.5,2.4,2.4
397,45,47,56,0,0,0,1060,660,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399,41,44,45,0,0,0,354,379,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,39,40,40,1270,1733,1734,515,626,700,190,275,315,1382,1736,1967,0.8,0.8,0.8,1074,1286,1467,2.4,2.4,2.4
402,36,36,36,1000,1471,1413,423,515,563,153,230,268,1075,1252,1407,0.8,0.8,0.8,885,1038,1178,2.5,2.5,2.6
403,39,40,41,1083,1532,1517,461,569,635,170,250,295,1169,1439,1622,0.8,0.8,0.8,952,1128,1281,2.4,2.4,2.4
404,40,40,40,1083,1625,1625,402,520,597,150,231,280,1081,1317,1554,0.8,0.8,0.8,783,996,1192,2.3,2.3,2.4
405,43,44,47,780,1124,1170,372,458,535,120,160,200,963,1091,1318,0.8,0.8,0.7,715,865,1025,2.4,2.3,2.3
406,37,38,40,800,1257,1250,399,529,594,105,150,175,1047,1271,1418,0.8,0.8,0.8,830,995,1122,2.4,2.4,2.3
407,41,43,46,867,1170,1127,394,468,544,120,160,195,992,1060,1266,0.8,0.8,0.7,745,856,997,2.4,2.3,2.3
497,31,31,45,0,0,0,1733,1125,1749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,35,39,40,0,0,0,344,369,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,37,39,41,1100,1733,1733,459,570,637,160,250,300,1154,1454,1606,0.8,0.8,0.7,1007,1196,1316,2.6,2.5,2.5
502,43,42,43,1200,1950,1826,383,492,553,170,270,320,1046,1263,1437,0.7,0.7,0.7,819,989,1167,2.4,2.4,2.4
503,37,36,36,1733,2420,2448,632,867,957,200,369,400,1930,2574,2769,0.8,0.9,0.9,1230,1724,2023,2.3,2.3,2.3
504,36,36,36,1200,1950,2000,493,653,717,170,300,350,1219,1664,1851,0.8,0.8,0.8,1056,1392,1585,2.6,2.6,2.6
505,36,36,36,1300,2000,2037,524,685,746,190,340,380,1322,1829,2018,0.7,0.8,0.8,1124,1512,1707,2.6,2.7,2.7
506,35,35,35,1200,1950,1950,493,647,691,175,310,350,1233,1688,1818,0.8,0.8,0.8,1053,1404,1558,2.5,2.6,2.7
507,36,36,36,1300,2000,2000,495,666,732,180,310,360,1294,1814,1997,0.7,0.8,0.8,1089,1471,1662,2.6,2.6,2.6
509,40,41,44,867,1300,1400,429,526,623,100,150,200,1046,1221,1481,0.8,0.8,0.8,837,973,1191,2.5,2.4,2.4
510,30,32,33,1250,2383,2443,656,1197,1239,88,100,165,1756,2512,2416,1,1,1,1363,1953,2036,2.9,2.9,2.8
511,34,35,37,1083,1710,1722,508,677,732,126,200,245,1213,1608,1836,0.8,0.8,0.8,1042,1278,1423,2.6,2.6,2.5
597,36,36,40,0,0,0,1589,3000,2654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599,38,40,41,0,0,0,446,490,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601,38,39,40,975,1430,1402,444,556,637,150,235,260,1121,1359,1569,0.8,0.8,0.8,902,1062,1232,2.4,2.4,2.4
602,39,41,43,867,1300,1260,387,470,537,130,190,212,1003,1140,1319,0.8,0.8,0.8,759,895,1015,2.4,2.4,2.3
603,42,44,48,758,1127,1192,351,428,498,112,165,200,860,999,1210,0.8,0.8,0.8,687,828,966,2.5,2.4,2.3
604,40,41,44,800,1192,1165,369,456,523,120,170,200,958,1090,1274,0.8,0.8,0.8,736,868,991,2.4,2.4,2.3
697,40,43,41,0,0,0,1379,1238,1089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
699,33,37,38,0,0,0,308,338,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701,32,33,33,1308,2167,2200,682,897,1052,200,360,420,1487,2040,2386,0.9,1,1,1261,1723,2145,2.6,2.7,2.7
702,28,29,30,1200,1782,1816,340,477,525,56,70,92,1006,1247,1352,1.2,1.2,1.2,1097,1384,1498,3.4,3.2,3.2
797,26,34,36,0,0,0,890,1298,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
799,45,45,44,0,0,0,418,493,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801,34,34,35,1500,2167,2058,723,918,1000,260,380,380,1789,2277,2445,0.8,0.8,0.8,1450,1883,2067,2.6,2.6,2.5
897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899,27,31,36,0,0,0,444,498,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
901,36,32,42,1083,1300,1400,519,817,715,102,115,140,1229,1768,1568,0.9,1,0.9,1184,1660,1398,2.9,2.8,2.6
997,0,0,39,0,0,0,0,0,1833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
999,25,30,42,0,0,0,883,1525,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
