SA3_NAME16	Year	IndustryOfEmployment	workers
South Coast	2006	Transport postal and warehousing	894
South Coast	2006	Wholesale trade	575
South Coast	2011		539
South Coast	2011	Accommodation and food services	2912
South Coast	2011	Administrative and support services	755
South Coast	2011	Agriculture forestry and fishing	1206
South Coast	2011	Arts and recreation services	410
South Coast	2011	Construction	2519
South Coast	2011	Education and training	2069
South Coast	2011	Electricity gas water and waste services	291
South Coast	2011	Financial and insurance services	379
South Coast	2011	Health care and social assistance	3410
South Coast	2011	Information media and telecommunications	291
South Coast	2011	Manufacturing	1829
South Coast	2011	Mining	75
South Coast	2011	Other services	978
South Coast	2011	Professional scientific and technical services	1091
South Coast	2011	Public administration and safety	1450
South Coast	2011	Rental hiring and real estate services	409
South Coast	2011	Retail trade	3466
South Coast	2011	Transport postal and warehousing	968
South Coast	2011	Wholesale trade	592
South Coast	2016		990
South Coast	2016	Accommodation and food services	2838
South Coast	2016	Administrative and support services	956
South Coast	2016	Agriculture forestry and fishing	1297
South Coast	2016	Arts and recreation services	444
South Coast	2016	Construction	2597
South Coast	2016	Education and training	2042
South Coast	2016	Electricity gas water and waste services	278
South Coast	2016	Financial and insurance services	326
South Coast	2016	Health care and social assistance	3793
South Coast	2016	Information media and telecommunications	274
South Coast	2016	Manufacturing	1516
South Coast	2016	Mining	67
South Coast	2016	Other services	991
South Coast	2016	Professional scientific and technical services	1088
South Coast	2016	Public administration and safety	1713
South Coast	2016	Rental hiring and real estate services	386
South Coast	2016	Retail trade	3310
South Coast	2016	Transport postal and warehousing	891
South Coast	2016	Wholesale trade	417
Goulburn - Mulwaree	2006		266
Goulburn - Mulwaree	2006	Accommodation and food services	1122
Goulburn - Mulwaree	2006	Administrative and support services	247
Goulburn - Mulwaree	2006	Agriculture forestry and fishing	1329
Goulburn - Mulwaree	2006	Arts and recreation services	117
Goulburn - Mulwaree	2006	Construction	912
Goulburn - Mulwaree	2006	Education and training	999
Goulburn - Mulwaree	2006	Electricity gas water and waste services	132
Goulburn - Mulwaree	2006	Financial and insurance services	204
Goulburn - Mulwaree	2006	Health care and social assistance	1717
Goulburn - Mulwaree	2006	Information media and telecommunications	155
Goulburn - Mulwaree	2006	Manufacturing	982
Goulburn - Mulwaree	2006	Mining	69
Goulburn - Mulwaree	2006	Other services	479
Goulburn - Mulwaree	2006	Professional scientific and technical services	523
Goulburn - Mulwaree	2006	Public administration and safety	1450
Goulburn - Mulwaree	2006	Rental hiring and real estate services	157
Goulburn - Mulwaree	2006	Retail trade	1670
Goulburn - Mulwaree	2006	Transport postal and warehousing	893
Goulburn - Mulwaree	2006	Wholesale trade	415
Goulburn - Mulwaree	2011		321
Goulburn - Mulwaree	2011	Accommodation and food services	1106
Goulburn - Mulwaree	2011	Administrative and support services	334
Goulburn - Mulwaree	2011	Agriculture forestry and fishing	1200
Goulburn - Mulwaree	2011	Arts and recreation services	138
Goulburn - Mulwaree	2011	Construction	1136
Goulburn - Mulwaree	2011	Education and training	1048
Goulburn - Mulwaree	2011	Electricity gas water and waste services	188
Goulburn - Mulwaree	2011	Financial and insurance services	233
Goulburn - Mulwaree	2011	Health care and social assistance	2069
Goulburn - Mulwaree	2011	Information media and telecommunications	152
Goulburn - Mulwaree	2011	Manufacturing	951
Goulburn - Mulwaree	2011	Mining	114
Goulburn - Mulwaree	2011	Other services	590
Goulburn - Mulwaree	2011	Professional scientific and technical services	569
Goulburn - Mulwaree	2011	Public administration and safety	1593
Goulburn - Mulwaree	2011	Rental hiring and real estate services	190
Goulburn - Mulwaree	2011	Retail trade	1746
Goulburn - Mulwaree	2011	Transport postal and warehousing	754
Goulburn - Mulwaree	2011	Wholesale trade	368
Goulburn - Mulwaree	2016		574
Goulburn - Mulwaree	2016	Accommodation and food services	1139
Goulburn - Mulwaree	2016	Administrative and support services	459
Goulburn - Mulwaree	2016	Agriculture forestry and fishing	1256
Goulburn - Mulwaree	2016	Arts and recreation services	184
Goulburn - Mulwaree	2016	Construction	1355
Goulburn - Mulwaree	2016	Education and training	1146
Goulburn - Mulwaree	2016	Electricity gas water and waste services	184
Goulburn - Mulwaree	2016	Financial and insurance services	202
Goulburn - Mulwaree	2016	Health care and social assistance	2209
Goulburn - Mulwaree	2016	Information media and telecommunications	129
Goulburn - Mulwaree	2016	Manufacturing	795
Goulburn - Mulwaree	2016	Mining	214
Goulburn - Mulwaree	2016	Other services	610
Goulburn - Mulwaree	2016	Professional scientific and technical services	604
Goulburn - Mulwaree	2016	Public administration and safety	1607
Goulburn - Mulwaree	2016	Rental hiring and real estate services	197
Goulburn - Mulwaree	2016	Retail trade	1532
Goulburn - Mulwaree	2016	Transport postal and warehousing	748
Goulburn - Mulwaree	2016	Wholesale trade	270
Young - Yass	2006		376
Young - Yass	2006	Accommodation and food services	886
Young - Yass	2006	Administrative and support services	265
Young - Yass	2006	Agriculture forestry and fishing	2591
Young - Yass	2006	Arts and recreation services	129
Young - Yass	2006	Construction	1132
Young - Yass	2006	Education and training	1032
Young - Yass	2006	Electricity gas water and waste services	191
Young - Yass	2006	Financial and insurance services	229
Young - Yass	2006	Health care and social assistance	1388
Young - Yass	2006	Information media and telecommunications	167
Young - Yass	2006	Manufacturing	891
Young - Yass	2006	Mining	56
Young - Yass	2006	Other services	481
Young - Yass	2006	Professional scientific and technical services	792
Young - Yass	2006	Public administration and safety	1489
Young - Yass	2006	Rental hiring and real estate services	150
Young - Yass	2006	Retail trade	1609
Young - Yass	2006	Transport postal and warehousing	542
Young - Yass	2006	Wholesale trade	424
Young - Yass	2011		373
Young - Yass	2011	Accommodation and food services	961
Young - Yass	2011	Administrative and support services	314
Young - Yass	2011	Agriculture forestry and fishing	2313
Young - Yass	2011	Arts and recreation services	166
Young - Yass	2011	Construction	1341
Young - Yass	2011	Education and training	1215
Young - Yass	2011	Electricity gas water and waste services	234
Young - Yass	2011	Financial and insurance services	271
Young - Yass	2011	Health care and social assistance	1536
Young - Yass	2011	Information media and telecommunications	146
Young - Yass	2011	Manufacturing	755
Young - Yass	2011	Mining	66
Young - Yass	2011	Other services	532
Young - Yass	2011	Professional scientific and technical services	882
Young - Yass	2011	Public administration and safety	1961
Young - Yass	2011	Rental hiring and real estate services	169
Young - Yass	2011	Retail trade	1605
Young - Yass	2011	Transport postal and warehousing	579
Young - Yass	2011	Wholesale trade	445
Young - Yass	2016		663
Young - Yass	2016	Accommodation and food services	1000
Young - Yass	2016	Administrative and support services	402
Young - Yass	2016	Agriculture forestry and fishing	2314
Young - Yass	2016	Arts and recreation services	184
Young - Yass	2016	Construction	1470
Young - Yass	2016	Education and training	1286
Young - Yass	2016	Electricity gas water and waste services	207
Young - Yass	2016	Financial and insurance services	254
Young - Yass	2016	Health care and social assistance	1682
Young - Yass	2016	Information media and telecommunications	166
Young - Yass	2016	Manufacturing	571
Young - Yass	2016	Mining	101
Young - Yass	2016	Other services	596
Young - Yass	2016	Professional scientific and technical services	915
Young - Yass	2016	Public administration and safety	2004
Young - Yass	2016	Rental hiring and real estate services	177
Young - Yass	2016	Retail trade	1386
Young - Yass	2016	Transport postal and warehousing	558
Young - Yass	2016	Wholesale trade	332
Gosford	2006		1520
Gosford	2006	Accommodation and food services	4339
Gosford	2006	Administrative and support services	2041
Gosford	2006	Agriculture forestry and fishing	587
Gosford	2006	Arts and recreation services	993
Gosford	2006	Construction	6133
Gosford	2006	Education and training	5010
Gosford	2006	Electricity gas water and waste services	682
Gosford	2006	Financial and insurance services	2671
Gosford	2006	Health care and social assistance	9203
Gosford	2006	Information media and telecommunications	1590
Gosford	2006	Manufacturing	5691
Gosford	2006	Mining	161
Gosford	2006	Other services	2794
Gosford	2006	Professional scientific and technical services	4097
Gosford	2006	Public administration and safety	4310
Gosford	2006	Rental hiring and real estate services	1344
Gosford	2006	Retail trade	8731
Gosford	2006	Transport postal and warehousing	2746
Gosford	2006	Wholesale trade	2632
Gosford	2011		1629
Gosford	2011	Accommodation and food services	4891
Gosford	2011	Administrative and support services	2450
Gosford	2011	Agriculture forestry and fishing	553
Gosford	2011	Arts and recreation services	1134
Gosford	2011	Construction	6523
Gosford	2011	Education and training	5619
Gosford	2011	Electricity gas water and waste services	814
Gosford	2011	Financial and insurance services	2552
Gosford	2011	Health care and social assistance	10681
Gosford	2011	Information media and telecommunications	1722
Gosford	2011	Manufacturing	5415
Gosford	2011	Mining	286
Gosford	2011	Other services	2876
Gosford	2011	Professional scientific and technical services	4679
Gosford	2011	Public administration and safety	4627
Gosford	2011	Rental hiring and real estate services	1245
Gosford	2011	Retail trade	8314
Gosford	2011	Transport postal and warehousing	2887
Gosford	2011	Wholesale trade	2482
Gosford	2016		2984
Gosford	2016	Accommodation and food services	5454
Gosford	2016	Administrative and support services	2658
Gosford	2016	Agriculture forestry and fishing	683
Gosford	2016	Arts and recreation services	1226
Gosford	2016	Construction	7816
Gosford	2016	Education and training	6275
Gosford	2016	Electricity gas water and waste services	686
Gosford	2016	Financial and insurance services	2825
Gosford	2016	Health care and social assistance	11914
Gosford	2016	Information media and telecommunications	1694
Gosford	2016	Manufacturing	3948
Gosford	2016	Mining	281
Gosford	2016	Other services	3039
Gosford	2016	Professional scientific and technical services	4948
Gosford	2016	Public administration and safety	4680
Gosford	2016	Rental hiring and real estate services	1377
Gosford	2016	Retail trade	7636
Gosford	2016	Transport postal and warehousing	2482
Gosford	2016	Wholesale trade	1839
Wyong	2006		1350
Wyong	2006	Accommodation and food services	3934
Wyong	2006	Administrative and support services	1602
Wyong	2006	Agriculture forestry and fishing	413
Wyong	2006	Arts and recreation services	699
Wyong	2006	Construction	5597
Wyong	2006	Education and training	3248
Wyong	2006	Electricity gas water and waste services	839
Wyong	2006	Financial and insurance services	1544
Wyong	2006	Health care and social assistance	6272
Wyong	2006	Information media and telecommunications	828
Wyong	2006	Manufacturing	6033
Wyong	2006	Mining	238
Wyong	2006	Other services	2158
Wyong	2006	Professional scientific and technical services	2134
Wyong	2006	Public administration and safety	3203
Wyong	2006	Rental hiring and real estate services	941
Wyong	2006	Retail trade	7799
Wyong	2006	Transport postal and warehousing	2572
Wyong	2006	Wholesale trade	2041
Wyong	2011		1400
Wyong	2011	Accommodation and food services	4593
Wyong	2011	Administrative and support services	2069
Wyong	2011	Agriculture forestry and fishing	353
Wyong	2011	Arts and recreation services	828
Wyong	2011	Construction	6064
Wyong	2011	Education and training	3794
Wyong	2011	Electricity gas water and waste services	1043
Wyong	2011	Financial and insurance services	1589
Wyong	2011	Health care and social assistance	7934
Wyong	2011	Information media and telecommunications	876
Wyong	2011	Manufacturing	6053
Wyong	2011	Mining	431
Wyong	2011	Other services	2509
Wyong	2011	Professional scientific and technical services	2492
Wyong	2011	Public administration and safety	3728
Wyong	2011	Rental hiring and real estate services	917
Wyong	2011	Retail trade	8106
Wyong	2011	Transport postal and warehousing	2797
Wyong	2011	Wholesale trade	2049
Wyong	2016		2852
Wyong	2016	Accommodation and food services	5136
Wyong	2016	Administrative and support services	2322
Wyong	2016	Agriculture forestry and fishing	429
Wyong	2016	Arts and recreation services	899
Wyong	2016	Construction	7903
Wyong	2016	Education and training	4433
Wyong	2016	Electricity gas water and waste services	872
Wyong	2016	Financial and insurance services	1836
Wyong	2016	Health care and social assistance	9498
Wyong	2016	Information media and telecommunications	990
Wyong	2016	Manufacturing	4785
Wyong	2016	Mining	484
Wyong	2016	Other services	2827
Wyong	2016	Professional scientific and technical services	2574
Wyong	2016	Public administration and safety	4019
Wyong	2016	Rental hiring and real estate services	1060
Wyong	2016	Retail trade	7852
Wyong	2016	Transport postal and warehousing	2774
Wyong	2016	Wholesale trade	1596
Bathurst	2006		307
Bathurst	2006	Accommodation and food services	1320
Bathurst	2006	Administrative and support services	388
Bathurst	2006	Agriculture forestry and fishing	1143
Bathurst	2006	Arts and recreation services	192
Bathurst	2006	Construction	1270
Bathurst	2006	Education and training	2015
Bathurst	2006	Electricity gas water and waste services	348
Bathurst	2006	Financial and insurance services	311
Bathurst	2006	Health care and social assistance	1863
Bathurst	2006	Information media and telecommunications	351
Bathurst	2006	Manufacturing	2490
Bathurst	2006	Mining	130
Bathurst	2006	Other services	661
Bathurst	2006	Professional scientific and technical services	606
Bathurst	2006	Public administration and safety	1489
Bathurst	2006	Rental hiring and real estate services	270
Bathurst	2006	Retail trade	2175
Bathurst	2006	Transport postal and warehousing	818
Bathurst	2006	Wholesale trade	366
Bathurst	2011		411
Bathurst	2011	Accommodation and food services	1426
Bathurst	2011	Administrative and support services	501
Bathurst	2011	Agriculture forestry and fishing	1092
Bathurst	2011	Arts and recreation services	229
Bathurst	2011	Construction	1361
Bathurst	2011	Education and training	2252
Bathurst	2011	Electricity gas water and waste services	404
Bathurst	2011	Financial and insurance services	277
Bathurst	2011	Health care and social assistance	2203
Bathurst	2011	Information media and telecommunications	314
Bathurst	2011	Manufacturing	2334
Bathurst	2011	Mining	324
Bathurst	2011	Other services	728
Bathurst	2011	Professional scientific and technical services	726
Bathurst	2011	Public administration and safety	1643
Bathurst	2011	Rental hiring and real estate services	251
Bathurst	2011	Retail trade	2114
Bathurst	2011	Transport postal and warehousing	831
Bathurst	2011	Wholesale trade	432
Bathurst	2016		791
Bathurst	2016	Accommodation and food services	1458
Bathurst	2016	Administrative and support services	596
Bathurst	2016	Agriculture forestry and fishing	1064
Bathurst	2016	Arts and recreation services	270
Bathurst	2016	Construction	1659
Bathurst	2016	Education and training	2332
Bathurst	2016	Electricity gas water and waste services	252
Bathurst	2016	Financial and insurance services	281
Bathurst	2016	Health care and social assistance	2619
Bathurst	2016	Information media and telecommunications	282
Bathurst	2016	Manufacturing	1838
Bathurst	2016	Mining	275
Bathurst	2016	Other services	735
Bathurst	2016	Professional scientific and technical services	804
Bathurst	2016	Public administration and safety	1737
Bathurst	2016	Rental hiring and real estate services	261
Bathurst	2016	Retail trade	2077
Bathurst	2016	Transport postal and warehousing	734
Bathurst	2016	Wholesale trade	329
Lachlan Valley	2006		604
Lachlan Valley	2006	Accommodation and food services	1411
Lachlan Valley	2006	Administrative and support services	380
Lachlan Valley	2006	Agriculture forestry and fishing	5273
Lachlan Valley	2006	Arts and recreation services	154
Lachlan Valley	2006	Construction	1131
Lachlan Valley	2006	Education and training	1722
Lachlan Valley	2006	Electricity gas water and waste services	238
Lachlan Valley	2006	Financial and insurance services	317
Lachlan Valley	2006	Health care and social assistance	2204
Lachlan Valley	2006	Information media and telecommunications	155
Lachlan Valley	2006	Manufacturing	1555
Lachlan Valley	2006	Mining	606
Lachlan Valley	2006	Other services	800
Lachlan Valley	2006	Professional scientific and technical services	601
Lachlan Valley	2006	Public administration and safety	1300
Lachlan Valley	2006	Rental hiring and real estate services	174
Lachlan Valley	2006	Retail trade	2495
Lachlan Valley	2006	Transport postal and warehousing	1054
Lachlan Valley	2006	Wholesale trade	817
Lachlan Valley	2011		551
Lachlan Valley	2011	Accommodation and food services	1398
Lachlan Valley	2011	Administrative and support services	392
Lachlan Valley	2011	Agriculture forestry and fishing	4645
Lachlan Valley	2011	Arts and recreation services	142
Lachlan Valley	2011	Construction	1205
Lachlan Valley	2011	Education and training	1865
Lachlan Valley	2011	Electricity gas water and waste services	255
Lachlan Valley	2011	Financial and insurance services	253
Lachlan Valley	2011	Health care and social assistance	2481
Lachlan Valley	2011	Information media and telecommunications	117
Lachlan Valley	2011	Manufacturing	1421
Lachlan Valley	2011	Mining	949
Lachlan Valley	2011	Other services	815
Lachlan Valley	2011	Professional scientific and technical services	690
Lachlan Valley	2011	Public administration and safety	1263
Lachlan Valley	2011	Rental hiring and real estate services	157
Lachlan Valley	2011	Retail trade	2353
Lachlan Valley	2011	Transport postal and warehousing	1105
Lachlan Valley	2011	Wholesale trade	765
Lachlan Valley	2016		933
Lachlan Valley	2016	Accommodation and food services	1380
Lachlan Valley	2016	Administrative and support services	496
Lachlan Valley	2016	Agriculture forestry and fishing	4446
Lachlan Valley	2016	Arts and recreation services	150
Lachlan Valley	2016	Construction	1221
Lachlan Valley	2016	Education and training	1950
Lachlan Valley	2016	Electricity gas water and waste services	226
Lachlan Valley	2016	Financial and insurance services	241
Lachlan Valley	2016	Health care and social assistance	2514
Lachlan Valley	2016	Information media and telecommunications	118
Lachlan Valley	2016	Manufacturing	1068
Lachlan Valley	2016	Mining	881
Lachlan Valley	2016	Other services	852
Lachlan Valley	2016	Professional scientific and technical services	606
Lachlan Valley	2016	Public administration and safety	1267
Lachlan Valley	2016	Rental hiring and real estate services	181
Lachlan Valley	2016	Retail trade	2103
Lachlan Valley	2016	Transport postal and warehousing	975
Lachlan Valley	2016	Wholesale trade	566
Lithgow - Mudgee	2006		383
Lithgow - Mudgee	2006	Accommodation and food services	1417
Lithgow - Mudgee	2006	Administrative and support services	404
Lithgow - Mudgee	2006	Agriculture forestry and fishing	1654
Lithgow - Mudgee	2006	Arts and recreation services	151
Lithgow - Mudgee	2006	Construction	1116
Lithgow - Mudgee	2006	Education and training	1140
Lithgow - Mudgee	2006	Electricity gas water and waste services	493
Lithgow - Mudgee	2006	Financial and insurance services	247
Lithgow - Mudgee	2006	Health care and social assistance	1545
Lithgow - Mudgee	2006	Information media and telecommunications	132
Lithgow - Mudgee	2006	Manufacturing	1377
Lithgow - Mudgee	2006	Mining	1366
Lithgow - Mudgee	2006	Other services	546
Lithgow - Mudgee	2006	Professional scientific and technical services	567
Lithgow - Mudgee	2006	Public administration and safety	1033
Lithgow - Mudgee	2006	Rental hiring and real estate services	194
Lithgow - Mudgee	2006	Retail trade	2068
Lithgow - Mudgee	2006	Transport postal and warehousing	719
Lithgow - Mudgee	2006	Wholesale trade	403
Lithgow - Mudgee	2011		389
Lithgow - Mudgee	2011	Accommodation and food services	1467
Lithgow - Mudgee	2011	Administrative and support services	490
Lithgow - Mudgee	2011	Agriculture forestry and fishing	1303
Lithgow - Mudgee	2011	Arts and recreation services	154
Lithgow - Mudgee	2011	Construction	1226
Lithgow - Mudgee	2011	Education and training	1233
Lithgow - Mudgee	2011	Electricity gas water and waste services	470
Lithgow - Mudgee	2011	Financial and insurance services	244
Lithgow - Mudgee	2011	Health care and social assistance	1804
Lithgow - Mudgee	2011	Information media and telecommunications	129
Lithgow - Mudgee	2011	Manufacturing	1117
Lithgow - Mudgee	2011	Mining	2293
Lithgow - Mudgee	2011	Other services	669
Lithgow - Mudgee	2011	Professional scientific and technical services	593
Lithgow - Mudgee	2011	Public administration and safety	1089
Lithgow - Mudgee	2011	Rental hiring and real estate services	196
Lithgow - Mudgee	2011	Retail trade	1903
Lithgow - Mudgee	2011	Transport postal and warehousing	789
Lithgow - Mudgee	2011	Wholesale trade	407
Lithgow - Mudgee	2016		618
Lithgow - Mudgee	2016	Accommodation and food services	1488
Lithgow - Mudgee	2016	Administrative and support services	555
Lithgow - Mudgee	2016	Agriculture forestry and fishing	1251
Lithgow - Mudgee	2016	Arts and recreation services	194
Lithgow - Mudgee	2016	Construction	1312
Lithgow - Mudgee	2016	Education and training	1298
Lithgow - Mudgee	2016	Electricity gas water and waste services	385
Lithgow - Mudgee	2016	Financial and insurance services	267
Lithgow - Mudgee	2016	Health care and social assistance	1906
Lithgow - Mudgee	2016	Information media and telecommunications	150
Lithgow - Mudgee	2016	Manufacturing	812
Lithgow - Mudgee	2016	Mining	2157
Lithgow - Mudgee	2016	Other services	773
Lithgow - Mudgee	2016	Professional scientific and technical services	571
Lithgow - Mudgee	2016	Public administration and safety	1191
Lithgow - Mudgee	2016	Rental hiring and real estate services	214
Lithgow - Mudgee	2016	Retail trade	1804
Lithgow - Mudgee	2016	Transport postal and warehousing	636
Lithgow - Mudgee	2016	Wholesale trade	395
Orange	2006		455
Orange	2006	Accommodation and food services	1287
Orange	2006	Administrative and support services	427
Orange	2006	Agriculture forestry and fishing	1725
Orange	2006	Arts and recreation services	169
Orange	2006	Construction	1565
Orange	2006	Education and training	1875
Orange	2006	Electricity gas water and waste services	213
Orange	2006	Financial and insurance services	454
Orange	2006	Health care and social assistance	3032
Orange	2006	Information media and telecommunications	264
Orange	2006	Manufacturing	2284
Orange	2006	Mining	858
Orange	2006	Other services	915
Orange	2006	Professional scientific and technical services	911
Orange	2006	Public administration and safety	1696
Orange	2006	Rental hiring and real estate services	274
Orange	2006	Retail trade	2586
Orange	2006	Transport postal and warehousing	930
Orange	2006	Wholesale trade	692
Orange	2011		509
Orange	2011	Accommodation and food services	1424
Orange	2011	Administrative and support services	660
Orange	2011	Agriculture forestry and fishing	1538
Orange	2011	Arts and recreation services	159
Orange	2011	Construction	1798
Orange	2011	Education and training	2164
Orange	2011	Electricity gas water and waste services	253
Orange	2011	Financial and insurance services	432
Orange	2011	Health care and social assistance	3702
Orange	2011	Information media and telecommunications	211
Orange	2011	Manufacturing	2194
Orange	2011	Mining	1592
Orange	2011	Other services	1075
Orange	2011	Professional scientific and technical services	1064
Orange	2011	Public administration and safety	1698
Orange	2011	Rental hiring and real estate services	314
Orange	2011	Retail trade	2545
Orange	2011	Transport postal and warehousing	989
Orange	2011	Wholesale trade	714
Orange	2016		880
Orange	2016	Accommodation and food services	1599
Orange	2016	Administrative and support services	728
Orange	2016	Agriculture forestry and fishing	1550
Orange	2016	Arts and recreation services	199
Orange	2016	Construction	2003
Orange	2016	Education and training	2349
Orange	2016	Electricity gas water and waste services	257
Orange	2016	Financial and insurance services	416
Orange	2016	Health care and social assistance	4339
Orange	2016	Information media and telecommunications	213
Orange	2016	Manufacturing	1531
Orange	2016	Mining	1306
Orange	2016	Other services	1039
Orange	2016	Professional scientific and technical services	1057
Orange	2016	Public administration and safety	1909
Orange	2016	Rental hiring and real estate services	310
Orange	2016	Retail trade	2560
Orange	2016	Transport postal and warehousing	937
Orange	2016	Wholesale trade	533
Clarence Valley	2006		412
Clarence Valley	2006	Accommodation and food services	1362
Clarence Valley	2006	Administrative and support services	407
Clarence Valley	2006	Agriculture forestry and fishing	1163
Clarence Valley	2006	Arts and recreation services	208
