SA3_NAME16	Year	IndigenousStatus	persons
Gosford	2016	Non-indigenous	164289
Gosford	2016	Torres Strait Islander	128
Wyong	2006	Aboriginal	3586
Wyong	2006	Both Aboriginal & Torres Strait Islander	61
Wyong	2006	Non-indigenous	135220
Wyong	2006	Torres Strait Islander	156
Wyong	2011	Aboriginal	5199
Wyong	2011	Both Aboriginal & Torres Strait Islander	103
Wyong	2011	Non-indigenous	143626
Wyong	2011	Torres Strait Islander	148
Wyong	2016	Aboriginal	7410
Wyong	2016	Both Aboriginal & Torres Strait Islander	137
Wyong	2016	Non-indigenous	150962
Wyong	2016	Torres Strait Islander	174
Bathurst	2006	Aboriginal	1277
Bathurst	2006	Both Aboriginal & Torres Strait Islander	20
Bathurst	2006	Non-indigenous	39534
Bathurst	2006	Torres Strait Islander	45
Bathurst	2011	Aboriginal	1703
Bathurst	2011	Both Aboriginal & Torres Strait Islander	42
Bathurst	2011	Non-indigenous	41764
Bathurst	2011	Torres Strait Islander	46
Bathurst	2016	Aboriginal	2309
Bathurst	2016	Both Aboriginal & Torres Strait Islander	55
Bathurst	2016	Non-indigenous	44175
Bathurst	2016	Torres Strait Islander	55
Lachlan Valley	2006	Aboriginal	3557
Lachlan Valley	2006	Both Aboriginal & Torres Strait Islander	61
Lachlan Valley	2006	Non-indigenous	51865
Lachlan Valley	2006	Torres Strait Islander	84
Lachlan Valley	2011	Aboriginal	4229
Lachlan Valley	2011	Both Aboriginal & Torres Strait Islander	43
Lachlan Valley	2011	Non-indigenous	50447
Lachlan Valley	2011	Torres Strait Islander	77
Lachlan Valley	2016	Aboriginal	4971
Lachlan Valley	2016	Both Aboriginal & Torres Strait Islander	73
Lachlan Valley	2016	Non-indigenous	50232
Lachlan Valley	2016	Torres Strait Islander	60
Lithgow - Mudgee	2006	Aboriginal	1187
Lithgow - Mudgee	2006	Both Aboriginal & Torres Strait Islander	26
Lithgow - Mudgee	2006	Non-indigenous	41280
Lithgow - Mudgee	2006	Torres Strait Islander	40
Lithgow - Mudgee	2011	Aboriginal	1778
Lithgow - Mudgee	2011	Both Aboriginal & Torres Strait Islander	8
Lithgow - Mudgee	2011	Non-indigenous	42061
Lithgow - Mudgee	2011	Torres Strait Islander	71
Lithgow - Mudgee	2016	Aboriginal	2541
Lithgow - Mudgee	2016	Both Aboriginal & Torres Strait Islander	35
Lithgow - Mudgee	2016	Non-indigenous	43982
Lithgow - Mudgee	2016	Torres Strait Islander	54
Orange	2006	Aboriginal	1805
Orange	2006	Both Aboriginal & Torres Strait Islander	31
Orange	2006	Non-indigenous	48817
Orange	2006	Torres Strait Islander	46
Orange	2011	Aboriginal	2420
Orange	2011	Both Aboriginal & Torres Strait Islander	45
Orange	2011	Non-indigenous	51950
Orange	2011	Torres Strait Islander	54
Orange	2016	Aboriginal	3035
Orange	2016	Both Aboriginal & Torres Strait Islander	56
Orange	2016	Non-indigenous	54472
Orange	2016	Torres Strait Islander	51
Clarence Valley	2006	Aboriginal	2200
Clarence Valley	2006	Both Aboriginal & Torres Strait Islander	50
Clarence Valley	2006	Non-indigenous	45369
Clarence Valley	2006	Torres Strait Islander	51
Clarence Valley	2011	Aboriginal	2710
Clarence Valley	2011	Both Aboriginal & Torres Strait Islander	45
Clarence Valley	2011	Non-indigenous	46404
Clarence Valley	2011	Torres Strait Islander	79
Clarence Valley	2016	Aboriginal	3070
Clarence Valley	2016	Both Aboriginal & Torres Strait Islander	63
Clarence Valley	2016	Non-indigenous	47058
Clarence Valley	2016	Torres Strait Islander	70
Coffs Harbour	2006	Aboriginal	2514
Coffs Harbour	2006	Both Aboriginal & Torres Strait Islander	53
Coffs Harbour	2006	Non-indigenous	75161
Coffs Harbour	2006	Torres Strait Islander	77
Coffs Harbour	2011	Aboriginal	3044
Coffs Harbour	2011	Both Aboriginal & Torres Strait Islander	70
Coffs Harbour	2011	Non-indigenous	78157
Coffs Harbour	2011	Torres Strait Islander	94
Coffs Harbour	2016	Aboriginal	3947
Coffs Harbour	2016	Both Aboriginal & Torres Strait Islander	80
Coffs Harbour	2016	Non-indigenous	81916
Coffs Harbour	2016	Torres Strait Islander	78
Bourke - Cobar - Coonamble	2006	Aboriginal	6136
Bourke - Cobar - Coonamble	2006	Both Aboriginal & Torres Strait Islander	91
Bourke - Cobar - Coonamble	2006	Non-indigenous	20362
Bourke - Cobar - Coonamble	2006	Torres Strait Islander	45
Bourke - Cobar - Coonamble	2011	Aboriginal	6194
Bourke - Cobar - Coonamble	2011	Both Aboriginal & Torres Strait Islander	48
Bourke - Cobar - Coonamble	2011	Non-indigenous	19010
Bourke - Cobar - Coonamble	2011	Torres Strait Islander	40
Bourke - Cobar - Coonamble	2016	Aboriginal	6195
Bourke - Cobar - Coonamble	2016	Both Aboriginal & Torres Strait Islander	63
Bourke - Cobar - Coonamble	2016	Non-indigenous	17854
Bourke - Cobar - Coonamble	2016	Torres Strait Islander	40
Broken Hill and Far West	2006	Aboriginal	1899
Broken Hill and Far West	2006	Both Aboriginal & Torres Strait Islander	20
Broken Hill and Far West	2006	Non-indigenous	20094
Broken Hill and Far West	2006	Torres Strait Islander	17
Broken Hill and Far West	2011	Aboriginal	2151
Broken Hill and Far West	2011	Both Aboriginal & Torres Strait Islander	23
Broken Hill and Far West	2011	Non-indigenous	19011
Broken Hill and Far West	2011	Torres Strait Islander	17
Broken Hill and Far West	2016	Aboriginal	2224
Broken Hill and Far West	2016	Both Aboriginal & Torres Strait Islander	17
Broken Hill and Far West	2016	Non-indigenous	17963
Broken Hill and Far West	2016	Torres Strait Islander	13
Dubbo	2006	Aboriginal	7150
Dubbo	2006	Both Aboriginal & Torres Strait Islander	135
Dubbo	2006	Non-indigenous	58387
Dubbo	2006	Torres Strait Islander	146
Dubbo	2011	Aboriginal	9111
Dubbo	2011	Both Aboriginal & Torres Strait Islander	136
Dubbo	2011	Non-indigenous	57730
Dubbo	2011	Torres Strait Islander	123
Dubbo	2016	Aboriginal	10205
Dubbo	2016	Both Aboriginal & Torres Strait Islander	165
Dubbo	2016	Non-indigenous	58924
Dubbo	2016	Torres Strait Islander	120
Lower Hunter	2006	Aboriginal	2224
Lower Hunter	2006	Both Aboriginal & Torres Strait Islander	44
Lower Hunter	2006	Non-indigenous	74096
Lower Hunter	2006	Torres Strait Islander	100
Lower Hunter	2011	Aboriginal	3368
Lower Hunter	2011	Both Aboriginal & Torres Strait Islander	93
Lower Hunter	2011	Non-indigenous	78422
Lower Hunter	2011	Torres Strait Islander	104
Lower Hunter	2016	Aboriginal	5484
Lower Hunter	2016	Both Aboriginal & Torres Strait Islander	123
Lower Hunter	2016	Non-indigenous	81912
Lower Hunter	2016	Torres Strait Islander	156
Maitland	2006	Aboriginal	1321
Maitland	2006	Both Aboriginal & Torres Strait Islander	29
Maitland	2006	Non-indigenous	56956
Maitland	2006	Torres Strait Islander	55
Maitland	2011	Aboriginal	2022
Maitland	2011	Both Aboriginal & Torres Strait Islander	43
Maitland	2011	Non-indigenous	62086
Maitland	2011	Torres Strait Islander	54
Maitland	2016	Aboriginal	3591
Maitland	2016	Both Aboriginal & Torres Strait Islander	107
Maitland	2016	Non-indigenous	70356
Maitland	2016	Torres Strait Islander	108
Port Stephens	2006	Aboriginal	1666
Port Stephens	2006	Both Aboriginal & Torres Strait Islander	57
Port Stephens	2006	Non-indigenous	60928
Port Stephens	2006	Torres Strait Islander	61
Port Stephens	2011	Aboriginal	2313
Port Stephens	2011	Both Aboriginal & Torres Strait Islander	45
Port Stephens	2011	Non-indigenous	65071
Port Stephens	2011	Torres Strait Islander	72
Port Stephens	2016	Aboriginal	3294
Port Stephens	2016	Both Aboriginal & Torres Strait Islander	64
Port Stephens	2016	Non-indigenous	67928
Port Stephens	2016	Torres Strait Islander	95
Upper Hunter	2006	Aboriginal	1054
Upper Hunter	2006	Both Aboriginal & Torres Strait Islander	33
Upper Hunter	2006	Non-indigenous	27084
Upper Hunter	2006	Torres Strait Islander	37
Upper Hunter	2011	Aboriginal	1330
Upper Hunter	2011	Both Aboriginal & Torres Strait Islander	22
Upper Hunter	2011	Non-indigenous	28161
Upper Hunter	2011	Torres Strait Islander	35
Upper Hunter	2016	Aboriginal	2000
Upper Hunter	2016	Both Aboriginal & Torres Strait Islander	31
Upper Hunter	2016	Non-indigenous	28135
Upper Hunter	2016	Torres Strait Islander	30
Dapto - Port Kembla	2006	Aboriginal	1467
Dapto - Port Kembla	2006	Both Aboriginal & Torres Strait Islander	26
Dapto - Port Kembla	2006	Non-indigenous	69130
Dapto - Port Kembla	2006	Torres Strait Islander	43
Dapto - Port Kembla	2011	Aboriginal	2054
Dapto - Port Kembla	2011	Both Aboriginal & Torres Strait Islander	40
Dapto - Port Kembla	2011	Non-indigenous	69784
Dapto - Port Kembla	2011	Torres Strait Islander	40
Dapto - Port Kembla	2016	Aboriginal	2610
Dapto - Port Kembla	2016	Both Aboriginal & Torres Strait Islander	51
Dapto - Port Kembla	2016	Non-indigenous	72645
Dapto - Port Kembla	2016	Torres Strait Islander	48
Illawarra Catchment Reserve	2006	Aboriginal	0
Illawarra Catchment Reserve	2006	Both Aboriginal & Torres Strait Islander	0
Illawarra Catchment Reserve	2006	Non-indigenous	0
Illawarra Catchment Reserve	2006	Torres Strait Islander	0
Illawarra Catchment Reserve	2011	Aboriginal	0
Illawarra Catchment Reserve	2011	Both Aboriginal & Torres Strait Islander	0
Illawarra Catchment Reserve	2011	Non-indigenous	11
Illawarra Catchment Reserve	2011	Torres Strait Islander	0
Illawarra Catchment Reserve	2016	Aboriginal	0
Illawarra Catchment Reserve	2016	Both Aboriginal & Torres Strait Islander	0
Illawarra Catchment Reserve	2016	Non-indigenous	8
Illawarra Catchment Reserve	2016	Torres Strait Islander	0
Kiama - Shellharbour	2006	Aboriginal	1536
Kiama - Shellharbour	2006	Both Aboriginal & Torres Strait Islander	36
Kiama - Shellharbour	2006	Non-indigenous	77701
Kiama - Shellharbour	2006	Torres Strait Islander	50
Kiama - Shellharbour	2011	Aboriginal	2100
Kiama - Shellharbour	2011	Both Aboriginal & Torres Strait Islander	37
Kiama - Shellharbour	2011	Non-indigenous	81315
Kiama - Shellharbour	2011	Torres Strait Islander	78
Kiama - Shellharbour	2016	Aboriginal	2884
Kiama - Shellharbour	2016	Both Aboriginal & Torres Strait Islander	55
Kiama - Shellharbour	2016	Non-indigenous	86817
Kiama - Shellharbour	2016	Torres Strait Islander	81
Wollongong	2006	Aboriginal	1481
Wollongong	2006	Both Aboriginal & Torres Strait Islander	22
Wollongong	2006	Non-indigenous	111967
Wollongong	2006	Torres Strait Islander	76
Wollongong	2011	Aboriginal	1989
Wollongong	2011	Both Aboriginal & Torres Strait Islander	22
Wollongong	2011	Non-indigenous	118423
Wollongong	2011	Torres Strait Islander	90
Wollongong	2016	Aboriginal	2532
Wollongong	2016	Both Aboriginal & Torres Strait Islander	53
Wollongong	2016	Non-indigenous	125654
Wollongong	2016	Torres Strait Islander	62
Great Lakes	2006	Aboriginal	843
Great Lakes	2006	Both Aboriginal & Torres Strait Islander	27
Great Lakes	2006	Non-indigenous	27824
Great Lakes	2006	Torres Strait Islander	34
Great Lakes	2011	Aboriginal	1124
Great Lakes	2011	Both Aboriginal & Torres Strait Islander	15
Great Lakes	2011	Non-indigenous	28682
Great Lakes	2011	Torres Strait Islander	28
Great Lakes	2016	Aboriginal	1572
Great Lakes	2016	Both Aboriginal & Torres Strait Islander	32
Great Lakes	2016	Non-indigenous	29635
Great Lakes	2016	Torres Strait Islander	33
Kempsey - Nambucca	2006	Aboriginal	3448
Kempsey - Nambucca	2006	Both Aboriginal & Torres Strait Islander	76
Kempsey - Nambucca	2006	Non-indigenous	41711
Kempsey - Nambucca	2006	Torres Strait Islander	45
Kempsey - Nambucca	2011	Aboriginal	4356
Kempsey - Nambucca	2011	Both Aboriginal & Torres Strait Islander	78
Kempsey - Nambucca	2011	Non-indigenous	42350
Kempsey - Nambucca	2011	Torres Strait Islander	46
Kempsey - Nambucca	2016	Aboriginal	4643
Kempsey - Nambucca	2016	Both Aboriginal & Torres Strait Islander	127
Kempsey - Nambucca	2016	Non-indigenous	43309
Kempsey - Nambucca	2016	Torres Strait Islander	48
Lord Howe Island	2006	Aboriginal	0
Lord Howe Island	2006	Both Aboriginal & Torres Strait Islander	0
Lord Howe Island	2006	Non-indigenous	345
Lord Howe Island	2006	Torres Strait Islander	0
Lord Howe Island	2011	Aboriginal	3
Lord Howe Island	2011	Both Aboriginal & Torres Strait Islander	0
Lord Howe Island	2011	Non-indigenous	356
Lord Howe Island	2011	Torres Strait Islander	0
Lord Howe Island	2016	Aboriginal	3
Lord Howe Island	2016	Both Aboriginal & Torres Strait Islander	0
Lord Howe Island	2016	Non-indigenous	379
Lord Howe Island	2016	Torres Strait Islander	0
Port Macquarie	2006	Aboriginal	1677
Port Macquarie	2006	Both Aboriginal & Torres Strait Islander	29
Port Macquarie	2006	Non-indigenous	66664
Port Macquarie	2006	Torres Strait Islander	64
Port Macquarie	2011	Aboriginal	2308
Port Macquarie	2011	Both Aboriginal & Torres Strait Islander	56
Port Macquarie	2011	Non-indigenous	70301
Port Macquarie	2011	Torres Strait Islander	47
Port Macquarie	2016	Aboriginal	3104
Port Macquarie	2016	Both Aboriginal & Torres Strait Islander	31
Port Macquarie	2016	Non-indigenous	75398
Port Macquarie	2016	Torres Strait Islander	34
Taree - Gloucester	2006	Aboriginal	1947
Taree - Gloucester	2006	Both Aboriginal & Torres Strait Islander	72
Taree - Gloucester	2006	Non-indigenous	47848
Taree - Gloucester	2006	Torres Strait Islander	77
Taree - Gloucester	2011	Aboriginal	2606
Taree - Gloucester	2011	Both Aboriginal & Torres Strait Islander	58
Taree - Gloucester	2011	Non-indigenous	48629
Taree - Gloucester	2011	Torres Strait Islander	65
Taree - Gloucester	2016	Aboriginal	3571
Taree - Gloucester	2016	Both Aboriginal & Torres Strait Islander	63
Taree - Gloucester	2016	Non-indigenous	50152
Taree - Gloucester	2016	Torres Strait Islander	70
Albury	2006	Aboriginal	1073
Albury	2006	Both Aboriginal & Torres Strait Islander	21
Albury	2006	Non-indigenous	54768
Albury	2006	Torres Strait Islander	35
Albury	2011	Aboriginal	1209
Albury	2011	Both Aboriginal & Torres Strait Islander	29
Albury	2011	Non-indigenous	56139
Albury	2011	Torres Strait Islander	60
Albury	2016	Aboriginal	1669
Albury	2016	Both Aboriginal & Torres Strait Islander	25
Albury	2016	Non-indigenous	59535
Albury	2016	Torres Strait Islander	42
Lower Murray	2006	Aboriginal	897
Lower Murray	2006	Both Aboriginal & Torres Strait Islander	16
Lower Murray	2006	Non-indigenous	12122
Lower Murray	2006	Torres Strait Islander	13
Lower Murray	2011	Aboriginal	985
Lower Murray	2011	Both Aboriginal & Torres Strait Islander	21
Lower Murray	2011	Non-indigenous	11398
Lower Murray	2011	Torres Strait Islander	19
Lower Murray	2016	Aboriginal	1016
Lower Murray	2016	Both Aboriginal & Torres Strait Islander	23
Lower Murray	2016	Non-indigenous	11505
Lower Murray	2016	Torres Strait Islander	3
Upper Murray exc. Albury	2006	Aboriginal	738
Upper Murray exc. Albury	2006	Both Aboriginal & Torres Strait Islander	12
Upper Murray exc. Albury	2006	Non-indigenous	39895
Upper Murray exc. Albury	2006	Torres Strait Islander	31
Upper Murray exc. Albury	2011	Aboriginal	924
Upper Murray exc. Albury	2011	Both Aboriginal & Torres Strait Islander	10
Upper Murray exc. Albury	2011	Non-indigenous	39498
Upper Murray exc. Albury	2011	Torres Strait Islander	26
Upper Murray exc. Albury	2016	Aboriginal	1116
Upper Murray exc. Albury	2016	Both Aboriginal & Torres Strait Islander	21
Upper Murray exc. Albury	2016	Non-indigenous	40806
Upper Murray exc. Albury	2016	Torres Strait Islander	37
Armidale	2006	Aboriginal	1899
Armidale	2006	Both Aboriginal & Torres Strait Islander	26
Armidale	2006	Non-indigenous	32820
Armidale	2006	Torres Strait Islander	30
Armidale	2011	Aboriginal	2219
Armidale	2011	Both Aboriginal & Torres Strait Islander	28
Armidale	2011	Non-indigenous	33674
Armidale	2011	Torres Strait Islander	24
Armidale	2016	Aboriginal	2456
Armidale	2016	Both Aboriginal & Torres Strait Islander	36
Armidale	2016	Non-indigenous	34553
Armidale	2016	Torres Strait Islander	45
Inverell - Tenterfield	2006	Aboriginal	2024
Inverell - Tenterfield	2006	Both Aboriginal & Torres Strait Islander	29
Inverell - Tenterfield	2006	Non-indigenous	35234
Inverell - Tenterfield	2006	Torres Strait Islander	77
Inverell - Tenterfield	2011	Aboriginal	2295
Inverell - Tenterfield	2011	Both Aboriginal & Torres Strait Islander	55
Inverell - Tenterfield	2011	Non-indigenous	35326
Inverell - Tenterfield	2011	Torres Strait Islander	83
Inverell - Tenterfield	2016	Aboriginal	2743
Inverell - Tenterfield	2016	Both Aboriginal & Torres Strait Islander	79
Inverell - Tenterfield	2016	Non-indigenous	35474
Inverell - Tenterfield	2016	Torres Strait Islander	49
Moree - Narrabri	2006	Aboriginal	3767
Moree - Narrabri	2006	Both Aboriginal & Torres Strait Islander	42
Moree - Narrabri	2006	Non-indigenous	22556
Moree - Narrabri	2006	Torres Strait Islander	31
Moree - Narrabri	2011	Aboriginal	4035
Moree - Narrabri	2011	Both Aboriginal & Torres Strait Islander	47
Moree - Narrabri	2011	Non-indigenous	21541
Moree - Narrabri	2011	Torres Strait Islander	63
Moree - Narrabri	2016	Aboriginal	4191
Moree - Narrabri	2016	Both Aboriginal & Torres Strait Islander	88
Moree - Narrabri	2016	Non-indigenous	21294
Moree - Narrabri	2016	Torres Strait Islander	49
Tamworth - Gunnedah	2006	Aboriginal	5442
Tamworth - Gunnedah	2006	Both Aboriginal & Torres Strait Islander	93
Tamworth - Gunnedah	2006	Non-indigenous	68192
Tamworth - Gunnedah	2006	Torres Strait Islander	137
Tamworth - Gunnedah	2011	Aboriginal	6687
Tamworth - Gunnedah	2011	Both Aboriginal & Torres Strait Islander	121
Tamworth - Gunnedah	2011	Non-indigenous	69854
Tamworth - Gunnedah	2011	Torres Strait Islander	142
Tamworth - Gunnedah	2016	Aboriginal	8352
Tamworth - Gunnedah	2016	Both Aboriginal & Torres Strait Islander	152
Tamworth - Gunnedah	2016	Non-indigenous	71825
Tamworth - Gunnedah	2016	Torres Strait Islander	167
Lake Macquarie - East	2006	Aboriginal	2312
Lake Macquarie - East	2006	Both Aboriginal & Torres Strait Islander	51
Lake Macquarie - East	2006	Non-indigenous	112249
Lake Macquarie - East	2006	Torres Strait Islander	79
Lake Macquarie - East	2011	Aboriginal	2974
Lake Macquarie - East	2011	Both Aboriginal & Torres Strait Islander	40
Lake Macquarie - East	2011	Non-indigenous	113774
Lake Macquarie - East	2011	Torres Strait Islander	78
Lake Macquarie - East	2016	Aboriginal	4186
Lake Macquarie - East	2016	Both Aboriginal & Torres Strait Islander	65
Lake Macquarie - East	2016	Non-indigenous	115706
Lake Macquarie - East	2016	Torres Strait Islander	57
Lake Macquarie - West	2006	Aboriginal	1758
Lake Macquarie - West	2006	Both Aboriginal & Torres Strait Islander	39
Lake Macquarie - West	2006	Non-indigenous	65107
Lake Macquarie - West	2006	Torres Strait Islander	49
Lake Macquarie - West	2011	Aboriginal	2384
Lake Macquarie - West	2011	Both Aboriginal & Torres Strait Islander	38
Lake Macquarie - West	2011	Non-indigenous	67533
Lake Macquarie - West	2011	Torres Strait Islander	51
Lake Macquarie - West	2016	Aboriginal	3487
Lake Macquarie - West	2016	Both Aboriginal & Torres Strait Islander	88
Lake Macquarie - West	2016	Non-indigenous	71528
Lake Macquarie - West	2016	Torres Strait Islander	102
Newcastle	2006	Aboriginal	3126
Newcastle	2006	Both Aboriginal & Torres Strait Islander	61
Newcastle	2006	Non-indigenous	145012
Newcastle	2006	Torres Strait Islander	116
Newcastle	2011	Aboriginal	4045
Newcastle	2011	Both Aboriginal & Torres Strait Islander	77
Newcastle	2011	Non-indigenous	151489
Newcastle	2011	Torres Strait Islander	126
Newcastle	2016	Aboriginal	5682
Newcastle	2016	Both Aboriginal & Torres Strait Islander	120
Newcastle	2016	Non-indigenous	157969
Newcastle	2016	Torres Strait Islander	113
Richmond Valley - Coastal	2006	Aboriginal	1556
Richmond Valley - Coastal	2006	Both Aboriginal & Torres Strait Islander	59
Richmond Valley - Coastal	2006	Non-indigenous	70460
Richmond Valley - Coastal	2006	Torres Strait Islander	61
Richmond Valley - Coastal	2011	Aboriginal	1774
Richmond Valley - Coastal	2011	Both Aboriginal & Torres Strait Islander	71
Richmond Valley - Coastal	2011	Non-indigenous	71312
Richmond Valley - Coastal	2011	Torres Strait Islander	73
Richmond Valley - Coastal	2016	Aboriginal	2003
Richmond Valley - Coastal	2016	Both Aboriginal & Torres Strait Islander	74
Richmond Valley - Coastal	2016	Non-indigenous	76100
Richmond Valley - Coastal	2016	Torres Strait Islander	103
Richmond Valley - Hinterland	2006	Aboriginal	2965
Richmond Valley - Hinterland	2006	Both Aboriginal & Torres Strait Islander	117
Richmond Valley - Hinterland	2006	Non-indigenous	64715
Richmond Valley - Hinterland	2006	Torres Strait Islander	76
Richmond Valley - Hinterland	2011	Aboriginal	3488
Richmond Valley - Hinterland	2011	Both Aboriginal & Torres Strait Islander	92
Richmond Valley - Hinterland	2011	Non-indigenous	65617
Richmond Valley - Hinterland	2011	Torres Strait Islander	90
Richmond Valley - Hinterland	2016	Aboriginal	3777
Richmond Valley - Hinterland	2016	Both Aboriginal & Torres Strait Islander	79
Richmond Valley - Hinterland	2016	Non-indigenous	66007
Richmond Valley - Hinterland	2016	Torres Strait Islander	87
Tweed Valley	2006	Aboriginal	1768
Tweed Valley	2006	Both Aboriginal & Torres Strait Islander	315
Tweed Valley	2006	Non-indigenous	76982
Tweed Valley	2006	Torres Strait Islander	255
Tweed Valley	2011	Aboriginal	2356
Tweed Valley	2011	Both Aboriginal & Torres Strait Islander	316
Tweed Valley	2011	Non-indigenous	82162
Tweed Valley	2011	Torres Strait Islander	273
Tweed Valley	2016	Aboriginal	3055
Tweed Valley	2016	Both Aboriginal & Torres Strait Islander	304
Tweed Valley	2016	Non-indigenous	87754
Tweed Valley	2016	Torres Strait Islander	258
Griffith - Murrumbidgee (West)	2006	Aboriginal	2276
Griffith - Murrumbidgee (West)	2006	Both Aboriginal & Torres Strait Islander	37
Griffith - Murrumbidgee (West)	2006	Non-indigenous	44523
Griffith - Murrumbidgee (West)	2006	Torres Strait Islander	51
Griffith - Murrumbidgee (West)	2011	Aboriginal	2621
Griffith - Murrumbidgee (West)	2011	Both Aboriginal & Torres Strait Islander	11
Griffith - Murrumbidgee (West)	2011	Non-indigenous	43924
Griffith - Murrumbidgee (West)	2011	Torres Strait Islander	39
Griffith - Murrumbidgee (West)	2016	Aboriginal	2823
Griffith - Murrumbidgee (West)	2016	Both Aboriginal & Torres Strait Islander	27
Griffith - Murrumbidgee (West)	2016	Non-indigenous	45243
Griffith - Murrumbidgee (West)	2016	Torres Strait Islander	51
Tumut - Tumbarumba	2006	Aboriginal	412
Tumut - Tumbarumba	2006	Both Aboriginal & Torres Strait Islander	9
Tumut - Tumbarumba	2006	Non-indigenous	14001
Tumut - Tumbarumba	2006	Torres Strait Islander	22
Tumut - Tumbarumba	2011	Aboriginal	532
Tumut - Tumbarumba	2011	Both Aboriginal & Torres Strait Islander	19
Tumut - Tumbarumba	2011	Non-indigenous	13761
Tumut - Tumbarumba	2011	Torres Strait Islander	18
Tumut - Tumbarumba	2016	Aboriginal	615
Tumut - Tumbarumba	2016	Both Aboriginal & Torres Strait Islander	11
Tumut - Tumbarumba	2016	Non-indigenous	13796
Tumut - Tumbarumba	2016	Torres Strait Islander	15
Wagga Wagga	2006	Aboriginal	3018
Wagga Wagga	2006	Both Aboriginal & Torres Strait Islander	44
Wagga Wagga	2006	Non-indigenous	83725
Wagga Wagga	2006	Torres Strait Islander	77
Wagga Wagga	2011	Aboriginal	3663
Wagga Wagga	2011	Both Aboriginal & Torres Strait Islander	40
Wagga Wagga	2011	Non-indigenous	85406
Wagga Wagga	2011	Torres Strait Islander	84
Wagga Wagga	2016	Aboriginal	4733
Wagga Wagga	2016	Both Aboriginal & Torres Strait Islander	72
Wagga Wagga	2016	Non-indigenous	88459
Wagga Wagga	2016	Torres Strait Islander	93
Shoalhaven	2006	Aboriginal	3176
Shoalhaven	2006	Both Aboriginal & Torres Strait Islander	58
