SA3_NAME16	Year	Sex	employmentToPopulation
Canada Bay	2016	M	65.5
Leichhardt	2006	F	65.8
Leichhardt	2006	M	70.5
Leichhardt	2011	F	67
Leichhardt	2011	M	71.5
Leichhardt	2016	F	64.4
Leichhardt	2016	M	69.4
Strathfield - Burwood - Ashfield	2006	F	51.3
Strathfield - Burwood - Ashfield	2006	M	60.8
Strathfield - Burwood - Ashfield	2011	F	53.4
Strathfield - Burwood - Ashfield	2011	M	62.8
Strathfield - Burwood - Ashfield	2016	F	54.5
Strathfield - Burwood - Ashfield	2016	M	63.1
Chatswood - Lane Cove	2006	F	56.5
Chatswood - Lane Cove	2006	M	68.6
Chatswood - Lane Cove	2011	F	57.8
Chatswood - Lane Cove	2011	M	69.4
Chatswood - Lane Cove	2016	F	57.8
Chatswood - Lane Cove	2016	M	67.7
Hornsby	2006	F	58.7
Hornsby	2006	M	70.7
Hornsby	2011	F	58.5
Hornsby	2011	M	69.9
Hornsby	2016	F	58.6
Hornsby	2016	M	68.5
Ku-ring-gai	2006	F	51.5
Ku-ring-gai	2006	M	66.9
Ku-ring-gai	2011	F	51.8
Ku-ring-gai	2011	M	65
Ku-ring-gai	2016	F	53.2
Ku-ring-gai	2016	M	64.1
North Sydney - Mosman	2006	F	59.9
North Sydney - Mosman	2006	M	70.9
North Sydney - Mosman	2011	F	60.9
North Sydney - Mosman	2011	M	71.2
North Sydney - Mosman	2016	F	61.5
North Sydney - Mosman	2016	M	70.6
Manly	2006	F	55.7
Manly	2006	M	67.4
Manly	2011	F	58.8
Manly	2011	M	69.8
Manly	2016	F	60.7
Manly	2016	M	70.2
Pittwater	2006	F	57.5
Pittwater	2006	M	68.5
Pittwater	2011	F	57.6
Pittwater	2011	M	68.3
Pittwater	2016	F	57.9
Pittwater	2016	M	66.5
Warringah	2006	F	58.5
Warringah	2006	M	69.9
Warringah	2011	F	59.2
Warringah	2011	M	69.7
Warringah	2016	F	60.3
Warringah	2016	M	68.5
Camden	2006	F	61.2
Camden	2006	M	76.3
Camden	2011	F	62.6
Camden	2011	M	75.3
Camden	2016	F	62.8
Camden	2016	M	73.9
Campbelltown (NSW)	2006	F	50.7
Campbelltown (NSW)	2006	M	65.5
Campbelltown (NSW)	2011	F	50.3
Campbelltown (NSW)	2011	M	64.1
Campbelltown (NSW)	2016	F	49.6
Campbelltown (NSW)	2016	M	62.2
Wollondilly	2006	F	56
Wollondilly	2006	M	69.7
Wollondilly	2011	F	57.2
Wollondilly	2011	M	68.7
Wollondilly	2016	F	57.9
Wollondilly	2016	M	67.4
Blue Mountains	2006	F	54.3
Blue Mountains	2006	M	65.6
Blue Mountains	2011	F	53.9
Blue Mountains	2011	M	63.2
Blue Mountains	2016	F	53.8
Blue Mountains	2016	M	60.8
