SA3_NAME16	Year	Age	persons
Goulburn - Mulwaree	2006	45-54	4561
Goulburn - Mulwaree	2006	55-64	4176
Goulburn - Mulwaree	2006	65-74	2816
Goulburn - Mulwaree	2006	75-84	1755
Goulburn - Mulwaree	2006	85+	518
Goulburn - Mulwaree	2011	0-4	1994
Goulburn - Mulwaree	2011	5-14	4269
Goulburn - Mulwaree	2011	15-19	2166
Goulburn - Mulwaree	2011	20-24	1686
Goulburn - Mulwaree	2011	25-34	3390
Goulburn - Mulwaree	2011	35-44	4274
Goulburn - Mulwaree	2011	45-54	4764
Goulburn - Mulwaree	2011	55-64	4499
Goulburn - Mulwaree	2011	65-74	3350
Goulburn - Mulwaree	2011	75-84	1990
Goulburn - Mulwaree	2011	85+	720
Goulburn - Mulwaree	2016	0-4	2075
Goulburn - Mulwaree	2016	5-14	4320
Goulburn - Mulwaree	2016	15-19	2102
Goulburn - Mulwaree	2016	20-24	1884
Goulburn - Mulwaree	2016	25-34	4008
Goulburn - Mulwaree	2016	35-44	4125
Goulburn - Mulwaree	2016	45-54	4924
Goulburn - Mulwaree	2016	55-64	4913
Goulburn - Mulwaree	2016	65-74	4085
Goulburn - Mulwaree	2016	75-84	2236
Goulburn - Mulwaree	2016	85+	892
Young - Yass	2006	0-4	2155
Young - Yass	2006	5-14	4980
Young - Yass	2006	15-19	2023
Young - Yass	2006	20-24	1415
Young - Yass	2006	25-34	3253
Young - Yass	2006	35-44	4552
Young - Yass	2006	45-54	4659
Young - Yass	2006	55-64	4287
Young - Yass	2006	65-74	2676
Young - Yass	2006	75-84	1701
Young - Yass	2006	85+	544
Young - Yass	2011	0-4	2406
Young - Yass	2011	5-14	4972
Young - Yass	2011	15-19	2221
Young - Yass	2011	20-24	1516
Young - Yass	2011	25-34	3142
Young - Yass	2011	35-44	4779
Young - Yass	2011	45-54	4912
Young - Yass	2011	55-64	4721
Young - Yass	2011	65-74	3260
Young - Yass	2011	75-84	1782
Young - Yass	2011	85+	693
Young - Yass	2016	0-4	2210
Young - Yass	2016	5-14	5041
Young - Yass	2016	15-19	2237
Young - Yass	2016	20-24	1685
Young - Yass	2016	25-34	3269
Young - Yass	2016	35-44	4388
Young - Yass	2016	45-54	5156
Young - Yass	2016	55-64	4910
Young - Yass	2016	65-74	4152
Young - Yass	2016	75-84	2058
Young - Yass	2016	85+	839
Gosford	2006	0-4	9396
Gosford	2006	5-14	21799
Gosford	2006	15-19	11102
Gosford	2006	20-24	8401
Gosford	2006	25-34	16509
Gosford	2006	35-44	21887
Gosford	2006	45-54	22722
Gosford	2006	55-64	18308
Gosford	2006	65-74	13223
Gosford	2006	75-84	11535
Gosford	2006	85+	4062
Gosford	2011	0-4	9854
Gosford	2011	5-14	20650
Gosford	2011	15-19	10728
Gosford	2011	20-24	8972
Gosford	2011	25-34	16507
Gosford	2011	35-44	21170
Gosford	2011	45-54	23280
Gosford	2011	55-64	20718
Gosford	2011	65-74	15257
Gosford	2011	75-84	10845
Gosford	2011	85+	5132
Gosford	2016	0-4	9576
Gosford	2016	5-14	20665
Gosford	2016	15-19	10075
Gosford	2016	20-24	8922
Gosford	2016	25-34	17712
Gosford	2016	35-44	20598
Gosford	2016	45-54	23046
Gosford	2016	55-64	22432
Gosford	2016	65-74	19200
Gosford	2016	75-84	11143
Gosford	2016	85+	5691
Wyong	2006	0-4	9104
Wyong	2006	5-14	20577
Wyong	2006	15-19	9204
Wyong	2006	20-24	7331
Wyong	2006	25-34	15290
Wyong	2006	35-44	18765
Wyong	2006	45-54	17914
Wyong	2006	55-64	15329
Wyong	2006	65-74	12776
Wyong	2006	75-84	9645
Wyong	2006	85+	3071
Wyong	2011	0-4	9925
Wyong	2011	5-14	20274
Wyong	2011	15-19	10351
Wyong	2011	20-24	8206
Wyong	2011	25-34	15840
Wyong	2011	35-44	19188
Wyong	2011	45-54	19578
Wyong	2011	55-64	17675
Wyong	2011	65-74	14550
Wyong	2011	75-84	9668
Wyong	2011	85+	3833
Wyong	2016	0-4	9610
Wyong	2016	5-14	20582
Wyong	2016	15-19	9858
Wyong	2016	20-24	9255
Wyong	2016	25-34	17565
Wyong	2016	35-44	18777
Wyong	2016	45-54	20583
Wyong	2016	55-64	19932
Wyong	2016	65-74	17392
Wyong	2016	75-84	10552
Wyong	2016	85+	4585
Bathurst	2006	0-4	2656
Bathurst	2006	5-14	5737
Bathurst	2006	15-19	3616
Bathurst	2006	20-24	3281
Bathurst	2006	25-34	4832
Bathurst	2006	35-44	5486
Bathurst	2006	45-54	5572
Bathurst	2006	55-64	4614
Bathurst	2006	65-74	2680
Bathurst	2006	75-84	1800
Bathurst	2006	85+	607
Bathurst	2011	0-4	2980
Bathurst	2011	5-14	6044
Bathurst	2011	15-19	3341
Bathurst	2011	20-24	3508
Bathurst	2011	25-34	4945
Bathurst	2011	35-44	5578
Bathurst	2011	45-54	5720
Bathurst	2011	55-64	5240
Bathurst	2011	65-74	3466
Bathurst	2011	75-84	2005
Bathurst	2011	85+	731
Bathurst	2016	0-4	2846
Bathurst	2016	5-14	6196
Bathurst	2016	15-19	3329
Bathurst	2016	20-24	3463
Bathurst	2016	25-34	5657
Bathurst	2016	35-44	5440
Bathurst	2016	45-54	5993
Bathurst	2016	55-64	5720
Bathurst	2016	65-74	4632
Bathurst	2016	75-84	2311
Bathurst	2016	85+	1008
Lachlan Valley	2006	0-4	3684
Lachlan Valley	2006	5-14	8456
Lachlan Valley	2006	15-19	3598
Lachlan Valley	2006	20-24	2529
Lachlan Valley	2006	25-34	5627
Lachlan Valley	2006	35-44	7101
Lachlan Valley	2006	45-54	7639
Lachlan Valley	2006	55-64	6885
Lachlan Valley	2006	65-74	5326
Lachlan Valley	2006	75-84	3523
Lachlan Valley	2006	85+	1188
Lachlan Valley	2011	0-4	3698
Lachlan Valley	2011	5-14	7711
Lachlan Valley	2011	15-19	3511
Lachlan Valley	2011	20-24	2526
Lachlan Valley	2011	25-34	5225
Lachlan Valley	2011	35-44	6366
Lachlan Valley	2011	45-54	7423
Lachlan Valley	2011	55-64	7379
Lachlan Valley	2011	65-74	5752
Lachlan Valley	2011	75-84	3759
Lachlan Valley	2011	85+	1444
Lachlan Valley	2016	0-4	3400
Lachlan Valley	2016	5-14	7418
Lachlan Valley	2016	15-19	3353
Lachlan Valley	2016	20-24	2793
Lachlan Valley	2016	25-34	5430
Lachlan Valley	2016	35-44	5797
Lachlan Valley	2016	45-54	7111
Lachlan Valley	2016	55-64	7638
Lachlan Valley	2016	65-74	6548
Lachlan Valley	2016	75-84	4102
Lachlan Valley	2016	85+	1749
Lithgow - Mudgee	2006	0-4	2519
Lithgow - Mudgee	2006	5-14	6160
Lithgow - Mudgee	2006	15-19	2829
Lithgow - Mudgee	2006	20-24	1915
Lithgow - Mudgee	2006	25-34	4312
Lithgow - Mudgee	2006	35-44	5970
Lithgow - Mudgee	2006	45-54	6070
Lithgow - Mudgee	2006	55-64	5952
Lithgow - Mudgee	2006	65-74	3795
Lithgow - Mudgee	2006	75-84	2269
Lithgow - Mudgee	2006	85+	747
Lithgow - Mudgee	2011	0-4	2834
Lithgow - Mudgee	2011	5-14	5741
Lithgow - Mudgee	2011	15-19	2834
Lithgow - Mudgee	2011	20-24	2206
Lithgow - Mudgee	2011	25-34	4242
Lithgow - Mudgee	2011	35-44	5636
Lithgow - Mudgee	2011	45-54	6345
Lithgow - Mudgee	2011	55-64	6030
Lithgow - Mudgee	2011	65-74	4662
Lithgow - Mudgee	2011	75-84	2512
Lithgow - Mudgee	2011	85+	881
Lithgow - Mudgee	2016	0-4	2942
Lithgow - Mudgee	2016	5-14	5825
Lithgow - Mudgee	2016	15-19	2585
Lithgow - Mudgee	2016	20-24	2288
Lithgow - Mudgee	2016	25-34	5027
Lithgow - Mudgee	2016	35-44	5232
Lithgow - Mudgee	2016	45-54	6477
Lithgow - Mudgee	2016	55-64	6448
Lithgow - Mudgee	2016	65-74	5779
Lithgow - Mudgee	2016	75-84	2968
Lithgow - Mudgee	2016	85+	1051
Orange	2006	0-4	3543
Orange	2006	5-14	7828
Orange	2006	15-19	3705
Orange	2006	20-24	2855
Orange	2006	25-34	5833
Orange	2006	35-44	6971
Orange	2006	45-54	6908
Orange	2006	55-64	5762
Orange	2006	65-74	3908
Orange	2006	75-84	2554
Orange	2006	85+	833
Orange	2011	0-4	4193
Orange	2011	5-14	7951
Orange	2011	15-19	3794
Orange	2011	20-24	3201
Orange	2011	25-34	6316
Orange	2011	35-44	7091
Orange	2011	45-54	7274
Orange	2011	55-64	6512
Orange	2011	65-74	4355
Orange	2011	75-84	2784
Orange	2011	85+	990
Orange	2016	0-4	4106
Orange	2016	5-14	8183
Orange	2016	15-19	3821
Orange	2016	20-24	3016
Orange	2016	25-34	6988
Orange	2016	35-44	7183
Orange	2016	45-54	7433
Orange	2016	55-64	6968
Orange	2016	65-74	5526
Orange	2016	75-84	3131
Orange	2016	85+	1262
Clarence Valley	2006	0-4	2551
Clarence Valley	2006	5-14	6886
Clarence Valley	2006	15-19	3185
Clarence Valley	2006	20-24	1751
Clarence Valley	2006	25-34	4090
Clarence Valley	2006	35-44	5971
Clarence Valley	2006	45-54	7240
Clarence Valley	2006	55-64	6732
Clarence Valley	2006	65-74	4986
Clarence Valley	2006	75-84	3229
Clarence Valley	2006	85+	1044
Clarence Valley	2011	0-4	2790
Clarence Valley	2011	5-14	6351
Clarence Valley	2011	15-19	3177
Clarence Valley	2011	20-24	2106
Clarence Valley	2011	25-34	3898
Clarence Valley	2011	35-44	5592
Clarence Valley	2011	45-54	7147
Clarence Valley	2011	55-64	7672
Clarence Valley	2011	65-74	5776
Clarence Valley	2011	75-84	3479
Clarence Valley	2011	85+	1248
Clarence Valley	2016	0-4	2447
Clarence Valley	2016	5-14	5782
Clarence Valley	2016	15-19	2940
Clarence Valley	2016	20-24	2035
Clarence Valley	2016	25-34	4120
Clarence Valley	2016	35-44	5110
Clarence Valley	2016	45-54	6640
Clarence Valley	2016	55-64	8259
Clarence Valley	2016	65-74	7351
Clarence Valley	2016	75-84	3967
Clarence Valley	2016	85+	1614
Coffs Harbour	2006	0-4	4291
Coffs Harbour	2006	5-14	11479
Coffs Harbour	2006	15-19	5702
Coffs Harbour	2006	20-24	3612
Coffs Harbour	2006	25-34	7020
Coffs Harbour	2006	35-44	10435
Coffs Harbour	2006	45-54	12229
Coffs Harbour	2006	55-64	9932
Coffs Harbour	2006	65-74	6857
Coffs Harbour	2006	75-84	4677
Coffs Harbour	2006	85+	1573
Coffs Harbour	2011	0-4	4869
Coffs Harbour	2011	5-14	10768
Coffs Harbour	2011	15-19	5559
Coffs Harbour	2011	20-24	3917
Coffs Harbour	2011	25-34	7469
Coffs Harbour	2011	35-44	9939
Coffs Harbour	2011	45-54	12123
Coffs Harbour	2011	55-64	11830
Coffs Harbour	2011	65-74	8003
Coffs Harbour	2011	75-84	4867
Coffs Harbour	2011	85+	2029
Coffs Harbour	2016	0-4	4682
Coffs Harbour	2016	5-14	10949
Coffs Harbour	2016	15-19	5080
Coffs Harbour	2016	20-24	4096
Coffs Harbour	2016	25-34	8633
Coffs Harbour	2016	35-44	9576
Coffs Harbour	2016	45-54	11522
Coffs Harbour	2016	55-64	13028
Coffs Harbour	2016	65-74	10281
Coffs Harbour	2016	75-84	5730
Coffs Harbour	2016	85+	2437
Bourke - Cobar - Coonamble	2006	0-4	2167
Bourke - Cobar - Coonamble	2006	5-14	4125
Bourke - Cobar - Coonamble	2006	15-19	1546
Bourke - Cobar - Coonamble	2006	20-24	1439
Bourke - Cobar - Coonamble	2006	25-34	3216
Bourke - Cobar - Coonamble	2006	35-44	3812
Bourke - Cobar - Coonamble	2006	45-54	3781
Bourke - Cobar - Coonamble	2006	55-64	3130
Bourke - Cobar - Coonamble	2006	65-74	2065
Bourke - Cobar - Coonamble	2006	75-84	1077
Bourke - Cobar - Coonamble	2006	85+	284
Bourke - Cobar - Coonamble	2011	0-4	2029
Bourke - Cobar - Coonamble	2011	5-14	3653
Bourke - Cobar - Coonamble	2011	15-19	1489
Bourke - Cobar - Coonamble	2011	20-24	1429
Bourke - Cobar - Coonamble	2011	25-34	2840
Bourke - Cobar - Coonamble	2011	35-44	3248
Bourke - Cobar - Coonamble	2011	45-54	3643
Bourke - Cobar - Coonamble	2011	55-64	3146
Bourke - Cobar - Coonamble	2011	65-74	2265
Bourke - Cobar - Coonamble	2011	75-84	1210
Bourke - Cobar - Coonamble	2011	85+	334
Bourke - Cobar - Coonamble	2016	0-4	1772
Bourke - Cobar - Coonamble	2016	5-14	3335
Bourke - Cobar - Coonamble	2016	15-19	1229
Bourke - Cobar - Coonamble	2016	20-24	1337
Bourke - Cobar - Coonamble	2016	25-34	3058
Bourke - Cobar - Coonamble	2016	35-44	2646
Bourke - Cobar - Coonamble	2016	45-54	3367
Bourke - Cobar - Coonamble	2016	55-64	3219
Bourke - Cobar - Coonamble	2016	65-74	2432
Bourke - Cobar - Coonamble	2016	75-84	1308
Bourke - Cobar - Coonamble	2016	85+	444
Broken Hill and Far West	2006	0-4	1366
Broken Hill and Far West	2006	5-14	2955
Broken Hill and Far West	2006	15-19	1368
Broken Hill and Far West	2006	20-24	1107
Broken Hill and Far West	2006	25-34	2267
Broken Hill and Far West	2006	35-44	2861
Broken Hill and Far West	2006	45-54	3349
Broken Hill and Far West	2006	55-64	2808
Broken Hill and Far West	2006	65-74	2026
Broken Hill and Far West	2006	75-84	1467
Broken Hill and Far West	2006	85+	462
Broken Hill and Far West	2011	0-4	1244
Broken Hill and Far West	2011	5-14	2629
Broken Hill and Far West	2011	15-19	1292
Broken Hill and Far West	2011	20-24	1192
Broken Hill and Far West	2011	25-34	2223
Broken Hill and Far West	2011	35-44	2482
Broken Hill and Far West	2011	45-54	3128
Broken Hill and Far West	2011	55-64	3002
Broken Hill and Far West	2011	65-74	2033
Broken Hill and Far West	2011	75-84	1464
Broken Hill and Far West	2011	85+	508
Broken Hill and Far West	2016	0-4	1159
Broken Hill and Far West	2016	5-14	2265
Broken Hill and Far West	2016	15-19	1092
Broken Hill and Far West	2016	20-24	1110
Broken Hill and Far West	2016	25-34	2452
Broken Hill and Far West	2016	35-44	2160
Broken Hill and Far West	2016	45-54	2689
Broken Hill and Far West	2016	55-64	3029
Broken Hill and Far West	2016	65-74	2321
Broken Hill and Far West	2016	75-84	1307
Broken Hill and Far West	2016	85+	625
Dubbo	2006	0-4	4730
Dubbo	2006	5-14	10573
Dubbo	2006	15-19	4533
Dubbo	2006	20-24	3580
Dubbo	2006	25-34	7187
Dubbo	2006	35-44	8766
Dubbo	2006	45-54	9083
Dubbo	2006	55-64	7506
Dubbo	2006	65-74	5382
Dubbo	2006	75-84	3424
Dubbo	2006	85+	1070
Dubbo	2011	0-4	5073
Dubbo	2011	5-14	9634
Dubbo	2011	15-19	4681
Dubbo	2011	20-24	3679
Dubbo	2011	25-34	7251
Dubbo	2011	35-44	8286
Dubbo	2011	45-54	9191
Dubbo	2011	55-64	8261
Dubbo	2011	65-74	6056
Dubbo	2011	75-84	3658
Dubbo	2011	85+	1334
Dubbo	2016	0-4	4701
Dubbo	2016	5-14	9397
Dubbo	2016	15-19	4188
Dubbo	2016	20-24	4001
Dubbo	2016	25-34	8492
Dubbo	2016	35-44	7851
Dubbo	2016	45-54	8854
Dubbo	2016	55-64	9050
Dubbo	2016	65-74	7072
Dubbo	2016	75-84	4131
Dubbo	2016	85+	1677
Lower Hunter	2006	0-4	5195
Lower Hunter	2006	5-14	11962
Lower Hunter	2006	15-19	5476
Lower Hunter	2006	20-24	4205
Lower Hunter	2006	25-34	9126
Lower Hunter	2006	35-44	10929
Lower Hunter	2006	45-54	11025
Lower Hunter	2006	55-64	8901
Lower Hunter	2006	65-74	5112
Lower Hunter	2006	75-84	3435
Lower Hunter	2006	85+	1111
Lower Hunter	2011	0-4	5937
Lower Hunter	2011	5-14	11526
Lower Hunter	2011	15-19	5806
Lower Hunter	2011	20-24	4949
Lower Hunter	2011	25-34	9888
Lower Hunter	2011	35-44	11139
Lower Hunter	2011	45-54	11371
Lower Hunter	2011	55-64	10346
Lower Hunter	2011	65-74	6214
Lower Hunter	2011	75-84	3516
Lower Hunter	2011	85+	1301
Lower Hunter	2016	0-4	5810
Lower Hunter	2016	5-14	12121
Lower Hunter	2016	15-19	5684
Lower Hunter	2016	20-24	5302
Lower Hunter	2016	25-34	10876
Lower Hunter	2016	35-44	10940
Lower Hunter	2016	45-54	11672
Lower Hunter	2016	55-64	11386
Lower Hunter	2016	65-74	8346
Lower Hunter	2016	75-84	3961
Lower Hunter	2016	85+	1581
Maitland	2006	0-4	4307
Maitland	2006	5-14	8951
Maitland	2006	15-19	4237
Maitland	2006	20-24	3677
Maitland	2006	25-34	7676
Maitland	2006	35-44	8287
Maitland	2006	45-54	8159
Maitland	2006	55-64	6087
Maitland	2006	65-74	3608
Maitland	2006	75-84	2572
Maitland	2006	85+	798
Maitland	2011	0-4	4816
Maitland	2011	5-14	9237
Maitland	2011	15-19	4579
Maitland	2011	20-24	4010
Maitland	2011	25-34	8280
Maitland	2011	35-44	9137
Maitland	2011	45-54	8667
Maitland	2011	55-64	7300
Maitland	2011	65-74	4451
Maitland	2011	75-84	2699
Maitland	2011	85+	1035
Maitland	2016	0-4	5548
Maitland	2016	5-14	10696
Maitland	2016	15-19	4736
Maitland	2016	20-24	4603
Maitland	2016	25-34	10188
Maitland	2016	35-44	9816
Maitland	2016	45-54	9525
Maitland	2016	55-64	8447
Maitland	2016	65-74	6217
Maitland	2016	75-84	3132
Maitland	2016	85+	1248
Port Stephens	2006	0-4	3838
Port Stephens	2006	5-14	9082
Port Stephens	2006	15-19	4103
Port Stephens	2006	20-24	3063
Port Stephens	2006	25-34	6196
Port Stephens	2006	35-44	8538
Port Stephens	2006	45-54	8376
Port Stephens	2006	55-64	8438
Port Stephens	2006	65-74	6268
Port Stephens	2006	75-84	3774
Port Stephens	2006	85+	1043
Port Stephens	2011	0-4	4199
Port Stephens	2011	5-14	8798
Port Stephens	2011	15-19	4322
Port Stephens	2011	20-24	3424
Port Stephens	2011	25-34	6275
Port Stephens	2011	35-44	8302
Port Stephens	2011	45-54	9189
Port Stephens	2011	55-64	9336
Port Stephens	2011	65-74	7942
Port Stephens	2011	75-84	4240
Port Stephens	2011	85+	1477
Port Stephens	2016	0-4	3806
Port Stephens	2016	5-14	8755
Port Stephens	2016	15-19	4200
Port Stephens	2016	20-24	3561
Port Stephens	2016	25-34	6604
Port Stephens	2016	35-44	7884
Port Stephens	2016	45-54	9459
Port Stephens	2016	55-64	10079
Port Stephens	2016	65-74	10062
Port Stephens	2016	75-84	5134
Port Stephens	2016	85+	1840
Upper Hunter	2006	0-4	2128
Upper Hunter	2006	5-14	4195
Upper Hunter	2006	15-19	1987
Upper Hunter	2006	20-24	1715
Upper Hunter	2006	25-34	3533
Upper Hunter	2006	35-44	4022
Upper Hunter	2006	45-54	3905
Upper Hunter	2006	55-64	3165
Upper Hunter	2006	65-74	1929
Upper Hunter	2006	75-84	1204
Upper Hunter	2006	85+	426
Upper Hunter	2011	0-4	2234
Upper Hunter	2011	5-14	4272
Upper Hunter	2011	15-19	1930
Upper Hunter	2011	20-24	1841
Upper Hunter	2011	25-34	3865
Upper Hunter	2011	35-44	3988
Upper Hunter	2011	45-54	4049
Upper Hunter	2011	55-64	3432
Upper Hunter	2011	65-74	2190
Upper Hunter	2011	75-84	1286
Upper Hunter	2011	85+	459
Upper Hunter	2016	0-4	2101
Upper Hunter	2016	5-14	4433
Upper Hunter	2016	15-19	1791
Upper Hunter	2016	20-24	1622
Upper Hunter	2016	25-34	3938
Upper Hunter	2016	35-44	3838
Upper Hunter	2016	45-54	4122
Upper Hunter	2016	55-64	3654
Upper Hunter	2016	65-74	2695
Upper Hunter	2016	75-84	1450
Upper Hunter	2016	85+	553
Dapto - Port Kembla	2006	0-4	4497
Dapto - Port Kembla	2006	5-14	10000
Dapto - Port Kembla	2006	15-19	4870
Dapto - Port Kembla	2006	20-24	4267
Dapto - Port Kembla	2006	25-34	8419
Dapto - Port Kembla	2006	35-44	10039
Dapto - Port Kembla	2006	45-54	9542
Dapto - Port Kembla	2006	55-64	7924
Dapto - Port Kembla	2006	65-74	6102
Dapto - Port Kembla	2006	75-84	3954
Dapto - Port Kembla	2006	85+	1051
Dapto - Port Kembla	2011	0-4	4666
Dapto - Port Kembla	2011	5-14	9544
Dapto - Port Kembla	2011	15-19	4905
Dapto - Port Kembla	2011	20-24	4249
Dapto - Port Kembla	2011	25-34	8176
Dapto - Port Kembla	2011	35-44	9391
Dapto - Port Kembla	2011	45-54	10045
Dapto - Port Kembla	2011	55-64	8456
Dapto - Port Kembla	2011	65-74	6526
Dapto - Port Kembla	2011	75-84	4472
Dapto - Port Kembla	2011	85+	1479
Dapto - Port Kembla	2016	0-4	4767
Dapto - Port Kembla	2016	5-14	9647
Dapto - Port Kembla	2016	15-19	4796
Dapto - Port Kembla	2016	20-24	4562
Dapto - Port Kembla	2016	25-34	8906
Dapto - Port Kembla	2016	35-44	9345
Dapto - Port Kembla	2016	45-54	9956
Dapto - Port Kembla	2016	55-64	9269
Dapto - Port Kembla	2016	65-74	7289
Dapto - Port Kembla	2016	75-84	4876
Dapto - Port Kembla	2016	85+	1940
Illawarra Catchment Reserve	2006	0-4	0
Illawarra Catchment Reserve	2006	5-14	0
Illawarra Catchment Reserve	2006	15-19	0
Illawarra Catchment Reserve	2006	20-24	0
Illawarra Catchment Reserve	2006	25-34	0
Illawarra Catchment Reserve	2006	35-44	0
Illawarra Catchment Reserve	2006	45-54	0
Illawarra Catchment Reserve	2006	55-64	0
Illawarra Catchment Reserve	2006	65-74	0
Illawarra Catchment Reserve	2006	75-84	0
Illawarra Catchment Reserve	2006	85+	0
Illawarra Catchment Reserve	2011	0-4	4
Illawarra Catchment Reserve	2011	5-14	0
Illawarra Catchment Reserve	2011	15-19	0
Illawarra Catchment Reserve	2011	20-24	0
Illawarra Catchment Reserve	2011	25-34	3
Illawarra Catchment Reserve	2011	35-44	0
Illawarra Catchment Reserve	2011	45-54	3
Illawarra Catchment Reserve	2011	55-64	0
Illawarra Catchment Reserve	2011	65-74	0
Illawarra Catchment Reserve	2011	75-84	0
Illawarra Catchment Reserve	2011	85+	0
Illawarra Catchment Reserve	2016	0-4	0
Illawarra Catchment Reserve	2016	5-14	0
Illawarra Catchment Reserve	2016	15-19	0
Illawarra Catchment Reserve	2016	20-24	0
Illawarra Catchment Reserve	2016	25-34	0
Illawarra Catchment Reserve	2016	35-44	0
Illawarra Catchment Reserve	2016	45-54	0
Illawarra Catchment Reserve	2016	55-64	0
Illawarra Catchment Reserve	2016	65-74	7
Illawarra Catchment Reserve	2016	75-84	0
Illawarra Catchment Reserve	2016	85+	0
Kiama - Shellharbour	2006	0-4	5151
Kiama - Shellharbour	2006	5-14	12302
Kiama - Shellharbour	2006	15-19	5814
Kiama - Shellharbour	2006	20-24	4649
Kiama - Shellharbour	2006	25-34	8913
Kiama - Shellharbour	2006	35-44	11344
Kiama - Shellharbour	2006	45-54	11373
Kiama - Shellharbour	2006	55-64	8712
Kiama - Shellharbour	2006	65-74	6089
Kiama - Shellharbour	2006	75-84	3883
Kiama - Shellharbour	2006	85+	1085
Kiama - Shellharbour	2011	0-4	5289
Kiama - Shellharbour	2011	5-14	11773
Kiama - Shellharbour	2011	15-19	6191
Kiama - Shellharbour	2011	20-24	4746
Kiama - Shellharbour	2011	25-34	8810
Kiama - Shellharbour	2011	35-44	11131
Kiama - Shellharbour	2011	45-54	12143
Kiama - Shellharbour	2011	55-64	10265
Kiama - Shellharbour	2011	65-74	7236
Kiama - Shellharbour	2011	75-84	4407
Kiama - Shellharbour	2011	85+	1532
Kiama - Shellharbour	2016	0-4	5439
Kiama - Shellharbour	2016	5-14	11770
Kiama - Shellharbour	2016	15-19	5967
Kiama - Shellharbour	2016	20-24	5330
Kiama - Shellharbour	2016	25-34	9860
Kiama - Shellharbour	2016	35-44	10955
Kiama - Shellharbour	2016	45-54	12063
Kiama - Shellharbour	2016	55-64	11957
