SA3_NAME16	Year	medianRentWeekly
Tullamarine - Broadmeadows	2006	185
Knox	2006	201
Manningham - East	2006	245
Maroondah	2006	195
Whitehorse - East	2006	210
Yarra Ranges	2006	185
Cardinia	2006	180
Casey - North	2006	195
Casey - South	2006	190
Dandenong	2006	162
Monash	2006	230
Brimbank	2006	170
Hobsons Bay	2006	190
Maribyrnong	2006	170
Melton - Bacchus Marsh	2006	180
Wyndham	2006	185
Frankston	2006	180
Mornington Peninsula	2006	175
Grampians	2006	110
Mildura	2006	150
Murray River - Swan Hill	2006	110
Campaspe	2006	130
Moira	2006	135
Shepparton	2006	152
Glenelg - Southern Grampians	2006	120
Colac - Corangamite	2006	120
Warrnambool	2006	155
Migratory - Offshore - Shipping (Vic.)	2006	0
No usual address (Vic.)	2006	0
Capalaba	2006	235
Cleveland - Stradbroke	2006	245
Wynnum - Manly	2006	240
Bald Hills - Everton Park	2006	240
Chermside	2006	220
Nundah	2006	210
Sandgate	2006	210
Carindale	2006	250
Holland Park - Yeronga	2006	210
Mt Gravatt	2006	240
Nathan	2006	220
Rocklea - Acacia Ridge	2006	245
Sunnybank	2006	250
Centenary	2006	260
Kenmore - Brookfield - Moggill	2006	300
Sherwood - Indooroopilly	2006	260
The Gap - Enoggera	2006	220
Brisbane Inner	2006	280
Brisbane Inner - East	2006	250
Brisbane Inner - North	2006	235
Brisbane Inner - West	2006	260
Cairns - North	2006	240
Cairns - South	2006	185
Innisfail - Cassowary Coast	2006	130
Port Douglas - Daintree	2006	240
Tablelands (East) - Kuranda	2006	135
Darling Downs (West) - Maranoa	2006	100
Darling Downs - East	2006	130
Granite Belt	2006	138
Central Highlands (Qld)	2006	80
Rockhampton	2006	150
Biloela	2006	100
Gladstone	2006	175
Broadbeach - Burleigh	2006	280
Coolangatta	2006	250
Gold Coast - North	2006	250
Gold Coast Hinterland	2006	210
Mudgeeraba - Tallebudgera	2006	270
Nerang	2006	270
Ormeau - Oxenford	2006	290
Robina	2006	313
Southport	2006	250
Surfers Paradise	2006	290
Forest Lake - Oxley	2006	190
Ipswich Hinterland	2006	155
Ipswich Inner	2006	175
Springfield - Redbank	2006	200
Beaudesert	2006	150
Beenleigh	2006	190
Browns Plains	2006	210
Jimboomba	2006	255
Loganlea - Carbrook	2006	215
Springwood - Kingston	2006	185
Bowen Basin - North	2006	70
Mackay	2006	190
Whitsunday	2006	220
Bribie - Beachmere	2006	200
Caboolture	2006	195
Caboolture Hinterland	2006	160
Narangba - Burpengary	2006	213
Redcliffe	2006	180
The Hills District	2006	250
North Lakes	2006	233
Strathpine	2006	210
Far North	2006	50
Outback - North	2006	108
Outback - South	2006	74
Buderim	2006	279
Caloundra	2006	250
Maroochy	2006	240
Noosa	2006	265
Sunshine Coast Hinterland	2006	205
Nambour	2006	195
Noosa Hinterland	2006	205
Toowoomba	2006	175
Charters Towers - Ayr - Ingham	2006	115
Townsville	2006	185
Bundaberg	2006	160
Burnett	2006	120
Gympie - Cooloola	2006	150
Hervey Bay	2006	195
Maryborough	2006	150
Migratory - Offshore - Shipping (Qld)	2006	0
No usual address (Qld)	2006	0
Adelaide City	2006	240
Adelaide Hills	2006	180
Burnside	2006	200
Campbelltown (SA)	2006	180
Norwood - Payneham - St Peters	2006	180
Prospect - Walkerville	2006	175
Unley	2006	190
Gawler - Two Wells	2006	160
Playford	2006	135
Port Adelaide - East	2006	150
Salisbury	2006	160
Tea Tree Gully	2006	185
Holdfast Bay	2006	185
Marion	2006	160
Mitcham	2006	180
Onkaparinga	2006	170
Charles Sturt	2006	155
Port Adelaide - West	2006	138
West Torrens	2006	160
Barossa	2006	150
Lower North	2006	111
Mid North	2006	100
Yorke Peninsula	2006	115
Eyre Peninsula and South West	2006	109
Outback - North and East	2006	100
Fleurieu - Kangaroo Island	2006	150
Limestone Coast	2006	115
Murray and Mallee	2006	115
Migratory - Offshore - Shipping (SA)	2006	0
No usual address (SA)	2006	0
Augusta - Margaret River - Busselton	2006	180
Bunbury	2006	166
Manjimup	2006	107
Mandurah	2006	170
Cottesloe - Claremont	2006	230
Perth City	2006	200
Bayswater - Bassendean	2006	160
Mundaring	2006	165
Swan	2006	175
Joondalup	2006	220
Stirling	2006	175
Wanneroo	2006	190
Armadale	2006	155
Belmont - Victoria Park	2006	170
Canning	2006	180
Gosnells	2006	171
Kalamunda	2006	180
Serpentine - Jarrahdale	2006	150
South Perth	2006	200
Cockburn	2006	180
Fremantle	2006	182
Kwinana	2006	149
Melville	2006	200
Rockingham	2006	170
Albany	2006	130
Wheat Belt - North	2006	92
Wheat Belt - South	2006	80
Kimberley	2006	98
East Pilbara	2006	100
West Pilbara	2006	69
Esperance	2006	128
Gascoyne	2006	120
Goldfields	2006	135
Mid West	2006	125
Migratory - Offshore - Shipping (WA)	2006	0
No usual address (WA)	2006	0
Brighton	2006	117
Hobart - North East	2006	150
Hobart - North West	2006	137
Hobart - South and West	2006	180
Hobart Inner	2006	180
Sorell - Dodges Ferry	2006	150
Launceston	2006	145
Meander Valley - West Tamar	2006	125
North East	2006	104
Central Highlands (Tas.)	2006	73
Huon - Bruny Island	2006	130
South East Coast	2006	110
Burnie - Ulverstone	2006	120
Devonport	2006	130
West Coast	2006	100
Migratory - Offshore - Shipping (Tas.)	2006	0
No usual address (Tas.)	2006	0
Darwin City	2006	218
Darwin Suburbs	2006	195
Litchfield	2006	170
Palmerston	2006	190
Alice Springs	2006	100
Barkly	2006	58
Daly - Tiwi - West Arnhem	2006	37
East Arnhem	2006	30
Katherine	2006	71
Migratory - Offshore - Shipping (NT)	2006	0
No usual address (NT)	2006	0
Belconnen	2006	250
Canberra East	2006	136
Gungahlin	2006	276
North Canberra	2006	260
South Canberra	2006	300
Tuggeranong	2006	250
Weston Creek	2006	245
Woden Valley	2006	250
Molonglo	2006	0
Urriarra - Namadgi	2006	115
Migratory - Offshore - Shipping (ACT)	2006	0
No usual address (ACT)	2006	0
Christmas Island	2006	92
Cocos (Keeling) Islands	2006	115
Jervis Bay	2006	114
Norfolk Island	2006	0
Migratory - Offshore - Shipping (OT)	2006	0
No usual address (OT)	2006	0
Queanbeyan	2011	280
Snowy Mountains	2011	200
South Coast	2011	210
Goulburn - Mulwaree	2011	180
Young - Yass	2011	180
Gosford	2011	280
Wyong	2011	260
Bathurst	2011	210
Lachlan Valley	2011	140
Lithgow - Mudgee	2011	181
Orange	2011	210
Clarence Valley	2011	215
Coffs Harbour	2011	250
Bourke - Cobar - Coonamble	2011	110
Broken Hill and Far West	2011	140
Dubbo	2011	160
Lower Hunter	2011	235
Maitland	2011	260
Port Stephens	2011	250
Upper Hunter	2011	200
Dapto - Port Kembla	2011	200
Illawarra Catchment Reserve	2011	0
Kiama - Shellharbour	2011	260
Wollongong	2011	260
Great Lakes	2011	210
Kempsey - Nambucca	2011	195
Lord Howe Island	2011	125
Port Macquarie	2011	250
Taree - Gloucester	2011	200
Albury	2011	190
Lower Murray	2011	135
Upper Murray exc. Albury	2011	150
Armidale	2011	190
Inverell - Tenterfield	2011	150
Moree - Narrabri	2011	140
Tamworth - Gunnedah	2011	200
Lake Macquarie - East	2011	260
Lake Macquarie - West	2011	250
Newcastle	2011	275
Richmond Valley - Coastal	2011	300
Richmond Valley - Hinterland	2011	210
Tweed Valley	2011	300
Griffith - Murrumbidgee (West)	2011	160
Tumut - Tumbarumba	2011	160
Wagga Wagga	2011	200
Shoalhaven	2011	220
Southern Highlands	2011	260
Baulkham Hills	2011	462
Dural - Wisemans Ferry	2011	350
Hawkesbury	2011	270
Rouse Hill - McGraths Hill	2011	440
Blacktown	2011	300
Blacktown - North	2011	395
Mount Druitt	2011	250
Botany	2011	340
Marrickville - Sydenham - Petersham	2011	360
Sydney Inner City	2011	465
Eastern Suburbs - North	2011	501
Eastern Suburbs - South	2011	440
Bankstown	2011	315
Canterbury	2011	300
Hurstville	2011	350
Kogarah - Rockdale	2011	375
Canada Bay	2011	480
Leichhardt	2011	480
Strathfield - Burwood - Ashfield	2011	380
Chatswood - Lane Cove	2011	475
Hornsby	2011	400
Ku-ring-gai	2011	580
North Sydney - Mosman	2011	480
Manly	2011	520
Pittwater	2011	500
Warringah	2011	440
Camden	2011	360
Campbelltown (NSW)	2011	260
Wollondilly	2011	270
Blue Mountains	2011	280
Blue Mountains - South	2011	0
Penrith	2011	295
Richmond - Windsor	2011	280
St Marys	2011	300
Auburn	2011	350
Carlingford	2011	350
Merrylands - Guildford	2011	300
Parramatta	2011	345
Pennant Hills - Epping	2011	425
Ryde - Hunters Hill	2011	370
Bringelly - Green Valley	2011	300
Fairfield	2011	280
Liverpool	2011	290
Cronulla - Miranda - Caringbah	2011	370
Sutherland - Menai - Heathcote	2011	370
Migratory - Offshore - Shipping (NSW)	2011	0
No usual address (NSW)	2011	0
Ballarat	2011	200
Creswick - Daylesford - Ballan	2011	180
Maryborough - Pyrenees	2011	150
Bendigo	2011	205
Heathcote - Castlemaine - Kyneton	2011	200
Loddon - Elmore	2011	100
Barwon - West	2011	200
Geelong	2011	230
Surf Coast - Bellarine Peninsula	2011	270
Upper Goulburn Valley	2011	180
Wangaratta - Benalla	2011	175
Wodonga - Alpine	2011	200
Baw Baw	2011	200
Gippsland - East	2011	180
Gippsland - South West	2011	210
Latrobe Valley	2011	160
Wellington	2011	170
Brunswick - Coburg	2011	323
Darebin - South	2011	301
Essendon	2011	290
Melbourne City	2011	400
Port Phillip	2011	365
Stonnington - West	2011	361
Yarra	2011	370
Boroondara	2011	362
Manningham - West	2011	360
Whitehorse - West	2011	325
Bayside	2011	391
Glen Eira	2011	335
Kingston	2011	300
Stonnington - East	2011	346
Banyule	2011	300
Darebin - North	2011	281
Nillumbik - Kinglake	2011	301
Whittlesea - Wallan	2011	300
Keilor	2011	310
Macedon Ranges	2011	250
Moreland - North	2011	294
Sunbury	2011	270
Tullamarine - Broadmeadows	2011	288
Knox	2011	300
Manningham - East	2011	350
Maroondah	2011	290
Whitehorse - East	2011	315
Yarra Ranges	2011	266
Cardinia	2011	280
Casey - North	2011	294
Casey - South	2011	291
Dandenong	2011	258
Monash	2011	345
Brimbank	2011	265
Hobsons Bay	2011	285
Maribyrnong	2011	280
Melton - Bacchus Marsh	2011	261
Wyndham	2011	280
Frankston	2011	265
Mornington Peninsula	2011	260
Grampians	2011	145
Mildura	2011	172
Murray River - Swan Hill	2011	140
Campaspe	2011	170
Moira	2011	160
Shepparton	2011	185
Glenelg - Southern Grampians	2011	152
Colac - Corangamite	2011	160
Warrnambool	2011	200
Migratory - Offshore - Shipping (Vic.)	2011	0
No usual address (Vic.)	2011	0
Capalaba	2011	350
Cleveland - Stradbroke	2011	350
Wynnum - Manly	2011	360
Bald Hills - Everton Park	2011	360
Chermside	2011	330
Nundah	2011	330
Sandgate	2011	320
Carindale	2011	370
Holland Park - Yeronga	2011	320
Mt Gravatt	2011	360
Nathan	2011	325
Rocklea - Acacia Ridge	2011	363
Sunnybank	2011	360
Centenary	2011	380
Kenmore - Brookfield - Moggill	2011	400
Sherwood - Indooroopilly	2011	375
The Gap - Enoggera	2011	324
Brisbane Inner	2011	400
Brisbane Inner - East	2011	375
Brisbane Inner - North	2011	350
Brisbane Inner - West	2011	380
Cairns - North	2011	290
Cairns - South	2011	240
Innisfail - Cassowary Coast	2011	185
Port Douglas - Daintree	2011	250
Tablelands (East) - Kuranda	2011	200
Darling Downs (West) - Maranoa	2011	150
Darling Downs - East	2011	200
Granite Belt	2011	195
Central Highlands (Qld)	2011	115
Rockhampton	2011	250
Biloela	2011	150
Gladstone	2011	300
Broadbeach - Burleigh	2011	350
Coolangatta	2011	320
Gold Coast - North	2011	330
Gold Coast Hinterland	2011	315
Mudgeeraba - Tallebudgera	2011	370
Nerang	2011	360
Ormeau - Oxenford	2011	380
Robina	2011	400
Southport	2011	340
Surfers Paradise	2011	350
Forest Lake - Oxley	2011	300
Ipswich Hinterland	2011	240
Ipswich Inner	2011	260
Springfield - Redbank	2011	315
Beaudesert	2011	250
Beenleigh	2011	300
Browns Plains	2011	320
Jimboomba	2011	360
Loganlea - Carbrook	2011	325
Springwood - Kingston	2011	280
Bowen Basin - North	2011	80
Mackay	2011	315
Whitsunday	2011	290
Bribie - Beachmere	2011	280
Caboolture	2011	295
Caboolture Hinterland	2011	250
Narangba - Burpengary	2011	300
Redcliffe	2011	285
The Hills District	2011	365
North Lakes	2011	350
Strathpine	2011	310
Far North	2011	75
Outback - North	2011	150
Outback - South	2011	100
Buderim	2011	380
Caloundra	2011	340
Maroochy	2011	310
Noosa	2011	350
Sunshine Coast Hinterland	2011	300
Nambour	2011	285
Noosa Hinterland	2011	300
Toowoomba	2011	240
Charters Towers - Ayr - Ingham	2011	160
Townsville	2011	290
Bundaberg	2011	230
Burnett	2011	170
Gympie - Cooloola	2011	220
Hervey Bay	2011	250
Maryborough	2011	210
Migratory - Offshore - Shipping (Qld)	2011	0
No usual address (Qld)	2011	0
Adelaide City	2011	321
Adelaide Hills	2011	265
Burnside	2011	290
Campbelltown (SA)	2011	260
Norwood - Payneham - St Peters	2011	260
Prospect - Walkerville	2011	260
Unley	2011	280
Gawler - Two Wells	2011	227
Playford	2011	200
Port Adelaide - East	2011	230
Salisbury	2011	240
Tea Tree Gully	2011	260
Holdfast Bay	2011	270
Marion	2011	240
Mitcham	2011	260
Onkaparinga	2011	250
Charles Sturt	2011	235
Port Adelaide - West	2011	210
West Torrens	2011	250
Barossa	2011	200
Lower North	2011	150
Mid North	2011	140
Yorke Peninsula	2011	160
Eyre Peninsula and South West	2011	150
Outback - North and East	2011	135
Fleurieu - Kangaroo Island	2011	200
Limestone Coast	2011	150
Murray and Mallee	2011	150
Migratory - Offshore - Shipping (SA)	2011	0
No usual address (SA)	2011	0
Augusta - Margaret River - Busselton	2011	270
Bunbury	2011	255
Manjimup	2011	150
Mandurah	2011	270
Cottesloe - Claremont	2011	395
Perth City	2011	360
Bayswater - Bassendean	2011	300
Mundaring	2011	300
Swan	2011	320
Joondalup	2011	370
Stirling	2011	310
Wanneroo	2011	350
Armadale	2011	290
Belmont - Victoria Park	2011	310
Canning	2011	330
Gosnells	2011	310
Kalamunda	2011	320
Serpentine - Jarrahdale	2011	300
South Perth	2011	340
Cockburn	2011	330
Fremantle	2011	310
Kwinana	2011	260
Melville	2011	350
Rockingham	2011	300
Albany	2011	190
Wheat Belt - North	2011	135
Wheat Belt - South	2011	125
Kimberley	2011	125
East Pilbara	2011	100
West Pilbara	2011	54
Esperance	2011	190
Gascoyne	2011	175
Goldfields	2011	200
Mid West	2011	200
Migratory - Offshore - Shipping (WA)	2011	0
No usual address (WA)	2011	0
Brighton	2011	185
Hobart - North East	2011	235
Hobart - North West	2011	210
Hobart - South and West	2011	280
Hobart Inner	2011	265
Sorell - Dodges Ferry	2011	230
Launceston	2011	200
Meander Valley - West Tamar	2011	175
North East	2011	150
Central Highlands (Tas.)	2011	120
Huon - Bruny Island	2011	200
South East Coast	2011	165
Burnie - Ulverstone	2011	175
Devonport	2011	190
West Coast	2011	125
Migratory - Offshore - Shipping (Tas.)	2011	0
No usual address (Tas.)	2011	0
Darwin City	2011	420
Darwin Suburbs	2011	330
Litchfield	2011	300
Palmerston	2011	360
Alice Springs	2011	154
Barkly	2011	63
Daly - Tiwi - West Arnhem	2011	42
East Arnhem	2011	26
Katherine	2011	100
Migratory - Offshore - Shipping (NT)	2011	0
No usual address (NT)	2011	0
Belconnen	2011	375
Canberra East	2011	188
Gungahlin	2011	400
North Canberra	2011	400
South Canberra	2011	430
Tuggeranong	2011	370
Weston Creek	2011	347
Woden Valley	2011	360
Molonglo	2011	0
Urriarra - Namadgi	2011	150
Migratory - Offshore - Shipping (ACT)	2011	0
No usual address (ACT)	2011	0
Christmas Island	2011	92
Cocos (Keeling) Islands	2011	145
Jervis Bay	2011	70
Norfolk Island	2011	0
Migratory - Offshore - Shipping (OT)	2011	0
No usual address (OT)	2011	0
Queanbeyan	2016	300
Snowy Mountains	2016	240
South Coast	2016	250
Goulburn - Mulwaree	2016	250
Young - Yass	2016	223
Gosford	2016	360
Wyong	2016	340
Bathurst	2016	270
Lachlan Valley	2016	175
Lithgow - Mudgee	2016	250
Orange	2016	260
Clarence Valley	2016	260
Coffs Harbour	2016	300
Bourke - Cobar - Coonamble	2016	150
Broken Hill and Far West	2016	180
Dubbo	2016	220
Lower Hunter	2016	280
Maitland	2016	320
Port Stephens	2016	300
Upper Hunter	2016	240
Dapto - Port Kembla	2016	295
Illawarra Catchment Reserve	2016	0
Kiama - Shellharbour	2016	350
Wollongong	2016	340
Great Lakes	2016	264
Kempsey - Nambucca	2016	250
Lord Howe Island	2016	220
Port Macquarie	2016	315
Taree - Gloucester	2016	250
Albury	2016	230
Lower Murray	2016	150
Upper Murray exc. Albury	2016	190
Armidale	2016	240
Inverell - Tenterfield	2016	195
Moree - Narrabri	2016	175
Tamworth - Gunnedah	2016	250
Lake Macquarie - East	2016	320
Lake Macquarie - West	2016	320
Newcastle	2016	340
Richmond Valley - Coastal	2016	350
Richmond Valley - Hinterland	2016	250
Tweed Valley	2016	340
Griffith - Murrumbidgee (West)	2016	200
Tumut - Tumbarumba	2016	180
Wagga Wagga	2016	248
Shoalhaven	2016	280
Southern Highlands	2016	350
Baulkham Hills	2016	570
Dural - Wisemans Ferry	2016	450
Hawkesbury	2016	360
Rouse Hill - McGraths Hill	2016	590
Blacktown	2016	380
Blacktown - North	2016	500
Mount Druitt	2016	330
Botany	2016	460
Marrickville - Sydenham - Petersham	2016	460
Sydney Inner City	2016	570
Eastern Suburbs - North	2016	630
Eastern Suburbs - South	2016	550
Bankstown	2016	400
Canterbury	2016	370
Hurstville	2016	430
Kogarah - Rockdale	2016	460
Canada Bay	2016	570
Leichhardt	2016	580
Strathfield - Burwood - Ashfield	2016	460
Chatswood - Lane Cove	2016	560
Hornsby	2016	480
Ku-ring-gai	2016	650
North Sydney - Mosman	2016	570
Manly	2016	650
Pittwater	2016	600
Warringah	2016	530
Camden	2016	450
Campbelltown (NSW)	2016	350
Wollondilly	2016	360
Blue Mountains	2016	350
Blue Mountains - South	2016	0
Penrith	2016	370
Richmond - Windsor	2016	360
St Marys	2016	370
Auburn	2016	450
Carlingford	2016	438
Merrylands - Guildford	2016	380
Parramatta	2016	420
Pennant Hills - Epping	2016	530
Ryde - Hunters Hill	2016	460
Bringelly - Green Valley	2016	400
Fairfield	2016	350
Liverpool	2016	360
Cronulla - Miranda - Caringbah	2016	450
Sutherland - Menai - Heathcote	2016	440
Migratory - Offshore - Shipping (NSW)	2016	0
No usual address (NSW)	2016	0
Ballarat	2016	250
Creswick - Daylesford - Ballan	2016	230
Maryborough - Pyrenees	2016	190
Bendigo	2016	250
Heathcote - Castlemaine - Kyneton	2016	260
Loddon - Elmore	2016	140
Barwon - West	2016	250
Geelong	2016	280
Surf Coast - Bellarine Peninsula	2016	330
Upper Goulburn Valley	2016	230
Wangaratta - Benalla	2016	200
Wodonga - Alpine	2016	240
Baw Baw	2016	250
Gippsland - East	2016	220
Gippsland - South West	2016	231
Latrobe Valley	2016	200
Wellington	2016	210
Brunswick - Coburg	2016	380
Darebin - South	2016	365
Essendon	2016	341
Melbourne City	2016	450
Port Phillip	2016	400
Stonnington - West	2016	401
Yarra	2016	421
Boroondara	2016	406
Manningham - West	2016	420
Whitehorse - West	2016	380
Bayside	2016	450
Glen Eira	2016	390
Kingston	2016	356
Stonnington - East	2016	381
Banyule	2016	350
Darebin - North	2016	326
Nillumbik - Kinglake	2016	360
Whittlesea - Wallan	2016	330
Keilor	2016	360
Macedon Ranges	2016	320
Moreland - North	2016	340
Sunbury	2016	315
Tullamarine - Broadmeadows	2016	320
Knox	2016	351
Manningham - East	2016	392
Maroondah	2016	340
Whitehorse - East	2016	366
Yarra Ranges	2016	325
Cardinia	2016	320
Casey - North	2016	331
Casey - South	2016	341
Dandenong	2016	305
Monash	2016	391
Brimbank	2016	300
Hobsons Bay	2016	335
Maribyrnong	2016	330
Melton - Bacchus Marsh	2016	300
Wyndham	2016	320
Frankston	2016	306
Mornington Peninsula	2016	310
Grampians	2016	175
Mildura	2016	210
Murray River - Swan Hill	2016	166
Campaspe	2016	200
Moira	2016	200
Shepparton	2016	220
Glenelg - Southern Grampians	2016	180
Colac - Corangamite	2016	200
Warrnambool	2016	240
Migratory - Offshore - Shipping (Vic.)	2016	0
No usual address (Vic.)	2016	0
Capalaba	2016	380
Cleveland - Stradbroke	2016	400
Wynnum - Manly	2016	400
Bald Hills - Everton Park	2016	390
Chermside	2016	370
Nundah	2016	375
Sandgate	2016	355
Carindale	2016	420
Holland Park - Yeronga	2016	360
Mt Gravatt	2016	400
Nathan	2016	370
Rocklea - Acacia Ridge	2016	390
Sunnybank	2016	395
Centenary	2016	410
Kenmore - Brookfield - Moggill	2016	450
Sherwood - Indooroopilly	2016	410
The Gap - Enoggera	2016	375
Brisbane Inner	2016	445
Brisbane Inner - East	2016	420
Brisbane Inner - North	2016	395
Brisbane Inner - West	2016	420
Cairns - North	2016	340
Cairns - South	2016	285
Innisfail - Cassowary Coast	2016	215
Port Douglas - Daintree	2016	290
Tablelands (East) - Kuranda	2016	240
Darling Downs (West) - Maranoa	2016	195
Darling Downs - East	2016	225
Granite Belt	2016	230
Central Highlands (Qld)	2016	170
Rockhampton	2016	275
Biloela	2016	192
Gladstone	2016	250
Broadbeach - Burleigh	2016	385
Coolangatta	2016	360
Gold Coast - North	2016	360
Gold Coast Hinterland	2016	360
Mudgeeraba - Tallebudgera	2016	410
Nerang	2016	395
Ormeau - Oxenford	2016	415
Robina	2016	440
Southport	2016	370
Surfers Paradise	2016	375
Forest Lake - Oxley	2016	340
Ipswich Hinterland	2016	280
Ipswich Inner	2016	280
Springfield - Redbank	2016	345
Beaudesert	2016	288
Beenleigh	2016	320
Browns Plains	2016	350
Jimboomba	2016	400
Loganlea - Carbrook	2016	350
Springwood - Kingston	2016	310
Bowen Basin - North	2016	150
Mackay	2016	275
Whitsunday	2016	300
Bribie - Beachmere	2016	305
Caboolture	2016	310
Caboolture Hinterland	2016	280
Narangba - Burpengary	2016	326
Redcliffe	2016	320
The Hills District	2016	400
North Lakes	2016	365
Strathpine	2016	340
Far North	2016	120
Outback - North	2016	190
Outback - South	2016	125
Buderim	2016	420
Caloundra	2016	390
Maroochy	2016	350
Noosa	2016	420
Sunshine Coast Hinterland	2016	330
Nambour	2016	320
Noosa Hinterland	2016	340
Toowoomba	2016	285
Charters Towers - Ayr - Ingham	2016	190
Townsville	2016	300
Bundaberg	2016	260
Burnett	2016	200
Gympie - Cooloola	2016	250
Hervey Bay	2016	290
Maryborough	2016	240
Migratory - Offshore - Shipping (Qld)	2016	0
No usual address (Qld)	2016	0
Adelaide City	2016	380
Adelaide Hills	2016	309
Burnside	2016	320
Campbelltown (SA)	2016	300
Norwood - Payneham - St Peters	2016	300
Prospect - Walkerville	2016	300
Unley	2016	315
Gawler - Two Wells	2016	260
Playford	2016	245
Port Adelaide - East	2016	280
Salisbury	2016	275
Tea Tree Gully	2016	300
Holdfast Bay	2016	300
Marion	2016	300
Mitcham	2016	300
Onkaparinga	2016	290
Charles Sturt	2016	290
Port Adelaide - West	2016	251
West Torrens	2016	280
Barossa	2016	250
Lower North	2016	190
Mid North	2016	165
Yorke Peninsula	2016	200
Eyre Peninsula and South West	2016	180
Outback - North and East	2016	160
Fleurieu - Kangaroo Island	2016	250
Limestone Coast	2016	178
Murray and Mallee	2016	185
Migratory - Offshore - Shipping (SA)	2016	0
No usual address (SA)	2016	0
Augusta - Margaret River - Busselton	2016	340
Bunbury	2016	300
Manjimup	2016	200
Mandurah	2016	320
Cottesloe - Claremont	2016	450
Perth City	2016	400
Bayswater - Bassendean	2016	350
Mundaring	2016	350
Swan	2016	351
Joondalup	2016	410
Stirling	2016	355
Wanneroo	2016	375
Armadale	2016	325
Belmont - Victoria Park	2016	360
Canning	2016	370
Gosnells	2016	350
Kalamunda	2016	380
Serpentine - Jarrahdale	2016	380
South Perth	2016	375
Cockburn	2016	380
