SA3_NAME16	Year	NonSchoolQualification	Sex	persons
Goulburn - Mulwaree	2016	Certificate III and IV Level	M	3924
Goulburn - Mulwaree	2016	Advanced Diploma and Diploma	F	1534
Goulburn - Mulwaree	2016	Advanced Diploma and Diploma	M	953
Goulburn - Mulwaree	2016	Bachelor	F	1431
Goulburn - Mulwaree	2016	Bachelor	M	902
Goulburn - Mulwaree	2016	Graduate Diploma and Graduate Certificate	F	266
Goulburn - Mulwaree	2016	Graduate Diploma and Graduate Certificate	M	146
Goulburn - Mulwaree	2016	Postgraduate	F	319
Goulburn - Mulwaree	2016	Postgraduate	M	282
Young - Yass	2006		F	12009
Young - Yass	2006		M	10891
Young - Yass	2006	Certificate nfd	F	314
Young - Yass	2006	Certificate nfd	M	154
Young - Yass	2006	Certificate I and II Level	F	192
Young - Yass	2006	Certificate I and II Level	M	98
Young - Yass	2006	Certificate III and IV Level	F	1009
Young - Yass	2006	Certificate III and IV Level	M	2853
Young - Yass	2006	Advanced Diploma and Diploma	F	961
Young - Yass	2006	Advanced Diploma and Diploma	M	630
Young - Yass	2006	Bachelor	F	1324
Young - Yass	2006	Bachelor	M	899
Young - Yass	2006	Graduate Diploma and Graduate Certificate	F	255
Young - Yass	2006	Graduate Diploma and Graduate Certificate	M	124
Young - Yass	2006	Postgraduate	F	236
Young - Yass	2006	Postgraduate	M	284
Young - Yass	2011		F	12073
Young - Yass	2011		M	11088
Young - Yass	2011	Certificate nfd	F	299
Young - Yass	2011	Certificate nfd	M	150
Young - Yass	2011	Certificate I and II Level	F	233
Young - Yass	2011	Certificate I and II Level	M	120
Young - Yass	2011	Certificate III and IV Level	F	1365
Young - Yass	2011	Certificate III and IV Level	M	3263
Young - Yass	2011	Advanced Diploma and Diploma	F	1165
Young - Yass	2011	Advanced Diploma and Diploma	M	750
Young - Yass	2011	Bachelor	F	1657
Young - Yass	2011	Bachelor	M	1059
Young - Yass	2011	Graduate Diploma and Graduate Certificate	F	298
Young - Yass	2011	Graduate Diploma and Graduate Certificate	M	182
Young - Yass	2011	Postgraduate	F	322
Young - Yass	2011	Postgraduate	M	371
Young - Yass	2016		F	11665
Young - Yass	2016		M	11069
Young - Yass	2016	Certificate nfd	F	435
Young - Yass	2016	Certificate nfd	M	203
Young - Yass	2016	Certificate I and II Level	F	252
Young - Yass	2016	Certificate I and II Level	M	125
Young - Yass	2016	Certificate III and IV Level	F	1621
Young - Yass	2016	Certificate III and IV Level	M	3559
Young - Yass	2016	Advanced Diploma and Diploma	F	1424
Young - Yass	2016	Advanced Diploma and Diploma	M	916
Young - Yass	2016	Bachelor	F	2025
Young - Yass	2016	Bachelor	M	1189
Young - Yass	2016	Graduate Diploma and Graduate Certificate	F	372
Young - Yass	2016	Graduate Diploma and Graduate Certificate	M	183
Young - Yass	2016	Postgraduate	F	463
Young - Yass	2016	Postgraduate	M	434
Gosford	2006		F	59503
Gosford	2006		M	48395
Gosford	2006	Certificate nfd	F	1912
Gosford	2006	Certificate nfd	M	992
Gosford	2006	Certificate I and II Level	F	1104
Gosford	2006	Certificate I and II Level	M	555
Gosford	2006	Certificate III and IV Level	F	5392
Gosford	2006	Certificate III and IV Level	M	15873
Gosford	2006	Advanced Diploma and Diploma	F	5981
Gosford	2006	Advanced Diploma and Diploma	M	4136
Gosford	2006	Bachelor	F	6368
Gosford	2006	Bachelor	M	5102
Gosford	2006	Graduate Diploma and Graduate Certificate	F	935
Gosford	2006	Graduate Diploma and Graduate Certificate	M	544
Gosford	2006	Postgraduate	F	899
Gosford	2006	Postgraduate	M	1241
Gosford	2011		F	56255
Gosford	2011		M	46945
Gosford	2011	Certificate nfd	F	1933
Gosford	2011	Certificate nfd	M	922
Gosford	2011	Certificate I and II Level	F	1239
Gosford	2011	Certificate I and II Level	M	618
Gosford	2011	Certificate III and IV Level	F	7401
Gosford	2011	Certificate III and IV Level	M	17001
Gosford	2011	Advanced Diploma and Diploma	F	6927
Gosford	2011	Advanced Diploma and Diploma	M	4791
Gosford	2011	Bachelor	F	8078
Gosford	2011	Bachelor	M	6037
Gosford	2011	Graduate Diploma and Graduate Certificate	F	1180
Gosford	2011	Graduate Diploma and Graduate Certificate	M	690
Gosford	2011	Postgraduate	F	1422
Gosford	2011	Postgraduate	M	1673
Gosford	2016		F	52472
Gosford	2016		M	45883
Gosford	2016	Certificate nfd	F	2349
Gosford	2016	Certificate nfd	M	1288
Gosford	2016	Certificate I and II Level	F	1198
Gosford	2016	Certificate I and II Level	M	603
Gosford	2016	Certificate III and IV Level	F	8620
Gosford	2016	Certificate III and IV Level	M	17857
Gosford	2016	Advanced Diploma and Diploma	F	8512
Gosford	2016	Advanced Diploma and Diploma	M	5607
Gosford	2016	Bachelor	F	10237
Gosford	2016	Bachelor	M	7531
Gosford	2016	Graduate Diploma and Graduate Certificate	F	1528
Gosford	2016	Graduate Diploma and Graduate Certificate	M	827
Gosford	2016	Postgraduate	F	2257
Gosford	2016	Postgraduate	M	2284
Wyong	2006		F	56171
Wyong	2006		M	45604
Wyong	2006	Certificate nfd	F	1502
Wyong	2006	Certificate nfd	M	674
Wyong	2006	Certificate I and II Level	F	1007
Wyong	2006	Certificate I and II Level	M	469
Wyong	2006	Certificate III and IV Level	F	5203
Wyong	2006	Certificate III and IV Level	M	15025
Wyong	2006	Advanced Diploma and Diploma	F	3790
Wyong	2006	Advanced Diploma and Diploma	M	2421
Wyong	2006	Bachelor	F	3397
Wyong	2006	Bachelor	M	2158
Wyong	2006	Graduate Diploma and Graduate Certificate	F	479
Wyong	2006	Graduate Diploma and Graduate Certificate	M	279
Wyong	2006	Postgraduate	F	372
Wyong	2006	Postgraduate	M	475
Wyong	2011		F	55876
Wyong	2011		M	47086
Wyong	2011	Certificate nfd	F	1649
Wyong	2011	Certificate nfd	M	783
Wyong	2011	Certificate I and II Level	F	1306
Wyong	2011	Certificate I and II Level	M	615
Wyong	2011	Certificate III and IV Level	F	7638
Wyong	2011	Certificate III and IV Level	M	16715
Wyong	2011	Advanced Diploma and Diploma	F	4782
Wyong	2011	Advanced Diploma and Diploma	M	3083
Wyong	2011	Bachelor	F	4594
Wyong	2011	Bachelor	M	2773
Wyong	2011	Graduate Diploma and Graduate Certificate	F	608
Wyong	2011	Graduate Diploma and Graduate Certificate	M	356
Wyong	2011	Postgraduate	F	599
Wyong	2011	Postgraduate	M	616
Wyong	2016		F	54278
Wyong	2016		M	47897
Wyong	2016	Certificate nfd	F	2101
Wyong	2016	Certificate nfd	M	1155
Wyong	2016	Certificate I and II Level	F	1280
Wyong	2016	Certificate I and II Level	M	602
Wyong	2016	Certificate III and IV Level	F	9673
Wyong	2016	Certificate III and IV Level	M	18409
Wyong	2016	Advanced Diploma and Diploma	F	6579
Wyong	2016	Advanced Diploma and Diploma	M	3972
Wyong	2016	Bachelor	F	6083
Wyong	2016	Bachelor	M	3556
Wyong	2016	Graduate Diploma and Graduate Certificate	F	828
Wyong	2016	Graduate Diploma and Graduate Certificate	M	425
Wyong	2016	Postgraduate	F	981
Wyong	2016	Postgraduate	M	868
Bathurst	2006		F	14566
Bathurst	2006		M	13871
Bathurst	2006	Certificate nfd	F	467
Bathurst	2006	Certificate nfd	M	230
Bathurst	2006	Certificate I and II Level	F	382
Bathurst	2006	Certificate I and II Level	M	176
Bathurst	2006	Certificate III and IV Level	F	1326
Bathurst	2006	Certificate III and IV Level	M	4022
Bathurst	2006	Advanced Diploma and Diploma	F	1192
Bathurst	2006	Advanced Diploma and Diploma	M	713
Bathurst	2006	Bachelor	F	1805
Bathurst	2006	Bachelor	M	1133
Bathurst	2006	Graduate Diploma and Graduate Certificate	F	271
Bathurst	2006	Graduate Diploma and Graduate Certificate	M	149
Bathurst	2006	Postgraduate	F	237
Bathurst	2006	Postgraduate	M	331
Bathurst	2011		F	14587
Bathurst	2011		M	14199
Bathurst	2011	Certificate nfd	F	500
Bathurst	2011	Certificate nfd	M	225
Bathurst	2011	Certificate I and II Level	F	386
Bathurst	2011	Certificate I and II Level	M	191
Bathurst	2011	Certificate III and IV Level	F	1918
Bathurst	2011	Certificate III and IV Level	M	4560
Bathurst	2011	Advanced Diploma and Diploma	F	1389
Bathurst	2011	Advanced Diploma and Diploma	M	937
Bathurst	2011	Bachelor	F	2091
Bathurst	2011	Bachelor	M	1301
Bathurst	2011	Graduate Diploma and Graduate Certificate	F	334
Bathurst	2011	Graduate Diploma and Graduate Certificate	M	174
Bathurst	2011	Postgraduate	F	363
Bathurst	2011	Postgraduate	M	397
Bathurst	2016		F	14473
Bathurst	2016		M	14553
Bathurst	2016	Certificate nfd	F	625
Bathurst	2016	Certificate nfd	M	303
Bathurst	2016	Certificate I and II Level	F	409
Bathurst	2016	Certificate I and II Level	M	193
Bathurst	2016	Certificate III and IV Level	F	2253
Bathurst	2016	Certificate III and IV Level	M	5065
Bathurst	2016	Advanced Diploma and Diploma	F	1825
Bathurst	2016	Advanced Diploma and Diploma	M	1127
Bathurst	2016	Bachelor	F	2585
Bathurst	2016	Bachelor	M	1475
Bathurst	2016	Graduate Diploma and Graduate Certificate	F	452
Bathurst	2016	Graduate Diploma and Graduate Certificate	M	245
Bathurst	2016	Postgraduate	F	530
Bathurst	2016	Postgraduate	M	484
Lachlan Valley	2006		F	21829
Lachlan Valley	2006		M	20720
Lachlan Valley	2006	Certificate nfd	F	441
Lachlan Valley	2006	Certificate nfd	M	295
Lachlan Valley	2006	Certificate I and II Level	F	437
Lachlan Valley	2006	Certificate I and II Level	M	223
Lachlan Valley	2006	Certificate III and IV Level	F	1809
Lachlan Valley	2006	Certificate III and IV Level	M	4646
Lachlan Valley	2006	Advanced Diploma and Diploma	F	1353
Lachlan Valley	2006	Advanced Diploma and Diploma	M	696
Lachlan Valley	2006	Bachelor	F	1605
Lachlan Valley	2006	Bachelor	M	869
Lachlan Valley	2006	Graduate Diploma and Graduate Certificate	F	280
Lachlan Valley	2006	Graduate Diploma and Graduate Certificate	M	90
Lachlan Valley	2006	Postgraduate	F	129
Lachlan Valley	2006	Postgraduate	M	144
Lachlan Valley	2011		F	20368
Lachlan Valley	2011		M	19674
Lachlan Valley	2011	Certificate nfd	F	490
Lachlan Valley	2011	Certificate nfd	M	255
Lachlan Valley	2011	Certificate I and II Level	F	463
Lachlan Valley	2011	Certificate I and II Level	M	248
Lachlan Valley	2011	Certificate III and IV Level	F	2379
Lachlan Valley	2011	Certificate III and IV Level	M	5029
Lachlan Valley	2011	Advanced Diploma and Diploma	F	1546
Lachlan Valley	2011	Advanced Diploma and Diploma	M	831
Lachlan Valley	2011	Bachelor	F	1867
Lachlan Valley	2011	Bachelor	M	963
Lachlan Valley	2011	Graduate Diploma and Graduate Certificate	F	254
Lachlan Valley	2011	Graduate Diploma and Graduate Certificate	M	115
Lachlan Valley	2011	Postgraduate	F	174
Lachlan Valley	2011	Postgraduate	M	139
Lachlan Valley	2016		F	19456
Lachlan Valley	2016		M	19112
Lachlan Valley	2016	Certificate nfd	F	637
Lachlan Valley	2016	Certificate nfd	M	363
Lachlan Valley	2016	Certificate I and II Level	F	513
Lachlan Valley	2016	Certificate I and II Level	M	241
Lachlan Valley	2016	Certificate III and IV Level	F	2710
Lachlan Valley	2016	Certificate III and IV Level	M	5440
Lachlan Valley	2016	Advanced Diploma and Diploma	F	1837
Lachlan Valley	2016	Advanced Diploma and Diploma	M	940
Lachlan Valley	2016	Bachelor	F	2160
Lachlan Valley	2016	Bachelor	M	1048
Lachlan Valley	2016	Graduate Diploma and Graduate Certificate	F	308
Lachlan Valley	2016	Graduate Diploma and Graduate Certificate	M	130
Lachlan Valley	2016	Postgraduate	F	258
Lachlan Valley	2016	Postgraduate	M	188
Lithgow - Mudgee	2006		F	16368
Lithgow - Mudgee	2006		M	14832
Lithgow - Mudgee	2006	Certificate nfd	F	405
Lithgow - Mudgee	2006	Certificate nfd	M	213
Lithgow - Mudgee	2006	Certificate I and II Level	F	352
Lithgow - Mudgee	2006	Certificate I and II Level	M	166
Lithgow - Mudgee	2006	Certificate III and IV Level	F	1426
Lithgow - Mudgee	2006	Certificate III and IV Level	M	4568
Lithgow - Mudgee	2006	Advanced Diploma and Diploma	F	1038
Lithgow - Mudgee	2006	Advanced Diploma and Diploma	M	667
Lithgow - Mudgee	2006	Bachelor	F	1190
Lithgow - Mudgee	2006	Bachelor	M	747
Lithgow - Mudgee	2006	Graduate Diploma and Graduate Certificate	F	204
Lithgow - Mudgee	2006	Graduate Diploma and Graduate Certificate	M	100
Lithgow - Mudgee	2006	Postgraduate	F	120
Lithgow - Mudgee	2006	Postgraduate	M	142
Lithgow - Mudgee	2011		F	15827
Lithgow - Mudgee	2011		M	14867
Lithgow - Mudgee	2011	Certificate nfd	F	412
Lithgow - Mudgee	2011	Certificate nfd	M	204
Lithgow - Mudgee	2011	Certificate I and II Level	F	363
Lithgow - Mudgee	2011	Certificate I and II Level	M	175
Lithgow - Mudgee	2011	Certificate III and IV Level	F	1915
Lithgow - Mudgee	2011	Certificate III and IV Level	M	5091
Lithgow - Mudgee	2011	Advanced Diploma and Diploma	F	1242
Lithgow - Mudgee	2011	Advanced Diploma and Diploma	M	790
Lithgow - Mudgee	2011	Bachelor	F	1441
Lithgow - Mudgee	2011	Bachelor	M	893
Lithgow - Mudgee	2011	Graduate Diploma and Graduate Certificate	F	255
Lithgow - Mudgee	2011	Graduate Diploma and Graduate Certificate	M	109
Lithgow - Mudgee	2011	Postgraduate	F	166
Lithgow - Mudgee	2011	Postgraduate	M	171
Lithgow - Mudgee	2016		F	15859
Lithgow - Mudgee	2016		M	15149
Lithgow - Mudgee	2016	Certificate nfd	F	546
Lithgow - Mudgee	2016	Certificate nfd	M	324
Lithgow - Mudgee	2016	Certificate I and II Level	F	420
Lithgow - Mudgee	2016	Certificate I and II Level	M	217
Lithgow - Mudgee	2016	Certificate III and IV Level	F	2349
Lithgow - Mudgee	2016	Certificate III and IV Level	M	5534
Lithgow - Mudgee	2016	Advanced Diploma and Diploma	F	1578
Lithgow - Mudgee	2016	Advanced Diploma and Diploma	M	945
Lithgow - Mudgee	2016	Bachelor	F	1773
Lithgow - Mudgee	2016	Bachelor	M	1014
Lithgow - Mudgee	2016	Graduate Diploma and Graduate Certificate	F	275
Lithgow - Mudgee	2016	Graduate Diploma and Graduate Certificate	M	136
Lithgow - Mudgee	2016	Postgraduate	F	285
Lithgow - Mudgee	2016	Postgraduate	M	211
Orange	2006		F	18832
Orange	2006		M	17074
Orange	2006	Certificate nfd	F	550
Orange	2006	Certificate nfd	M	250
Orange	2006	Certificate I and II Level	F	470
Orange	2006	Certificate I and II Level	M	213
Orange	2006	Certificate III and IV Level	F	1820
Orange	2006	Certificate III and IV Level	M	4507
Orange	2006	Advanced Diploma and Diploma	F	1636
Orange	2006	Advanced Diploma and Diploma	M	968
Orange	2006	Bachelor	F	2052
Orange	2006	Bachelor	M	1293
Orange	2006	Graduate Diploma and Graduate Certificate	F	255
Orange	2006	Graduate Diploma and Graduate Certificate	M	155
Orange	2006	Postgraduate	F	236
Orange	2006	Postgraduate	M	390
Orange	2011		F	18730
Orange	2011		M	17466
Orange	2011	Certificate nfd	F	528
Orange	2011	Certificate nfd	M	247
Orange	2011	Certificate I and II Level	F	494
Orange	2011	Certificate I and II Level	M	238
Orange	2011	Certificate III and IV Level	F	2561
Orange	2011	Certificate III and IV Level	M	5295
Orange	2011	Advanced Diploma and Diploma	F	1979
Orange	2011	Advanced Diploma and Diploma	M	1194
Orange	2011	Bachelor	F	2662
Orange	2011	Bachelor	M	1672
Orange	2011	Graduate Diploma and Graduate Certificate	F	350
Orange	2011	Graduate Diploma and Graduate Certificate	M	194
Orange	2011	Postgraduate	F	379
Orange	2011	Postgraduate	M	483
Orange	2016		F	18154
Orange	2016		M	17526
Orange	2016	Certificate nfd	F	781
Orange	2016	Certificate nfd	M	371
Orange	2016	Certificate I and II Level	F	444
Orange	2016	Certificate I and II Level	M	240
Orange	2016	Certificate III and IV Level	F	3052
Orange	2016	Certificate III and IV Level	M	5722
Orange	2016	Advanced Diploma and Diploma	F	2378
Orange	2016	Advanced Diploma and Diploma	M	1428
Orange	2016	Bachelor	F	3367
Orange	2016	Bachelor	M	2054
Orange	2016	Graduate Diploma and Graduate Certificate	F	514
Orange	2016	Graduate Diploma and Graduate Certificate	M	261
Orange	2016	Postgraduate	F	656
Orange	2016	Postgraduate	M	662
Clarence Valley	2006		F	18761
Clarence Valley	2006		M	16444
Clarence Valley	2006	Certificate nfd	F	491
Clarence Valley	2006	Certificate nfd	M	227
Clarence Valley	2006	Certificate I and II Level	F	419
Clarence Valley	2006	Certificate I and II Level	M	176
Clarence Valley	2006	Certificate III and IV Level	F	1631
Clarence Valley	2006	Certificate III and IV Level	M	4794
Clarence Valley	2006	Advanced Diploma and Diploma	F	1204
Clarence Valley	2006	Advanced Diploma and Diploma	M	775
Clarence Valley	2006	Bachelor	F	1238
Clarence Valley	2006	Bachelor	M	875
Clarence Valley	2006	Graduate Diploma and Graduate Certificate	F	208
Clarence Valley	2006	Graduate Diploma and Graduate Certificate	M	144
Clarence Valley	2006	Postgraduate	F	117
Clarence Valley	2006	Postgraduate	M	165
Clarence Valley	2011		F	18134
Clarence Valley	2011		M	16139
Clarence Valley	2011	Certificate nfd	F	579
Clarence Valley	2011	Certificate nfd	M	257
Clarence Valley	2011	Certificate I and II Level	F	468
Clarence Valley	2011	Certificate I and II Level	M	223
Clarence Valley	2011	Certificate III and IV Level	F	2389
Clarence Valley	2011	Certificate III and IV Level	M	5340
Clarence Valley	2011	Advanced Diploma and Diploma	F	1388
Clarence Valley	2011	Advanced Diploma and Diploma	M	926
Clarence Valley	2011	Bachelor	F	1578
Clarence Valley	2011	Bachelor	M	1016
Clarence Valley	2011	Graduate Diploma and Graduate Certificate	F	250
Clarence Valley	2011	Graduate Diploma and Graduate Certificate	M	153
Clarence Valley	2011	Postgraduate	F	176
Clarence Valley	2011	Postgraduate	M	222
Clarence Valley	2016		F	16885
Clarence Valley	2016		M	15798
Clarence Valley	2016	Certificate nfd	F	758
Clarence Valley	2016	Certificate nfd	M	399
Clarence Valley	2016	Certificate I and II Level	F	429
Clarence Valley	2016	Certificate I and II Level	M	226
Clarence Valley	2016	Certificate III and IV Level	F	2914
Clarence Valley	2016	Certificate III and IV Level	M	5698
Clarence Valley	2016	Advanced Diploma and Diploma	F	1856
Clarence Valley	2016	Advanced Diploma and Diploma	M	1131
Clarence Valley	2016	Bachelor	F	1929
Clarence Valley	2016	Bachelor	M	1172
Clarence Valley	2016	Graduate Diploma and Graduate Certificate	F	302
