SA3_NAME16	Year	medianAgeOfPersons
Macedon Ranges	2006	38
Moreland - North	2006	38
Sunbury	2006	34
Tullamarine - Broadmeadows	2006	32
Knox	2006	36
Manningham - East	2006	39
Maroondah	2006	37
Whitehorse - East	2006	39
Yarra Ranges	2006	37
Cardinia	2006	35
Casey - North	2006	34
Casey - South	2006	31
Dandenong	2006	36
Monash	2006	38
Brimbank	2006	34
Hobsons Bay	2006	37
Maribyrnong	2006	34
Melton - Bacchus Marsh	2006	31
Wyndham	2006	32
Frankston	2006	36
Mornington Peninsula	2006	42
Grampians	2006	42
Mildura	2006	37
Murray River - Swan Hill	2006	41
Campaspe	2006	40
Moira	2006	42
Shepparton	2006	36
Glenelg - Southern Grampians	2006	41
Colac - Corangamite	2006	40
Warrnambool	2006	38
Migratory - Offshore - Shipping (Vic.)	2006	45
No usual address (Vic.)	2006	31
Capalaba	2006	36
Cleveland - Stradbroke	2006	40
Wynnum - Manly	2006	37
Bald Hills - Everton Park	2006	38
Chermside	2006	37
Nundah	2006	36
Sandgate	2006	38
Carindale	2006	36
Holland Park - Yeronga	2006	34
Mt Gravatt	2006	35
Nathan	2006	35
Rocklea - Acacia Ridge	2006	33
Sunnybank	2006	33
Centenary	2006	36
Kenmore - Brookfield - Moggill	2006	38
Sherwood - Indooroopilly	2006	29
The Gap - Enoggera	2006	35
Brisbane Inner	2006	33
Brisbane Inner - East	2006	33
Brisbane Inner - North	2006	34
Brisbane Inner - West	2006	31
Cairns - North	2006	36
Cairns - South	2006	34
Innisfail - Cassowary Coast	2006	39
Port Douglas - Daintree	2006	37
Tablelands (East) - Kuranda	2006	42
Darling Downs (West) - Maranoa	2006	36
Darling Downs - East	2006	38
Granite Belt	2006	40
Central Highlands (Qld)	2006	31
Rockhampton	2006	36
Biloela	2006	35
Gladstone	2006	34
Broadbeach - Burleigh	2006	41
Coolangatta	2006	41
Gold Coast - North	2006	42
Gold Coast Hinterland	2006	41
Mudgeeraba - Tallebudgera	2006	35
Nerang	2006	35
Ormeau - Oxenford	2006	34
Robina	2006	36
Southport	2006	36
Surfers Paradise	2006	41
Forest Lake - Oxley	2006	33
Ipswich Hinterland	2006	39
Ipswich Inner	2006	34
Springfield - Redbank	2006	30
Beaudesert	2006	40
Beenleigh	2006	34
Browns Plains	2006	31
Jimboomba	2006	34
Loganlea - Carbrook	2006	33
Springwood - Kingston	2006	33
Bowen Basin - North	2006	34
Mackay	2006	35
Whitsunday	2006	36
Bribie - Beachmere	2006	50
Caboolture	2006	34
Caboolture Hinterland	2006	38
Narangba - Burpengary	2006	34
Redcliffe	2006	42
The Hills District	2006	35
North Lakes	2006	33
Strathpine	2006	34
Far North	2006	31
Outback - North	2006	30
Outback - South	2006	37
Buderim	2006	39
Caloundra	2006	42
Maroochy	2006	39
Noosa	2006	43
Sunshine Coast Hinterland	2006	41
Nambour	2006	39
Noosa Hinterland	2006	42
Toowoomba	2006	35
Charters Towers - Ayr - Ingham	2006	39
Townsville	2006	33
Bundaberg	2006	41
Burnett	2006	41
Gympie - Cooloola	2006	41
Hervey Bay	2006	44
Maryborough	2006	43
Migratory - Offshore - Shipping (Qld)	2006	44
No usual address (Qld)	2006	41
Adelaide City	2006	32
Adelaide Hills	2006	38
Burnside	2006	43
Campbelltown (SA)	2006	40
Norwood - Payneham - St Peters	2006	39
Prospect - Walkerville	2006	38
Unley	2006	38
Gawler - Two Wells	2006	37
Playford	2006	34
Port Adelaide - East	2006	37
Salisbury	2006	35
Tea Tree Gully	2006	37
Holdfast Bay	2006	45
Marion	2006	40
Mitcham	2006	40
Onkaparinga	2006	37
Charles Sturt	2006	41
Port Adelaide - West	2006	40
West Torrens	2006	39
Barossa	2006	40
Lower North	2006	43
Mid North	2006	42
Yorke Peninsula	2006	47
Eyre Peninsula and South West	2006	38
Outback - North and East	2006	35
Fleurieu - Kangaroo Island	2006	47
Limestone Coast	2006	38
Murray and Mallee	2006	40
Migratory - Offshore - Shipping (SA)	2006	31
No usual address (SA)	2006	35
Augusta - Margaret River - Busselton	2006	38
Bunbury	2006	36
Manjimup	2006	41
Mandurah	2006	43
Cottesloe - Claremont	2006	39
Perth City	2006	35
Bayswater - Bassendean	2006	38
Mundaring	2006	38
Swan	2006	33
Joondalup	2006	36
Stirling	2006	37
Wanneroo	2006	33
Armadale	2006	36
Belmont - Victoria Park	2006	35
Canning	2006	35
Gosnells	2006	33
Kalamunda	2006	37
Serpentine - Jarrahdale	2006	37
South Perth	2006	36
Cockburn	2006	34
Fremantle	2006	41
Kwinana	2006	33
Melville	2006	40
Rockingham	2006	35
Albany	2006	39
Wheat Belt - North	2006	40
Wheat Belt - South	2006	39
Kimberley	2006	30
East Pilbara	2006	31
West Pilbara	2006	31
Esperance	2006	36
Gascoyne	2006	36
Goldfields	2006	31
Mid West	2006	36
Migratory - Offshore - Shipping (WA)	2006	36
No usual address (WA)	2006	38
Brighton	2006	31
Hobart - North East	2006	40
Hobart - North West	2006	39
Hobart - South and West	2006	38
Hobart Inner	2006	37
Sorell - Dodges Ferry	2006	39
Launceston	2006	37
Meander Valley - West Tamar	2006	41
North East	2006	41
Central Highlands (Tas.)	2006	40
Huon - Bruny Island	2006	41
South East Coast	2006	48
Burnie - Ulverstone	2006	40
Devonport	2006	40
West Coast	2006	38
Migratory - Offshore - Shipping (Tas.)	2006	40
No usual address (Tas.)	2006	33
Darwin City	2006	34
Darwin Suburbs	2006	33
Litchfield	2006	36
Palmerston	2006	28
Alice Springs	2006	30
Barkly	2006	28
Daly - Tiwi - West Arnhem	2006	26
East Arnhem	2006	27
Katherine	2006	27
Migratory - Offshore - Shipping (NT)	2006	26
No usual address (NT)	2006	45
Belconnen	2006	34
Canberra East	2006	41
Gungahlin	2006	31
North Canberra	2006	32
South Canberra	2006	39
Tuggeranong	2006	33
Weston Creek	2006	39
Woden Valley	2006	40
Molonglo	2006	0
Urriarra - Namadgi	2006	35
Migratory - Offshore - Shipping (ACT)	2006	0
No usual address (ACT)	2006	27
Christmas Island	2006	38
Cocos (Keeling) Islands	2006	37
Jervis Bay	2006	27
Norfolk Island	2006	0
Migratory - Offshore - Shipping (OT)	2006	0
No usual address (OT)	2006	25
Queanbeyan	2011	37
Snowy Mountains	2011	41
South Coast	2011	49
Goulburn - Mulwaree	2011	42
Young - Yass	2011	41
Gosford	2011	42
Wyong	2011	40
Bathurst	2011	37
Lachlan Valley	2011	42
Lithgow - Mudgee	2011	42
Orange	2011	37
Clarence Valley	2011	46
Coffs Harbour	2011	43
Bourke - Cobar - Coonamble	2011	39
Broken Hill and Far West	2011	43
Dubbo	2011	39
Lower Hunter	2011	37
Maitland	2011	36
Port Stephens	2011	43
Upper Hunter	2011	36
Dapto - Port Kembla	2011	39
Illawarra Catchment Reserve	2011	31
Kiama - Shellharbour	2011	39
Wollongong	2011	37
Great Lakes	2011	51
Kempsey - Nambucca	2011	47
Lord Howe Island	2011	46
Port Macquarie	2011	47
Taree - Gloucester	2011	47
Albury	2011	38
Lower Murray	2011	42
Upper Murray exc. Albury	2011	46
Armidale	2011	38
Inverell - Tenterfield	2011	44
Moree - Narrabri	2011	37
Tamworth - Gunnedah	2011	40
Lake Macquarie - East	2011	41
Lake Macquarie - West	2011	41
Newcastle	2011	37
Richmond Valley - Coastal	2011	44
Richmond Valley - Hinterland	2011	41
Tweed Valley	2011	45
Griffith - Murrumbidgee (West)	2011	37
Tumut - Tumbarumba	2011	42
Wagga Wagga	2011	37
Shoalhaven	2011	46
Southern Highlands	2011	45
Baulkham Hills	2011	38
Dural - Wisemans Ferry	2011	41
Hawkesbury	2011	39
Rouse Hill - McGraths Hill	2011	35
Blacktown	2011	34
Blacktown - North	2011	32
Mount Druitt	2011	31
Botany	2011	37
Marrickville - Sydenham - Petersham	2011	36
Sydney Inner City	2011	32
Eastern Suburbs - North	2011	36
Eastern Suburbs - South	2011	35
Bankstown	2011	35
Canterbury	2011	35
Hurstville	2011	38
Kogarah - Rockdale	2011	37
Canada Bay	2011	37
Leichhardt	2011	37
Strathfield - Burwood - Ashfield	2011	35
Chatswood - Lane Cove	2011	37
Hornsby	2011	37
Ku-ring-gai	2011	41
North Sydney - Mosman	2011	37
Manly	2011	37
Pittwater	2011	42
Warringah	2011	38
Camden	2011	33
Campbelltown (NSW)	2011	33
Wollondilly	2011	37
Blue Mountains	2011	42
Blue Mountains - South	2011	35
Penrith	2011	34
Richmond - Windsor	2011	34
St Marys	2011	33
Auburn	2011	31
Carlingford	2011	39
Merrylands - Guildford	2011	33
Parramatta	2011	33
Pennant Hills - Epping	2011	40
Ryde - Hunters Hill	2011	37
Bringelly - Green Valley	2011	32
Fairfield	2011	36
Liverpool	2011	33
Cronulla - Miranda - Caringbah	2011	40
Sutherland - Menai - Heathcote	2011	38
Migratory - Offshore - Shipping (NSW)	2011	64
No usual address (NSW)	2011	37
Ballarat	2011	37
Creswick - Daylesford - Ballan	2011	44
Maryborough - Pyrenees	2011	47
Bendigo	2011	37
Heathcote - Castlemaine - Kyneton	2011	45
Loddon - Elmore	2011	47
Barwon - West	2011	39
Geelong	2011	38
Surf Coast - Bellarine Peninsula	2011	43
Upper Goulburn Valley	2011	44
Wangaratta - Benalla	2011	44
Wodonga - Alpine	2011	40
Baw Baw	2011	40
Gippsland - East	2011	47
Gippsland - South West	2011	45
Latrobe Valley	2011	39
Wellington	2011	41
Brunswick - Coburg	2011	34
Darebin - South	2011	36
Essendon	2011	36
Melbourne City	2011	28
Port Phillip	2011	35
Stonnington - West	2011	35
Yarra	2011	33
Boroondara	2011	38
Manningham - West	2011	43
Whitehorse - West	2011	38
Bayside	2011	42
Glen Eira	2011	37
Kingston	2011	39
Stonnington - East	2011	36
Banyule	2011	39
Darebin - North	2011	36
Nillumbik - Kinglake	2011	39
Whittlesea - Wallan	2011	34
Keilor	2011	41
Macedon Ranges	2011	39
Moreland - North	2011	37
Sunbury	2011	36
Tullamarine - Broadmeadows	2011	32
Knox	2011	38
Manningham - East	2011	41
Maroondah	2011	38
Whitehorse - East	2011	40
Yarra Ranges	2011	38
Cardinia	2011	34
Casey - North	2011	35
Casey - South	2011	32
Dandenong	2011	36
Monash	2011	38
Brimbank	2011	34
Hobsons Bay	2011	38
Maribyrnong	2011	34
Melton - Bacchus Marsh	2011	32
Wyndham	2011	32
Frankston	2011	37
Mornington Peninsula	2011	43
Grampians	2011	44
Mildura	2011	39
Murray River - Swan Hill	2011	42
Campaspe	2011	42
Moira	2011	44
Shepparton	2011	38
Glenelg - Southern Grampians	2011	43
Colac - Corangamite	2011	42
Warrnambool	2011	39
Migratory - Offshore - Shipping (Vic.)	2011	48
No usual address (Vic.)	2011	32
Capalaba	2011	37
Cleveland - Stradbroke	2011	41
Wynnum - Manly	2011	37
Bald Hills - Everton Park	2011	38
Chermside	2011	37
Nundah	2011	35
Sandgate	2011	38
Carindale	2011	36
Holland Park - Yeronga	2011	33
Mt Gravatt	2011	35
Nathan	2011	34
Rocklea - Acacia Ridge	2011	33
Sunnybank	2011	33
Centenary	2011	38
Kenmore - Brookfield - Moggill	2011	39
Sherwood - Indooroopilly	2011	29
The Gap - Enoggera	2011	36
Brisbane Inner	2011	32
Brisbane Inner - East	2011	33
Brisbane Inner - North	2011	34
Brisbane Inner - West	2011	31
Cairns - North	2011	37
Cairns - South	2011	34
Innisfail - Cassowary Coast	2011	41
Port Douglas - Daintree	2011	40
Tablelands (East) - Kuranda	2011	43
Darling Downs (West) - Maranoa	2011	37
Darling Downs - East	2011	39
Granite Belt	2011	42
Central Highlands (Qld)	2011	31
Rockhampton	2011	37
Biloela	2011	35
Gladstone	2011	35
Broadbeach - Burleigh	2011	39
Coolangatta	2011	41
Gold Coast - North	2011	42
Gold Coast Hinterland	2011	43
Mudgeeraba - Tallebudgera	2011	37
Nerang	2011	36
Ormeau - Oxenford	2011	34
Robina	2011	36
Southport	2011	36
Surfers Paradise	2011	39
Forest Lake - Oxley	2011	33
Ipswich Hinterland	2011	40
Ipswich Inner	2011	34
Springfield - Redbank	2011	29
Beaudesert	2011	40
Beenleigh	2011	34
Browns Plains	2011	31
Jimboomba	2011	35
Loganlea - Carbrook	2011	34
Springwood - Kingston	2011	33
Bowen Basin - North	2011	33
Mackay	2011	36
Whitsunday	2011	37
Bribie - Beachmere	2011	51
Caboolture	2011	32
Caboolture Hinterland	2011	40
Narangba - Burpengary	2011	35
Redcliffe	2011	42
The Hills District	2011	36
North Lakes	2011	33
Strathpine	2011	34
Far North	2011	31
Outback - North	2011	31
Outback - South	2011	38
Buderim	2011	40
Caloundra	2011	42
Maroochy	2011	40
Noosa	2011	45
Sunshine Coast Hinterland	2011	43
Nambour	2011	40
Noosa Hinterland	2011	45
Toowoomba	2011	36
Charters Towers - Ayr - Ingham	2011	40
Townsville	2011	33
Bundaberg	2011	42
Burnett	2011	42
Gympie - Cooloola	2011	43
Hervey Bay	2011	45
Maryborough	2011	44
Migratory - Offshore - Shipping (Qld)	2011	47
No usual address (Qld)	2011	44
Adelaide City	2011	30
Adelaide Hills	2011	40
Burnside	2011	44
Campbelltown (SA)	2011	41
Norwood - Payneham - St Peters	2011	39
Prospect - Walkerville	2011	38
Unley	2011	39
Gawler - Two Wells	2011	39
Playford	2011	33
Port Adelaide - East	2011	36
Salisbury	2011	35
Tea Tree Gully	2011	40
Holdfast Bay	2011	45
Marion	2011	39
Mitcham	2011	41
Onkaparinga	2011	38
Charles Sturt	2011	41
Port Adelaide - West	2011	39
West Torrens	2011	38
Barossa	2011	41
Lower North	2011	44
Mid North	2011	43
Yorke Peninsula	2011	50
Eyre Peninsula and South West	2011	39
Outback - North and East	2011	36
Fleurieu - Kangaroo Island	2011	50
Limestone Coast	2011	40
Murray and Mallee	2011	42
Migratory - Offshore - Shipping (SA)	2011	31
No usual address (SA)	2011	39
Augusta - Margaret River - Busselton	2011	39
Bunbury	2011	37
Manjimup	2011	44
Mandurah	2011	42
Cottesloe - Claremont	2011	40
Perth City	2011	34
Bayswater - Bassendean	2011	37
Mundaring	2011	40
Swan	2011	34
Joondalup	2011	38
Stirling	2011	36
Wanneroo	2011	32
Armadale	2011	34
Belmont - Victoria Park	2011	34
Canning	2011	34
Gosnells	2011	33
Kalamunda	2011	38
Serpentine - Jarrahdale	2011	35
South Perth	2011	36
Cockburn	2011	34
Fremantle	2011	41
Kwinana	2011	32
Melville	2011	40
Rockingham	2011	34
Albany	2011	41
Wheat Belt - North	2011	42
Wheat Belt - South	2011	41
Kimberley	2011	30
East Pilbara	2011	32
West Pilbara	2011	33
Esperance	2011	38
Gascoyne	2011	38
Goldfields	2011	31
Mid West	2011	38
Migratory - Offshore - Shipping (WA)	2011	36
No usual address (WA)	2011	40
Brighton	2011	33
Hobart - North East	2011	41
Hobart - North West	2011	39
Hobart - South and West	2011	39
Hobart Inner	2011	38
Sorell - Dodges Ferry	2011	41
Launceston	2011	38
Meander Valley - West Tamar	2011	45
North East	2011	44
Central Highlands (Tas.)	2011	42
Huon - Bruny Island	2011	43
South East Coast	2011	52
Burnie - Ulverstone	2011	42
Devonport	2011	42
West Coast	2011	40
Migratory - Offshore - Shipping (Tas.)	2011	43
No usual address (Tas.)	2011	37
Darwin City	2011	33
Darwin Suburbs	2011	34
Litchfield	2011	36
Palmerston	2011	28
Alice Springs	2011	31
Barkly	2011	28
Daly - Tiwi - West Arnhem	2011	27
East Arnhem	2011	27
Katherine	2011	28
Migratory - Offshore - Shipping (NT)	2011	34
No usual address (NT)	2011	45
Belconnen	2011	34
Canberra East	2011	39
Gungahlin	2011	31
North Canberra	2011	31
South Canberra	2011	39
Tuggeranong	2011	35
Weston Creek	2011	40
Woden Valley	2011	40
Molonglo	2011	61
Urriarra - Namadgi	2011	31
Migratory - Offshore - Shipping (ACT)	2011	0
No usual address (ACT)	2011	31
Christmas Island	2011	31
Cocos (Keeling) Islands	2011	40
Jervis Bay	2011	28
Norfolk Island	2011	0
Migratory - Offshore - Shipping (OT)	2011	0
No usual address (OT)	2011	30
Queanbeyan	2016	38
Snowy Mountains	2016	44
South Coast	2016	52
Goulburn - Mulwaree	2016	43
Young - Yass	2016	43
Gosford	2016	43
Wyong	2016	41
Bathurst	2016	38
Lachlan Valley	2016	44
Lithgow - Mudgee	2016	44
Orange	2016	38
Clarence Valley	2016	49
Coffs Harbour	2016	44
Bourke - Cobar - Coonamble	2016	40
Broken Hill and Far West	2016	44
Dubbo	2016	40
Lower Hunter	2016	38
Maitland	2016	36
Port Stephens	2016	45
Upper Hunter	2016	38
Dapto - Port Kembla	2016	40
Illawarra Catchment Reserve	2016	67
Kiama - Shellharbour	2016	41
Wollongong	2016	38
Great Lakes	2016	54
Kempsey - Nambucca	2016	49
Lord Howe Island	2016	44
Port Macquarie	2016	48
Taree - Gloucester	2016	49
Albury	2016	40
Lower Murray	2016	44
Upper Murray exc. Albury	2016	48
Armidale	2016	39
Inverell - Tenterfield	2016	46
Moree - Narrabri	2016	39
Tamworth - Gunnedah	2016	40
Lake Macquarie - East	2016	42
Lake Macquarie - West	2016	43
Newcastle	2016	37
Richmond Valley - Coastal	2016	46
Richmond Valley - Hinterland	2016	44
Tweed Valley	2016	47
Griffith - Murrumbidgee (West)	2016	39
Tumut - Tumbarumba	2016	45
Wagga Wagga	2016	38
Shoalhaven	2016	48
Southern Highlands	2016	47
Baulkham Hills	2016	39
Dural - Wisemans Ferry	2016	43
Hawkesbury	2016	40
Rouse Hill - McGraths Hill	2016	35
Blacktown	2016	35
Blacktown - North	2016	33
Mount Druitt	2016	32
Botany	2016	35
Marrickville - Sydenham - Petersham	2016	35
Sydney Inner City	2016	32
Eastern Suburbs - North	2016	36
Eastern Suburbs - South	2016	34
Bankstown	2016	35
Canterbury	2016	35
Hurstville	2016	37
Kogarah - Rockdale	2016	35
Canada Bay	2016	37
Leichhardt	2016	38
Strathfield - Burwood - Ashfield	2016	34
Chatswood - Lane Cove	2016	36
Hornsby	2016	38
Ku-ring-gai	2016	41
North Sydney - Mosman	2016	38
Manly	2016	38
Pittwater	2016	44
Warringah	2016	39
Camden	2016	34
Campbelltown (NSW)	2016	34
Wollondilly	2016	37
Blue Mountains	2016	44
Blue Mountains - South	2016	60
Penrith	2016	34
Richmond - Windsor	2016	36
St Marys	2016	34
Auburn	2016	32
Carlingford	2016	38
Merrylands - Guildford	2016	33
Parramatta	2016	34
Pennant Hills - Epping	2016	39
Ryde - Hunters Hill	2016	36
Bringelly - Green Valley	2016	33
Fairfield	2016	37
Liverpool	2016	34
Cronulla - Miranda - Caringbah	2016	41
Sutherland - Menai - Heathcote	2016	39
Migratory - Offshore - Shipping (NSW)	2016	58
No usual address (NSW)	2016	39
Ballarat	2016	38
Creswick - Daylesford - Ballan	2016	47
Maryborough - Pyrenees	2016	49
Bendigo	2016	38
Heathcote - Castlemaine - Kyneton	2016	46
Loddon - Elmore	2016	49
Barwon - West	2016	40
Geelong	2016	39
Surf Coast - Bellarine Peninsula	2016	44
Upper Goulburn Valley	2016	46
Wangaratta - Benalla	2016	46
Wodonga - Alpine	2016	42
Baw Baw	2016	42
Gippsland - East	2016	50
Gippsland - South West	2016	48
Latrobe Valley	2016	41
Wellington	2016	43
Brunswick - Coburg	2016	34
Darebin - South	2016	36
Essendon	2016	35
Melbourne City	2016	28
Port Phillip	2016	36
Stonnington - West	2016	34
Yarra	2016	33
Boroondara	2016	38
Manningham - West	2016	43
Whitehorse - West	2016	37
Bayside	2016	44
Glen Eira	2016	37
Kingston	2016	40
Stonnington - East	2016	36
Banyule	2016	39
Darebin - North	2016	36
Nillumbik - Kinglake	2016	41
Whittlesea - Wallan	2016	34
Keilor	2016	42
Macedon Ranges	2016	41
Moreland - North	2016	35
Sunbury	2016	37
Tullamarine - Broadmeadows	2016	32
Knox	2016	39
Manningham - East	2016	43
Maroondah	2016	38
Whitehorse - East	2016	40
Yarra Ranges	2016	40
Cardinia	2016	34
Casey - North	2016	36
Casey - South	2016	32
Dandenong	2016	35
Monash	2016	37
Brimbank	2016	35
Hobsons Bay	2016	39
Maribyrnong	2016	33
Melton - Bacchus Marsh	2016	33
Wyndham	2016	32
Frankston	2016	38
Mornington Peninsula	2016	46
Grampians	2016	46
Mildura	2016	40
Murray River - Swan Hill	2016	45
Campaspe	2016	45
Moira	2016	47
Shepparton	2016	39
Glenelg - Southern Grampians	2016	47
Colac - Corangamite	2016	45
Warrnambool	2016	41
Migratory - Offshore - Shipping (Vic.)	2016	49
No usual address (Vic.)	2016	34
Capalaba	2016	39
Cleveland - Stradbroke	2016	43
Wynnum - Manly	2016	38
Bald Hills - Everton Park	2016	38
Chermside	2016	37
Nundah	2016	35
Sandgate	2016	38
Carindale	2016	36
Holland Park - Yeronga	2016	33
Mt Gravatt	2016	34
Nathan	2016	34
Rocklea - Acacia Ridge	2016	33
Sunnybank	2016	33
Centenary	2016	39
Kenmore - Brookfield - Moggill	2016	40
Sherwood - Indooroopilly	2016	30
The Gap - Enoggera	2016	37
Brisbane Inner	2016	32
Brisbane Inner - East	2016	34
Brisbane Inner - North	2016	33
Brisbane Inner - West	2016	32
Cairns - North	2016	39
Cairns - South	2016	36
Innisfail - Cassowary Coast	2016	43
Port Douglas - Daintree	2016	43
Tablelands (East) - Kuranda	2016	45
Darling Downs (West) - Maranoa	2016	38
Darling Downs - East	2016	41
Granite Belt	2016	45
Central Highlands (Qld)	2016	33
Rockhampton	2016	38
Biloela	2016	37
Gladstone	2016	35
Broadbeach - Burleigh	2016	40
Coolangatta	2016	42
Gold Coast - North	2016	44
Gold Coast Hinterland	2016	45
Mudgeeraba - Tallebudgera	2016	38
Nerang	2016	38
Ormeau - Oxenford	2016	34
Robina	2016	38
Southport	2016	37
Surfers Paradise	2016	40
Forest Lake - Oxley	2016	33
Ipswich Hinterland	2016	42
Ipswich Inner	2016	35
Springfield - Redbank	2016	30
Beaudesert	2016	42
Beenleigh	2016	35
Browns Plains	2016	32
Jimboomba	2016	35
Loganlea - Carbrook	2016	35
Springwood - Kingston	2016	34
Bowen Basin - North	2016	34
Mackay	2016	37
Whitsunday	2016	37
Bribie - Beachmere	2016	55
Caboolture	2016	34
Caboolture Hinterland	2016	42
Narangba - Burpengary	2016	37
Redcliffe	2016	45
The Hills District	2016	38
North Lakes	2016	32
Strathpine	2016	36
Far North	2016	31
Outback - North	2016	32
Outback - South	2016	41
Buderim	2016	40
Caloundra	2016	44
Maroochy	2016	44
Noosa	2016	46
Sunshine Coast Hinterland	2016	45
Nambour	2016	42
Noosa Hinterland	2016	47
Toowoomba	2016	37
Charters Towers - Ayr - Ingham	2016	43
Townsville	2016	34
Bundaberg	2016	45
Burnett	2016	45
Gympie - Cooloola	2016	46
Hervey Bay	2016	48
Maryborough	2016	48
Migratory - Offshore - Shipping (Qld)	2016	56
No usual address (Qld)	2016	45
Adelaide City	2016	30
Adelaide Hills	2016	42
Burnside	2016	44
Campbelltown (SA)	2016	41
Norwood - Payneham - St Peters	2016	40
Prospect - Walkerville	2016	39
Unley	2016	41
Gawler - Two Wells	2016	40
Playford	2016	33
Port Adelaide - East	2016	35
Salisbury	2016	35
Tea Tree Gully	2016	41
Holdfast Bay	2016	46
Marion	2016	39
Mitcham	2016	42
Onkaparinga	2016	40
Charles Sturt	2016	41
Port Adelaide - West	2016	41
West Torrens	2016	38
Barossa	2016	43
Lower North	2016	47
Mid North	2016	46
Yorke Peninsula	2016	53
Eyre Peninsula and South West	2016	42
Outback - North and East	2016	37
Fleurieu - Kangaroo Island	2016	53
Limestone Coast	2016	42
Murray and Mallee	2016	45
Migratory - Offshore - Shipping (SA)	2016	45
No usual address (SA)	2016	40
Augusta - Margaret River - Busselton	2016	41
Bunbury	2016	39
Manjimup	2016	47
Mandurah	2016	43
Cottesloe - Claremont	2016	40
Perth City	2016	35
Bayswater - Bassendean	2016	38
Mundaring	2016	42
Swan	2016	34
Joondalup	2016	40
Stirling	2016	37
Wanneroo	2016	33
Armadale	2016	33
Belmont - Victoria Park	2016	34
Canning	2016	35
Gosnells	2016	34
Kalamunda	2016	39
Serpentine - Jarrahdale	2016	32
South Perth	2016	37
Cockburn	2016	35
